,Concept_ID,ba,et
222,Mann::N,ир,mees
223,Frau::N,ҡатын,naine
224,Kind::N,бала,laps
225,Junge::N,малай,poiss
226,Mädchen::N,ҡыҙ,tüdruk
227,Mädchen::N,ҡыҙыҡай,tüdruk
228,Familie::N,ғаилә,perekond
229,Großvater::N,олатай,vanaisa
230,Großmutter::N,әбәй,vanaema
231,Eltern::N,ата-әсә,vanemad
232,Vater::N,атай,isa
233,Mutter::N,әсә,ema
234,Sohn::N,ул,poeg
235,Tochter::N,ҡыҙ,tütar
236,Bruder::N,агай,vend
237,Schwester::N,алай,õde
238,Schwester::N,һеңле,õde
239,Onkel::N,ағай,onu
240,Tante::N,апай,tädi
241,Ehemann::N,ир,mees
242,Ehemann::N,ир,abikaasa
243,Ehefrau::N,ҡатын,naine
244,Ehefrau::N,ҡатын,abikaasa
245,Freude::N,шатлыҡ,rõõm
246,Freude::N,ҡыуаныс,rõõm
247,Gelächter::N,көлөү,naer
248,Glück::N,бәхет,õnn
249,Kummer::N,ҡайғы,mure
250,Kummer::N,ҡайғы,kurbus
251,Wunsch::N,теләк,soov
252,Lust::N,әүәҫлек,himu
253,Geist::N,аң,vaim
254,Geist::N,рух,vaim
255,Gedanke::N,уй,mõte
256,Gedanke::N,фекер,mõte
257,Gedächtnis::N,хәтер,mälu
258,Verstand::N,аҡыл,aru
259,Verstand::N,аҡыл,mõistus
260,Sinn::N,мәғәня,tähendus
261,Grund::N,сәбәп,põhjus
262,Wahrheit::N,дөрөҫлөк,tõde
263,Gespräch::N,әңгәмә,kõne
264,Gespräch::N,әңгәмә,vestlus
265,Märchen::N,әкиәт,muinasjutt
266,Erzählung::N,хикәйә,jutustus
267,Nachricht::N,хәбәр,teade
268,Neuigkeit::N,яңылыҡ,uudis
269,Name::N,исем,nimi
270,Rätsel::N,йомаҡ,mõistatus
271,Rede::N,телмәр,kõne
272,Sprache::N,тел,keel
273,Sprache::N,телмәр,keel
274,Stimme::N,тауыш,hääl
275,Wort::N,һүҙ,sõna
276,Zeichen::N,билдә,märk
277,Ruf::N,саҡырыу,hüüe
278,Lärm::N,шаулау,müra
279,Laut::N,тауыш,hääl
280,Ton::N,яңғырау,toon
281,Lied::N,йыр,laul
282,Ruhe::N,ял,rahu
283,Ruhe::N,ял,vaikus
284,Ruhe::N,тыныслыҡ,rahu
285,Ruhe::N,тыныслыҡ,vaikus
286,Leute::N,кешеләр,inimesed
287,Volk::N,халҡ,rahvas
288,Arbeit::N,эш,töö
289,Gast::N,ҡунаҡ,külaline
290,Geschenk::N,бүләк,kingitus
291,Spiel::N,уйын,mäng
292,Gesellschaft::N,йәмғиәт,selts
293,Hilfe::N,ярҙам,abi
294,Freund::N,дуҫ,sõber
295,Kamerad::N,иптәш,sõber
296,Angelegenheit::N,әш,asi
297,Anzahl::N,һан,arv
298,Anzahl::N,һан,hulk
299,Art::N,төр,liik
300,Stück::N,киҫәк,tükk
301,Teil::N,өлөш,osa
302,Hälfte::N,ярты,pool
303,Kreis::N,түңәрәк,ring
304,Kreuz::N,тәре,rist
305,Linie::N,һыҙыҡ,joon
306,Strich::N,һыҙат,joon
307,Abstand::N,ара,vahe
308,Entfernung::N,алыҫлыҡ,kaugus
309,Entfernung::N,алыҫлыҡ,vahemaa
310,Gegend::N,урын,ümbrus
311,Platz::N,арауыҡ,ruum
312,Ort::N,ерҙәр,paik
313,Ort::N,урындар,paik
314,Ort::N,эш урыны,paik
315,Seite::N,яҡ,pool
316,Mitte::N,урталыҡ,keskpaik
317,Gegenstand::N,нәмә,ese
318,Sache::N,нәмә,ese
319,Sache::N,әйбер,ese
320,Rand::N,сит,äär
321,Rand::N,сит,serv
322,Kante::N,ҡабырға,kant
323,Kante::N,ян,kant
324,Ecke::N,мөйөш,nurk
325,Spitze::N,ос,teravik
326,Ende::N,аҙаҡ,ots
327,Ende::N,аҙаҡ,jupp
328,Loch::N,тишек,auk
329,Winkel::N,мөйөш,nurk
330,Muster::N,биҙәк,muster
331,Größe::N,ҙурлыҡ,suurus
332,Länge::N,оҙонлоҡ,pikkus
333,Höhe::N,бейеклек,kõrgus
334,Gewicht::N,үлсәү,kaal
335,Gewicht::N,үлсәү,raskus
336,Menge::N,һан,arv
337,Menge::N,һан,hulk
338,Haufen::N,өйөм,hunnik
339,Reihe::N,рәт,rivi
340,Boot::N,кәмә,paat
341,Ruder::N,ишкәк,aer
342,Schlitten::N,сана,saan
343,Ski::N,саңгы,suusk
344,Lagerfeuer::N,костер,lõke
345,Last::N,ауырлыҡ,koorem
346,Gang::N,барыу,käik
347,Schritt::N,аҙым,samm
348,Norden::N,төньяҡ,põhi
349,Süden::N,көньяҡ,lõuna
350,Westen::N,көнбайыш,lääs
351,Osten::N,көнсығыш,ida
352,Holz::N,үағас,puu
353,Brett::N,таҡта,saelaud
354,Platte::N,плита,plaat
355,Stütze::N,терәк,tugi
356,Stange::N,кәртә,latt
357,Stange::N,кәртә,teivas
358,Stock::N,таяҡ,kepp
359,Stab::N,ҡолға,varras
360,Rohr::N,торба,toru
361,Haus::N,өй,maja
362,Haus::N,йорт,maja
363,Heim::N,өй,kodu
364,Ofen::N,мейес,ahi
365,Fußboden::N,енес,põrand
366,Tisch::N,өҫтәл,laud
367,Stuhl::N,ултырғыс,tool
368,Wiege::N,бишек,häll
369,Wiege::N,бишек,kätki
370,Bett::N,карауат,voodi
371,Regal::N,кәштә,riiul
372,Kiste::N,йәшинк,kast
373,Fenster::N,тәҙрә,aken
374,Tür::N,ишек,uks
375,Tor::N,ҡапҡа,värav
376,Zaun::N,ҡойма,aed
377,Zaun::N,ҡойма,tara
378,Dach::N,түбә,katus
379,Dach::N,ҡыйыҡ,katus
380,Leiter::N,баҫҡыс,redel
381,Besen::N,һепертке,luud
382,Spaten::N,көрәк,labidas
383,Schaufel::N,көрәк,kühvel
384,Gabel::N,сәнске,kahvel
385,Löffel::N,ҡалаҡ,lusikas
386,Messer::N,бысаҡ,nuga
387,Nagel::N,сөй,nael
388,Netz::N,ау,võrk
389,Haken::N,ыргаҡ,haak
390,Haken::N,ыргаҡ,konks
391,Griff::N,тотҡа,sang
392,Griff::N,тотҡа,käepide
393,Schloss::N,йоҙаҡ,lukk
394,Bild::N,картина,pilt
395,Figur::N,һын,kuju
396,Figur::N,һын,kujund
397,Puppe::N,ҡурсаҡ,nukk
398,Beutel::N,тоҡ,paun
399,Bündel::N,төргәк,kimp
400,Tasche::N,сумка,kott
401,Eimer::N,биҙрә,pang
402,Eimer::N,биҙрә,ämber
403,Deckel::N,ҡапҡас,kaas
404,Geschirr::N,һауыт-һаба,nõud
405,Sack::N,тоҡ,kott
406,Tasse::N,сынаяҡ,tass
407,Topf::N,кәстрүл,pada
408,Kessel::N,ҡаҙан,pada
409,Essen::N,ашау,söök
410,Nahrung::N,аҙыҡ,toit
411,Speise::N,аш,roog
412,Fleisch::N,ит,liha
413,Getreide::N,иген,teravili
414,Getreide::N,ашлыҡ,teravili
415,Brei::N,бутҡа,puder
416,Brot::N,икмәк,sai
417,Brot::N,икмәк,leib
418,Scheibe::N,телем,viil
419,Scheibe::N,телем,viilukas
420,Fett::N,май,rasv
421,Butter::N,май,või
422,Öl::N,май буяуы,õli
423,Salz::N,тоҙ,sool
424,Suppe::N,һурпа,supp
425,Honig::N,бал,mesi
426,Milch::N,һөт,piim
427,Tee::N,сәй,tee
428,Leder::N,күн,nahk
429,Wolle::N,йөн,vill
430,Stoff::N,туҡыма,kangas
431,Nadel::N,энә,nõel
432,Faden::N,еп,niit
433,Knopf::N,төймә,nööp
434,Knoten::N,төйөн,sõlm
435,Farbe::N,буяу,värv
436,Kleidung::N,кейем,riided
437,Kleidung::N,кейем,riietus
438,Hemd::N,күлдәк,särk
439,Kragen::N,яға,krae
440,Ärmel::N,ең,varrukas
441,Hose::N,салбар,püksid
442,Gürtel::N,ҡайыш,vöö
443,Mütze::N,бүрк,müts
444,Schuh::N,туфли,king
445,Stiefel::N,итек,saabas
446,Ring::N,йөҙөк,sõrmus
447,Ring::N,балдаҡ,sõrmus
448,Band::N,таҫма,lint
449,Kamm::N,тараҡ,kamm
450,Spiegel::N,көзгө,peegel
451,Riemen::N,ҡайыш,rihm
452,Schnur::N,бау,nöör
453,Leine::N,бау,jalutusrihm
454,Decke::N,одеяд,tekk
455,Kissen::N,мендәр,padi
456,Tuch::N,яулыҡ,kalev
457,Handtuch::N,таҫтамал,käterätik
458,Kraft::N,көс,jõud
459,Stärke::N,көс,tugevus
460,Gesundheit::N,һаулыҡ,tervis
461,Krankheit::N,сир,haigus
462,Krankheit::N,ауырыу,haigus
463,Schmerz::N,һыҙлау,valu
464,Schmerz::N,әрнеү,valu
465,Wunde::N,йәрәхәт,haav
466,Fieber::N,тапма,palavik
467,Fieber::N,биҙгәк,palavik
468,Arznei::N,дарыу,ravim
469,Brücke::N,күпер,sild
470,Brunnen::N,ҡоҙоҡ,kaev
471,Weide::N,көтөүлек,karjamaa
472,Pfad::N,һуҡмаҡ,rada
473,Weg::N,юл,tee
474,Straße::N,урам,tee
475,Dorf::N,ауыл,küla
476,Stadt::N,ҡала,linn
477,Brief::N,хат,kiri
478,Buch::N,китап,raamat
479,Buch::N,кенәгә,raamat
480,Buchstabe::N,хәреф,täht
481,Zeitung::N,гәзит,ajaleht
482,Leben::N,йәшәү,elu
483,Tod::N,үлем,surm
484,Grab::N,ҡәбер,haud
485,Kirche::N,сиркәү,kirik
486,Sünde::N,гөнаһ,patt
487,Gott::N,алла,jumal
488,Gott::N,хоҙай,jumal
489,Arbeiter::N,эшсе,tööline
490,Chef::N,башлыҡ,ülemus
491,Chef::N,башлыҡ,juhataja
492,Meister::N,оҫта,meister
493,Arzt::N,врач,arst
494,Lehrer::N,уҡытыусы,õpetaja
495,Geld::N,аҡса,raha
496,Geschäft::N,эш,äri
497,Laden::N,магазин,pood
498,Laden::N,магазин,kauplus
499,Preis::N,хаҡ,hind
500,Ware::N,тауар,kaup
501,Nutzen::N,файҙа,tulu
502,Nutzen::N,файҙа,kasulikkus
503,Reichtum::N,байлыҡ,rikkus
504,Welt::N,донъя,maailm
505,Land::N,ил,maa
506,Staat::N,дәүләт,riik
507,König::N,король,kuningas
508,Macht::N,власть,võim
509,Grenze::N,сик,piir
510,Krieg::N,һуғыш,sõda
511,Feind::N,йылан,vaenlane
512,Gewalt::N,көслөк,väevõim
513,Kampf::N,көрәш,võitlus
514,Bogen[Waffe]::N,йәйә,vibu
515,Pfeil::N,уҡ,nool
516,Gewehr::N,мылтыҡ,püss
517,Fehler::N,хата,viga
518,Lüge::N,ялған,vale
519,Schaden::N,зыян,kahju
520,Schaden::N,зарар,kahju
521,Unglück::N,ҡаза,häda
522,Unglück::N,ҡаза,õnnetus
523,Schuld::N,ғәйеп,süü
524,Alter::N,йәш,iga
525,Schluss::N,һуң,lõpp
526,Schluss::N,аҙаҡ,lõpp
527,Zeit::N,мәл,aeg
528,Zeit::N,заман,aeg
529,Tag::N,көн,päev
530,Morgen::N,иртә,hommik
531,Morgen::N,иртәнсәк,hommik
532,Mittag::N,төш,lõuna
533,Mittag::N,төш,keskpäev
534,Abend::N,кис,õhtu
535,Nacht::N,төн,öö
536,Woche::N,аҙна,nädal
537,Monat::N,ай,kuu
538,Jahr::N,йыл,aasta
539,Frühling::N,яҙ,kevad
540,Sommer::N,йәй,suvi
541,Herbst::N,көз,sügis
542,Winter::N,ҡыш,talv
543,Januar::N,ғинуар,jaanuar
544,Februar::N,февраль,veebruar
545,März::N,март,märts
546,April::N,апрель,aprill
547,Mai::N,май,mai
548,Juni::N,июнь,juuni
549,Juli::N,июль,juuli
550,August::N,август,august
551,September::N,сентябрь,september
552,Oktober::N,октябрь,oktoober
553,November::N,ноябрь,november
554,Dezember::N,декабрь,detsember
555,Montag::N,дүшәмбе,esmaspäev
556,Dienstag::N,шишәмбе,teisipäev
557,Mittwoch::N,шаршамбы,kesknädal
558,Donnerstag::N,кесаҙна,neljapäev
559,Freitag::N,йома,reede
560,Samstag::N,шәмбе,laupäev
561,Sonntag::N,йәкшәмбе,pühapäev
562,groß::A,ҙур,suur
563,klein::A,бәләкәс,väike
564,klein::A,бәләкәс,pisike
565,lang::A,оҙон,pikk
566,kurz::A,ҡыҫҡа,lühike
567,breit::A,киң,lai
568,schmal::A,тар,kitsas
569,dicht::A,йыш,tihe
570,dicht::A,ҡуйы,tihe
571,dick[Gegenstand]::A,ҡалын,jäme
572,dünn::A,йоҡа,õhuke
573,dünn::A,йоҡа,peenike
574,dünn::A,нәҙек,õhuke
575,dünn::A,нәҙек,peenike
576,fein::A,нескә,peen
577,fein::A,нескә,õhuke
578,fest::A,ныҡ,püsiv
579,fest::A,ныҡ,kindel
580,flach::A,яҫы,lame
581,flach::A,яҫы,tasane
582,flach::A,ялпаҡ,lame
583,flach::A,ялпаҡ,tasane
584,glatt::A,шыма,sile
585,hart::A,ҡаты,kõva
586,weich::A,йомшаҡ,pehme
587,rund::A,түңәрәк,ümar
588,spitz::A,осло түбәле,torkav
589,scharf::A,үткер,terav
590,stumpf::A,утмәҫ,nüri
591,schwer::A,ауыр,raske
592,schön::A,матур,kena
593,heiß::A,эҫе,kuum
594,heiß::A,эҫе,palav
595,warm::A,йылы,soe
596,kalt::A,һыуыҡ,külm
597,kühl::A,һалҡынса,jahe
598,frisch::A,һалҡынса,värske
599,feucht::A,еүеш,niiske
600,feucht::A,дымлы,niiske
601,nass::A,еүеш,märg
602,trocken::A,кипкән,kuiv
603,voll::A,тулы,täis
604,leer::A,буш,tühi
605,offen::A,асыҡ,avatud
606,offen::A,асыҡ,lahtine
607,geschlossen::A,ябыҡ,suletud
608,sauber::A,таҙа,puhas
609,schmutzig::A,бысраҡ,räpane
610,schmutzig::A,бысраҡ,määrdunud
611,roh::A,сей,toores
612,reif::A,өлгөрғән,küps
613,lecker::A,тәмле,hõrk
614,lecker::A,тәмле,maitsev
615,süß::A,тямле,magus
616,süß::A,тәм-том,magus
617,bitter::A,әсе,mõru
618,sauer::A,әсе,hapu
619,hell::A,яҡты,hele
620,dunkel::A,ҡараңғы,pime
621,schwarz::A,ҡара,must
622,weiß::A,аҡ,valge
623,rot::A,матур,punane
624,rot::A,һылыу,punane
625,rot::A,сибәр,punane
626,gelb::A,һары,kollane
627,blau::A,күк,sinine
628,grün::A,йәшел,roheline
629,grau::A,буҙ,hall
630,bunt::A,сыбар,kirju
631,bunt::A,сыбар,värviline
632,bunt::A,ала-ҡола,kirju
633,bunt::A,ала-ҡола,värviline
634,billig::A,арзан,odav
635,teuer::A,ҡыйбатлы,kallis
636,wertvoll::A,ҡиммәтле,väärtuslik
637,blind::A,һуҡыр,pime
638,taub::A,һаңғырау,kurt
639,kräftig::A,көслө,jõuline
640,kräftig::A,ҡеүәтле,jõuline
641,stark::A,көслө,tugev
642,stark::A,ҡеүәтле,tugev
643,schwach::A,көсһөҙ,nõrk
644,schwach::A,көсһөҙ,jõuetu
645,fett::A,һимеҙ,rasvane
646,schlank::A,зифа,sale
647,hübsch::A,матур,kena
648,böse::A,асыулы,tige
649,dumm::A,иҫәр,juhm
650,dumm::A,иҫәр,rumal
651,faul::A,иренсәк,laisk
652,fleißig::A,тырыш,virk
653,fleißig::A,тырыш,hoolas
654,geizig::A,һаран,ihne
655,klug::A,аҡыллы,tark
656,klug::A,аҡыллы,arukas
657,klug::A,аҡыллы,mõistlik
658,geschickt::A,оҫта,osav
659,lieb::A,яғымлы,armas
660,lustig::A,күңелле,lõbus
661,sanft::A,йыуаш,õrn
662,hungrig::A,ас,näljane
663,krank::A,сирле,haige
664,krank::A,ауырыу,haige
665,nackt::A,яланғас,alasti
666,traurig::A,яманһыу,kurb
667,lebendig::A,тере,elus
668,lebendig::A,йәнле,elus
669,gut::A,яҡшы,hea
670,schlecht::A,хөрт,halb
671,schlecht::A,алама,halb
672,richtig::A,дөрөҫ,õige
673,schlimm::A,хөрт,paha
674,schlimm::A,алама,paha
675,wahr::A,дөрөҫ,tõene
676,alt::A,иҫке,vana
677,alt::A,боронғо,vana
678,neu::A,яңы,uus
679,ehemalig::A,элекке,endine
680,alt[Lebewesen]::A,ҡарт,vana
681,jung::A,йәш,noor
682,arm::A,фәҡир,vaene
683,reich::A,бай,rikas
684,bekannt::A,таныш,teada
685,bekannt::A,таныш,tuttav
686,berühmt::A,атаҡлы,tuntud
687,berühmt::A,данлыҡлы,tuntud
688,fremd::A,ят,võõras
689,fremd::A,сит,võõras
690,verschieden::A,төрлө,erinev
691,nah::A,яҡын,lähedane
692,fern::A,алыҫ,kauge
693,fern::A,йыраҡ,kauge
694,linker::A,һул,vasak
695,rechter::A,уң,parem
696,anderer::A,бутән,muu
697,anderer::A,бутән,teine
698,erster::A,тәүге,esimene
699,zweiter::A,икенсе,teine
700,dritter::A,өсөнсө,kolmas
701,letzter::A,һуңғы,viimane
702,allein::ADV,бер үҙе,üksi
703,allein::ADV,яңғыҙ,üksi
704,auf einmal::ADV,бер юлы,korraga
705,auf einmal::ADV,бер юлы,ühekorraga
706,zusammen::ADV,бергә,koos
707,zusammen::ADV,бергә,üheskoos
708,lange::ADV,оҙаҡ,kaua
709,plötzlich::ADV,ҡапыл,äkki
710,plötzlich::ADV,ҡапыл,järsku
711,sofort::ADV,шунда уҡ,kohe
712,später::ADV,һуңыраҡ,hiljem
713,jetzt::ADV,хәҙер,nüüd
714,heute::ADV,бөгөн,täna
715,morgen::ADV,иртәгә,homme
716,bald::ADV,тиҙҙән,pea
717,bald::ADV,тиҙҙән,varsti
718,dann::ADV,һуңынан,siis
719,gestern::ADV,кисә,eile
720,einst::ADV,ҡасандыр,vanasti
721,einst::ADV,бер баҡыт,vanasti
722,damals::ADV,ул саҡта,tookord
723,danach::ADV,һуңынан,seejärel
724,vorher::ADV,элек,enne
725,zuerst::ADV,башта,enne
726,zuerst::ADV,башта,esmalt
727,einmal::ADV,бер,kord
728,einmal::ADV,бер,üks kord
729,manchmal::ADV,ҡайһы берҙә,mõnikord
730,oft::ADV,йыш,tihti
731,oft::ADV,йыш,sageli
732,immer::ADV,һәр ҡасан,ikka
733,immer::ADV,һәр ҡасан,alati
734,niemals::ADV,бер ҡасан да,mitte kunagi
735,niemals::ADV,бер ваҡытта ла,mitte kunagi
736,hier::ADV,бында,siin
737,hierhin::ADV,бында,siia
738,von hier::ADV,бынан,siit
739,von hier::ADV,ошонан,siit
740,dort::ADV,шунда,seal
741,dort::ADV,тегендә,seal
742,dorthin::ADV,шунда,sinna
743,dorthin::ADV,тегеләй,sinna
744,geradeaus::ADV,тура,otse edasi
745,vorwärts::ADV,алға,edasi
746,rückwärts::ADV,кирегә,tagurpidi
747,zurück::ADV,кирегә,tagasi
748,unten::ADV,түбәндә,all
749,unten::ADV,түбәндә,allpool
750,hinab::ADV,түбәнгә,alla
751,oben::ADV,юғарыла,ülal
752,hinauf::ADV,юғарыға,üles
753,überall::ADV,бөтә урында,kõikjal
754,nicht::ADV,тугел,ei
755,nicht::ADV,тугел,mitte
756,ein wenig::ADV,аҙ,veidi
757,ein wenig::ADV,аҙ,natuke
758,kaum::ADV,көскә,vaevalt
759,kaum::ADV,саҡ-саҡ,vaevalt
760,sehr::ADV,ифат,väga
761,so::ADV,шулай,nii
762,noch::ADV,йәнә,veel
763,nur::ADV,бары,ainult
764,schon::ADV,инде,juba
765,wieder::ADV,тағы,jälle
766,vergebens::ADV,бушҡа,asjata
767,vor::PRP,алдында,ees
768,hinter::PRP,артында,taha
769,unter::PRP,аҫтында,all
770,durch::PRP,үтә,läbi
771,durch::PRP,үтә,kaudu
772,neben::PRP,эргәһендә,kõrval
773,zwischen::PRP,араһында,vahel
774,wegen::PRP,өсөн,tõttu
775,wegen::PRP,өсөн,pärast
