,Concept_ID,ml,et
184,Spinne::N,ചിലന്തി,ämblik
185,Ameise::N,ഉറുമ്പ്,sipelgas
186,Laus::N,പേന്,täi
187,Mücke::N,മശകം,sääsk
188,Fliege::N,ഈച്ച,kärbes
189,Schmetterling::N,ചിത്രശലഭം,liblikas
190,Beere::N,ബെറി,mari
191,Apfel::N,ആപ്പിൾ,õun
192,Pilz::N,കൂൺ,seen
193,Zwiebel::N,സവാള,sibul
194,Saat::N,വിത്ത്,seeme
195,Korn::N,ധാന്യം,iva
196,Korn::N,ധാന്യം,tera
197,Heu::N,വയ്ക്കോൽ,hein
198,Schale::N,തൊലി,koor
199,Grube::N,കുഴി,kaevand
200,Falle::N,കെണി,lõks
201,Falle::N,കെണി,püünis
202,Schlinge::N,കുടുക്ക്,aas
203,Spur::N,ചുവട്,jälg
204,Asche::N,ചാരം,tuhk
205,Dreck::N,അഴുക്ക്,saast
206,Dreck::N,അഴുക്ക്,mustus
207,Eisen::N,ഇരുമ്പ്,raud
208,Gold::N,സ്വർണ്ണം,kuld
209,Silber::N,വെള്ളി,hõbe
210,Kohle::N,കൽക്കരി,süsi
211,Glas::N,ഗ്ലാസ്,klaas
212,Lehm::N,കളിമണ്ണ്,savi
213,Sand::N,മണൽ,liiv
214,Mensch::N,മനുഷ്യർ,inimene
215,Mann::N,പുരുഷൻ,mees
216,Frau::N,സ്ത്രീ,naine
217,Kind::N,കുഞ്ഞ്,laps
218,Junge::N,ആൺകുട്ടി,poiss
219,Mädchen::N,പെൺകുട്ടി,tüdruk
220,Familie::N,കുടുംബം,perekond
221,Großvater::N,അപ്പൂപ്പൻ,vanaisa
222,Großmutter::N,അമ്മുമ്മ,vanaema
223,Eltern::N,മാതാപിതാക്കള്,vanemad
224,Vater::N,അച്ഛൻ,isa
225,Mutter::N,അമ്മ,ema
226,Sohn::N,മകൻ,poeg
227,Tochter::N,മകൾ,tütar
228,Bruder::N,ചേട്ടൻ,vend
229,Bruder::N,അനിയൻ,vend
230,Schwester::N,ചേച്ചി,õde
231,Schwester::N,അനിയത്തി,õde
232,Onkel::N,അമ്മാവൻ,onu
233,Tante::N,മാമി,tädi
234,Ehemann::N,ഭർത്താവ്,mees
235,Ehemann::N,ഭർത്താവ്,abikaasa
236,Ehefrau::N,ഭാര്യ,naine
237,Ehefrau::N,ഭാര്യ,abikaasa
238,Freude::N,ആഹ്ലാദം,rõõm
239,Gelächter::N,ചിരിയുടെ ശബ്ദം,naer
240,Glück::N,സന്തോഷം,õnn
241,Glück::N,സന്തുഷ്ടി,õnn
242,Kummer::N,ശോകം,mure
243,Kummer::N,ശോകം,kurbus
244,Wunsch::N,ആഗ്രഹം,soov
245,Lust::N,ആഗ്രഹം,himu
246,Geist::N,ചുറുചുറുക്ക്,vaim
247,Gedanke::N,ചിന്ത,mõte
248,Gedächtnis::N,ഓർമ്മശക്തി,mälu
249,Verstand::N,മനസ്സ്,aru
250,Verstand::N,മനസ്സ്,mõistus
251,Sinn::N,അർത്ഥം,tähendus
252,Grund::N,കാരണം,põhjus
253,Wahrheit::N,സത്യം,tõde
254,Gespräch::N,സല്ലാപം,kõne
255,Gespräch::N,സല്ലാപം,vestlus
256,Märchen::N,യക്ഷിക്കഥ,muinasjutt
257,Erzählung::N,കഥ,jutustus
258,Nachricht::N,സന്ദേശം,teade
259,Neuigkeit::N,വാർത്ത,uudis
260,Name::N,പേര്,nimi
261,Rätsel::N,പ്രഹേളിക,mõistatus
262,Rede::N,സംസാരം,kõne
263,Sprache::N,ഭാഷ,keel
264,Stimme::N,സ്വരം,hääl
265,Wort::N,വാക്ക്,sõna
266,Zeichen::N,സംജ്ഞ,märk
267,Ruf::N,വിളി,hüüe
268,Lärm::N,ആരവം,müra
269,Laut::N,ശബ്ദം,hääl
270,Ton::N,സ്വരഭേദം,toon
271,Lied::N,പാട്ട്,laul
272,Ruhe::N,നിശ്ചലത,rahu
273,Ruhe::N,നിശ്ചലത,vaikus
274,Leute::N,ജനങ്ങൾ,inimesed
275,Volk::N,രാഷ്ടം,rahvas
276,Arbeit::N,ജോലി,töö
277,Gast::N,അതിലി,külaline
278,Geschenk::N,സമ്മാനം,kingitus
279,Spiel::N,കളി,mäng
280,Gesellschaft::N,കൂട്ടായ്മ,selts
281,Hilfe::N,സഹായം,abi
282,Freund::N,സുഹൃത്ത്,sõber
283,Kamerad::N,കൂട്ടാളി,sõber
284,Angelegenheit::N,കാര്യം,asi
285,Anzahl::N,എണ്ണം,arv
286,Anzahl::N,എണ്ണം,hulk
287,Art::N,തരം,liik
288,Stück::N,കഷണം,tükk
289,Teil::N,ഭാഗം,osa
290,Hälfte::N,പകുതി,pool
291,Kreis::N,വൃത്തം,ring
292,Kreuz::N,കുരിശടയാളം,rist
293,Linie::N,വര,joon
294,Linie::N,രേഖ,joon
295,Strich::N,പക്ഷാഘാതം,joon
296,Abstand::N,വിടവ്,vahe
297,Entfernung::N,അകലം,kaugus
298,Entfernung::N,അകലം,vahemaa
299,Gegend::N,പ്രദേശം,ümbrus
300,Platz::N,ഇടം,ruum
301,Ort::N,സ്ഥലം,paik
302,Seite::N,വശം,pool
303,Mitte::N,മധ്യസ്ഥാനം,keskpaik
304,Gegenstand::N,സാധനം,ese
305,Sache::N,വസ്തു,ese
306,Rand::N,തൊങ്ങൽ,äär
307,Rand::N,തൊങ്ങൽ,serv
308,Kante::N,അറ്റം,kant
309,Ecke::N,മൂല,nurk
310,Spitze::N,അഗ്രം,teravik
311,Ende::N,അവസാനം,ots
312,Ende::N,അവസാനം,jupp
313,Loch::N,ദ്വാരം,auk
314,Winkel::N,കോൺ,nurk
315,Muster::N,ക്രമം,muster
316,Größe::N,വലുപ്പം,suurus
317,Länge::N,നീളം,pikkus
318,Höhe::N,ഉയരം,kõrgus
319,Gewicht::N,കട്ടി,kaal
320,Gewicht::N,കട്ടി,raskus
321,Menge::N,അളവ്,arv
322,Menge::N,അളവ്,hulk
323,Haufen::N,കൂമ്പാരം,hunnik
324,Reihe::N,വരി,rivi
325,Boot::N,ബോട്ട്,paat
326,Ruder::N,പങ്കായം,aer
327,Schlitten::N,ഉരുളില്ലാവണ്ടി,saan
328,Ski::N,ഹിമപാദുകം,suusk
329,Lagerfeuer::N,തീ,lõke
330,Last::N,ഭാരം,koorem
331,Gang::N,നടത്തം,käik
332,Schritt::N,ചുവട്,samm
333,Norden::N,വടക്ക്,põhi
334,Süden::N,തെക്ക്,lõuna
335,Westen::N,പടിഞ്ഞാറ്,lääs
336,Osten::N,കിഴക്ക്,ida
337,Holz::N,തടി,puu
338,Brett::N,ബോർഡ്,saelaud
339,Platte::N,തകിട്,plaat
340,Stütze::N,താങ്ങ്,tugi
341,Stange::N,കമ്പ്,latt
342,Stange::N,കമ്പ്,teivas
343,Stock::N,വടി,kepp
344,Stab::N,കുറുവടി,varras
345,Rohr::N,കുഴൽ,toru
346,Haus::N,വീട്,maja
347,Heim::N,വീട്,kodu
348,Ofen::N,സ്റ്റൌ,ahi
349,Fußboden::N,തറ,põrand
350,Tisch::N,മേശ,laud
351,Stuhl::N,കസേര,tool
352,Wiege::N,തൊട്ടിൽ,häll
353,Wiege::N,തൊട്ടിൽ,kätki
354,Bett::N,കിടക്ക,voodi
355,Regal::N,ഷെൽഫ്,riiul
356,Kiste::N,പെട്ടി,kast
357,Fenster::N,ജനൽ,aken
358,Tür::N,വാതിൽ,uks
359,Tor::N,കവാടം,värav
360,Zaun::N,വേലി,aed
361,Zaun::N,വേലി,tara
362,Dach::N,മേൽക്കുര,katus
363,Leiter::N,ഏണി,redel
364,Besen::N,ചൂല്,luud
365,Spaten::N,തൂമ്പ,labidas
366,Schaufel::N,തൂമ്പ,kühvel
367,Gabel::N,മുൾക്കത്തി,kahvel
368,Löffel::N,സ്പൂൺ,lusikas
369,Messer::N,കത്തി,nuga
370,Nagel::N,ആണി,nael
371,Netz::N,വല,võrk
372,Haken::N,കൊളുത്ത്,haak
373,Haken::N,കൊളുത്ത്,konks
374,Griff::N,കൈപ്പിടി,sang
375,Griff::N,കൈപ്പിടി,käepide
376,Schloss::N,പൂട്ട്,lukk
377,Bild::N,ചിത്രം,pilt
378,Figur::N,കണക്ക്,kuju
379,Figur::N,കണക്ക്,kujund
380,Puppe::N,പാവ,nukk
381,Beutel::N,ബാഗ്,paun
382,Bündel::N,കെട്ട്,kimp
383,Tasche::N,ബാഗ്,kott
384,Eimer::N,ബക്കറ്റ്,pang
385,Eimer::N,ബക്കറ്റ്,ämber
386,Deckel::N,ഉറ,kaas
387,Geschirr::N,പിഞ്ഞാണം,nõud
388,Sack::N,ചാക്ക്,kott
389,Tasse::N,കപ്പ്,tass
390,Topf::N,പാത്രം,pada
391,Kessel::N,കെറ്റ്ല്,pada
392,Essen::N,ആഹാരസമയം,söök
393,Nahrung::N,ഭക്ഷണം,toit
394,Speise::N,ഡിഷ്,roog
395,Fleisch::N,മാംസം,liha
396,Getreide::N,ചോളം,teravili
397,Brei::N,കഞ്ഞി,puder
398,Brot::N,റോട്ടി,sai
399,Brot::N,റോട്ടി,leib
400,Scheibe::N,തുണ്ട്,viil
401,Scheibe::N,തുണ്ട്,viilukas
402,Fett::N,കൊഴുപ്പ്,rasv
403,Butter::N,വെണ്ണ,või
404,Öl::N,എണ്ണ,õli
405,Salz::N,ഉപ്പ്,sool
406,Suppe::N,സൂപ്പ്,supp
407,Honig::N,തേൻ,mesi
408,Milch::N,പാൽ,piim
409,Tee::N,ചായ,tee
410,Leder::N,തുകൽ,nahk
411,Wolle::N,കമ്പിളി,vill
412,Stoff::N,തുണി,kangas
413,Nadel::N,സൂചി,nõel
414,Faden::N,നൂല്,niit
415,Knopf::N,ബട്ടൺ,nööp
416,Knoten::N,കുരുക്ക്,sõlm
417,Farbe::N,പെയിൻറ്,värv
418,Kleidung::N,വസ്ത്രങ്ങൾ,riided
419,Kleidung::N,വസ്ത്രങ്ങൾ,riietus
420,Hemd::N,ഷർട്ട്,särk
421,Kragen::N,കുപ്പായക്കഴുത്ത്,krae
422,Ärmel::N,കുപ്പായക്കൈ,varrukas
423,Hose::N,ട്രൌസർ,püksid
424,Gürtel::N,ബെൽറ്റ്,vöö
425,Mütze::N,തൊപ്പി,müts
426,Schuh::N,ഷൂ,king
427,Stiefel::N,ബൂട്ട്,saabas
428,Ring::N,മോതിരം,sõrmus
429,Band::N,റിബൺ,lint
430,Kamm::N,ചീപ്പ്,kamm
431,Spiegel::N,കണ്ണാടി,peegel
432,Riemen::N,സ്ട്രാപ്പ്,rihm
433,Schnur::N,ചരട്,nöör
434,Leine::N,കെട്ടാനുള്ള തോൽവാർ,jalutusrihm
435,Decke::N,പുതപ്പ്,tekk
436,Kissen::N,തലയിണ,padi
437,Tuch::N,സ്കാർഫ്,kalev
438,Handtuch::N,തോർത്ത്,käterätik
439,Kraft::N,ശക്തി,jõud
440,Stärke::N,ശക്തി,tugevus
441,Gesundheit::N,ആരോഗ്യം,tervis
442,Krankheit::N,അസുഖം,haigus
443,Schmerz::N,വേദന,valu
444,Wunde::N,മുറിവ്,haav
445,Fieber::N,പനി,palavik
446,Arznei::N,മരുന്ന്,ravim
447,Brücke::N,പാലം,sild
448,Brunnen::N,കിണർ,kaev
449,Weide::N,മേച്ചൽ,karjamaa
450,Pfad::N,വഴി,rada
451,Weg::N,വഴി,tee
452,Straße::N,റോഡ്,tee
453,Dorf::N,ഗ്രാമം,küla
454,Stadt::N,നഗരം,linn
455,Brief::N,കത്ത്,kiri
456,Buch::N,പുസ്തകം,raamat
457,Buchstabe::N,അക്ഷരം,täht
458,Zeitung::N,വർത്തമാനപത്രം,ajaleht
459,Leben::N,ജീവൻ,elu
460,Tod::N,മരണം,surm
461,Grab::N,ശവക്കുഴി,haud
462,Kirche::N,പള്ളി,kirik
463,Sünde::N,പാപം,patt
464,Gott::N,ദൈവം,jumal
465,Arbeiter::N,ജോലിക്കാരൻ,tööline
466,Chef::N,മേധാവി,ülemus
467,Chef::N,മേധാവി,juhataja
468,Meister::N,യജമാനൻ,meister
469,Arzt::N,ഡോക്ടർ,arst
470,Lehrer::N,അധ്യാപകൻ,õpetaja
471,Geld::N,പണം,raha
472,Geschäft::N,ബിസിനസ്,äri
473,Laden::N,കട,pood
474,Laden::N,കട,kauplus
475,Preis::N,വില,hind
476,Ware::N,ചരക്ക്,kaup
477,Nutzen::N,ലാഭം,tulu
478,Nutzen::N,ലാഭം,kasulikkus
479,Reichtum::N,ധനം,rikkus
480,Welt::N,ലോകം,maailm
481,Land::N,രാജ്യം,maa
482,Staat::N,രാജ്യം,riik
483,König::N,രാജാവ്,kuningas
484,Macht::N,അധികാരം,võim
485,Grenze::N,അതിർത്തി,piir
486,Krieg::N,യുദ്ധം,sõda
487,Feind::N,ശത്രു,vaenlane
488,Gewalt::N,അക്രമം,väevõim
489,Kampf::N,പോരാട്ടം,võitlus
490,Bogen[Waffe]::N,വില്ല്,vibu
491,Pfeil::N,അമ്പ്,nool
492,Gewehr::N,തോക്ക്,püss
493,Fehler::N,പിശക്,viga
494,Lüge::N,കള്ളം,vale
495,Schaden::N,കേടുപാട്,kahju
496,Unglück::N,ദൌർഭാഗ്യം,häda
497,Unglück::N,ദൌർഭാഗ്യം,õnnetus
498,Schuld::N,തെറ്റ്,süü
499,Alter::N,വയസ്സ്,iga
500,Schluss::N,നിഗമനം,lõpp
501,Zeit::N,സമയം,aeg
502,Tag::N,ദിവസം,päev
503,Morgen::N,പ്രഭാതം,hommik
504,Mittag::N,ഉച്ച,lõuna
505,Mittag::N,ഉച്ച,keskpäev
506,Abend::N,സായാഹ്നം,õhtu
507,Nacht::N,രാത്രി,öö
508,Woche::N,ആഴ്ച,nädal
509,Monat::N,മാസം,kuu
510,Jahr::N,വർഷം,aasta
511,Frühling::N,വസന്തം,kevad
512,Sommer::N,വേനൽ,suvi
513,Herbst::N,ശരത്കാലം,sügis
514,Winter::N,ശൈത്യം,talv
515,Januar::N,ജനുവരി,jaanuar
516,Februar::N,ഫെബ്രുവരി,veebruar
517,März::N,മാർച്ച്,märts
518,April::N,ഏപ്രിൾ മാസം,aprill
519,Mai::N,മെയ് മാസം,mai
520,Juni::N,ജൂൺ,juuni
521,Juli::N,ജൂലൈ,juuli
522,August::N,ആഗസ്റ്റ്,august
523,September::N,സെപ്തംബർ,september
524,Oktober::N,ഒക്ടോബർ,oktoober
525,November::N,നവംബർ,november
526,Dezember::N,ഡിസംബർ,detsember
527,Montag::N,തിങ്കളാഴ്ച,esmaspäev
528,Dienstag::N,ചൊവ്വ,teisipäev
529,Mittwoch::N,ബുധനാഴ്ച,kesknädal
530,Donnerstag::N,വ്യാഴാഴ്ച,neljapäev
531,Freitag::N,വെള്ളിയാഴ്ച,reede
532,Samstag::N,ശനിയാഴ്ച,laupäev
533,Sonntag::N,ഞായറാഴ്ച,pühapäev
534,groß::A,വലിയ,suur
535,klein::A,ചെറിയ,väike
536,klein::A,ചെറിയ,pisike
537,lang::A,നീണ്ട,pikk
538,kurz::A,ഹ്രസ്വമായ,lühike
539,breit::A,വിശാലമായ,lai
540,schmal::A,ഇടുങ്ങിയ,kitsas
541,dicht::A,നിബിഡമായ,tihe
542,dick[Gegenstand]::A,തടിച്ച,jäme
543,dünn::A,മെലിഞ്ഞ,õhuke
544,dünn::A,മെലിഞ്ഞ,peenike
545,fein::A,നേർത്ത,peen
546,fein::A,നേർത്ത,õhuke
547,fest::A,ഉറപ്പുള്ള,püsiv
548,fest::A,ഉറപ്പുള്ള,kindel
549,flach::A,പരന്ന,lame
550,flach::A,പരന്ന,tasane
551,glatt::A,മിനുസമുള്ള,sile
552,hart::A,കട്ടിയുള്ള,kõva
553,weich::A,മൃദുവായ,pehme
554,rund::A,വട്ടത്തിലുള്ള,ümar
555,spitz::A,മുനയുള്ള,torkav
556,scharf::A,മൂർച്ചയുള്ള,terav
557,stumpf::A,തുറന്നടിക്കുന്ന,nüri
558,schwer::A,ഭാരമുള്ള,raske
559,schön::A,മനോഹരമായ,kena
560,heiß::A,ചൂടുള്ള,kuum
561,heiß::A,ചൂടുള്ള,palav
562,warm::A,ചൂടുള്ള,soe
563,kalt::A,തണുത്ത,külm
564,kühl::A,തണുപ്പുള്ള,jahe
565,frisch::A,ശുദ്ധമായ,värske
566,feucht::A,ഈറനുള്ള,niiske
567,nass::A,നനഞ്ഞ,märg
568,trocken::A,വരണ്ട,kuiv
569,voll::A,നിറയെ,täis
570,leer::A,ഒഴിഞ്ഞ,tühi
571,offen::A,തുറന്ന,avatud
572,offen::A,തുറന്ന,lahtine
573,geschlossen::A,അടച്ച,suletud
574,sauber::A,വൃത്തിയുള്ള,puhas
575,schmutzig::A,അഴുക്കുനിറഞ്ഞ,räpane
576,schmutzig::A,അഴുക്കുനിറഞ്ഞ,määrdunud
577,roh::A,അസംസ്കൃതമായ,toores
578,reif::A,പഴുത്ത,küps
579,lecker::A,രുചികരമായ,hõrk
580,lecker::A,രുചികരമായ,maitsev
581,süß::A,മധുരമുള്ള,magus
582,bitter::A,കടുത്ത,mõru
583,sauer::A,പുളിപ്പുള്ള,hapu
584,hell::A,ജ്വലിക്കുന്ന,hele
585,dunkel::A,ഇരുണ്ട,pime
586,schwarz::A,കറുത്ത,must
587,weiß::A,വെളുത്ത,valge
588,rot::A,ചുവന്ന,punane
589,gelb::A,മഞ്ഞനിറമായ,kollane
590,blau::A,നീലനിറമുള്ള,sinine
591,grün::A,പച്ചനിറമുള്ള,roheline
592,grau::A,ചാരനിറത്തിലുള്ള,hall
593,bunt::A,വർണ്ണശബളമായ,kirju
594,bunt::A,വർണ്ണശബളമായ,värviline
595,billig::A,വിലകുറഞ്ഞ,odav
596,teuer::A,ചെലവേറിയ,kallis
597,wertvoll::A,വിലപിടിപ്പുള്ള,väärtuslik
598,blind::A,അന്ധനായ,pime
599,taub::A,കേൾവിക്കുറവുള്ള,kurt
600,kräftig::A,ശക്തിയുള്ള,jõuline
601,stark::A,ബലമുള്ള,tugev
602,schwach::A,ക്ഷീണിച്ച,nõrk
603,schwach::A,ക്ഷീണിച്ച,jõuetu
604,fett::A,കൊഴുപ്പുള്ള,rasvane
605,schlank::A,മെലിഞ്ഞ,sale
606,hübsch::A,മനോഹരമായ,kena
607,böse::A,പാപിയായ,tige
608,dumm::A,വിവരംകെട്ട,juhm
609,dumm::A,വിവരംകെട്ട,rumal
610,faul::A,അലസനായ,laisk
611,fleißig::A,അദ്ധ്വാനശീലമുള്ള,virk
612,fleißig::A,അദ്ധ്വാനശീലമുള്ള,hoolas
613,geizig::A,പിശുക്കനായ,ihne
614,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,tark
615,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,arukas
616,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,mõistlik
617,geschickt::A,പ്രതിഭാശാലി,osav
618,lieb::A,പ്രിയപ്പെട്ട,armas
619,lustig::A,ആനന്ദകരമായ,lõbus
620,sanft::A,സൌമ്യമായ,õrn
621,hungrig::A,വിശപ്പുള്ള,näljane
622,krank::A,അസുഖമുള്ള,haige
623,nackt::A,നഡമായ,alasti
624,traurig::A,വിഷമമുള്ള,kurb
625,lebendig::A,ഉപജീവനം,elus
626,gut::A,നല്ല,hea
627,schlecht::A,മോശമായ,halb
628,richtig::A,ശരിയായ,õige
629,schlimm::A,വൃത്തികെട്ട,paha
630,wahr::A,ശരിയായ,tõene
631,alt::A,പഴയ,vana
632,neu::A,പുതിയ,uus
633,ehemalig::A,മുൻ,endine
634,alt[Lebewesen]::A,വയസ്സുള്ള,vana
635,jung::A,കൌമാരമായ,noor
636,arm::A,പാവപ്പെട്ട,vaene
637,reich::A,സമ്പന്നമായ,rikas
638,bekannt::A,പരിചിതമായ,teada
639,bekannt::A,പരിചിതമായ,tuttav
640,berühmt::A,പ്രശസ്തനായ,tuntud
641,fremd::A,വൈദേശികമായ,võõras
642,verschieden::A,വ്യത്യസ്തമായ,erinev
643,nah::A,അരികത്തുള്ള,lähedane
644,fern::A,അകലെയുള്ള,kauge
645,linker::A,അവശേഷിച്ച,vasak
646,rechter::A,വലത്തേ,parem
