,Concept_ID,uk,bn
208,Großmutter::N,бабуся,মাতামহী
209,Eltern::N,батьки,মাতাপিতা
210,Vater::N,батько,পিতা
211,Mutter::N,мати,মাতা
212,Sohn::N,син,ছেলে
213,Tochter::N,дочка,মেয়ে
214,Bruder::N,брат,দাদা
215,Schwester::N,сестра,বোন
216,Schwester::N,сестра,দিদি
217,Onkel::N,дядько,মামা
218,Tante::N,тітка,মাসী
219,Ehemann::N,чоловік,স্বামী
220,Ehefrau::N,жінка,পত্নী
221,Ehefrau::N,дружина,পত্নী
222,Freude::N,радощі,উল্লাস
223,Gelächter::N,сміх,হাসি
224,Glück::N,щастя,সুখ
225,Kummer::N,горе,দুঃখ
226,Wunsch::N,бажання,আকাঙ্ক্ষা
227,Lust::N,бажання,বাসনা
228,Geist::N,дух,আত্না
229,Gedanke::N,думка,চিন্তা
230,Gedächtnis::N,пам’ять,স্মরণশক্তি
231,Verstand::N,розум,মন
232,Sinn::N,зміст,পদার্থ
233,Sinn::N,значення,পদার্থ
234,Grund::N,причина,কারণ
235,Wahrheit::N,правда,সত্য
236,Gespräch::N,розмова,কথাবার্তা
237,Märchen::N,байка,রূপকথা
238,Erzählung::N,повість,গল্প
239,Erzählung::N,оповідання,গল্প
240,Nachricht::N,повідомлення,তথ্য
241,Neuigkeit::N,новина,খবরাখবর
242,Name::N,ім’я,নাম
243,Rätsel::N,загадка,ধাঁধা
244,Rede::N,промова,বক্তৃতা
245,Sprache::N,мова,ভাষা
246,Stimme::N,голос,স্বর
247,Wort::N,слово,শব্দ
248,Zeichen::N,знак,প্রতীক
249,Ruf::N,оклик,ডাক
250,Lärm::N,шум,হৈচৈ
251,Laut::N,звук,ধ্বনি
252,Ton::N,тон,স্বর
253,Lied::N,пісня,গান
254,Ruhe::N,спокій,শান্তি
255,Leute::N,люди,প্রজাপুঞ্জ
256,Volk::N,народ,জাতি
257,Arbeit::N,робота,চাকরি
258,Gast::N,гість,অতিথি
259,Geschenk::N,подарунок,উপহার
260,Spiel::N,гра,খেলা
261,Gesellschaft::N,товариство,সঙ্গিগণ
262,Hilfe::N,допомога,সাহায্য
263,Freund::N,друг,বন্ধু
264,Freund::N,приятель,বন্ধু
265,Kamerad::N,товариш,সঙ্গী
266,Angelegenheit::N,справа,বিষয়
267,Anzahl::N,число,পরিমাণ
268,Art::N,рід,রকম
269,Stück::N,кусок,টুকরো
270,Teil::N,частина,অংশ
271,Hälfte::N,половина,অর্ধেক
272,Kreis::N,круг,বৃত্ত
273,Kreis::N,коло,বৃত্ত
274,Kreuz::N,хрест,ক্রুশ
275,Linie::N,лінія,রেখা
276,Strich::N,штрих,কষি
277,Abstand::N,проміжок,ফাঁক
278,Entfernung::N,відстань,ব্যবধান
279,Gegend::N,місцевість,ক্ষেত্র
280,Platz::N,площа,জায়গা
281,Ort::N,місце,স্থান
282,Seite::N,сторона,পার্শ্ব
283,Mitte::N,середина,মধ্য
284,Gegenstand::N,предмет,জিনিস
285,Sache::N,річ,বস্তু
286,Rand::N,край,কানা
287,Kante::N,ребро,ধার
288,Ecke::N,ріг,কোণ
289,Spitze::N,кінчик,ডগা
290,Ende::N,кінець,প্রান্ত
291,Loch::N,діра,গর্ত
292,Winkel::N,куток,কোণ
293,Muster::N,узор,নমুন্
294,Größe::N,розмір,আয়তন
295,Länge::N,довжина,দৈর্ঘ্য
296,Höhe::N,висота,উচ্চতা
297,Gewicht::N,вага,ওজন
298,Menge::N,кількість,পরিমাণ
299,Haufen::N,купа,পুঞ্জ
300,Reihe::N,ряд,শ্রেণী
301,Boot::N,човен,নৌকা
302,Ruder::N,весло,দাঁড়
303,Schlitten::N,сани,স্নেজ্-গাড়ি
304,Ski::N,лижа,শী
305,Lagerfeuer::N,вогнище,অগ্নি
306,Last::N,тягар,বোঝা
307,Last::N,вантаж,বোঝা
308,Gang::N,хід,হণ্টন
309,Schritt::N,крок,পদ
310,Norden::N,північ,উত্তরদিক্
311,Süden::N,південь,দক্ষিণদিক
312,Westen::N,захід,পশ্চিমদিক্
313,Osten::N,схід,পূর্বদিক
314,Holz::N,дрова,কাঠ
315,Brett::N,дошка,তক্তা
316,Platte::N,плита,ফলক
317,Stütze::N,підпірка,নাগদণ্ড
318,Stange::N,жердина,দণ্ড
319,Stock::N,палиця,ছড়ি
320,Stab::N,палиця,যষ্টি
321,Rohr::N,труба,নল
322,Haus::N,дім,ঘর
323,Haus::N,хата,ঘর
324,Heim::N,житло,বাসা
325,Ofen::N,піч,স্টোভ্
326,Fußboden::N,підлога,গহতল
327,Tisch::N,стіл,মেজ
328,Tisch::N,стіл,টেবিল
329,Stuhl::N,стілець,চেয়ার
330,Stuhl::N,стілець,কেদারা
331,Wiege::N,колиска,দোলনা
332,Bett::N,ліжко,শয্যা
333,Bett::N,постіль,শয্যা
334,Regal::N,полиця,তাক
335,Kiste::N,ящик,বাক্স
336,Fenster::N,вікно,জানালা
337,Tür::N,двері,দ্বার
338,Tor::N,ворота,দ্বার
339,Zaun::N,паркан,বেড়া
340,Zaun::N,огорожа,বেড়া
341,Dach::N,дах,ছাদ
342,Leiter::N,драбина,মই
343,Besen::N,мітла,গুল্মবিশেষ
344,Spaten::N,заступ,কোদাল
345,Schaufel::N,совок,বেলচা
346,Schaufel::N,лопата,বেলচা
347,Gabel::N,виделка,কাঁটা
348,Löffel::N,ложка,চামচ
349,Messer::N,ніж,ছুরি
350,Nagel::N,цвях,পেরেক
351,Netz::N,сіть,জাল
352,Haken::N,крюк,কাচি
353,Griff::N,ручка,হাতল
354,Griff::N,держак,হাতল
355,Schloss::N,замок,তালা
356,Bild::N,картина,ছবি
357,Bild::N,картина,চিত্র
358,Figur::N,фігура,আকার
359,Puppe::N,лялька,পুতুল
360,Beutel::N,мішечок,বটুয়া
361,Beutel::N,торбинка,বটুয়া
362,Bündel::N,в’язка,আঁটি
363,Tasche::N,сумка,থলি
364,Eimer::N,відро,বাল্তি
365,Deckel::N,кришка,আবরণ
366,Geschirr::N,посуд,থালা-বাসন
367,Sack::N,мішок,বস্তা
368,Tasse::N,чашка,কাপ
369,Topf::N,горщик,পাত্র
370,Kessel::N,котел,কেটলি
371,Essen::N,їжа,আহার
372,Nahrung::N,харч,খাদ্য
373,Speise::N,страва,খাদ্য
374,Fleisch::N,м’ясо,মাংস
375,Getreide::N,хліб,শস্য
376,Getreide::N,збіжжя,শস্য
377,Brei::N,каша,মণ্ড
378,Brot::N,хліб,রুটি
379,Scheibe::N,скибочка,ফালি
380,Fett::N,жир,মেদ
381,Butter::N,масло,মাখন
382,Öl::N,олія,তৈল
383,Salz::N,сіль,নুন
384,Suppe::N,суп,শুরুয়া
385,Honig::N,мед,মধু
386,Milch::N,молоко,দুধ
387,Tee::N,чай,চা
