,Concept_ID,cy,ta
106,Quelle::N,ffynhonnell,மூலம்
107,Bach::N,nant,ஓடை
108,Bach::N,afonig,ஓடை
109,Bach::N,cornant,ஓடை
110,Fluss::N,afon,ஆறு
111,Ufer::N,glan,நீர்க்கரை
112,Küste::N,traeth,கடற்கரை
113,Küste::N,arfordir,கடற்கரை
114,Festland::N,tir,நிலம்
115,Meer::N,môr,கடல்
116,Bucht::N,bae,சிறுகுடா
117,Insel::N,ynys,தீவு
118,Blume::N,blodyn,பூ
119,Gras::N,glaswellt,புல்தரை
120,Wurzel::N,gwreiddyn,வேர்
121,Baum::N,coeden,மரம்
122,Stamm::N,colfen,அடிமரம்
123,Stamm::N,boncyff,அடிமரம்
124,Rinde::N,rhisgl,பட்டை
125,Rinde::N,rhisgl,மரப்பட்டை
126,Ast::N,cangen,கினை
127,Zweig::N,cainc,குச்சி
128,Zweig::N,cangen,குச்சி
129,Blatt::N,deilen,இலை
130,Birke::N,bedwen,பிர்ச் மரம்
131,Kiefer[Baum]::N,pinwydden,தேவதாரு மரம்
132,Weide[Baum]::N,helygen,மர வகைகளுள் ஒன்று
133,Tanne::N,ffynidwydden,சாதிக்கய்
134,Horn::N,corn,கொம்பு
135,Feder::N,plufyn,இறகு
136,Fell::N,ffwr,மென்முடி
137,Flügel::N,adain,இறக்கை
138,Klaue::N,crafanc,நகம்
139,Kralle::N,ewin,நகம்
140,Schwanz::N,cwt,வால்
141,Schwanz::N,cynffon,வால்
142,Ei::N,wy,முட்டை
143,Nest::N,nyth,கூடு
144,Bau::N,ffau,குகை
145,Tier::N,anifail,விலங்கு
146,Herde::N,praidd,கூட்டம்
147,Herde::N,diadell,கூட்டம்
148,Kuh::N,buwch,பசு
149,Bulle::N,tarw,காளை
150,Pferd::N,ceffyl,குதிரை
151,Schaf::N,dafad,செம்மறிஆடு
152,Schwein::N,mochyn,பன்றி
153,Hund::N,ci,நாய்
154,Katze::N,cath,பூனை
155,Bär::N,arth,கரடி
156,Eichhörnchen::N,gwiwer,அணில்
157,Elch::N,elc,கடம்பை
158,Fuchs::N,cadno,நரி
159,Hase::N,ysgyfarnog,முயல்
160,Maus::N,llygoden,எலி
161,Wolf::N,blaidd,ஓநாய்
162,Vogel::N,aderyn,பறவை
163,Schwarm::N,haid,தொகுதி
164,Huhn::N,cyw,கோழிக்குஞசு
165,Hahn::N,ceiliog,சேவல்
166,Gans::N,gŵydd,பெண் வாத்து
167,Adler::N,eryr,பருநது
168,Ente::N,hwyad,வாத்து
169,Eule::N,tylluan,ஆந்தை
170,Kranich::N,garan,நாரை
171,Kranich::N,crychydd,நாரை
172,Krähe::N,brân,காகம்
173,Kuckuck::N,cog,குயில்
174,Kuckuck::N,cwcw,குயில்
175,Schwan::N,alarch,அன்னம்
176,Fisch::N,pysgod,மீன்
177,Barsch::N,draenog,பேர்ச்
178,Hecht::N,penhwyad,கோலாச்சி மீன்
179,Schlange[Tier]::N,neidr,பாம்பு
180,Wurm::N,abwydyn,புழு
181,Wurm::N,pryf genwair,புழு
182,Spinne::N,cor,சிலந்தி
183,Spinne::N,pryf copyn,சிலந்தி
184,Ameise::N,morgrugyn,எறும்பு
185,Laus::N,lleuen,பேன்
186,Mücke::N,gwybedyn,கொசுவினப்பூச்சி
187,Fliege::N,cleren,ஈ
188,Schmetterling::N,glöyn byw,வண்ணத்துப்பூச்சி
189,Schmetterling::N,iâr fach yr haf,வண்ணத்துப்பூச்சி
190,Beere::N,aeronen,சதைப்பழம்
191,Apfel::N,afal,ஆப்பிள பழம்
192,Pilz::N,madarch,காளான்
193,Zwiebel::N,nionyn,வெங்காயம்
194,Zwiebel::N,winwnsyn,வெங்காயம்
195,Saat::N,had,விதை
196,Korn::N,grawn,தானியம்
197,Heu::N,gwair,வைக்கோல்
198,Schale::N,croen,தோல்
199,Schale::N,plisgyn,தோல்
200,Grube::N,pwll,குழி
201,Grube::N,pydew,குழி
202,Falle::N,magl,பொறி
203,Schlinge::N,cwlwm rhedeg,கண்ணி
204,Spur::N,ôl,சுவடு
205,Asche::N,lludw,சாம்பல்
206,Dreck::N,baw,அழுக்கு
207,Dreck::N,budreddi,அழுக்கு
208,Eisen::N,haearn,இரும்பு
209,Gold::N,aur,தங்கம்
210,Silber::N,arian,வெள்ளி
211,Kohle::N,glo,நிலக்கரி
212,Glas::N,gwydr,கண்ணாடி
213,Lehm::N,clai,களிமண்
214,Sand::N,tywod,மணல்
215,Mensch::N,dyn,மனிதர்கள்
216,Mann::N,dyn,மனிதன்
217,Frau::N,merch,பெண்
218,Frau::N,gwraig,பெண்
219,Kind::N,plentyn,குழந்தை
220,Junge::N,hogyn,பையன்
221,Junge::N,bachgen,பையன்
222,Mädchen::N,merch,சிறுமி
223,Mädchen::N,geneth,சிறுமி
224,Familie::N,teulu,குடும்பம்
225,Familie::N,tylwyth,குடும்பம்
226,Großvater::N,taid,தாத்தா
227,Großvater::N,tad-cu,தாத்தா
228,Großmutter::N,nain,பாட்டி
229,Großmutter::N,mam-gu,பாட்டி
230,Eltern::N,rhieni,பெற்றோர்
231,Vater::N,tad,தந்தை
232,Mutter::N,mam,தாய்
233,Sohn::N,mab,மகன்
234,Tochter::N,merch,மகள்
235,Bruder::N,brawd,சகோதரன்
236,Schwester::N,chwaer,அக்கா
237,Onkel::N,ewythr,தாய் மாமன்
238,Tante::N,modryb,அத்தை
239,Ehemann::N,gŵr,கணவன்
240,Ehefrau::N,gwraig,மனைவி
241,Freude::N,gorfoledd,கொண்டாட்டம்
242,Gelächter::N,chwerthin,சிரிப்பு
243,Glück::N,hapusrwydd,மகிழ்ச்சி
244,Kummer::N,galar,துயரம்
245,Wunsch::N,dymuniad,விருப்பம்
246,Lust::N,chwant,விருப்பம்
247,Geist::N,ysbryd,ஆன்மா
248,Gedanke::N,meddwl,எண்ணம்
249,Gedächtnis::N,cof,ஞாபகம்
250,Verstand::N,meddwl,மனம்
251,Sinn::N,ystyr,அர்த்தம்
252,Grund::N,achos,காரணம்
253,Grund::N,rheswm,காரணம்
254,Wahrheit::N,gwir,உண்நை
255,Wahrheit::N,gwirionedd,உண்நை
256,Gespräch::N,sgwrs,பெசு
257,Märchen::N,chwedl werin,நம்பத்தகாத கதை
258,Erzählung::N,stori,கதை
259,Nachricht::N,neges,செய்தி
260,Neuigkeit::N,newydd,செய்தி
261,Name::N,enw,பெயர்
262,Rätsel::N,pos,புதிர்
263,Rede::N,araith,பேச்சு
264,Sprache::N,iaith,மொழி
265,Stimme::N,llais,குரல்
266,Wort::N,gair,வார்த்தை
267,Zeichen::N,arwydd,குறி
268,Ruf::N,galwad,அழைப்பு
269,Lärm::N,trwst,சத்தம்
270,Laut::N,sain,ஒலி
271,Ton::N,tôn,குரல்
272,Lied::N,cân,பாட்டு
273,Ruhe::N,tawelwch,அமைதி
274,Leute::N,pobl,மக்கள்
275,Volk::N,pobl,மக்கள்
276,Arbeit::N,gwaith,வேலை
277,Gast::N,gwestai,விருந்தாளி
278,Geschenk::N,rhodd,பரிசுப் பொருள்
279,Geschenk::N,anrheg,பரிசுப் பொருள்
280,Spiel::N,chwarae,விளையாட்டு
281,Gesellschaft::N,cwmni,சமுதாயம்
282,Hilfe::N,cymorth,உதவி
283,Freund::N,cyfaill,நண்பன்
284,Kamerad::N,cydymaith,உடனிருப்பவன்
285,Angelegenheit::N,pwnc,செய்தி
286,Anzahl::N,cyfrif,எண்ணிக்கை
287,Art::N,bath,வகை
288,Stück::N,darn,துண்டம்
289,Teil::N,rhan,பகுதி
290,Hälfte::N,hanner,பாதி
291,Kreis::N,cylch,வட்டம்
292,Kreuz::N,croes,சிலுவை
293,Linie::N,llinell,கோடு
294,Strich::N,strôc,வாத நோய்
295,Strich::N,trawiad,வாத நோய்
296,Abstand::N,bwlch,இடைவெளி
297,Abstand::N,pellter,இடைவெளி
298,Entfernung::N,pellter,தூரம்
299,Gegend::N,cylch,வட்டாரம்
300,Platz::N,lle,வெற்றிடம்
301,Ort::N,lle,இடம்
302,Seite::N,ochr,பக்கம்
303,Mitte::N,canol,இடைப்பகுதி
304,Gegenstand::N,eitem,உருப்படி
305,Sache::N,peth,பொருள்
306,Rand::N,cwr,தொங்கு
307,Rand::N,ymyl,தொங்கு
308,Kante::N,min,விளிம்பு
309,Kante::N,ymyl,விளிம்பு
310,Ecke::N,cornel,மூலை
311,Spitze::N,blaen,முனை
312,Ende::N,pen,முடிவு
313,Loch::N,twll,துளை
314,Winkel::N,congl,கோணம்
315,Muster::N,patrwm,பாங்கு
316,Größe::N,maint,அளவு
317,Größe::N,maintioli,அளவு
318,Länge::N,hyd,நீளம்
319,Höhe::N,uchder,உயரம்
320,Gewicht::N,pwysau,எடை
321,Menge::N,swm,தொகை
322,Menge::N,maint,தொகை
323,Haufen::N,pentwr,குவியல்
324,Reihe::N,rhes,வரிசை
325,Boot::N,cwch,படகு
326,Ruder::N,rhwyf,துடுப்பு
327,Schlitten::N,sled,சகடையிலா வண்டி
328,Schlitten::N,car llusg,சகடையிலா வண்டி
329,Ski::N,sgi,பனிச் சறுக்கல்
330,Lagerfeuer::N,coelcerth,மூட்டம்
331,Last::N,llwyth,பாரம்
332,Gang::N,tro,நடை
333,Schritt::N,cam,காலடி
334,Norden::N,gogledd,வடக்கு
335,Süden::N,de,தெற்கு
336,Westen::N,gorllewin,மேற்கு திசை
337,Osten::N,dwyrain,கிழக்கு
338,Holz::N,pren,மரக்கட்டை
339,Brett::N,bwrdd,பலகை
340,Brett::N,astell,பலகை
341,Platte::N,llech,பலகம்
342,Stütze::N,ateg,அடைப்புகன்
343,Stütze::N,cynhalydd,அடைப்புகன்
344,Stange::N,polyn,கம்பம்
345,Stock::N,ffon,குச்சி
346,Stock::N,brigyn,குச்சி
347,Stab::N,ffon,கம்பு
348,Rohr::N,pibell,குழாய்
349,Haus::N,tŷ,வீடு
350,Heim::N,cartref,வீடு
351,Ofen::N,stof,அடுப்பு
352,Fußboden::N,llawr,தரை
353,Tisch::N,bwrdd,மேசை
354,Stuhl::N,cadair,நாற்காலி
355,Wiege::N,crud,தொட்டில்
356,Bett::N,gwely,படுக்கை
357,Regal::N,silff,அலமாரி
358,Kiste::N,bocs,பெட்டி
359,Kiste::N,blwch,பெட்டி
360,Fenster::N,ffenestr,சாளரம்
361,Tür::N,drws,கதவு
362,Tor::N,porth,வாசற்கதவு
363,Zaun::N,ffens,வேலி
364,Dach::N,to,கூரை
365,Leiter::N,ysgol,ஏணி
366,Besen::N,ysgub,விளக்குமாறு
367,Spaten::N,rhaw,மண்வெட்டி
368,Schaufel::N,rhaw,அடிதண்டா
369,Gabel::N,fforc,முட்கரண்டி
370,Löffel::N,llwy,கரண்டி
371,Messer::N,cyllell,கத்தி
372,Nagel::N,hoel,ஆணி
373,Netz::N,gwe,வலை
374,Netz::N,rhwyd,வலை
375,Haken::N,bach,கொக்கி
376,Griff::N,carn,கைப்பிடி
377,Schloss::N,clo,பூட்டு
378,Bild::N,llun,படம்
379,Bild::N,pictiwr,படம்
380,Figur::N,ffigur,எண்ணிக்கை
381,Puppe::N,dol,பொம்மை
382,Beutel::N,cwd,பை
383,Bündel::N,bwndel,பொதி
384,Bündel::N,coflaid,பொதி
385,Tasche::N,cod,பை
386,Eimer::N,bwced,வாளி
387,Eimer::N,cunnog,வாளி
388,Deckel::N,caead,உறை
389,Geschirr::N,llestri,பாத்திரம்
390,Sack::N,sach,பை
391,Tasse::N,cwpan,கிண்ணம்
392,Topf::N,pot,பானை
393,Topf::N,crochan,பானை
394,Kessel::N,tegell,கெண்டி
395,Essen::N,pryd o fwyd,உணவருந்துதல்
396,Nahrung::N,bwyd,உணவு
397,Speise::N,saig,உணவு வகை
398,Fleisch::N,cig,இறைச்சி
399,Getreide::N,ŷd,மக்காச்சோளம்
400,Getreide::N,llafur,மக்காச்சோளம்
401,Brei::N,uwd,கஞ்சி
402,Brot::N,bara,ரொட்டி
403,Scheibe::N,tafell,துண்டு
404,Fett::N,saim,கொழுப்பு
405,Fett::N,braster,கொழுப்பு
406,Butter::N,ymenyn,வெண்ணெய்
407,Öl::N,olew,எண்ணெய்
408,Salz::N,halen,உப்பு
409,Suppe::N,cawl,ரசம்
410,Honig::N,mêl,தேன்
411,Milch::N,llaeth,பால்
412,Milch::N,llefrith,பால்
413,Tee::N,te,தெனீர்
414,Leder::N,lledr,பதம் செய்யப்பட்ட தோல்
415,Wolle::N,gwlân,கம்பளி
416,Stoff::N,lliain,துணி
417,Stoff::N,brethyn,துணி
418,Nadel::N,nodwydd,ஊசி
419,Faden::N,edau,நூல்
420,Faden::N,edefyn,நூல்
421,Knopf::N,botwm,பொத்தான்
422,Knoten::N,cwlwm,முடிச்சு
423,Farbe::N,paent,வண்ணக் குழம்பு
424,Kleidung::N,dillad,ஆடைகள்
425,Kleidung::N,gwisgoedd,ஆடைகள்
426,Hemd::N,crys,சட்டை
427,Kragen::N,coler,கழுத்துப் பட்டை
428,Ärmel::N,llawes,சட்டைக்கை
429,Hose::N,trowsus,கால்சட்டை
430,Gürtel::N,gwregys,பெல்ட்
431,Mütze::N,cap,தொப்பி
432,Schuh::N,esgid,காலணி
433,Stiefel::N,botasen,காலணி
434,Ring::N,modrwy,மோதிரம்
435,Band::N,rhuban,நாடா
436,Kamm::N,crib,கீப்பு
437,Spiegel::N,drych,ஆடி
438,Spiegel::N,drych,கண்ணாடி
439,Riemen::N,strap,வார்
440,Schnur::N,llinyn,கயிறு
441,Leine::N,tennyn,தோல்வார்
442,Decke::N,blanced,போர்வை
443,Decke::N,gwrthban,போர்வை
444,Kissen::N,clustog,தலையணை
445,Kissen::N,gobennydd,தலையணை
446,Tuch::N,sgarff,துணி
447,Handtuch::N,tywel,தண்டு
448,Handtuch::N,lliain sychu,தண்டு
449,Kraft::N,grym,நிர்பந்தம்
450,Stärke::N,nerth,பலம்
451,Stärke::N,cryfder,பலம்
452,Gesundheit::N,iechyd,ஆரோக்கியம்
453,Krankheit::N,afiechyd,நோய்
454,Krankheit::N,anhwylder,நோய்
455,Schmerz::N,poen,வலி
456,Schmerz::N,gwayw,வலி
457,Wunde::N,clwyf,காயம்
458,Fieber::N,twymyn,காய்ச்சல்
459,Arznei::N,meddyginiaeth,மருந்து
460,Brücke::N,pont,பாலம்
461,Brunnen::N,ffynnon,கேணி
462,Weide::N,porfa,மேய்ச்சல் நிலம்
463,Pfad::N,llwybr,நடை வழி
464,Weg::N,ffordd,வழி
465,Straße::N,heol,சாலை
466,Straße::N,ffordd,சாலை
467,Dorf::N,pentref,கிராமம்
468,Stadt::N,tref,நகரம்
469,Brief::N,llythyr,கடிதம்
470,Buch::N,llyfr,புத்தகம்
471,Buchstabe::N,llythyren,எழத்து
472,Zeitung::N,papur newydd,செய்தித்தாள்
473,Leben::N,bywyd,வாழ்க்கை
474,Tod::N,marwolaeth,மரணம்
475,Grab::N,bedd,சமாதி
476,Kirche::N,eglwys,தேவாலயம்
477,Sünde::N,pechod,பாவம்
478,Gott::N,duw,கடவுள்
479,Arbeiter::N,gweithiwr,தொழிலாளி
480,Chef::N,pennaeth,மேலாளர்
481,Meister::N,meistr,தலைவன்
482,Arzt::N,meddyg,மருத்துவர்
483,Lehrer::N,athro,ஆசிரியர்
484,Geld::N,pres,பணம்
485,Geld::N,arian,பணம்
486,Geschäft::N,busnes,வாணிபம்
487,Laden::N,siop,கடை
488,Preis::N,pris,விலை
489,Ware::N,nwydd,சாமன்கள்
490,Nutzen::N,elw,இலாபம்
491,Nutzen::N,budd,இலாபம்
492,Reichtum::N,cyfoeth,சொத்து
493,Welt::N,byd,உலகம்
494,Land::N,gwlad,நாடு
495,Staat::N,gwladwriaeth,நாடு
496,König::N,brenin,அரசன்
497,Macht::N,grym,அதிகாரம்
498,Macht::N,awdurdod,அதிகாரம்
499,Grenze::N,ffin,எல்லை
500,Grenze::N,goror,எல்லை
501,Krieg::N,rhyfel,போர்
502,Feind::N,gelyn,எதிரி
503,Gewalt::N,ffyrnigrwydd,வன்முறை
504,Kampf::N,brwydr,போராட்டம்
505,Bogen[Waffe]::N,bwa,வில்
506,Pfeil::N,saeth,அம்பு
507,Gewehr::N,dryll,துப்பாக்கி
508,Fehler::N,gwall,தவறு
509,Fehler::N,camgymeriad,தவறு
510,Lüge::N,celwydd,பொய்
511,Lüge::N,anwiredd,பொய்
512,Schaden::N,niwed,சேதாரம்
513,Schaden::N,difrod,சேதாரம்
514,Unglück::N,anffawd,இடையூறு
515,Schuld::N,bai,குற்றம்
516,Alter::N,oed,வயது
517,Schluss::N,diwedd,முடிவு
518,Zeit::N,amser,காலம்
519,Tag::N,dydd,நாள்
520,Tag::N,diwrnod,நாள்
521,Morgen::N,bore,காலை நேரம்
522,Mittag::N,nawn,மதியம்
523,Abend::N,noswaith,மாலைப் பொழுது
524,Nacht::N,nos,இரவு
525,Woche::N,wythnos,வாரம்
526,Monat::N,mis,மாதம்
527,Jahr::N,blwyddyn,வருடம்
528,Frühling::N,gwanwyn,வசந்தம்
529,Sommer::N,haf,கோடை
530,Herbst::N,hydref,இலையுதிர் காலம்
531,Winter::N,gaeaf,குளிர்காலம்
532,Januar::N,Ionawr,ஜனவரி
533,Februar::N,Chwefror,பிபரவரி மாதம்
534,März::N,Mawrth,மார்ச் மாதம்
535,April::N,Ebrill,ஏப்ரல் மாதம்
536,Mai::N,Mai,மே மாதம்
537,Juni::N,Mehefin,ஜூன் மாதம்
538,Juli::N,Gorffennaf,ஜூலை மாதம்
539,August::N,Awst,ஆகஸ்ட் மாதம்
540,September::N,Medi,செப்டம்பர் மாதம்
541,Oktober::N,Hydref,அக்டோபர் மாதம்
542,November::N,Tachwedd,நவம்பர் மாதம்
543,Dezember::N,Rhagfyr,டிசம்பர்
544,Montag::N,dydd Llun,திங்கட் கிழமை
545,Dienstag::N,dydd Mawrth,செவ்வாய்க்கிழமை
546,Mittwoch::N,dydd Mercher,புதன் கிழமை
547,Donnerstag::N,dydd Iau,வியாழக் கிழமை
548,Freitag::N,dydd Gwener,வெள்ளிக்கிழமை
549,Samstag::N,dydd Sadwrn,சனிக்கிழமை
550,Sonntag::N,dydd Sul,ஞாயிறுக் கிழமை
551,groß::A,mawr,பெரிய
552,klein::A,bach,சிறிய
553,lang::A,hir,நீண்ட
554,kurz::A,byr,குட்டையான
555,kurz::A,cwta,குட்டையான
556,breit::A,llydan,அகலமான
557,schmal::A,cul,குறுகலான
558,dicht::A,dwys,அடர்த்தியான
559,dick[Gegenstand]::A,trwchus,தடித்த
560,dünn::A,tenau,சன்னமான
561,fein::A,main,மெல்லிய
562,fest::A,cadarn,உறுதியாள
563,flach::A,gwastad,தட்டையான
564,glatt::A,llyfn,வழுவழுப்பான
565,hart::A,caled,கடினமான
566,weich::A,meddal,மென்மையான
567,rund::A,crwn,உருண்டையான
568,spitz::A,pigfain,திகந்தமாக
569,scharf::A,miniog,கூரான
570,stumpf::A,pŵl,உளம் திறந்த
571,schwer::A,trwm,கனமான
572,schön::A,teg,அழகான
573,schön::A,hardd,அழகான
574,schön::A,prydferth,அழகான
575,heiß::A,poeth,சூடான
576,warm::A,twym,இதமான
577,warm::A,cynnes,இதமான
578,kalt::A,oer,குளிர்ச்சியான
579,kühl::A,oeraidd,குளிர்ச்சியான
580,frisch::A,iach,சுத்தமான
581,feucht::A,llaith,ஈரமான
582,nass::A,gwlyb,ஈரமான
583,trocken::A,sych,உலர்ந்த
584,voll::A,llawn,நிரம்பிய
585,leer::A,gwag,காலியான
586,offen::A,agored,திறந்த
587,geschlossen::A,caead,மூடப்பட்ட
588,geschlossen::A,caeëdig,மூடப்பட்ட
589,sauber::A,glân,சுத்தமான
590,schmutzig::A,budr,அழக்கான
591,schmutzig::A,brwnt,அழக்கான
592,roh::A,amrwd,கச்சா
593,reif::A,aeddfed,பழுத்த
594,lecker::A,blasus,சுவைமிக்க
595,lecker::A,danteithiol,சுவைமிக்க
596,süß::A,melys,இனிப்பான
597,bitter::A,chwerw,கசப்பான
598,sauer::A,sur,புளிப்பாக
599,hell::A,disglair,பளபளப்பான
600,dunkel::A,tywyll,கருமையான
601,schwarz::A,du,கருப்பு வண்ண
602,weiß::A,gwyn,வெண்மையன
603,rot::A,coch,சிவப்பு
604,gelb::A,melyn,மஞ்சள் வண்ணம்
605,blau::A,glas,நீல வண்ண
606,grün::A,gwyrdd,பச்சை வண்ண
607,grau::A,llwyd,சாம்பல் நிற
608,bunt::A,lliwgar,வண்ண மயமான
609,billig::A,rhad,மலிவான
610,teuer::A,drud,விலை அதிகமான
611,wertvoll::A,gwerthfawr,மதிப்புள்ள
612,blind::A,dall,பார்வையற்ற
613,taub::A,byddar,செவிடான
614,kräftig::A,nerthol,வலிமையான
615,kräftig::A,grymus,வலிமையான
616,stark::A,cryf,பலமான
617,stark::A,cadarn,பலமான
618,schwach::A,gwan,பலவீனமான
619,fett::A,tew,பருமனாக
620,schlank::A,main,ஒல்லியான
621,hübsch::A,tlws,அழகிய
622,böse::A,drwg,கேடு விளைவிக்கும்
623,dumm::A,twp,முட்டாள்தனமான
624,faul::A,diog,சோம்பலான
625,fleißig::A,dyfal,ஊக்கந்தளராத
626,geizig::A,crintach,கஞேசத்தனமான
627,geizig::A,cybyddlyd,கஞேசத்தனமான
628,klug::A,deallus,சாதுரியமான
629,geschickt::A,medrus,திறமையள்ள
630,geschickt::A,deheuig,திறமையள்ள
631,lieb::A,hoff,அன்புக்குரிய
632,lieb::A,annwyl,அன்புக்குரிய
633,lustig::A,llon,களிப்புமிக்க
634,sanft::A,mwyn,சாதுவான
635,hungrig::A,newynog,பசியுடன்
636,krank::A,sâl,நோயுற்று
637,krank::A,gwael,நோயுற்று
638,nackt::A,noeth,ஆடையற்ற
639,traurig::A,trist,சோகமான
640,lebendig::A,yn fyw,பிழைப்பு
641,gut::A,da,நல்ல
642,schlecht::A,drwg,கெட்ட
643,schlecht::A,gwael,கெட்ட
644,richtig::A,cywir,சரியான
645,schlimm::A,enbyd,அருவருப்பான
646,wahr::A,gwir,உண்மையான
647,alt::A,hen,பழைய
648,neu::A,newydd,புதிய
649,ehemalig::A,blaenorol,முன்நாள்
650,alt[Lebewesen]::A,oedrannus,வயதான
651,jung::A,ifanc,இளமையான
652,arm::A,tlawd,ஏழ்மையான
653,reich::A,cyfoethog,செல்வம் படைத்த
654,bekannt::A,cynefin,பழக்கப்பட்ட
655,bekannt::A,cyfarwydd,பழக்கப்பட்ட
656,berühmt::A,enwog,புகழ்பெற்ற
657,fremd::A,estron,அயல் நாட்டு
658,verschieden::A,gwahanol,வித்தியாசமான
659,nah::A,agos,பக்கத்தில் உள்ள
660,fern::A,pell,தொலை தூரத்தில்
661,linker::A,aswy,மீந்திருக்கும்
662,linker::A,chwith,மீந்திருக்கும்
663,rechter::A,de,வலதுபக்கம்
664,rechter::A,deau,வலதுபக்கம்
665,anderer::A,arall,மற்ற
666,erster::A,cyntaf,முதனமையான
667,zweiter::A,ail,இரண்டாவது
668,dritter::A,trydydd,மூன்றாவது
669,letzter::A,olaf,கடைசி
670,allein::ADV,unig,தனியாக
671,allein::ADV,ar ei ben ei hun,தனியாக
672,auf einmal::ADV,ar yr un pryd,தடீரென்று
673,zusammen::ADV,ynghyd,சேர்ந்து
674,zusammen::ADV,gyda'i gilydd,சேர்ந்து
675,lange::ADV,amser hir,அதிக நோம்
676,plötzlich::ADV,yn sydyn,தடீரென்று
677,sofort::ADV,ar unwaith,உடனடியாக
678,später::ADV,yn ddiweddarach,பிறகு
679,jetzt::ADV,yn awr,இப்பொழது
680,heute::ADV,heddiw,இன்று
