,Concept_ID,ml,mn
59,Geschmack::N,രുചി,амт
60,Geruch::N,ഗന്ധം,үнэр
61,Schlaf::N,ഉറകും,нойр
62,Traum::N,സ്വപ്നം,зүүд
63,Himmel::N,ആകാശം,тэнгэр
64,Himmel::N,ആകാശം,огторгуй
65,Sonne::N,സൂര്യൻ,нар
66,Mond::N,ചന്ദ്രൻ,сар
67,Stern::N,നക്ഷത്രം,од
68,Luft::N,കാറ്റ്,агаар
69,Wind::N,കാറ്റ്,салхи
70,Welle::N,തിരമാല,долгио
71,Welle::N,തിരമാല,давалгаа
72,Wasser::N,വെള്ളം,ус
73,Stein::N,ശില,чулуу
74,Stein::N,കല്ല്,чулуу
75,Boden::N,തറ,хөрс
76,Boden::N,നിലം,хөрс
77,Erde::N,മണ്ണ്,газар
78,Erde::N,മണ്ണ്,шороо
79,Staub::N,പൊടി,тоос
80,Rauch::N,പുക,утаа
81,Funke::N,തീപ്പൊരി,оч
82,Feuer::N,തീ,гал
83,Licht::N,വിളക്ക്,гэрэл
84,Licht::N,വിളക്ക്,гэгээ
85,Licht::N,സൂര്യപ്രകാശം,гэрэл
86,Licht::N,സൂര്യപ്രകാശം,гэгээ
87,Schatten::N,തണൽ,сүүдэр
88,Wetter::N,കാലാവസ്ഥ,тэнгэр
89,Wetter::N,കാലാവസ്ഥ,цаг уур
90,Nebel::N,മൂടൽമഞ്ഞ്,будан
91,Wolke::N,മേഘം,үүл
92,Regen::N,മഴ,бороо
93,Schnee::N,മഞ്ഞ്,цас
94,Eis::N,ഐസ്,мөс
95,Frost::N,മൂടൽമഞ്ഞ്,хүйт
96,Kälte::N,തണുപ്പ്,хүйт
97,Hitze::N,ചൂട്,халуун
98,Raureif::N,കോടമഞ്ഞ്,цан
99,Raureif::N,കോടമഞ്ഞ്,хяруу
100,Regenbogen::N,മഴവില്ല്,солонго
101,Donner::N,ഇടി,тэнгэрийн дуу
102,Strömung::N,പ്രവാഹം,урсгал
103,Tropfen::N,തുള്ളി,дусал
104,Schaum::N,നുര,хөөс
105,Schmutz::N,അഴുക്ക്,хир
106,Schmutz::N,അഴുക്ക്,шавхай
107,See::N,തടാകം,нуур
108,Sumpf::N,ചതുപ്പുനിലം,намаг
109,Sumpf::N,ചതുപ്പുനിലം,балчиг
110,Moor::N,പാഴ്നിലം,хүлрийн намаг
111,Wiese::N,പുൽത്തകിടി,нуга
112,Wald::N,വനം,ой
113,Wald::N,കാട്,ой
114,Hügel::N,കുന്ന്,болдог
115,Anhöhe::N,ഉയർന്ന ഭൂമി,гүвээ
116,Berg::N,പർവ്വതം,уул
117,Gipfel::N,ഉച്ചകോടി,орой
118,Gipfel::N,ഉച്ചകോടി,оргил
119,Höhle::N,ഗുഹ,агуй
120,Abhang::N,ചരിവ്,хүр
121,Quelle::N,ഉറവിടം,булаг
122,Bach::N,അരുവി,горхи
123,Fluss::N,നദി,гол
124,Fluss::N,നദി,мөрөн
125,Ufer::N,തീരം,эрэг
126,Küste::N,കടൽത്തീരം,эрэг
127,Festland::N,കര,хуурай газар
128,Meer::N,കടൽ,далай
129,Meer::N,കടൽ,тэнгис
130,Bucht::N,ഉൾക്കടല്,булан
131,Bucht::N,ഉൾക്കടല്,далайн тохой
132,Insel::N,ദ്വീപ്,арал
133,Blume::N,പൂവ്,цэцэг
134,Gras::N,പുല്ല്,өвс
135,Gras::N,പുല്ല്,ногоо
136,Wurzel::N,വേര്,үндэс
137,Baum::N,മരം,мод
138,Stamm::N,തായ്ത്തടി,иш
139,Stamm::N,തായ്ത്തടി,гуалин
140,Rinde::N,പട്ട,холтос
141,Ast::N,ശാഖ,гишүү
142,Zweig::N,ശാഖ,салаа
143,Blatt::N,ഇല,навч
144,Birke::N,പൂവരശ്,хус
145,Kiefer[Baum]::N,പൈൻമരം,нарс
146,Weide[Baum]::N,വില്ലോ,уд
147,Weide[Baum]::N,വില്ലോ,бургас
148,Tanne::N,ദേവദാരു,гачуур
149,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,эвэр
150,Feder::N,തൂവൽ,өд
151,Fell::N,മൃദുരോമം,арьс
152,Flügel::N,ചിറക്,жигүүр
153,Flügel::N,ചിറക്,далавч
154,Klaue::N,നഖം,савар
155,Klaue::N,നഖം,хумс
156,Kralle::N,നഖം,савар
157,Schwanz::N,വാൽ,сүүл
158,Ei::N,മുട്ട,өндөг
159,Nest::N,കൂട്,үүр
160,Bau::N,മാളം,нүх
161,Bau::N,മാളം,элүү
162,Tier::N,മൃഗം,амьтан
163,Tier::N,മൃഗം,адгуус
164,Herde::N,കൂട്ടം,сүрэг
165,Kuh::N,പശു,үнээ
166,Bulle::N,കാള,бух
167,Pferd::N,കുതിര,морь
168,Pferd::N,കുതിര,адуу
169,Schaf::N,ആട്,хонь
170,Schwein::N,പന്നി,гахай
171,Hund::N,നായ്,нохой
172,Katze::N,പൂച്ച,муур
173,Katze::N,പൂച്ച,мигуй
174,Bär::N,കരടി,баавгай
175,Eichhörnchen::N,അണ്ണാൻ,хэрэм
176,Elch::N,കടമാന്,хандгай
177,Fuchs::N,കുറുക്കൻ,үнэг
178,Hase::N,മുയൽ,туулай
179,Maus::N,ചുണ്ടലി,хулгана
180,Wolf::N,ചെന്നായ,чоно
181,Vogel::N,പക്ഷി,шувуу
182,Schwarm::N,കൂട്ടം,сүрэг
183,Huhn::N,കോഴി,тахиа
184,Hahn::N,പൂവൻകോഴി,эр тахиа
185,Gans::N,അരയന്നം,галуу
186,Adler::N,കഴുകൻ,бүргэд
187,Ente::N,താറാവ്,нугас
188,Eule::N,മൂങ്ങ,ууль
189,Kranich::N,കൊക്ക്,тогоруу
190,Krähe::N,കാക്ക,хэрээ
191,Kuckuck::N,കുയിൽ,хөхөө
192,Schwan::N,അരയന്നം,хун
193,Fisch::N,മത്സ്യം,загас
194,Barsch::N,ഒരിനം മത്സ്യം,алгана
195,Hecht::N,ഒരു മത്സ്യം,цурхай
196,Schlange[Tier]::N,പാമ്പ്,могой
197,Wurm::N,വിര,өт
198,Wurm::N,വിര,хорхой
199,Spinne::N,ചിലന്തി,аалз
200,Ameise::N,ഉറുമ്പ്,шоргоолж
201,Laus::N,പേന്,бөөс
202,Mücke::N,മശകം,шумуул
203,Fliege::N,ഈച്ച,ялаа
204,Schmetterling::N,ചിത്രശലഭം,эрвээхэй
205,Beere::N,ബെറി,жимсгэнэ
206,Apfel::N,ആപ്പിൾ,алим
207,Pilz::N,കൂൺ,мөөг
208,Zwiebel::N,സവാള,сонгино
209,Saat::N,വിത്ത്,тариа
210,Korn::N,ധാന്യം,үр
211,Korn::N,ധാന്യം,мөхлөг
212,Heu::N,വയ്ക്കോൽ,өвс
213,Schale::N,തൊലി,хальс
214,Grube::N,കുഴി,алам
215,Grube::N,കുഴി,нүх
216,Falle::N,കെണി,хавх
217,Falle::N,കെണി,занга
218,Schlinge::N,കുടുക്ക്,урхи
219,Spur::N,ചുവട്,мөр
220,Asche::N,ചാരം,үнс
221,Dreck::N,അഴുക്ക്,хир
222,Eisen::N,ഇരുമ്പ്,төмөр
223,Gold::N,സ്വർണ്ണം,алт
224,Silber::N,വെള്ളി,мөнгө
225,Kohle::N,കൽക്കരി,нүүрс
226,Glas::N,ഗ്ലാസ്,шил
227,Lehm::N,കളിമണ്ണ്,шавар
228,Sand::N,മണൽ,элс
229,Mensch::N,മനുഷ്യർ,хүн
230,Mann::N,പുരുഷൻ,эр
231,Mann::N,പുരുഷൻ,эрэгтэй
232,Frau::N,സ്ത്രീ,эмэгтэй
233,Frau::N,സ്ത്രീ,хатагтай
234,Kind::N,കുഞ്ഞ്,хүүхэд
235,Junge::N,ആൺകുട്ടി,хүү
236,Mädchen::N,പെൺകുട്ടി,охин
237,Mädchen::N,പെൺകുട്ടി,бүсгүй
238,Familie::N,കുടുംബം,айл
239,Großvater::N,അപ്പൂപ്പൻ,өвгөн аав
240,Großmutter::N,അമ്മുമ്മ,эмэг эх
241,Großmutter::N,അമ്മുമ്മ,эмгээ
242,Eltern::N,മാതാപിതാക്കള്,эцэг эх
243,Vater::N,അച്ഛൻ,аав
244,Vater::N,അച്ഛൻ,эцэг
245,Mutter::N,അമ്മ,эх
246,Mutter::N,അമ്മ,ээж
247,Sohn::N,മകൻ,хүү
248,Tochter::N,മകൾ,охин
249,Bruder::N,ചേട്ടൻ,ах
250,Bruder::N,ചേട്ടൻ,дүү
251,Bruder::N,അനിയൻ,ах
252,Bruder::N,അനിയൻ,дүү
253,Schwester::N,ചേച്ചി,эгч
254,Schwester::N,ചേച്ചി,охин дүү
255,Schwester::N,അനിയത്തി,эгч
256,Schwester::N,അനിയത്തി,охин дүү
257,Onkel::N,അമ്മാവൻ,авга ах
258,Onkel::N,അമ്മാവൻ,нагац ах
259,Tante::N,മാമി,авга эгч
260,Tante::N,മാമി,нагац эгч
261,Ehemann::N,ഭർത്താവ്,нөхөр
262,Ehefrau::N,ഭാര്യ,эхнэр
263,Ehefrau::N,ഭാര്യ,гэргий
264,Freude::N,ആഹ്ലാദം,баяр
265,Freude::N,ആഹ്ലാദം,баясгалан
266,Gelächter::N,ചിരിയുടെ ശബ്ദം,инээдэм
267,Glück::N,സന്തോഷം,жаргалан
268,Glück::N,സന്തുഷ്ടി,жаргалан
269,Kummer::N,ശോകം,гаслан
270,Wunsch::N,ആഗ്രഹം,ерөөл
271,Lust::N,ആഗ്രഹം,дур
272,Lust::N,ആഗ്രഹം,хүсэл
273,Geist::N,ചുറുചുറുക്ക്,оюун
274,Gedanke::N,ചിന്ത,сэтгэл
275,Gedächtnis::N,ഓർമ്മശക്തി,ой
276,Gedächtnis::N,ഓർമ്മശക്തി,цээж
277,Verstand::N,മനസ്സ്,ухаан
278,Sinn::N,അർത്ഥം,утга
279,Grund::N,കാരണം,учир
280,Wahrheit::N,സത്യം,үнэн
281,Gespräch::N,സല്ലാപം,яриа
282,Märchen::N,യക്ഷിക്കഥ,явган үлгэр
283,Erzählung::N,കഥ,тууж
284,Nachricht::N,സന്ദേശം,мэдээ
285,Neuigkeit::N,വാർത്ത,сонин
286,Name::N,പേര്,нэр
287,Rätsel::N,പ്രഹേളിക,оньсого
288,Rede::N,സംസാരം,хэлсэн үг
289,Sprache::N,ഭാഷ,хэл
290,Stimme::N,സ്വരം,дуу
291,Wort::N,വാക്ക്,үг
292,Zeichen::N,സംജ്ഞ,тамга
293,Zeichen::N,സംജ്ഞ,тэмдэг
294,Ruf::N,വിളി,дуудлага
295,Lärm::N,ആരവം,шуугиан
296,Lärm::N,ആരവം,чимээ
297,Laut::N,ശബ്ദം,анир
298,Laut::N,ശബ്ദം,дуу
299,Ton::N,സ്വരഭേദം,авиа
300,Ton::N,സ്വരഭേദം,аялгуу
301,Lied::N,പാട്ട്,дуу
302,Ruhe::N,നിശ്ചലത,энх
303,Ruhe::N,നിശ്ചലത,тайван
304,Leute::N,ജനങ്ങൾ,хүмүүс
305,Volk::N,രാഷ്ടം,улс
306,Arbeit::N,ജോലി,ажил
307,Arbeit::N,ജോലി,хөдөлмөр
308,Gast::N,അതിലി,зочин
309,Gast::N,അതിലി,айлчин
310,Geschenk::N,സമ്മാനം,бэлэг
311,Spiel::N,കളി,наадам
312,Spiel::N,കളി,тоглоом
313,Gesellschaft::N,കൂട്ടായ്മ,хамт байх
314,Hilfe::N,സഹായം,тусламж
315,Freund::N,സുഹൃത്ത്,найз
316,Freund::N,സുഹൃത്ത്,нөхөр
317,Kamerad::N,കൂട്ടാളി,хань
318,Kamerad::N,കൂട്ടാളി,нөхөр
319,Angelegenheit::N,കാര്യം,хэрэг
320,Anzahl::N,എണ്ണം,тоо
321,Art::N,തരം,төрөл
322,Art::N,തരം,янз
323,Stück::N,കഷണം,хэсэг
324,Teil::N,ഭാഗം,хувь
325,Teil::N,ഭാഗം,хэсэг
326,Hälfte::N,പകുതി,хагас
327,Kreis::N,വൃത്തം,тойрог
328,Kreis::N,വൃത്തം,хүрээ
329,Kreuz::N,കുരിശടയാളം,загалмай
330,Linie::N,വര,шугам
331,Linie::N,രേഖ,шугам
332,Strich::N,പക്ഷാഘാതം,зураас
333,Abstand::N,വിടവ്,зай
334,Entfernung::N,അകലം,зай
335,Entfernung::N,അകലം,хол ойр
336,Gegend::N,പ്രദേശം,хавь
337,Gegend::N,പ്രദേശം,газар
338,Platz::N,ഇടം,зай
339,Platz::N,ഇടം,завсар
340,Ort::N,സ്ഥലം,газар
341,Ort::N,സ്ഥലം,байр
342,Seite::N,വശം,тал
343,Seite::N,വശം,этгээд
344,Mitte::N,മധ്യസ്ഥാനം,төв
345,Mitte::N,മധ്യസ്ഥാനം,дунд
346,Gegenstand::N,സാധനം,юм
347,Sache::N,വസ്തു,үйл
348,Sache::N,വസ്തു,хэрэг
349,Rand::N,തൊങ്ങൽ,зах
350,Rand::N,തൊങ്ങൽ,хөвөө
351,Kante::N,അറ്റം,ирмэг
352,Ecke::N,മൂല,өнцөг
353,Spitze::N,അഗ്രം,үзүүр
354,Ende::N,അവസാനം,зах
355,Ende::N,അവസാനം,үзүүр
356,Loch::N,ദ്വാരം,цоорхой
357,Loch::N,ദ്വാരം,онгорхой
358,Winkel::N,കോൺ,өнцөг
359,Muster::N,ക്രമം,хээ
360,Muster::N,ക്രമം,угалз
361,Größe::N,വലുപ്പം,хэмжээ
362,Länge::N,നീളം,урт
363,Höhe::N,ഉയരം,өндөр
364,Gewicht::N,കട്ടി,жин
365,Menge::N,അളവ്,тоо
366,Haufen::N,കൂമ്പാരം,бөөн
367,Reihe::N,വരി,эгнээ
368,Boot::N,ബോട്ട്,завь
369,Ruder::N,പങ്കായം,сэлүүр
370,Schlitten::N,ഉരുളില്ലാവണ്ടി,чарга
371,Ski::N,ഹിമപാദുകം,цана
372,Lagerfeuer::N,തീ,түүдэг
373,Last::N,ഭാരം,ачаа
374,Gang::N,നടത്തം,явдал
375,Schritt::N,ചുവട്,алхам
376,Norden::N,വടക്ക്,умар
377,Süden::N,തെക്ക്,урд
378,Süden::N,തെക്ക്,өмнө
379,Westen::N,പടിഞ്ഞാറ്,өрнө
380,Westen::N,പടിഞ്ഞാറ്,баруун
381,Osten::N,കിഴക്ക്,зүүн
382,Osten::N,കിഴക്ക്,дорно
383,Holz::N,തടി,мод
384,Brett::N,ബോർഡ്,банз
385,Platte::N,തകിട്,хавтан
386,Stütze::N,താങ്ങ്,тулгуур
387,Stütze::N,താങ്ങ്,тулга
388,Stange::N,കമ്പ്,сургааг
389,Stock::N,വടി,саваа
390,Stab::N,കുറുവടി,таяг
391,Rohr::N,കുഴൽ,хоолой
392,Haus::N,വീട്,гэр
393,Haus::N,വീട്,байшин
394,Heim::N,വീട്,гэр
395,Ofen::N,സ്റ്റൌ,зуух
396,Ofen::N,സ്റ്റൌ,пийшин
397,Fußboden::N,തറ,шал
398,Tisch::N,മേശ,ширээ
399,Stuhl::N,കസേര,сандал
400,Wiege::N,തൊട്ടിൽ,өлгий
401,Bett::N,കിടക്ക,ор
402,Regal::N,ഷെൽഫ്,тавиур
403,Kiste::N,പെട്ടി,авдар
404,Kiste::N,പെട്ടി,хайрцаг
405,Fenster::N,ജനൽ,гэгээвч
406,Tür::N,വാതിൽ,үүд
407,Tür::N,വാതിൽ,хаалга
408,Tor::N,കവാടം,хаалга
409,Zaun::N,വേലി,хашаа
410,Dach::N,മേൽക്കുര,дээвэр
411,Leiter::N,ഏണി,шат
412,Besen::N,ചൂല്,хамуур
413,Besen::N,ചൂല്,туужуу
414,Spaten::N,തൂമ്പ,хүрз
415,Schaufel::N,തൂമ്പ,хүрз
416,Gabel::N,മുൾക്കത്തി,сэрээ
417,Löffel::N,സ്പൂൺ,халбага
418,Messer::N,കത്തി,хутга
419,Nagel::N,ആണി,хадаас
420,Netz::N,വല,өөш
421,Netz::N,വല,тор
422,Haken::N,കൊളുത്ത്,гох
423,Griff::N,കൈപ്പിടി,иш
424,Griff::N,കൈപ്പിടി,сэнж
425,Schloss::N,പൂട്ട്,цуурга
426,Schloss::N,പൂട്ട്,цоож
427,Bild::N,ചിത്രം,зураг
428,Figur::N,കണക്ക്,баримал
429,Puppe::N,പാവ,хүүхэлдэй
430,Beutel::N,ബാഗ്,агсаа
431,Beutel::N,ബാഗ്,уут
432,Bündel::N,കെട്ട്,боодол
433,Tasche::N,ബാഗ്,цүнх
434,Eimer::N,ബക്കറ്റ്,хөнөг
435,Eimer::N,ബക്കറ്റ്,хувин
436,Deckel::N,ഉറ,таг
437,Deckel::N,ഉറ,хавхаг
438,Geschirr::N,പിഞ്ഞാണം,сав суулга
439,Sack::N,ചാക്ക്,шуудай
440,Tasse::N,കപ്പ്,аяга
441,Topf::N,പാത്രം,тогоо
442,Kessel::N,കെറ്റ്ല്,тогоо
443,Essen::N,ആഹാരസമയം,идээ
444,Nahrung::N,ഭക്ഷണം,хүнс
445,Speise::N,ഡിഷ്,идээ
446,Fleisch::N,മാംസം,мах
447,Getreide::N,ചോളം,будаа
448,Brei::N,കഞ്ഞി,богшмол
449,Brei::N,കഞ്ഞി,будаа
450,Brot::N,റോട്ടി,талх
451,Scheibe::N,തുണ്ട്,зүсэм
452,Scheibe::N,തുണ്ട്,хэрчим
453,Fett::N,കൊഴുപ്പ്,өөх
454,Butter::N,വെണ്ണ,тос
455,Öl::N,എണ്ണ,тос
456,Salz::N,ഉപ്പ്,давс
457,Suppe::N,സൂപ്പ്,шөл
458,Honig::N,തേൻ,бал
459,Milch::N,പാൽ,сүү
460,Tee::N,ചായ,цай
461,Leder::N,തുകൽ,арьс
462,Leder::N,തുകൽ,савхи
463,Wolle::N,കമ്പിളി,ноос
464,Wolle::N,കമ്പിളി,унгас
465,Stoff::N,തുണി,бөс
466,Nadel::N,സൂചി,зүү
467,Faden::N,നൂല്,боолт
468,Faden::N,നൂല്,утас
469,Knopf::N,ബട്ടൺ,товч
470,Knoten::N,കുരുക്ക്,зангилаа
471,Farbe::N,പെയിൻറ്,будаг
472,Kleidung::N,വസ്ത്രങ്ങൾ,хувцас
473,Hemd::N,ഷർട്ട്,цамц
474,Kragen::N,കുപ്പായക്കഴുത്ത്,зах заам
475,Ärmel::N,കുപ്പായക്കൈ,ханцуй
476,Hose::N,ട്രൌസർ,өмд
477,Gürtel::N,ബെൽറ്റ്,бүс
478,Mütze::N,തൊപ്പി,малгай
479,Mütze::N,തൊപ്പി,бүрх
480,Schuh::N,ഷൂ,туфли
481,Stiefel::N,ബൂട്ട്,гутал
482,Ring::N,മോതിരം,бөгж
483,Band::N,റിബൺ,тууз
484,Kamm::N,ചീപ്പ്,сам
485,Spiegel::N,കണ്ണാടി,толь
486,Riemen::N,സ്ട്രാപ്പ്,тасам
487,Riemen::N,സ്ട്രാപ്പ്,сур
488,Schnur::N,ചരട്,татлага
489,Leine::N,കെട്ടാനുള്ള തോൽവാർ,оосор
490,Decke::N,പുതപ്പ്,хөнжил
491,Decke::N,പുതപ്പ്,хучлага
492,Kissen::N,തലയിണ,дэр
493,Tuch::N,സ്കാർഫ്,алчуур
494,Tuch::N,സ്കാർഫ്,даавуу
495,Handtuch::N,തോർത്ത്,алчуур
496,Kraft::N,ശക്തി,чадал
497,Kraft::N,ശക്തി,хүч
498,Stärke::N,ശക്തി,эрч
499,Stärke::N,ശക്തി,тэнхээ
500,Gesundheit::N,ആരോഗ്യം,бие
501,Gesundheit::N,ആരോഗ്യം,эрүүл мэнд
502,Krankheit::N,അസുഖം,эмгэг
503,Schmerz::N,വേദന,өвчин
504,Wunde::N,മുറിവ്,шарх
505,Fieber::N,പനി,халуун
506,Arznei::N,മരുന്ന്,эм
507,Brücke::N,പാലം,гүүр
508,Brunnen::N,കിണർ,худаг
509,Weide::N,മേച്ചൽ,бэлчээр
510,Pfad::N,വഴി,жим
511,Pfad::N,വഴി,зөрөг
512,Weg::N,വഴി,зам
513,Weg::N,വഴി,харгуй
514,Straße::N,റോഡ്,зам
515,Straße::N,റോഡ്,харгуй
516,Dorf::N,ഗ്രാമം,тосгон
517,Dorf::N,ഗ്രാമം,гацаа
518,Stadt::N,നഗരം,хот
519,Brief::N,കത്ത്,захидал
520,Brief::N,കത്ത്,захиа
521,Buch::N,പുസ്തകം,ном
522,Buch::N,പുസ്തകം,бичиг
523,Buchstabe::N,അക്ഷരം,үсэг
524,Zeitung::N,വർത്തമാനപത്രം,сонин
525,Leben::N,ജീവൻ,амь
526,Leben::N,ജീവൻ,амьдрал
527,Tod::N,മരണം,үхэл
528,Grab::N,ശവക്കുഴി,булш
529,Kirche::N,പള്ളി,сүм
530,Sünde::N,പാപം,нүгэл
531,Sünde::N,പാപം,хилэнц
532,Gott::N,ദൈവം,бурхан
533,Arbeiter::N,ജോലിക്കാരൻ,ажилчин
534,Arbeiter::N,ജോലിക്കാരൻ,хөдөлмөрчин
535,Chef::N,മേധാവി,дарга
536,Meister::N,യജമാനൻ,дархан
537,Arzt::N,ഡോക്ടർ,эмч
538,Lehrer::N,അധ്യാപകൻ,багш
539,Geld::N,പണം,цаас
540,Geld::N,പണം,мөнгө
541,Geschäft::N,ബിസിനസ്,наймаа
542,Laden::N,കട,дэлгүүр
543,Preis::N,വില,үнэ
544,Ware::N,ചരക്ക്,таваар
545,Ware::N,ചരക്ക്,бараа
546,Nutzen::N,ലാഭം,ашиг
547,Reichtum::N,ധനം,баялаг
548,Welt::N,ലോകം,дэлхий
549,Welt::N,ലോകം,орчлон
550,Land::N,രാജ്യം,улс
551,Land::N,രാജ്യം,орон
552,Staat::N,രാജ്യം,төр
553,Staat::N,രാജ്യം,гүрэн
554,König::N,രാജാവ്,ван
555,Macht::N,അധികാരം,засаг
556,Grenze::N,അതിർത്തി,хил
557,Krieg::N,യുദ്ധം,дайн
558,Feind::N,ശത്രു,дайсан
559,Gewalt::N,അക്രമം,хүчирхэх
560,Kampf::N,പോരാട്ടം,тэмцэл
561,Kampf::N,പോരാട്ടം,байлдаан
562,Bogen[Waffe]::N,വില്ല്,нум
563,Pfeil::N,അമ്പ്,годил
564,Pfeil::N,അമ്പ്,сум
565,Gewehr::N,തോക്ക്,буу
566,Fehler::N,പിശക്,эндэл
567,Fehler::N,പിശക്,алдаа
568,Lüge::N,കള്ളം,худал
569,Schaden::N,കേടുപാട്,хор
570,Schaden::N,കേടുപാട്,хөнөөл
571,Unglück::N,ദൌർഭാഗ്യം,гай
572,Unglück::N,ദൌർഭാഗ്യം,гамшиг
573,Schuld::N,തെറ്റ്,гэм
574,Schuld::N,തെറ്റ്,буруу
575,Alter::N,വയസ്സ്,нас
576,Schluss::N,നിഗമനം,эцэс
577,Schluss::N,നിഗമനം,төгсгөл
578,Zeit::N,സമയം,цаг
579,Tag::N,ദിവസം,өдөр
580,Morgen::N,പ്രഭാതം,өглөө
581,Mittag::N,ഉച്ച,үд
582,Abend::N,സായാഹ്നം,үдэш
583,Nacht::N,രാത്രി,шөнө
584,Woche::N,ആഴ്ച,долоо хоног
585,Monat::N,മാസം,сар
586,Jahr::N,വർഷം,жил
587,Frühling::N,വസന്തം,хавар
588,Sommer::N,വേനൽ,зун
589,Herbst::N,ശരത്കാലം,намар
590,Winter::N,ശൈത്യം,өвөл
591,Januar::N,ജനുവരി,нэгдүгээр сар
592,Februar::N,ഫെബ്രുവരി,хоёрдугаар сар
593,März::N,മാർച്ച്,гуравдугаар сар
594,April::N,ഏപ്രിൾ മാസം,дөрөвдүгээр сар
595,Mai::N,മെയ് മാസം,тавдугаар сар
596,Juni::N,ജൂൺ,зургаадугаар сар
597,Juli::N,ജൂലൈ,долдугаар сар
598,August::N,ആഗസ്റ്റ്,наймдугаар сар
599,September::N,സെപ്തംബർ,есдүгээр сар
600,Oktober::N,ഒക്ടോബർ,аравдугаар сар
601,November::N,നവംബർ,арван нэгдүгээр сар
602,Dezember::N,ഡിസംബർ,арван хоёрдугаар сар
603,Montag::N,തിങ്കളാഴ്ച,даваа
604,Dienstag::N,ചൊവ്വ,мягмар
605,Mittwoch::N,ബുധനാഴ്ച,лхагва
606,Donnerstag::N,വ്യാഴാഴ്ച,пүрэв
607,Freitag::N,വെള്ളിയാഴ്ച,баасан
608,Samstag::N,ശനിയാഴ്ച,бямба
609,Sonntag::N,ഞായറാഴ്ച,ням
610,groß::A,വലിയ,их
611,groß::A,വലിയ,том
612,klein::A,ചെറിയ,бага
613,klein::A,ചെറിയ,жаахан
614,lang::A,നീണ്ട,урт
615,kurz::A,ഹ്രസ്വമായ,охор
616,kurz::A,ഹ്രസ്വമായ,богино
617,breit::A,വിശാലമായ,өргөн
618,schmal::A,ഇടുങ്ങിയ,уйтан
619,schmal::A,ഇടുങ്ങിയ,нарийн
620,dicht::A,നിബിഡമായ,нягт
621,dicht::A,നിബിഡമായ,чигжүү
622,dick[Gegenstand]::A,തടിച്ച,зузаан
623,dünn::A,മെലിഞ്ഞ,нимгэн
624,fein::A,നേർത്ത,нарийн
625,fest::A,ഉറപ്പുള്ള,бөх
626,fest::A,ഉറപ്പുള്ള,хатуу
627,flach::A,പരന്ന,хавтгай
628,glatt::A,മിനുസമുള്ള,цагаан
629,hart::A,കട്ടിയുള്ള,хатуу
630,weich::A,മൃദുവായ,зөөлөн
631,rund::A,വട്ടത്തിലുള്ള,дугуй
632,rund::A,വട്ടത്തിലുള്ള,дугариг
