,Concept_ID,ml,bn
48,Atem::N,ശ്വാസം,শ্বাস
49,Hunger::N,വിശപ്പ്,ক্ষুধা
50,Träne::N,കണ്ണീർ,অশ্রু
51,Geschmack::N,രുചി,স্বাদ
52,Geruch::N,ഗന്ധം,গন্ধ
53,Schlaf::N,ഉറകും,ঘুম
54,Traum::N,സ്വപ്നം,স্বপ্ন
55,Himmel::N,ആകാശം,আকাশ
56,Sonne::N,സൂര്യൻ,সূর্য
57,Mond::N,ചന്ദ്രൻ,চন্দ্র
58,Stern::N,നക്ഷത്രം,নক্ষত্র
59,Luft::N,കാറ്റ്,বায়ু
60,Wind::N,കാറ്റ്,বাতাস
61,Welle::N,തിരമാല,ঢেউ
62,Welle::N,തിരമാല,তরঙ্গ
63,Wasser::N,വെള്ളം,জল
64,Stein::N,ശില,ঢিল
65,Stein::N,ശില,প্রস্তর
66,Stein::N,കല്ല്,ঢিল
67,Stein::N,കല്ല്,প্রস্তর
68,Boden::N,തറ,ভূতল
69,Boden::N,നിലം,ভূতল
70,Erde::N,മണ്ണ്,ভূমি
71,Staub::N,പൊടി,ধুলা
72,Rauch::N,പുക,ধোঁয়া
73,Funke::N,തീപ്പൊരി,স্ফুলিঙ্গ
74,Feuer::N,തീ,অগ্নি
75,Licht::N,വിളക്ക്,আলো
76,Licht::N,സൂര്യപ്രകാശം,আলো
77,Schatten::N,തണൽ,ছায়া
78,Wetter::N,കാലാവസ്ഥ,আবহাওয়া
79,Nebel::N,മൂടൽമഞ്ഞ്,কুহেলিকা
80,Wolke::N,മേഘം,মেঘ
81,Regen::N,മഴ,বৃষ্টি
82,Schnee::N,മഞ്ഞ്,তুষার
83,Eis::N,ഐസ്,বরফ
84,Frost::N,മൂടൽമഞ്ഞ്,তুষার
85,Kälte::N,തണുപ്പ്,শৈত্য
86,Hitze::N,ചൂട്,তাপ
87,Raureif::N,കോടമഞ്ഞ്,তুহিন
88,Regenbogen::N,മഴവില്ല്,রামধনু
89,Donner::N,ഇടി,বজ্রধ্বনি
90,Strömung::N,പ്രവാഹം,স্রোত
91,Tropfen::N,തുള്ളി,ফোঁটা
92,Schaum::N,നുര,ফেনা
93,Schmutz::N,അഴുക്ക്,ধুলা
94,See::N,തടാകം,হ্রদ
95,Sumpf::N,ചതുപ്പുനിലം,জলা
96,Moor::N,പാഴ്നിലം,মাঠ
97,Wiese::N,പുൽത്തകിടി,তৃণভূমি
98,Wald::N,വനം,বন
99,Wald::N,കാട്,বন
100,Hügel::N,കുന്ന്,পাহাড়
101,Anhöhe::N,ഉയർന്ന ഭൂമി,টিলা
102,Berg::N,പർവ്വതം,পর্বত
103,Gipfel::N,ഉച്ചകോടി,শীর্ষ
104,Höhle::N,ഗുഹ,গুহা
105,Abhang::N,ചരിവ്,ঢাল
106,Quelle::N,ഉറവിടം,উৎস
107,Bach::N,അരുവി,ক্ষুদ্র নদী
108,Fluss::N,നദി,নদী
109,Ufer::N,തീരം,উপকূল
110,Küste::N,കടൽത്തീരം,তীর
111,Festland::N,കര,ভূমি
112,Meer::N,കടൽ,সমুদ্র
113,Bucht::N,ഉൾക്കടല്,উপসাগর
114,Insel::N,ദ്വീപ്,দ্বীপ
115,Blume::N,പൂവ്,ফুল
116,Gras::N,പുല്ല്,ঘাস
117,Wurzel::N,വേര്,শিকড়
118,Baum::N,മരം,গাছ
119,Stamm::N,തായ്ത്തടി,স্কন্ধ
120,Rinde::N,പട്ട,বল্কল
121,Ast::N,ശാഖ,শাখা
122,Zweig::N,ശാഖ,ডাল
123,Blatt::N,ഇല,পর্ণ
124,Birke::N,പൂവരശ്,ভুর্জ
125,Kiefer[Baum]::N,പൈൻമരം,পাইন গাছ
126,Weide[Baum]::N,വില്ലോ,উইলো
127,Tanne::N,ദേവദാരു,দেবদারূ গাছ
128,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,শিং
129,Feder::N,തൂവൽ,পালক
130,Fell::N,മൃദുരോമം,রোম
131,Flügel::N,ചിറക്,ডানা
132,Klaue::N,നഖം,নখর
133,Kralle::N,നഖം,নখর
134,Schwanz::N,വാൽ,লেজ
135,Ei::N,മുട്ട,ডিম
136,Nest::N,കൂട്,কুলায়
137,Bau::N,മാളം,ডেরা
138,Tier::N,മൃഗം,জন্তু
139,Herde::N,കൂട്ടം,ঝাঁক
140,Kuh::N,പശു,গোরু
141,Bulle::N,കാള,বৃষ
142,Pferd::N,കുതിര,ঘোড়া
143,Schaf::N,ആട്,ভেড়া
144,Schwein::N,പന്നി,শূকর
145,Hund::N,നായ്,কুকুর
146,Katze::N,പൂച്ച,বেড়াল
147,Bär::N,കരടി,ভল্লুক
148,Eichhörnchen::N,അണ്ണാൻ,কাঠবিড়াল
149,Elch::N,കടമാന്,হরিণবিশেষ
150,Fuchs::N,കുറുക്കൻ,পাঁতিশিয়াল
151,Hase::N,മുയൽ,শশক
152,Maus::N,ചുണ്ടലി,নেংটি ইঁদুর
153,Wolf::N,ചെന്നായ,নেকড়ে
154,Vogel::N,പക്ഷി,পক্ষী
155,Schwarm::N,കൂട്ടം,ঝাঁক
156,Huhn::N,കോഴി,মোরগ
157,Hahn::N,പൂവൻകോഴി,কুক্কুট
158,Gans::N,അരയന്നം,হংসী
159,Adler::N,കഴുകൻ,ইগল
160,Ente::N,താറാവ്,হংসী
161,Eule::N,മൂങ്ങ,পেচক
162,Kranich::N,കൊക്ക്,সারস
163,Krähe::N,കാക്ക,কাক
164,Kuckuck::N,കുയിൽ,কোকিল
165,Schwan::N,അരയന്നം,মরাল
166,Fisch::N,മത്സ്യം,মাছ
167,Barsch::N,ഒരിനം മത്സ്യം,মৎন্যবিশেষ
168,Hecht::N,ഒരു മത്സ്യം,বানমাছ
169,Schlange[Tier]::N,പാമ്പ്,সর্প
170,Wurm::N,വിര,কীট
171,Spinne::N,ചിലന്തി,মাকড়সা
172,Ameise::N,ഉറുമ്പ്,পিপীলিকা
173,Laus::N,പേന്,উকুন
174,Mücke::N,മശകം,মশা
175,Fliege::N,ഈച്ച,মাছি
176,Schmetterling::N,ചിത്രശലഭം,প্রজাপতি
177,Beere::N,ബെറി,বেরি
178,Apfel::N,ആപ്പിൾ,আপেল
179,Pilz::N,കൂൺ,ছত্রক
180,Zwiebel::N,സവാള,পিয়াজ
181,Saat::N,വിത്ത്,বীজ
182,Korn::N,ധാന്യം,শস্য
183,Heu::N,വയ്ക്കോൽ,খড়
184,Schale::N,തൊലി,খোসা
185,Grube::N,കുഴി,গর্ত
186,Falle::N,കെണി,ফাঁদ
187,Schlinge::N,കുടുക്ക്,পাশ
188,Spur::N,ചുവട്,চিহ্ন
189,Asche::N,ചാരം,ভস্ম
190,Dreck::N,അഴുക്ക്,ময়লা
191,Eisen::N,ഇരുമ്പ്,লোহা
192,Gold::N,സ്വർണ്ണം,স্বর্ণ
193,Silber::N,വെള്ളി,রৌপ্য
194,Kohle::N,കൽക്കരി,অঙ্গার
195,Glas::N,ഗ്ലാസ്,কাচ
196,Lehm::N,കളിമണ്ണ്,মৃত্তিকা
197,Sand::N,മണൽ,বালি
198,Mensch::N,മനുഷ്യർ,নর
199,Mensch::N,മനുഷ്യർ,মানুষ
200,Mann::N,പുരുഷൻ,মানুষ
201,Frau::N,സ്ത്രീ,নারী
202,Kind::N,കുഞ്ഞ്,বাচ্চা
203,Junge::N,ആൺകുട്ടി,ছেলে
204,Mädchen::N,പെൺകുട്ടി,মেয়ে
205,Familie::N,കുടുംബം,পরিবার
206,Großvater::N,അപ്പൂപ്പൻ,মাতামহ
207,Großmutter::N,അമ്മുമ്മ,মাতামহী
208,Eltern::N,മാതാപിതാക്കള്,মাতাপিতা
209,Vater::N,അച്ഛൻ,পিতা
210,Mutter::N,അമ്മ,মাতা
211,Sohn::N,മകൻ,ছেলে
212,Tochter::N,മകൾ,মেয়ে
213,Bruder::N,ചേട്ടൻ,দাদা
214,Bruder::N,അനിയൻ,দাদা
215,Schwester::N,ചേച്ചി,বোন
216,Schwester::N,ചേച്ചി,দিদি
217,Schwester::N,അനിയത്തി,বোন
218,Schwester::N,അനിയത്തി,দিদি
219,Onkel::N,അമ്മാവൻ,মামা
220,Tante::N,മാമി,মাসী
221,Ehemann::N,ഭർത്താവ്,স্বামী
222,Ehefrau::N,ഭാര്യ,পত্নী
223,Freude::N,ആഹ്ലാദം,উল্লাস
224,Gelächter::N,ചിരിയുടെ ശബ്ദം,হাসি
225,Glück::N,സന്തോഷം,সুখ
226,Glück::N,സന്തുഷ്ടി,সুখ
227,Kummer::N,ശോകം,দুঃখ
228,Wunsch::N,ആഗ്രഹം,আকাঙ্ক্ষা
229,Lust::N,ആഗ്രഹം,বাসনা
230,Geist::N,ചുറുചുറുക്ക്,আত্না
231,Gedanke::N,ചിന്ത,চিন্তা
232,Gedächtnis::N,ഓർമ്മശക്തി,স্মরণশক্তি
233,Verstand::N,മനസ്സ്,মন
234,Sinn::N,അർത്ഥം,পদার্থ
235,Grund::N,കാരണം,কারণ
236,Wahrheit::N,സത്യം,সত্য
237,Gespräch::N,സല്ലാപം,কথাবার্তা
238,Märchen::N,യക്ഷിക്കഥ,রূপকথা
239,Erzählung::N,കഥ,গল্প
240,Nachricht::N,സന്ദേശം,তথ্য
241,Neuigkeit::N,വാർത്ത,খবরাখবর
242,Name::N,പേര്,নাম
243,Rätsel::N,പ്രഹേളിക,ধাঁধা
244,Rede::N,സംസാരം,বক্তৃতা
245,Sprache::N,ഭാഷ,ভাষা
246,Stimme::N,സ്വരം,স্বর
247,Wort::N,വാക്ക്,শব্দ
248,Zeichen::N,സംജ്ഞ,প্রতীক
249,Ruf::N,വിളി,ডাক
250,Lärm::N,ആരവം,হৈচৈ
251,Laut::N,ശബ്ദം,ধ্বনি
252,Ton::N,സ്വരഭേദം,স্বর
253,Lied::N,പാട്ട്,গান
254,Ruhe::N,നിശ്ചലത,শান্তি
255,Leute::N,ജനങ്ങൾ,প্রজাপুঞ্জ
256,Volk::N,രാഷ്ടം,জাতি
257,Arbeit::N,ജോലി,চাকরি
258,Gast::N,അതിലി,অতিথি
259,Geschenk::N,സമ്മാനം,উপহার
260,Spiel::N,കളി,খেলা
261,Gesellschaft::N,കൂട്ടായ്മ,সঙ্গিগণ
262,Hilfe::N,സഹായം,সাহায্য
263,Freund::N,സുഹൃത്ത്,বন্ধু
264,Kamerad::N,കൂട്ടാളി,সঙ্গী
265,Angelegenheit::N,കാര്യം,বিষয়
266,Anzahl::N,എണ്ണം,পরিমাণ
267,Art::N,തരം,রকম
268,Stück::N,കഷണം,টুকরো
269,Teil::N,ഭാഗം,অংশ
270,Hälfte::N,പകുതി,অর্ধেক
271,Kreis::N,വൃത്തം,বৃত্ত
272,Kreuz::N,കുരിശടയാളം,ক্রুশ
273,Linie::N,വര,রেখা
274,Linie::N,രേഖ,রেখা
275,Strich::N,പക്ഷാഘാതം,কষি
276,Abstand::N,വിടവ്,ফাঁক
277,Entfernung::N,അകലം,ব্যবধান
278,Gegend::N,പ്രദേശം,ক্ষেত্র
279,Platz::N,ഇടം,জায়গা
280,Ort::N,സ്ഥലം,স্থান
281,Seite::N,വശം,পার্শ্ব
282,Mitte::N,മധ്യസ്ഥാനം,মধ্য
283,Gegenstand::N,സാധനം,জিনিস
284,Sache::N,വസ്തു,বস্তু
285,Rand::N,തൊങ്ങൽ,কানা
286,Kante::N,അറ്റം,ধার
287,Ecke::N,മൂല,কোণ
288,Spitze::N,അഗ്രം,ডগা
289,Ende::N,അവസാനം,প্রান্ত
290,Loch::N,ദ്വാരം,গর্ত
291,Winkel::N,കോൺ,কোণ
292,Muster::N,ക്രമം,নমুন্
293,Größe::N,വലുപ്പം,আয়তন
294,Länge::N,നീളം,দৈর্ঘ্য
295,Höhe::N,ഉയരം,উচ্চতা
296,Gewicht::N,കട്ടി,ওজন
297,Menge::N,അളവ്,পরিমাণ
298,Haufen::N,കൂമ്പാരം,পুঞ্জ
299,Reihe::N,വരി,শ্রেণী
300,Boot::N,ബോട്ട്,নৌকা
301,Ruder::N,പങ്കായം,দাঁড়
302,Schlitten::N,ഉരുളില്ലാവണ്ടി,স্নেজ্-গাড়ি
303,Ski::N,ഹിമപാദുകം,শী
304,Lagerfeuer::N,തീ,অগ্নি
305,Last::N,ഭാരം,বোঝা
306,Gang::N,നടത്തം,হণ্টন
307,Schritt::N,ചുവട്,পদ
308,Norden::N,വടക്ക്,উত্তরদিক্
309,Süden::N,തെക്ക്,দক্ষিণদিক
310,Westen::N,പടിഞ്ഞാറ്,পশ্চিমদিক্
311,Osten::N,കിഴക്ക്,পূর্বদিক
312,Holz::N,തടി,কাঠ
313,Brett::N,ബോർഡ്,তক্তা
314,Platte::N,തകിട്,ফলক
315,Stütze::N,താങ്ങ്,নাগদণ্ড
316,Stange::N,കമ്പ്,দণ্ড
317,Stock::N,വടി,ছড়ি
318,Stab::N,കുറുവടി,যষ্টি
319,Rohr::N,കുഴൽ,নল
320,Haus::N,വീട്,ঘর
321,Heim::N,വീട്,বাসা
322,Ofen::N,സ്റ്റൌ,স্টোভ্
323,Fußboden::N,തറ,গহতল
324,Tisch::N,മേശ,মেজ
325,Tisch::N,മേശ,টেবিল
326,Stuhl::N,കസേര,চেয়ার
327,Stuhl::N,കസേര,কেদারা
328,Wiege::N,തൊട്ടിൽ,দোলনা
329,Bett::N,കിടക്ക,শয্যা
330,Regal::N,ഷെൽഫ്,তাক
331,Kiste::N,പെട്ടി,বাক্স
332,Fenster::N,ജനൽ,জানালা
333,Tür::N,വാതിൽ,দ্বার
334,Tor::N,കവാടം,দ্বার
335,Zaun::N,വേലി,বেড়া
336,Dach::N,മേൽക്കുര,ছাদ
337,Leiter::N,ഏണി,মই
338,Besen::N,ചൂല്,গুল্মবিশেষ
339,Spaten::N,തൂമ്പ,কোদাল
340,Schaufel::N,തൂമ്പ,বেলচা
341,Gabel::N,മുൾക്കത്തി,কাঁটা
342,Löffel::N,സ്പൂൺ,চামচ
343,Messer::N,കത്തി,ছুরি
344,Nagel::N,ആണി,পেরেক
345,Netz::N,വല,জাল
346,Haken::N,കൊളുത്ത്,কাচি
347,Griff::N,കൈപ്പിടി,হাতল
348,Schloss::N,പൂട്ട്,তালা
349,Bild::N,ചിത്രം,ছবি
350,Bild::N,ചിത്രം,চিত্র
351,Figur::N,കണക്ക്,আকার
352,Puppe::N,പാവ,পুতুল
353,Beutel::N,ബാഗ്,বটুয়া
354,Bündel::N,കെട്ട്,আঁটি
355,Tasche::N,ബാഗ്,থলি
356,Eimer::N,ബക്കറ്റ്,বাল্তি
357,Deckel::N,ഉറ,আবরণ
358,Geschirr::N,പിഞ്ഞാണം,থালা-বাসন
359,Sack::N,ചാക്ക്,বস্তা
360,Tasse::N,കപ്പ്,কাপ
361,Topf::N,പാത്രം,পাত্র
362,Kessel::N,കെറ്റ്ല്,কেটলি
363,Essen::N,ആഹാരസമയം,আহার
364,Nahrung::N,ഭക്ഷണം,খাদ্য
365,Speise::N,ഡിഷ്,খাদ্য
366,Fleisch::N,മാംസം,মাংস
367,Getreide::N,ചോളം,শস্য
368,Brei::N,കഞ്ഞി,মণ্ড
369,Brot::N,റോട്ടി,রুটি
370,Scheibe::N,തുണ്ട്,ফালি
371,Fett::N,കൊഴുപ്പ്,মেদ
372,Butter::N,വെണ്ണ,মাখন
373,Öl::N,എണ്ണ,তৈল
374,Salz::N,ഉപ്പ്,নুন
375,Suppe::N,സൂപ്പ്,শুরুয়া
376,Honig::N,തേൻ,মধু
377,Milch::N,പാൽ,দুধ
378,Tee::N,ചായ,চা
379,Leder::N,തുകൽ,পাকা চামড়া
380,Wolle::N,കമ്പിളി,পশম
381,Stoff::N,തുണി,বস্ত্র
382,Nadel::N,സൂചി,সুচ
383,Faden::N,നൂല്,সূত্র
384,Knopf::N,ബട്ടൺ,বোতাম
385,Knoten::N,കുരുക്ക്,গিঁট
386,Farbe::N,പെയിൻറ്,রং
387,Kleidung::N,വസ്ത്രങ്ങൾ,কাপড়
388,Hemd::N,ഷർട്ട്,শার্ট
389,Kragen::N,കുപ്പായക്കഴുത്ത്,গলবন্ধ
390,Ärmel::N,കുപ്പായക്കൈ,আস্তিন্
391,Hose::N,ട്രൌസർ,ট্রাউজার
392,Gürtel::N,ബെൽറ്റ്,কটিবন্ধ
393,Mütze::N,തൊപ്പി,টুপি
394,Schuh::N,ഷൂ,জুতো
395,Stiefel::N,ബൂട്ട്,বুট
396,Ring::N,മോതിരം,আংটি
397,Band::N,റിബൺ,ফিতা
398,Kamm::N,ചീപ്പ്,চিরুনি
399,Spiegel::N,കണ്ണാടി,আয়না
400,Riemen::N,സ്ട്രാപ്പ്,চাবুক
401,Schnur::N,ചരട്,দড়ি
402,Leine::N,കെട്ടാനുള്ള തോൽവാർ,শিকল
403,Decke::N,പുതപ്പ്,কম্বল
404,Kissen::N,തലയിണ,উপাধান
405,Tuch::N,സ്കാർഫ്,বস্ত্র
406,Handtuch::N,തോർത്ത്,তোয়ালে
407,Kraft::N,ശക്തി,জোর
408,Stärke::N,ശക്തി,শক্তি
409,Gesundheit::N,ആരോഗ്യം,স্বাস্থ্য
410,Krankheit::N,അസുഖം,অসুখ
411,Krankheit::N,അസുഖം,ব্যামো
412,Schmerz::N,വേദന,যন্ত্রণা
413,Wunde::N,മുറിവ്,ক্ষত
414,Fieber::N,പനി,জ্বর
415,Arznei::N,മരുന്ന്,ঔষধ
416,Brücke::N,പാലം,সেতু
417,Brunnen::N,കിണർ,কূপ
418,Weide::N,മേച്ചൽ,পশুচারণভূমি
419,Pfad::N,വഴി,পথ
420,Weg::N,വഴി,পথ
421,Straße::N,റോഡ്,রাস্তা
422,Dorf::N,ഗ്രാമം,গ্রাম
423,Stadt::N,നഗരം,শহর
424,Brief::N,കത്ത്,চিঠি
425,Buch::N,പുസ്തകം,বই
426,Buchstabe::N,അക്ഷരം,অক্ষর
427,Zeitung::N,വർത്തമാനപത്രം,সংবাদপত্র
428,Leben::N,ജീവൻ,জীবন
429,Tod::N,മരണം,মৃত্যু
430,Grab::N,ശവക്കുഴി,কবর
431,Kirche::N,പള്ളി,গির্জা
432,Sünde::N,പാപം,পাপ
433,Gott::N,ദൈവം,দেবতা
434,Arbeiter::N,ജോലിക്കാരൻ,শ্রমিক
435,Chef::N,മേധാവി,নেতা
436,Meister::N,യജമാനൻ,ব্যক্তি
437,Arzt::N,ഡോക്ടർ,চিকিৎসক
438,Lehrer::N,അധ്യാപകൻ,অধ্যাপক
439,Geld::N,പണം,মুদ্রা
440,Geld::N,പണം,টাকাপয়সা
441,Geschäft::N,ബിസിനസ്,ব্যস্ততা
442,Laden::N,കട,দোকান
443,Preis::N,വില,মূল্য
444,Ware::N,ചരക്ക്,পণ্যদ্রব্য
445,Nutzen::N,ലാഭം,সুবিধা
446,Reichtum::N,ധനം,ধনদৌলত
447,Welt::N,ലോകം,জগৎ
448,Land::N,രാജ്യം,খেত
449,Staat::N,രാജ്യം,রাষ্ট্র
450,König::N,രാജാവ്,রাজা
451,Macht::N,അധികാരം,প্রভাব
452,Grenze::N,അതിർത്തി,সীমা
453,Krieg::N,യുദ്ധം,যুদ্ধ
454,Feind::N,ശത്രു,শত্রু
455,Gewalt::N,അക്രമം,জোর
456,Kampf::N,പോരാട്ടം,লড়াই
457,Bogen[Waffe]::N,വില്ല്,ধনুক
458,Pfeil::N,അമ്പ്,বাণ
459,Gewehr::N,തോക്ക്,বন্দুক
460,Fehler::N,പിശക്,ভুল
461,Lüge::N,കള്ളം,মিথ্যা
462,Schaden::N,കേടുപാട്,ক্ষতি
463,Unglück::N,ദൌർഭാഗ്യം,দুর্ভাগ্য
464,Schuld::N,തെറ്റ്,অপরাধ
465,Alter::N,വയസ്സ്,আয়ু
466,Schluss::N,നിഗമനം,শেষ
467,Zeit::N,സമയം,সময়
468,Tag::N,ദിവസം,দিন
469,Morgen::N,പ്രഭാതം,সকাল
470,Mittag::N,ഉച്ച,মধ্যাহু
471,Abend::N,സായാഹ്നം,সন্ধ্যা
472,Nacht::N,രാത്രി,রাত্রি
473,Woche::N,ആഴ്ച,সপ্তাহ
474,Monat::N,മാസം,মাস
475,Jahr::N,വർഷം,সৌরবর্ষ
476,Frühling::N,വസന്തം,বসন্তকাল
477,Sommer::N,വേനൽ,গ্রীষ্মকাল
478,Herbst::N,ശരത്കാലം,শরংঋতু
479,Winter::N,ശൈത്യം,শীতকাল
480,Januar::N,ജനുവരി,জানুয়ারী
481,Februar::N,ഫെബ്രുവരി,ফেব্রুয়ারী
482,März::N,മാർച്ച്,মার্চ
483,April::N,ഏപ്രിൾ മാസം,এপ্রিল
484,Mai::N,മെയ് മാസം,মে
485,Juni::N,ജൂൺ,জুন
486,Juli::N,ജൂലൈ,জুলাই
487,August::N,ആഗസ്റ്റ്,অগাস্ট
488,September::N,സെപ്തംബർ,সেপ্টেম্বর
489,Oktober::N,ഒക്ടോബർ,অক্টোবর
490,November::N,നവംബർ,নভেম্বর
491,Dezember::N,ഡിസംബർ,ডিসেম্বর
492,Montag::N,തിങ്കളാഴ്ച,সোমবার
493,Dienstag::N,ചൊവ്വ,মঙ্গলবার
494,Mittwoch::N,ബുധനാഴ്ച,বুধবার
495,Donnerstag::N,വ്യാഴാഴ്ച,বৃহম্পতিবার
496,Freitag::N,വെള്ളിയാഴ്ച,শুক্রবার
497,Samstag::N,ശനിയാഴ്ച,শনিবার
498,Sonntag::N,ഞായറാഴ്ച,রবিবার
499,groß::A,വലിയ,বৃহৎ
500,klein::A,ചെറിയ,ছোট
501,lang::A,നീണ്ട,দীর্ঘ
502,kurz::A,ഹ്രസ്വമായ,খর্ব
503,kurz::A,ഹ്രസ്വമായ,হ্রস্ব
504,breit::A,വിശാലമായ,চওড়া
505,schmal::A,ഇടുങ്ങിയ,সরু
506,dicht::A,നിബിഡമായ,ঘন
507,dick[Gegenstand]::A,തടിച്ച,পুরু
508,dünn::A,മെലിഞ്ഞ,কৃশ
509,fein::A,നേർത്ത,সূক্ষ্ম
510,fest::A,ഉറപ്പുള്ള,দৃঢ়
511,flach::A,പരന്ന,সমতল
512,glatt::A,മിനുസമുള്ള,মসৃণ
513,hart::A,കട്ടിയുള്ള,শক্ত
514,weich::A,മൃദുവായ,নরম
515,rund::A,വട്ടത്തിലുള്ള,গোলাকার
516,spitz::A,മുനയുള്ള,তীক্ষ্ন
517,scharf::A,മൂർച്ചയുള്ള,শাণিত
518,stumpf::A,തുറന്നടിക്കുന്ന,ভোঁতা
519,schwer::A,ഭാരമുള്ള,ভারী
520,schön::A,മനോഹരമായ,সুন্দর
521,heiß::A,ചൂടുള്ള,গরম
522,warm::A,ചൂടുള്ള,ঈষদুষ্ণ
523,kalt::A,തണുത്ത,ঠাণ্ডা
524,kühl::A,തണുപ്പുള്ള,শীতল
525,frisch::A,ശുദ്ധമായ,তাজা
526,feucht::A,ഈറനുള്ള,ভিজা
527,nass::A,നനഞ്ഞ,ভিজা
528,trocken::A,വരണ്ട,শুষ্ক
529,voll::A,നിറയെ,পূর্ণ
530,leer::A,ഒഴിഞ്ഞ,খালি
531,offen::A,തുറന്ന,খোলা
532,geschlossen::A,അടച്ച,বন্ধ
533,sauber::A,വൃത്തിയുള്ള,নির্মল
534,schmutzig::A,അഴുക്കുനിറഞ്ഞ,নোংরা
535,roh::A,അസംസ്കൃതമായ,কাঁচা
536,reif::A,പഴുത്ത,পাকা
537,lecker::A,രുചികരമായ,সুস্বাদ
538,süß::A,മധുരമുള്ള,মিষ্ট
539,bitter::A,കടുത്ത,তিক্ত
540,sauer::A,പുളിപ്പുള്ള,টক
541,hell::A,ജ്വലിക്കുന്ന,উজ্জ্বল
542,dunkel::A,ഇരുണ്ട,অন্ধকারময়
543,schwarz::A,കറുത്ത,কালো
544,weiß::A,വെളുത്ത,সাদা
545,rot::A,ചുവന്ന,লাল
546,gelb::A,മഞ്ഞനിറമായ,হলদে
547,blau::A,നീലനിറമുള്ള,নীল
548,grün::A,പച്ചനിറമുള്ള,সবুজ
549,grau::A,ചാരനിറത്തിലുള്ള,ছাই-রঙা
550,bunt::A,വർണ്ണശബളമായ,রঙিন
551,billig::A,വിലകുറഞ്ഞ,সস্তা
552,teuer::A,ചെലവേറിയ,আক্রা
553,wertvoll::A,വിലപിടിപ്പുള്ള,মহার্ঘ
554,blind::A,അന്ധനായ,কানা
555,taub::A,കേൾവിക്കുറവുള്ള,বধির
556,kräftig::A,ശക്തിയുള്ള,বিশাল
557,stark::A,ബലമുള്ള,শক্তিশালী
558,schwach::A,ക്ഷീണിച്ച,দুর্বল
559,fett::A,കൊഴുപ്പുള്ള,মোটা
560,schlank::A,മെലിഞ്ഞ,কৃশ
561,hübsch::A,മനോഹരമായ,সুন্দর
562,böse::A,പാപിയായ,খারাপ
563,dumm::A,വിവരംകെട്ട,মূর্খ
564,faul::A,അലസനായ,শ্রমবিমুখ
565,fleißig::A,അദ്ധ്വാനശീലമുള്ള,পরিশ্রমী
566,geizig::A,പിശുക്കനായ,ব্যয়কুণ্ঠ
567,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,দক্ষ
568,geschickt::A,പ്രതിഭാശാലി,পটু
569,lieb::A,പ്രിയപ്പെട്ട,প্রেয়
570,lustig::A,ആനന്ദകരമായ,প্রফুল্ল
571,sanft::A,സൌമ്യമായ,নম্র
572,hungrig::A,വിശപ്പുള്ള,ক্ষুধার্ত
573,krank::A,അസുഖമുള്ള,অসুস্থ
574,nackt::A,നഡമായ,উলঙ্গ
575,traurig::A,വിഷമമുള്ള,দুঃখিত
