,Concept_ID,ce,uk
91,Sumpf::N,уьшал,драговина
92,Moor::N,уьшал,болото
93,Wiese::N,бай,луг
94,Wiese::N,бай,лука
95,Wald::N,хьун,ліс
96,Hügel::N,гу,горб
97,Hügel::N,шу,горб
98,Hügel::N,барз,горб
99,Anhöhe::N,акъари,височина
100,Berg::N,лам,гора
101,Gipfel::N,бохь,вершина
102,Höhle::N,хьех,печера
103,Abhang::N,басе,схил
104,Quelle::N,шовда,джерело
105,Bach::N,татол,струмок
106,Fluss::N,хи,річка
107,Ufer::N,хийист,берег
108,Küste::N,йист,узбережжя
109,Festland::N,латта,суша
110,Meer::N,xӏорд,море
111,Bucht::N,чож,бухта
112,Bucht::N,чож,затока
113,Insel::N,гӏайре,острів
114,Blume::N,зезаг,квітка
115,Gras::N,буц,трава
116,Wurzel::N,орам,корінь
117,Baum::N,дитт,дерево
118,Stamm::N,гӏад,стовбур
119,Stamm::N,тайпа,стовбур
120,Rinde::N,кевстиг,кора
121,Ast::N,га,гілка
122,Zweig::N,га,галузь
123,Blatt::N,гӏа,лист
124,Birke::N,дакх,береза
125,Kiefer[Baum]::N,бага,сосна
126,Weide[Baum]::N,дак,верба
127,Tanne::N,база,ялиця
128,Horn::N,маӏа,ріг
129,Feder::N,пелаг,перо
130,Fell::N,цӏока,хутро
131,Flügel::N,тӏам,крило
132,Klaue::N,мӏара,кіготь
133,Kralle::N,тlод,лапа
134,Schwanz::N,цӏога,хвіст
135,Ei::N,xӏoa,яйце
136,Nest::N,бен,гніздо
137,Bau::N,lуьрг,лігво
138,Tier::N,дийнат,тварина
139,Herde::N,жа,стадо
140,Kuh::N,етт,корова
141,Bulle::N,сту,бик
142,Bulle::N,сту,бугай
143,Pferd::N,говр,кінь
144,Schaf::N,жий,вівця
145,Schaf::N,уьстагӏ,вівця
146,Schwein::N,хьакха,свиня
147,Hund::N,жӏаьла,собака
148,Katze::N,цициг,кішка
149,Bär::N,ча,ведмідь
150,Eichhörnchen::N,тарсал,білка
151,Elch::N,сай,лось
152,Fuchs::N,цхьогал,лисиця
153,Hase::N,пхьагал,заєць
154,Maus::N,дахка,миша
155,Wolf::N,борз,вовк
156,Vogel::N,олхазар,птах
157,Huhn::N,котам,курка
158,Hahn::N,нӏаьна,півень
159,Hahn::N,боргӏал,півень
160,Gans::N,гӏаз,гуска
161,Adler::N,aьрзу,орел
162,Ente::N,бад,качка
163,Eule::N,бухӏа,сова
164,Kranich::N,гӏаргӏули,журавель
165,Krähe::N,къиг,ворона
166,Kuckuck::N,aттйокх,зозуля
167,Schwan::N,гӏургӏаз,лебідь
168,Fisch::N,чӏара,риба
169,Barsch::N,окунь,окунь
170,Hecht::N,гӏазкхийн чӏара,щука
171,Schlange[Tier]::N,лаьхьа,змія
172,Wurm::N,нӏаьна,черв’як
173,Spinne::N,гезг,павук
174,Ameise::N,зингат,мурашка
175,Laus::N,меза,воша
176,Laus::N,гӏениг,воша
177,Mücke::N,чуьрк,комар
178,Fliege::N,моза,муха
179,Schmetterling::N,полла,метелик
180,Beere::N,цӏазам,ягода
181,Apfel::N,ӏаж,яблуко
182,Pilz::N,жӏаьлин нускал,гриб
183,Zwiebel::N,xох,цибуля
184,Saat::N,чlу,сім’я
185,Korn::N,буьртиг,зерно
186,Heu::N,йол,сіно
187,Schale::N,пардо,шкірка
188,Grube::N,ор,яма
189,Falle::N,кӏело,пастка
190,Spur::N,лар,слід
191,Asche::N,чим,зола
192,Asche::N,чим,попіл
193,Dreck::N,мода,бруд
194,Eisen::N,эчиг,залізо
195,Gold::N,деши,золото
196,Silber::N,дети,срібло
197,Kohle::N,кӏора,вугілля
198,Glas::N,aнгали,скло
199,Lehm::N,поппар,глина
200,Sand::N,гӏум,пісок
201,Mensch::N,адам,людина
202,Mann::N,майра,чоловік
203,Frau::N,зуда,жінка
204,Kind::N,бер,дитина
205,Junge::N,жимха,хлопець
206,Mädchen::N,жима йоӏ,дівчина
207,Familie::N,доьзал,сім’я
208,Familie::N,доьзал,родина
209,Großvater::N,ненада,дідусь
210,Großmutter::N,денана,бабуся
211,Eltern::N,да-нана,батьки
212,Vater::N,да,батько
213,Mutter::N,нана,мати
214,Sohn::N,кӏант,син
215,Tochter::N,йоӏ,дочка
216,Bruder::N,ваша,брат
217,Schwester::N,йиша,сестра
218,Onkel::N,деваша,дядько
219,Tante::N,дейиша,тітка
220,Ehemann::N,майра,чоловік
221,Ehefrau::N,зуда,жінка
222,Ehefrau::N,зуда,дружина
223,Freude::N,самукъа,радощі
224,Freude::N,хазахетар,радощі
225,Gelächter::N,белам,сміх
226,Glück::N,ирс,щастя
227,Kummer::N,бала,горе
228,Wunsch::N,лаам,бажання
229,Lust::N,лаам,бажання
230,Geist::N,са,дух
231,Gedanke::N,ойла,думка
232,Gedächtnis::N,диццадалар,пам’ять
233,Verstand::N,хьекъал,розум
234,Sinn::N,маьӏна,зміст
235,Sinn::N,маьӏна,значення
236,Grund::N,бахьана,причина
237,Wahrheit::N,бакъдерг,правда
238,Gespräch::N,къамел,розмова
239,Märchen::N,туьйра,байка
240,Erzählung::N,дийцар,повість
241,Erzählung::N,дийцар,оповідання
242,Nachricht::N,хаам,повідомлення
243,Neuigkeit::N,керланиг,новина
244,Name::N,цӏе,ім’я
245,Rätsel::N,хӏетал-метал,загадка
246,Rede::N,къамел,промова
247,Sprache::N,мотт,мова
248,Stimme::N,aз,голос
249,Wort::N,дош,слово
250,Zeichen::N,билгало,знак
251,Ruf::N,кхайкхар,оклик
252,Lärm::N,гӏовгӏа,шум
253,Laut::N,аз,звук
254,Ton::N,aз,тон
255,Lied::N,илли,пісня
256,Ruhe::N,тийналла,спокій
257,Leute::N,нах,люди
258,Volk::N,халкъ,народ
259,Arbeit::N,болх,робота
260,Gast::N,хьаша,гість
261,Geschenk::N,совгӏат,подарунок
262,Spiel::N,ловзар,гра
263,Gesellschaft::N,юкъаралла,товариство
264,Hilfe::N,гӏо,допомога
265,Freund::N,доттагl,друг
266,Freund::N,доттагl,приятель
267,Kamerad::N,накъост,товариш
268,Angelegenheit::N,гӏуллакх,справа
269,Anzahl::N,терахь,число
270,Stück::N,юьхк,кусок
271,Teil::N,дакъа,частина
272,Hälfte::N,ах,половина
273,Kreis::N,го,круг
274,Kreis::N,го,коло
275,Kreuz::N,жӏара,хрест
276,Linie::N,сиз,лінія
277,Strich::N,сиз,штрих
278,Abstand::N,юкъ,проміжок
279,Gegend::N,мeттиг,місцевість
280,Platz::N,майда,площа
281,Ort::N,меттиг,місце
282,Seite::N,aгӏo,сторона
283,Mitte::N,юкъ,середина
284,Gegenstand::N,хӏума,предмет
285,Sache::N,хӏума,річ
286,Rand::N,йист,край
287,Kante::N,йист,ребро
288,Ecke::N,са,ріг
289,Spitze::N,ралла,кінчик
290,Ende::N,юьхьиг,кінець
291,Loch::N,ӏуьрг,діра
292,Winkel::N,са,куток
293,Muster::N,дагар,узор
294,Muster::N,тӏамар,узор
295,Größe::N,барам,розмір
296,Länge::N,йохалла,довжина
297,Höhe::N,локхалла,висота
298,Gewicht::N,йозалла,вага
299,Menge::N,дукхалла,кількість
300,Haufen::N,сал,купа
301,Haufen::N,оьла,купа
302,Reihe::N,рагӏ,ряд
303,Reihe::N,могӏа,ряд
304,Boot::N,кема,човен
305,Ruder::N,пийсиг,весло
306,Schlitten::N,салаз,сани
307,Ski::N,когсалаз,лижа
308,Lagerfeuer::N,цӏе,вогнище
309,Last::N,дукъ,тягар
310,Last::N,дукъ,вантаж
311,Gang::N,лелар,хід
312,Schritt::N,гӏулч,крок
313,Norden::N,къилбаседе,північ
314,Süden::N,къилбе,південь
315,Westen::N,малхбузе,захід
316,Osten::N,малхбале,схід
317,Holz::N,дечиг,дрова
318,Brett::N,у,дошка
319,Platte::N,у,плита
320,Stütze::N,гӏopтоp,підпірка
321,Stange::N,гӏуркх,жердина
322,Stock::N,ӏаса,палиця
323,Stab::N,гӏаж,палиця
324,Rohr::N,биргӏа,труба
325,Haus::N,цӏа,дім
326,Haus::N,цӏа,хата
327,Heim::N,кхерч,житло
328,Ofen::N,кхерч,піч
329,Fußboden::N,цӏенкъа,підлога
330,Tisch::N,шун,стіл
331,Stuhl::N,гӏант,стілець
332,Wiege::N,ага,колиска
333,Bett::N,маьнга,ліжко
334,Bett::N,маьнга,постіль
335,Regal::N,терхи,полиця
336,Kiste::N,яьшка,ящик
337,Fenster::N,кор,вікно
338,Tür::N,неӏ,двері
339,Tor::N,ков,ворота
340,Zaun::N,керт,паркан
341,Zaun::N,керт,огорожа
342,Dach::N,тхов,дах
343,Leiter::N,лами,драбина
344,Besen::N,нуй,мітла
345,Spaten::N,бел,заступ
346,Schaufel::N,аьшкал,совок
347,Schaufel::N,аьшкал,лопата
348,Gabel::N,мӏара,виделка
349,Löffel::N,ӏайг,ложка
350,Messer::N,урс,ніж
351,Nagel::N,хьостам,цвях
352,Netz::N,бой,сіть
353,Haken::N,мӏара,крюк
354,Schloss::N,чӏега,замок
355,Bild::N,сурт,картина
356,Puppe::N,тайниг,лялька
357,Beutel::N,гали,мішечок
358,Beutel::N,гали,торбинка
359,Bündel::N,кочар,в’язка
360,Tasche::N,тӏоьрмиг,сумка
361,Eimer::N,чийлик,відро
362,Deckel::N,негӏар,кришка
363,Geschirr::N,пхьегӏа,посуд
364,Sack::N,гали,мішок
365,Tasse::N,кад,чашка
366,Topf::N,яй,горщик
367,Kessel::N,яй,котел
368,Essen::N,юург,їжа
369,Nahrung::N,кхача,харч
370,Speise::N,юург,страва
371,Fleisch::N,жижиг,м’ясо
372,Getreide::N,буьртиг,хліб
373,Getreide::N,буьртиг,збіжжя
374,Brei::N,xудар,каша
375,Brot::N,бепиг,хліб
376,Brot::N,кхаллар,хліб
377,Scheibe::N,цастар,скибочка
378,Fett::N,мохь,жир
379,Butter::N,налха,масло
380,Öl::N,даьтта,олія
381,Salz::N,туьха,сіль
382,Suppe::N,чорпа,суп
383,Honig::N,моз,мед
384,Milch::N,шура,молоко
385,Tee::N,чай,чай
386,Leder::N,цӏока,шкіра
387,Wolle::N,тӏapгӏa,шерсть
388,Stoff::N,кӏади,тканина
389,Nadel::N,маха,голка
390,Faden::N,тай,нитка
391,Knopf::N,нуьйда,ґудзик
392,Knoten::N,шад,вузол
393,Farbe::N,сир,фарба
394,Farbe::N,басар,фарба
395,Kleidung::N,бедар,одяг
396,Kleidung::N,бедар,убрання
397,Hemd::N,коч,сорочка
398,Kragen::N,кач,комір
399,Ärmel::N,пхьош,рукав
400,Hose::N,хеча,брюки
401,Gürtel::N,доьхка,пояс
402,Mütze::N,куй,шапка
403,Schuh::N,мача,ботинок
404,Stiefel::N,этка,чобіт
405,Ring::N,чӏуг,кільце
406,Band::N,лента,стрічка
407,Kamm::N,ехк,гребінець
408,Spiegel::N,куьзга,дзеркало
409,Riemen::N,доьхка,ремінь
410,Schnur::N,муш,вірьовка
411,Leine::N,кочатосу доьхка,шворка
412,Decke::N,юргӏа,ковдра
413,Kissen::N,гIайба,подушка
414,Tuch::N,исхар,хустка
415,Handtuch::N,гата,рушник
416,Kraft::N,гӏора,сила
417,Stärke::N,гӏап,сила
418,Gesundheit::N,могашалла,здоров’я
419,Krankheit::N,цамгар,хвороба
420,Schmerz::N,лазар,біль
421,Wunde::N,чов,рана
422,Fieber::N,xорша,гарячка
423,Arznei::N,молха,ліки
424,Brücke::N,тӏай,міст
425,Brunnen::N,гӏу,колодязь
426,Weide::N,дак,пасовище
427,Pfad::N,тача,стежка
428,Weg::N,некъ,шлях
429,Weg::N,некъ,дорога
430,Straße::N,урам,вулиця
431,Dorf::N,юрт,село
432,Stadt::N,гӏала,місто
433,Brief::N,кехат,лист
434,Buch::N,жайна,книга
435,Buch::N,жайна,книжка
436,Buchstabe::N,элп,буква
437,Buchstabe::N,элп,літера
438,Zeitung::N,газет,газета
439,Leben::N,дахар,життя
440,Tod::N,далар,смерть
441,Tod::N,ӏожалла,смерть
442,Grab::N,каш,могила
443,Kirche::N,килс,церква
444,Sünde::N,къа,гріх
445,Gott::N,дела,бог
446,Arbeiter::N,белхало,робітник
447,Chef::N,хьаькам,хазяїн
448,Meister::N,говзанча,умілець
449,Arzt::N,лор,лікар
450,Lehrer::N,хьехархо,вчитель
451,Geld::N,aхча,гроші
452,Geschäft::N,туька,заняття
453,Laden::N,туька,магазин
454,Laden::N,туька,крамниця
455,Preis::N,мах,ціна
456,Ware::N,хlума,товар
457,Nutzen::N,пайда,вигода
458,Nutzen::N,пайда,користь
459,Reichtum::N,хьал,багатство
460,Welt::N,дуьне,світ
461,Land::N,мохк,країна
462,Staat::N,пачхьалкх,держава
463,König::N,паччахь,король
464,Macht::N,ӏедал,влада
465,Grenze::N,доза,кордон
466,Krieg::N,тӏом,війна
467,Feind::N,мостагӏ,ворог
468,Gewalt::N,гӏело,насильство
469,Kampf::N,къийсам,бій
470,Kampf::N,къийсам,боротьба
471,Pfeil::N,пха,стріла
472,Gewehr::N,топ,рушниця
473,Gewehr::N,топ,гвинтівка
474,Fehler::N,гӏалат,помилка
475,Lüge::N,аьшпаш,брехня
476,Schaden::N,зен,шкода
477,Schaden::N,зен,збиток
478,Unglück::N,бала,нещастя
479,Schuld::N,бехк,провина
480,Alter::N,хан,вік
481,Alter::N,хан,літа
482,Schluss::N,чакхе,кінець
483,Zeit::N,хан,час
484,Tag::N,де,день
485,Morgen::N,ӏуьйре,ранок
486,Mittag::N,делкъе,південь
487,Abend::N,суьйре,вечір
488,Nacht::N,буьйса,ніч
489,Woche::N,кӏира,тиждень
490,Monat::N,бутт,місяць
491,Jahr::N,шо,рік
492,Frühling::N,бӏаьсте,весна
493,Sommer::N,аьхке,літо
494,Herbst::N,гуьйре,осінь
495,Winter::N,ӏа,зима
496,Januar::N,январь,січень
497,Februar::N,февраль,лютий
498,März::N,март,березень
499,April::N,апрель,квітень
500,Mai::N,май,травень
501,Juni::N,июнь,червень
502,Juli::N,июль,липень
503,August::N,август,серпень
504,September::N,сентябрь,вересень
505,Oktober::N,октябрь,жовтень
506,November::N,ноябрь,листопад
507,Dezember::N,декабрь,грудень
508,Montag::N,оршот,понеділок
509,Dienstag::N,шинара,вівторок
510,Mittwoch::N,кхаара,середа
511,Donnerstag::N,еара,четвер
512,Freitag::N,пӏераска,п’ятниця
513,Samstag::N,шот,субота
514,Sonntag::N,кӏиранде,неділя
515,groß::A,доккха,великий
516,klein::A,кегий,малий
517,klein::A,кегий,маленький
518,lang::A,еха,довгий
519,kurz::A,доца,короткий
520,breit::A,шуьйра,широкий
521,schmal::A,готта,вузький
522,dicht::A,луьста,густий
523,dick[Gegenstand]::A,стомма,товстий
524,dünn::A,дуткъа,тонкий
525,fein::A,ховха,дрібний
526,fest::A,чӏогӏа,міцний
527,flach::A,чӏапа,плоский
528,glatt::A,шера,рівний
529,glatt::A,шера,гладенький
530,hart::A,чӏогӏa,твердий
531,weich::A,кӏеда,м’який
532,rund::A,горга,круглий
533,spitz::A,ира,гострокінцевий
534,scharf::A,ира,гострий
535,stumpf::A,аьртa,тупий
536,schwer::A,деза,важкий
537,schön::A,хаза,вродливий
538,heiß::A,довха,жаркий
539,heiß::A,довха,гарячий
540,warm::A,довха,теплий
541,kalt::A,шийла,холодний
542,kühl::A,шийла,прохолодний
543,frisch::A,керла,свіжий
544,feucht::A,тӏуьна,вогкий
545,nass::A,тӏеда,мокрий
546,trocken::A,eкъа,сухий
547,voll::A,дуьзна,повний
548,leer::A,яьсса,пустий
549,offen::A,диллина,відкритий
550,geschlossen::A,дӏакъевлина,закритий
551,geschlossen::A,дӏакъевлина,зачинений
552,geschlossen::A,дӏачӏагӏдина,закритий
553,geschlossen::A,дӏачӏагӏдина,зачинений
554,sauber::A,цӏена,чистий
555,sauber::A,цӏена,охайний
556,schmutzig::A,боьха,брудний
557,roh::A,буьйда,сирий
558,reif::A,хилла,зрілий
559,lecker::A,чоме,смачний
560,süß::A,мерза,солодкий
561,bitter::A,къаьхьа,гіркий
562,sauer::A,муьста,кислий
563,hell::A,сирла,світлий
564,dunkel::A,бодане,темний
565,schwarz::A,ӏаьржа,чорний
566,weiß::A,кӏайн,сивий
567,rot::A,цӏен,червоний
568,gelb::A,можа,жовтий
569,blau::A,сийна,синій
570,grün::A,баьццара,зелений
571,grau::A,cира,сірий
572,grau::A,мокха,сірий
573,bunt::A,къорза,барвистий
574,billig::A,дораха,дешевий
575,teuer::A,деза,дорогий
576,wertvoll::A,мехала,цінний
577,blind::A,бӏаьрзе,сліпий
578,taub::A,къора,глухий
579,kräftig::A,нуьцкъала,могутній
580,stark::A,зоьртала,сильний
581,stark::A,нуьцкъала,сильний
582,schwach::A,гӏорасиза,слабкий
583,fett::A,дерстана,жирний
584,fett::A,дерстана,товстий
585,schlank::A,куц долу,тонкий
586,schlank::A,куц долу,стрункий
587,hübsch::A,хаза,чарівний
588,böse::A,вон,злий
589,böse::A,вон,лихий
590,dumm::A,сонта,дурний
591,faul::A,мало ен,ледачий
592,fleißig::A,тӏера,старанний
593,geizig::A,пис,скупий
594,geizig::A,сутара,скупий
595,klug::A,хьекъале,мудрий
596,klug::A,хьекъале,розумний
597,geschickt::A,тӏахъаьлла,умілий
598,lieb::A,хьоме,милий
599,lustig::A,самукъане,веселий
600,sanft::A,кlеда,лагідний
601,hungrig::A,меца,голодний
602,krank::A,цомгуш долу,слабий
603,nackt::A,дерзана,голий
604,traurig::A,самукъане воцу,сумний
605,lebendig::A,дийна,живий
606,gut::A,дика,добрий
607,schlecht::A,вон,поганий
608,schlecht::A,вон,кепський
609,richtig::A,нийса,правильний
610,schlimm::A,вон,бридкий
611,wahr::A,бакъдолу,справжній
612,alt::A,къена,старий
613,neu::A,керла,новий
614,ehemalig::A,хилла,колишній
615,alt[Lebewesen]::A,къена,старий
616,jung::A,къона,молодий
617,arm::A,къен,бідний
618,reich::A,хьоле,багатий
619,bekannt::A,девзаш долу,знайомий
620,berühmt::A,цӏеяхана,славетний
621,fremd::A,нехан,чужий
622,verschieden::A,тайп-тайпанара,різний
623,nah::A,гергара,близький
624,fern::A,гена,далекий
625,fern::A,генара,далекий
626,linker::A,аьрру,лівий
627,rechter::A,аьтту,правий
628,anderer::A,кхин,інакший
629,erster::A,хьалхара,перший
630,zweiter::A,шолгIа,другий
631,dritter::A,кхоалгӏа,третій
632,letzter::A,тӏаьххьара,останній
633,allein::ADV,цхьаъ,сам
634,allein::ADV,цхьаъ,один
635,auf einmal::ADV,цу сохьтта,відразу
636,zusammen::ADV,цхьана,разом
637,zusammen::ADV,цхьана,спільно
638,lange::ADV,дукха,довго
639,plötzlich::ADV,цIеххьана,раптом
640,sofort::ADV,цу сохьтта,зараз
641,später::ADV,тӏаьхьо,пізніше
642,jetzt::ADV,хӏинца,тепер
643,heute::ADV,тахана,сьогодні
644,morgen::ADV,кхана,завтра
645,bald::ADV,кеста,незабаром
646,dann::ADV,тӏаккха,потім
647,gestern::ADV,селхана,вчора
648,einst::ADV,цкъа,колись
649,damals::ADV,хӏетахьь,тоді
650,danach::ADV,тӏаккха,згодом
651,vorher::ADV,хьалхa,раніше
652,zuerst::ADV,хьалха,спершу
653,zuerst::ADV,хьалха,спочатку
654,einmal::ADV,цкъа,один раз
655,manchmal::ADV,цкъаццкъа,іноді
656,manchmal::ADV,цкъаццкъа,інколи
657,oft::ADV,кест-кеста,часто
658,immer::ADV,даим,завжди
659,niemals::ADV,цкъа а,ніколи
660,hier::ADV,кхузахь,тут
661,hierhin::ADV,кхуза,сюди
662,von hier::ADV,кхузара,звідси
663,dort::ADV,цигахь,там
664,dorthin::ADV,цига,туди
665,geradeaus::ADV,нийса дӏа,прямо
666,vorwärts::ADV,хьалха,вперед
667,rückwärts::ADV,юха,назад
668,zurück::ADV,юха,назад
669,unten::ADV,лахахь,внизу
670,hinab::ADV,охьа,вниз
671,oben::ADV,лакхахь,вгорі
672,hinauf::ADV,хьала,вгору
673,überall::ADV,массанхьа,скрізь
674,nicht::ADV,ца,не
675,ein wenig::ADV,кӏеззиг,трохи
676,ein wenig::ADV,кӏеззиг,небагато
677,kaum::ADV,халла,ледве
678,sehr::ADV,вуно,дуже
679,noch::ADV,кхин,ще
680,nur::ADV,бен ...ца,лише
681,nur::ADV,бен ...ца,тільки
682,schon::ADV,хӏинцале,вже
683,wieder::ADV,юха а,знову
684,vergebens::ADV,эрна,дарма
685,vor::PRP,хьалха,перед
686,hinter::PRP,тӏехьа,ззаду
687,hinter::PRP,тӏехьа,позаду
688,unter::PRP,кIелахь,під
689,durch::PRP,чекх,крізь
690,neben::PRP,юххе,біля
691,zwischen::PRP,юккъехь,між
692,wegen::PRP,дуьхьа,з-за
693,wegen::PRP,дуьхьа,через
694,dies::PRN,и,це
695,dies::PRN,иза,це
696,das::PRN,и,то
697,das::PRN,иза,то
698,alles::PRN,дерриг,все
699,ich::PRN,cо,я
700,du::PRN,хьо,ти
701,er::PRN,и,він
702,er::PRN,иза,він
703,wir::PRN,тхо,ми
704,wir::PRN,вай,ми
705,ihr::PRN,шу,ви
706,sie::PRN,уьш,вони
707,was::FPRN,хӏун,що
708,wer::FPRN,мила,хто
709,wo::FADV,мичaхь,де
710,wohin::FADV,мича,куди
711,wie::FADV,муха,як
712,warum::FADV,хӏунда,чому
713,wieviel::FNUM,мел,скільки
714,wieviel::FNUM,маса,скільки
715,eins::NUM,цхьаъ,один
716,zwei::NUM,шиъ,два
717,drei::NUM,кхоъ,три
718,vier::NUM,диъ,чотири
719,fünf::NUM,пхиъ,п’ять
720,sechs::NUM,ялх,шість
721,sieben::NUM,ворхӏ,сім
722,acht::NUM,бархӏ,вісім
723,neun::NUM,исс,дев’ять
724,zehn::NUM,итт,десять
725,elf::NUM,цхьайтта,одинадцять
726,zwölf::NUM,шийтта,дванадцять
727,zwanzig::NUM,ткъа,двадцять
728,dreißig::NUM,ткъе итт,тридцять
729,vierzig::NUM,шовзткъа,сорок
730,fünfzig::NUM,шовзткъе итт,п’ятдесят
731,sechzig::NUM,кхузткъа,шістдесят
732,siebzig::NUM,кхузткъе итт,сімдесят
733,achtzig::NUM,дезткъа,вісімдесят
734,neunzig::NUM,дезткъе итт,дев’яносто
735,hundert::NUM,бӏе,сто
736,tausend::NUM,эзар,тисяча
737,und::CNJ,a,і
738,oder::CNJ,я,або
739,stehen::V,латта,стояти
740,sitzen::V,хиъна ӏан,сидіти
741,liegen::V,ӏилла,лежати
742,hängen::V,кхаза,висіти
743,werden::V,хила,стати
744,werden::V,хила,робитися
745,passieren::V,хила,трапитися
746,beginnen::V,доло,початися
747,enden::V,дӏадерза,кінчитися
748,wechseln::V,хийца,мінятися
749,aufgehen[Sonne]::V,кхета,зійти
750,untergehen[Sonne]::V,чубуза,зайти
751,scheinen[Sonne]::V,серло яла,світити
752,donnern::V,къекъа,гриміти
753,wehen::V,хьекха,віяти
754,strömen::V,эха,литися
755,fließen::V,охьаэха,текти
756,sich drehen::V,хьийза,обертатися
757,schwanken::V,леста,коливатися
758,schwingen::V,лесто,хитатися
759,schwingen::V,лесто,гойдатися
760,fallen::V,охьакхета,падати
761,brennen::V,дага,горіти
762,rauchen::V,оза,диміти
763,regnen::V,догlа догlу,дощити
764,gefrieren::V,гӏоро,змерзнути
765,tauen::V,даша,танути
766,schmelzen::V,лала,плавитися
767,trocknen::V,дакъо,сохнути
768,sieden::V,кхехка,кипіти
769,faulen::V,дахкадала,гнити
770,verfaulen::V,дахкадала,згнити
771,reißen::V,хеда,рватися
772,versinken::V,хичудаха,тонути
773,vergehen::V,дlаэха,проходити
774,erscheinen::V,схьадала,з’явитися
775,erscheinen::V,ӏоттадала,з’явитися
776,verschwinden::V,къайладала,щезнути
777,verschwinden::V,къайладала,зникнути
778,sinken::V,лахдала,спадати
779,zunehmen::V,лакхадала,збільшуватися
780,steigen::V,хьаладала,підніматися
781,wachsen::V,кхиа,рости
782,glänzen::V,лепа,блищати
783,funkeln::V,къега,блискати
784,lärmen::V,гӏовгӏаян,шуміти
785,läuten::V,детта,дзвонити
786,klingeln::V,дека,дзвонити
787,klirren::V,дека,дзвякати
788,brausen::V,хьаьдда даха,бушувати
789,rauschen::V,леста,шелестіти
790,klingen::V,дека,лунати
791,klingen::V,дека,звучати
792,bellen::V,лета,гавкати
793,heulen::V,угӏа,вити
794,blasen::V,хӏуп баха,дунути
795,pfeifen::V,шок етта,свистіти
796,schreien::V,мохь бетта,кричати
797,stöhnen::V,узарш дан,стогнати
798,zittern::V,дега,тремтіти
799,leben::V,даха,жити
800,geboren werden::V,хила,народитися
801,atmen::V,садеӏа,дихати
