,Concept_ID,hr,ku
65,Traum::N,san,xewn
66,Himmel::N,nebo,ezman
67,Sonne::N,sunce,roj
68,Mond::N,mjesec,heyv
69,Stern::N,zvijezda,stêrk
70,Luft::N,zrak,ba
71,Wind::N,vjetar,ba
72,Welle::N,val,şewl
73,Welle::N,talas,şewl
74,Wasser::N,voda,av
75,Stein::N,kamen,kevir
76,Boden::N,tlo,herd
77,Boden::N,zemlja,herd
78,Erde::N,zemlja,ax
79,Staub::N,prah,toz
80,Staub::N,prašina,toz
81,Rauch::N,dim,dû
82,Funke::N,iskra,çirûşk
83,Funke::N,varnica,çirûşk
84,Feuer::N,vatra,agir
85,Licht::N,svjetlo,ronahî
86,Schatten::N,hlad,sî
87,Schatten::N,sjena,sî
88,Wetter::N,vrijeme,hewa
89,Nebel::N,magla,mij
90,Wolke::N,oblak,ewr
91,Regen::N,kiša,baran
92,Schnee::N,snijeg,berf
93,Eis::N,led,qeşa
94,Frost::N,mraz,xûsik
95,Kälte::N,studen,serma
96,Kälte::N,hladnoća,serma
97,Hitze::N,vrućina,germayî
98,Raureif::N,inje,şext
99,Regenbogen::N,duga,heftreng
100,Donner::N,grom,gire-gir
101,Donner::N,grmljavina,gire-gir
102,Strömung::N,struja,şewl
103,Strömung::N,strujanje,şewl
104,Tropfen::N,kap,dilop
105,Tropfen::N,kaplja,dilop
106,Schaum::N,pjena,kef
107,Schmutz::N,nečistoća,gemar
108,Schmutz::N,prljavština,gemar
109,See::N,jezero,gol
110,Sumpf::N,bara,hezek
111,Moor::N,močvara,mafêl
112,Wiese::N,livada,sûrik
113,Wald::N,šuma,çiya
114,Wald::N,šuma,daristan
115,Hügel::N,brijeg,gir
116,Hügel::N,brežuljak,gir
117,Anhöhe::N,uzvišica,sere gir
118,Berg::N,brdo,kaş
119,Gipfel::N,vrh,sere gir
120,Höhle::N,pećina,şikeft
121,Höhle::N,spilja,şikeft
122,Abhang::N,obronak,kaş
123,Abhang::N,nizbrdica,kaş
124,Quelle::N,izvor,kanî
125,Quelle::N,vrelo,kanî
126,Bach::N,potok,çem
127,Fluss::N,rijeka,çem
128,Fluss::N,rijeka,rûbar
129,Ufer::N,obala,kevî
130,Küste::N,obala,berav
131,Küste::N,morska obala,berav
132,Festland::N,kopno,bejahî
133,Meer::N,more,behr
134,Bucht::N,zaliv,derav
135,Insel::N,ada,girav
136,Insel::N,otok,girav
137,Blume::N,cvijet,kulînk
138,Gras::N,trava,giha
139,Wurzel::N,korijen,reh
140,Baum::N,drvo,dar
141,Baum::N,stablo,dar
142,Stamm::N,deblo,bavik
143,Stamm::N,stablo,bavik
144,Rinde::N,kora,qaqil
145,Ast::N,grana,gulî
146,Zweig::N,grana,şax
147,Blatt::N,list,pel
148,Birke::N,breza,dara sipî
149,Kiefer[Baum]::N,bor,dara bî
150,Weide[Baum]::N,iva,dara belalûk
151,Weide[Baum]::N,vŕba,dara belalûk
152,Tanne::N,jela,merx
153,Horn::N,rog,strô
154,Feder::N,pero,pîrtîk
155,Fell::N,koža,heyar
156,Flügel::N,krilo,per
157,Klaue::N,papak,napîk
158,Kralle::N,pandža,dinik
159,Kralle::N,pandža,dirnax
160,Schwanz::N,rep,dûv
161,Ei::N,jaje,hêk
162,Nest::N,gnijezdo,hêlîn
163,Bau::N,jazbina,avahî
164,Tier::N,životinja,heywan
165,Herde::N,krdo,hoz
166,Herde::N,stado,hoz
167,Kuh::N,krava,çêlek
168,Bulle::N,bik,ga
169,Pferd::N,konj,hesp
170,Schaf::N,ovca,mîh
171,Schwein::N,svinja,beraz
172,Hund::N,pas,seh
173,Hund::N,pseto,seh
174,Katze::N,mačka,pişîk
175,Bär::N,medvjed,hirç
176,Eichhörnchen::N,vjeverica,pilûr
177,Elch::N,los,pazkovî
178,Fuchs::N,lisica,rovî
179,Hase::N,zec,kîroşk
180,Maus::N,miš,mişk
181,Wolf::N,vuk,gur
182,Wolf::N,kurjak,gur
183,Vogel::N,ptica,çûk
184,Schwarm::N,roj,lufik
185,Schwarm::N,jato,lufik
186,Huhn::N,kokoš,mirîşk
187,Hahn::N,kokot,dîk
188,Hahn::N,pijevac,dîk
189,Gans::N,guska,qaz
190,Adler::N,orao,eylo
191,Ente::N,patka,werdek
192,Eule::N,sova,bûm
193,Eule::N,sova,kund
194,Kranich::N,ždral,quling
195,Krähe::N,vrana,qijik
196,Kuckuck::N,kukavica,pepûk
197,Schwan::N,labud,qû
198,Fisch::N,riba,masî
199,Barsch::N,grgeč,okûn
200,Hecht::N,štuka,mesîyê lûf
201,Schlange[Tier]::N,guja,mar
202,Schlange[Tier]::N,zmija,mar
203,Wurm::N,crv,kurm
204,Spinne::N,pauk,pîrê
205,Ameise::N,mrav,mîro
206,Ameise::N,mrav,gêrîk
207,Laus::N,uš,spi
208,Mücke::N,komarac,mêş
209,Fliege::N,muha,mêş
210,Schmetterling::N,leptir,perperîk
211,Beere::N,boba,hirç
212,Beere::N,bobica,hirç
213,Apfel::N,jabuka,sêv
214,Pilz::N,pečurka,bîrov
215,Zwiebel::N,luk,pîvaz
216,Zwiebel::N,kapula,pîvaz
217,Saat::N,sjemenje,tov
218,Korn::N,zrno,dexl
219,Heu::N,sijeno,sap
220,Schale::N,kora,qaşik
221,Schale::N,ljuska,qaşik
222,Grube::N,jama,çahl
223,Falle::N,zamka,dafik
224,Falle::N,klopka,dafik
225,Schlinge::N,uzao,dahf
226,Schlinge::N,petlja,dahf
227,Spur::N,trag,rêç
228,Spur::N,slijed,rêç
229,Asche::N,pepeo,xweli
230,Dreck::N,blato,gemarî
231,Eisen::N,željezo,hesing
232,Gold::N,zlato,zêr
233,Silber::N,srebro,zîv
234,Kohle::N,ugalj,komir
235,Kohle::N,ugljen,komir
236,Glas::N,staklo,qedeh
237,Lehm::N,glina,kelpîç
238,Lehm::N,ilovača,kelpîç
239,Sand::N,pijesak,qûm
240,Mensch::N,čovjek,mirov
241,Mann::N,muškarac,mêr
242,Frau::N,žena,jin
243,Kind::N,čedo,zarok
244,Kind::N,dijete,zarok
245,Junge::N,momče,kur
246,Junge::N,dječak,kur
247,Mädchen::N,djevojka,keç
248,Mädchen::N,djevojka,keçik
249,Mädchen::N,djevojčica,keç
250,Mädchen::N,djevojčica,keçik
251,Familie::N,obitelj,malbat
252,Familie::N,porodica,malbat
253,Großvater::N,djed,bapîr
254,Großmutter::N,baka,pîrik
255,Eltern::N,roditelji,bavudê
256,Vater::N,otac,bav
257,Mutter::N,majka,dê
258,Mutter::N,majka,dayik
259,Sohn::N,sin,kur
260,Tochter::N,kći,keç
261,Tochter::N,kćerka,keç
262,Bruder::N,brat,bira
263,Schwester::N,sestra,xweh
264,Onkel::N,čika,am
265,Onkel::N,čika,xal
266,Onkel::N,ujak,am
267,Onkel::N,ujak,xal
268,Tante::N,ujna,metik
269,Tante::N,ujna,xaltîk
270,Tante::N,tetka,metik
271,Tante::N,tetka,xaltîk
272,Ehemann::N,muž,mêr
273,Ehemann::N,suprug,mêr
274,Ehefrau::N,žena,kulfet
275,Ehefrau::N,supruga,kulfet
276,Freude::N,radost,kêfxweşî
277,Gelächter::N,grohot,pîrqînî
278,Glück::N,sreća,bext
279,Kummer::N,jad,derd
280,Kummer::N,briga,derd
281,Wunsch::N,želja,daxwaz
282,Wunsch::N,želja,xwestek
283,Lust::N,volja,şewq
284,Geist::N,duh,aqil
285,Gedanke::N,misao,fikir
286,Gedächtnis::N,pamćenje,aqil
287,Verstand::N,um,fêm
288,Verstand::N,razum,fêm
289,Sinn::N,smisao,aqil
290,Sinn::N,značenje,aqil
291,Grund::N,razlog,asas
292,Wahrheit::N,istina,rastî
293,Gespräch::N,razgovor,guftûgo
294,Märchen::N,bajka,çirok
295,Erzählung::N,priča,çirok
296,Erzählung::N,priča,vegotin
297,Erzählung::N,pripovijest,çirok
298,Erzählung::N,pripovijest,vegotin
299,Nachricht::N,vijest,nûçe
300,Neuigkeit::N,novost,hewal
301,Name::N,ime,nav
302,Name::N,ime,paşnav
303,Rätsel::N,zagonetka,tiştonek
304,Rede::N,govor,gotar
305,Rede::N,govor,axavtin
306,Rede::N,besjeda,gotar
307,Rede::N,besjeda,axavtin
308,Sprache::N,jezik,ziman
309,Stimme::N,glas,pejn
310,Wort::N,riječ,gotin
311,Zeichen::N,znak,şanek
312,Ruf::N,povik,hawar
313,Ruf::N,poklik,hawar
314,Lärm::N,buka,xarbalix
315,Lärm::N,galama,xarbalix
316,Laut::N,zvuk,deng
317,Laut::N,zvuk,hês
318,Ton::N,ton,awaz
319,Lied::N,pjesma,sitran
320,Ruhe::N,tišina,rihetî
321,Ruhe::N,počinak,rihetî
322,Leute::N,ljudi,xelk
323,Volk::N,puk,xelk
324,Volk::N,narod,xelk
325,Arbeit::N,rad,xebat
326,Arbeit::N,posao,xebat
327,Gast::N,gost,mêvan
328,Geschenk::N,dar,diyarî
329,Geschenk::N,poklon,diyarî
330,Spiel::N,igra,lîstik
331,Gesellschaft::N,društvo,komal
332,Gesellschaft::N,kompanija,komal
333,Hilfe::N,pomoć,alîkarî
334,Freund::N,prijatelj,heval
335,Kamerad::N,drug,heval
336,Kamerad::N,drugar,heval
337,Angelegenheit::N,posao,pirsgirêk
338,Anzahl::N,broj,çend
339,Anzahl::N,brojnost,çend
340,Art::N,vid,çeh
341,Art::N,vrst,çeh
342,Stück::N,komad,lib
343,Stück::N,komad,parçe
344,Teil::N,dio,parçe
345,Hälfte::N,polovina,nîvî
346,Kreis::N,krug,çemil
347,Kreuz::N,križ,xaç
348,Linie::N,crta,xezik
349,Strich::N,crta,xezik
350,Abstand::N,razmak,dûrahî
351,Abstand::N,odstojanje,dûrahî
352,Entfernung::N,udaljenost,dûrahî
353,Gegend::N,kraj,dever
354,Gegend::N,predeo,dever
355,Platz::N,mjesto,çih
356,Ort::N,mjesto,dever
357,Seite::N,bok,rûpel
358,Seite::N,strana,rûpel
359,Mitte::N,sredina,nav
360,Mitte::N,sredina,nabênê
361,Gegenstand::N,predmet,tişt
362,Sache::N,posao,tişt
363,Rand::N,rub,kevî
364,Rand::N,kraj,kevî
365,Kante::N,brid,kevî
366,Kante::N,ivica,kevî
367,Ecke::N,ugao,qunç
368,Spitze::N,vrh,derzî
369,Spitze::N,šiljak,derzî
370,Ende::N,konac,talî
371,Loch::N,rupa,qul
372,Winkel::N,kut,kurnîşk
373,Winkel::N,ugao,kurnîşk
374,Muster::N,uzor,desen
375,Größe::N,veličina,mezinî
376,Länge::N,duljina,dirêjahî
377,Höhe::N,visina,bilindayî
378,Gewicht::N,težina,giranî
379,Menge::N,mnoštvo,qas
380,Menge::N,količina,qas
381,Haufen::N,hrpa,lod
382,Haufen::N,gomila,lod
383,Reihe::N,red,rêz
384,Boot::N,čun,kelek
385,Boot::N,čamac,kelek
386,Ruder::N,veslo,bêrik
387,Schlitten::N,saone,xîjik
388,Ski::N,ski,lakan
389,Ski::N,smučka,lakan
390,Lagerfeuer::N,logorska vatra,agir
391,Last::N,tovar,bar
392,Gang::N,hod,fîtêz
393,Schritt::N,korak,gav
394,Norden::N,sjever,bakur
395,Süden::N,jug,başur
396,Westen::N,zapad,rojava
397,Osten::N,istok,rojhilat
398,Holz::N,drvo,dep
399,Brett::N,daska,dep
400,Platte::N,ploča,dep
401,Stütze::N,potpora,destek
402,Stange::N,motka,sing
403,Stock::N,štap,çam
404,Stock::N,palica,çam
405,Stab::N,štap,qat
406,Stab::N,šipka,qat
407,Rohr::N,cijev,borî
408,Haus::N,kuća,mal
409,Haus::N,kuća,xanî
410,Heim::N,dom,mal
411,Ofen::N,peć,sobe
412,Fußboden::N,pod,binpê
413,Tisch::N,stol,mase
414,Tisch::N,trpeza,mase
415,Stuhl::N,stolac,kursî
416,Stuhl::N,stolica,kursî
417,Wiege::N,kolijevka,derguş
418,Bett::N,krevet,qerewêle
419,Bett::N,postelja,qerewêle
420,Regal::N,polica,rêbaz
421,Kiste::N,sanduk,sindoq
422,Fenster::N,prozor,çam
423,Fenster::N,prozor,şibeke
424,Tür::N,vrata,derî
425,Tor::N,vrata,derge
426,Tor::N,kapija,derge
427,Zaun::N,plot,hejik
428,Zaun::N,ograda,hejik
429,Dach::N,krov,sere xanî
430,Leiter::N,ljestve,pêling
431,Leiter::N,ljestvice,pêling
432,Besen::N,metla,melkes
433,Spaten::N,ašov,mer
434,Schaufel::N,lopata,bêr
435,Gabel::N,viljuška,çetel
436,Löffel::N,žlica,kevçî
437,Messer::N,nož,kêr
438,Nagel::N,čavao,bizmar
439,Netz::N,mreža,tor
440,Haken::N,kuka,çenqel
441,Griff::N,držak,destî
442,Griff::N,ručica,destî
443,Schloss::N,brava,qonax
444,Bild::N,slika,dimen
445,Figur::N,figura,figûr
446,Puppe::N,lutka,bûk
447,Beutel::N,kesa,kîsik
448,Bündel::N,snop,pêçek
449,Bündel::N,svežanj,pêçek
450,Tasche::N,torba,bêrîk
451,Tasche::N,taška,bêrîk
452,Eimer::N,kabao,dewl
453,Deckel::N,poklopac,devik
454,Geschirr::N,suđe,ferax
455,Geschirr::N,posuđe,ferax
456,Sack::N,džak,tûr
457,Sack::N,vreća,tûr
458,Tasse::N,šalica,kada
459,Topf::N,lonac,beroş
460,Kessel::N,kazan,şîril
461,Essen::N,obrok,xwarin
462,Nahrung::N,hrana,xwarin
463,Speise::N,jelo,xwarin
464,Fleisch::N,meso,goşt
465,Getreide::N,žito,zad
466,Getreide::N,žitarice,zad
467,Brei::N,kaša,hewdêl
468,Brot::N,kruh,
469,Scheibe::N,kriška,parçe
470,Fett::N,mast,rûn
471,Fett::N,salo,rûn
472,Butter::N,buter,rûn
473,Butter::N,maslac,rûn
474,Öl::N,ulje,rûn
475,Salz::N,sol,xwe
476,Suppe::N,supa,şorbe
477,Honig::N,med,hingiv
478,Milch::N,mlijeko,şîr
479,Tee::N,čaj,çay
480,Leder::N,koža,çerm
481,Wolle::N,vuna,herî
482,Stoff::N,štof,paç
483,Stoff::N,tkanina,paç
484,Nadel::N,igla,derzî
485,Faden::N,nit,ta
486,Faden::N,konac,ta
487,Knopf::N,dugme,bişkok
488,Knoten::N,čvor,girêk
489,Knoten::N,uzao,girêk
490,Farbe::N,farba,boyax
491,Kleidung::N,odjeća,çil
492,Hemd::N,košulja,qutik
493,Hemd::N,košulja,miltan
494,Kragen::N,ovratnik,stûvang
495,Ärmel::N,rukav,hûçik
496,Hose::N,hlače,şewel
497,Gürtel::N,pas,qayiş
498,Gürtel::N,pojas,qayiş
499,Mütze::N,kapa,fîno
500,Schuh::N,cipela,şêkal
501,Stiefel::N,čizma,gizme
502,Stiefel::N,čizma,çizme
503,Ring::N,prsten,xelek
504,Band::N,vrpca,band
505,Kamm::N,češalj,şeh
506,Spiegel::N,zrcalo,eynik
507,Spiegel::N,ogledalo,eynik
508,Riemen::N,kaiš,qayiş
509,Riemen::N,remen,qayiş
510,Schnur::N,vrpca,doxin
511,Leine::N,uzica,şirît
512,Decke::N,ćebe,bataniye
513,Decke::N,pokrivač,bataniye
514,Kissen::N,jastuk,balgî
515,Tuch::N,rubac,şar
516,Tuch::N,marama,şar
517,Handtuch::N,ručnik,dezmal
518,Kraft::N,snaga,hêz
519,Kraft::N,snaga,qewet
520,Stärke::N,jakost,xurtî
521,Gesundheit::N,zdravlje,nojdarî
522,Krankheit::N,bolest,nexweşî
523,Schmerz::N,bol,êş
524,Wunde::N,rana,kul
525,Fieber::N,groznica,ta
526,Arznei::N,lijek,derman
527,Brücke::N,most,kopî
528,Brücke::N,ćuprija,kopî
529,Brunnen::N,bunar,çal
530,Brunnen::N,bunar,kani
531,Brunnen::N,zdenac,çal
532,Brunnen::N,zdenac,kani
533,Weide::N,paša,beyar
534,Weide::N,pašnjak,beyar
535,Pfad::N,staza,xaçirek
536,Weg::N,put,rê
537,Straße::N,drum,rê
538,Straße::N,cesta,rê
539,Dorf::N,selo,gund
540,Stadt::N,grad,baçar
541,Stadt::N,varoš,baçar
542,Brief::N,list,name
543,Brief::N,pismo,name
544,Buch::N,knjiga,kitêb
545,Buch::N,knjiga,pirtûk
546,Buchstabe::N,slovo,herf
547,Zeitung::N,novine,rojname
548,Leben::N,život,jiyan
549,Tod::N,smrt,mirin
550,Grab::N,raka,mezel
551,Kirche::N,crkva,gilyas
552,Sünde::N,grijeh,guneh
553,Gott::N,bog,xwedê
554,Arbeiter::N,radnik,hîşçî
555,Chef::N,šef,bêg
556,Meister::N,majstor,hoste
557,Arzt::N,liječnik,doktor
558,Lehrer::N,učitelj,mamoste
559,Geld::N,novac,pere
560,Geschäft::N,posao,firoşgeh
561,Geschäft::N,trgovina,firoşgeh
562,Laden::N,dućan,dikan
563,Preis::N,cijena,buha
564,Ware::N,roba,tişt
565,Nutzen::N,korist,fêde
566,Reichtum::N,bogatstvo,serwet
567,Welt::N,svijet,dinya
568,Land::N,zemlja,welat
569,Staat::N,država,dewlet
570,König::N,kralj,şah
571,König::N,kralj,qral
572,Macht::N,moć,qewet
573,Macht::N,moć,destihilat
574,Macht::N,vlast,qewet
575,Macht::N,vlast,destihilat
576,Grenze::N,granica,kevî
577,Krieg::N,rat,çeng
578,Krieg::N,rat,sêwaş
579,Feind::N,neprijatelj,dijmin
580,Gewalt::N,sila,zor
581,Gewalt::N,nasilje,zor
582,Kampf::N,boj,şer
583,Kampf::N,borba,şer
584,Bogen[Waffe]::N,luk,kêvan
585,Pfeil::N,strijela,çîrik
586,Gewehr::N,puška,tifing
587,Fehler::N,pogreška,şaşî
588,Fehler::N,griješka,şaşî
589,Lüge::N,laž,derew
590,Schaden::N,šteta,xisar
591,Unglück::N,nesreća,bêbextî
592,Schuld::N,krivnja,suç
593,Alter::N,dob,temen
594,Schluss::N,kraj,girtin
595,Schluss::N,konac,girtin
596,Zeit::N,doba,çax
597,Zeit::N,vrijeme,çax
598,Tag::N,dan,roj
599,Morgen::N,jutro,sibeh
600,Mittag::N,podne,nîro
601,Abend::N,veče,êvar
602,Abend::N,večer,êvar
603,Nacht::N,noć,şev
604,Woche::N,sedmica,heftî
605,Monat::N,mjesec,meh
606,Jahr::N,godina,sal
607,Frühling::N,proljeće,bihar
608,Sommer::N,ljeto,havîn
609,Herbst::N,jesen,payîz
610,Winter::N,zima,zistan
611,Januar::N,januar,çile
612,Januar::N,siječanj,çile
613,Februar::N,veljača,sibat
614,Februar::N,februar,sibat
615,März::N,mart,adar
616,März::N,ožujak,adar
617,April::N,april,nîsan
618,April::N,travanj,nîsan
619,Mai::N,maj,gûlan
620,Mai::N,svibanj,gûlan
621,Juni::N,juni,hezîran
622,Juni::N,lipanj,hezîran
623,Juli::N,juli,tîmeh
624,Juli::N,srpanj,tîmeh
625,August::N,august,tebax
626,August::N,kolovoz,tebax
627,September::N,rujan,îlon
628,September::N,septembar,îlon
629,Oktober::N,oktobar,çotmeh
630,Oktober::N,listopad,çotmeh
631,November::N,studeni,mijdar
632,November::N,novembar,mijdar
633,Dezember::N,prosinac,kanûn
634,Montag::N,ponedjeljak,duşemb
635,Montag::N,ponedjeljnik,duşemb
636,Dienstag::N,utorak,sêşem
637,Dienstag::N,utornik,sêşem
638,Mittwoch::N,srijeda,çarşemb
639,Donnerstag::N,četvrtak,pêşemb
640,Freitag::N,petak,în
641,Samstag::N,subota,şemî
642,Sonntag::N,nedjelja,yekşemb
643,groß::A,velik,mezin
644,klein::A,mali,çûçik
645,klein::A,malen,çûçik
646,lang::A,dug,dirêj
647,lang::A,dugačak,dirêj
648,kurz::A,kratak,kin
649,breit::A,širok,fireh
650,schmal::A,uski,tenik
651,schmal::A,uzak,tenik
652,dicht::A,gust,gir
653,dick[Gegenstand]::A,debeo,şîşman
654,dünn::A,tanak,zirav
655,fein::A,fin,tenik
656,fein::A,tanak,tenik
657,fest::A,čvrst,saxlem
658,flach::A,ravan,pahn
659,flach::A,plosnat,pahn
660,glatt::A,gladak,dûz
661,glatt::A,gladak,şayîk
662,hart::A,tvrd,hişk
663,weich::A,mek,nerm
664,weich::A,mekan,nerm
665,rund::A,okrugao,gilover
666,spitz::A,oštar,pîj
667,spitz::A,šiljast,pîj
668,scharf::A,oštar,tûj
669,scharf::A,bridak,tûj
670,stumpf::A,tup,ne tûj
671,schwer::A,težak,giran
672,schön::A,krasan,xweş
673,schön::A,krasan,xweşik
674,heiß::A,vruć,kelandî
675,warm::A,topao,germ
676,kalt::A,hladan,sar
677,kühl::A,hladan,jemîrî
678,frisch::A,svjež,ter
679,feucht::A,vlažan,şil
680,nass::A,mokar,şilek
681,trocken::A,suh,zuwa
682,voll::A,pun,tijî
683,leer::A,prazan,vala
684,offen::A,otvoren,vekirî
685,geschlossen::A,zatvoren,asê
686,sauber::A,čist,pakij
687,schmutzig::A,nečist,lewitî
688,schmutzig::A,blatan,lewitî
689,roh::A,sirov,xav
690,reif::A,zreo,gihaştî
691,lecker::A,tečan,xweş
692,lecker::A,ukusan,xweş
693,süß::A,sladak,şîrîn
694,bitter::A,gorak,tahl
695,sauer::A,kiseo,tirş
696,hell::A,vedar,ronî
697,hell::A,svijetao,ronî
698,dunkel::A,taman,tarî
699,schwarz::A,crn,reş
700,weiß::A,bio,sipî
701,weiß::A,bijel,sipî
702,rot::A,crven,sor
703,gelb::A,žut,zer
704,blau::A,plav,şîn
705,blau::A,modar,şîn
706,grün::A,zelen,şîn
707,grau::A,siv,gewr
708,bunt::A,šaren,rengîn
709,billig::A,jeftin,erzan
710,teuer::A,skup,biha
711,wertvoll::A,vrijedan,hêja
712,wertvoll::A,vrijedan,giranbiha
713,wertvoll::A,dragocjen,hêja
714,wertvoll::A,dragocjen,giranbiha
715,blind::A,slijep,kor
716,taub::A,gluh,kerr
717,kräftig::A,snažan,gir
718,kräftig::A,snažan,xurt
719,stark::A,jak,xurt
720,stark::A,snažan,xurt
721,schwach::A,slab,kesad
722,fett::A,pretio,qelew
723,schlank::A,vitak,zirav
724,hübsch::A,zgodan,xweşik
725,böse::A,zao,xerab
726,böse::A,zao,aciz
727,böse::A,opak,xerab
728,böse::A,opak,aciz
729,dumm::A,glup,gêj
730,faul::A,lijen,têmbêl
731,fleißig::A,radin,jêhatî
732,fleißig::A,marljiv,jêhatî
733,geizig::A,škrt,destgirtî
734,klug::A,razborit,baqil
735,geschickt::A,vješt,zîrek
736,geschickt::A,vješt,ziring
737,lieb::A,drag,delal
738,lustig::A,veseo,kêfxweş
739,sanft::A,blag,nazenîn
740,hungrig::A,gladan,birçî
741,krank::A,bolestan,nexweş
742,nackt::A,nag,rût
743,nackt::A,nag,tazî
744,traurig::A,tužan,xemgîn
745,traurig::A,žalostan,xemgîn
746,lebendig::A,živ,bisaxî
747,gut::A,dobar,baş
748,schlecht::A,loš,xerab
749,schlecht::A,rđav,xerab
750,richtig::A,tačan,rast
751,richtig::A,tačan,saxlem
752,richtig::A,ispravan,rast
753,richtig::A,ispravan,saxlem
754,schlimm::A,zao,nebaş
755,schlimm::A,zločest,nebaş
756,wahr::A,istinit,rast
757,alt::A,star,pîr
758,alt::A,star,kevn
759,neu::A,nov,nû
760,ehemalig::A,bivši,kevnar
761,ehemalig::A,bivši,peşidar
762,alt[Lebewesen]::A,star,pîr
763,jung::A,mlad,xort
764,arm::A,ubog,feqîr
765,arm::A,ubog,desteng
766,arm::A,siromašan,feqîr
767,arm::A,siromašan,desteng
768,reich::A,bogat,dewlemend
769,bekannt::A,poznat,naskirî
770,berühmt::A,čuven,navdar
771,berühmt::A,slavan,navdar
772,fremd::A,tuđ,xerîb
773,fremd::A,stran,xerîb
774,verschieden::A,razan,çîhê
775,verschieden::A,različan,çîhê
776,nah::A,blizak,nêzîk
777,fern::A,dalek,dûr
778,fern::A,daljnji,dûr
779,linker::A,lijevi,çepê
780,rechter::A,desni,rastê
781,anderer::A,drugi,yê din
782,anderer::A,drugačiji,yê din
783,erster::A,prvi,yekemîn
784,zweiter::A,drugi,duda
785,dritter::A,treći,sisêya
786,letzter::A,zadnji,paşîn
787,allein::ADV,sam,tenê
788,auf einmal::ADV,istodobno,jar kê
789,zusammen::ADV,skupa,tev
790,zusammen::ADV,skupa,bi hev re
791,zusammen::ADV,zajedno,tev
792,zusammen::ADV,zajedno,bi hev re
793,lange::ADV,dugo,dirêj
794,plötzlich::ADV,naglo,ji nişkave
795,plötzlich::ADV,iznenada,ji nişkave
796,sofort::ADV,odmah,yekser
797,später::ADV,kasnije,paşiyê
798,jetzt::ADV,sad,nuha
799,jetzt::ADV,sada,nuha
800,heute::ADV,danas,îro
801,morgen::ADV,sutra,sibeh
802,bald::ADV,skoro,nêzîk
803,bald::ADV,doskora,nêzîk
804,dann::ADV,zatim,paşê
805,gestern::ADV,juče,do
806,gestern::ADV,jučer,do
807,einst::ADV,negda,jar ke
808,einst::ADV,nekada,jar ke
809,damals::ADV,tada,hîngî
810,damals::ADV,onda,hîngî
811,danach::ADV,poslije,piştra
812,danach::ADV,nakon toga,piştra
813,vorher::ADV,prije,pîşî
814,vorher::ADV,prije toga,pîşî
815,zuerst::ADV,prvo,bere
816,zuerst::ADV,najprije,bere
817,einmal::ADV,jednom,çarik
818,einmal::ADV,jedanput,çarik
819,manchmal::ADV,katkad,çarna
820,manchmal::ADV,katkada,çarna
821,oft::ADV,često,gelek çaran
822,immer::ADV,vazda,daîm
823,immer::ADV,uvijek,daîm
824,niemals::ADV,nikad,tu çar
825,niemals::ADV,nikada,tu çar
826,hier::ADV,tu,li vir
827,hier::ADV,ovdje,li vir
828,hierhin::ADV,amo,vir
829,hierhin::ADV,ovamo,vir
830,von hier::ADV,odavde,ji vir
831,dort::ADV,ondje,li wê derê
832,dorthin::ADV,onamo,wêda
