,Concept_ID,uz,it
126,Wurzel::N,tub,radice
127,Wurzel::N,tomir,radice
128,Baum::N,daraxt,àlbero
129,Stamm::N,o'simta,tronco
130,Rinde::N,qobiq,corteccia
131,Ast::N,shox,ramo
132,Zweig::N,butoq,ramo
133,Blatt::N,barg,foglia
134,Birke::N,qayin,betulla
135,Kiefer[Baum]::N,qarag'ay,pino
136,Weide[Baum]::N,shum,sàlice
137,Tanne::N,archa,abete
138,Horn::N,mugiz,corno
139,Feder::N,par,penna
140,Fell::N,mo'yna,manto
141,Fell::N,mo'yna,pelame
142,Flügel::N,qanot,ala
143,Klaue::N,tirnoq,grinfia
144,Kralle::N,tirnoq,unghia
145,Kralle::N,tirnoq,artiglio
146,Schwanz::N,quyruq,coda
147,Ei::N,tuxum,uovo
148,Nest::N,oshyon,nido
149,Bau::N,o'pqon,covo
150,Tier::N,hayvon,bestia
151,Tier::N,hayvon,animale
152,Herde::N,gala,gregge
153,Kuh::N,inak,vacca
154,Bulle::N,ho'kiz,toro
155,Pferd::N,ot,cavallo
156,Schaf::N,qo'y,pècora
157,Schwein::N,cho'chqa,porco
158,Schwein::N,cho'chqa,maiale
159,Hund::N,it,cane
160,Katze::N,mushuk,gatta
161,Bär::N,ayiq,orso
162,Eichhörnchen::N,tiyin,scoiàttolo
163,Elch::N,los,alce
164,Fuchs::N,tulki,volpe
165,Hase::N,kuyon,lepre
166,Maus::N,sichqon,topo
167,Maus::N,sichqon,sorcio
168,Wolf::N,bo'ri,lupo
169,Vogel::N,qush,uccello
170,Schwarm::N,to'da,stormo
171,Huhn::N,tovuq,gallina
172,Hahn::N,xo'roz,gallo
173,Gans::N,g'oz,oca
174,Adler::N,burgut,àquila
175,Ente::N,o'rdak,ànatra
176,Eule::N,boyo'g'li,gufo
177,Eule::N,boyo'g'li,civetta
178,Kranich::N,turna,gru
179,Krähe::N,qarg'a,cornacchia
180,Kuckuck::N,kakku,cuccù
181,Kuckuck::N,kakku,cùculo
182,Schwan::N,oqkush,cigno
183,Fisch::N,baliq,pesce
184,Barsch::N,olabug'a,pèrsico
185,Hecht::N,cho'rtan,luccio
186,Schlange[Tier]::N,ilon,serpente
187,Wurm::N,qurt,baco
188,Wurm::N,qurt,verme
189,Spinne::N,o'rgimchak,ragno
190,Ameise::N,chumoli,formica
191,Laus::N,bit,pidocchio
192,Mücke::N,chivin,zanzara
193,Fliege::N,pashsha,mosca
194,Schmetterling::N,kapalak,farfalla
195,Beere::N,meva,bacca
196,Apfel::N,olma,mela
197,Pilz::N,qo'ziqorin,fungo
198,Zwiebel::N,piyoz,cipolla
199,Saat::N,äkin,semente
200,Korn::N,zarra,grano
201,Heu::N,xashak,fieno
202,Schale::N,po'choq,buccia
203,Grube::N,co'ra,cava
204,Grube::N,co'ra,fossa
205,Falle::N,qopqon,tràppola
206,Schlinge::N,sirtmoq,laccio
207,Spur::N,iz,traccia
208,Asche::N,kul,cenere
209,Dreck::N,kir,fango
210,Eisen::N,temir,ferro
211,Gold::N,tilla,oro
212,Silber::N,kumush,argento
213,Kohle::N,ko'mir,carbone
214,Glas::N,oyna,vetro
215,Lehm::N,loy,argilla
216,Sand::N,qum,arena
217,Sand::N,qum,sabbia
218,Mensch::N,odam,uomo
219,Mensch::N,odam,èssere umano
220,Mann::N,ärkak,uomo
221,Frau::N,ayol,donna
222,Kind::N,bola,bambino
223,Kind::N,kichkintoy,bambino
224,Junge::N,bola,ragazzo
225,Mädchen::N,qiz,ragazza
226,Familie::N,oila,famiglia
227,Großvater::N,buva,nonno
228,Großvater::N,katta ota,nonno
229,Großmutter::N,buvi,nonna
230,Großmutter::N,katta oyi,nonna
231,Eltern::N,ota-ona,genitori
232,Vater::N,ota,padre
233,Mutter::N,ona,madre
234,Sohn::N,o'g'il,figlio
235,Tochter::N,qiz,figlia
236,Bruder::N,og'a,fratello
237,Bruder::N,uka,fratello
238,Schwester::N,opa,sorella
239,Schwester::N,singil,sorella
240,Onkel::N,amaki,zio
241,Tante::N,amma,zia
242,Tante::N,xola,zia
243,Ehemann::N,är,marito
244,Ehefrau::N,rafiqa,moglie
245,Freude::N,ayish,gioia
246,Freude::N,ayish,piacere
247,Gelächter::N,kulgi,risata
248,Glück::N,saodat,felicità
249,Kummer::N,g'am,afflizione
250,Wunsch::N,orzu,desiderio
251,Lust::N,rag'bat,voglia
252,Geist::N,ruh,mente
253,Geist::N,ruh,spìrito
254,Gedanke::N,fikr,idea
255,Gedanke::N,fikr,pensiero
256,Gedächtnis::N,äs,memoria
257,Verstand::N,aql,intelletto
258,Sinn::N,ma'ni,senso
259,Sinn::N,ma'ni,significato
260,Grund::N,sabab,causa
261,Grund::N,sabab,motivo
262,Grund::N,sabab,ragione
263,Wahrheit::N,haq,verità
264,Gespräch::N,gap,discorso
265,Gespräch::N,gap,conversazione
266,Märchen::N,ärtak,fiaba
267,Märchen::N,ärtak,fàvola
268,Erzählung::N,rivoyat,racconto
269,Erzählung::N,rivoyat,narrazione
270,Nachricht::N,xabar,messaggio
271,Neuigkeit::N,yangilik,notizia
272,Name::N,ot,nome
273,Rätsel::N,topishmoq,indovinello
274,Rede::N,nutq,discorso
275,Sprache::N,til,lingua
276,Sprache::N,til,linguaggio
277,Stimme::N,ovoz,voce
278,Wort::N,so'z,parola
279,Zeichen::N,alomat,segno
280,Zeichen::N,alomat,segnale
281,Ruf::N,chaqiriq,chiamata
282,Lärm::N,taraq,chiasso
283,Lärm::N,taraq,strèpito
284,Laut::N,tovush,suono
285,Ton::N,un,tono
286,Lied::N,ashula,canto
287,Lied::N,ashula,canzone
288,Ruhe::N,tinchlik,calma
289,Ruhe::N,tinchlik,tranquillità
290,Leute::N,xaloyiq,gente
291,Volk::N,xalq,pòpolo
292,Arbeit::N,ish,lavoro
293,Gast::N,mehmon,òspite
294,Gast::N,mehmon,invitato
295,Geschenk::N,hadya,regalo
296,Spiel::N,o'yin,gioco
297,Gesellschaft::N,jamiyat,compagnìa
298,Hilfe::N,yordam,aiuto
299,Hilfe::N,yordam,soccorso
300,Freund::N,do'st,amico
301,Kamerad::N,yo'ldosh,camerata
302,Angelegenheit::N,daxl,affare
303,Angelegenheit::N,daxl,faccenda
304,Anzahl::N,son,nùmero
305,Anzahl::N,son,quantità
306,Art::N,tur,tipo
307,Art::N,tur,specie
308,Stück::N,parcha,pezzo
309,Teil::N,bo'lak,parte
310,Hälfte::N,yarim,metà
311,Kreis::N,aylana,cìrcolo
312,Kreuz::N,xoch,croce
313,Linie::N,liniya,lìnea
314,Strich::N,chiziq,tratto
315,Abstand::N,oralik,distanza
316,Entfernung::N,uzoqlik,distanza
317,Entfernung::N,uzoqlik,lontananza
318,Gegend::N,yer,regione
319,Platz::N,oralig,posto
320,Platz::N,oralig,spazio
321,Ort::N,joy,luogo
322,Ort::N,joy,località
323,Seite::N,yon,lato
324,Seite::N,yon,parte
325,Mitte::N,o'rta,mezzo
326,Mitte::N,o'rta,centro
327,Gegenstand::N,ashyo,oggetto
328,Sache::N,buyum,cosa
329,Rand::N,chek,orlo
330,Rand::N,chek,bordo
331,Kante::N,tig',spìgolo
332,Ecke::N,burchak,canto
333,Spitze::N,uch,punta
334,Ende::N,oxir,capo
335,Ende::N,oxir,estremità
336,Loch::N,teshik,buco
337,Winkel::N,go'sha,àngolo
338,Muster::N,nusha,disegno
339,Größe::N,kattalik,taglia
340,Größe::N,kattalik,grandezza
341,Länge::N,uzunlik,lunghezza
342,Höhe::N,yuksaklik,altezza
343,Gewicht::N,solmoq,peso
344,Menge::N,miqdor,quantità
345,Haufen::N,uyum,cùmulo
346,Haufen::N,uyum,mucchio
347,Reihe::N,saf,fila
348,Boot::N,qayiq,barca
349,Boot::N,qayiq,battello
350,Ruder::N,äshkak,remo
351,Schlitten::N,chana,slitta
352,Ski::N,chang'i,sci
353,Lagerfeuer::N,gulxan,falò
354,Lagerfeuer::N,gulxan,fuoco di bivacco
355,Last::N,yuk,càrico
356,Gang::N,yurish,andata
357,Schritt::N,qadam,passo
358,Norden::N,shimol,nord
359,Norden::N,shimol,settentrione
360,Süden::N,janub,sud
361,Süden::N,janub,meridione
362,Westen::N,g'arb,òvest
363,Westen::N,g'arb,occidente
364,Osten::N,sharq,est
365,Osten::N,sharq,oriente
366,Holz::N,yog'och,legno
367,Brett::N,taxta,asse
368,Brett::N,taxta,tàvola
369,Platte::N,tabaqa,lastra
370,Platte::N,tabaqa,piastra
371,Stütze::N,tayanchi,supporto
372,Stange::N,qo'noq,sbarra
373,Stange::N,qo'noq,pèrtica
374,Stock::N,tayoq,verga
375,Stock::N,tayoq,bastone
376,Stock::N,tayoq,bacchetta
377,Stab::N,gavron,asta
378,Rohr::N,tarnov,tubo
379,Haus::N,uy,casa
380,Heim::N,makon,casa
381,Ofen::N,pechka,stufa
382,Fußboden::N,pol,pavimento
383,Tisch::N,mosa,tàvolo
384,Stuhl::N,o'rindiq,sedia
385,Wiege::N,beshik,culla
386,Bett::N,yotoq,letto
387,Regal::N,tokcha,scaffale
388,Kiste::N,sandiq,cassa
389,Fenster::N,deraza,finestra
390,Tür::N,äshik,porta
391,Tor::N,darvoza,portone
392,Zaun::N,panjara,recinto
393,Dach::N,tom,tetto
394,Leiter::N,narvon,scala
395,Leiter::N,narvon,scala a pioli
396,Besen::N,supurgi,scopa
397,Spaten::N,bel,vanga
398,Schaufel::N,kurak,pala
399,Gabel::N,bilka,forchetta
400,Löffel::N,qoshiq,cucchiaio
401,Messer::N,pichoq,coltello
402,Nagel::N,mix,chiodo
403,Netz::N,to'r,rete
404,Haken::N,ilgak,uncino
405,Griff::N,sop,mànico
406,Griff::N,sop,maniglia
407,Griff::N,tutqich,mànico
408,Griff::N,tutqich,maniglia
409,Schloss::N,qulf,serratura
410,Bild::N,rasm,quadro
411,Bild::N,rasm,immàgine
412,Figur::N,shakl,figura
413,Puppe::N,ko'g'irchoq,bàmbola
414,Beutel::N,to'rva,borsa
415,Beutel::N,to'rva,sacchetto
416,Bündel::N,bog'lam,fascio
417,Bündel::N,bog'lam,fagotto
418,Tasche::N,kissa,borsa
419,Eimer::N,chelak,secchio
420,Deckel::N,qopqoq,coperchio
421,Geschirr::N,idish,stoviglie
422,Sack::N,qop,sacco
423,Tasse::N,piyola,tazza
424,Topf::N,tuvak,pèntola
425,Kessel::N,qozon,paiolo
426,Kessel::N,qozon,calderone
427,Essen::N,tomoq,pasto
428,Essen::N,tomoq,mangiare
429,Nahrung::N,emak,cibo
430,Nahrung::N,emak,alimento
431,Speise::N,taom,piatto
432,Fleisch::N,go'sht,carne
433,Getreide::N,g'alla,cereali
434,Brei::N,bo'tqa,purè
435,Brei::N,bo'tqa,pappa
436,Brot::N,non,pane
437,Scheibe::N,disk,fetta
438,Scheibe::N,disk,trancia
439,Fett::N,moy,grasso
440,Butter::N,yog',burro
441,Öl::N,moy,olio
442,Salz::N,tuz,sale
443,Suppe::N,sho'rva,zuppa
444,Suppe::N,sho'rva,minestra
445,Honig::N,asal,miele
446,Milch::N,sut,latte
447,Tee::N,choy,tè
448,Leder::N,charm,pelle
449,Wolle::N,jun,lana
450,Stoff::N,mato,panno
451,Stoff::N,mato,tessuto
452,Nadel::N,igna,ago
453,Faden::N,ip,filo
454,Knopf::N,tugma,bottone
455,Knoten::N,tugun,nodo
456,Farbe::N,bo'yok,pittura
457,Kleidung::N,kiyim,vestiti
458,Kleidung::N,kiyim,vestiario
459,Hemd::N,ko'ylak,camicia
460,Kragen::N,yoqa,bàvero
461,Kragen::N,yoqa,colletto
462,Ärmel::N,yeng,mànica
463,Hose::N,shim,calzoni
464,Gürtel::N,tasma,cintura
465,Mütze::N,shapka,berretto
466,Schuh::N,but,scarpa
467,Stiefel::N,botinka,stivale
468,Ring::N,yuzuk,anello
469,Band::N,rishta,nastro
470,Band::N,rishta,fettuccia
471,Kamm::N,taroq,pèttine
472,Spiegel::N,ko'zgu,specchio
473,Riemen::N,qayish,cinghia
474,Schnur::N,bog'ich,corda
475,Leine::N,etak,guinzaglio
476,Decke::N,odyol,coperta
477,Kissen::N,yostiq,cuscino
478,Kissen::N,yostiq,guanciale
479,Tuch::N,gazlama,fazzoletto
480,Handtuch::N,sochiq,asciugamano
481,Kraft::N,kuch,forza
482,Stärke::N,quvvat,forza
483,Stärke::N,quvvat,vigore
484,Stärke::N,quvvat,fortezza
485,Gesundheit::N,sog'lik,salute
486,Krankheit::N,kasallik,malattìa
487,Schmerz::N,og'riq,dolore
488,Wunde::N,yara,piaga
489,Wunde::N,yara,ferita
490,Fieber::N,bezgak,febbre
491,Arznei::N,dori,fàrmaco
492,Arznei::N,dori,medicina
493,Brücke::N,ko'prik,ponte
494,Brunnen::N,buloq,pozzo
495,Weide::N,yaylov,pàscolo
496,Pfad::N,dorojka,sentiero
497,Weg::N,yo'l,via
498,Weg::N,yo'l,cammino
499,Straße::N,ko'cha,strada
500,Dorf::N,ovul,paese
501,Dorf::N,ovul,villaggio
502,Stadt::N,shahar,città
503,Brief::N,maktub,lèttera
504,Buch::N,kitob,libro
505,Buchstabe::N,harf,lèttera
506,Zeitung::N,gazet,giornale
507,Leben::N,hayot,vita
508,Tod::N,o'lim,morte
509,Grab::N,go'r,tomba
510,Grab::N,go'r,sepolcro
511,Kirche::N,cherkov,chiesa
512,Sünde::N,gunoh,peccato
513,Gott::N,olloh,dio
514,Arbeiter::N,ishchi,operaio
515,Arbeiter::N,ishchi,lavoratore
516,Chef::N,rais,capo
517,Chef::N,rais,padrone
518,Meister::N,usta,mastro
519,Meister::N,usta,maestro
520,Arzt::N,hakim,mèdico
521,Arzt::N,hakim,dottore
522,Lehrer::N,muallim,professore
523,Geld::N,pul,soldi
524,Geld::N,pul,denaro
525,Geschäft::N,savdo,affare
526,Geschäft::N,savdo,negozio
527,Laden::N,do'kon,negozio
528,Preis::N,baho,prezzo
529,Ware::N,mol,merce
530,Nutzen::N,foyda,ùtile
531,Nutzen::N,foyda,profitto
532,Reichtum::N,boylik,ricchezza
533,Welt::N,olam,mondo
534,Land::N,o'lka,paese
535,Staat::N,davlat,Stato
536,König::N,qirol,re
537,Macht::N,iqtidor,potere
538,Grenze::N,chegara,confine
539,Grenze::N,chegara,frontiera
540,Krieg::N,harb,guerra
541,Feind::N,dushman,nemico
542,Gewalt::N,zo'rlik,violenza
543,Kampf::N,kurash,lotta
544,Bogen[Waffe]::N,yoy,arco
545,Pfeil::N,o'q,freccia
546,Gewehr::N,vintovka,fucile
547,Fehler::N,xato,errore
548,Fehler::N,xato,sbaglio
549,Lüge::N,yolg'on,bugìa
550,Lüge::N,yolg'on,menzogna
551,Schaden::N,ziyon,danno
552,Unglück::N,balo,sfortuna
553,Schuld::N,ayb,colpa
554,Alter::N,yosh,età
555,Schluss::N,tamom,fine
556,Zeit::N,vaqt,tempo
557,Tag::N,kun,giorno
558,Tag::N,kun,giornata
559,Morgen::N,saboh,mattina
560,Mittag::N,kun tushlik,mezzogiorno
561,Abend::N,oqshom,sera
562,Abend::N,oqshom,serata
563,Nacht::N,tun,notte
564,Woche::N,hafta,settimana
565,Monat::N,oy,mese
566,Jahr::N,yil,anno
567,Frühling::N,bahor,primavera
568,Sommer::N,yoz,estate
569,Herbst::N,kuz,autunno
570,Herbst::N,xazon,autunno
571,Winter::N,qish,inverno
572,Januar::N,yanvar',gennaio
573,Februar::N,fevral',febbraio
574,März::N,mart,marzo
575,April::N,aprel',aprile
576,Mai::N,may,maggio
577,Juni::N,iyun',giugno
578,Juli::N,iyul',luglio
579,August::N,avgust,agosto
580,September::N,sentyabr',settembre
581,Oktober::N,oktyabr',ottobre
582,November::N,noyabr',novembre
583,Dezember::N,dekabr',dicembre
584,Montag::N,dushanba,lunedì
585,Dienstag::N,seshanba,martedì
586,Mittwoch::N,chorshanba,mercoledì
587,Donnerstag::N,payshanba,giovedì
588,Freitag::N,juma,venerdì
589,Samstag::N,shanba,sàbato
590,Sonntag::N,yakshanba,domenica
591,groß::A,buyuk,grande
592,klein::A,kichik,pìccolo
593,lang::A,uzun,lungo
594,kurz::A,qisqa,corto
595,breit::A,keng,largo
596,schmal::A,änsiz,stretto
597,dicht::A,quyuq,denso
598,dick[Gegenstand]::A,qalin,spesso
599,dünn::A,ingichka,sottile
600,fein::A,mayin,fine
601,fein::A,mayin,delicato
602,fest::A,qattiq,sodo
603,fest::A,qattiq,fisso
604,flach::A,yalpoq,piano
605,flach::A,yalpoq,piatto
606,glatt::A,tekis,liscio
607,hart::A,qattiq,duro
608,weich::A,yumshoq,molle
609,rund::A,yumaloq,rotondo
610,spitz::A,uchli,aguzzo
611,spitz::A,uchli,appuntito
612,scharf::A,keskir,affilato
613,scharf::A,keskir,tagliente
614,stumpf::A,to'mtoq,smussato
615,schwer::A,salmoqli,pesante
616,schön::A,go'zal,bello
617,heiß::A,qiziq,caldo
618,heiß::A,qiziq,bollente
619,warm::A,issiq,caldo
620,kalt::A,sovuq,freddo
621,kühl::A,salqin,fresco
622,frisch::A,toza,fresco
623,feucht::A,namli,ùmido
624,nass::A,nam,bagnato
625,trocken::A,quruq,secco
626,voll::A,to'la,pieno
627,leer::A,puch,vuoto
628,offen::A,ochiq,aperto
629,geschlossen::A,berk,chiuso
630,sauber::A,ozoda,netto
631,sauber::A,ozoda,pulito
632,schmutzig::A,kir,sporco
633,schmutzig::A,kir,sùdicio
634,roh::A,xom,crudo
635,reif::A,pishiq,maturo
636,lecker::A,shirin,ghiotto
637,lecker::A,shirin,squisito
638,süß::A,shirin,dolce
639,bitter::A,achchiq,amaro
640,sauer::A,achchiq,aspro
641,sauer::A,achchiq,acerbo
642,hell::A,yorug',chiaro
643,dunkel::A,qorong'i,buio
644,dunkel::A,qorong'i,oscuro
645,schwarz::A,qora,nero
646,weiß::A,oq,bianco
647,rot::A,qizil,rosso
648,gelb::A,sariq,giallo
649,blau::A,zangori,blu
650,blau::A,zangori,azzurro
651,grün::A,yashil,verde
652,grau::A,bo'z,grigio
653,bunt::A,ola,variopinto
654,billig::A,arzon,a buon prezzo
655,billig::A,arzon,a buon mercato
656,teuer::A,qimmat,caro
657,wertvoll::A,qimmat,prezioso
658,blind::A,ko'r,cieco
659,taub::A,garang,sordo
660,kräftig::A,kuchli,forte
661,kräftig::A,kuchli,robusto
662,stark::A,quvvatli,forte
663,stark::A,quvvatli,vigoroso
664,schwach::A,kuchsiz,dèbole
665,fett::A,semiz,grasso
666,schlank::A,ingichka,snello
667,schlank::A,ingichka,slanciato
668,hübsch::A,ko'rkam,bello
669,hübsch::A,ko'rkam,carino
670,böse::A,yovuz,cattivo
671,dumm::A,aqlsiz,stùpido
672,faul::A,ärinchak,pigro
673,fleißig::A,ishchan,diligente
674,geizig::A,qurumsoq,avaro
675,klug::A,oqil,intelligente
676,geschickt::A,äpchil,àbile
677,lieb::A,aziz,caro
678,lustig::A,chaqchaq,gaio
679,lustig::A,chaqchaq,allegro
680,sanft::A,asta,dolce
681,hungrig::A,och,affamato
682,krank::A,kasal,malato
683,krank::A,kasal,infermo
684,nackt::A,yalang,nudo
685,traurig::A,xafa,triste
686,lebendig::A,hayotiy,vivo
687,gut::A,soz,buono
688,schlecht::A,yomon,cattivo
689,richtig::A,rost,giusto
690,schlimm::A,yovuz,grave
691,wahr::A,haqiqiy,vero
692,alt::A,äski,vecchio
693,neu::A,yangi,nuovo
694,ehemalig::A,sobiq,vecchio
695,ehemalig::A,sobiq,d'una_volta
696,alt[Lebewesen]::A,qari,anziano
697,jung::A,navqiron,giovane
698,arm::A,abgor,pòvero
699,reich::A,boy,ricco
700,bekannt::A,ma'lum,noto
701,bekannt::A,ma'lum,conosciuto
702,berühmt::A,mashhur,famoso
703,berühmt::A,mashhur,cèlebre
704,fremd::A,yot,estràneo
705,fremd::A,yot,straniero
706,verschieden::A,turli,diverso
707,verschieden::A,turli,differente
708,nah::A,yaqindagi,vicino
709,nah::A,yaqindagi,propinquo
710,fern::A,uzoq,lontano
711,linker::A,so'l,sinistro
712,rechter::A,o'ng,destro
713,anderer::A,boshqa,altro
714,erster::A,birinchi,primo
715,zweiter::A,ikkinchi,secondo
716,dritter::A,uchinchi,terzo
717,letzter::A,oxirgi,ùltimo
718,allein::ADV,o'zicha,solo
719,allein::ADV,o'zicha,da solo
720,auf einmal::ADV,varakay,insieme
721,zusammen::ADV,barobar,insieme
722,lange::ADV,uzoq,a lungo
723,plötzlich::ADV,qo'qqisdan,all'improvviso
724,sofort::ADV,darrov,sùbito
725,sofort::ADV,darrov,all'istante
726,später::ADV,so'ngra,più tardi
727,jetzt::ADV,hozirgina,ora
728,jetzt::ADV,hozirgina,adesso
729,heute::ADV,bugun,oggi
730,morgen::ADV,ärta,domani
731,bald::ADV,toz,presto
732,bald::ADV,toz,tra poco
733,dann::ADV,keyin,allora
734,gestern::ADV,kecha,ieri
735,einst::ADV,avvallari,prima
736,einst::ADV,avvallari,un tempo
737,damals::ADV,ugal,allora
738,danach::ADV,so'ngra,poi
739,danach::ADV,so'ngra,dopo
740,vorher::ADV,avval,prima
741,zuerst::ADV,avval,prima
742,zuerst::ADV,avval,dapprima
743,einmal::ADV,bir marta,una volta
744,manchmal::ADV,onda-sonda,talvolta
745,manchmal::ADV,onda-sonda,qualche volta
746,oft::ADV,tez-tez,spesso
747,immer::ADV,har vaqt,sempre
748,niemals::ADV,hargiz,non mai
749,hier::ADV,shu erda,qua
750,hierhin::ADV,beri,qua
751,von hier::ADV,shu erdan,ne
752,von hier::ADV,shu erdan,da qui
753,dort::ADV,ana,lì
754,dorthin::ADV,u yerga,là
755,geradeaus::ADV,to'g'ri,diritto
756,vorwärts::ADV,ilgari,avanti
757,rückwärts::ADV,qoloq,all'indietro
758,zurück::ADV,orqada,di indietro
759,unten::ADV,pastda,giù
760,unten::ADV,pastda,sotto
761,hinab::ADV,tubanga,giù
762,hinab::ADV,tubanga,in giù
763,oben::ADV,ustida,su
764,oben::ADV,ustida,sopra
765,hinauf::ADV,yuqorida,in sù
766,hinauf::ADV,yuqorida,in alto
767,überall::ADV,har erda,dappertutto
768,nicht::ADV,ämas,non
769,ein wenig::ADV,biroz,un po'
770,ein wenig::ADV,biroz,un poco
771,kaum::ADV,arang,a appena
772,sehr::ADV,ancha,molto
773,so::ADV,shunday,così
774,so::ADV,shunday,tanto
775,noch::ADV,hali,ancora
776,nur::ADV,yolg'iz,solo
777,nur::ADV,yolg'iz,soltanto
778,schon::ADV,endi,già
779,wieder::ADV,yana,di nuovo
780,vergebens::ADV,bekorga,invano
781,vor::PRP,burun,davanti a
782,hinter::PRP,ketida,dietro
783,unter::PRP,ostida,sotto
784,durch::PRP,bo'ylab,per
785,durch::PRP,bo'ylab,attraverso
786,neben::PRP,yonida,a accanto a
787,zwischen::PRP,orada,fra
788,wegen::PRP,sababli,a causa di
789,dies::PRN,o'sha,ciò
790,dies::PRN,o'sha,questo
791,das::PRN,narigi,ciò
792,das::PRN,narigi,quello
793,alles::PRN,har nima,tutto
794,ich::PRN,men,ìo
795,du::PRN,sen,tu
796,er::PRN,u,lui
797,er::PRN,u,egli
798,wir::PRN,biz,noi
799,ihr::PRN,siz,voi
800,sie::PRN,ular,loro
801,was::FPRN,nima,che
802,was::FPRN,nima,che cosa
803,wer::FPRN,kim,chi
804,wo::FADV,qaerda,dove
805,wohin::FADV,qayerga,dove
806,wie::FADV,qanday,come
807,warum::FADV,nega,perche
808,wieviel::FNUM,qancha,quanto
809,eins::NUM,bir,uno
810,zwei::NUM,ikki,due
