,Concept_ID,bn,ga
79,Erde::N,ভূমি,ithir
80,Staub::N,ধুলা,dusta
81,Staub::N,ধুলা,deannach
82,Rauch::N,ধোঁয়া,toit
83,Rauch::N,ধোঁয়া,deatach
84,Funke::N,স্ফুলিঙ্গ,drithle
85,Feuer::N,অগ্নি,tine
86,Licht::N,আলো,solas
87,Schatten::N,ছায়া,scáth
88,Wetter::N,আবহাওয়া,aimsir
89,Nebel::N,কুহেলিকা,ceo
90,Wolke::N,মেঘ,néal
91,Wolke::N,মেঘ,scamall
92,Regen::N,বৃষ্টি,báisteach
93,Regen::N,বৃষ্টি,fearthainn
94,Schnee::N,তুষার,sneachta
95,Eis::N,বরফ,oighear
96,Frost::N,তুষার,sioc
97,Kälte::N,শৈত্য,fuacht
98,Hitze::N,তাপ,teas
99,Hitze::N,তাপ,teocht
100,Raureif::N,তুহিন,sioc bán
101,Regenbogen::N,রামধনু,stua ceatha
102,Regenbogen::N,রামধনু,bogha báistí
103,Donner::N,বজ্রধ্বনি,toirneach
104,Strömung::N,স্রোত,sruth
105,Tropfen::N,ফোঁটা,deoir
106,Schaum::N,ফেনা,cúr
107,Schmutz::N,ধুলা,salachar
108,See::N,হ্রদ,loch
109,Sumpf::N,জলা,portach
110,Moor::N,মাঠ,caorán
111,Moor::N,মাঠ,móinteán
112,Wiese::N,তৃণভূমি,cluain
113,Wiese::N,তৃণভূমি,móinéar
114,Wald::N,বন,coill
115,Wald::N,বন,foraois
116,Hügel::N,পাহাড়,ard
117,Anhöhe::N,টিলা,ard
118,Anhöhe::N,টিলা,ardán
119,Berg::N,পর্বত,sliabh
120,Gipfel::N,শীর্ষ,barr
121,Gipfel::N,শীর্ষ,mullach
122,Höhle::N,গুহা,uaimh
123,Höhle::N,গুহা,pluais
124,Abhang::N,ঢাল,fána
125,Quelle::N,উৎস,foinse
126,Bach::N,ক্ষুদ্র নদী,sruthán
127,Fluss::N,নদী,abhainn
128,Ufer::N,উপকূল,bruach
129,Küste::N,তীর,cósta
130,Küste::N,তীর,cladach
131,Festland::N,ভূমি,míntír
132,Meer::N,সমুদ্র,muir
133,Meer::N,সমুদ্র,farraige
134,Bucht::N,উপসাগর,bá
135,Bucht::N,উপসাগর,cuan
136,Insel::N,দ্বীপ,inis
137,Insel::N,দ্বীপ,oileán
138,Blume::N,ফুল,bláth
139,Gras::N,ঘাস,féar
140,Wurzel::N,শিকড়,rúta
141,Wurzel::N,শিকড়,fréamh
142,Baum::N,গাছ,crann
143,Stamm::N,স্কন্ধ,stoc
144,Stamm::N,স্কন্ধ,tamhan
145,Rinde::N,বল্কল,coirt
146,Rinde::N,বল্কল,craiceann
147,Ast::N,শাখা,géag
148,Zweig::N,ডাল,géag
149,Zweig::N,ডাল,craobh
150,Blatt::N,পর্ণ,duille
151,Blatt::N,পর্ণ,duilleog
152,Birke::N,ভুর্জ,beith
153,Birke::N,ভুর্জ,crann beithe
154,Kiefer[Baum]::N,পাইন গাছ,péine
155,Weide[Baum]::N,উইলো,saileach
156,Tanne::N,দেবদারূ গাছ,giúis
157,Horn::N,শিং,adharc
158,Feder::N,পালক,cleite
159,Fell::N,রোম,clúmh
160,Flügel::N,ডানা,eite
161,Flügel::N,ডানা,sciathán
162,Klaue::N,নখর,crúb
163,Klaue::N,নখর,crobh
164,Kralle::N,নখর,crobh
165,Schwanz::N,লেজ,eireaball
166,Ei::N,ডিম,ubh
167,Nest::N,কুলায়,nead
168,Bau::N,ডেরা,brocais
169,Tier::N,জন্তু,ainmhí
170,Tier::N,জন্তু,beithíoch
171,Herde::N,ঝাঁক,tréad
172,Kuh::N,গোরু,bó
173,Bulle::N,বৃষ,tarbh
174,Pferd::N,ঘোড়া,each
175,Pferd::N,ঘোড়া,capall
176,Schaf::N,ভেড়া,caora
177,Schwein::N,শূকর,muc
178,Hund::N,কুকুর,madra
179,Katze::N,বেড়াল,cat
180,Bär::N,ভল্লুক,béar
181,Eichhörnchen::N,কাঠবিড়াল,iora
182,Elch::N,হরিণবিশেষ,eilc
183,Fuchs::N,পাঁতিশিয়াল,sionnach
184,Fuchs::N,পাঁতিশিয়াল,madra rua
185,Hase::N,শশক,giorria
186,Maus::N,নেংটি ইঁদুর,luch
187,Wolf::N,নেকড়ে,mac tíre
188,Vogel::N,পক্ষী,éan
189,Schwarm::N,ঝাঁক,saithe
190,Huhn::N,মোরগ,cearc
191,Hahn::N,কুক্কুট,coileach
192,Gans::N,হংসী,gé
193,Adler::N,ইগল,iolar
194,Ente::N,হংসী,lacha
195,Eule::N,পেচক,ulchabhán
196,Kranich::N,সারস,grús
197,Krähe::N,কাক,caróg
198,Krähe::N,কাক,préachán
199,Kuckuck::N,কোকিল,cuach
200,Schwan::N,মরাল,eala
201,Fisch::N,মাছ,iasc
202,Barsch::N,মৎন্যবিশেষ,péirse
203,Hecht::N,বানমাছ,liús
204,Schlange[Tier]::N,সর্প,nathair
205,Wurm::N,কীট,péist
206,Spinne::N,মাকড়সা,damhán alla
207,Ameise::N,পিপীলিকা,seangán
208,Laus::N,উকুন,míol
209,Mücke::N,মশা,muiscít
210,Mücke::N,মশা,corrmhíol
211,Fliege::N,মাছি,cuil
212,Fliege::N,মাছি,cuileog
213,Schmetterling::N,প্রজাপতি,féileacán
214,Beere::N,বেরি,caor
215,Apfel::N,আপেল,úll
216,Pilz::N,ছত্রক,beacán
217,Pilz::N,ছত্রক,muisiriún
218,Zwiebel::N,পিয়াজ,oinniún
219,Saat::N,বীজ,síol
220,Korn::N,শস্য,gráinne
221,Heu::N,খড়,féar
222,Schale::N,খোসা,scaimh
223,Grube::N,গর্ত,poll
224,Falle::N,ফাঁদ,gaiste
225,Schlinge::N,পাশ,sealán
226,Spur::N,চিহ্ন,rian
227,Asche::N,ভস্ম,luaith
228,Dreck::N,ময়লা,salachar
229,Eisen::N,লোহা,iarann
230,Gold::N,স্বর্ণ,ór
231,Silber::N,রৌপ্য,airgead
232,Kohle::N,অঙ্গার,gual
233,Glas::N,কাচ,gloine
234,Lehm::N,মৃত্তিকা,cré
235,Sand::N,বালি,gaineamh
236,Mensch::N,নর,duine
237,Mensch::N,মানুষ,duine
238,Mann::N,মানুষ,fear
239,Frau::N,নারী,bean
240,Kind::N,বাচ্চা,gasúr
241,Kind::N,বাচ্চা,páiste
242,Junge::N,ছেলে,buachaill
243,Mädchen::N,মেয়ে,cailín
244,Familie::N,পরিবার,teaghlach
245,Familie::N,পরিবার,comhluadar
246,Großvater::N,মাতামহ,seanathair
247,Großmutter::N,মাতামহী,seanmháthair
248,Eltern::N,মাতাপিতা,tuismitheoirí
249,Vater::N,পিতা,athair
250,Mutter::N,মাতা,máthair
251,Sohn::N,ছেলে,mac
252,Tochter::N,মেয়ে,iníon
253,Bruder::N,দাদা,deartháir
254,Schwester::N,বোন,deirfiúr
255,Schwester::N,দিদি,deirfiúr
256,Onkel::N,মামা,uncail
257,Tante::N,মাসী,aintín
258,Ehemann::N,স্বামী,fear céile
259,Ehefrau::N,পত্নী,bean chéile
260,Freude::N,উল্লাস,áthas
261,Gelächter::N,হাসি,gáire
262,Glück::N,সুখ,séan
263,Glück::N,সুখ,sonas
264,Kummer::N,দুঃখ,brón
265,Kummer::N,দুঃখ,buairt
266,Wunsch::N,আকাঙ্ক্ষা,guí
267,Wunsch::N,আকাঙ্ক্ষা,achainí
268,Lust::N,বাসনা,fonn
269,Geist::N,আত্না,meon
270,Geist::N,আত্না,spiorad
271,Gedanke::N,চিন্তা,smaoineamh
272,Gedächtnis::N,স্মরণশক্তি,cuimhne
273,Verstand::N,মন,ciall
274,Verstand::N,মন,intinn
275,Sinn::N,পদার্থ,brí
276,Sinn::N,পদার্থ,ciall
277,Grund::N,কারণ,fáth
278,Wahrheit::N,সত্য,fírinne
279,Gespräch::N,কথাবার্তা,comhrá
280,Märchen::N,রূপকথা,scéal
281,Erzählung::N,গল্প,scéal
282,Nachricht::N,তথ্য,teachtaireacht
283,Neuigkeit::N,খবরাখবর,scéala
284,Name::N,নাম,ainm
285,Rätsel::N,ধাঁধা,tomhas
286,Rede::N,বক্তৃতা,óráid
287,Rede::N,বক্তৃতা,aitheasc
288,Sprache::N,ভাষা,teanga
289,Stimme::N,স্বর,guth
290,Wort::N,শব্দ,focal
291,Zeichen::N,প্রতীক,comhartha
292,Ruf::N,ডাক,glaoch
293,Lärm::N,হৈচৈ,torann
294,Laut::N,ধ্বনি,fuaim
295,Ton::N,স্বর,ton
296,Lied::N,গান,amhrán
297,Ruhe::N,শান্তি,suaimhneas
298,Leute::N,প্রজাপুঞ্জ,muintir
299,Volk::N,জাতি,pobal
300,Arbeit::N,চাকরি,obair
301,Gast::N,অতিথি,aoi
302,Geschenk::N,উপহার,féirín
303,Geschenk::N,উপহার,bronntanas
304,Spiel::N,খেলা,cluiche
305,Gesellschaft::N,সঙ্গিগণ,comhluadar
306,Hilfe::N,সাহায্য,cúnamh
307,Hilfe::N,সাহায্য,cabhair
308,Freund::N,বন্ধু,cara
309,Kamerad::N,সঙ্গী,comrádaí
310,Angelegenheit::N,বিষয়,ábhar
311,Anzahl::N,পরিমাণ,líon
312,Art::N,রকম,sórt
313,Art::N,রকম,saghas
314,Stück::N,টুকরো,píosa
315,Teil::N,অংশ,cuid
316,Teil::N,অংশ,páirt
317,Hälfte::N,অর্ধেক,leath
318,Kreis::N,বৃত্ত,ciorcal
319,Kreuz::N,ক্রুশ,cros
320,Linie::N,রেখা,líne
321,Strich::N,কষি,stríoc
322,Abstand::N,ফাঁক,achar
323,Entfernung::N,ব্যবধান,fad
324,Gegend::N,ক্ষেত্র,ceantar
325,Platz::N,জায়গা,áit
326,Platz::N,জায়গা,spás
327,Ort::N,স্থান,áit
328,Seite::N,পার্শ্ব,taobh
329,Mitte::N,মধ্য,lár
330,Gegenstand::N,জিনিস,ball
331,Gegenstand::N,জিনিস,ábhar
332,Sache::N,বস্তু,ní
333,Sache::N,বস্তু,rud
334,Rand::N,কানা,imeall
335,Rand::N,কানা,ciumhais
336,Kante::N,ধার,corr
337,Kante::N,ধার,colbha
338,Ecke::N,কোণ,coirnéal
339,Spitze::N,ডগা,gob
340,Spitze::N,ডগা,barr
341,Ende::N,প্রান্ত,ceann
342,Ende::N,প্রান্ত,foirceann
343,Loch::N,গর্ত,poll
344,Winkel::N,কোণ,cúinne
345,Winkel::N,কোণ,uillinn
346,Muster::N,নমুন্,patrún
347,Größe::N,আয়তন,méid
348,Größe::N,আয়তন,toise
349,Länge::N,দৈর্ঘ্য,fad
350,Höhe::N,উচ্চতা,airde
351,Gewicht::N,ওজন,meáchan
352,Menge::N,পরিমাণ,méid
353,Haufen::N,পুঞ্জ,cnap
354,Reihe::N,শ্রেণী,líne
355,Reihe::N,শ্রেণী,sraith
356,Boot::N,নৌকা,bád
357,Ruder::N,দাঁড়,rámh
358,Ruder::N,দাঁড়,maide rámha
359,Schlitten::N,স্নেজ্-গাড়ি,carr sleamhnáin
360,Ski::N,শী,scí
361,Lagerfeuer::N,অগ্নি,tine champa
362,Last::N,বোঝা,ualach
363,Gang::N,হণ্টন,siúlóid
364,Schritt::N,পদ,céim
365,Schritt::N,পদ,coiscéim
366,Norden::N,উত্তরদিক্,tuaisceart
367,Süden::N,দক্ষিণদিক,deisceart
368,Westen::N,পশ্চিমদিক্,iarthar
369,Osten::N,পূর্বদিক,oirthear
370,Holz::N,কাঠ,adhmad
371,Brett::N,তক্তা,clár
372,Platte::N,ফলক,leac
373,Stütze::N,নাগদণ্ড,taca
374,Stange::N,দণ্ড,polla
375,Stange::N,দণ্ড,cuaille
376,Stock::N,ছড়ি,bata
377,Stock::N,ছড়ি,maide
378,Stab::N,যষ্টি,maide
379,Stab::N,যষ্টি,bachall
380,Rohr::N,নল,píopa
381,Haus::N,ঘর,teach
382,Heim::N,বাসা,baile
383,Ofen::N,স্টোভ্,sornóg
384,Fußboden::N,গহতল,urlár
385,Tisch::N,মেজ,bord
386,Tisch::N,মেজ,tábla
387,Tisch::N,টেবিল,bord
388,Tisch::N,টেবিল,tábla
389,Stuhl::N,চেয়ার,cathaoir
390,Stuhl::N,কেদারা,cathaoir
391,Wiege::N,দোলনা,cliabhán
392,Bett::N,শয্যা,leaba
393,Regal::N,তাক,seilf
394,Kiste::N,বাক্স,bosca
395,Fenster::N,জানালা,fuinneoig
396,Tür::N,দ্বার,doras
397,Tor::N,দ্বার,geata
398,Zaun::N,বেড়া,fál
399,Zaun::N,বেড়া,claí
400,Dach::N,ছাদ,díon
401,Leiter::N,মই,dréimire
402,Besen::N,গুল্মবিশেষ,scuab
403,Spaten::N,কোদাল,spád
404,Spaten::N,কোদাল,rámhainn
405,Schaufel::N,বেলচা,sluasaid
406,Gabel::N,কাঁটা,forc
407,Gabel::N,কাঁটা,gabhlóg
408,Löffel::N,চামচ,spúnóg
409,Messer::N,ছুরি,scian
410,Nagel::N,পেরেক,tairne
411,Netz::N,জাল,líon
412,Netz::N,জাল,eangach
413,Haken::N,কাচি,croch
414,Griff::N,হাতল,cos
415,Griff::N,হাতল,hanla
416,Schloss::N,তালা,glas
417,Bild::N,ছবি,pictiúr
418,Bild::N,চিত্র,pictiúr
419,Figur::N,আকার,fíor
420,Puppe::N,পুতুল,bábóg
421,Beutel::N,বটুয়া,mála
422,Beutel::N,বটুয়া,mealbhóg
423,Bündel::N,আঁটি,beart
424,Tasche::N,থলি,mála
425,Eimer::N,বাল্তি,buicéad
426,Deckel::N,আবরণ,clár
427,Deckel::N,আবরণ,claibín
428,Geschirr::N,থালা-বাসন,soithí
429,Geschirr::N,থালা-বাসন,gréithe
430,Sack::N,বস্তা,sac
431,Sack::N,বস্তা,mála
432,Tasse::N,কাপ,cupán
433,Topf::N,পাত্র,pota
434,Kessel::N,কেটলি,citeal
435,Essen::N,আহার,béile
436,Nahrung::N,খাদ্য,bia
437,Speise::N,খাদ্য,mias
438,Fleisch::N,মাংস,feoil
439,Getreide::N,শস্য,grán
440,Getreide::N,শস্য,arbhar
441,Brei::N,মণ্ড,brúitín
442,Brot::N,রুটি,arán
443,Scheibe::N,ফালি,píosa
444,Scheibe::N,ফালি,slisne
445,Fett::N,মেদ,saill
446,Fett::N,মেদ,méathras
447,Butter::N,মাখন,im
448,Öl::N,তৈল,ola
449,Salz::N,নুন,salann
450,Suppe::N,শুরুয়া,sú
451,Suppe::N,শুরুয়া,anraith
452,Honig::N,মধু,mil
453,Milch::N,দুধ,bainne
454,Tee::N,চা,tae
455,Leder::N,পাকা চামড়া,leathar
456,Wolle::N,পশম,olann
457,Stoff::N,বস্ত্র,éadach
458,Nadel::N,সুচ,snáthaid
459,Faden::N,সূত্র,snáth
460,Knopf::N,বোতাম,cnaipe
461,Knoten::N,গিঁট,snaidhm
462,Farbe::N,রং,péint
463,Kleidung::N,কাপড়,éadaí
464,Hemd::N,শার্ট,léine
465,Kragen::N,গলবন্ধ,bóna
466,Ärmel::N,আস্তিন্,muinchille
467,Hose::N,ট্রাউজার,bríste
468,Hose::N,ট্রাউজার,treabhsar
469,Gürtel::N,কটিবন্ধ,crios
470,Mütze::N,টুপি,caipín
471,Schuh::N,জুতো,bróg
472,Stiefel::N,বুট,buatais
473,Ring::N,আংটি,fáinne
474,Band::N,ফিতা,ribín
475,Kamm::N,চিরুনি,cíor
476,Spiegel::N,আয়না,scáthán
477,Riemen::N,চাবুক,iall
478,Riemen::N,চাবুক,strapa
479,Schnur::N,দড়ি,téad
480,Schnur::N,দড়ি,sreangán
481,Leine::N,শিকল,iall
482,Decke::N,কম্বল,pluid
483,Decke::N,কম্বল,blaincéad
484,Kissen::N,উপাধান,piliúr
485,Kissen::N,উপাধান,adhartán
486,Tuch::N,বস্ত্র,scaif
487,Handtuch::N,তোয়ালে,tuáille
488,Kraft::N,জোর,fórsa
489,Stärke::N,শক্তি,neart
490,Gesundheit::N,স্বাস্থ্য,sláinte
491,Krankheit::N,অসুখ,tinneas
492,Krankheit::N,অসুখ,breoiteacht
493,Krankheit::N,ব্যামো,tinneas
494,Krankheit::N,ব্যামো,breoiteacht
495,Schmerz::N,যন্ত্রণা,pian
496,Wunde::N,ক্ষত,goin
497,Fieber::N,জ্বর,fiabhras
498,Arznei::N,ঔষধ,cógas
499,Brücke::N,সেতু,droichead
500,Brunnen::N,কূপ,tobar
501,Weide::N,পশুচারণভূমি,féarach
502,Pfad::N,পথ,cosán
503,Pfad::N,পথ,conair
504,Weg::N,পথ,slí
505,Weg::N,পথ,bealach
506,Straße::N,রাস্তা,bóthar
507,Dorf::N,গ্রাম,sráidbhaile
508,Stadt::N,শহর,baile
509,Stadt::N,শহর,cathair
510,Brief::N,চিঠি,litir
511,Buch::N,বই,cín
512,Buch::N,বই,leabhar
513,Buchstabe::N,অক্ষর,litir
514,Zeitung::N,সংবাদপত্র,nuachtán
515,Leben::N,জীবন,saol
516,Leben::N,জীবন,beatha
517,Tod::N,মৃত্যু,bás
518,Grab::N,কবর,uaigh
519,Kirche::N,গির্জা,eaglais
520,Sünde::N,পাপ,peaca
521,Gott::N,দেবতা,dia
522,Arbeiter::N,শ্রমিক,oibrí
523,Chef::N,নেতা,saoiste
524,Chef::N,নেতা,ceannasaí
525,Meister::N,ব্যক্তি,máistir
526,Arzt::N,চিকিৎসক,lia
527,Arzt::N,চিকিৎসক,dochtúir
528,Lehrer::N,অধ্যাপক,oide
529,Lehrer::N,অধ্যাপক,múinteoir
530,Geld::N,মুদ্রা,airgead
531,Geld::N,টাকাপয়সা,airgead
532,Geschäft::N,ব্যস্ততা,gnó
533,Laden::N,দোকান,siopa
534,Preis::N,মূল্য,praghas
535,Ware::N,পণ্যদ্রব্য,earra
536,Nutzen::N,সুবিধা,tairbhe
537,Reichtum::N,ধনদৌলত,rachmas
538,Reichtum::N,ধনদৌলত,saibhreas
539,Welt::N,জগৎ,domhan
540,Land::N,খেত,tír
541,Staat::N,রাষ্ট্র,stát
542,König::N,রাজা,rí
543,Macht::N,প্রভাব,cumhacht
544,Grenze::N,সীমা,críoch
545,Grenze::N,সীমা,teorainn
546,Krieg::N,যুদ্ধ,cogadh
547,Feind::N,শত্রু,namhaid
548,Gewalt::N,জোর,foréigean
549,Kampf::N,লড়াই,troid
550,Bogen[Waffe]::N,ধনুক,bogha
551,Pfeil::N,বাণ,saighead
552,Gewehr::N,বন্দুক,gunna
553,Fehler::N,ভুল,botún
554,Fehler::N,ভুল,meancóg
555,Lüge::N,মিথ্যা,bréag
556,Lüge::N,মিথ্যা,éitheach
557,Schaden::N,ক্ষতি,dochar
558,Schaden::N,ক্ষতি,damáiste
559,Unglück::N,দুর্ভাগ্য,drochrath
560,Schuld::N,অপরাধ,locht
561,Schuld::N,অপরাধ,milleán
562,Alter::N,আয়ু,aois
563,Schluss::N,শেষ,deireadh
564,Zeit::N,সময়,am
565,Zeit::N,সময়,aimsir
566,Tag::N,দিন,lá
567,Morgen::N,সকাল,maidin
568,Mittag::N,মধ্যাহু,nóin
569,Abend::N,সন্ধ্যা,tráthnóna
570,Nacht::N,রাত্রি,oíche
571,Woche::N,সপ্তাহ,seachtain
572,Monat::N,মাস,mí
573,Jahr::N,সৌরবর্ষ,bliain
574,Frühling::N,বসন্তকাল,earrach
575,Sommer::N,গ্রীষ্মকাল,samhradh
576,Herbst::N,শরংঋতু,fómhar
577,Winter::N,শীতকাল,geimhreadh
578,Januar::N,জানুয়ারী,Eanáir
579,Februar::N,ফেব্রুয়ারী,Feabhra
580,März::N,মার্চ,Márta
581,April::N,এপ্রিল,Aibreán
582,Mai::N,মে,Bealtaine
583,Juni::N,জুন,Meitheamh
584,Juli::N,জুলাই,Iúil
585,August::N,অগাস্ট,Lúnasa
586,September::N,সেপ্টেম্বর,Meán Fómhair
587,Oktober::N,অক্টোবর,Deireadh Fómhair
588,November::N,নভেম্বর,Samhain
589,November::N,নভেম্বর,Mí na Samhna
590,Dezember::N,ডিসেম্বর,Mí na Nollag
591,Montag::N,সোমবার,Luan
592,Montag::N,সোমবার,Dé Luain
593,Dienstag::N,মঙ্গলবার,Máirt
594,Dienstag::N,মঙ্গলবার,Dé Máirt
595,Mittwoch::N,বুধবার,Céadaoin
596,Mittwoch::N,বুধবার,Dé Céadaoin
597,Donnerstag::N,বৃহম্পতিবার,Déardaoin
598,Freitag::N,শুক্রবার,Aoine
599,Freitag::N,শুক্রবার,Dé hAoine
600,Samstag::N,শনিবার,Satharn
601,Samstag::N,শনিবার,Dé Sathairn
602,Sonntag::N,রবিবার,Domhnach
603,Sonntag::N,রবিবার,Dé Domhnaigh
604,groß::A,বৃহৎ,mór
605,klein::A,ছোট,beag
606,lang::A,দীর্ঘ,fada
607,kurz::A,খর্ব,gearr
608,kurz::A,খর্ব,gairid
609,kurz::A,হ্রস্ব,gearr
610,kurz::A,হ্রস্ব,gairid
611,breit::A,চওড়া,leathan
612,breit::A,চওড়া,fairsing
613,schmal::A,সরু,cúng
614,dicht::A,ঘন,dlúth
615,dick[Gegenstand]::A,পুরু,tiubh
616,dünn::A,কৃশ,caol
617,dünn::A,কৃশ,tanaí
618,fein::A,সূক্ষ্ম,scáinte
619,fein::A,সূক্ষ্ম,fíneálta
620,fest::A,দৃঢ়,daingean
621,flach::A,সমতল,cothrom
622,glatt::A,মসৃণ,mín
623,glatt::A,মসৃণ,sleamhain
624,hart::A,শক্ত,crua
625,weich::A,নরম,bog
626,rund::A,গোলাকার,cruinn
627,spitz::A,তীক্ষ্ন,gobach
628,spitz::A,তীক্ষ্ন,biorach
629,scharf::A,শাণিত,géar
630,scharf::A,শাণিত,faobhrach
631,stumpf::A,ভোঁতা,maol
632,schwer::A,ভারী,trom
633,schön::A,সুন্দর,álainn
634,heiß::A,গরম,te
635,warm::A,ঈষদুষ্ণ,te
636,kalt::A,ঠাণ্ডা,fuar
637,kühl::A,শীতল,fionnuar
638,frisch::A,তাজা,úr
639,frisch::A,তাজা,friseáilte
640,feucht::A,ভিজা,tais
641,nass::A,ভিজা,fliuch
642,trocken::A,শুষ্ক,tirim
643,voll::A,পূর্ণ,lán
644,leer::A,খালি,folamh
645,offen::A,খোলা,oscailte
646,geschlossen::A,বন্ধ,dúnta
647,geschlossen::A,বন্ধ,druidte
648,sauber::A,নির্মল,glan
649,schmutzig::A,নোংরা,salach
650,roh::A,কাঁচা,amh
651,reif::A,পাকা,aibí
652,lecker::A,সুস্বাদ,blasta
653,süß::A,মিষ্ট,milis
654,bitter::A,তিক্ত,searbh
655,sauer::A,টক,géar
656,sauer::A,টক,searbh
657,hell::A,উজ্জ্বল,geal
658,hell::A,উজ্জ্বল,soilseach
659,dunkel::A,অন্ধকারময়,dorcha
660,schwarz::A,কালো,dubh
661,weiß::A,সাদা,bán
662,rot::A,লাল,dearg
663,gelb::A,হলদে,buí
664,blau::A,নীল,gorm
665,grün::A,সবুজ,glas
666,grün::A,সবুজ,uaine
667,grau::A,ছাই-রঙা,liath
668,bunt::A,রঙিন,ildathach
669,bunt::A,রঙিন,dathannach
670,billig::A,সস্তা,saor
671,teuer::A,আক্রা,daor
672,teuer::A,আক্রা,costasach
673,wertvoll::A,মহার্ঘ,luachmhar
674,blind::A,কানা,dall
675,blind::A,কানা,caoch
676,taub::A,বধির,bodhar
677,kräftig::A,বিশাল,cumhachtach
678,stark::A,শক্তিশালী,tréan
679,stark::A,শক্তিশালী,láidir
680,schwach::A,দুর্বল,lag
681,schwach::A,দুর্বল,fann
682,fett::A,মোটা,ramhar
683,schlank::A,কৃশ,caol
684,schlank::A,কৃশ,seang
685,hübsch::A,সুন্দর,álainn
686,hübsch::A,সুন্দর,dathúil
687,böse::A,খারাপ,olc
688,dumm::A,মূর্খ,dúr
689,dumm::A,মূর্খ,amaideach
690,faul::A,শ্রমবিমুখ,falsa
691,faul::A,শ্রমবিমুখ,leisciúil
692,fleißig::A,পরিশ্রমী,dícheallach
693,geizig::A,ব্যয়কুণ্ঠ,barainneach
694,geizig::A,ব্যয়কুণ্ঠ,sprionlaithe
695,klug::A,দক্ষ,cliste
696,geschickt::A,পটু,oilte
697,geschickt::A,পটু,ealaíonta
698,lieb::A,প্রেয়,dil
699,lieb::A,প্রেয়,dílis
700,lustig::A,প্রফুল্ল,aerach
701,lustig::A,প্রফুল্ল,meidhreach
702,sanft::A,নম্র,bog
703,sanft::A,নম্র,séimh
704,hungrig::A,ক্ষুধার্ত,ocrach
705,krank::A,অসুস্থ,tinn
706,krank::A,অসুস্থ,breoite
707,nackt::A,উলঙ্গ,nocht
708,traurig::A,দুঃখিত,brónach
709,lebendig::A,জীবিত,beo
710,gut::A,ভালো,maith
711,schlecht::A,মন্দ,dona
712,schlecht::A,মন্দ,droch-
713,richtig::A,ঠিক,ceart
714,schlimm::A,কদর্য,gránna
