,Concept_ID,uz,la
147,Bulle::N,ho'kiz,taurus
148,Pferd::N,ot,equus
149,Schaf::N,qo'y,ovis
150,Schwein::N,cho'chqa,sus
151,Schwein::N,cho'chqa,porcus
152,Hund::N,it,canis
153,Katze::N,mushuk,felis
154,Bär::N,ayiq,ursus
155,Eichhörnchen::N,tiyin,sciurus
156,Elch::N,los,alces
157,Fuchs::N,tulki,vulpes
158,Hase::N,kuyon,lepus
159,Maus::N,sichqon,mus
160,Wolf::N,bo'ri,lupus
161,Vogel::N,qush,avis
162,Schwarm::N,to'da,examen
163,Huhn::N,tovuq,gallina
164,Hahn::N,xo'roz,gallus
165,Gans::N,g'oz,anser
166,Adler::N,burgut,aquila
167,Ente::N,o'rdak,anas
168,Eule::N,boyo'g'li,ulula
169,Eule::N,boyo'g'li,noctua
170,Kranich::N,turna,grus
171,Krähe::N,qarg'a,cornix
172,Kuckuck::N,kakku,cuculus
173,Schwan::N,oqkush,olor
174,Schwan::N,oqkush,cycnus
175,Fisch::N,baliq,piscis
176,Barsch::N,olabug'a,perca
177,Hecht::N,cho'rtan,esox
178,Schlange[Tier]::N,ilon,serpens
179,Wurm::N,qurt,vermis
180,Spinne::N,o'rgimchak,aranea
181,Ameise::N,chumoli,formica
182,Laus::N,bit,pediculus
183,Mücke::N,chivin,culex
184,Fliege::N,pashsha,musca
185,Schmetterling::N,kapalak,papilio
186,Beere::N,meva,baca
187,Apfel::N,olma,malum
188,Pilz::N,qo'ziqorin,fungus
189,Zwiebel::N,piyoz,cepa
190,Saat::N,äkin,seges
191,Korn::N,zarra,granum
192,Heu::N,xashak,faenum
193,Schale::N,po'choq,putamen
194,Grube::N,co'ra,fovea
195,Falle::N,qopqon,pedica
196,Schlinge::N,sirtmoq,laqueus
197,Spur::N,iz,vestigium
198,Asche::N,kul,cinis
199,Dreck::N,kir,lutum
200,Eisen::N,temir,ferrum
201,Gold::N,tilla,aurum
202,Silber::N,kumush,argentum
203,Kohle::N,ko'mir,carbo
204,Glas::N,oyna,vitrum
205,Lehm::N,loy,lutum
206,Sand::N,qum,arena
207,Mensch::N,odam,homo
208,Mann::N,ärkak,vir
209,Frau::N,ayol,mulier
210,Kind::N,bola,puer
211,Kind::N,bola,infans
212,Kind::N,kichkintoy,puer
213,Kind::N,kichkintoy,infans
214,Junge::N,bola,puer
215,Mädchen::N,qiz,puella
216,Familie::N,oila,familia
217,Großvater::N,buva,avus
218,Großvater::N,katta ota,avus
219,Großmutter::N,buvi,avia
220,Großmutter::N,katta oyi,avia
221,Eltern::N,ota-ona,parentes
222,Vater::N,ota,pater
223,Mutter::N,ona,mater
224,Sohn::N,o'g'il,filius
225,Tochter::N,qiz,filia
226,Bruder::N,og'a,frater
227,Bruder::N,uka,frater
228,Schwester::N,opa,soror
229,Schwester::N,singil,soror
230,Onkel::N,amaki,patruus
231,Onkel::N,amaki,avunculus
232,Tante::N,amma,amita
233,Tante::N,xola,amita
234,Ehemann::N,är,maritus
235,Ehefrau::N,rafiqa,uxor
236,Freude::N,ayish,gaudium
237,Freude::N,ayish,laetitia
238,Gelächter::N,kulgi,risus
239,Glück::N,saodat,felicitas
240,Kummer::N,g'am,aegritudo
241,Wunsch::N,orzu,voluntas
242,Wunsch::N,orzu,desiderium
243,Lust::N,rag'bat,libido
244,Lust::N,rag'bat,voluptas
245,Geist::N,ruh,mens
246,Geist::N,ruh,animus
247,Gedanke::N,fikr,sententia
248,Gedächtnis::N,äs,memoria
249,Verstand::N,aql,ratio
250,Verstand::N,aql,ingenium
251,Sinn::N,ma'ni,sensus
252,Grund::N,sabab,causa
253,Wahrheit::N,haq,veritas
254,Gespräch::N,gap,sermo
255,Märchen::N,ärtak,fabula
256,Erzählung::N,rivoyat,fabula
257,Erzählung::N,rivoyat,narratio
258,Nachricht::N,xabar,nuntius
259,Neuigkeit::N,yangilik,novitas
260,Name::N,ot,nomen
261,Rätsel::N,topishmoq,aenigma
262,Rede::N,nutq,oratio
263,Sprache::N,til,lingua
264,Stimme::N,ovoz,vox
265,Wort::N,so'z,verbum
266,Wort::N,so'z,vocabulum
267,Zeichen::N,alomat,signum
268,Ruf::N,chaqiriq,clamor
269,Lärm::N,taraq,strepitus
270,Laut::N,tovush,sonus
271,Ton::N,un,sonus
272,Lied::N,ashula,carmen
273,Ruhe::N,tinchlik,quies
274,Leute::N,xaloyiq,homines
275,Volk::N,xalq,populus
276,Arbeit::N,ish,labor
277,Gast::N,mehmon,hospes
278,Gast::N,mehmon,conviva
279,Geschenk::N,hadya,munus
280,Spiel::N,o'yin,ludus
281,Gesellschaft::N,jamiyat,societas
282,Hilfe::N,yordam,auxilium
283,Hilfe::N,yordam,subsidium
284,Freund::N,do'st,amicus
285,Kamerad::N,yo'ldosh,socius
286,Angelegenheit::N,daxl,res
287,Anzahl::N,son,numerus
288,Art::N,tur,genus
289,Stück::N,parcha,frustum
290,Stück::N,parcha,fragmentum
291,Teil::N,bo'lak,pars
292,Hälfte::N,yarim,dimidium
293,Kreis::N,aylana,orbis
294,Kreis::N,aylana,circus
295,Kreuz::N,xoch,crux
296,Linie::N,liniya,linea
297,Strich::N,chiziq,lineamentum
298,Abstand::N,oralik,intervallum
299,Entfernung::N,uzoqlik,spatium
300,Gegend::N,yer,loca
301,Gegend::N,yer,regio
302,Platz::N,oralig,locus
303,Ort::N,joy,locus
304,Seite::N,yon,latus
305,Mitte::N,o'rta,medium
306,Gegenstand::N,ashyo,res
307,Sache::N,buyum,res
308,Rand::N,chek,margo
309,Kante::N,tig',angulus
310,Ecke::N,burchak,angulus
311,Spitze::N,uch,cacumen
312,Ende::N,oxir,caput
313,Loch::N,teshik,foramen
314,Winkel::N,go'sha,angulus
315,Muster::N,nusha,exemplum
316,Größe::N,kattalik,magnitudo
317,Länge::N,uzunlik,longitudo
318,Höhe::N,yuksaklik,altitudo
319,Gewicht::N,solmoq,pondus
320,Menge::N,miqdor,copia
321,Haufen::N,uyum,acervus
322,Reihe::N,saf,ordo
323,Boot::N,qayiq,navicula
324,Ruder::N,äshkak,remus
325,Schlitten::N,chana,sclodia
326,Ski::N,chang'i,narta
327,Lagerfeuer::N,gulxan,ignis
328,Last::N,yuk,onus
329,Gang::N,yurish,cursus
330,Schritt::N,qadam,gradus
331,Norden::N,shimol,septentriones
332,Süden::N,janub,meridies
333,Westen::N,g'arb,occidens
334,Osten::N,sharq,oriens
335,Holz::N,yog'och,lignum
336,Brett::N,taxta,tabula
337,Platte::N,tabaqa,lamina
338,Stütze::N,tayanchi,adminiculum
339,Stange::N,qo'noq,pertica
340,Stock::N,tayoq,baculum
341,Stab::N,gavron,scipio
342,Rohr::N,tarnov,tubus
343,Haus::N,uy,aedes
344,Heim::N,makon,domicilium
345,Ofen::N,pechka,fornax
346,Fußboden::N,pol,solum
347,Tisch::N,mosa,mensa
348,Stuhl::N,o'rindiq,sella
349,Wiege::N,beshik,cunae
350,Bett::N,yotoq,lectus
351,Regal::N,tokcha,foruli
352,Kiste::N,sandiq,cista
353,Fenster::N,deraza,fenestra
354,Tür::N,äshik,ianua
355,Tor::N,darvoza,porta
356,Zaun::N,panjara,saepes
357,Dach::N,tom,tectum
358,Leiter::N,narvon,scalae
359,Besen::N,supurgi,scopae
360,Spaten::N,bel,pala
361,Schaufel::N,kurak,pala
362,Gabel::N,bilka,fuscinula
363,Löffel::N,qoshiq,coclear
364,Messer::N,pichoq,culter
365,Nagel::N,mix,clavus
366,Netz::N,to'r,rete
367,Haken::N,ilgak,hamus
368,Griff::N,sop,manubrium
369,Griff::N,tutqich,manubrium
370,Schloss::N,qulf,claustra
371,Bild::N,rasm,tabula
372,Bild::N,rasm,pictura
373,Figur::N,shakl,statunculum
374,Puppe::N,ko'g'irchoq,pupa
375,Beutel::N,to'rva,sacculus
376,Bündel::N,bog'lam,fascis
377,Tasche::N,kissa,sacculus
378,Eimer::N,chelak,situla
379,Deckel::N,qopqoq,operculum
380,Geschirr::N,idish,vasa
381,Sack::N,qop,saccus
382,Tasse::N,piyola,pocillum
383,Topf::N,tuvak,olla
384,Kessel::N,qozon,aenum
385,Essen::N,tomoq,cena
386,Nahrung::N,emak,cibus
387,Nahrung::N,emak,alimenta
388,Speise::N,taom,cibus
389,Fleisch::N,go'sht,caro
390,Getreide::N,g'alla,frumentum
391,Brei::N,bo'tqa,puls
392,Brot::N,non,panis
393,Scheibe::N,disk,frustum
394,Fett::N,moy,pingue
395,Butter::N,yog',butȳrum
396,Öl::N,moy,oleum
397,Salz::N,tuz,sal
398,Suppe::N,sho'rva,ius
399,Honig::N,asal,mel
400,Milch::N,sut,lac
401,Tee::N,choy,thea
402,Leder::N,charm,corium
403,Wolle::N,jun,lana
404,Stoff::N,mato,textum
405,Nadel::N,igna,acus
406,Faden::N,ip,filum
407,Knopf::N,tugma,bulla
408,Knoten::N,tugun,nodus
409,Farbe::N,bo'yok,pigmentum
410,Kleidung::N,kiyim,vestimenta
411,Hemd::N,ko'ylak,tunica
412,Kragen::N,yoqa,collare
413,Ärmel::N,yeng,manica
414,Hose::N,shim,bracae
415,Gürtel::N,tasma,cingulum
416,Mütze::N,shapka,pilleus
417,Schuh::N,but,calceus
418,Stiefel::N,botinka,pero
419,Stiefel::N,botinka,caliga
420,Ring::N,yuzuk,anulus
421,Band::N,rishta,redimiculum
422,Kamm::N,taroq,pecten
423,Spiegel::N,ko'zgu,speculum
424,Riemen::N,qayish,lorum
425,Schnur::N,bog'ich,linum
426,Leine::N,etak,retinaculum
427,Decke::N,odyol,lodix
428,Kissen::N,yostiq,pulvinus
429,Tuch::N,gazlama,velum
430,Handtuch::N,sochiq,mantele
431,Kraft::N,kuch,vis
432,Stärke::N,quvvat,robur
433,Gesundheit::N,sog'lik,valetudo
434,Krankheit::N,kasallik,morbus
435,Schmerz::N,og'riq,dolor
436,Wunde::N,yara,vulnus
437,Fieber::N,bezgak,febris
438,Arznei::N,dori,remedium
439,Brücke::N,ko'prik,pons
440,Brunnen::N,buloq,puteus
441,Weide::N,yaylov,pascua
442,Pfad::N,dorojka,semita
443,Weg::N,yo'l,iter
444,Straße::N,ko'cha,via
445,Dorf::N,ovul,vicus
446,Stadt::N,shahar,urbs
447,Stadt::N,shahar,oppidum
448,Brief::N,maktub,epistula
449,Buch::N,kitob,liber
450,Buchstabe::N,harf,littera
451,Zeitung::N,gazet,diurnum
452,Leben::N,hayot,vita
453,Tod::N,o'lim,mors
454,Grab::N,go'r,sepulcrum
455,Kirche::N,cherkov,ecclesia
456,Sünde::N,gunoh,peccatum
457,Gott::N,olloh,deus
458,Arbeiter::N,ishchi,operarius
459,Chef::N,rais,praefectus
460,Meister::N,usta,magister
461,Arzt::N,hakim,medicus
462,Lehrer::N,muallim,magister
463,Geld::N,pul,aes
464,Geld::N,pul,pecunia
465,Geschäft::N,savdo,negotium
466,Laden::N,do'kon,taberna
467,Preis::N,baho,pretium
468,Ware::N,mol,merx
469,Nutzen::N,foyda,utilitas
470,Reichtum::N,boylik,opes
471,Reichtum::N,boylik,divitiae
472,Welt::N,olam,mundus
473,Land::N,o'lka,terra
474,Staat::N,davlat,res publica
475,König::N,qirol,rex
476,Macht::N,iqtidor,potestas
477,Grenze::N,chegara,limes
478,Krieg::N,harb,bellum
479,Feind::N,dushman,inimicus
480,Gewalt::N,zo'rlik,vis
481,Kampf::N,kurash,pugna
482,Bogen[Waffe]::N,yoy,arcus
483,Pfeil::N,o'q,sagitta
484,Gewehr::N,vintovka,sclopetum
485,Fehler::N,xato,error
486,Lüge::N,yolg'on,mendacium
487,Schaden::N,ziyon,damnum
488,Schaden::N,ziyon,detrimentum
489,Unglück::N,balo,miseria
490,Unglück::N,balo,calamitas
491,Schuld::N,ayb,culpa
492,Alter::N,yosh,aetas
493,Schluss::N,tamom,finis
494,Zeit::N,vaqt,tempus
495,Tag::N,kun,dies
496,Morgen::N,saboh,mane
497,Mittag::N,kun tushlik,meridies
498,Abend::N,oqshom,vesper
499,Nacht::N,tun,nox
500,Woche::N,hafta,septimana
501,Monat::N,oy,mensis
502,Jahr::N,yil,annus
503,Frühling::N,bahor,ver
504,Sommer::N,yoz,aestas
505,Herbst::N,kuz,autumnus
506,Herbst::N,xazon,autumnus
507,Winter::N,qish,hiems
508,Januar::N,yanvar',Ianuarius
509,Februar::N,fevral',Februarius
510,März::N,mart,Martius
511,April::N,aprel',Aprilis
512,Mai::N,may,Maius
513,Juni::N,iyun',Iunius
514,Juli::N,iyul',Iulius
515,August::N,avgust,Augustus
516,September::N,sentyabr',September
517,Oktober::N,oktyabr',Octobris
518,November::N,noyabr',Novembris
519,Dezember::N,dekabr',December
520,Montag::N,dushanba,dies lunae
521,Dienstag::N,seshanba,dies Martis 
522,Mittwoch::N,chorshanba,dies Mercurii
523,Donnerstag::N,payshanba,dies Iovis
524,Freitag::N,juma,dies Veneris
525,Samstag::N,shanba,dies Saturni
526,Sonntag::N,yakshanba,dominicus
527,Sonntag::N,yakshanba,dies solis
528,groß::A,buyuk,magnus
529,klein::A,kichik,parvus
530,lang::A,uzun,longus
531,kurz::A,qisqa,brevis
532,breit::A,keng,latus
533,schmal::A,änsiz,angustus
534,dicht::A,quyuq,densus
535,dick[Gegenstand]::A,qalin,crassus
536,dünn::A,ingichka,tenuis
537,fein::A,mayin,subtilis
538,fest::A,qattiq,solidus
539,fest::A,qattiq,stabilis
540,flach::A,yalpoq,planus
541,glatt::A,tekis,levis
542,hart::A,qattiq,durus
543,weich::A,yumshoq,mollis
544,rund::A,yumaloq,rotundus
545,spitz::A,uchli,acutus
546,scharf::A,keskir,acer
547,stumpf::A,to'mtoq,hebes
548,schwer::A,salmoqli,gravis
549,schön::A,go'zal,pulcher
550,schön::A,go'zal,formosus
551,heiß::A,qiziq,fervidus
552,warm::A,issiq,calidus
553,kalt::A,sovuq,frigidus
554,kühl::A,salqin,frigidus
555,frisch::A,toza,recens
556,feucht::A,namli,umidus
557,nass::A,nam,madidus
558,trocken::A,quruq,aridus
559,voll::A,to'la,plenus
560,leer::A,puch,vacuus
561,offen::A,ochiq,apertus
562,geschlossen::A,berk,clausus
563,sauber::A,ozoda,lautus
564,schmutzig::A,kir,sordidus
565,roh::A,xom,crudus
566,reif::A,pishiq,maturus
567,lecker::A,shirin,delicatus
568,süß::A,shirin,dulcis
569,bitter::A,achchiq,amarus
570,bitter::A,achchiq,acerbus
571,sauer::A,achchiq,acidus
572,hell::A,yorug',clarus
573,dunkel::A,qorong'i,obscurus
574,schwarz::A,qora,niger
575,weiß::A,oq,albus
576,rot::A,qizil,ruber
577,gelb::A,sariq,flavus
578,blau::A,zangori,caeruleus
579,grün::A,yashil,viridis
580,grau::A,bo'z,canus
581,bunt::A,ola,varius
582,billig::A,arzon,vilis
583,teuer::A,qimmat,carus
584,wertvoll::A,qimmat,pretiosus
585,blind::A,ko'r,caecus
586,taub::A,garang,surdus
587,kräftig::A,kuchli,robustus
588,stark::A,quvvatli,firmus
589,stark::A,quvvatli,validus
590,schwach::A,kuchsiz,debilis
591,schwach::A,kuchsiz,infirmus
592,fett::A,semiz,crassus
593,schlank::A,ingichka,procerus
594,hübsch::A,ko'rkam,pulcher
595,böse::A,yovuz,improbus
596,dumm::A,aqlsiz,stultus
597,dumm::A,aqlsiz,stupidus
598,faul::A,ärinchak,piger
599,fleißig::A,ishchan,sedulus
600,geizig::A,qurumsoq,avarus
601,klug::A,oqil,prudens
602,geschickt::A,äpchil,sollers
603,lieb::A,aziz,carus
604,lustig::A,chaqchaq,iocosus
605,sanft::A,asta,clemens
606,hungrig::A,och,impastus
607,krank::A,kasal,aeger
608,nackt::A,yalang,nudus
609,traurig::A,xafa,maestus
610,lebendig::A,hayotiy,vivus
611,gut::A,soz,bonus
612,schlecht::A,yomon,malus
613,richtig::A,rost,rectus
614,schlimm::A,yovuz,malus
615,wahr::A,haqiqiy,verus
616,alt::A,äski,antiquus
617,neu::A,yangi,novus
618,ehemalig::A,sobiq,pristinus
619,alt[Lebewesen]::A,qari,vetus
620,jung::A,navqiron,iuvenis
621,arm::A,abgor,pauper
622,reich::A,boy,dives
623,bekannt::A,ma'lum,notus
624,berühmt::A,mashhur,celeber
625,berühmt::A,mashhur,illustris
626,fremd::A,yot,peregrinus
627,verschieden::A,turli,varius
628,nah::A,yaqindagi,propinquus
629,fern::A,uzoq,longinquus
630,linker::A,so'l,sinister
631,rechter::A,o'ng,dexter
632,anderer::A,boshqa,alius
633,erster::A,birinchi,primus
634,zweiter::A,ikkinchi,secundus
635,dritter::A,uchinchi,tertius
636,letzter::A,oxirgi,ultimus
637,allein::ADV,o'zicha,solum
638,auf einmal::ADV,varakay,simul
639,zusammen::ADV,barobar,una
640,lange::ADV,uzoq,diu
641,plötzlich::ADV,qo'qqisdan,subito
642,plötzlich::ADV,qo'qqisdan,repente
643,sofort::ADV,darrov,statim
644,später::ADV,so'ngra,postea
645,jetzt::ADV,hozirgina,nunc
646,heute::ADV,bugun,hodie
647,morgen::ADV,ärta,cras
648,bald::ADV,toz,mox
649,dann::ADV,keyin,deinde
650,gestern::ADV,kecha,heri
651,einst::ADV,avvallari,olim
652,damals::ADV,ugal,tum
653,danach::ADV,so'ngra,postea
654,vorher::ADV,avval,antea
655,zuerst::ADV,avval,primo
656,einmal::ADV,bir marta,semel
657,manchmal::ADV,onda-sonda,interdum
658,oft::ADV,tez-tez,saepe
659,immer::ADV,har vaqt,semper
660,niemals::ADV,hargiz,numquam
661,hier::ADV,shu erda,hic
662,hierhin::ADV,beri,huc
663,von hier::ADV,shu erdan,hinc
664,dort::ADV,ana,ibi
665,dorthin::ADV,u yerga,eo
666,geradeaus::ADV,to'g'ri,recte
667,vorwärts::ADV,ilgari,porro
668,rückwärts::ADV,qoloq,retro
669,zurück::ADV,orqada,retro
670,unten::ADV,pastda,infra
671,hinab::ADV,tubanga,pessum
672,oben::ADV,ustida,supra
673,hinauf::ADV,yuqorida,sursum
674,überall::ADV,har erda,ubique
675,nicht::ADV,ämas,non
676,ein wenig::ADV,biroz,paulum
677,kaum::ADV,arang,vix
678,kaum::ADV,arang,aegre
679,sehr::ADV,ancha,valde
680,sehr::ADV,ancha,magnopere
681,so::ADV,shunday,ita
682,noch::ADV,hali,etiam
683,nur::ADV,yolg'iz,solum
684,nur::ADV,yolg'iz,tantum
685,schon::ADV,endi,iam
686,wieder::ADV,yana,rursus
687,vergebens::ADV,bekorga,frustra
688,vor::PRP,burun,ante
689,hinter::PRP,ketida,post
690,unter::PRP,ostida,sub
691,durch::PRP,bo'ylab,per
692,neben::PRP,yonida,iuxta
693,zwischen::PRP,orada,inter
694,wegen::PRP,sababli,propter
695,dies::PRN,o'sha,hoc
696,das::PRN,narigi,id
697,alles::PRN,har nima,omnia
698,ich::PRN,men,ego
699,du::PRN,sen,tu
700,er::PRN,u,is
701,er::PRN,u,ille
702,wir::PRN,biz,nos
703,ihr::PRN,siz,vos
704,sie::PRN,ular,ii
705,sie::PRN,ular,illi
706,was::FPRN,nima,quid
707,wer::FPRN,kim,quis
708,wo::FADV,qaerda,ubi
709,wohin::FADV,qayerga,quo
710,wie::FADV,qanday,quomodo
711,warum::FADV,nega,cur
712,wieviel::FNUM,qancha,quantum
713,eins::NUM,bir,unus
714,zwei::NUM,ikki,duo
715,drei::NUM,uch,tres
716,vier::NUM,to'rt,quattuor
717,fünf::NUM,besh,quinque
718,sechs::NUM,olti,sex
719,sieben::NUM,etti,septem
720,acht::NUM,sakkiz,octo
721,neun::NUM,to'qqiz,novem
722,zehn::NUM,o'n,decem
723,elf::NUM,o'n bir,undecim
724,zwölf::NUM,o'n ikki,duodecim
725,zwanzig::NUM,yigirma,viginti
726,dreißig::NUM,o'ttiz,triginta
727,vierzig::NUM,qirq,quadraginta
728,fünfzig::NUM,ällik,quinquaginta
729,sechzig::NUM,oltmish,sexaginta
730,siebzig::NUM,etmish,septuaginta
731,achtzig::NUM,sakson,octoginta
732,neunzig::NUM,to'qson,nonaginta
733,hundert::NUM,yuz,centum
734,tausend::NUM,ming,mille
735,und::CNJ,va,et
736,und::CNJ,va,-que
737,oder::CNJ,yo,vel
738,stehen::V,turmoq,stare
739,sitzen::V,o'tirmoq,sedere
740,liegen::V,yotmoq,iacere
741,hängen::V,osilmoq,pendere
742,werden::V,bo'lmoq,fieri
743,passieren::V,bo'lib o'tmoq,accidere
744,beginnen::V,boshlanmoq,incipere
745,enden::V,bitmoq,finem habere
746,wechseln::V,o'zgarmoq,mutari
747,aufgehen[Sonne]::V,chiqmoq,oriri
748,untergehen[Sonne]::V,botmoq,occidere
749,scheinen[Sonne]::V,yaraqlamoq,lucere
750,donnern::V,gulduramoq,tonare
751,wehen::V,elpimoq,flare
752,strömen::V,oqmoq,fluere
753,fließen::V,oqmoq,manare
754,sich drehen::V,aylanmoq,torqueri
755,schwanken::V,qoqilmoq,vacillare
756,schwingen::V,lopillamoq,vibrare
757,fallen::V,tushmoq,cadere
758,brennen::V,yonmoq,ardere
759,rauchen::V,tutamoq,fumare
760,regnen::V,yomg'ir yog'moq,pluere
761,gefrieren::V,muzlamoq,congelari
762,tauen::V,ärimoq,rorare
763,schmelzen::V,ärimoq,liquescere
764,trocknen::V,qurimoq,arescere
765,sieden::V,qaynamoq,fervere
766,faulen::V,chirimoq,putescere
767,verfaulen::V,chirimoq,putescere
768,reißen::V,qayt qilmoq,scindi
769,versinken::V,g'arq bo'lmoq,mergi
770,vergehen::V,o'tmoq,praeterire
771,erscheinen::V,zuhur ätmoq,apparere
772,verschwinden::V,yo'qolmoq,discedere
773,sinken::V,pasaymoq,labi
774,abnehmen::V,kamaymoq,deminui
775,zunehmen::V,urchimoq,augeri
776,steigen::V,oshmoq,augescere
777,wachsen::V,o'smoq,crescere
778,glänzen::V,porlamoq,splendere
779,funkeln::V,yalt ätmoq,micare
780,lärmen::V,taraq ätmoq,strepere
781,läuten::V,jiringlamoq,sonare
782,klingeln::V,jiringlamoq,tinnire
783,klirren::V,sharaqlamoq,crepare
784,brausen::V,vag'illamoq,saevire
785,rauschen::V,shitirlamoq,crepare
786,klingen::V,yangramoq,sonare
787,bellen::V,hurmoq,latrare
788,heulen::V,uvlamoq,ululare
789,blasen::V,puflamoq,flare
790,pfeifen::V,xushtak chalmoq ,sibilare
791,schreien::V,qiyqirmoq,clamare
792,stöhnen::V,nola qilmoq,gemere
793,zittern::V,titramoq,tremere
794,zittern::V,titramoq,trepidare
795,leben::V,yashamoq,vivere
796,geboren werden::V,tug'ilmoq,nasci
797,atmen::V,nafas chiqarmoq,spirare
798,trinken::V,ichmoq,bibere
799,essen::V,emoq,edere
800,schlucken::V,yutmoq,devorare
801,müde werden::V,horimoq,fatigari
802,einschlafen::V,uxlab qolmoq,obdormiscere
803,schlafen::V,uxlamoq,dormire
