,Concept_ID,ca,bn
158,Katze::N,gat,বেড়াল
159,Bär::N,ós,ভল্লুক
160,Eichhörnchen::N,esquirol,কাঠবিড়াল
161,Elch::N,ant,হরিণবিশেষ
162,Fuchs::N,guilla,পাঁতিশিয়াল
163,Hase::N,llebre,শশক
164,Maus::N,ratolí,নেংটি ইঁদুর
165,Wolf::N,llop,নেকড়ে
166,Vogel::N,au,পক্ষী
167,Vogel::N,ocēll,পক্ষী
168,Schwarm::N,bandada,ঝাঁক
169,Huhn::N,gallina,মোরগ
170,Hahn::N,gall,কুক্কুট
171,Gans::N,oca,হংসী
172,Adler::N,àguila,ইগল
173,Ente::N,ànec,হংসী
174,Eule::N,òliba,পেচক
175,Eule::N,mussol,পেচক
176,Kranich::N,grua,সারস
177,Krähe::N,cornella,কাক
178,Kuckuck::N,cucut,কোকিল
179,Schwan::N,cigne,মরাল
180,Fisch::N,peix,মাছ
181,Barsch::N,perca,মৎন্যবিশেষ
182,Hecht::N,lluç,বানমাছ
183,Schlange[Tier]::N,serp,সর্প
184,Wurm::N,cuc,কীট
185,Spinne::N,aranya,মাকড়সা
186,Ameise::N,formiga,পিপীলিকা
187,Laus::N,poll,উকুন
188,Mücke::N,mosquit,মশা
189,Fliege::N,mosca,মাছি
190,Schmetterling::N,papallona,প্রজাপতি
191,Beere::N,baia,বেরি
192,Apfel::N,poma,আপেল
193,Pilz::N,bolet,ছত্রক
194,Zwiebel::N,ceba,পিয়াজ
195,Saat::N,sembra,বীজ
196,Korn::N,gra,শস্য
197,Heu::N,fenc,খড়
198,Schale::N,closca,খোসা
199,Grube::N,sot,গর্ত
200,Grube::N,clot,গর্ত
201,Falle::N,trampa,ফাঁদ
202,Schlinge::N,baga,পাশ
203,Spur::N,traça,চিহ্ন
204,Asche::N,cendra,ভস্ম
205,Dreck::N,llot,ময়লা
206,Eisen::N,ferro,লোহা
207,Gold::N,or,স্বর্ণ
208,Silber::N,plata,রৌপ্য
209,Kohle::N,carbó,অঙ্গার
210,Glas::N,vidre,কাচ
211,Lehm::N,fang,মৃত্তিকা
212,Lehm::N,argila,মৃত্তিকা
213,Sand::N,arena,বালি
214,Mensch::N,humà,নর
215,Mensch::N,humà,মানুষ
216,Mensch::N,persona,নর
217,Mensch::N,persona,মানুষ
218,Mann::N,home,মানুষ
219,Frau::N,dona,নারী
220,Kind::N,nen,বাচ্চা
221,Junge::N,noi,ছেলে
222,Mädchen::N,noia,মেয়ে
223,Familie::N,família,পরিবার
224,Großvater::N,avi,মাতামহ
225,Großmutter::N,àvia,মাতামহী
226,Eltern::N,pares,মাতাপিতা
227,Vater::N,pare,পিতা
228,Mutter::N,mare,মাতা
229,Sohn::N,fill,ছেলে
230,Tochter::N,filla,মেয়ে
231,Bruder::N,germà,দাদা
232,Schwester::N,germana,বোন
233,Schwester::N,germana,দিদি
234,Onkel::N,oncle,মামা
235,Tante::N,tia,মাসী
236,Ehemann::N,espòs,স্বামী
237,Ehefrau::N,muller,পত্নী
238,Freude::N,goig,উল্লাস
239,Freude::N,alegria,উল্লাস
240,Gelächter::N,riallada,হাসি
241,Glück::N,felicitat,সুখ
242,Kummer::N,pena,দুঃখ
243,Wunsch::N,desig,আকাঙ্ক্ষা
244,Lust::N,ganes,বাসনা
245,Geist::N,ment,আত্না
246,Geist::N,esperit,আত্না
247,Gedanke::N,pensament,চিন্তা
248,Gedächtnis::N,memòria,স্মরণশক্তি
249,Verstand::N,raó,মন
250,Verstand::N,seny,মন
251,Sinn::N,solta,পদার্থ
252,Sinn::N,sentit,পদার্থ
253,Grund::N,raó,কারণ
254,Grund::N,causa,কারণ
255,Wahrheit::N,veritāt,সত্য
256,Gespräch::N,conversa,কথাবার্তা
257,Märchen::N,conte,রূপকথা
258,Erzählung::N,narració,গল্প
259,Nachricht::N,missatge,তথ্য
260,Neuigkeit::N,novetat,খবরাখবর
261,Name::N,nom,নাম
262,Rätsel::N,endevinalla,ধাঁধা
263,Rede::N,discurs,বক্তৃতা
264,Sprache::N,llēngua,ভাষা
265,Stimme::N,veu,স্বর
266,Wort::N,mot,শব্দ
267,Wort::N,paraula,শব্দ
268,Zeichen::N,signe,প্রতীক
269,Zeichen::N,senyal,প্রতীক
270,Ruf::N,crida,ডাক
271,Lärm::N,sorōll,হৈচৈ
272,Laut::N,so,ধ্বনি
273,Ton::N,to,স্বর
274,Lied::N,cançó,গান
275,Ruhe::N,calma,শান্তি
276,Ruhe::N,silenci,শান্তি
277,Leute::N,gent,প্রজাপুঞ্জ
278,Volk::N,poble,জাতি
279,Arbeit::N,labor,চাকরি
280,Arbeit::N,treball,চাকরি
281,Gast::N,hoste,অতিথি
282,Geschenk::N,regal,উপহার
283,Geschenk::N,obsequi,উপহার
284,Spiel::N,joc,খেলা
285,Gesellschaft::N,companyia,সঙ্গিগণ
286,Hilfe::N,ajut,সাহায্য
287,Freund::N,amīc,বন্ধু
288,Kamerad::N,company,সঙ্গী
289,Kamerad::N,camarada,সঙ্গী
290,Angelegenheit::N,afer,বিষয়
291,Angelegenheit::N,assumpte,বিষয়
292,Anzahl::N,nombre,পরিমাণ
293,Anzahl::N,quantitat,পরিমাণ
294,Art::N,tipus,রকম
295,Art::N,classe,রকম
296,Stück::N,peça,টুকরো
297,Teil::N,part,অংশ
298,Hälfte::N,meitat,অর্ধেক
299,Kreis::N,cercle,বৃত্ত
300,Kreuz::N,creu,ক্রুশ
301,Linie::N,línia,রেখা
302,Strich::N,traç,কষি
303,Strich::N,ratlla,কষি
304,Abstand::N,distància,ফাঁক
305,Entfernung::N,distància,ব্যবধান
306,Gegend::N,regió,ক্ষেত্র
307,Gegend::N,contrada,ক্ষেত্র
308,Platz::N,cabuda,জায়গা
309,Ort::N,lloc,স্থান
310,Seite::N,banda,পার্শ্ব
311,Seite::N,costāt,পার্শ্ব
312,Mitte::N,mig,মধ্য
313,Mitte::N,centre,মধ্য
314,Gegenstand::N,objecte,জিনিস
315,Sache::N,cosa,বস্তু
316,Rand::N,vora,কানা
317,Rand::N,marge,কানা
318,Kante::N,caire,ধার
319,Kante::N,cantell,ধার
320,Ecke::N,cantonada,কোণ
321,Spitze::N,punta,ডগা
322,Ende::N,cap,প্রান্ত
323,Loch::N,forāt,গর্ত
324,Winkel::N,racó,কোণ
325,Muster::N,dibuix,নমুন্
326,Muster::N,disseny,নমুন্
327,Größe::N,grandària,আয়তন
328,Länge::N,longitud,দৈর্ঘ্য
329,Höhe::N,altura,উচ্চতা
330,Höhe::N,altitud,উচ্চতা
331,Gewicht::N,pes,ওজন
332,Menge::N,quantitat,পরিমাণ
333,Haufen::N,pila,পুঞ্জ
334,Reihe::N,fila,শ্রেণী
335,Boot::N,bot,নৌকা
336,Boot::N,barca,নৌকা
337,Ruder::N,rem,দাঁড়
338,Schlitten::N,trineu,স্নেজ্-গাড়ি
339,Ski::N,esquí,শী
340,Lagerfeuer::N,foc de campament,অগ্নি
341,Last::N,càrrega,বোঝা
342,Gang::N,marxa,হণ্টন
343,Schritt::N,pas,পদ
344,Norden::N,nord,উত্তরদিক্
345,Süden::N,sud,দক্ষিণদিক
346,Westen::N,oest,পশ্চিমদিক্
347,Westen::N,occident,পশ্চিমদিক্
348,Osten::N,est,পূর্বদিক
349,Osten::N,orient,পূর্বদিক
350,Holz::N,fusta,কাঠ
351,Brett::N,taula,তক্তা
352,Platte::N,placa,ফলক
353,Stütze::N,suport,নাগদণ্ড
354,Stange::N,vara,দণ্ড
355,Stock::N,pal,ছড়ি
356,Stab::N,bastó,যষ্টি
357,Rohr::N,tub,নল
358,Haus::N,casa,ঘর
359,Heim::N,llar,বাসা
360,Ofen::N,estufa,স্টোভ্
361,Fußboden::N,terra,গহতল
362,Tisch::N,taula,মেজ
363,Tisch::N,taula,টেবিল
364,Stuhl::N,cadira,চেয়ার
365,Stuhl::N,cadira,কেদারা
366,Wiege::N,bressol,দোলনা
367,Bett::N,llit,শয্যা
368,Regal::N,prestatgeria,তাক
369,Kiste::N,caixa,বাক্স
370,Fenster::N,finestra,জানালা
371,Tür::N,porta,দ্বার
372,Tor::N,portal,দ্বার
373,Zaun::N,tanca,বেড়া
374,Dach::N,teulada,ছাদ
375,Leiter::N,escala,মই
376,Leiter::N,escala de mà,মই
377,Besen::N,escombra,গুল্মবিশেষ
378,Spaten::N,pala,কোদাল
379,Schaufel::N,pala,বেলচা
380,Gabel::N,forquilla,কাঁটা
381,Löffel::N,cullera,চামচ
382,Messer::N,coltell,ছুরি
383,Nagel::N,clau,পেরেক
384,Netz::N,filat,জাল
385,Haken::N,ganxo,কাচি
386,Griff::N,puny,হাতল
387,Griff::N,mànec,হাতল
388,Schloss::N,pany,তালা
389,Bild::N,imatge,ছবি
390,Bild::N,imatge,চিত্র
391,Figur::N,figura,আকার
392,Puppe::N,nina,পুতুল
393,Beutel::N,bossa,বটুয়া
394,Bündel::N,feix,আঁটি
395,Bündel::N,paquet,আঁটি
396,Tasche::N,bossa,থলি
397,Eimer::N,galleda,বাল্তি
398,Deckel::N,tapa,আবরণ
399,Deckel::N,tapadora,আবরণ
400,Geschirr::N,vaixella,থালা-বাসন
401,Sack::N,sac,বস্তা
402,Sack::N,saca,বস্তা
403,Tasse::N,tassa,কাপ
404,Topf::N,pot,পাত্র
405,Topf::N,olla,পাত্র
406,Kessel::N,caldera,কেটলি
407,Essen::N,àpat,আহার
408,Essen::N,menjada,আহার
409,Nahrung::N,aliment,খাদ্য
410,Speise::N,plat,খাদ্য
411,Fleisch::N,carn,মাংস
412,Getreide::N,cereals,শস্য
413,Brei::N,puré,মণ্ড
414,Brot::N,pa,রুটি
415,Scheibe::N,tall,ফালি
416,Scheibe::N,llesca,ফালি
417,Fett::N,greix,মেদ
418,Butter::N,mantega,মাখন
419,Öl::N,oli,তৈল
420,Salz::N,sal,নুন
421,Suppe::N,sopa,শুরুয়া
422,Honig::N,mel,মধু
423,Milch::N,llet,দুধ
424,Tee::N,te,চা
425,Leder::N,cuir,পাকা চামড়া
426,Wolle::N,llana,পশম
427,Stoff::N,tela,বস্ত্র
428,Nadel::N,agulla,সুচ
429,Faden::N,fil,সূত্র
430,Knopf::N,botó,বোতাম
431,Knoten::N,nus,গিঁট
432,Farbe::N,pintura,রং
433,Kleidung::N,roba,কাপড়
434,Kleidung::N,vestits,কাপড়
435,Hemd::N,camisa,শার্ট
436,Kragen::N,coll,গলবন্ধ
437,Ärmel::N,màniga,আস্তিন্
438,Hose::N,pantalōns,ট্রাউজার
439,Gürtel::N,cinturó,কটিবন্ধ
440,Mütze::N,gorra,টুপি
441,Schuh::N,sabata,জুতো
442,Stiefel::N,bota,বুট
443,Ring::N,anell,আংটি
444,Band::N,veta,ফিতা
445,Band::N,cinta,ফিতা
446,Kamm::N,pinta,চিরুনি
447,Spiegel::N,mirāll,আয়না
448,Riemen::N,corretja,চাবুক
449,Schnur::N,corda,দড়ি
450,Leine::N,corretja,শিকল
451,Decke::N,manta,কম্বল
452,Decke::N,flassada,কম্বল
453,Kissen::N,coixí,উপাধান
454,Tuch::N,mocador,বস্ত্র
455,Handtuch::N,tovallola,তোয়ালে
456,Kraft::N,força,জোর
457,Stärke::N,vigor,শক্তি
458,Gesundheit::N,salut,স্বাস্থ্য
459,Krankheit::N,malaltia,অসুখ
460,Krankheit::N,malaltia,ব্যামো
461,Schmerz::N,dolor,যন্ত্রণা
462,Wunde::N,ferida,ক্ষত
463,Fieber::N,febre,জ্বর
464,Arznei::N,medicament,ঔষধ
465,Brücke::N,pont,সেতু
466,Brunnen::N,pou,কূপ
467,Weide::N,pastura,পশুচারণভূমি
468,Pfad::N,senda,পথ
469,Pfad::N,sender,পথ
470,Weg::N,camí,পথ
471,Straße::N,carretera,রাস্তা
472,Dorf::N,poble,গ্রাম
473,Stadt::N,ciutāt,শহর
474,Brief::N,carta,চিঠি
475,Buch::N,llibre,বই
476,Buchstabe::N,lletra,অক্ষর
477,Zeitung::N,diāri,সংবাদপত্র
478,Leben::N,vida,জীবন
479,Tod::N,mort,মৃত্যু
480,Grab::N,tomba,কবর
481,Kirche::N,església,গির্জা
482,Sünde::N,pecat,পাপ
483,Gott::N,déu,দেবতা
484,Arbeiter::N,obrer,শ্রমিক
485,Chef::N,cap,নেতা
486,Meister::N,mestre,ব্যক্তি
487,Arzt::N,metge,চিকিৎসক
488,Lehrer::N,mestre,অধ্যাপক
489,Geld::N,dinērs,মুদ্রা
490,Geld::N,dinērs,টাকাপয়সা
491,Geschäft::N,negoci,ব্যস্ততা
492,Laden::N,tenda,দোকান
493,Laden::N,botiga,দোকান
494,Preis::N,preu,মূল্য
495,Ware::N,mercaderia,পণ্যদ্রব্য
496,Nutzen::N,profit,সুবিধা
497,Reichtum::N,riquesa,ধনদৌলত
498,Welt::N,món,জগৎ
499,Land::N,país,খেত
500,Staat::N,estat,রাষ্ট্র
501,König::N,rei,রাজা
502,Macht::N,poder,প্রভাব
503,Macht::N,potència,প্রভাব
504,Grenze::N,frontera,সীমা
505,Krieg::N,guerra,যুদ্ধ
506,Feind::N,enemic,শত্রু
507,Gewalt::N,violència,জোর
508,Kampf::N,lluita,লড়াই
509,Bogen[Waffe]::N,arc,ধনুক
510,Pfeil::N,fletxa,বাণ
511,Gewehr::N,fusell,বন্দুক
512,Gewehr::N,escopeta,বন্দুক
513,Fehler::N,falta,ভুল
514,Lüge::N,mentida,মিথ্যা
515,Schaden::N,dany,ক্ষতি
516,Unglück::N,desgràcia,দুর্ভাগ্য
517,Schuld::N,culpa,অপরাধ
518,Alter::N,edat,আয়ু
519,Schluss::N,fi,শেষ
520,Schluss::N,final,শেষ
521,Zeit::N,temps,সময়
522,Tag::N,dia,দিন
523,Morgen::N,matí,সকাল
524,Mittag::N,migdia,মধ্যাহু
525,Abend::N,vespre,সন্ধ্যা
526,Nacht::N,nit,রাত্রি
527,Woche::N,setmana,সপ্তাহ
528,Monat::N,mes,মাস
529,Jahr::N,any,সৌরবর্ষ
530,Frühling::N,primavera,বসন্তকাল
531,Sommer::N,estīu,গ্রীষ্মকাল
532,Herbst::N,tardor,শরংঋতু
533,Winter::N,hivērn,শীতকাল
534,Januar::N,gener,জানুয়ারী
535,Februar::N,febrer,ফেব্রুয়ারী
536,März::N,març,মার্চ
537,April::N,abril,এপ্রিল
538,Mai::N,maig,মে
539,Juni::N,juny,জুন
540,Juli::N,juliol,জুলাই
541,August::N,agost,অগাস্ট
542,September::N,setembre,সেপ্টেম্বর
543,Oktober::N,octubre,অক্টোবর
544,November::N,novembre,নভেম্বর
545,Dezember::N,desembre,ডিসেম্বর
546,Montag::N,dilluns,সোমবার
547,Dienstag::N,dimarts,মঙ্গলবার
548,Mittwoch::N,dimecres,বুধবার
549,Donnerstag::N,dijous,বৃহম্পতিবার
550,Freitag::N,divendres,শুক্রবার
551,Samstag::N,dissabte,শনিবার
552,Sonntag::N,diumenge,রবিবার
553,groß::A,gros,বৃহৎ
554,klein::A,petīt,ছোট
555,lang::A,llarg,দীর্ঘ
556,kurz::A,curt,খর্ব
557,kurz::A,curt,হ্রস্ব
558,breit::A,ample,চওড়া
559,schmal::A,estret,সরু
560,dicht::A,dens,ঘন
561,dick[Gegenstand]::A,gruixūt,পুরু
562,dünn::A,prim,কৃশ
563,fein::A,fi,সূক্ষ্ম
564,fest::A,ferm,দৃঢ়
565,fest::A,sòlid,দৃঢ়
566,flach::A,pla,সমতল
567,glatt::A,llis,মসৃণ
568,hart::A,dur,শক্ত
569,weich::A,tou,নরম
570,rund::A,rodó,গোলাকার
571,spitz::A,punxegut,তীক্ষ্ন
572,scharf::A,agut,শাণিত
573,stumpf::A,rom,ভোঁতা
574,stumpf::A,esmussat,ভোঁতা
575,schwer::A,pesāt,ভারী
576,schön::A,bonīc,সুন্দর
577,heiß::A,calēnt,গরম
578,warm::A,càlid,ঈষদুষ্ণ
579,kalt::A,fred,ঠাণ্ডা
580,kühl::A,fresc,শীতল
581,frisch::A,fresc,তাজা
582,feucht::A,humit,ভিজা
583,nass::A,mullat,ভিজা
584,trocken::A,sec,শুষ্ক
585,voll::A,ple,পূর্ণ
586,leer::A,buit,খালি
587,offen::A,obert,খোলা
588,geschlossen::A,tancat,বন্ধ
589,sauber::A,net,নির্মল
590,schmutzig::A,brut,নোংরা
591,roh::A,cru,কাঁচা
592,reif::A,madur,পাকা
593,lecker::A,deliciós,সুস্বাদ
594,süß::A,dolç,মিষ্ট
595,bitter::A,amarg,তিক্ত
596,sauer::A,agre,টক
597,hell::A,clar,উজ্জ্বল
598,dunkel::A,fosc,অন্ধকারময়
599,schwarz::A,negre,কালো
600,weiß::A,blanc,সাদা
601,rot::A,vermēll,লাল
602,gelb::A,groc,হলদে
603,blau::A,blau,নীল
604,grün::A,verd,সবুজ
605,grau::A,gris,ছাই-রঙা
606,bunt::A,multicolor,রঙিন
607,billig::A,barat,সস্তা
608,teuer::A,car,আক্রা
609,wertvoll::A,preciós,মহার্ঘ
610,blind::A,cec,কানা
611,taub::A,sord,বধির
612,kräftig::A,fort,বিশাল
613,kräftig::A,vigorós,বিশাল
614,stark::A,fort,শক্তিশালী
615,schwach::A,feble,দুর্বল
616,fett::A,gras,মোটা
617,schlank::A,esvelt,কৃশ
618,hübsch::A,maco,সুন্দর
619,böse::A,dolent,খারাপ
620,dumm::A,ximple,মূর্খ
621,dumm::A,estúpid,মূর্খ
622,faul::A,gandūl,শ্রমবিমুখ
623,faul::A,mandrós,শ্রমবিমুখ
624,fleißig::A,diligēnt,পরিশ্রমী
625,geizig::A,avar,ব্যয়কুণ্ঠ
626,klug::A,intel·ligent,দক্ষ
627,geschickt::A,hàbil,পটু
628,lieb::A,amat,প্রেয়
629,lieb::A,estimat,প্রেয়
630,lustig::A,alegre,প্রফুল্ল
631,sanft::A,suau,নম্র
632,hungrig::A,afamat,ক্ষুধার্ত
633,krank::A,malālt,অসুস্থ
634,nackt::A,nu,উলঙ্গ
635,traurig::A,trist,দুঃখিত
636,lebendig::A,viu,জীবিত
637,gut::A,bo,ভালো
638,schlecht::A,dolēnt,মন্দ
639,richtig::A,just,ঠিক
640,richtig::A,correcte,ঠিক
641,schlimm::A,greu,কদর্য
642,wahr::A,vertader,বাস্তব
643,wahr::A,veritable,বাস্তব
644,alt::A,vell,পুরাতন
645,neu::A,nou,নব
646,neu::A,nou,নূতন
647,ehemalig::A,antic,পূর্বকালীন
648,alt[Lebewesen]::A,vell,বৃদ্ধ
649,jung::A,jove,তরুণ
650,arm::A,pobre,ক্ষুদ্র
651,reich::A,ric,ধনবান্
652,bekannt::A,conegut,সুপরিচিত
653,berühmt::A,famós,বিখ্যাত
654,fremd::A,estrany,বিদেশি
655,verschieden::A,diferent,বিসদৃশ
656,nah::A,pròxim,নিকটবতী
657,fern::A,llunyà,দুরবতী
658,fern::A,distant,দুরবতী
659,linker::A,esquerre,বাম
660,rechter::A,dret,ডান
661,rechter::A,dret,ডাইন
662,anderer::A,altre,অন্যতর
663,erster::A,primer,প্রথম
664,zweiter::A,segon,দ্বিতীয়
665,dritter::A,tercer,তৃতীয়
666,letzter::A,últim,সর্বশেষ
667,allein::ADV,sol,একক
668,auf einmal::ADV,d'una vegada,জলদি
669,zusammen::ADV,junt,একসঙ্গে
670,lange::ADV,molt de temps,লম্বা
671,plötzlich::ADV,de cop,হঠাৎ
672,plötzlich::ADV,de sobte,হঠাৎ
673,sofort::ADV,de seguida,মুহ্ণর্তমধ্যে
674,später::ADV,més tard,পশ্চাতে
675,jetzt::ADV,ara,এখন
676,heute::ADV,avūi,আজ
677,morgen::ADV,demà,আগামিকাল
678,bald::ADV,aviāt,অস্পকালমধ্যে
679,dann::ADV,després,তখন
680,gestern::ADV,ahir,গতকাল
681,einst::ADV,anteriorment,একবার মাত্র
682,damals::ADV,llavōrs,তখন
683,damals::ADV,aleshores,তখন
684,danach::ADV,després,পরে
685,vorher::ADV,abāns,আগে
686,zuerst::ADV,primer,আগে
687,einmal::ADV,una vegada,একবার
688,manchmal::ADV,de vegades,কখনও কখনও
689,oft::ADV,sovint,ঘনঘন
690,immer::ADV,sempre,সর্বদা
691,niemals::ADV,no ... mai,কখলও নহে
692,hier::ADV,aquí,এখানে
693,hierhin::ADV,per aquí,এখানে
694,von hier::ADV,des d'aquí,ত্রই স্তান হইতে
695,dort::ADV,allí,ওখানে
696,dorthin::ADV,hi,ওখানে
697,geradeaus::ADV,tot dret,অগ্রগামী
698,vorwärts::ADV,endavānt,সন্মুখিকে
699,rückwärts::ADV,endarrera,খিরিয়া
700,zurück::ADV,darrere,পিঠ
701,unten::ADV,a baix,নীচে
702,hinab::ADV,cap avall,নিম্নগামী
703,oben::ADV,dalt,উপরে
704,hinauf::ADV,cap amunt,উচ্চতর অংশে
705,überall::ADV,pertot,সর্বত্র
706,überall::ADV,per tot arreu,সর্বত্র
707,nicht::ADV,no,না
708,ein wenig::ADV,una mica,অল্প
709,kaum::ADV,a penes,কষ্টসহকাবে
710,sehr::ADV,molt,খুব
711,so::ADV,així,তত
712,noch::ADV,encara,এখন পর্যস্ত
713,nur::ADV,només,শুধু
714,schon::ADV,ja,ইতঃপুর্বে
715,wieder::ADV,de nou,আবার
716,vergebens::ADV,en va,বিফলে
717,vor::PRP,davānt,সম্মুখে
718,vor::PRP,enfront de,সম্মুখে
719,hinter::PRP,darrera,পশ্চাতে
720,unter::PRP,sota,নীচে
721,durch::PRP,per,দ্বারা
722,neben::PRP,al costāt de,কাছে
723,zwischen::PRP,entre,মধ্যে
724,wegen::PRP,a causa de,জন্য
725,dies::PRN,aquest,এটা
726,das::PRN,això,ওটা
727,alles::PRN,tot,সব
728,ich::PRN,jo,আমি
729,du::PRN,tu,তুমি
730,er::PRN,ell,উনি
731,wir::PRN,nosaltres,আমরা
732,ihr::PRN,vosaltres,তোমরা
