,Concept_ID,uz,kv
130,Schwanz::N,quyruq,бӧж
131,Ei::N,tuxum,кольть
132,Nest::N,oshyon,поз
133,Bau::N,o'pqon,осьта
134,Bau::N,o'pqon,нора
135,Tier::N,hayvon,зверь
136,Herde::N,gala,гурт
137,Kuh::N,inak,мӧс
138,Bulle::N,ho'kiz,ӧшка
139,Pferd::N,ot,вӧв
140,Schaf::N,qo'y,баля
141,Schwein::N,cho'chqa,порсь
142,Hund::N,it,пон
143,Katze::N,mushuk,кань
144,Bär::N,ayiq,ош
145,Eichhörnchen::N,tiyin,ур
146,Elch::N,los,вӧр мӧс
147,Fuchs::N,tulki,руч
148,Hase::N,kuyon,кӧч
149,Maus::N,sichqon,шыр
150,Wolf::N,bo'ri,кӧин
151,Vogel::N,qush,кай
152,Schwarm::N,to'da,стая
153,Schwarm::N,to'da,чукӧр
154,Huhn::N,tovuq,курӧг
155,Hahn::N,xo'roz,петух
156,Hahn::N,xo'roz,ай курӧг
157,Gans::N,g'oz,дзодзог
158,Adler::N,burgut,куч
159,Adler::N,burgut,кутш
160,Ente::N,o'rdak,утка
161,Eule::N,boyo'g'li,тупка
162,Kranich::N,turna,тури
163,Krähe::N,qarg'a,рака
164,Kuckuck::N,kakku,кӧк
165,Schwan::N,oqkush,юсь
166,Fisch::N,baliq,чери
167,Barsch::N,olabug'a,ёкыш
168,Hecht::N,cho'rtan,сирпинь
169,Schlange[Tier]::N,ilon,змей
170,Wurm::N,qurt,номыр
171,Spinne::N,o'rgimchak,черань
172,Ameise::N,chumoli,кӧдзывкар
173,Laus::N,bit,ляпа той
174,Mücke::N,chivin,ном
175,Fliege::N,pashsha,гут
176,Schmetterling::N,kapalak,бабыв
177,Beere::N,meva,ягӧд
178,Apfel::N,olma,яблоко
179,Pilz::N,qo'ziqorin,тшак
180,Zwiebel::N,piyoz,грез
181,Saat::N,äkin,кӧдзыс
182,Korn::N,zarra,сю
183,Heu::N,xashak,турун
184,Schale::N,po'choq,кыш
185,Schale::N,po'choq,киль
186,Grube::N,co'ra,яма
187,Falle::N,qopqon,нальк
188,Falle::N,qopqon,кляпча
189,Schlinge::N,sirtmoq,лӧч
190,Spur::N,iz,туй
191,Asche::N,kul,пӧим
192,Dreck::N,kir,нять
193,Eisen::N,temir,кӧрт
194,Gold::N,tilla,зарни
195,Silber::N,kumush,язісь
196,Kohle::N,ko'mir,шом
197,Kohle::N,ko'mir,уголь
198,Glas::N,oyna,стекло
199,Lehm::N,loy,сёй
200,Sand::N,qum,лыа
201,Mensch::N,odam,морт
202,Mann::N,ärkak,мужик
203,Frau::N,ayol,инька
204,Kind::N,bola,кага
205,Kind::N,kichkintoy,кага
206,Junge::N,bola,зонка
207,Mädchen::N,qiz,нывкаок
208,Familie::N,oila,семья
209,Großvater::N,buva,дед
210,Großvater::N,katta ota,дед
211,Großmutter::N,buvi,баб
212,Großmutter::N,katta oyi,баб
213,Eltern::N,ota-ona,ай-мам
214,Vater::N,ota,ай
215,Mutter::N,ona,мам
216,Sohn::N,o'g'il,зон
217,Tochter::N,qiz,ныв
218,Bruder::N,og'a,вон
219,Bruder::N,uka,вон
220,Schwester::N,opa,сой
221,Schwester::N,singil,сой
222,Onkel::N,amaki,дядь
223,Tante::N,amma,айӧлӧн сой
224,Tante::N,amma,ичинь
225,Tante::N,xola,айӧлӧн сой
226,Tante::N,xola,ичинь
227,Ehemann::N,är,жӧник
228,Ehefrau::N,rafiqa,инь
229,Freude::N,ayish,гаж
230,Freude::N,ayish,радъялӧм
231,Gelächter::N,kulgi,сералӧм
232,Glück::N,saodat,мичлун
233,Kummer::N,g'am,шог
234,Wunsch::N,orzu,мӧдӧм
235,Wunsch::N,orzu,охотитӧм
236,Lust::N,rag'bat,охота
237,Geist::N,ruh,лов
238,Gedanke::N,fikr,дума
239,Gedächtnis::N,äs,тӧдвыв
240,Verstand::N,aql,вежӧр
241,Sinn::N,ma'ni,ылӧс
242,Grund::N,sabab,мог
243,Wahrheit::N,haq,правда
244,Gespräch::N,gap,сёрни
245,Märchen::N,ärtak,сказка
246,Erzählung::N,rivoyat,висьт
247,Nachricht::N,xabar,юӧр
248,Nachricht::N,xabar,висьталӧм
249,Neuigkeit::N,yangilik,новость
250,Name::N,ot,ним
251,Rätsel::N,topishmoq,загадка
252,Rede::N,nutq,сёрни
253,Sprache::N,til,кыв
254,Stimme::N,ovoz,голос
255,Wort::N,so'z,кыв
256,Zeichen::N,alomat,пас
257,Ruf::N,chaqiriq,чуксӧм
258,Ruf::N,chaqiriq,чукӧстӧм
259,Lärm::N,taraq,шум
260,Laut::N,tovush,шы
261,Ton::N,un,гор
262,Lied::N,ashula,сьыланкыв
263,Ruhe::N,tinchlik,спокой
264,Leute::N,xaloyiq,йӧз
265,Volk::N,xalq,йӧз
266,Volk::N,xalq,народ
267,Arbeit::N,ish,удж
268,Gast::N,mehmon,гӧсь
269,Geschenk::N,hadya,гӧснеч
270,Geschenk::N,hadya,подарок
271,Spiel::N,o'yin,орсӧм
272,Gesellschaft::N,jamiyat,компания
273,Hilfe::N,yordam,отсӧт
274,Freund::N,do'st,модз
275,Freund::N,do'st,дружок
276,Kamerad::N,yo'ldosh,тӧдса
277,Angelegenheit::N,daxl,дело
278,Anzahl::N,son,лыд
279,Art::N,tur,пӧлӧс
280,Stück::N,parcha,тор
281,Teil::N,bo'lak,юкӧм
282,Hälfte::N,yarim,джын
283,Kreis::N,aylana,круг
284,Kreuz::N,xoch,перна
285,Linie::N,liniya,визь
286,Strich::N,chiziq,кырӧв
287,Abstand::N,oralik,колас
288,Entfernung::N,uzoqlik,ылына
289,Gegend::N,yer,места
290,Platz::N,oralig,места
291,Ort::N,joy,места
292,Seite::N,yon,ладор
293,Mitte::N,o'rta,шӧр
294,Gegenstand::N,ashyo,тор
295,Sache::N,buyum,тор
296,Rand::N,chek,дор
297,Kante::N,tig',ордлы
298,Ecke::N,burchak,пельӧс
299,Spitze::N,uch,йыв
300,Ende::N,oxir,йыв
301,Loch::N,teshik,осьта
302,Winkel::N,go'sha,пельӧс
303,Muster::N,nusha,сер
304,Größe::N,kattalik,ыжда
305,Länge::N,uzunlik,кузя
306,Höhe::N,yuksaklik,сувда
307,Höhe::N,yuksaklik,вылына
308,Gewicht::N,solmoq,сьӧкта
309,Menge::N,miqdor,
310,Haufen::N,uyum,куча
311,Reihe::N,saf,лёдз
312,Boot::N,qayiq,пыж
313,Ruder::N,äshkak,пелыс
314,Schlitten::N,chana,додь
315,Ski::N,chang'i,лямпа
316,Lagerfeuer::N,gulxan,бипур
317,Last::N,yuk,тягота
318,Gang::N,yurish,мунӧм
319,Schritt::N,qadam,вожмӧв
320,Norden::N,shimol,ой
321,Süden::N,janub,лун
322,Westen::N,g'arb,рытвыв
323,Osten::N,sharq,асыв
324,Holz::N,yog'och,пу
325,Brett::N,taxta,пӧв
326,Platte::N,tabaqa,плита
327,Stütze::N,tayanchi,пика
328,Stange::N,qo'noq,зор
329,Stange::N,qo'noq,потш
330,Stock::N,tayoq,бедь
331,Stab::N,gavron,шест
332,Rohr::N,tarnov,труба
333,Haus::N,uy,керку
334,Heim::N,makon,керку
335,Ofen::N,pechka,пӧжавны
336,Fußboden::N,pol,джодж
337,Tisch::N,mosa,пызан
338,Stuhl::N,o'rindiq,стул
339,Wiege::N,beshik,зыбка
340,Bett::N,yotoq,кровать
341,Regal::N,tokcha,джадж
342,Kiste::N,sandiq,ящик
343,Fenster::N,deraza,ӧшын
344,Tür::N,äshik,ыбӧс
345,Tor::N,darvoza,ворота
346,Zaun::N,panjara,забор
347,Dach::N,tom,крыша
348,Leiter::N,narvon,лиснич
349,Besen::N,supurgi,рос
350,Spaten::N,bel,зыр
351,Schaufel::N,kurak,зыр
352,Gabel::N,bilka,вила
353,Löffel::N,qoshiq,пань
354,Messer::N,pichoq,пурт
355,Nagel::N,mix,кӧрттув
356,Netz::N,to'r,кыйӧт
357,Haken::N,ilgak,ем
358,Griff::N,sop,пу
359,Griff::N,tutqich,пу
360,Schloss::N,qulf,замок
361,Bild::N,rasm,картина
362,Figur::N,shakl,мыгӧр
363,Puppe::N,ko'g'irchoq,акань
364,Beutel::N,to'rva,мешӧк
365,Bündel::N,bog'lam,нин
366,Tasche::N,kissa,сумка
367,Eimer::N,chelak,ведра
368,Deckel::N,qopqoq,вевт
369,Geschirr::N,idish,доз
370,Geschirr::N,idish,бекӧрпань
371,Sack::N,qop,мешӧк
372,Tasse::N,piyola,бекӧр
373,Topf::N,tuvak,кастрюля
374,Kessel::N,qozon,пӧрт
375,Essen::N,tomoq,сёйӧм
376,Nahrung::N,emak,вердан
377,Speise::N,taom,сёян
378,Fleisch::N,go'sht,яй
379,Getreide::N,g'alla,сю
380,Brei::N,bo'tqa,каша
381,Brot::N,non,нянь
382,Scheibe::N,disk,шӧрӧм
383,Fett::N,moy,гос
384,Butter::N,yog',ви
385,Öl::N,moy,ви
386,Salz::N,tuz,сов
387,Suppe::N,sho'rva,шыд
388,Honig::N,asal,ма
389,Milch::N,sut,йӧв
390,Tee::N,choy,чай
391,Leder::N,charm,кучик
392,Wolle::N,jun,гӧн
393,Stoff::N,mato,дӧра
394,Nadel::N,igna,ем
395,Faden::N,ip,сунис
396,Knopf::N,tugma,кизь
397,Knoten::N,tugun,узӧв
398,Knoten::N,tugun,гӧрӧд
399,Farbe::N,bo'yok,краска
400,Kleidung::N,kiyim,паськӧм
401,Hemd::N,ko'ylak,йӧрнӧс
402,Kragen::N,yoqa,воротник
403,Ärmel::N,yeng,сос
404,Hose::N,shim,вешьян
405,Gürtel::N,tasma,йи
406,Mütze::N,shapka,шапка
407,Schuh::N,but,ботинки
408,Stiefel::N,botinka,сапог
409,Ring::N,yuzuk,чунькытш
410,Band::N,rishta,ленточка
411,Kamm::N,taroq,сынан
412,Spiegel::N,ko'zgu,зеркало
413,Riemen::N,qayish,ремень
414,Schnur::N,bog'ich,гез
415,Leine::N,etak,повод
416,Decke::N,odyol,одеяло
417,Kissen::N,yostiq,подушка
418,Tuch::N,gazlama,чышьян
419,Handtuch::N,sochiq,чышкӧт
420,Kraft::N,kuch,прак
421,Stärke::N,quvvat,вын
422,Gesundheit::N,sog'lik,здоровье
423,Krankheit::N,kasallik,шог
424,Schmerz::N,og'riq,зубыт
425,Wunde::N,yara,рана
426,Fieber::N,bezgak,лёк тресся
427,Fieber::N,bezgak,кынтан шогӧт
428,Arznei::N,dori,лекарство
429,Brücke::N,ko'prik,пос
430,Brunnen::N,buloq,колодец 
431,Weide::N,yaylov,пода йирсян
432,Pfad::N,dorojka,туй
433,Weg::N,yo'l,туй
434,Straße::N,ko'cha,туй
435,Dorf::N,ovul,деревня
436,Stadt::N,shahar,город
437,Brief::N,maktub,гижӧт
438,Buch::N,kitob,книга
439,Buchstabe::N,harf,буква
440,Zeitung::N,gazet,газета
441,Leben::N,hayot,олан
442,Tod::N,o'lim,кулӧм
443,Grab::N,go'r,гу
444,Kirche::N,cherkov,вичку
445,Sünde::N,gunoh,грек
446,Gott::N,olloh,ен
447,Arbeiter::N,ishchi,уджалiсь
448,Chef::N,rais,начальник
449,Meister::N,usta,мастер
450,Arzt::N,hakim,врач
451,Lehrer::N,muallim,велӧтісь
452,Geld::N,pul,деньга
453,Geschäft::N,savdo,удж
454,Laden::N,do'kon,магазин
455,Preis::N,baho,дон
456,Ware::N,mol,товар
457,Nutzen::N,foyda,путь
458,Reichtum::N,boylik,богатство
459,Welt::N,olam,му
460,Land::N,o'lka,страна
461,Staat::N,davlat,государство
462,König::N,qirol,кан
463,Macht::N,iqtidor,власть
464,Grenze::N,chegara,граница
465,Krieg::N,harb,война
466,Feind::N,dushman,враг
467,Gewalt::N,zo'rlik,
468,Kampf::N,kurash,нярасьӧм
469,Kampf::N,kurash,вермасьӧм
470,Bogen[Waffe]::N,yoy,лук
471,Pfeil::N,o'q,ньӧв
472,Gewehr::N,vintovka,ружьё
473,Fehler::N,xato,ошибка
474,Lüge::N,yolg'on,ылӧтӧм
475,Lüge::N,yolg'on,пӧрьялӧм
476,Schaden::N,ziyon,лёк
477,Unglück::N,balo,пик
478,Unglück::N,balo,оказзё
479,Schuld::N,ayb,вина
480,Alter::N,yosh,
481,Schluss::N,tamom,ком
482,Zeit::N,vaqt,кад
483,Tag::N,kun,лун
484,Morgen::N,saboh,асыв
485,Mittag::N,kun tushlik,луншӧр кад
486,Abend::N,oqshom,рыт
487,Nacht::N,tun,ой
488,Woche::N,hafta,неделя
489,Monat::N,oy,тӧлicь
490,Jahr::N,yil,год
491,Frühling::N,bahor,тулыс
492,Sommer::N,yoz,гожум
493,Herbst::N,kuz,ар
494,Herbst::N,xazon,ар
495,Winter::N,qish,тӧв
496,Januar::N,yanvar',январ
497,Februar::N,fevral',февраль
498,März::N,mart,март
499,April::N,aprel',апрель
500,Mai::N,may,май
501,Juni::N,iyun',юнь
502,Juli::N,iyul',юль
503,August::N,avgust,август
504,September::N,sentyabr',сентяб
505,Oktober::N,oktyabr',октяб
506,November::N,noyabr',нояб
507,Dezember::N,dekabr',декаб
508,Montag::N,dushanba,вильлун
509,Dienstag::N,seshanba,мӧдӧдзлун
510,Mittwoch::N,chorshanba,шӧрлун
511,Donnerstag::N,payshanba,нёльӧдзлун
512,Freitag::N,juma,витӧдзлун
513,Samstag::N,shanba,пывсянлун
514,Sonntag::N,yakshanba,кресення
515,groß::A,buyuk,ыджыт
516,klein::A,kichik,учӧтик
517,lang::A,uzun,кузь
518,kurz::A,qisqa,дженыт
519,breit::A,keng,ота
520,schmal::A,änsiz,векнит
521,dicht::A,quyuq,тшӧк
522,dick[Gegenstand]::A,qalin,кыз
523,dünn::A,ingichka,вӧснит
524,fein::A,mayin,вӧснит
525,fest::A,qattiq,крепыт
526,flach::A,yalpoq,лапкӧса
527,glatt::A,tekis,волькыт
528,hart::A,qattiq,чӧрыт
529,weich::A,yumshoq,небыт
530,rund::A,yumaloq,гӧгрӧса
531,spitz::A,uchli,ёся
532,scharf::A,keskir,лэчыт
533,stumpf::A,to'mtoq,ныж
534,schwer::A,salmoqli,сьӧкыт
535,schön::A,go'zal,басӧк
536,heiß::A,qiziq,жар
537,warm::A,issiq,шоныт
538,kalt::A,sovuq,кӧдзыт
539,kühl::A,salqin,сайкыт
540,frisch::A,toza,виль
541,feucht::A,namli,вакодь
542,nass::A,nam,ва
543,trocken::A,quruq,кӧс
544,voll::A,to'la,тыра
545,leer::A,puch,тыртӧм
546,offen::A,ochiq,оссьӧм
547,geschlossen::A,berk,игана
548,geschlossen::A,berk,пӧдана
549,sauber::A,ozoda,сӧдз
550,sauber::A,ozoda,сӧстӧм
551,schmutzig::A,kir,нятьӧсь
552,roh::A,xom,путӧм
553,reif::A,pishiq,кисьмалӧм
554,lecker::A,shirin,кӧра 
555,süß::A,shirin,чӧскыт
556,bitter::A,achchiq,курыт
557,sauer::A,achchiq,шӧма 
558,hell::A,yorug',югыт
559,dunkel::A,qorong'i,пемыт
560,schwarz::A,qora,сьӧд
561,weiß::A,oq,чочком
562,rot::A,qizil,гӧрд
563,gelb::A,sariq,веж
564,blau::A,zangori,лӧз
565,grün::A,yashil,веж
566,grau::A,bo'z,руд
567,grau::A,bo'z,бусӧй
568,bunt::A,ola,быдрӧма
569,billig::A,arzon,донтӧм
570,teuer::A,qimmat,дона
571,wertvoll::A,qimmat,дона
572,blind::A,ko'r,синтӧм
573,taub::A,garang,пельтӧм
574,kräftig::A,kuchli,вына
575,stark::A,quvvatli,вына
576,schwach::A,kuchsiz,некодя
577,fett::A,semiz,госа
578,schlank::A,ingichka,статя
579,hübsch::A,ko'rkam,басӧк
580,böse::A,yovuz,лёк
581,dumm::A,aqlsiz,бӧбӧв
582,dumm::A,aqlsiz,вежӧртӧм
583,faul::A,ärinchak,дыш
584,fleißig::A,ishchan,уджалicь
585,geizig::A,qurumsoq,жикмӧра
586,geizig::A,qurumsoq,горшаліcь
587,klug::A,oqil,авья
588,klug::A,oqil,вежӧра
589,geschickt::A,äpchil,кипода
590,lieb::A,aziz,муса
591,lieb::A,aziz,дзулиньӧй
592,lustig::A,chaqchaq,гажа
593,sanft::A,asta,лебезнӧй
594,hungrig::A,och,тшыг
595,krank::A,kasal,шогалiсь
596,nackt::A,yalang,куш
597,traurig::A,xafa,жугыль
598,lebendig::A,hayotiy,ловья
599,gut::A,soz,бур
600,schlecht::A,yomon,умӧль
601,richtig::A,rost,
602,schlimm::A,yovuz,нештӧм
603,wahr::A,haqiqiy,
604,alt::A,äski,важ
605,neu::A,yangi,виль
606,ehemalig::A,sobiq,вӧвлӧм
607,alt[Lebewesen]::A,qari,года
608,alt[Lebewesen]::A,qari,годдэза
609,jung::A,navqiron,том
610,arm::A,abgor,гов
611,arm::A,abgor,беднӧй
612,reich::A,boy,эма
613,bekannt::A,ma'lum,тӧдса
614,berühmt::A,mashhur,
615,fremd::A,yot,чужӧй
616,verschieden::A,turli,быдкодь
617,nah::A,yaqindagi,матiсь
618,fern::A,uzoq,ылicь
619,linker::A,so'l,шульга
620,rechter::A,o'ng,веськытланись
621,anderer::A,boshqa,мукӧд
622,erster::A,birinchi,медодзза
623,zweiter::A,ikkinchi,кыкӧт
624,dritter::A,uchinchi,куимӧт
625,dritter::A,uchinchi,куимӧдз
626,letzter::A,oxirgi,бӧрья
627,letzter::A,oxirgi,мёдбӧрья
628,allein::ADV,o'zicha,
629,auf einmal::ADV,varakay,тшӧтш
630,zusammen::ADV,barobar,ӧтлаын
631,lange::ADV,uzoq,дыр
632,plötzlich::ADV,qo'qqisdan,друг
633,sofort::ADV,darrov,тшӧтш
634,später::ADV,so'ngra,медбӧрын
635,jetzt::ADV,hozirgina,ӧні
636,heute::ADV,bugun,талун
637,morgen::ADV,ärta,ашын
638,bald::ADV,toz,чожа
639,dann::ADV,keyin,сыбӧрын
640,gestern::ADV,kecha,тӧн
641,einst::ADV,avvallari,ӧтпыр
642,damals::ADV,ugal,сэк
643,damals::ADV,ugal,сэки
644,danach::ADV,so'ngra,сэсся
645,vorher::ADV,avval,одзжык
646,zuerst::ADV,avval,наперво
647,einmal::ADV,bir marta,ӧтпыр
648,manchmal::ADV,onda-sonda,мукӧдпыр
649,oft::ADV,tez-tez,-лы-
650,immer::ADV,har vaqt,быдпыр
651,immer::ADV,har vaqt,быдпырся
652,niemals::ADV,hargiz,некӧр
653,hier::ADV,shu erda,татӧн
654,hierhin::ADV,beri,татчӧ
655,von hier::ADV,shu erdan,тасянь
656,dort::ADV,ana,сэтӧн
657,dorthin::ADV,u yerga,сэтчин
658,geradeaus::ADV,to'g'ri,веськыта
659,vorwärts::ADV,ilgari,одзӧ
660,rückwärts::ADV,qoloq,бӧр
661,zurück::ADV,orqada,бӧр
662,unten::ADV,pastda,увтын
663,hinab::ADV,tubanga,увтас
664,oben::ADV,ustida,вевдӧрас
665,hinauf::ADV,yuqorida,вывлань
666,hinauf::ADV,yuqorida,вывланьӧ
667,überall::ADV,har erda,быдлан
668,nicht::ADV,ämas,ог
669,ein wenig::ADV,biroz,-ышт
670,ein wenig::ADV,biroz,невна
671,kaum::ADV,arang,ӧдва
672,sehr::ADV,ancha,вывтi
673,so::ADV,shunday,сiдз
674,noch::ADV,hali,эшӧ
675,nur::ADV,yolg'iz,только
676,schon::ADV,endi,ни
677,wieder::ADV,yana,бӧра
678,vergebens::ADV,bekorga,весись
679,vor::PRP,burun,одзас
680,hinter::PRP,ketida,бӧрӧ
681,unter::PRP,ostida,увтын
682,durch::PRP,bo'ylab,пыр
683,neben::PRP,yonida,бокам
684,neben::PRP,yonida,боксиным
685,zwischen::PRP,orada,коласас
686,wegen::PRP,sababli,понда
687,dies::PRN,o'sha,эта
688,das::PRN,narigi,сiя
689,alles::PRN,har nima,быдӧс
690,ich::PRN,men,ме
691,du::PRN,sen,тэ
692,er::PRN,u,сiя
693,wir::PRN,biz,мийӧ
694,ihr::PRN,siz,ті
695,sie::PRN,ular,нія
696,was::FPRN,nima,мый
697,wer::FPRN,kim,кин
698,wo::FADV,qaerda,кытӧн
699,wohin::FADV,qayerga,кытчӧ
700,wie::FADV,qanday,дзик
701,warum::FADV,nega,мыля
702,warum::FADV,nega,мыйсянь
703,wieviel::FNUM,qancha,мымда
704,eins::NUM,bir,ӧт
705,zwei::NUM,ikki,кык
706,drei::NUM,uch,куим
707,vier::NUM,to'rt,нёль
708,fünf::NUM,besh,вит
709,sechs::NUM,olti,квать
710,sieben::NUM,etti,сизим
711,acht::NUM,sakkiz,кыкьямыс
712,neun::NUM,to'qqiz,ӧкмыс
713,zehn::NUM,o'n,дас
714,elf::NUM,o'n bir,дасотік
715,zwölf::NUM,o'n ikki,даскык
716,zwanzig::NUM,yigirma,кыкдас
717,dreißig::NUM,o'ttiz,куимдас
718,vierzig::NUM,qirq,нёльдас
719,fünfzig::NUM,ällik,витдас
720,sechzig::NUM,oltmish,кватьдас
721,siebzig::NUM,etmish,сизимдас
722,achtzig::NUM,sakson,кыкьямысдас
723,neunzig::NUM,to'qson,ӧкмысдас
724,hundert::NUM,yuz,сто
725,tausend::NUM,ming,тысяча
726,und::CNJ,va,и
727,und::CNJ,va,да
728,oder::CNJ,yo,или
729,stehen::V,turmoq,сулавны
730,sitzen::V,o'tirmoq,пукавны
731,liegen::V,yotmoq,куйлыны
732,hängen::V,osilmoq,ӧшавны
733,werden::V,bo'lmoq,лоны
734,passieren::V,bo'lib o'tmoq,аркмыны
735,beginnen::V,boshlanmoq,петны
736,enden::V,bitmoq,-сь
737,enden::V,bitmoq,бырны
738,wechseln::V,o'zgarmoq,вежсьыны
739,aufgehen[Sonne]::V,chiqmoq,петавны
740,untergehen[Sonne]::V,botmoq,пуксьыны
741,scheinen[Sonne]::V,yaraqlamoq,югьявны
742,donnern::V,gulduramoq,гымавны
743,wehen::V,elpimoq,пӧлявны
744,strömen::V,oqmoq,киссьыны
745,fließen::V,oqmoq,визывтны
746,sich drehen::V,aylanmoq,бергавны
747,schwanken::V,qoqilmoq,кӧвьясьны
748,schwingen::V,lopillamoq,дюттясьны
749,fallen::V,tushmoq,усьны
750,brennen::V,yonmoq,сотчыны
751,rauchen::V,tutamoq,тшынасьны
752,regnen::V,yomg'ir yog'moq,зэрны
753,gefrieren::V,muzlamoq,гегдыны
754,tauen::V,ärimoq,сывны
755,schmelzen::V,ärimoq,сывны
756,trocknen::V,qurimoq,косьмыны
757,sieden::V,qaynamoq,пизьны
758,faulen::V,chirimoq,нёльзьыны
759,verfaulen::V,chirimoq,тӧрмыны
760,verfaulen::V,chirimoq,сiсьмыны
761,reißen::V,qayt qilmoq,косясьны
762,versinken::V,g'arq bo'lmoq,вӧйны
763,vergehen::V,o'tmoq,мунны
764,erscheinen::V,zuhur ätmoq,мыччисьны
765,verschwinden::V,yo'qolmoq,ӧшны
766,sinken::V,pasaymoq,ямны
767,abnehmen::V,kamaymoq,ямны
768,zunehmen::V,urchimoq,паськавны
769,steigen::V,oshmoq,лэбтiсьны
770,wachsen::V,o'smoq,быдмыны
771,glänzen::V,porlamoq,свиттявны
772,funkeln::V,yalt ätmoq,югйовтлыны
773,funkeln::V,yalt ätmoq,югйӧв-керны
774,lärmen::V,taraq ätmoq,чавзыны
775,läuten::V,jiringlamoq,диньгыны
