,Concept_ID,pt,ce
127,Gras::N,erva,буц
128,Wurzel::N,raiz,орам
129,Baum::N,árvore,дитт
130,Stamm::N,tronco,гӏад
131,Stamm::N,tronco,тайпа
132,Rinde::N,casca,кевстиг
133,Ast::N,ramo,га
134,Zweig::N,galho,га
135,Blatt::N,folha,гӏа
136,Birke::N,bétula,дакх
137,Kiefer[Baum]::N,pinheiro,бага
138,Weide[Baum]::N,salgueiro,дак
139,Tanne::N,abeto,база
140,Horn::N,corno,маӏа
141,Horn::N,chifre,маӏа
142,Feder::N,pena,пелаг
143,Fell::N,pele,цӏока
144,Flügel::N,asa,тӏам
145,Klaue::N,pata,мӏара
146,Kralle::N,unha,тlод
147,Kralle::N,garra,тlод
148,Schwanz::N,rabo,цӏога
149,Schwanz::N,cauda,цӏога
150,Ei::N,ovo,xӏoa
151,Nest::N,ninho,бен
152,Bau::N,toca,lуьрг
153,Bau::N,covil,lуьрг
154,Tier::N,animal,дийнат
155,Herde::N,rebanho,жа
156,Kuh::N,vaca,етт
157,Bulle::N,touro,сту
158,Pferd::N,cavalo,говр
159,Schaf::N,ovelha,жий
160,Schaf::N,ovelha,уьстагӏ
161,Schwein::N,porco,хьакха
162,Hund::N,cão,жӏаьла
163,Katze::N,gata,цициг
164,Bär::N,urso,ча
165,Eichhörnchen::N,esquilo,тарсал
166,Elch::N,alce,сай
167,Fuchs::N,raposa,цхьогал
168,Hase::N,lebre,пхьагал
169,Maus::N,rato,дахка
170,Wolf::N,lobo,борз
171,Vogel::N,ave,олхазар
172,Vogel::N,pássaro,олхазар
173,Schwarm::N,bando,
174,Schwarm::N,enxame,
175,Huhn::N,galinha,котам
176,Hahn::N,galo,нӏаьна
177,Hahn::N,galo,боргӏал
178,Gans::N,ganso,гӏаз
179,Adler::N,águia,aьрзу
180,Ente::N,pata,бад
181,Eule::N,mocho,бухӏа
182,Eule::N,coruja,бухӏа
183,Kranich::N,grou,гӏаргӏули
184,Krähe::N,gralha,къиг
185,Kuckuck::N,cuco,aттйокх
186,Schwan::N,cisne,гӏургӏаз
187,Fisch::N,peixe,чӏара
188,Barsch::N,perca,окунь
189,Hecht::N,lúcio,гӏазкхийн чӏара
190,Schlange[Tier]::N,serpente,лаьхьа
191,Wurm::N,verme,нӏаьна
192,Spinne::N,aranha,гезг
193,Ameise::N,formiga,зингат
194,Laus::N,piolho,меза
195,Laus::N,piolho,гӏениг
196,Mücke::N,mosquito,чуьрк
197,Fliege::N,mosca,моза
198,Schmetterling::N,borboleta,полла
199,Beere::N,bago,цӏазам
200,Apfel::N,maçã,ӏаж
201,Pilz::N,fungo,жӏаьлин нускал
202,Pilz::N,cogumelo,жӏаьлин нускал
203,Zwiebel::N,cebola,xох
204,Saat::N,sementeira,чlу
205,Korn::N,grão,буьртиг
206,Heu::N,feno,йол
207,Schale::N,casca,пардо
208,Grube::N,cova,ор
209,Grube::N,fossa,ор
210,Falle::N,armadilha,кӏело
211,Schlinge::N,laço,
212,Spur::N,pista,лар
213,Spur::N,vestígio,лар
214,Asche::N,cinza,чим
215,Dreck::N,sujidade,мода
216,Eisen::N,ferro,эчиг
217,Gold::N,ouro,деши
218,Silber::N,prata,дети
219,Kohle::N,carvão,кӏора
220,Glas::N,vidro,aнгали
221,Lehm::N,barro,поппар
222,Lehm::N,argila,поппар
223,Sand::N,areia,гӏум
224,Mensch::N,homem,адам
225,Mensch::N,pessoa,адам
226,Mann::N,homem,майра
227,Frau::N,mulher,зуда
228,Kind::N,filho,бер
229,Kind::N,criança,бер
230,Junge::N,rapaz,жимха
231,Junge::N,menino,жимха
232,Mädchen::N,menina,жима йоӏ
233,Mädchen::N,rapariga,жима йоӏ
234,Familie::N,família,доьзал
235,Großvater::N,avô,ненада
236,Großmutter::N,avó,денана
237,Eltern::N,pais,да-нана
238,Vater::N,pai,да
239,Mutter::N,mãe,нана
240,Sohn::N,filho,кӏант
241,Tochter::N,filha,йоӏ
242,Bruder::N,irmão,ваша
243,Schwester::N,irmã,йиша
244,Onkel::N,tio,деваша
245,Tante::N,tia,дейиша
246,Ehemann::N,esposo,майра
247,Ehefrau::N,esposa,зуда
248,Freude::N,prazer,самукъа
249,Freude::N,prazer,хазахетар
250,Freude::N,alegria,самукъа
251,Freude::N,alegria,хазахетар
252,Gelächter::N,risada,белам
253,Gelächter::N,gargalhada,белам
254,Glück::N,felicidade,ирс
255,Kummer::N,aflição,бала
256,Kummer::N,desgosto,бала
257,Wunsch::N,desejo,лаам
258,Lust::N,vontade,лаам
259,Geist::N,mente,са
260,Geist::N,espírito,са
261,Gedanke::N,ideia,ойла
262,Gedanke::N,pensamento,ойла
263,Gedächtnis::N,memória,диццадалар
264,Verstand::N,razão,хьекъал
265,Verstand::N,inteligência,хьекъал
266,Sinn::N,sentido,маьӏна
267,Sinn::N,significado,маьӏна
268,Grund::N,causa,бахьана
269,Grund::N,motivo,бахьана
270,Wahrheit::N,verdade,бакъдерг
271,Gespräch::N,conversa,къамел
272,Gespräch::N,conversação,къамел
273,Märchen::N,conto,туьйра
274,Erzählung::N,conto,дийцар
275,Erzählung::N,narrativa,дийцар
276,Nachricht::N,mensagem,хаам
277,Neuigkeit::N,notícia,керланиг
278,Neuigkeit::N,novidade,керланиг
279,Name::N,nome,цӏе
280,Rätsel::N,adivinha,хӏетал-метал
281,Rede::N,oração,къамел
282,Rede::N,discurso,къамел
283,Sprache::N,língua,мотт
284,Stimme::N,voz,aз
285,Wort::N,palavra,дош
286,Zeichen::N,marca,билгало
287,Ruf::N,grito,кхайкхар
288,Ruf::N,chamada,кхайкхар
289,Lärm::N,ruído,гӏовгӏа
290,Lärm::N,barulho,гӏовгӏа
291,Laut::N,som,аз
292,Ton::N,tom,aз
293,Lied::N,canção,илли
294,Ruhe::N,calma,тийналла
295,Ruhe::N,silêncio,тийналла
296,Leute::N,gente,нах
297,Leute::N,pessoas,нах
298,Volk::N,povo,халкъ
299,Volk::N,nação,халкъ
300,Arbeit::N,trabalho,болх
301,Gast::N,hóspede,хьаша
302,Gast::N,convidado,хьаша
303,Geschenk::N,prenda,совгӏат
304,Geschenk::N,presente,совгӏат
305,Spiel::N,jogo,ловзар
306,Gesellschaft::N,companhia,юкъаралла
307,Hilfe::N,ajuda,гӏо
308,Hilfe::N,socorro,гӏо
309,Freund::N,amigo,доттагl
310,Kamerad::N,camarada,накъост
311,Angelegenheit::N,assunto,гӏуллакх
312,Anzahl::N,número,терахь
313,Anzahl::N,quantidade,терахь
314,Art::N,tipo,
315,Art::N,espécie,
316,Stück::N,pedaço,юьхк
317,Teil::N,peça,дакъа
318,Teil::N,parte,дакъа
319,Hälfte::N,metade,ах
320,Kreis::N,círculo,го
321,Kreuz::N,cruz,жӏара
322,Linie::N,linha,сиз
323,Strich::N,traço,сиз
324,Abstand::N,distância,юкъ
325,Entfernung::N,distância,
326,Gegend::N,área,мeттиг
327,Gegend::N,região,мeттиг
328,Platz::N,lugar,майда
329,Ort::N,sítio,меттиг
330,Seite::N,lado,aгӏo
331,Mitte::N,meio,юкъ
332,Gegenstand::N,objecto,хӏума
333,Sache::N,coisa,хӏума
334,Rand::N,bordo,йист
335,Rand::N,margem,йист
336,Kante::N,borda,йист
337,Kante::N,aresta,йист
338,Ecke::N,esquina,са
339,Spitze::N,ponta,ралла
340,Ende::N,cabo,юьхьиг
341,Ende::N,extremo,юьхьиг
342,Loch::N,furo,ӏуьрг
343,Loch::N,buraco,ӏуьрг
344,Winkel::N,canto,са
345,Winkel::N,ângulo,са
346,Muster::N,padrão,дагар
347,Muster::N,padrão,тӏамар
348,Muster::N,desenho,дагар
349,Muster::N,desenho,тӏамар
350,Größe::N,tamanho,барам
351,Länge::N,comprimento,йохалла
352,Höhe::N,altura,локхалла
353,Höhe::N,altitude,локхалла
354,Gewicht::N,peso,йозалла
355,Menge::N,quantidade,дукхалла
356,Haufen::N,pilha,сал
357,Haufen::N,pilha,оьла
358,Reihe::N,fila,рагӏ
359,Reihe::N,fila,могӏа
360,Boot::N,barco,кема
361,Ruder::N,remo,пийсиг
362,Schlitten::N,trenó,салаз
363,Ski::N,esqui,когсалаз
364,Lagerfeuer::N,fogueira,цӏе
365,Last::N,carga,дукъ
366,Gang::N,curso,лелар
367,Gang::N,caminhada,лелар
368,Schritt::N,passo,гӏулч
369,Norden::N,norte,къилбаседе
370,Süden::N,sul,къилбе
371,Westen::N,oeste,малхбузе
372,Westen::N,ocidente,малхбузе
373,Osten::N,este,малхбале
374,Osten::N,leste,малхбале
375,Osten::N,oriente,малхбале
376,Holz::N,madeira,дечиг
377,Brett::N,tábua,у
378,Brett::N,prancha,у
379,Platte::N,laje,у
380,Platte::N,chapa,у
381,Stütze::N,apoio,гӏopтоp
382,Stütze::N,suporte,гӏopтоp
383,Stange::N,vara,гӏуркх
384,Stange::N,barra,гӏуркх
385,Stock::N,pau,ӏаса
386,Stock::N,bengala,ӏаса
387,Stab::N,bastão,гӏаж
388,Rohr::N,cano,биргӏа
389,Haus::N,casa,цӏа
390,Heim::N,lar,кхерч
391,Heim::N,casa,кхерч
392,Ofen::N,estufa,кхерч
393,Ofen::N,aquecedor,кхерч
394,Fußboden::N,piso,цӏенкъа
395,Tisch::N,mesa,шун
396,Stuhl::N,cadeira,гӏант
397,Wiege::N,berço,ага
398,Bett::N,cama,маьнга
399,Regal::N,estante,терхи
400,Regal::N,prateleira,терхи
401,Kiste::N,caixa,яьшка
402,Fenster::N,janela,кор
403,Tür::N,porta,неӏ
404,Tor::N,portão,ков
405,Zaun::N,cerca,керт
406,Zaun::N,vedação,керт
407,Dach::N,telhado,тхов
408,Leiter::N,escada,лами
409,Leiter::N,escada móvel,лами
410,Besen::N,vassoura,нуй
411,Spaten::N,pá,бел
412,Schaufel::N,pá,аьшкал
413,Gabel::N,garfo,мӏара
414,Löffel::N,colher,ӏайг
415,Messer::N,faca,урс
416,Nagel::N,cravo,хьостам
417,Netz::N,rede,бой
418,Haken::N,gancho,мӏара
419,Griff::N,asa,
420,Griff::N,cabo,
421,Schloss::N,fechadura,чӏега
422,Bild::N,imagem,сурт
423,Figur::N,figura,
424,Puppe::N,boneca,тайниг
425,Beutel::N,saco,гали
426,Beutel::N,bolsa,гали
427,Bündel::N,fardo,кочар
428,Tasche::N,saco,тӏоьрмиг
429,Tasche::N,bolso,тӏоьрмиг
430,Eimer::N,balde,чийлик
431,Deckel::N,tampa,негӏар
432,Geschirr::N,louça,пхьегӏа
433,Sack::N,saca,гали
434,Tasse::N,chávena,кад
435,Topf::N,tacho,яй
436,Topf::N,panela,яй
437,Kessel::N,caldeira,яй
438,Essen::N,refeição,юург
439,Nahrung::N,comida,кхача
440,Nahrung::N,alimento,кхача
441,Speise::N,prato,юург
442,Fleisch::N,carne,жижиг
443,Getreide::N,cereais,буьртиг
444,Brei::N,puré,xудар
445,Brot::N,pão,бепиг
446,Brot::N,pão,кхаллар
447,Scheibe::N,fatia,цастар
448,Fett::N,banha,мохь
449,Fett::N,gordura,мохь
450,Butter::N,manteiga,налха
451,Öl::N,azeite,даьтта
452,Salz::N,sal,туьха
453,Suppe::N,sopa,чорпа
454,Suppe::N,caldo,чорпа
455,Honig::N,mel,моз
456,Milch::N,leite,шура
457,Tee::N,chá,чай
458,Leder::N,couro,цӏока
459,Wolle::N,lã,тӏapгӏa
460,Stoff::N,pano,кӏади
461,Stoff::N,tecido,кӏади
462,Nadel::N,agulha,маха
463,Faden::N,fio,тай
464,Knopf::N,botão,нуьйда
465,Knoten::N,nó,шад
466,Farbe::N,corante,сир
467,Farbe::N,corante,басар
468,Kleidung::N,roupa,бедар
469,Kleidung::N,vestuário,бедар
470,Hemd::N,camisa,коч
471,Kragen::N,gola,кач
472,Ärmel::N,manga,пхьош
473,Hose::N,calça,хеча
474,Gürtel::N,cinto,доьхка
475,Mütze::N,boné,куй
476,Mütze::N,barrete,куй
477,Schuh::N,sapato,мача
478,Stiefel::N,bota,этка
479,Ring::N,anel,чӏуг
480,Band::N,fita,лента
481,Band::N,faixa,лента
482,Kamm::N,pente,ехк
483,Spiegel::N,espelho,куьзга
484,Riemen::N,correia,доьхка
485,Schnur::N,corda,муш
486,Schnur::N,cordel,муш
487,Leine::N,trela,кочатосу доьхка
488,Decke::N,cobertor,юргӏа
489,Kissen::N,almofada,гIайба
490,Tuch::N,pano,исхар
491,Handtuch::N,toalha,гата
492,Kraft::N,força,гӏора
493,Stärke::N,força,гӏап
494,Gesundheit::N,saúde,могашалла
495,Krankheit::N,doença,цамгар
496,Krankheit::N,enfermidade,цамгар
497,Schmerz::N,dor,лазар
498,Wunde::N,chaga,чов
499,Wunde::N,ferida,чов
500,Fieber::N,febre,xорша
501,Arznei::N,remédio,молха
502,Brücke::N,ponte,тӏай
503,Brunnen::N,poço,гӏу
504,Weide::N,pastagem,дак
505,Pfad::N,senda,тача
506,Pfad::N,trilho,тача
507,Weg::N,caminho,некъ
508,Straße::N,via,урам
509,Straße::N,estrada,урам
510,Dorf::N,aldeia,юрт
511,Stadt::N,cidade,гӏала
512,Brief::N,carta,кехат
513,Buch::N,livro,жайна
514,Buchstabe::N,letra,элп
515,Zeitung::N,jornal,газет
516,Leben::N,vida,дахар
517,Tod::N,morte,далар
518,Tod::N,morte,ӏожалла
519,Grab::N,túmulo,каш
520,Grab::N,sepultura,каш
521,Kirche::N,igreja,килс
522,Sünde::N,pecado,къа
523,Gott::N,deus,дела
524,Arbeiter::N,operário,белхало
525,Arbeiter::N,trabalhador,белхало
526,Chef::N,chefe,хьаькам
527,Chef::N,patrão,хьаькам
528,Meister::N,mestre,говзанча
529,Arzt::N,médico,лор
530,Lehrer::N,professor,хьехархо
531,Geld::N,dinheiro,aхча
532,Geschäft::N,negócio,туька
533,Laden::N,loja,туька
534,Preis::N,preço,мах
535,Ware::N,mercadoria,хlума
536,Nutzen::N,proveito,пайда
537,Reichtum::N,riqueza,хьал
538,Welt::N,mundo,дуьне
539,Land::N,país,мохк
540,Staat::N,Estado,пачхьалкх
541,König::N,rei,паччахь
542,Macht::N,poder,ӏедал
543,Macht::N,potência,ӏедал
544,Grenze::N,fronteira,доза
545,Krieg::N,guerra,тӏом
546,Feind::N,inimigo,мостагӏ
547,Gewalt::N,violência,гӏело
548,Kampf::N,luta,къийсам
549,Kampf::N,combate,къийсам
550,Bogen[Waffe]::N,arco,
551,Pfeil::N,seta,пха
552,Pfeil::N,flecha,пха
553,Gewehr::N,espingarda,топ
554,Fehler::N,erro,гӏалат
555,Fehler::N,falha,гӏалат
556,Lüge::N,mentira,аьшпаш
557,Schaden::N,dano,зен
558,Schaden::N,estrago,зен
559,Unglück::N,desgraça,бала
560,Schuld::N,culpa,бехк
561,Alter::N,idade,хан
562,Schluss::N,fim,чакхе
563,Zeit::N,tempo,хан
564,Tag::N,dia,де
565,Morgen::N,manhã,ӏуьйре
566,Mittag::N,meio-dia,делкъе
567,Abend::N,noite,суьйре
568,Abend::N,tardinha,суьйре
569,Nacht::N,noite,буьйса
570,Woche::N,semana,кӏира
571,Monat::N,mês,бутт
572,Jahr::N,ano,шо
573,Frühling::N,primavera,бӏаьсте
574,Sommer::N,verão,аьхке
575,Herbst::N,outono,гуьйре
576,Winter::N,inverno,ӏа
577,Januar::N,Janeiro,январь
578,Februar::N,Fevereiro,февраль
579,März::N,Março,март
580,April::N,Abril,апрель
581,Mai::N,Maio,май
582,Juni::N,Junho,июнь
583,Juli::N,Julho,июль
584,August::N,Agosto,август
585,September::N,Setembro,сентябрь
586,Oktober::N,Outubro,октябрь
587,November::N,Novembro,ноябрь
588,Dezember::N,Dezembro,декабрь
589,Montag::N,segunda-feira,оршот
590,Dienstag::N,terça-feira,шинара
591,Mittwoch::N,quarta-feira,кхаара
592,Donnerstag::N,quinta-feira,еара
593,Freitag::N,sexta-feira,пӏераска
594,Samstag::N,sábado,шот
595,Sonntag::N,domingo,кӏиранде
596,groß::A,grande,доккха
597,klein::A,pequeno,кегий
598,lang::A,comprido,еха
599,kurz::A,curto,доца
600,breit::A,largo,шуьйра
601,schmal::A,estreito,готта
602,dicht::A,denso,луьста
603,dick[Gegenstand]::A,grosso,стомма
604,dünn::A,delgado,дуткъа
605,fein::A,fino,ховха
606,fein::A,subtil,ховха
607,fest::A,firme,чӏогӏа
608,fest::A,sólido,чӏогӏа
609,flach::A,plano,чӏапа
610,glatt::A,liso,шера
611,hart::A,duro,чӏогӏa
612,weich::A,mole,кӏеда
613,rund::A,redondo,горга
614,spitz::A,agudo,ира
615,scharf::A,afiado,ира
616,stumpf::A,rombo,аьртa
617,schwer::A,pesado,деза
618,schön::A,belo,хаза
619,schön::A,bonito,хаза
620,heiß::A,quente,довха
621,warm::A,quente,довха
622,kalt::A,frio,шийла
623,kühl::A,fresco,шийла
624,frisch::A,fresco,керла
625,feucht::A,húmido,тӏуьна
626,nass::A,molhado,тӏеда
627,trocken::A,seco,eкъа
628,voll::A,cheio,дуьзна
629,leer::A,vazio,яьсса
630,offen::A,aberto,диллина
631,geschlossen::A,fechado,дӏакъевлина
632,geschlossen::A,fechado,дӏачӏагӏдина
633,sauber::A,limpo,цӏена
634,schmutzig::A,sujo,боьха
635,roh::A,cru,буьйда
636,reif::A,maduro,хилла
637,lecker::A,delicioso,чоме
638,süß::A,doce,мерза
639,bitter::A,amargo,къаьхьа
640,sauer::A,azedo,муьста
641,hell::A,claro,сирла
642,dunkel::A,escuro,бодане
643,dunkel::A,sombrio,бодане
644,schwarz::A,preto,ӏаьржа
645,weiß::A,branco,кӏайн
646,rot::A,vermelho,цӏен
647,gelb::A,amarelo,можа
648,blau::A,azul,сийна
649,grün::A,verde,баьццара
650,grau::A,cinzento,cира
651,grau::A,cinzento,мокха
652,bunt::A,colorido,къорза
653,billig::A,barato,дораха
654,teuer::A,caro,деза
655,wertvoll::A,valioso,мехала
656,wertvoll::A,precioso,мехала
657,blind::A,cego,бӏаьрзе
658,taub::A,surdo,къора
659,kräftig::A,forte,нуьцкъала
660,kräftig::A,poderoso,нуьцкъала
661,stark::A,forte,зоьртала
662,stark::A,forte,нуьцкъала
663,stark::A,robusto,зоьртала
664,stark::A,robusto,нуьцкъала
665,schwach::A,débil,гӏорасиза
666,fett::A,gordo,дерстана
667,schlank::A,esbelto,куц долу
668,hübsch::A,giro,хаза
669,hübsch::A,bonito,хаза
670,böse::A,mau,вон
671,dumm::A,parvo,сонта
672,dumm::A,estúpido,сонта
673,faul::A,preguiçoso,мало ен
674,fleißig::A,aplicado,тӏера
675,fleißig::A,diligente,тӏера
676,geizig::A,avarento,пис
677,geizig::A,avarento,сутара
678,klug::A,prudente,хьекъале
679,klug::A,inteligente,хьекъале
680,geschickt::A,hábil,тӏахъаьлла
681,lieb::A,caro,хьоме
682,lieb::A,querido,хьоме
683,lustig::A,alegre,самукъане
684,sanft::A,suave,кlеда
685,sanft::A,brando,кlеда
686,hungrig::A,faminto,меца
687,krank::A,doente,цомгуш долу
688,krank::A,enfermo,цомгуш долу
689,nackt::A,nu,дерзана
690,nackt::A,despido,дерзана
691,traurig::A,triste,самукъане воцу
692,lebendig::A,vivo,дийна
693,gut::A,bom,дика
694,schlecht::A,mau,вон
695,schlecht::A,ruim,вон
696,richtig::A,justo,нийса
697,richtig::A,correcto,нийса
698,schlimm::A,mau,вон
699,schlimm::A,grave,вон
700,wahr::A,verdadeiro,бакъдолу
701,alt::A,velho,къена
702,alt::A,antigo,къена
703,neu::A,novo,керла
704,ehemalig::A,antigo,хилла
705,alt[Lebewesen]::A,velho,къена
706,jung::A,jovem,къона
707,arm::A,pobre,къен
708,reich::A,rico,хьоле
709,bekannt::A,conhecido,девзаш долу
710,berühmt::A,famoso,цӏеяхана
711,berühmt::A,célebre,цӏеяхана
712,fremd::A,alheio,нехан
713,fremd::A,estranho,нехан
714,verschieden::A,diverso,тайп-тайпанара
715,verschieden::A,diferente,тайп-тайпанара
716,nah::A,próximo,гергара
717,fern::A,remoto,гена
718,fern::A,remoto,генара
719,fern::A,distante,гена
720,fern::A,distante,генара
721,linker::A,esquerdo,аьрру
722,rechter::A,direito,аьтту
723,anderer::A,outro,кхин
724,erster::A,primeiro,хьалхара
725,zweiter::A,segundo,шолгIа
726,dritter::A,terceiro,кхоалгӏа
727,letzter::A,final,тӏаьххьара
728,letzter::A,último,тӏаьххьара
729,allein::ADV,só,цхьаъ
730,auf einmal::ADV,de vez,цу сохьтта
731,zusammen::ADV,juntos,цхьана
732,lange::ADV,muito tempo,дукха
733,plötzlich::ADV,de repente,цIеххьана
734,sofort::ADV,imediatamente,цу сохьтта
735,später::ADV,mais tarde,тӏаьхьо
736,jetzt::ADV,agora,хӏинца
737,heute::ADV,hoje,тахана
738,morgen::ADV,amanhã,кхана
739,bald::ADV,logo,кеста
740,bald::ADV,breve,кеста
741,dann::ADV,então,тӏаккха
742,dann::ADV,depois,тӏаккха
743,gestern::ADV,ontem,селхана
744,einst::ADV,antigamente,цкъа
745,damals::ADV,então,хӏетахьь
746,danach::ADV,logo,тӏаккха
747,danach::ADV,depois,тӏаккха
748,vorher::ADV,antes,хьалхa
749,zuerst::ADV,primeiro,хьалха
750,einmal::ADV,uma vez,цкъа
751,manchmal::ADV,às vezes,цкъаццкъа
752,oft::ADV,muitas vezes,кест-кеста
753,immer::ADV,sempre,даим
754,niemals::ADV,nunca,цкъа а
755,hier::ADV,cá,кхузахь
756,hier::ADV,aqui,кхузахь
757,hierhin::ADV,para cá,кхуза
758,von hier::ADV,daqui,кхузара
759,dort::ADV,lá,цигахь
760,dort::ADV,ali,цигахь
761,dorthin::ADV,lá,цига
762,dorthin::ADV,para lá,цига
763,geradeaus::ADV,em frente,нийса дӏа
764,vorwärts::ADV,avante,хьалха
765,rückwärts::ADV,para trás,юха
766,zurück::ADV,atrás,юха
767,unten::ADV,debaixo,лахахь
768,unten::ADV,em baixo,лахахь
769,hinab::ADV,para baixo,охьа
770,oben::ADV,em cima,лакхахь
771,hinauf::ADV,para cima,хьала
772,überall::ADV,em toda parte,массанхьа
773,nicht::ADV,não,ца
774,ein wenig::ADV,um pouco,кӏеззиг
775,ein wenig::ADV,um bocado,кӏеззиг
776,kaum::ADV,apenas,халла
777,sehr::ADV,muito,вуно
778,so::ADV,tão,
779,so::ADV,assim,
780,noch::ADV,ainda,кхин
781,nur::ADV,só,бен ...ца
782,nur::ADV,apenas,бен ...ца
783,nur::ADV,somente,бен ...ца
784,schon::ADV,já,хӏинцале
785,wieder::ADV,outra vez,юха а
786,vergebens::ADV,em vão,эрна
787,vor::PRP,diante de,хьалха
788,hinter::PRP,atrás de,тӏехьа
789,unter::PRP,sob,кIелахь
790,unter::PRP,debaixo de,кIелахь
791,durch::PRP,por,чекх
792,durch::PRP,através de,чекх
793,neben::PRP,junto de,юххе
794,neben::PRP,ao lado de,юххе
795,zwischen::PRP,entre,юккъехь
796,wegen::PRP,por,дуьхьа
797,wegen::PRP,por causa de,дуьхьа
798,dies::PRN,isto,и
799,dies::PRN,isto,иза
800,das::PRN,isso,и
801,das::PRN,isso,иза
802,das::PRN,aquilo,и
803,das::PRN,aquilo,иза
804,alles::PRN,todo,дерриг
805,ich::PRN,eu,cо
806,du::PRN,tu,хьо
807,er::PRN,ele,и
808,er::PRN,ele,иза
809,wir::PRN,nós,тхо
810,wir::PRN,nós,вай
811,ihr::PRN,vós,шу
812,ihr::PRN,vocês,шу
813,sie::PRN,eles,уьш
