,Concept_ID,bg,mdf
555,Sünde::N,грях,пежеть
556,Sünde::N,грях,муворкс
557,Gott::N,бог,шкай
558,Arbeiter::N,работник,трудендай
559,Arbeiter::N,работник,работник
560,Chef::N,шеф,азор
561,Chef::N,шеф,оцюня
562,Chef::N,началник,азор
563,Chef::N,началник,оцюня
564,Meister::N,майстор,мастяр
565,Arzt::N,лекар,врач
566,Arzt::N,лекар,доктор
567,Lehrer::N,учител,учи́тель
568,Geld::N,пари,ярмакт
569,Geschäft::N,сделка,ладяфкс
570,Geschäft::N,сделка,ладяф тев
571,Laden::N,дюкян,ла́вка
572,Laden::N,магазин,ла́вка
573,Preis::N,цена,питне
574,Ware::N,стока,миф
575,Ware::N,стока,ра́маф
576,Nutzen::N,полза,пара
577,Nutzen::N,полза,лезкс
578,Nutzen::N,облага,пара
579,Nutzen::N,облага,лезкс
580,Reichtum::N,богатство,ко́зяши
581,Welt::N,свят,свет
582,Land::N,страна,мастор
583,Staat::N,щат,государства
584,Staat::N,държава,государства
585,König::N,крал,король
586,Macht::N,мощ,азорондама
587,Macht::N,мощ,азорксши
588,Macht::N,власт,азорондама
589,Macht::N,власт,азорксши
590,Grenze::N,граница,ёткаян
591,Krieg::N,война,война́
592,Feind::N,враг,душман
593,Feind::N,враг,каршек тюри
594,Feind::N,неприятел,душман
595,Feind::N,неприятел,каршек тюри
596,Gewalt::N,сила,наругама
597,Gewalt::N,насилие,наругама
598,Kampf::N,борба,тюрема́
599,Kampf::N,сражение,тюрема́
600,Bogen[Waffe]::N,лък,нал
601,Pfeil::N,стрела,нал
602,Gewehr::N,пушка,винто́вка
603,Fehler::N,грешка,эльбядькс
604,Lüge::N,лъжа,васькафнема
605,Schaden::N,повреда,зия́н
606,Unglück::N,нещастие,зия́н
607,Schuld::N,вина,муворши
608,Alter::N,възраст,эряф кизот
609,Alter::N,възраст,эряфонь пинге
610,Schluss::N,край,пе
611,Zeit::N,време,пинге
612,Tag::N,ден,ши
613,Morgen::N,утро,шобдава
614,Morgen::N,сутрин,шобдава
615,Mittag::N,обед,шикучка
