,Concept_ID,he,no
229,Mutter::N,אם,mor
230,Sohn::N,בן,sønn
231,Tochter::N,בת,datter
232,Bruder::N,אח,bror
233,Schwester::N,אחות,søster
234,Onkel::N,דוד,onkel
235,Tante::N,דודה,tante
236,Ehemann::N,איש,ektemann
237,Ehemann::N,בעל,ektemann
238,Ehefrau::N,אשה,hustru
239,Freude::N,שמחה,glede
240,Gelächter::N,צחוק,latter
241,Glück::N,אשר,lykke
242,Kummer::N,יגון,sorg
243,Kummer::N,עגמה,sorg
244,Wunsch::N,אחול,ønske
245,Wunsch::N,משאלה,ønske
246,Lust::N,חשק,lyst
247,Lust::N,תשוקה,lyst
248,Geist::N,רוח,ånd
249,Gedanke::N,מחשבה,tanke
250,Gedächtnis::N,זכרון,minne
251,Gedächtnis::N,זכרון,hukommelse
252,Verstand::N,שכל,forstand
253,Sinn::N,מובן,mening
254,Sinn::N,מובן,betydning
255,Sinn::N,משמעות,mening
256,Sinn::N,משמעות,betydning
257,Grund::N,סבה,grunn
258,Wahrheit::N,אמת,sannhet
259,Gespräch::N,דיון,samtale
260,Märchen::N,אגדה,eventyr
261,Erzählung::N,ספור,fortelling
262,Nachricht::N,ידיעה,melding
263,Neuigkeit::N,חדשה,nyhet
264,Name::N,שם,navn
265,Rätsel::N,תעלומה,gåte
266,Rede::N,נאום,tale
267,Sprache::N,לשון,språk
268,Stimme::N,קול,stemme
269,Wort::N,מלה,ord
270,Zeichen::N,סימן,tegn
271,Ruf::N,קריאה,rop
272,Lärm::N,רעש,bråk
273,Laut::N,הגה,lyd
274,Ton::N,צליל,tone
275,Lied::N,שיר,vise
276,Ruhe::N,שלוה,ro
277,Leute::N,אנשים,folk
278,Volk::N,עם,folk
279,Arbeit::N,עבודה,arbeid
280,Gast::N,אורח,gjest
281,Geschenk::N,מתנה,gave
282,Spiel::N,משחק,lek
283,Spiel::N,משחק,spill
284,Gesellschaft::N,חברה,selskap
285,Hilfe::N,עזרה,hjelp
286,Freund::N,חבר,venn
287,Freund::N,ידיד,venn
288,Kamerad::N,רע,kamerat
289,Angelegenheit::N,ענין,sak
290,Angelegenheit::N,ענין,anliggende
291,Anzahl::N,מספר,antall
292,Art::N,סוג,art
293,Art::N,סוג,slag
294,Stück::N,חתיכה,stykke
295,Teil::N,פרק,del
296,Hälfte::N,חצי,halvdel
297,Kreis::N,מעגל,ring
298,Kreis::N,מעגל,sirkel
299,Kreuz::N,צלב,kors
300,Kreuz::N,צלב,kryss
301,Linie::N,קו,linje
302,Strich::N,קו קצר,strek
303,Abstand::N,מרחק,avstand
304,Entfernung::N,מרחק,avstand
305,Gegend::N,נוף,strøk
306,Platz::N,שטח,plass
307,Ort::N,אתר,sted
308,Ort::N,מקום,sted
309,Seite::N,צד,side
310,Mitte::N,אמצע,midte
311,Gegenstand::N,אוביקט,gjenstand
312,Sache::N,דבר,sak
313,Rand::N,פרור,rand
314,Kante::N,קצה,kant
315,Ecke::N,פנה,hjørne
316,Spitze::N,קצה,spiss
317,Ende::N,סוף,ende
318,Loch::N,חר,hull
319,Winkel::N,פנה,vinkel
320,Muster::N,תבנית,mønster
321,Größe::N,גדל,størrelse
322,Länge::N,ארך,lengde
323,Höhe::N,קומה,høyde
324,Höhe::N,גבה,høyde
325,Gewicht::N,משקל,vekt
326,Menge::N,כמות,mengde
327,Haufen::N,ערמה,haug
328,Haufen::N,ערמה,bunke
329,Reihe::N,רצף,rekke
330,Boot::N,סירה,båt
331,Ruder::N,משוט,åre
332,Schlitten::N,מזחלת,slede
333,Schlitten::N,מזחלת,kjelke
334,Ski::N,מגלשים,ski
335,Lagerfeuer::N,מדורה,leirbål
336,Last::N,משא,bør
337,Last::N,משא,last
338,Gang::N,הליכה,gang
339,Schritt::N,צעד,steg
340,Schritt::N,צעד,skritt
341,Norden::N,צפון,nord
342,Süden::N,דרום,sør
343,Westen::N,מערב,vest
344,Osten::N,מזרח,øst
345,Holz::N,עץ,tre
346,Brett::N,קרש,fjøl
347,Brett::N,קרש,brett
348,Platte::N,לוח,plate
349,Stütze::N,משען,støtte
350,Stange::N,מוט,stang
351,Stock::N,מקל,pinne
352,Stab::N,מוט,stav
353,Stab::N,מוט,kjepp
354,Rohr::N,צנור,rør
355,Haus::N,בית,hus
356,Heim::N,בית,hjem
357,Ofen::N,תנור,ovn
358,Fußboden::N,רצפה,gulv
359,Tisch::N,שלחן,bord
360,Stuhl::N,כסא,stol
361,Wiege::N,ערש,vogge
362,Bett::N,מטה,seng
363,Regal::N,מדף,reol
364,Regal::N,מדף,hylle
365,Kiste::N,תבה,kasse
366,Kiste::N,ארגז,kasse
367,Fenster::N,חלון,vindu
368,Tür::N,דלת,dør
369,Tor::N,שער,port
370,Zaun::N,גדר,gjerde
371,Dach::N,גג,tak
372,Leiter::N,סלם,stige
373,Besen::N,מטאטא,kost
374,Spaten::N,את,spade
375,Schaufel::N,את,skuffe
376,Gabel::N,מזלג,gaffel
377,Löffel::N,כף,skje
378,Messer::N,סכין,kniv
379,Nagel::N,מסמר,spiker
380,Netz::N,רשת,nett
381,Haken::N,וו,krok
382,Haken::N,קרס,krok
383,Griff::N,ידית,tak
384,Griff::N,ידית,håndtak
385,Schloss::N,מנעול,lås
386,Bild::N,תמונה,bilde
387,Figur::N,פסל,figur
388,Puppe::N,בבה,dukke
389,Beutel::N,שק,pose
390,Bündel::N,צרור,bylt
391,Tasche::N,שקית,veske
392,Eimer::N,דלי,bøtte
393,Deckel::N,מכסה,lokk
394,Geschirr::N,כלים,kjøkkentøy
395,Sack::N,שק,sekk
396,Tasse::N,ספל,kopp
397,Topf::N,סיר,gryte
398,Kessel::N,קנקן,kjele
399,Essen::N,אכל,mål
400,Essen::N,ארוחה,mål
401,Nahrung::N,הזנה,mat
402,Nahrung::N,הזנה,næring
403,Nahrung::N,תזונה,mat
404,Nahrung::N,תזונה,næring
405,Speise::N,מאכל,matrett
406,Speise::N,ארוחה,matrett
407,Fleisch::N,בשר,kjøtt
408,Getreide::N,דגן,korn
409,Brei::N,מחית,grøt
410,Brot::N,לחם,brød
411,Scheibe::N,עגול,skive
412,Scheibe::N,פרוסה,skive
413,Fett::N,שמן,fett
414,Butter::N,חמאה,smør
415,Öl::N,שמן,olje
416,Salz::N,מלח,salt
417,Suppe::N,מרק,suppe
418,Honig::N,דבש,honning
419,Milch::N,חלב,melk
420,Tee::N,תה,te
421,Leder::N,עור,lær
422,Leder::N,עור,skinn
423,Wolle::N,צמר,ull
424,Stoff::N,בד,tøy
425,Stoff::N,בד,stoff
426,Stoff::N,אריג,tøy
427,Stoff::N,אריג,stoff
428,Nadel::N,מחט,nål
429,Faden::N,חוט,tråd
430,Knopf::N,כפתור,knapp
431,Knoten::N,קשר,knute
432,Farbe::N,צבע,farge
433,Kleidung::N,בגדים,påkledning
434,Hemd::N,חלצה,skjorte
435,Kragen::N,צוארון,krage
436,Ärmel::N,שרוול,erme
437,Hose::N,מכנסים,bukse
438,Gürtel::N,חגורה,belte
439,Mütze::N,כובע,lue
440,Schuh::N,נעל,sko
441,Stiefel::N,מגף,støvel
442,Ring::N,טבעת,ring
443,Band::N,סרט,band
444,Kamm::N,מסרק,kam
445,Spiegel::N,מראה,speil
446,Riemen::N,רצועה,rem
447,Schnur::N,חבל,snor
448,Leine::N,מושכות,line
449,Decke::N,שמיכה,teppe
450,Kissen::N,כרית,pute
451,Tuch::N,צעיף,tøy
452,Handtuch::N,מגבת,håndkle
453,Kraft::N,כוח,kraft
454,Stärke::N,און,styrke
455,Gesundheit::N,בריאות,helse
456,Gesundheit::N,בריאות,sunnhet
457,Krankheit::N,מחלה,syke
458,Krankheit::N,מחלה,sykdom
459,Schmerz::N,כאב,smerte
460,Wunde::N,פציעה,sår
461,Fieber::N,חם,feber
462,Arznei::N,תרופה,medisin
463,Arznei::N,תרופה,legemiddel
464,Brücke::N,גשר,bro
465,Brunnen::N,באר,brønn
466,Weide::N,אחו,beite
467,Weide::N,מרעה,beite
468,Pfad::N,שביל,sti
469,Pfad::N,מדרכה,sti
470,Weg::N,דרך,vei
471,Straße::N,כביש,gate
472,Dorf::N,כפר,landsby
473,Stadt::N,עיר,by
474,Brief::N,מכתב,brev
475,Buch::N,ספר,bok
476,Buchstabe::N,אות,bokstav
477,Zeitung::N,עתון,avis
478,Leben::N,חיים,liv
479,Tod::N,מות,død
480,Grab::N,קבר,grav
481,Kirche::N,כנסיה,kirke
482,Sünde::N,חטא,synd
483,Gott::N,אל,gud
484,Arbeiter::N,פועל,arbeider
485,Chef::N,ראש,sjef
486,Chef::N,מנהל,sjef
487,Meister::N,ממחה,mester
488,Arzt::N,רופא,lege
489,Lehrer::N,מורה,lærer
490,Geld::N,כסף,penger
491,Geschäft::N,עסקה,forretning
492,Laden::N,חנות,butikk
493,Preis::N,מחיר,pris
494,Ware::N,סחורה,vare
495,Nutzen::N,תועלת,nytte
496,Reichtum::N,עשר,rikdom
497,Welt::N,עולם,verden
498,Land::N,ארץ,land
499,Staat::N,מדינה,stat
500,König::N,מלך,konge
501,Macht::N,כוח,makt
502,Grenze::N,גבול,grense
503,Krieg::N,מלחמה,krig
504,Feind::N,אויב,fiende
505,Gewalt::N,אלימות,vold
506,Kampf::N,קרב,kamp
507,Kampf::N,לחימה,kamp
508,Bogen[Waffe]::N,קשת,bue
509,Pfeil::N,חץ,pil
510,Gewehr::N,רובה,gevær
511,Fehler::N,טעות,feil
512,Lüge::N,שקר,løgn
513,Schaden::N,נזק,skade
514,Unglück::N,מזל רע,uhell
515,Schuld::N,אשמה,skyld
516,Alter::N,גיל,alder
517,Schluss::N,סיום,slutt
518,Zeit::N,זמן,tid
519,Tag::N,יום,dag
520,Morgen::N,בקר,morgen
521,Mittag::N,צהרים,middag
522,Abend::N,ערב,aften
523,Nacht::N,לילה,natt
524,Woche::N,שבוע,uke
525,Monat::N,חדש,måned
526,Jahr::N,שנה,år
527,Frühling::N,אביב,vår
528,Sommer::N,קיץ,sommer
529,Herbst::N,סתו,høst
530,Winter::N,חרף,vinter
531,Januar::N,ינואר,januar
532,Februar::N,פברואר,februar
533,März::N,מרץ,mars
534,April::N,אפריל,april
535,Mai::N,מאי,mai
536,Juni::N,יוני,juni
537,Juli::N,יולי,juli
538,August::N,אוגוסט,august
539,September::N,ספטמבר,september
540,Oktober::N,אוקטובר,oktober
541,November::N,נובמבר,november
542,Dezember::N,דצמבר,desember
543,Montag::N,יום שני,mandag
544,Dienstag::N,יום שלישי,tirsdag
545,Mittwoch::N,יום רביעי,onsdag
546,Donnerstag::N,יום חמישי,torsdag
547,Freitag::N,יום ששי,fredag
548,Samstag::N,יום שבת,lørdag
549,Sonntag::N,יום ראשון,søndag
550,groß::A,גדול,stor
551,klein::A,קטן,liten
552,lang::A,ארך,lang
553,kurz::A,קצר,kort
554,breit::A,רחב,bred
555,schmal::A,צר,smal
556,dicht::A,צפוף,tett
557,dick[Gegenstand]::A,עבה,tykk
558,dünn::A,דק,tynn
559,fein::A,מעדן,fin
560,fest::A,מוצק,fast
561,flach::A,שטוח,flat
562,glatt::A,חלק,glatt
563,hart::A,קשיח,hard
564,weich::A,רך,myk
565,weich::A,רך,bløt
566,rund::A,עגל,rund
567,spitz::A,חד,spiss
568,scharf::A,חד,kvass
569,stumpf::A,קהה,stubb
570,schwer::A,כבד,tung
571,schön::A,יפה,pen
572,schön::A,יפה,vakker
573,heiß::A,חם,het
574,warm::A,חם,varm
575,kalt::A,קר,kald
576,kühl::A,צונן,kjølig
577,frisch::A,טרי,fersk
578,feucht::A,לח,fuktig
579,nass::A,רטוב,våt
580,trocken::A,יבש,tørr
581,voll::A,מלא,full
582,leer::A,ריק,tom
583,offen::A,פתוח,åpen
584,geschlossen::A,סגור,lukket
585,sauber::A,נקי,ren
586,schmutzig::A,מלכלך,skitten
587,roh::A,חי,rå
588,reif::A,בשל,moden
589,lecker::A,טעים,lekker
590,süß::A,מתוק,søt
591,bitter::A,מר,besk
592,bitter::A,מר,bitter
593,sauer::A,חמוץ,sur
594,hell::A,בהיר,lys
595,dunkel::A,עמום,mørk
596,schwarz::A,שחר,svart
597,weiß::A,לבן,hvit
598,rot::A,אדם,rød
599,gelb::A,צהב,gul
600,blau::A,כחל,blå
601,grün::A,ירק,grønn
602,grau::A,אפר,grå
603,bunt::A,צבעוני,broket
604,billig::A,זול,billig
605,teuer::A,יקר,dyr
606,wertvoll::A,יקר ערך,verdifull
607,blind::A,עור,blind
608,taub::A,חרש,døv
609,kräftig::A,חסן,kraftig
610,stark::A,חזק,sterk
611,schwach::A,חלש,svak
612,fett::A,שמן,fet
613,schlank::A,רזה,slank
614,hübsch::A,יפה תאר,pen
615,böse::A,רשע,slem
616,dumm::A,טפש,dum
617,faul::A,עצלן,lat
618,faul::A,עצלן,doven
619,fleißig::A,חרוץ,flittig
620,geizig::A,קמצן,gjerrig
621,klug::A,נבון,klok
622,klug::A,פקח,klok
623,geschickt::A,מימן,hendig
624,geschickt::A,מימן,skikket
625,lieb::A,יקר,kjær
626,lieb::A,יקר,snill
627,lieb::A,אהוב,kjær
628,lieb::A,אהוב,snill
629,lustig::A,עליז,morsom
630,sanft::A,עדין,blid
631,hungrig::A,רעב,sulten
632,krank::A,חולה,syk
633,nackt::A,ערום,naken
634,traurig::A,עצוב,sørgmodig
635,lebendig::A,חי,levende
636,gut::A,טוב,god
637,schlecht::A,גרוע,dårlig
638,richtig::A,נכון,riktig
639,schlimm::A,רע,slem
640,wahr::A,אמתי,sann
641,alt::A,ישן,gammel
642,neu::A,חדש,ny
643,ehemalig::A,לשעבר,forhenværende
644,alt[Lebewesen]::A,זקן,gammel
645,jung::A,צעיר,ung
646,arm::A,עני,fattig
647,reich::A,עשיר,rik
648,bekannt::A,ידוע,kjent
649,berühmt::A,מפרסם,berømt
650,fremd::A,זר,fremmed
651,verschieden::A,שונה,forskjellig
652,nah::A,קרוב,nær
653,fern::A,רחוק,fjern
654,linker::A,שמאלי,venstre
655,rechter::A,ימין,høyre
656,anderer::A,אחר,annen
657,erster::A,ראשון,første
658,zweiter::A,שני,annen
659,dritter::A,שלישי,tredje
660,letzter::A,אחרון,sist
661,allein::ADV,לבד,alene
662,auf einmal::ADV,בו-זמנית,med ett
663,zusammen::ADV,ביחד,sammen
664,lange::ADV,הרבה זמן,lenge
665,plötzlich::ADV,לפתע,plutselig
666,plötzlich::ADV,פתאום,plutselig
667,sofort::ADV,מיד,straks
668,später::ADV,לאחר זמן,senere
669,später::ADV,יותר מאחר,senere
670,jetzt::ADV,עכשיו,nå
671,heute::ADV,היום,i dag
672,morgen::ADV,מחר,i morgen
673,bald::ADV,בקרוב,snart
674,dann::ADV,אחר-כך,så
675,gestern::ADV,אתמול,i går
676,einst::ADV,לפנים,engang
677,damals::ADV,אז,den gang
678,danach::ADV,אחר-כך,deretter
679,vorher::ADV,לפני זה,før
680,vorher::ADV,לפני זה,i forveien
681,zuerst::ADV,קדם,først
682,einmal::ADV,פעם,en gang
683,manchmal::ADV,לפעמים,somme tider
684,oft::ADV,לעתים קרובות,ofte
685,immer::ADV,תמיד,alltid
686,niemals::ADV,אף פעם,aldri
687,hier::ADV,כאן,her
688,hierhin::ADV,פה,hit
689,von hier::ADV,מפה,herfra
690,dort::ADV,שם,der
691,dorthin::ADV,שם,dit
692,geradeaus::ADV,ישר,rett fram
693,vorwärts::ADV,קדימה,fram
694,vorwärts::ADV,קדימה,framover
695,rückwärts::ADV,לאחור,baklengs
696,zurück::ADV,בחזרה,tilbake
697,zurück::ADV,אחורנית,tilbake
698,unten::ADV,למטה,nede
699,hinab::ADV,למטה,ned
700,hinab::ADV,למטה,nedover
701,oben::ADV,מעל,oppe
702,oben::ADV,מעל,ovenpå
703,oben::ADV,למעלה,oppe
704,oben::ADV,למעלה,ovenpå
705,hinauf::ADV,למעלה,opp
706,hinauf::ADV,למעלה,oppover
707,überall::ADV,בכל מקום,overalt
708,nicht::ADV,לא,ikke
709,ein wenig::ADV,קצת,litt
710,kaum::ADV,בקשי,neppe
711,sehr::ADV,מאוד,svært
712,so::ADV,כך,så
713,so::ADV,ככה,så
714,noch::ADV,עוד,enda
715,noch::ADV,עדין,enda
716,nur::ADV,רק,bare
717,schon::ADV,כבר,alt
718,schon::ADV,כבר,allerede
719,wieder::ADV,שוב,igjen
720,vergebens::ADV,לריק,forgjeves
721,vergebens::ADV,לשוא,forgjeves
722,vor::PRP,מול,foran
723,vor::PRP,מול,utenfor
724,hinter::PRP,מאחורי,bak
725,hinter::PRP,מאחורי,bakom
726,unter::PRP,מתחת,under
727,durch::PRP,דרך,gjennom
728,durch::PRP,דרך,igjennom
729,neben::PRP,ליד,ved siden av
730,neben::PRP,על-יד,ved siden av
731,zwischen::PRP,בין,mellom
732,wegen::PRP,בשל,på grunn av
733,wegen::PRP,בגלל,på grunn av
734,dies::PRN,זה,dette
735,das::PRN,זה,det
736,alles::PRN,הכל,alt
737,ich::PRN,אני,jeg
738,du::PRN,את,du
739,du::PRN,אתה,du
740,er::PRN,הוא,han
741,wir::PRN,אנחנו,vi
742,ihr::PRN,לה,dere
743,sie::PRN,הם,de
744,was::FPRN,מה,hva
745,wer::FPRN,מי,hvem
746,wo::FADV,איפה,hvor
747,wohin::FADV,לאן,hvor ... hen
748,wie::FADV,איך,hvordan
749,warum::FADV,למה,hvorfor
750,wieviel::FNUM,כמה,hvor mye
751,eins::NUM,אחד,en
752,eins::NUM,אחד,ett
753,zwei::NUM,שתים,to
754,drei::NUM,שלושה,tre
755,vier::NUM,ארבעה,fire
756,fünf::NUM,חמשה,fem
757,sechs::NUM,ששה,seks
758,sieben::NUM,שבעה,sju
759,acht::NUM,שמונה,åtte
760,neun::NUM,תשעה,ni
761,zehn::NUM,עשרה,ti
762,elf::NUM,אחת עשרה,elleve
763,zwölf::NUM,שתים עשרה,tolv
764,zwanzig::NUM,עשרים,tjue
765,dreißig::NUM,שלושים,tretti
766,vierzig::NUM,ארבעים,førti
767,fünfzig::NUM,חמשים,femti
768,sechzig::NUM,ששים,seksti
769,siebzig::NUM,שבעים,sytti
770,achtzig::NUM,שמונים,åtti
771,neunzig::NUM,תשעים,nitti
772,hundert::NUM,מאה,hundre
773,tausend::NUM,אלף,tusen
774,und::CNJ,ו,og
775,oder::CNJ,או,eller
776,stehen::V,עמד,stå
777,sitzen::V,ישב,sitte
778,liegen::V,שכב,ligge
779,hängen::V,היה תלוי,henge
780,werden::V,הפך ל,bli
781,passieren::V,קרה,skje
782,passieren::V,קרה,hende
783,beginnen::V,התחיל,begynne
784,enden::V,הסתים,ende
785,enden::V,הסתים,slutte
786,wechseln::V,השתנה,veksle
787,aufgehen[Sonne]::V,זרח,stå opp
788,untergehen[Sonne]::V,שקע,gå ned
789,scheinen[Sonne]::V,בהק,skinne
790,donnern::V,רעם,tordne
791,wehen::V,נשב,blåse
792,strömen::V,זרם,strømme
793,fließen::V,זרם,flyte
794,sich drehen::V,הסתובב,dreie seg
795,schwanken::V,התנודד,svaie
796,schwingen::V,התנענע,svinge
797,fallen::V,נפל,falle
798,brennen::V,בער,brenne
799,rauchen::V,עשן,ryke
800,regnen::V,ירד גשם,regne
801,gefrieren::V,קפא,fryse
802,tauen::V,נמס,tine
803,schmelzen::V,התיך,smelte
804,trocknen::V,התיבש,tørre
805,sieden::V,רתח,koke
806,faulen::V,רקב,råtne
807,verfaulen::V,רקב,råtne
808,reißen::V,נקרע,briste
809,versinken::V,טבע,synke
810,versinken::V,טבע,synke ned
811,vergehen::V,עבר,forløpe
812,erscheinen::V,נגלה,synes
813,erscheinen::V,הופיע,synes
814,verschwinden::V,נעלם,forsvinne
815,sinken::V,ירד,synke
816,abnehmen::V,הפחית,avta
817,abnehmen::V,הפחית,minske
818,zunehmen::V,רבה,tilta
819,steigen::V,עלה,stige
820,wachsen::V,גדל,gro
821,wachsen::V,גדל,vokse
822,glänzen::V,נצץ,skinne
823,glänzen::V,בהק,skinne
824,funkeln::V,נצנץ,tindre
825,lärmen::V,רעש,bråke
826,läuten::V,צלצל,ringe
827,klingeln::V,צלצל,ringe
828,klirren::V,קרקש,klirre
829,brausen::V,געש,bruse
