,Concept_ID,no,ja
95,Schaum::N,skum,泡
96,Schmutz::N,søl,汚れ
97,Schmutz::N,skitt,汚れ
98,See::N,sjø,湖
99,Sumpf::N,sump,沼
100,Sumpf::N,myrlende,沼
101,Moor::N,myr,湿原
102,Moor::N,myrhei,湿原
103,Wiese::N,eng,草原
104,Wald::N,skog,森
105,Hügel::N,haug,丘
106,Hügel::N,bakke,丘
107,Anhöhe::N,haug,高み
108,Anhöhe::N,bakke,高み
109,Berg::N,berg,山
110,Berg::N,fjell,山
111,Gipfel::N,topp,頂上
112,Höhle::N,hule,洞窟
113,Abhang::N,li,斜面
114,Abhang::N,skråning,斜面
115,Quelle::N,kilde,泉
116,Bach::N,bekk,小川
117,Fluss::N,elv,川
118,Ufer::N,bredd,岸
119,Küste::N,kyst,海岸
120,Festland::N,fastland,陸
121,Meer::N,hav,海
122,Bucht::N,bukt,湾
123,Insel::N,øy,島
124,Blume::N,blomst,花
125,Gras::N,gress,草
126,Wurzel::N,rot,根
127,Baum::N,tre,木
128,Stamm::N,stamme,幹
129,Rinde::N,bark,皮層
130,Ast::N,gren,枝
131,Zweig::N,kvist,小枝
132,Blatt::N,blad,葉
133,Birke::N,bjørk,樺
134,Kiefer[Baum]::N,furu,松
135,Weide[Baum]::N,selje,柳
136,Weide[Baum]::N,piletre,柳
137,Tanne::N,gran,樅
138,Horn::N,horn,角
139,Feder::N,fjær,羽根
140,Fell::N,skinn,毛皮
141,Flügel::N,vinge,羽
142,Klaue::N,klauv,鉤爪
143,Kralle::N,klo,爪
144,Schwanz::N,hale,尻尾
145,Ei::N,egg,卵
146,Nest::N,rede,巣
147,Bau::N,hi,穴
148,Tier::N,dyr,動物
149,Herde::N,flokk,群れ
150,Kuh::N,ku,牛
151,Bulle::N,tyr,雄牛
152,Pferd::N,hest,馬
153,Schaf::N,får,羊
154,Schwein::N,gris,豚
155,Hund::N,hund,犬
156,Katze::N,katt,猫
157,Bär::N,bjørn,熊
158,Eichhörnchen::N,ekorn,栗鼠
159,Elch::N,elg,ヘラジカ
160,Fuchs::N,rev,狐
161,Hase::N,hare,兎
162,Maus::N,mus,鼠
163,Wolf::N,ulv,狼
164,Wolf::N,varg,狼
165,Vogel::N,fugl,鳥
166,Schwarm::N,sverm,群れ
167,Huhn::N,høne,鶏
168,Hahn::N,hane,雄鶏
169,Gans::N,gås,ガチョウ
170,Adler::N,ørn,鷲
171,Ente::N,and,鴨
172,Eule::N,ugle,フクロウ
173,Kranich::N,trane,鶴
174,Krähe::N,kråke,烏
175,Kuckuck::N,gjøk,郭公
176,Schwan::N,svane,白鳥
177,Fisch::N,fisk,魚
178,Barsch::N,abbor,鱸
179,Hecht::N,gjedde,川魳
180,Schlange[Tier]::N,orm,蛇
181,Schlange[Tier]::N,slange,蛇
182,Wurm::N,orm,虫
183,Wurm::N,mark,虫
184,Spinne::N,edderkopp,蜘蛛
185,Ameise::N,maur,蟻
186,Laus::N,lus,虱
187,Mücke::N,mygg,蚊
188,Fliege::N,flue,蝿
189,Schmetterling::N,sommerfugl,蝶
190,Beere::N,bær,漿果
191,Apfel::N,eple,林檎
192,Pilz::N,sopp,茸
193,Zwiebel::N,løk,玉葱
194,Saat::N,sæd,種
195,Korn::N,korn,粒
196,Heu::N,høy,干し草
197,Schale::N,skall,皮
198,Grube::N,grop,穴
199,Falle::N,felle,わな
200,Schlinge::N,snare,輪
201,Spur::N,spor,跡
202,Asche::N,aske,灰
203,Dreck::N,møkk,泥
204,Dreck::N,skitt,泥
205,Eisen::N,jern,鉄
206,Gold::N,gull,金
207,Silber::N,sølv,銀
208,Kohle::N,kol,炭
209,Kohle::N,kull,炭
210,Glas::N,glass,ガラス
211,Lehm::N,leire,ローム
212,Sand::N,sand,砂
213,Mensch::N,menneske,人
214,Mann::N,mann,男
215,Mann::N,mann,男性
216,Frau::N,kvinne,女
217,Frau::N,kvinne,女性
218,Kind::N,barn,子
219,Kind::N,barn,子供
220,Junge::N,gutt,男の子
221,Mädchen::N,pike,女の子
222,Mädchen::N,jente,女の子
223,Familie::N,familie,家族
224,Großvater::N,bestefar,祖父
225,Großvater::N,bestefar,おじいさん
226,Großmutter::N,bestemor,祖母
227,Großmutter::N,bestemor,おばあさん
228,Eltern::N,foreldre,親
229,Eltern::N,foreldre,両親
230,Vater::N,far,父
231,Vater::N,far,お父さん
232,Mutter::N,mor,母
233,Mutter::N,mor,お母さん
234,Sohn::N,sønn,息子
235,Sohn::N,sønn,息子さん
236,Tochter::N,datter,娘
237,Tochter::N,datter,お嬢さん
238,Bruder::N,bror,弟
239,Schwester::N,søster,妹
240,Onkel::N,onkel,伯父
241,Onkel::N,onkel,伯父さん
242,Tante::N,tante,叔母
243,Tante::N,tante,叔母さん
244,Ehemann::N,ektemann,夫
245,Ehemann::N,ektemann,主人
246,Ehefrau::N,hustru,妻
247,Ehefrau::N,hustru,奥さん
248,Freude::N,glede,喜び
249,Gelächter::N,latter,笑い
250,Glück::N,lykke,幸せ
251,Kummer::N,sorg,悩み
252,Wunsch::N,ønske,希望
253,Lust::N,lyst,気
254,Geist::N,ånd,精神
255,Gedanke::N,tanke,考え
256,Gedächtnis::N,minne,記憶
257,Gedächtnis::N,hukommelse,記憶
258,Verstand::N,forstand,理解力
259,Sinn::N,mening,意味
260,Sinn::N,betydning,意味
261,Grund::N,grunn,理由
262,Wahrheit::N,sannhet,真実
263,Gespräch::N,samtale,会話
264,Märchen::N,eventyr,童話
265,Erzählung::N,fortelling,物語
266,Nachricht::N,melding,報告
267,Neuigkeit::N,nyhet,ニュース
268,Name::N,navn,名前
269,Rätsel::N,gåte,謎
270,Rede::N,tale,演説
271,Sprache::N,språk,言語
272,Stimme::N,stemme,声
273,Wort::N,ord,言葉
274,Zeichen::N,tegn,記号
275,Ruf::N,rop,呼び声
276,Lärm::N,bråk,騒音
277,Laut::N,lyd,音
278,Ton::N,tone,音
279,Lied::N,vise,歌
280,Ruhe::N,ro,静けさ
281,Leute::N,folk,人々
282,Volk::N,folk,民族
283,Arbeit::N,arbeid,仕事
284,Gast::N,gjest,客
285,Geschenk::N,gave,贈り物
286,Spiel::N,lek,遊び
287,Spiel::N,spill,遊び
288,Gesellschaft::N,selskap,社会
289,Hilfe::N,hjelp,援助
290,Freund::N,venn,友達
291,Kamerad::N,kamerat,同志
292,Angelegenheit::N,sak,件
293,Angelegenheit::N,anliggende,件
294,Anzahl::N,antall,数
295,Art::N,art,種類
296,Art::N,slag,種類
297,Stück::N,stykke,部分
298,Teil::N,del,部分
299,Hälfte::N,halvdel,半分
300,Kreis::N,ring,円
301,Kreis::N,sirkel,円
302,Kreuz::N,kors,十字
303,Kreuz::N,kryss,十字
304,Linie::N,linje,線
305,Strich::N,strek,線
306,Abstand::N,avstand,距離
307,Entfernung::N,avstand,距離
308,Gegend::N,strøk,辺
309,Gegend::N,strøk,地域
310,Platz::N,plass,ゆとり
311,Ort::N,sted,所
312,Ort::N,sted,場所
313,Seite::N,side,横
314,Mitte::N,midte,真ん中
315,Gegenstand::N,gjenstand,物件
316,Sache::N,sak,物
317,Rand::N,rand,端
318,Kante::N,kant,縁
319,Ecke::N,hjørne,角
320,Spitze::N,spiss,先頭
321,Ende::N,ende,端
322,Loch::N,hull,穴
323,Winkel::N,vinkel,片隅
324,Muster::N,mønster,模様
325,Größe::N,størrelse,大きさ
326,Länge::N,lengde,長さ
327,Höhe::N,høyde,高さ
328,Gewicht::N,vekt,重さ
329,Menge::N,mengde,量
330,Haufen::N,haug,堆積
331,Haufen::N,bunke,堆積
332,Reihe::N,rekke,並び
333,Boot::N,båt,ボート
334,Ruder::N,åre,オール
335,Schlitten::N,slede,そり
336,Schlitten::N,kjelke,そり
337,Ski::N,ski,スキー
338,Lagerfeuer::N,leirbål,篝火
339,Last::N,bør,荷物
340,Last::N,last,荷物
341,Gang::N,gang,歩み
342,Schritt::N,steg,歩
343,Schritt::N,skritt,歩
344,Norden::N,nord,北
345,Süden::N,sør,南
346,Westen::N,vest,西
347,Osten::N,øst,東
348,Holz::N,tre,木
349,Holz::N,tre,木材
350,Brett::N,fjøl,板
351,Brett::N,brett,板
352,Platte::N,plate,盤
353,Stütze::N,støtte,支柱
354,Stange::N,stang,棒
355,Stock::N,pinne,杖
356,Stab::N,stav,棒
357,Stab::N,kjepp,棒
358,Rohr::N,rør,管
359,Haus::N,hus,家
360,Heim::N,hjem,家
361,Ofen::N,ovn,ストーブ
362,Fußboden::N,gulv,床
363,Tisch::N,bord,机
364,Stuhl::N,stol,椅子
365,Wiege::N,vogge,揺籃
366,Bett::N,seng,ベッド
367,Regal::N,reol,棚
368,Regal::N,hylle,棚
369,Kiste::N,kasse,箱
370,Fenster::N,vindu,窓
371,Tür::N,dør,戸
372,Tür::N,dør,ドア
373,Tor::N,port,門
374,Zaun::N,gjerde,垣根
375,Dach::N,tak,屋根
376,Leiter::N,stige,梯子
377,Besen::N,kost,ほうき
378,Spaten::N,spade,スコップ
379,Schaufel::N,skuffe,シャベル
380,Gabel::N,gaffel,フォーク
381,Löffel::N,skje,スプーン
382,Messer::N,kniv,ナイフ
383,Nagel::N,spiker,釘
384,Netz::N,nett,網
385,Haken::N,krok,鉤
386,Haken::N,krok,フック
387,Griff::N,tak,取っ手
388,Griff::N,håndtak,取っ手
389,Schloss::N,lås,錠
390,Bild::N,bilde,絵
391,Figur::N,figur,像
392,Puppe::N,dukke,人形
393,Beutel::N,pose,袋
394,Bündel::N,bylt,束
395,Bündel::N,bylt,包み
396,Tasche::N,veske,かばん
397,Eimer::N,bøtte,バケツ
398,Deckel::N,lokk,蓋
399,Geschirr::N,kjøkkentøy,食器
400,Sack::N,sekk,袋
401,Tasse::N,kopp,カップ
402,Topf::N,gryte,鍋
403,Kessel::N,kjele,釜
404,Essen::N,mål,食事
405,Nahrung::N,mat,食物
406,Nahrung::N,næring,食物
407,Speise::N,matrett,料理
408,Fleisch::N,kjøtt,肉
409,Getreide::N,korn,麦
410,Getreide::N,korn,穀物
411,Brei::N,grøt,粥
412,Brot::N,brød,パン
413,Scheibe::N,skive,枚
414,Scheibe::N,skive,切れ
415,Fett::N,fett,脂肪
416,Butter::N,smør,バター
417,Öl::N,olje,油
418,Salz::N,salt,塩
419,Suppe::N,suppe,スープ
420,Honig::N,honning,蜂蜜
421,Milch::N,melk,牛乳
422,Tee::N,te,茶
423,Tee::N,te,お茶
424,Leder::N,lær,革
425,Leder::N,skinn,革
426,Wolle::N,ull,毛糸
427,Stoff::N,tøy,布
428,Stoff::N,stoff,布
429,Nadel::N,nål,針
430,Faden::N,tråd,糸
431,Knopf::N,knapp,ボタン
432,Knoten::N,knute,結び目
433,Farbe::N,farge,ペンキ
434,Kleidung::N,påkledning,衣服
435,Hemd::N,skjorte,シャツ
436,Kragen::N,krage,襟
437,Ärmel::N,erme,袖
438,Hose::N,bukse,ズボン
439,Gürtel::N,belte,帯
440,Gürtel::N,belte,ベルト
441,Mütze::N,lue,帽子
442,Schuh::N,sko,靴
443,Stiefel::N,støvel,ブーツ
444,Ring::N,ring,輪
445,Band::N,band,リボン
446,Kamm::N,kam,櫛
447,Spiegel::N,speil,鏡
448,Riemen::N,rem,緒
449,Schnur::N,snor,紐
450,Leine::N,line,綱
451,Decke::N,teppe,掛け布団
452,Kissen::N,pute,枕
453,Tuch::N,tøy,スカーフ
454,Handtuch::N,håndkle,タオル
455,Kraft::N,kraft,力
456,Stärke::N,styrke,強さ
457,Gesundheit::N,helse,健康
458,Gesundheit::N,sunnhet,健康
459,Krankheit::N,syke,病気
460,Krankheit::N,sykdom,病気
461,Schmerz::N,smerte,痛み
462,Wunde::N,sår,傷
463,Fieber::N,feber,熱
464,Arznei::N,medisin,薬
465,Arznei::N,legemiddel,薬
466,Brücke::N,bro,橋
467,Brunnen::N,brønn,井戸
468,Weide::N,beite,牧場
469,Pfad::N,sti,小路
470,Weg::N,vei,道
471,Straße::N,gate,街道
472,Dorf::N,landsby,村
473,Stadt::N,by,町
474,Stadt::N,by,都市
475,Brief::N,brev,手紙
476,Buch::N,bok,本
477,Buchstabe::N,bokstav,文字
478,Zeitung::N,avis,新聞
479,Leben::N,liv,生活
480,Tod::N,død,死
481,Grab::N,grav,墓
482,Kirche::N,kirke,教会
483,Sünde::N,synd,罪
484,Gott::N,gud,神
485,Arbeiter::N,arbeider,労働者
486,Chef::N,sjef,上司
487,Meister::N,mester,達人
488,Meister::N,mester,マイスター
489,Arzt::N,lege,医者
490,Lehrer::N,lærer,先生
491,Geld::N,penger,金
492,Geschäft::N,forretning,取り引き
493,Laden::N,butikk,店
494,Preis::N,pris,値段
495,Ware::N,vare,商品
496,Nutzen::N,nytte,利益
497,Reichtum::N,rikdom,豊かさ
498,Welt::N,verden,世界
499,Land::N,land,国
500,Staat::N,stat,国家
501,König::N,konge,国王
502,Macht::N,makt,権力
503,Grenze::N,grense,国境
504,Krieg::N,krig,戦争
505,Feind::N,fiende,敵
506,Gewalt::N,vold,暴力
507,Kampf::N,kamp,戦い
508,Bogen[Waffe]::N,bue,弓
509,Pfeil::N,pil,矢
510,Gewehr::N,gevær,銃
511,Fehler::N,feil,間違い
512,Lüge::N,løgn,嘘
513,Schaden::N,skade,損害
514,Unglück::N,uhell,不幸
515,Schuld::N,skyld,罪
516,Alter::N,alder,年
517,Alter::N,alder,年齢
518,Schluss::N,slutt,終わり
519,Zeit::N,tid,時
520,Zeit::N,tid,時間
521,Tag::N,dag,日
522,Morgen::N,morgen,朝
523,Mittag::N,middag,昼
524,Abend::N,aften,晩
525,Abend::N,aften,夕方
526,Nacht::N,natt,夜
527,Woche::N,uke,週
528,Monat::N,måned,月
529,Jahr::N,år,年
530,Frühling::N,vår,春
531,Sommer::N,sommer,夏
532,Herbst::N,høst,秋
533,Winter::N,vinter,冬
534,Januar::N,januar,一月
535,Februar::N,februar,二月
536,März::N,mars,三月
537,April::N,april,四月
538,Mai::N,mai,五月
539,Juni::N,juni,六月
540,Juli::N,juli,七月
541,August::N,august,八月
542,September::N,september,九月
543,Oktober::N,oktober,十月
544,November::N,november,十一月
545,Dezember::N,desember,十二月
546,Montag::N,mandag,月曜日
547,Dienstag::N,tirsdag,火曜日
548,Mittwoch::N,onsdag,水曜日
549,Donnerstag::N,torsdag,木曜日
550,Freitag::N,fredag,金曜日
551,Samstag::N,lørdag,土曜日
552,Sonntag::N,søndag,日曜日
553,groß::A,stor,大きい
554,klein::A,liten,小さい
555,lang::A,lang,長い
556,kurz::A,kort,短い
557,breit::A,bred,広い
558,schmal::A,smal,狭い
559,dicht::A,tett,密な
560,dick[Gegenstand]::A,tykk,厚い
561,dünn::A,tynn,薄い
562,fein::A,fin,細い
563,fest::A,fast,硬い
564,flach::A,flat,平らな
565,glatt::A,glatt,滑らかな
566,hart::A,hard,堅い
567,weich::A,myk,柔らかい
568,weich::A,bløt,柔らかい
569,rund::A,rund,丸い
570,spitz::A,spiss,尖った
571,scharf::A,kvass,鋭い
572,stumpf::A,stubb,鈍い
573,schwer::A,tung,重い
574,schön::A,pen,綺麗な
575,schön::A,vakker,綺麗な
576,heiß::A,het,熱い
577,warm::A,varm,温かい
578,kalt::A,kald,寒い
579,kalt::A,kald,冷たい
580,kühl::A,kjølig,涼しい
581,frisch::A,fersk,ひんやりした
582,feucht::A,fuktig,湿った
583,nass::A,våt,濡れた
584,trocken::A,tørr,乾いた
585,voll::A,full,いっぱいの
586,leer::A,tom,空の
587,offen::A,åpen,開いた
588,geschlossen::A,lukket,閉まった
589,sauber::A,ren,清潔な
590,schmutzig::A,skitten,汚い
591,roh::A,rå,生の
592,reif::A,moden,熟した
593,lecker::A,lekker,美味しい
594,süß::A,søt,甘い
595,bitter::A,besk,苦い
596,bitter::A,bitter,苦い
597,sauer::A,sur,酸っぱい
598,hell::A,lys,明るい
599,dunkel::A,mørk,暗い
600,schwarz::A,svart,黒い
601,weiß::A,hvit,白い
602,rot::A,rød,赤い
603,gelb::A,gul,黄色い
604,blau::A,blå,青い
605,grün::A,grønn,緑の
606,grau::A,grå,灰色の
607,bunt::A,broket,色取り取りの
608,billig::A,billig,安い
609,teuer::A,dyr,高い
610,wertvoll::A,verdifull,貴重な
611,blind::A,blind,盲目の
612,taub::A,døv,耳が聞こえない
613,kräftig::A,kraftig,強力な
614,stark::A,sterk,強い
615,schwach::A,svak,弱い
616,fett::A,fet,太った
617,schlank::A,slank,ほっそりした
618,hübsch::A,pen,素敵な
619,böse::A,slem,悪い
620,dumm::A,dum,馬鹿な
621,faul::A,lat,怠惰な
622,faul::A,doven,怠惰な
623,fleißig::A,flittig,勤勉な
624,geizig::A,gjerrig,けちな
625,klug::A,klok,賢い
626,klug::A,klok,頭のいい
627,geschickt::A,hendig,器用な
628,geschickt::A,skikket,器用な
629,lieb::A,kjær,愛らしい
630,lieb::A,snill,愛らしい
631,lustig::A,morsom,楽しい
632,sanft::A,blid,温和な
633,hungrig::A,sulten,空腹の
634,krank::A,syk,病気の
635,nackt::A,naken,裸の
636,traurig::A,sørgmodig,悲しい
637,lebendig::A,levende,生きた
638,gut::A,god,良い
639,schlecht::A,dårlig,悪い
640,schlecht::A,dårlig,駄目な
641,richtig::A,riktig,正しい
642,schlimm::A,slem,ひどい
643,wahr::A,sann,本当の
644,alt::A,gammel,古い
645,neu::A,ny,新しい
646,ehemalig::A,forhenværende,以前の
647,alt[Lebewesen]::A,gammel,年を取った
648,jung::A,ung,若い
649,arm::A,fattig,貧乏な
650,reich::A,rik,裕福な
651,bekannt::A,kjent,有名な
652,berühmt::A,berømt,有名な
653,fremd::A,fremmed,見知らぬ
654,verschieden::A,forskjellig,色々な
655,nah::A,nær,近い
656,fern::A,fjern,遠い
657,linker::A,venstre,左の
658,rechter::A,høyre,右の
659,anderer::A,annen,別の
660,erster::A,første,一番目
661,zweiter::A,annen,二番目
662,dritter::A,tredje,三番目
663,letzter::A,sist,最後の
664,allein::ADV,alene,一人で
665,auf einmal::ADV,med ett,同時に
666,zusammen::ADV,sammen,一緒に
667,lange::ADV,lenge,長い間
668,plötzlich::ADV,plutselig,急に
669,sofort::ADV,straks,すぐに
670,später::ADV,senere,後で
671,jetzt::ADV,nå,今
672,heute::ADV,i dag,今日
673,morgen::ADV,i morgen,明日
674,bald::ADV,snart,間もなく
675,dann::ADV,så,それから
676,gestern::ADV,i går,昨日
677,einst::ADV,engang,過去に
678,damals::ADV,den gang,あの時
679,danach::ADV,deretter,その後で
680,vorher::ADV,før,以前に
681,vorher::ADV,i forveien,以前に
682,zuerst::ADV,først,まず
683,zuerst::ADV,først,最初に
684,einmal::ADV,en gang,一回
685,manchmal::ADV,somme tider,時々
686,oft::ADV,ofte,よく
687,immer::ADV,alltid,いつも
688,niemals::ADV,aldri,一度も...ない
689,hier::ADV,her,こちら
690,hierhin::ADV,hit,ここへ
691,hierhin::ADV,hit,こちらへ
692,von hier::ADV,herfra,ここから
693,dort::ADV,der,そちら
694,dorthin::ADV,dit,そこへ
695,dorthin::ADV,dit,そちらへ
696,geradeaus::ADV,rett fram,真っ直ぐに
697,vorwärts::ADV,fram,前へ
698,vorwärts::ADV,framover,前へ
699,rückwärts::ADV,baklengs,後ろへ
700,zurück::ADV,tilbake,後ろへ
701,unten::ADV,nede,下に
702,hinab::ADV,ned,下へ
703,hinab::ADV,nedover,下へ
704,oben::ADV,oppe,上に
705,oben::ADV,ovenpå,上に
706,hinauf::ADV,opp,上へ
707,hinauf::ADV,oppover,上へ
708,überall::ADV,overalt,どこでも
709,nicht::ADV,ikke,ない
710,ein wenig::ADV,litt,少し
711,ein wenig::ADV,litt,ちょっと
712,kaum::ADV,neppe,ほとんど～ない
713,sehr::ADV,svært,とても
714,so::ADV,så,こう
715,noch::ADV,enda,まだ
716,nur::ADV,bare,～だけ
717,schon::ADV,alt,もう
718,schon::ADV,allerede,もう
719,wieder::ADV,igjen,再び
720,vergebens::ADV,forgjeves,無駄に
721,vor::PRP,foran,前に
722,vor::PRP,utenfor,前に
723,hinter::PRP,bak,後ろに
724,hinter::PRP,bakom,後ろに
725,unter::PRP,under,下に
726,durch::PRP,gjennom,通して
727,durch::PRP,igjennom,通して
728,neben::PRP,ved siden av,横に
729,zwischen::PRP,mellom,間に
730,wegen::PRP,på grunn av,為に
731,wegen::PRP,på grunn av,せいで
732,dies::PRN,dette,これ
733,das::PRN,det,それ
734,alles::PRN,alt,全部
735,ich::PRN,jeg,私
736,du::PRN,du,あなた
737,er::PRN,han,彼
738,wir::PRN,vi,私達
739,ihr::PRN,dere,あなた達
740,sie::PRN,de,彼ら
741,was::FPRN,hva,何
742,wer::FPRN,hvem,誰
743,wer::FPRN,hvem,どなた
744,wo::FADV,hvor,どこ
745,wo::FADV,hvor,どこに
746,wohin::FADV,hvor ... hen,どこへ
747,wie::FADV,hvordan,どう
748,warum::FADV,hvorfor,何故
749,warum::FADV,hvorfor,どうして
750,wieviel::FNUM,hvor mye,どのくらい
751,eins::NUM,en,一
752,eins::NUM,ett,一
753,zwei::NUM,to,二
754,zwei::NUM,to,二つ
755,drei::NUM,tre,三
756,drei::NUM,tre,三つ
757,vier::NUM,fire,四
758,vier::NUM,fire,四つ
759,fünf::NUM,fem,五
760,fünf::NUM,fem,五つ
761,sechs::NUM,seks,六
762,sechs::NUM,seks,六つ
763,sieben::NUM,sju,七
764,sieben::NUM,sju,七つ
765,acht::NUM,åtte,八
766,acht::NUM,åtte,八つ
767,neun::NUM,ni,九
768,neun::NUM,ni,九つ
769,zehn::NUM,ti,十
770,elf::NUM,elleve,十一
771,zwölf::NUM,tolv,十二
772,zwanzig::NUM,tjue,二十
773,dreißig::NUM,tretti,三十
774,vierzig::NUM,førti,四十
775,fünfzig::NUM,femti,五十
776,sechzig::NUM,seksti,六十
777,siebzig::NUM,sytti,七十
778,achtzig::NUM,åtti,八十
779,neunzig::NUM,nitti,九十
780,hundert::NUM,hundre,百
781,tausend::NUM,tusen,千
782,und::CNJ,og,-と
783,und::CNJ,og,そして
784,oder::CNJ,eller,或いは
785,stehen::V,stå,立っている
786,sitzen::V,sitte,座っている
787,liegen::V,ligge,横になっている
788,hängen::V,henge,掛かっている
789,werden::V,bli,なる
790,passieren::V,skje,起こる
791,passieren::V,hende,起こる
792,beginnen::V,begynne,始まる
793,enden::V,ende,終わる
794,enden::V,slutte,終わる
795,wechseln::V,veksle,変わる
796,aufgehen[Sonne]::V,stå opp,出る
797,untergehen[Sonne]::V,gå ned,沈む
798,scheinen[Sonne]::V,skinne,輝く
799,donnern::V,tordne,雷が鳴る
800,wehen::V,blåse,吹く
801,strömen::V,strømme,流れる
802,fließen::V,flyte,流れる
803,sich drehen::V,dreie seg,回転する
804,schwanken::V,svaie,揺れる
805,schwingen::V,svinge,振動する
806,fallen::V,falle,落ちる
807,brennen::V,brenne,燃える
808,rauchen::V,ryke,煙を出す
809,regnen::V,regne,雨が降る
810,gefrieren::V,fryse,凍る
811,tauen::V,tine,溶ける
812,schmelzen::V,smelte,溶ける
813,trocknen::V,tørre,乾く
814,sieden::V,koke,沸く
815,faulen::V,råtne,腐る
816,verfaulen::V,råtne,朽ちる
817,reißen::V,briste,切れる
818,versinken::V,synke,沈む
819,versinken::V,synke ned,沈む
820,vergehen::V,forløpe,経つ
821,erscheinen::V,synes,現れる
822,verschwinden::V,forsvinne,消える
823,sinken::V,synke,下がる
824,abnehmen::V,avta,減る
825,abnehmen::V,minske,減る
826,zunehmen::V,tilta,増える
827,steigen::V,stige,上がる
828,wachsen::V,gro,伸びる
829,wachsen::V,vokse,伸びる
830,glänzen::V,skinne,輝く
831,funkeln::V,tindre,ぴかぴか光る
832,lärmen::V,bråke,騒ぐ
833,läuten::V,ringe,鳴る
834,klingeln::V,ringe,鳴る
835,klirren::V,klirre,がらんがらんと鳴る
836,brausen::V,bruse,逆巻く
837,rauschen::V,suse,戦ぐ
838,klingen::V,lyde,鳴る
839,klingen::V,klinge,鳴る
840,bellen::V,gjø,吠える
841,bellen::V,bjeffe,吠える
842,heulen::V,ule,きゃんきゃん鳴く
843,blasen::V,blåse,吹く
844,pfeifen::V,plystre,口笛を吹く
845,schreien::V,skrike,叫ぶ
846,stöhnen::V,stønne,うめく
847,zittern::V,dirre,震える
848,zittern::V,skjelve,震える
849,leben::V,leve,生きている
850,geboren werden::V,fødes,生まれる
851,atmen::V,ånde,呼吸する
852,atmen::V,puste,呼吸する
853,trinken::V,drikke,飲む
854,essen::V,spise,食べる
855,schlucken::V,svelge,飲み込む
856,müde werden::V,bli trett,眠くなる
857,einschlafen::V,sovne,寝付く
858,schlafen::V,sove,眠る
859,aufwachen::V,våkne,目が覚める
860,aufstehen::V,stå opp,起きる
861,sich erholen::V,bli bra,休養する
862,sich erholen::V,komme seg,休養する
863,krank werden::V,bli syk,病気になる
864,krank sein::V,være syk,病気である
