,Concept_ID,et,ady
279,Arbeit::N,töö,ӏофшӏакӏэ́н
280,Gast::N,külaline,хьакӏэ́
281,Geschenk::N,kingitus,шӏухьафтын
282,Spiel::N,mäng,еоны́р
283,Spiel::N,mäng,джэгуны́р
284,Spiel::N,mäng,къегъэӏоны́р
285,Gesellschaft::N,selts,обществ
286,Hilfe::N,abi,ӏэпыӏэгъу
287,Freund::N,sõber,ныбджэгъу
288,Kamerad::N,sõber,ныбджэгъу
289,Angelegenheit::N,asi,ӏофы́
290,Anzahl::N,arv,пчъагъэ́
291,Anzahl::N,hulk,пчъагъэ́
292,Art::N,liik,изэрэщы́т
293,Art::N,liik,лъэпкъ
294,Stück::N,tükk,такъы́р
295,Teil::N,osa,щыщ
296,Teil::N,osa,ӏахь
297,Hälfte::N,pool,ныкъо́
298,Kreis::N,ring,хъура́й
299,Kreuz::N,rist,къащ
300,Linie::N,joon,хъахъ
301,Linie::N,joon,итхъа́гъ
302,Strich::N,joon,хъахъ
303,Strich::N,joon,итхъагъ
304,Abstand::N,vahe,азыфагу
305,Entfernung::N,kaugus,чӏыгууанэ
306,Entfernung::N,vahemaa,чӏыгууанэ
307,Gegend::N,ümbrus,чӏыпӏэ́
308,Platz::N,ruum,азыфагу
309,Ort::N,paik,чӏыпӏэ́
310,Seite::N,pool,лъэны́къу
311,Mitte::N,keskpaik,гузэ́гу
312,Gegenstand::N,ese,пкъыгъо
313,Sache::N,ese,
314,Rand::N,äär,цакӏэ́
315,Rand::N,serv,цакӏэ́
316,Kante::N,kant,цэгэналъ
317,Ecke::N,nurk,къогъу
318,Spitze::N,teravik,пакӏэ
319,Ende::N,ots,кӏэ
320,Ende::N,jupp,кӏэ
321,Loch::N,auk,гъуа́н
322,Winkel::N,nurk,къогъу
323,Muster::N,muster,тхыпхъэ
324,Größe::N,suurus,иина́гъ
325,Länge::N,pikkus,икӏыхьа́гъ
326,Höhe::N,kõrgus,лъэгагъ
327,Gewicht::N,kaal,онтэгъугъэ́
328,Gewicht::N,raskus,онтэгъугъэ́
329,Menge::N,arv,пчъагъэ́
330,Menge::N,hulk,пчъагъэ́
331,Haufen::N,hunnik,ӏат
332,Reihe::N,rivi,саты́р
333,Boot::N,paat,къуашъо́
334,Ruder::N,aer,къошъобэ́щ
335,Schlitten::N,saan,
336,Ski::N,suusk,лыжэхэр
337,Lagerfeuer::N,lõke,пхъэмашӏу
338,Last::N,koorem,
339,Gang::N,käik,кӏоныр
340,Schritt::N,samm,лъэубэ́къу
341,Norden::N,põhi,темы́р
342,Süden::N,lõuna,къыблэ́
343,Westen::N,lääs,тыгъэкъохьа́пӏ
344,Osten::N,ida,тыгьэкъокӏы́пӏ
345,Holz::N,puu,чъыгы́
346,Brett::N,saelaud,пхъэ́мбгъу
347,Platte::N,plaat,упсыхьагъ
348,Stütze::N,tugi,кӏэгъэкъон
349,Stange::N,latt,къорэ́гъ
350,Stange::N,teivas,къорэ́гъ
351,Stock::N,kepp,бэщ
352,Stab::N,varras,бэщ кӏы́хь
353,Rohr::N,toru,онджэкъ
354,Haus::N,maja,унэ́
355,Heim::N,kodu,унэ́
356,Ofen::N,ahi,гъэжъэн
357,Fußboden::N,põrand,джэхашъу
358,Tisch::N,laud,стол
359,Stuhl::N,tool,пхъэнтӏэ́кӏу
360,Wiege::N,häll,кушъэ́
361,Wiege::N,kätki,кушъэ́
362,Bett::N,voodi,пӏэкӏо́р
363,Regal::N,riiul,мэкӏай
364,Kiste::N,kast,ящык
365,Fenster::N,aken,шъхьаныгъу́пчъ
366,Tür::N,uks,пчъэ
367,Tor::N,värav,къэла́пчъ
368,Zaun::N,aed,шӏыхьагъэ́
369,Zaun::N,tara,шӏыхьагъэ́
370,Dach::N,katus,шъхьэ́
371,Leiter::N,redel,лъэо́й
372,Leiter::N,redel,дэкӏояпӏэ́
373,Besen::N,luud,пхъэнкӏы́пхъ
374,Spaten::N,labidas,къазгъы́р
375,Schaufel::N,kühvel,хэӏалъ
376,Gabel::N,kahvel,цацэ
377,Löffel::N,lusikas,джэмы́шх
378,Messer::N,nuga,шъэжъы́й
379,Nagel::N,nael,гъучӏыӏу́н
380,Netz::N,võrk,хъытыу
381,Haken::N,haak,хьажтӏаркъу
382,Haken::N,konks,хьажтӏаркъу
383,Griff::N,sang,къопс
384,Griff::N,käepide,къопс
385,Schloss::N,lukk,ӏункӏы́бз
386,Bild::N,pilt,сурэ́т
387,Figur::N,kuju,
388,Figur::N,kujund,
389,Puppe::N,nukk,нысхъа́п
390,Beutel::N,paun,дзыо́
391,Bündel::N,kimp,
392,Tasche::N,kott,ӏэлъмэ́къ
393,Eimer::N,pang,щалъ
394,Eimer::N,ämber,щалъ
395,Deckel::N,kaas,шъхьэ
396,Geschirr::N,nõud,хьакъу-шыкъу
397,Sack::N,kott,дзыо́
398,Tasse::N,tass,чашк
399,Topf::N,pada,кастрюль
400,Kessel::N,pada,шыуа́н
401,Essen::N,söök,шхэн
402,Nahrung::N,toit,шхэн
403,Speise::N,roog,шхыныгъу
404,Fleisch::N,liha,лы
405,Getreide::N,teravili,лэжьыгъацэ́
406,Brei::N,puder,пӏастэ́
407,Brot::N,sai,хьалыгъу
408,Brot::N,leib,хьалыгъу
409,Scheibe::N,viil,такъы́р
410,Scheibe::N,viilukas,такъы́р
411,Fett::N,rasv,дагъэ́
412,Butter::N,või,тхъу
413,Öl::N,õli,тхъу
414,Salz::N,sool,щыгъу
415,Suppe::N,supp,хьантхъупс
416,Honig::N,mesi,шъоу́
417,Milch::N,piim,щэ
418,Tee::N,tee,щай
419,Leder::N,nahk,кӏы́шъу
420,Wolle::N,vill,цы
421,Stoff::N,kangas,шэкӏы
422,Nadel::N,nõel,бгъэ́хаӏу
423,Faden::N,niit,ӏуда́н
424,Knopf::N,nööp,занкӏэу
425,Knoten::N,sõlm,зэкъодзапӏэ
426,Farbe::N,värv,краск
427,Kleidung::N,riided,щыгъы́ны
428,Kleidung::N,riietus,щыгъы́ны
429,Hemd::N,särk,джан
430,Kragen::N,krae,пшъапӏ
431,Ärmel::N,varrukas,гъуап
432,Hose::N,püksid,гъончэ́дж
433,Gürtel::N,vöö,бгыры́пх
434,Mütze::N,müts,паӏо́
435,Schuh::N,king,
436,Stiefel::N,saabas,щазым
437,Ring::N,sõrmus,ӏэлъы́н
438,Band::N,lint,лент
439,Kamm::N,kamm,мажь
440,Spiegel::N,peegel,гъундж
441,Riemen::N,rihm,бгыры́пх
442,Schnur::N,nöör,кӏапсэ́
443,Leine::N,jalutusrihm,шъокӏапс
444,Decke::N,tekk,чыхӏэн
445,Kissen::N,padi,шъхьант
446,Tuch::N,kalev,шъхьэтехъу
447,Handtuch::N,käterätik,ӏаплъэкӏ
448,Kraft::N,jõud,къары́у
449,Kraft::N,jõud,кӏуачӏэ́
450,Stärke::N,tugevus,кӏуачӏэ́
451,Gesundheit::N,tervis,псауныгъ
452,Krankheit::N,haigus,узы
453,Schmerz::N,valu,узы
454,Wunde::N,haav,уӏагъэ́
455,Fieber::N,palavik,техьа́гъу
456,Fieber::N,palavik,жъоку
457,Arznei::N,ravim,ӏэзэ́гъу
458,Brücke::N,sild,лъэмы́д ж
459,Brunnen::N,kaev,псынэ́
460,Weide::N,karjamaa,хъупӏэ́
461,Pfad::N,rada,лъагъу
462,Weg::N,tee,гъо́гу
463,Straße::N,tee,гъо́гу
464,Dorf::N,küla,къуа́дж
465,Stadt::N,linn,къалэ́
466,Brief::N,kiri,тхэн
467,Brief::N,kiri,письмэ
468,Buch::N,raamat,тхы́лъ
469,Buchstabe::N,täht,хьары́ф
470,Zeitung::N,ajaleht,газет
471,Leben::N,elu,гъашӏэ́
472,Tod::N,surm,аджал
473,Grab::N,haud,бэны́
474,Kirche::N,kirik,чылы́с
475,Sünde::N,patt,гунахь
476,Gott::N,jumal,тхьэ
477,Arbeiter::N,tööline,рабоч
478,Chef::N,ülemus,гъэр
479,Chef::N,juhataja,гъэр
480,Meister::N,meister,ӏэпыӏа́с
481,Arzt::N,arst,
482,Lehrer::N,õpetaja,кӏэлэегъа́дж
483,Geld::N,raha,ахъщ
484,Geschäft::N,äri,ӏофшӏэн
485,Laden::N,pood,туча́н
486,Laden::N,kauplus,туча́н
487,Preis::N,hind,уасэ́
488,Ware::N,kaup,хьап-щып
489,Nutzen::N,tulu,чар
490,Nutzen::N,tulu,федэ́
491,Nutzen::N,kasulikkus,чар
492,Nutzen::N,kasulikkus,федэ́
493,Reichtum::N,rikkus,байныгъ
494,Welt::N,maailm,дуна́й
495,Land::N,maa,хэгъэ́́гу
496,Staat::N,riik,къэралыгъу
497,König::N,kuningas,пачъы́хь
498,Macht::N,võim,шынэгъакзэ́
499,Grenze::N,piir,гъуна́пкъ
500,Krieg::N,sõda,зао́
501,Feind::N,vaenlane,пы́и
502,Gewalt::N,väevõim,егъэзыгъэныгъ
503,Kampf::N,võitlus,бэнэныгъ
504,Bogen[Waffe]::N,vibu,щабз
505,Pfeil::N,nool,щэбза́щ
506,Gewehr::N,püss,шхонч
507,Fehler::N,viga,хэукъоныгъ
508,Lüge::N,vale,пцӏы
509,Schaden::N,kahju,зэра́р
510,Unglück::N,häda,тхьамыкӏагъу
511,Unglück::N,õnnetus,тхьамыкӏагъу
512,Schuld::N,süü,мысагъэ́
513,Alter::N,iga,ныбжь
514,Schluss::N,lõpp,кӏэ
515,Zeit::N,aeg,уахътэ́
516,Tag::N,päev,мафэ́
517,Morgen::N,hommik,пчэды́жь
518,Mittag::N,lõuna,щэджагьу́
519,Mittag::N,keskpäev,щэджагьу́
520,Abend::N,õhtu,пчыхьэ́
521,Nacht::N,öö,чэщы́
522,Woche::N,nädal,тхьамафэ́
523,Monat::N,kuu,мазэ́
524,Jahr::N,aasta,илъэ́с
525,Frühling::N,kevad,гъатхэ́
526,Sommer::N,suvi,гъэмафэ́
527,Herbst::N,sügis,бжыхьэ́
528,Winter::N,talv,кӏыма́ф
529,Januar::N,jaanuar,январь
530,Februar::N,veebruar,февраль
531,März::N,märts,март
532,April::N,aprill,апрель
533,Mai::N,mai,май
534,Juni::N,juuni,июнь
535,Juli::N,juuli,июль
536,August::N,august,август
537,September::N,september,сентябрь
538,Oktober::N,oktoober,октябрь
539,November::N,november,ноябрь
540,Dezember::N,detsember,декабрь
541,Montag::N,esmaspäev,блыпэ́
542,Dienstag::N,teisipäev,гъубдж
543,Mittwoch::N,kesknädal,бэрэскэжъый
544,Donnerstag::N,neljapäev,мэфэ́ку
545,Freitag::N,reede,бэрэскэшху
546,Samstag::N,laupäev,шэмбэ́т
547,Sonntag::N,pühapäev,тхьаума́ф
548,groß::A,suur,ины́
549,klein::A,väike,цӏы́кӏу
550,klein::A,pisike,цӏы́кӏу
551,lang::A,pikk,кӏыхьэ́
552,kurz::A,lühike,кӏэкӏы́
553,breit::A,lai,шъуамбгъо́
554,schmal::A,kitsas,бгъузэ́
555,dicht::A,tihe,ӏужъу́
556,dick[Gegenstand]::A,jäme,ӏужъу́
557,dünn::A,õhuke,пӏуакӏэ́
558,dünn::A,peenike,пӏуакӏэ́
559,fein::A,peen,пӏуакӏэ́
560,fein::A,õhuke,пӏуакӏэ́
561,fest::A,püsiv,пытэ́
562,fest::A,kindel,пытэ́
563,flach::A,lame,тешъо́
564,flach::A,tasane,тешъо́
565,glatt::A,sile,зэны́бжь
566,hart::A,kõva,пытэ́
567,weich::A,pehme,шъабэ́
568,rund::A,ümar,хъура́й
569,spitz::A,torkav,папцӏэ́
570,scharf::A,terav,чан
571,stumpf::A,nüri,цако́
572,schwer::A,raske,онтэ́гъу
573,schön::A,kena,дахэ́
574,heiß::A,kuum,жъо́ркъ
575,heiß::A,palav,жъо́ркъ
576,warm::A,soe,фабэ́у
577,kalt::A,külm,чъыӏэ́
578,kühl::A,jahe,чъыӏэтагъ
579,frisch::A,värske,чъыӏэтагъ
580,feucht::A,niiske,шынагъэ зиӏэ
581,feucht::A,niiske,шынэгъакӏэ зиӏэ
582,nass::A,märg,цӏынэ́
583,trocken::A,kuiv,гъушъ
584,trocken::A,kuiv,чъэпхъыгъ
585,voll::A,täis,из
586,voll::A,täis,изыбз
587,leer::A,tühi,нэкӏы́
588,offen::A,avatud,зэдэхыгъэ
589,offen::A,lahtine,зэдэхыгъэ
590,geschlossen::A,suletud,зэфэшӏыгъ
591,sauber::A,puhas,къабзэ́
592,schmutzig::A,räpane,шӏо́и
593,schmutzig::A,määrdunud,шӏо́и
594,roh::A,toores,мыжъо́
595,reif::A,küps,чъэпхъыгъ
596,lecker::A,hõrk,го́хьы
597,lecker::A,maitsev,го́хьы
598,süß::A,magus,ӏэшӏу
599,bitter::A,mõru,дыджы́
600,sauer::A,hapu,хафэ́
601,hell::A,hele,нэфын
602,dunkel::A,pime,мэзэхэ
603,schwarz::A,must,шӏуцӏэ
604,weiß::A,valge,фыжьы́
605,rot::A,punane,плъыжьы́
606,gelb::A,kollane,гъожьы́
607,blau::A,sinine,шхъуантӏэ
608,grün::A,roheline,шхъуантӏэ
609,grau::A,hall,шхъо
610,bunt::A,kirju,къолэны
611,bunt::A,värviline,къолэны
612,billig::A,odav,пыут
613,teuer::A,kallis,сикӏа́с
614,teuer::A,kallis,силъа́пӏ
615,wertvoll::A,väärtuslik,пкӏэ зиӏ
616,wertvoll::A,väärtuslik,уасэ́ зыфа́шӏ
617,blind::A,pime,нэшъу́
618,taub::A,kurt,дэгу
619,kräftig::A,jõuline,лъэ́ш
620,stark::A,tugev,лъэ́ш
621,schwach::A,nõrk,хъыбэй
622,schwach::A,jõuetu,хъыбэй
623,fett::A,rasvane,пщэры́
624,schlank::A,sale,ищыгъэ
625,hübsch::A,kena,дахэ́
626,böse::A,tige,ябгэ
627,dumm::A,juhm,делэ
628,dumm::A,rumal,делэ
629,faul::A,laisk,шъхьахы́нэ
630,fleißig::A,virk,егугъурэ
631,fleißig::A,hoolas,егугъурэ
632,geizig::A,ihne,тхьацэ
633,klug::A,tark,акъылышӏу́
634,klug::A,arukas,акъылышӏу́
635,klug::A,mõistlik,акъылышӏу́
636,geschickt::A,osav,ӏэпэӏэсэ́
637,geschickt::A,osav,шо́у шӏыгъэ́
638,lieb::A,armas,псэм фэд
639,lustig::A,lõbus,чэф
640,sanft::A,õrn,ӏушъа́б
641,hungrig::A,näljane,гъаблэ́
642,krank::A,haige,сыма́дж
643,nackt::A,alasti,пцӏанэ́
644,traurig::A,kurb,нэшхъэй
645,lebendig::A,elus,
646,gut::A,hea,дэгъу́
647,schlecht::A,halb,дэи
648,richtig::A,õige,тэрэз
649,schlimm::A,paha,щынэгъо
650,wahr::A,tõene,шъыпкъэ́
651,alt::A,vana,жъы
652,neu::A,uus,кӏэ
653,ehemalig::A,endine,-щтыгъэ
654,ehemalig::A,endine,-гъэ
655,alt[Lebewesen]::A,vana,жъы
656,jung::A,noor,ныбжьыкӏэ́
657,arm::A,vaene,тхьамы́кӏ
658,reich::A,rikas,бай
659,bekannt::A,teada,нэӏуа́с
660,bekannt::A,tuttav,нэӏуа́с
661,berühmt::A,tuntud,цӏэры́ӏу
662,fremd::A,võõras,хымэ
663,verschieden::A,erinev,зэфэшъхьафы
664,nah::A,lähedane,благъэ́
665,fern::A,kauge,чыжьэ
666,linker::A,vasak,сэмэ́гу
667,rechter::A,parem,джабгъу
668,anderer::A,muu,нэмы́кӏ
669,anderer::A,teine,нэмы́кӏ
670,erster::A,esimene,апэр
671,zweiter::A,teine,я́тӏонэр
672,dritter::A,kolmas,ящэнэр
673,letzter::A,viimane,аужыр
674,allein::ADV,üksi,зы
675,auf einmal::ADV,korraga,ардэдэм
676,auf einmal::ADV,korraga,асыхьатым
677,auf einmal::ADV,ühekorraga,ардэдэм
678,auf einmal::ADV,ühekorraga,асыхьатым
679,zusammen::ADV,koos,зэгъусэхэ́у
680,zusammen::ADV,üheskoos,зэгъусэхэ́у
681,lange::ADV,kaua,бэрэ́
682,plötzlich::ADV,äkki,зэкӏэм
683,plötzlich::ADV,järsku,зэкӏэм
684,sofort::ADV,kohe,ардэдэм
685,sofort::ADV,kohe,асыхьатым
686,später::ADV,hiljem,нэужым
687,jetzt::ADV,nüüd,джы
688,heute::ADV,täna,непэ́
689,morgen::ADV,homme,неу́щы
690,bald::ADV,pea,псынкӏэу
691,bald::ADV,varsti,псынкӏэу
692,dann::ADV,siis,нэужым
693,gestern::ADV,eile,тыгъуа́с
694,einst::ADV,vanasti,зэгорэ́м
695,damals::ADV,tookord,армэ
696,damals::ADV,tookord,ащыгъум
697,danach::ADV,seejärel,нэужым
698,vorher::ADV,enne,нахьыпэм
699,zuerst::ADV,enne,
700,zuerst::ADV,esmalt,
701,einmal::ADV,kord,зэ
702,einmal::ADV,üks kord,зэ
