,Concept_ID,et,da
133,Birke::N,kask,birk
134,Kiefer[Baum]::N,mänd,fyrretræ
135,Weide[Baum]::N,paju,piletræ
136,Tanne::N,nulg,gran
137,Horn::N,sarv,horn
138,Feder::N,sulg,fjer
139,Fell::N,karvkate,skind
140,Fell::N,karusnahk,skind
141,Flügel::N,tiib,vinge
142,Flügel::N,tiivik,vinge
143,Klaue::N,küüs,klov
144,Kralle::N,küünis,klo
145,Schwanz::N,saba,hale
146,Ei::N,muna,æg
147,Nest::N,pesa,rede
148,Bau::N,urg,bo
149,Tier::N,loom,dyr
150,Herde::N,kari,flok
151,Kuh::N,lehm,ko
152,Bulle::N,pull,tyr
153,Pferd::N,hobune,hest
154,Schaf::N,lammas,får
155,Schwein::N,siga,gris
156,Hund::N,koer,hund
157,Katze::N,kass,kat
158,Bär::N,karu,bjørn
159,Eichhörnchen::N,orav,egern
160,Elch::N,põder,elg
161,Fuchs::N,rebane,ræv
162,Hase::N,jänes,hare
163,Maus::N,hiir,mus
164,Wolf::N,hunt,ulv
165,Vogel::N,lind,fugl
166,Schwarm::N,parv,sværm
167,Huhn::N,kana,høne
168,Hahn::N,kukk,hane
169,Gans::N,hani,gås
170,Adler::N,kotkas,ørn
171,Ente::N,part,and
172,Eule::N,kakk,ugle
173,Eule::N,öökull,ugle
174,Kranich::N,kurg,trane
175,Krähe::N,vares,krage
176,Kuckuck::N,kägu,gøg
177,Schwan::N,luik,svane
178,Fisch::N,kala,fisk
179,Barsch::N,ahven,aborre
180,Hecht::N,haug,gedde
181,Schlange[Tier]::N,uss,slange
182,Wurm::N,uss,orm
183,Wurm::N,vagel,orm
184,Spinne::N,ämblik,edderkop
185,Ameise::N,sipelgas,myre
186,Laus::N,täi,lus
187,Mücke::N,sääsk,myg
188,Fliege::N,kärbes,flue
189,Schmetterling::N,liblikas,sommerfugl
190,Beere::N,mari,bær
191,Apfel::N,õun,æble
192,Pilz::N,seen,svamp
193,Zwiebel::N,sibul,løg
194,Saat::N,seeme,sæd
195,Korn::N,iva,korn
196,Korn::N,tera,korn
197,Heu::N,hein,hø
198,Schale::N,koor,skræl
199,Grube::N,kaevand,grav
200,Falle::N,lõks,fælde
201,Falle::N,püünis,fælde
202,Schlinge::N,aas,snare
203,Spur::N,jälg,spor
204,Asche::N,tuhk,aske
205,Dreck::N,saast,snavs
206,Dreck::N,mustus,snavs
207,Eisen::N,raud,jern
208,Gold::N,kuld,guld
209,Silber::N,hõbe,sølv
210,Kohle::N,süsi,kul
211,Glas::N,klaas,glas
212,Lehm::N,savi,ler
213,Sand::N,liiv,sand
214,Mensch::N,inimene,mennesge
215,Mann::N,mees,mand
216,Frau::N,naine,kvinde
217,Kind::N,laps,barn
218,Junge::N,poiss,dreng
219,Mädchen::N,tüdruk,pige
220,Familie::N,perekond,familie
221,Großvater::N,vanaisa,bedstefar
222,Großmutter::N,vanaema,bedstemor
223,Eltern::N,vanemad,forældre
224,Vater::N,isa,far
225,Mutter::N,ema,mor
226,Sohn::N,poeg,søn
227,Tochter::N,tütar,datter
228,Bruder::N,vend,bror
229,Schwester::N,õde,søster
230,Onkel::N,onu,onkel
231,Tante::N,tädi,tante
232,Ehemann::N,mees,ægtemand
233,Ehemann::N,abikaasa,ægtemand
234,Ehefrau::N,naine,hustru
235,Ehefrau::N,abikaasa,hustru
236,Freude::N,rõõm,glæde
237,Gelächter::N,naer,latter
238,Glück::N,õnn,lykke
239,Kummer::N,mure,sorg
240,Kummer::N,kurbus,sorg
241,Wunsch::N,soov,ønske
242,Lust::N,himu,lyst
243,Geist::N,vaim,ånd
244,Gedanke::N,mõte,tanke
245,Gedächtnis::N,mälu,hukommelse
246,Verstand::N,aru,forstand
247,Verstand::N,mõistus,forstand
248,Sinn::N,tähendus,mening
249,Sinn::N,tähendus,betydning
250,Grund::N,põhjus,grund
251,Wahrheit::N,tõde,sandhed
252,Gespräch::N,kõne,samtale
253,Gespräch::N,vestlus,samtale
254,Märchen::N,muinasjutt,eventyr
255,Erzählung::N,jutustus,fortælling
256,Nachricht::N,teade,efterretning
257,Neuigkeit::N,uudis,nyhed
258,Name::N,nimi,navn
259,Rätsel::N,mõistatus,gåde
260,Rede::N,kõne,tale
261,Sprache::N,keel,sprog
262,Stimme::N,hääl,stemme
263,Wort::N,sõna,ord
264,Zeichen::N,märk,tegn
265,Ruf::N,hüüe,råb
266,Lärm::N,müra,larm
267,Laut::N,hääl,lyd
268,Ton::N,toon,tone
269,Lied::N,laul,sang
270,Ruhe::N,rahu,ro
271,Ruhe::N,rahu,hvile
272,Ruhe::N,vaikus,ro
273,Ruhe::N,vaikus,hvile
274,Leute::N,inimesed,folk
275,Leute::N,inimesed,mennesker
276,Volk::N,rahvas,folk
277,Arbeit::N,töö,arbejde
278,Gast::N,külaline,gæst
279,Geschenk::N,kingitus,gave
280,Spiel::N,mäng,leg
281,Gesellschaft::N,selts,selskab
282,Hilfe::N,abi,hjælp
283,Freund::N,sõber,ven
284,Kamerad::N,sõber,kammerat
285,Angelegenheit::N,asi,sag
286,Angelegenheit::N,asi,anliggende
287,Anzahl::N,arv,antal
288,Anzahl::N,hulk,antal
289,Art::N,liik,art
290,Stück::N,tükk,stykke
291,Teil::N,osa,del
292,Hälfte::N,pool,halvdel
293,Kreis::N,ring,cirkel
294,Kreuz::N,rist,kors
295,Kreuz::N,rist,kryds
296,Linie::N,joon,linie
297,Strich::N,joon,streg
298,Abstand::N,vahe,afstand
299,Entfernung::N,kaugus,afstand
300,Entfernung::N,vahemaa,afstand
301,Gegend::N,ümbrus,egn
302,Platz::N,ruum,plads
303,Ort::N,paik,sted
304,Seite::N,pool,side
305,Mitte::N,keskpaik,midte
306,Gegenstand::N,ese,genstand
307,Sache::N,ese,sag
308,Rand::N,äär,rand
309,Rand::N,serv,rand
310,Kante::N,kant,kant
311,Ecke::N,nurk,hjørne
312,Spitze::N,teravik,spids
313,Ende::N,ots,ende
314,Ende::N,jupp,ende
315,Loch::N,auk,hul
316,Winkel::N,nurk,vinkel
317,Muster::N,muster,mønster
318,Größe::N,suurus,størrelse
319,Länge::N,pikkus,længde
320,Höhe::N,kõrgus,højde
321,Gewicht::N,kaal,vægt
322,Gewicht::N,raskus,vægt
323,Menge::N,arv,mængde
324,Menge::N,hulk,mængde
325,Haufen::N,hunnik,bunke
326,Reihe::N,rivi,række
327,Boot::N,paat,båd
328,Ruder::N,aer,åre
329,Schlitten::N,saan,kælk
330,Schlitten::N,saan,slæde
331,Ski::N,suusk,ski
332,Lagerfeuer::N,lõke,lejrbål
333,Last::N,koorem,last
334,Last::N,koorem,byrde
335,Gang::N,käik,gang
336,Schritt::N,samm,skridt
337,Norden::N,põhi,nord
338,Süden::N,lõuna,syd
339,Westen::N,lääs,vest
340,Osten::N,ida,øst
341,Holz::N,puu,træ
342,Brett::N,saelaud,bræt
343,Platte::N,plaat,plade
344,Stütze::N,tugi,støtte
345,Stange::N,latt,stang
346,Stange::N,teivas,stang
347,Stock::N,kepp,stok
348,Stab::N,varras,stav
349,Rohr::N,toru,rør
350,Haus::N,maja,hus
351,Heim::N,kodu,hjem
352,Ofen::N,ahi,ovn
353,Fußboden::N,põrand,gulv
354,Tisch::N,laud,bord
355,Stuhl::N,tool,stol
356,Wiege::N,häll,vugge
357,Wiege::N,kätki,vugge
358,Bett::N,voodi,seng
359,Regal::N,riiul,reol
360,Kiste::N,kast,kasse
361,Fenster::N,aken,vindue
362,Tür::N,uks,dør
363,Tor::N,värav,port
364,Zaun::N,aed,stakit
365,Zaun::N,tara,stakit
366,Dach::N,katus,tag
367,Leiter::N,redel,stige
368,Besen::N,luud,kost
369,Spaten::N,labidas,spade
370,Schaufel::N,kühvel,skovl
371,Gabel::N,kahvel,gaffel
372,Löffel::N,lusikas,ske
373,Messer::N,nuga,kniv
374,Nagel::N,nael,søm
375,Netz::N,võrk,net
376,Haken::N,haak,krog
377,Haken::N,konks,krog
378,Griff::N,sang,tag
379,Griff::N,sang,håndtag
380,Griff::N,käepide,tag
381,Griff::N,käepide,håndtag
382,Schloss::N,lukk,lås
383,Bild::N,pilt,billede
384,Figur::N,kuju,figur
385,Figur::N,kujund,figur
386,Puppe::N,nukk,dukke
387,Beutel::N,paun,pose
388,Bündel::N,kimp,bylt
389,Bündel::N,kimp,bundt
390,Tasche::N,kott,taske
391,Eimer::N,pang,spand
392,Eimer::N,ämber,spand
393,Deckel::N,kaas,låg
394,Geschirr::N,nõud,husgeråd
395,Sack::N,kott,sæk
396,Tasse::N,tass,kop
397,Topf::N,pada,gryde
398,Kessel::N,pada,kedel
399,Essen::N,söök,måltid
400,Nahrung::N,toit,mad
401,Nahrung::N,toit,næring
402,Speise::N,roog,ret
403,Fleisch::N,liha,kød
404,Getreide::N,teravili,korn
405,Brei::N,puder,grød
406,Brot::N,sai,brød
407,Brot::N,leib,brød
408,Scheibe::N,viil,skive
409,Scheibe::N,viilukas,skive
410,Fett::N,rasv,fedt
411,Butter::N,või,smør
412,Öl::N,õli,olie
413,Salz::N,sool,salt
414,Suppe::N,supp,suppe
415,Honig::N,mesi,honning
416,Milch::N,piim,mælk
417,Tee::N,tee,te
418,Leder::N,nahk,skind
419,Wolle::N,vill,uld
420,Stoff::N,kangas,stof
421,Nadel::N,nõel,nål
422,Faden::N,niit,tråd
423,Knopf::N,nööp,knap
424,Knoten::N,sõlm,knude
425,Farbe::N,värv,farve
426,Kleidung::N,riided,påklædning
427,Kleidung::N,riietus,påklædning
428,Hemd::N,särk,skjorte
429,Kragen::N,krae,krave
430,Ärmel::N,varrukas,ærme
431,Hose::N,püksid,bukser
432,Gürtel::N,vöö,bælte
433,Mütze::N,müts,hue
434,Schuh::N,king,sko
435,Stiefel::N,saabas,støvle
436,Ring::N,sõrmus,ring
437,Band::N,lint,bånd
438,Kamm::N,kamm,kam
439,Spiegel::N,peegel,spejl
440,Riemen::N,rihm,rem
441,Schnur::N,nöör,snor
442,Leine::N,jalutusrihm,snor
443,Decke::N,tekk,tæppe
444,Kissen::N,padi,pude
445,Tuch::N,kalev,sjaltørklæde
446,Handtuch::N,käterätik,håndklæde
447,Kraft::N,jõud,kraft
448,Stärke::N,tugevus,styrke
449,Gesundheit::N,tervis,sundhed
450,Krankheit::N,haigus,sygdom
451,Schmerz::N,valu,smerte
452,Wunde::N,haav,sår
453,Fieber::N,palavik,feber
454,Arznei::N,ravim,medicin
455,Arznei::N,ravim,lægemiddel
456,Brücke::N,sild,bro
457,Brunnen::N,kaev,brønd
458,Weide::N,karjamaa,græsgang
459,Pfad::N,rada,sti
460,Weg::N,tee,vej
461,Straße::N,tee,gade
462,Dorf::N,küla,landsby
463,Stadt::N,linn,by
464,Brief::N,kiri,brev
465,Buch::N,raamat,bog
466,Buchstabe::N,täht,bogstav
467,Zeitung::N,ajaleht,avis
468,Leben::N,elu,liv
469,Tod::N,surm,død
470,Grab::N,haud,grav
471,Kirche::N,kirik,kirke
472,Sünde::N,patt,synd
473,Gott::N,jumal,gud
474,Arbeiter::N,tööline,arbejder
475,Chef::N,ülemus,chef
476,Chef::N,juhataja,chef
477,Meister::N,meister,mester
478,Arzt::N,arst,læge
479,Lehrer::N,õpetaja,lærer
480,Geld::N,raha,penge
481,Geschäft::N,äri,forretning
482,Laden::N,pood,butik
483,Laden::N,pood,forretning
484,Laden::N,kauplus,butik
485,Laden::N,kauplus,forretning
486,Preis::N,hind,pris
487,Ware::N,kaup,vare
488,Nutzen::N,tulu,nytte
489,Nutzen::N,kasulikkus,nytte
490,Reichtum::N,rikkus,rigdom
491,Welt::N,maailm,verden
492,Land::N,maa,land
493,Staat::N,riik,stat
494,König::N,kuningas,konge
495,Macht::N,võim,magt
496,Grenze::N,piir,grænse
497,Krieg::N,sõda,krig
498,Feind::N,vaenlane,fjende
499,Gewalt::N,väevõim,vold
500,Kampf::N,võitlus,kamp
501,Bogen[Waffe]::N,vibu,bue
502,Pfeil::N,nool,pil
503,Gewehr::N,püss,gevær
504,Fehler::N,viga,fejl
505,Lüge::N,vale,løgn
506,Schaden::N,kahju,skade
507,Unglück::N,häda,uheld
508,Unglück::N,häda,ulykke
509,Unglück::N,õnnetus,uheld
510,Unglück::N,õnnetus,ulykke
511,Schuld::N,süü,skyld
512,Alter::N,iga,alder
513,Schluss::N,lõpp,slut
514,Schluss::N,lõpp,slutning
515,Zeit::N,aeg,tid
516,Tag::N,päev,dag
517,Morgen::N,hommik,morgen
518,Mittag::N,lõuna,middag
519,Mittag::N,keskpäev,middag
520,Abend::N,õhtu,aften
521,Nacht::N,öö,nat
522,Woche::N,nädal,uge
523,Monat::N,kuu,måned
524,Jahr::N,aasta,år
525,Frühling::N,kevad,forår
526,Sommer::N,suvi,sommer
527,Herbst::N,sügis,efterår
528,Winter::N,talv,vinter
529,Januar::N,jaanuar,januar
530,Februar::N,veebruar,februar
531,März::N,märts,marts
532,April::N,aprill,april
533,Mai::N,mai,maj
534,Juni::N,juuni,juni
535,Juli::N,juuli,juli
536,August::N,august,august
537,September::N,september,september
538,Oktober::N,oktoober,oktober
539,November::N,november,november
540,Dezember::N,detsember,december
541,Montag::N,esmaspäev,mandag
542,Dienstag::N,teisipäev,tirsdag
543,Mittwoch::N,kesknädal,onsdag
544,Donnerstag::N,neljapäev,torsdag
545,Freitag::N,reede,fredag
546,Samstag::N,laupäev,lørdag
547,Sonntag::N,pühapäev,søndag
548,groß::A,suur,stor
549,klein::A,väike,lille
550,klein::A,pisike,lille
551,lang::A,pikk,lang
552,kurz::A,lühike,kort
553,breit::A,lai,bred
554,schmal::A,kitsas,smal
555,dicht::A,tihe,tæt
556,dick[Gegenstand]::A,jäme,tyk
557,dünn::A,õhuke,tynd
558,dünn::A,peenike,tynd
559,fein::A,peen,fin
560,fein::A,õhuke,fin
561,fest::A,püsiv,fast
562,fest::A,kindel,fast
563,flach::A,lame,flad
564,flach::A,tasane,flad
565,glatt::A,sile,glat
566,hart::A,kõva,hård
567,weich::A,pehme,blød
568,rund::A,ümar,rund
569,spitz::A,torkav,spids
570,scharf::A,terav,skarp
571,stumpf::A,nüri,sløv
572,stumpf::A,nüri,stump
573,schwer::A,raske,tung
574,schön::A,kena,skøn
575,heiß::A,kuum,hed
576,heiß::A,palav,hed
577,warm::A,soe,varm
578,kalt::A,külm,kold
579,kühl::A,jahe,kølig
580,frisch::A,värske,frisk
581,feucht::A,niiske,fugtig
582,nass::A,märg,våd
583,trocken::A,kuiv,tør
584,voll::A,täis,fuld
585,leer::A,tühi,tom
586,offen::A,avatud,åben
587,offen::A,lahtine,åben
588,geschlossen::A,suletud,lukket
589,sauber::A,puhas,ren
590,schmutzig::A,räpane,snavset
591,schmutzig::A,määrdunud,snavset
592,roh::A,toores,rå
593,reif::A,küps,moden
594,lecker::A,hõrk,lækker
595,lecker::A,maitsev,lækker
596,süß::A,magus,sød
597,bitter::A,mõru,bitter
598,sauer::A,hapu,sur
599,hell::A,hele,lys
600,dunkel::A,pime,mørk
601,schwarz::A,must,sort
602,weiß::A,valge,hvid
603,rot::A,punane,rød
604,gelb::A,kollane,gul
605,blau::A,sinine,blå
606,grün::A,roheline,grøn
607,grau::A,hall,grå
608,bunt::A,kirju,broget
609,bunt::A,värviline,broget
610,billig::A,odav,billig
611,teuer::A,kallis,dyr
612,wertvoll::A,väärtuslik,værdifuld
613,blind::A,pime,blind
614,taub::A,kurt,døv
615,kräftig::A,jõuline,kraftig
616,stark::A,tugev,stærk
617,schwach::A,nõrk,svag
618,schwach::A,jõuetu,svag
619,fett::A,rasvane,fed
620,schlank::A,sale,slank
621,hübsch::A,kena,køn
622,böse::A,tige,ond
623,böse::A,tige,slem
624,dumm::A,juhm,dum
625,dumm::A,rumal,dum
626,faul::A,laisk,doven
627,fleißig::A,virk,flittig
628,fleißig::A,hoolas,flittig
629,geizig::A,ihne,gerrig
630,klug::A,tark,klog
631,klug::A,arukas,klog
632,klug::A,mõistlik,klog
633,geschickt::A,osav,dygtig
634,geschickt::A,osav,behændig
635,lieb::A,armas,rar
636,lustig::A,lõbus,lystig
637,sanft::A,õrn,blid
638,hungrig::A,näljane,sulten
639,krank::A,haige,syg
640,nackt::A,alasti,nøgen
641,traurig::A,kurb,bedrøvet
642,lebendig::A,elus,levende
643,gut::A,hea,god
644,schlecht::A,halb,dårlig
645,richtig::A,õige,rigtig
646,schlimm::A,paha,slem
647,wahr::A,tõene,sand
648,alt::A,vana,gammel
649,neu::A,uus,ny
650,ehemalig::A,endine,forhenværende
651,alt[Lebewesen]::A,vana,gammel
652,jung::A,noor,ung
653,arm::A,vaene,fattig
654,reich::A,rikas,rig
655,bekannt::A,teada,kendt
656,bekannt::A,tuttav,kendt
657,berühmt::A,tuntud,berømt
658,fremd::A,võõras,fremmed
659,verschieden::A,erinev,forskellig
660,nah::A,lähedane,nær
661,fern::A,kauge,fjern
662,linker::A,vasak,venstre
663,rechter::A,parem,højre
664,anderer::A,muu,anden
665,anderer::A,teine,anden
666,erster::A,esimene,første
667,zweiter::A,teine,anden
668,dritter::A,kolmas,tredje
669,letzter::A,viimane,sidste
670,allein::ADV,üksi,alene
671,auf einmal::ADV,korraga,på én gang
672,auf einmal::ADV,ühekorraga,på én gang
673,zusammen::ADV,koos,sammen
674,zusammen::ADV,üheskoos,sammen
675,lange::ADV,kaua,længe
676,plötzlich::ADV,äkki,pludselig
677,plötzlich::ADV,järsku,pludselig
678,sofort::ADV,kohe,straks
679,später::ADV,hiljem,senere
680,jetzt::ADV,nüüd,nu
681,heute::ADV,täna,i dag
682,morgen::ADV,homme,i morgen
683,bald::ADV,pea,snart
684,bald::ADV,varsti,snart
685,dann::ADV,siis,så
686,gestern::ADV,eile,i går
687,einst::ADV,vanasti,engang
688,damals::ADV,tookord,dengang
689,danach::ADV,seejärel,derefter
690,vorher::ADV,enne,før
691,vorher::ADV,enne,forud
692,zuerst::ADV,enne,først
693,zuerst::ADV,esmalt,først
694,einmal::ADV,kord,en gang
695,einmal::ADV,üks kord,en gang
696,manchmal::ADV,mõnikord,sommetider
697,oft::ADV,tihti,ofte
698,oft::ADV,sageli,ofte
699,immer::ADV,ikka,altid
700,immer::ADV,alati,altid
701,niemals::ADV,mitte kunagi,aldrig
702,hier::ADV,siin,her
703,hierhin::ADV,siia,hid
704,hierhin::ADV,siia,herhen
705,von hier::ADV,siit,herfra
706,dort::ADV,seal,der
707,dorthin::ADV,sinna,derhen
708,geradeaus::ADV,otse edasi,lige ud
709,vorwärts::ADV,edasi,fremad
710,rückwärts::ADV,tagurpidi,baglæns
711,zurück::ADV,tagasi,tilbage
712,unten::ADV,all,nede
713,unten::ADV,all,forneden
714,unten::ADV,allpool,nede
715,unten::ADV,allpool,forneden
716,hinab::ADV,alla,ned
717,hinab::ADV,alla,nedad
718,oben::ADV,ülal,oppe
719,oben::ADV,ülal,ovenpå
720,hinauf::ADV,üles,op
721,hinauf::ADV,üles,opad
722,überall::ADV,kõikjal,overalt
723,nicht::ADV,ei,ikke
724,nicht::ADV,mitte,ikke
725,ein wenig::ADV,veidi,lidt
726,ein wenig::ADV,natuke,lidt
727,kaum::ADV,vaevalt,knap
728,kaum::ADV,vaevalt,næppe
729,sehr::ADV,väga,meget
730,so::ADV,nii,så
731,noch::ADV,veel,endnu
732,nur::ADV,ainult,kun
733,nur::ADV,ainult,bare
734,schon::ADV,juba,alt
735,schon::ADV,juba,allerede
736,wieder::ADV,jälle,igen
737,vergebens::ADV,asjata,forgæves
738,vor::PRP,ees,foran
739,vor::PRP,ees,uden for
740,hinter::PRP,taha,bag
741,hinter::PRP,taha,bagved
742,unter::PRP,all,under
743,durch::PRP,läbi,gennem
744,durch::PRP,läbi,igennem
745,durch::PRP,kaudu,gennem
746,durch::PRP,kaudu,igennem
747,neben::PRP,kõrval,ved siden af
748,zwischen::PRP,vahel,mellem
749,wegen::PRP,tõttu,på grund af
750,wegen::PRP,pärast,på grund af
751,dies::PRN,see,dette
752,das::PRN,see,det
753,alles::PRN,kõik,alt
754,ich::PRN,mina,jeg
755,du::PRN,sina,du
756,er::PRN,tema,han
757,wir::PRN,me,vi
758,ihr::PRN,te,I
759,sie::PRN,nad,de
760,was::FPRN,mis,hvad
761,wer::FPRN,kes,hvem
762,wo::FADV,kus,hvor
763,wohin::FADV,kuhu,hvorhen
764,wie::FADV,kuidas,hvordan
765,warum::FADV,miks,hvorfor
766,wieviel::FNUM,mitu,hvor meget
767,wieviel::FNUM,kui palju,hvor meget
768,eins::NUM,üks,én
769,zwei::NUM,kaks,to
770,drei::NUM,kolm,tre
771,vier::NUM,neli,fire
772,fünf::NUM,viis,fem
773,sechs::NUM,kuus,seks
774,sieben::NUM,seitse,syv
775,acht::NUM,kaheksa,otte
776,neun::NUM,üheksa,ni
777,zehn::NUM,kümme,ti
778,elf::NUM,üksteist,elleve
779,zwölf::NUM,kaksteist,tolv
780,zwanzig::NUM,kakskümmend,tyve
781,dreißig::NUM,kolmkümmend,tredive
782,vierzig::NUM,nelikümmend,fyrre
783,vierzig::NUM,nelikümmend,fyrretyve
784,fünfzig::NUM,viiskümmend,halvtreds
785,sechzig::NUM,kuuskümmend,tres
786,siebzig::NUM,seitsekümmend,halvfjerds
787,achtzig::NUM,kaheksakümmend,firs
788,neunzig::NUM,üheksakümmend,halvfems
789,hundert::NUM,sada,hundrede
790,tausend::NUM,tuhat,tusind
791,und::CNJ,ja,og
792,oder::CNJ,või,eller
793,stehen::V,seisma,stå
794,sitzen::V,istuma,sidde
795,liegen::V,lamama,ligge
796,hängen::V,rippuma,hænge
797,werden::V,saama,blive
798,werden::V,hakkama,blive
799,passieren::V,juhtuma,ske
800,passieren::V,juhtuma,hænde
801,beginnen::V,algama,begynde
802,beginnen::V,hakkama,begynde
803,enden::V,lõppema,ende
804,wechseln::V,vahelduma,veksle
805,aufgehen[Sonne]::V,tõusma,gå op
806,aufgehen[Sonne]::V,tõusma,stå op
807,untergehen[Sonne]::V,loojuma,gå ned
808,scheinen[Sonne]::V,paistma,skinne
809,donnern::V,kõmisema,tordne
810,wehen::V,puhuma,blæse
811,strömen::V,voolama,strømme
812,fließen::V,voolama,flyde
813,sich drehen::V,pöörduma,dreje sig
814,schwanken::V,kõikuma,vakle
815,schwingen::V,võnkuma,svinge
816,fallen::V,langema,falde
817,brennen::V,põlema,brænde
818,rauchen::V,suitsema,ryge
819,regnen::V,sadama,regne
820,gefrieren::V,kinni külmuma,fryse
821,tauen::V,sulama,tø
822,schmelzen::V,sulama,smelte
823,trocknen::V,kuivama,tørre
824,sieden::V,keema,koge
825,faulen::V,mädanema,rådne
826,verfaulen::V,mädanema,rådne
827,reißen::V,rebenema,briste
828,versinken::V,uppuma,synke
829,versinken::V,uppuma,synke ned
830,vergehen::V,mööduma,forløbe
831,erscheinen::V,ilmuma,vise sig
832,verschwinden::V,kaduma,forsvinde
833,sinken::V,vajuma,synke
834,sinken::V,langema,synke
835,abnehmen::V,vähenema,aftage
836,abnehmen::V,kahenema,aftage
837,zunehmen::V,kasvama,tiltage
838,steigen::V,tõusma,stige
839,steigen::V,üles minema,stige
840,wachsen::V,kasvama,gro
841,wachsen::V,kasvama,vokse
842,glänzen::V,läikimä,glinse
843,funkeln::V,sädelema,tindre
844,lärmen::V,lärmama,larme
845,läuten::V,helisema,ringe
846,klingeln::V,helisema,ringe
847,klirren::V,kõlisema,klirre
848,brausen::V,kohisema,bruse
849,rauschen::V,kohisema,suse
850,klingen::V,kõlama,lyde
