,Concept_ID,no,ps
133,Insel::N,øy,جزيره
134,Blume::N,blomst,ګل
135,Gras::N,gress,واښه
136,Wurzel::N,rot,ریښه
137,Baum::N,tre,ونه
138,Stamm::N,stamme,ډډ
139,Rinde::N,bark,پوستکی
140,Ast::N,gren,ښاخ
141,Zweig::N,kvist,څانګه
142,Blatt::N,blad,پاڼه
143,Birke::N,bjørk,توس
144,Kiefer[Baum]::N,furu,نښتر
145,Weide[Baum]::N,selje,وله
146,Weide[Baum]::N,piletre,وله
147,Tanne::N,gran,ناجو
148,Horn::N,horn,ښکر
149,Feder::N,fjær,بڼکه
150,Fell::N,skinn,پوستکی
151,Flügel::N,vinge,وزر
152,Klaue::N,klauv,پنجه
153,Klaue::N,klauv,منګول
154,Kralle::N,klo,پنجه
155,Kralle::N,klo,منګول
156,Schwanz::N,hale,لکۍ
157,Ei::N,egg,وۍ
158,Ei::N,egg,هګۍ
159,Nest::N,rede,جاله
160,Bau::N,hi,کاز
161,Tier::N,dyr,ژوی
162,Tier::N,dyr,حیوان
163,Herde::N,flokk,رمه
164,Herde::N,flokk,غېله
165,Kuh::N,ku,غوا
166,Bulle::N,tyr,غوئی
167,Pferd::N,hest,آس
168,Schaf::N,får,پسه
169,Schwein::N,gris,سرکوزی
170,Hund::N,hund,سپی
171,Katze::N,katt,پشه
172,Bär::N,bjørn,خرس
173,Eichhörnchen::N,ekorn,خړ لمی
174,Elch::N,elg,ګوزن
175,Fuchs::N,rev,سپلم
176,Hase::N,hare,سوی
177,Maus::N,mus,مږک
178,Wolf::N,ulv,لېوه
179,Wolf::N,varg,لېوه
180,Vogel::N,fugl,مرغه
181,Schwarm::N,sverm,سېل
182,Huhn::N,høne,چرګه
183,Hahn::N,hane,چرګ
184,Gans::N,gås,بته
185,Adler::N,ørn,عقاب
186,Ente::N,and,ایلۍ
187,Eule::N,ugle,ګونګی
188,Kranich::N,trane,کلنګ
189,Krähe::N,kråke,کارغه
190,Kuckuck::N,gjøk,فاخته
191,Schwan::N,svane,قو
192,Fisch::N,fisk,کب
193,Fisch::N,fisk,ماهی
194,Barsch::N,abbor,
195,Hecht::N,gjedde,
196,Schlange[Tier]::N,orm,مار
197,Schlange[Tier]::N,slange,مار
198,Wurm::N,orm,چینجی
199,Wurm::N,mark,چینجی
200,Spinne::N,edderkopp,غڼه
201,Spinne::N,edderkopp,تارکښ
202,Ameise::N,maur,مېږی
203,Laus::N,lus,سپږه
204,Mücke::N,mygg,ماشی
205,Fliege::N,flue,مچ
206,Schmetterling::N,sommerfugl,پتنګ
207,Beere::N,bær,مېوۍ
208,Apfel::N,eple,مڼه
209,Pilz::N,sopp,خرېړی
210,Zwiebel::N,løk,پیاز
211,Saat::N,sæd,تخم
212,Korn::N,korn,تخم
213,Korn::N,korn,دانه
214,Heu::N,høy,بوس
215,Heu::N,høy,پروړه
216,Schale::N,skall,پوستکی
217,Grube::N,grop,کنده
218,Falle::N,felle,دام
219,Falle::N,felle,لومه
220,Schlinge::N,snare,کړۍ
221,Spur::N,spor,نښه
222,Asche::N,aske,آس
223,Asche::N,aske,ایره
224,Dreck::N,møkk,ناپاکي
225,Dreck::N,skitt,ناپاکي
226,Eisen::N,jern,اوسپنه
227,Gold::N,gull,سره زر
228,Silber::N,sølv,نقره
229,Silber::N,sølv,سپین زر
230,Kohle::N,kol,سکور
231,Kohle::N,kol,سکاره
232,Kohle::N,kull,سکور
233,Kohle::N,kull,سکاره
234,Glas::N,glass,ښيښه
235,Lehm::N,leire,خټه
236,Sand::N,sand,شګه
237,Mensch::N,menneske,انسان
238,Mann::N,mann,سړی
239,Mann::N,mann,نارینه
240,Frau::N,kvinne,ښځه
241,Kind::N,barn,بچی
242,Kind::N,barn,ماشوم
243,Junge::N,gutt,هلک
244,Mädchen::N,pike,نجلۍ
245,Mädchen::N,jente,نجلۍ
246,Familie::N,familie,کورنۍ
247,Großvater::N,bestefar,بابا
248,Großmutter::N,bestemor,انا
249,Eltern::N,foreldre,مور او پلار
250,Vater::N,far,پلار
251,Mutter::N,mor,مور
252,Sohn::N,sønn,زوی
253,Tochter::N,datter,لور
254,Bruder::N,bror,ورور
255,Schwester::N,søster,خور
256,Onkel::N,onkel,تره
257,Onkel::N,onkel,ماما
258,Tante::N,tante,خاله
259,Ehemann::N,ektemann,مېړه
260,Ehefrau::N,hustru,مېرمن
261,Freude::N,glede,خوشحالي
262,Gelächter::N,latter,خندا
263,Glück::N,lykke,بخت
264,Kummer::N,sorg,غم
265,Wunsch::N,ønske,هيله
266,Wunsch::N,ønske,غوښتنه
267,Lust::N,lyst,شوق
268,Lust::N,lyst,مینه
269,Geist::N,ånd,روح
270,Gedanke::N,tanke,فکر
271,Gedächtnis::N,minne,یاد
272,Gedächtnis::N,minne,حافظه
273,Gedächtnis::N,hukommelse,یاد
274,Gedächtnis::N,hukommelse,حافظه
275,Verstand::N,forstand,عقل
276,Verstand::N,forstand,شعور
277,Sinn::N,mening,معنی
278,Sinn::N,betydning,معنی
279,Grund::N,grunn,علت
280,Grund::N,grunn,اساس
281,Wahrheit::N,sannhet,حقیقت
282,Gespräch::N,samtale,مرکه
283,Gespräch::N,samtale,خبرې اترې
284,Märchen::N,eventyr,افسانه
285,Erzählung::N,fortelling,قصه
286,Erzählung::N,fortelling,کیسه
287,Nachricht::N,melding,خبر
288,Neuigkeit::N,nyhet,نوی خبر
289,Name::N,navn,نوم
290,Rätsel::N,gåte,کیسۍ
291,Rätsel::N,gåte,چیستان
292,Rede::N,tale,وینا
293,Sprache::N,språk,ژبه
294,Stimme::N,stemme,غږ
295,Stimme::N,stemme,اواز
296,Wort::N,ord,لغت
297,Wort::N,ord,کلمه
298,Zeichen::N,tegn,نښه
299,Zeichen::N,tegn,اشاره
300,Ruf::N,rop,ږغ
301,Ruf::N,rop,بلنه
302,Lärm::N,bråk,غالمغال
303,Laut::N,lyd,ږغ
304,Ton::N,tone,اواز
305,Lied::N,vise,غزله
306,Lied::N,vise,سندره
307,Ruhe::N,ro,ارامي
308,Leute::N,folk,خلک
309,Volk::N,folk,ولس
310,Arbeit::N,arbeid,کار
311,Gast::N,gjest,مېلمه
312,Geschenk::N,gave,تحفه
313,Geschenk::N,gave,سوغات
314,Spiel::N,lek,لوبه
315,Spiel::N,spill,لوبه
316,Gesellschaft::N,selskap,ډله
317,Hilfe::N,hjelp,کومک
318,Hilfe::N,hjelp,مرسته
319,Freund::N,venn,ملګری
320,Kamerad::N,kamerat,انډيوال
321,Angelegenheit::N,sak,موضوع
322,Angelegenheit::N,anliggende,موضوع
323,Anzahl::N,antall,شمېر
324,Anzahl::N,antall,تعداد
325,Art::N,art,ډول
326,Art::N,slag,ډول
327,Stück::N,stykke,ټوټه
328,Teil::N,del,برخه
329,Hälfte::N,halvdel,نیم
330,Kreis::N,ring,دایره
331,Kreis::N,sirkel,دایره
332,Kreuz::N,kors,صلیب
333,Kreuz::N,kryss,صلیب
334,Linie::N,linje,خط
335,Linie::N,linje,لیکه
336,Strich::N,strek,کرښه
337,Abstand::N,avstand,فاصله
338,Entfernung::N,avstand,واټن
339,Gegend::N,strøk,سیمه
340,Gegend::N,strøk,منطقه
341,Platz::N,plass,ځای
342,Ort::N,sted,ځای
343,Seite::N,side,مخ
344,Seite::N,side,اړخ
345,Mitte::N,midte,وسط
346,Mitte::N,midte,مینځ
347,Gegenstand::N,gjenstand,شی
348,Sache::N,sak,شی
349,Sache::N,sak,څيز
350,Rand::N,rand,څنډه
351,Rand::N,rand,کناره
352,Kante::N,kant,اړخ
353,Ecke::N,hjørne,ګوټ
354,Spitze::N,spiss,څوکه
355,Ende::N,ende,څوکه
356,Loch::N,hull,سوری
357,Winkel::N,vinkel,کنج
358,Winkel::N,vinkel,کوتی
359,Muster::N,mønster,نمونه
360,Größe::N,størrelse,قد
361,Größe::N,størrelse,لويوالی
362,Länge::N,lengde,طول
363,Länge::N,lengde,اوږد والی
364,Höhe::N,høyde,جګوالی
365,Gewicht::N,vekt,وزن
366,Menge::N,mengde,اندازه
367,Haufen::N,haug,کوټه
368,Haufen::N,bunke,کوټه
369,Reihe::N,rekke,صف
370,Reihe::N,rekke,کتار
371,Boot::N,båt,قايق
372,Ruder::N,åre,چپه
373,Schlitten::N,slede,ښویېدونی
374,Schlitten::N,kjelke,ښویېدونی
375,Ski::N,ski,سکي
376,Lagerfeuer::N,leirbål,اور
377,Last::N,bør,بار
378,Last::N,bør,پېټی
379,Last::N,last,بار
380,Last::N,last,پېټی
381,Gang::N,gang,تګ
382,Schritt::N,steg,ګام
383,Schritt::N,skritt,ګام
384,Norden::N,nord,شمال
385,Süden::N,sør,سوېل
386,Westen::N,vest,لوېدېځ
387,Osten::N,øst,شرق
388,Osten::N,øst,ختیځ
389,Holz::N,tre,لرګی
390,Brett::N,fjøl,تخته
391,Brett::N,brett,تخته
392,Platte::N,plate,تخته
393,Stütze::N,støtte,تکیوان
394,Stange::N,stang,ډاګه
395,Stock::N,pinne,لرګی
396,Stab::N,stav,چيخله
397,Stab::N,kjepp,چيخله
398,Rohr::N,rør,نل
399,Haus::N,hus,کور
400,Heim::N,hjem,کور
401,Ofen::N,ovn,تودنۍ
402,Fußboden::N,gulv,غولی
403,Tisch::N,bord,مېز
404,Stuhl::N,stol,چوکۍ
405,Wiege::N,vogge,زانګو
406,Bett::N,seng,کټ
407,Bett::N,seng,چپرکټ
408,Regal::N,reol,تاخچۍ
409,Regal::N,hylle,تاخچۍ
410,Kiste::N,kasse,صندوق
411,Fenster::N,vindu,کړکۍ
412,Tür::N,dør,دروازه
413,Tor::N,port,دروازه
414,Zaun::N,gjerde,کټاره
415,Dach::N,tak,بام
416,Leiter::N,stige,زينه
417,Besen::N,kost,جارو
418,Spaten::N,spade,یوم
419,Schaufel::N,skuffe,بېلچه
420,Gabel::N,gaffel,پنجه
421,Löffel::N,skje,کاشوغه
422,Messer::N,kniv,چاقو
423,Nagel::N,spiker,ميخ
424,Netz::N,nett,جال
425,Haken::N,krok,څنګک
426,Griff::N,tak,لاستی
427,Griff::N,håndtak,لاستی
428,Schloss::N,lås,کلپ
429,Bild::N,bilde,رسم
430,Figur::N,figur,قدوقامت
431,Puppe::N,dukke,ګوډۍ
432,Beutel::N,pose,کڅوړه
433,Bündel::N,bylt,دسته
434,Tasche::N,veske,بکس
435,Tasche::N,veske,توبره
436,Eimer::N,bøtte,سطل
437,Deckel::N,lokk,سرپوښ
438,Geschirr::N,kjøkkentøy,لوښی
439,Sack::N,sekk,جوال
440,Tasse::N,kopp,پیاله
441,Topf::N,gryte,دېګی
442,Kessel::N,kjele,دېګ
443,Essen::N,mål,خوراک
444,Nahrung::N,mat,خوراک
445,Nahrung::N,næring,خوراک
446,Speise::N,matrett,خواړه
447,Fleisch::N,kjøtt,غوښه
448,Getreide::N,korn,غله
449,Brei::N,grøt,اوګره
450,Brot::N,brød,ډوډۍ
451,Scheibe::N,skive,مړۍ
452,Fett::N,fett,غوړي
453,Butter::N,smør,کوچ
454,Öl::N,olje,تېل
455,Salz::N,salt,مالګه
456,Suppe::N,suppe,شوربا
457,Honig::N,honning,شات
458,Milch::N,melk,شوده
459,Tee::N,te,چای
460,Leder::N,lær,څرمن
461,Leder::N,skinn,څرمن
462,Wolle::N,ull,پشم
463,Stoff::N,tøy,ټوټه
464,Stoff::N,stoff,ټوټه
465,Nadel::N,nål,ستن
466,Faden::N,tråd,تار
467,Knopf::N,knapp,تڼۍ
468,Knopf::N,knapp,تکمه
469,Knoten::N,knute,غوټه
470,Farbe::N,farge,رنګ
471,Kleidung::N,påkledning,کالي
472,Hemd::N,skjorte,کميس
473,Kragen::N,krage,غاړه
474,Ärmel::N,erme,لستوڼی
475,Hose::N,bukse,پطلون
476,Gürtel::N,belte,کمربند
477,Mütze::N,lue,خولۍ
478,Schuh::N,sko,بوټ
479,Stiefel::N,støvel,موزه
480,Ring::N,ring,ګوته
481,Band::N,band,فيته
482,Kamm::N,kam,ګمنځ
483,Spiegel::N,speil,ایینه
484,Spiegel::N,speil,هنداره
485,Riemen::N,rem,تسمه
486,Schnur::N,snor,مزی
487,Leine::N,line,رسۍ
488,Decke::N,teppe,بړستن
489,Kissen::N,pute,بالښت
490,Tuch::N,tøy,ټیکری
491,Handtuch::N,håndkle,دسمال
492,Kraft::N,kraft,زور
493,Kraft::N,kraft,توان
494,Stärke::N,styrke,قوت
495,Gesundheit::N,helse,صحت
496,Gesundheit::N,helse,روغتیا
497,Gesundheit::N,sunnhet,صحت
498,Gesundheit::N,sunnhet,روغتیا
499,Krankheit::N,syke,مرض
500,Krankheit::N,syke,ناروغي
501,Krankheit::N,sykdom,مرض
502,Krankheit::N,sykdom,ناروغي
503,Schmerz::N,smerte,درد
504,Wunde::N,sår,ټپ
505,Wunde::N,sår,زخم
506,Fieber::N,feber,تبه
507,Arznei::N,medisin,دوا
508,Arznei::N,medisin,دارو
509,Arznei::N,legemiddel,دوا
510,Arznei::N,legemiddel,دارو
511,Brücke::N,bro,پول
512,Brunnen::N,brønn,څاه
513,Brunnen::N,brønn,کوهی
514,Weide::N,beite,وله
515,Pfad::N,sti,تړه
516,Weg::N,vei,لیار
517,Straße::N,gate,سړک
518,Dorf::N,landsby,کلی
519,Stadt::N,by,ښار
520,Brief::N,brev,لیک
521,Brief::N,brev,مکتوب
522,Buch::N,bok,کتاب
523,Buchstabe::N,bokstav,حرف
524,Buchstabe::N,bokstav,توری
525,Zeitung::N,avis,اخبار
526,Leben::N,liv,ژوند
527,Tod::N,død,مرګ
528,Tod::N,død,مړینه
529,Grab::N,grav,قبر
530,Grab::N,grav,ډورۍ
531,Kirche::N,kirke,کلیسا
532,Sünde::N,synd,ګناه
533,Gott::N,gud,خدای
534,Arbeiter::N,arbeider,کاریګر
535,Chef::N,sjef,آمر
536,Meister::N,mester,استاد
537,Arzt::N,lege,طبیب
538,Arzt::N,lege,ډاکټر
539,Lehrer::N,lærer,معلم
540,Lehrer::N,lærer,ښوونکی
541,Geld::N,penger,پیسې
542,Geschäft::N,forretning,سوداګري
543,Laden::N,butikk,دکان
544,Laden::N,butikk,مغازه
545,Preis::N,pris,بیه
546,Ware::N,vare,مال
547,Nutzen::N,nytte,ګټه
548,Reichtum::N,rikdom,شتمني
549,Welt::N,verden,نړۍ
550,Welt::N,verden,دنیا
551,Land::N,land,هېواد
552,Staat::N,stat,دولت
553,König::N,konge,باچا
554,König::N,konge,پادشاه
555,Macht::N,makt,قدرت
556,Grenze::N,grense,حد
557,Grenze::N,grense,سرحد
558,Krieg::N,krig,جګړه
559,Feind::N,fiende,دښمن
560,Gewalt::N,vold,زور
561,Gewalt::N,vold,تشدد
562,Kampf::N,kamp,جنګ
563,Kampf::N,kamp,مبارزه
564,Bogen[Waffe]::N,bue,لیندۍ
565,Pfeil::N,pil,غشی
566,Gewehr::N,gevær,ټوپک
567,Fehler::N,feil,خطا
568,Fehler::N,feil,غلطي
569,Lüge::N,løgn,دروغ
570,Schaden::N,skade,زیان
571,Schaden::N,skade,تاوان
572,Unglück::N,uhell,بدبختي
573,Schuld::N,skyld,ګناه
574,Alter::N,alder,منګ
575,Schluss::N,slutt,اخر
576,Zeit::N,tid,وخت
577,Tag::N,dag,ورځ
578,Morgen::N,morgen,سبا
579,Morgen::N,morgen,سهار
580,Mittag::N,middag,غرمه
581,Abend::N,aften,ماښام
582,Nacht::N,natt,شپه
583,Woche::N,uke,اونۍ
584,Monat::N,måned,مياشت
585,Jahr::N,år,کال
586,Frühling::N,vår,پسرلی
587,Sommer::N,sommer,دوبی
588,Herbst::N,høst,منی
589,Herbst::N,høst,خزان
590,Winter::N,vinter,ژمی
591,Januar::N,januar,جنوري
592,Februar::N,februar,فبروري
593,März::N,mars,مارچ
594,April::N,april,اپریل
595,Mai::N,mai,مې
596,Juni::N,juni,جون
597,Juli::N,juli,جولای
598,August::N,august,اګست
599,September::N,september,سپټامبر
600,Oktober::N,oktober,اکتوبر
601,November::N,november,نومبر
602,Dezember::N,desember,دسمبر
603,Montag::N,mandag,دوشنبه
604,Dienstag::N,tirsdag,سه شنبه
605,Mittwoch::N,onsdag,چارشنبه
606,Donnerstag::N,torsdag,پنجشنبه
607,Freitag::N,fredag,جمعه
608,Samstag::N,lørdag,خالي
609,Sonntag::N,søndag,یکشنبه
610,groß::A,stor,لوی
611,klein::A,liten,وړوکی
612,lang::A,lang,اوړد
613,kurz::A,kort,لنډ
614,breit::A,bred,پراخه
615,schmal::A,smal,تنګ
616,dicht::A,tett,ګڼ
617,dick[Gegenstand]::A,tykk,پنډ
618,dünn::A,tynn,نری
619,fein::A,fin,نازک
620,fest::A,fast,کلک
621,fest::A,fast,ټینګ
622,flach::A,flat,هوار
623,glatt::A,glatt,ښوی
624,hart::A,hard,کلک
625,weich::A,myk,نرم
626,weich::A,myk,پوست
627,weich::A,bløt,نرم
628,weich::A,bløt,پوست
629,rund::A,rund,ګرد
630,spitz::A,spiss,تېره
631,scharf::A,kvass,تېز
632,scharf::A,kvass,تېره
633,stumpf::A,stubb,پڅ
634,schwer::A,tung,دروند
635,schön::A,pen,ښکلی
636,schön::A,vakker,ښکلی
637,heiß::A,het,تود
638,warm::A,varm,تود
639,kalt::A,kald,ېخ
640,kalt::A,kald,سوړ
641,kühl::A,kjølig,ېخ
642,kühl::A,kjølig,سوړ
643,frisch::A,fersk,تازه
644,feucht::A,fuktig,مرطوب
645,nass::A,våt,لوند
646,trocken::A,tørr,وچ
647,voll::A,full,ډک
648,leer::A,tom,خالی
649,offen::A,åpen,خلاص
650,offen::A,åpen,پرانیستی
651,geschlossen::A,lukket,تړلی
652,sauber::A,ren,پاک
653,schmutzig::A,skitten,چټل
654,roh::A,rå,خام
655,reif::A,moden,پوخ
656,reif::A,moden,رسېدلی
657,lecker::A,lekker,خوندور
658,lecker::A,lekker,مزه دار
659,süß::A,søt,خوږ
660,süß::A,søt,شیرین
661,bitter::A,besk,تریخ
662,bitter::A,bitter,تریخ
663,sauer::A,sur,ټاک
664,sauer::A,sur,تريو
665,hell::A,lys,روڼ
666,hell::A,lys,روښان
667,dunkel::A,mørk,تیاره
668,schwarz::A,svart,تور
669,weiß::A,hvit,سپين
670,rot::A,rød,سور
671,gelb::A,gul,زېړ
672,blau::A,blå,شین
673,blau::A,blå,اسماني رنګه
674,grün::A,grønn,زرغون
675,grau::A,grå,خړ
676,bunt::A,broket,رنګارنګ
677,billig::A,billig,ارزان
678,teuer::A,dyr,ګران
679,wertvoll::A,verdifull,قیمتي
680,blind::A,blind,ړوند
681,taub::A,døv,کوڼ
682,kräftig::A,kraftig,قوی
683,stark::A,sterk,قوی
684,stark::A,sterk,تکړه
685,schwach::A,svak,ضعیف
686,schwach::A,svak,کمزوری
687,fett::A,fet,چاغ
688,schlank::A,slank,خوش اندام
689,hübsch::A,pen,ښکلی
690,hübsch::A,pen,ښایسته
691,böse::A,slem,شریر
692,böse::A,slem,قهرناک
693,dumm::A,dum,احمق
694,faul::A,lat,لټ
695,faul::A,lat,تنبل
696,faul::A,doven,لټ
697,faul::A,doven,تنبل
698,fleißig::A,flittig,زحمت کښ
699,geizig::A,gjerrig,بخیل
700,klug::A,klok,عاقل
701,klug::A,klok,هوښیار
702,geschickt::A,hendig,ماهر
703,geschickt::A,skikket,ماهر
704,lieb::A,kjær,عزیز
705,lieb::A,kjær,محبوب
706,lieb::A,snill,عزیز
707,lieb::A,snill,محبوب
708,lustig::A,morsom,خوشحال
709,sanft::A,blid,پوست
710,sanft::A,blid,ملایم
711,hungrig::A,sulten,وږی
712,krank::A,syk,مريض
713,krank::A,syk,ناروغ
714,nackt::A,naken,لوڅ
715,traurig::A,sørgmodig,غمجن
716,lebendig::A,levende,ژوندی
717,gut::A,god,ښه
718,schlecht::A,dårlig,بد
719,schlecht::A,dårlig,خراب
720,richtig::A,riktig,سم
721,richtig::A,riktig,صحیح
722,schlimm::A,slem,بد
723,schlimm::A,slem,مخوف
724,wahr::A,sann,واقعي
725,alt::A,gammel,زوړ
726,neu::A,ny,نوی
727,ehemalig::A,forhenværende,پخوانی
728,alt[Lebewesen]::A,gammel,زوړ
729,jung::A,ung,ځوان
730,arm::A,fattig,غریب
731,arm::A,fattig,بې وزله
732,reich::A,rik,شتمن
733,reich::A,rik,دولتمند
734,bekannt::A,kjent,اشنا
735,berühmt::A,berømt,مشهور
736,fremd::A,fremmed,پردی
737,fremd::A,fremmed,بېګانه
738,verschieden::A,forskjellig,مختلف
739,nah::A,nær,نژدې
740,fern::A,fjern,لیری
741,linker::A,venstre,چپ
742,linker::A,venstre,کیڼ
743,rechter::A,høyre,ښی
744,anderer::A,annen,بل
745,erster::A,første,لومړی
746,zweiter::A,annen,دوهم
747,dritter::A,tredje,درېم
748,letzter::A,sist,آخرنی
749,letzter::A,sist,وروستی
750,allein::ADV,alene,یوازې
751,auf einmal::ADV,med ett,په یوه وخت کی
752,zusammen::ADV,sammen,یو ځای
753,lange::ADV,lenge,ډېر وخت
754,lange::ADV,lenge,ډېره موده
755,plötzlich::ADV,plutselig,ناببره
756,plötzlich::ADV,plutselig,یوناڅاپه
757,sofort::ADV,straks,فوراً
758,sofort::ADV,straks,سمدلاسه
759,später::ADV,senere,وروسته
760,jetzt::ADV,nå,اوس
761,heute::ADV,i dag,نن
762,morgen::ADV,i morgen,سبا
763,bald::ADV,snart,ژر
764,dann::ADV,så,پس
765,dann::ADV,så,وروسته
766,gestern::ADV,i går,پرون
767,einst::ADV,engang,پخوا
768,damals::ADV,den gang,هغه وخت
769,danach::ADV,deretter,بیا
770,vorher::ADV,før,دمخه
771,vorher::ADV,i forveien,دمخه
772,zuerst::ADV,først,لومړی
773,einmal::ADV,en gang,یو ځل
774,manchmal::ADV,somme tider,ګاهی ګاهی
775,oft::ADV,ofte,ډېر ځله
776,immer::ADV,alltid,تل
777,immer::ADV,alltid,همېشه
778,niemals::ADV,aldri,هیڅکله نه
779,hier::ADV,her,دلته
780,hierhin::ADV,hit,دلته
781,hierhin::ADV,hit,دې ځای ته
782,von hier::ADV,herfra,د دې ځای نه
783,dort::ADV,der,هلته
784,dorthin::ADV,dit,هلته
785,dorthin::ADV,dit,هغه ځای ته
786,geradeaus::ADV,rett fram,مخامخ
787,vorwärts::ADV,fram,مخ پهٔ وړاندې
788,vorwärts::ADV,framover,مخ پهٔ وړاندې
789,rückwärts::ADV,baklengs,بېرته
790,zurück::ADV,tilbake,بېرته
791,unten::ADV,nede,لاندي
792,hinab::ADV,ned,ښکته
793,hinab::ADV,nedover,ښکته
794,oben::ADV,oppe,پورته
795,oben::ADV,ovenpå,پورته
796,hinauf::ADV,opp,پاس
797,hinauf::ADV,oppover,پاس
798,überall::ADV,overalt,هره خوا
799,nicht::ADV,ikke,نه
800,ein wenig::ADV,litt,یو څه
801,kaum::ADV,neppe,ایله
802,sehr::ADV,svært,ډېر
803,sehr::ADV,svært,زيات
804,so::ADV,så,داسې
805,so::ADV,så,دومره
806,noch::ADV,enda,نور
807,nur::ADV,bare,تش
808,nur::ADV,bare,صرف
809,schon::ADV,alt,دمخه
810,schon::ADV,allerede,دمخه
811,wieder::ADV,igjen,بیا
812,vergebens::ADV,forgjeves,عبث
