,Concept_ID,fi,ab
96,Hitze::N,kuumuus,ашоура
97,Raureif::N,huurre,аҵааҧшқа
98,Regenbogen::N,sateenkaari,ацəаҟəа
99,Donner::N,jyrinä,адыд
100,Strömung::N,virtaus,аиасра
101,Strömung::N,virtaus,амҩасра
102,Tropfen::N,tippa,ацəыкəбар
103,Tropfen::N,pisara,ацəыкəбар
104,Schaum::N,vaahto,ашəах
105,Schmutz::N,loka,алымт
106,See::N,järvi,аӡиа
107,Sumpf::N,suo,аӡмах
108,Moor::N,räme,
109,Wiese::N,niitty,адəы
110,Wald::N,metsä,абна
111,Hügel::N,mäki,ахəы
112,Hügel::N,kumpu,ахəы
113,Hügel::N,kukkula,ахəы
114,Anhöhe::N,mäki,аҳаракыра
115,Anhöhe::N,kumpare,аҳаракыра
116,Berg::N,mäki,ашьха
117,Berg::N,vuori,ашьха
118,Gipfel::N,laki,ацəқəа
119,Gipfel::N,huippu,ацəқəа
120,Höhle::N,luola,аҳаҧы
121,Abhang::N,rinne,анаара
122,Quelle::N,lähde,аҵҵырҭа
123,Bach::N,puro,акəараҷҷа
124,Fluss::N,joki,аӡиас
125,Ufer::N,ranta,ахықə
126,Küste::N,rannikko,ахықə
127,Festland::N,manner,абарра
128,Meer::N,meri,амшын
129,Bucht::N,lahti,аӡбжьахала
130,Insel::N,saari,адгьылбжьаха
131,Blume::N,kukka,ашəҭ
132,Gras::N,ruoho,аҳасакьын
133,Wurzel::N,juuri,адац
134,Baum::N,puu,аҵла
135,Stamm::N,runko,ашьапы
136,Rinde::N,kuori,ацəа
137,Rinde::N,parkki,ацəа
138,Ast::N,oksa,амахə
139,Ast::N,oksa,амахəҭа
140,Zweig::N,haara,амахə
141,Zweig::N,haara,амахəҭа
142,Blatt::N,lehti,абҕьы
143,Birke::N,koivu,аҵааҵла
144,Kiefer[Baum]::N,mänty,амза
145,Kiefer[Baum]::N,petäjä,амза
146,Weide[Baum]::N,paju,аҧслыш
147,Tanne::N,kuusi,аҧсаӡ
148,Horn::N,sarvi,атəыҩа
149,Feder::N,sulka,ахӡы
150,Feder::N,höyhen,ахӡы
151,Fell::N,talja,ацəа
152,Flügel::N,siipi,амҵəыжəа
153,Klaue::N,kynsi,ашьапхыц
154,Kralle::N,kynsi,
155,Schwanz::N,häntä,аҵыхəа
156,Schwanz::N,pyrstö,аҵыхəа
157,Ei::N,muna,акəтаӷь
158,Nest::N,pesä,аҭра
159,Nest::N,pesä,аҵысҭра
160,Bau::N,pesä,аҭыҩра
161,Tier::N,eläin,аҧстəы
162,Tier::N,eläin,агыгшəыг
163,Herde::N,lauma,агəарҭа
164,Kuh::N,lehmä,ажə
165,Bulle::N,sonni,ацə
166,Pferd::N,hevonen,аҽы
167,Schaf::N,lammas,ауаса
168,Schwein::N,sika,аҳəа
169,Hund::N,koira,ала
170,Katze::N,kissa,ацгəы
171,Bär::N,karhu,амшə
172,Eichhörnchen::N,orava,аеш
173,Elch::N,hirvi,аҽаҩа
174,Fuchs::N,kettu,абгахəыҷы
175,Hase::N,jänis,ажьа
176,Maus::N,hiiri,аҳəынаҧ
177,Wolf::N,susi,абгаду
178,Vogel::N,lintu,аҧсаатə
179,Schwarm::N,parvi,
180,Huhn::N,kana,акəты
181,Hahn::N,kukko,арбаҕь
182,Gans::N,hanhi,аҟыз
183,Adler::N,kotka,ауарба
184,Ente::N,ankka,акəата
185,Eule::N,pöllö,аты
186,Kranich::N,kurki,апҟа
187,Krähe::N,varis,аҟəараан
188,Kuckuck::N,käki,акəыкəу
189,Schwan::N,joutsen,агьад
190,Fisch::N,kala,аҧсыӡ
191,Barsch::N,ahven,ацəыбла
192,Hecht::N,hauki,ахиаала
193,Schlange[Tier]::N,käärme,амаҭ
194,Wurm::N,mato,ахəа
195,Wurm::N,mato,ахəац
196,Spinne::N,hämähäkki,абызкаҭаҳа
197,Ameise::N,muurahainen,ашышкамс
198,Laus::N,täi,аҵа
199,Mücke::N,sääski,акəыбры
200,Mücke::N,hyttynen,акəыбры
201,Fliege::N,kärpänen,амҵ
202,Schmetterling::N,perhonen,аҧарҧалыкь
203,Beere::N,marja,аргуц
204,Apfel::N,omena,аҵəа
205,Pilz::N,sieni,акəкəбаа
206,Zwiebel::N,sipuli,аџьымшьы
207,Zwiebel::N,sipuli,аџьымшьхы
208,Saat::N,siemenet,ажəла
209,Korn::N,jyvä,арыц
210,Korn::N,vilja,арыц
211,Heu::N,heinä,аҭəа
212,Schale::N,kuori,ацəа
213,Grube::N,kuoppa,ажра
214,Grube::N,kuoppa,атыша
215,Falle::N,loukku,арыҧҟьа
216,Schlinge::N,ansa,аҟəараҟəантə
217,Spur::N,jälki,ашьҭа
218,Asche::N,tuhka,ахəа
219,Dreck::N,lika,аҳəынҵəа
220,Dreck::N,lika,аҟьамсар
221,Eisen::N,rauta,аиха
222,Gold::N,kulta,ахьы
223,Silber::N,hopea,аразны
224,Kohle::N,hiili,арацəа
225,Glas::N,lasi,асаркьа
226,Lehm::N,savi,анышəаҧшь
227,Sand::N,hiekka,аҧслымӡ
228,Mensch::N,ihminen,ауаҩы
229,Mann::N,mies,ахаҵа
230,Frau::N,nainen,аҧҳəыс
231,Kind::N,lapsi,ахəыҷы
232,Junge::N,poika,аҷкəын
233,Junge::N,poika,ахаҵарҧыс
234,Mädchen::N,tyttö,аӡӷаб
235,Familie::N,perhe,аҭаацəа
236,Großvater::N,isoisä,абду
237,Großmutter::N,isoäiti,анду
238,Eltern::N,vanhemmat,ани аби
239,Vater::N,isä,аб
240,Mutter::N,äiti,ан
241,Sohn::N,poika,аҧа
242,Tochter::N,tytär,аҧҳа
243,Bruder::N,veli,аиашьа
244,Schwester::N,sisko,Аҳəшьа
245,Onkel::N,eno,абиашьа
246,Onkel::N,eno,аншьа
247,Onkel::N,setä,абиашьа
248,Onkel::N,setä,аншьа
249,Tante::N,täti,абиаҳəшьа
250,Ehemann::N,mies,ахаҵа
251,Ehemann::N,mies,аҧшəма
252,Ehemann::N,aviomies,ахаҵа
253,Ehemann::N,aviomies,аҧшəма
254,Ehefrau::N,vaimo,аҧҳəыс
255,Ehefrau::N,aviovaimo,аҧҳəыс
256,Freude::N,ilo,агəырӷьара
257,Freude::N,riemu,агəырӷьара
258,Gelächter::N,nauru,ачча
259,Gelächter::N,nauru,аччара
260,Glück::N,onni,аразҟы
261,Kummer::N,suru,агəырҩа
262,Kummer::N,murhe,агəырҩа
263,Wunsch::N,toive,агəхəтəы
264,Wunsch::N,toive,аҭахра
265,Wunsch::N,toivomus,агəхəтəы
266,Wunsch::N,toivomus,аҭахра
267,Lust::N,himo,агəазыҳəара
268,Geist::N,henki,аҧсы
269,Gedanke::N,aate,ахəыцырҭа
270,Gedanke::N,ajatus,ахəыцырҭа
271,Gedächtnis::N,muisti,агəынкылара
272,Verstand::N,äly,ахшыҩ
273,Verstand::N,järki,ахшыҩ
274,Verstand::N,ymmärrys,ахшыҩ
275,Sinn::N,merkitys,аҵакы
276,Grund::N,syy,амзыз
277,Grund::N,peruste,амзыз
278,Wahrheit::N,tosi,аиаша
279,Wahrheit::N,totuus,аиаша
280,Gespräch::N,puhelu,аиҿцәажәара
281,Gespräch::N,keskustelu,аиҿцәажәара
282,Märchen::N,satu,алакə
283,Erzählung::N,tarina,ажәабжь
284,Erzählung::N,kertomus,ажәабжь
285,Nachricht::N,tieto,адырраҭара
286,Nachricht::N,ilmoitus,адырраҭара
287,Neuigkeit::N,uutinen,ажәабжь ҿыц
288,Name::N,nimi,ахьӡ
289,Rätsel::N,arvoitus,ацуфара
290,Rede::N,puhe,ажәа
291,Sprache::N,kieli,абызшəа
292,Stimme::N,ääni,абжьы
293,Wort::N,sana,ажәа
294,Zeichen::N,merkki,адырга
295,Ruf::N,kutsu,аҿҭы
296,Lärm::N,melu,ашьҭыбжь
297,Lärm::N,hälinä,ашьҭыбжь
298,Laut::N,ääni,ашьҭыбжь
299,Ton::N,sävel,атон
300,Lied::N,laulu,ашəа
301,Ruhe::N,lepo,аҭынчра
302,Ruhe::N,rauha,аҭынчра
303,Leute::N,väki,ауаа
304,Leute::N,ihmiset,ауаа
305,Volk::N,kansa,ажəлар
306,Arbeit::N,työ,аусура
307,Gast::N,vieras,асас
308,Geschenk::N,lahja,аҳамҭа
309,Geschenk::N,lahja,аҿанҵа
310,Spiel::N,peli,ахəмарра
311,Spiel::N,leikki,ахəмарра
312,Gesellschaft::N,seura,агəыҧ
313,Hilfe::N,apu,ацхыраара
314,Freund::N,ystävä,аҩыза
315,Kamerad::N,toveri,Аҧхнагьла
316,Angelegenheit::N,asia,аус
317,Anzahl::N,lukumäärä,ахыҧхьаӡара
318,Art::N,laji,ахкы
319,Stück::N,pala,аҽыҭ
320,Stück::N,kappale,аҽыҭ
321,Teil::N,osa,ахəҭа
322,Hälfte::N,puoli,абжа
323,Kreis::N,ympyrä,агьагьа
324,Kreuz::N,risti,аџьар
325,Linie::N,viiva,аицтәар
326,Strich::N,piirto,ацəаҳəа
327,Abstand::N,väli,абжьара
328,Abstand::N,väljyys,абжьара
329,Entfernung::N,etäisyys,абжьара
330,Gegend::N,seutu,аҭыҧ
331,Platz::N,tila,аҭыҧ
332,Ort::N,kohta,аҭыҧ
333,Ort::N,paikka,аҭыҧ
334,Seite::N,sivu,аган
335,Seite::N,kylki,аган
336,Mitte::N,keskus,агəҭа
337,Mitte::N,puoliväli,агəҭа
338,Gegenstand::N,kalu,амаҭəар
339,Gegenstand::N,esine,амаҭəар
340,Sache::N,asia,
341,Rand::N,ääri,аҵкар
342,Rand::N,syrjä,аҵкар
343,Kante::N,särmä,авардым
344,Ecke::N,nurkka,акəакь
345,Spitze::N,terä,аҧынҵа
346,Spitze::N,kärki,аҧынҵа
347,Ende::N,pää,анаӡара
348,Ende::N,perä,анаӡара
349,Loch::N,kolo,акылҵəара
350,Loch::N,reikä,акылҵəара
351,Winkel::N,kulma,агҿаҩра
352,Winkel::N,kulma,акəындхə
353,Winkel::N,kulma,акəакь
354,Muster::N,kuvio,аҟҟа
355,Größe::N,koko,изаҟароу
356,Größe::N,suuruus,изаҟароу
357,Länge::N,pituus,аура
358,Höhe::N,korkeus,агылара
359,Gewicht::N,paino,акапан
360,Menge::N,määrä,
361,Haufen::N,kasa,ачаҟəа
362,Reihe::N,rivi,ацəаҳəа
363,Boot::N,vene,анышь
364,Ruder::N,airo,ажəҩа
365,Schlitten::N,reki,ашəаҩауардын
366,Schlitten::N,kelkka,ашəаҩауардын
367,Ski::N,suksi,ашəаҩа
368,Ski::N,suksi,ашьахаха
369,Lagerfeuer::N,nuotio,еиқуу амца
370,Last::N,kuorma,ахьанҭара
371,Gang::N,kulku,аныҟəара
372,Gang::N,käynti,аныҟəара
373,Schritt::N,askel,ашьаҿа
374,Norden::N,pohjoinen,аҩада
375,Süden::N,etelä,алада
376,Westen::N,länsi,амраҭашəара
377,Osten::N,itä,амрагылара
378,Holz::N,puu,амҿымаҭəахə
379,Brett::N,lauta,аӷəы
380,Platte::N,levy,ахаҳәцәы
381,Stütze::N,noja,аҵаргəа
382,Stütze::N,noja,агəышьаҟа
383,Stange::N,tanko,акьат
384,Stock::N,keppi,алаба
385,Stab::N,sauva,акьат
386,Stab::N,seiväs,акьат
387,Rohr::N,putki,абыкь
388,Haus::N,talo,аҩны
389,Heim::N,koti,аҭаацəа
390,Ofen::N,uuni,аҳақə
391,Ofen::N,uuni,ауаџьаҟ
392,Ofen::N,uuni,афрына
393,Fußboden::N,lattia,адашьма
394,Tisch::N,pöytä,аишәа
395,Stuhl::N,tuoli,аҟəардə
396,Wiege::N,kehto,агара
397,Bett::N,sänky,акаруаҭ
398,Regal::N,hylly,акыӷəра
399,Kiste::N,arkku,аидчаҧала
400,Kiste::N,kirstu,аидчаҧала
401,Kiste::N,laatikko,аидчаҧала
402,Fenster::N,ikkuna,аҧенџьыр
403,Tür::N,ovi,ашə
404,Tor::N,portti,агəашə
405,Zaun::N,aita,аанда
406,Dach::N,katto,ахыб
407,Leiter::N,tikkaat,амардуан
408,Leiter::N,tikapuut,амардуан
409,Besen::N,luuta,аҧссага
410,Spaten::N,lapio,ажыга
411,Schaufel::N,lapio,аҭəарӷəы
412,Gabel::N,haarukka,ачқьыҧ
413,Löffel::N,lusikka,амҳаҵə
414,Messer::N,veitsi,аҳəызба
415,Nagel::N,naula,аҵəымӷ
416,Netz::N,verkko,акаҭа
417,Haken::N,haka,аҵəаҳə
418,Haken::N,koukku,аҵəаҳə
419,Griff::N,ripa,амаа
420,Griff::N,kahva,амаа
421,Schloss::N,lukko,асаҧаҭ
422,Bild::N,kuva,асахьа
423,Figur::N,kuvio,афигура
424,Puppe::N,nukke,акьанџьа
425,Beutel::N,pussi,асакь
426,Bündel::N,nippu,аҿаҳəара
427,Bündel::N,kimppu,аҿаҳəара
428,Tasche::N,laukku,арҭмаҟ
429,Eimer::N,sanko,аведра
430,Eimer::N,ämpäri,аведра
431,Deckel::N,kansi,ахҩа
432,Geschirr::N,astia,ачысмаҭəа
433,Sack::N,säkki,асакь
434,Tasse::N,kuppi,аҵəца
435,Topf::N,pata,акаструлиа
436,Kessel::N,kattila,ачуан
437,Essen::N,syönti,
438,Nahrung::N,ruoka,афатə
439,Nahrung::N,ravinto,афатə
440,Speise::N,ruoka,афатə
441,Fleisch::N,liha,акəац
442,Getreide::N,vilja,ачакуа
443,Brei::N,puuro,ақашь
444,Brot::N,leipä,ача
445,Scheibe::N,viipale,аҽыҭ
446,Scheibe::N,viipale,аҿаҵа
447,Fett::N,rasva,ашша
448,Butter::N,voi,ахəша
449,Öl::N,öljy,азеҭ
450,Salz::N,suola,аџьыка
451,Suppe::N,keitto,асуҧ
452,Honig::N,hunaja,ацха
453,Milch::N,maito,ахш
454,Tee::N,tee,ачаи
455,Leder::N,nahka,ацəа
456,Wolle::N,villa,аласа
457,Stoff::N,kangas,Аба
458,Nadel::N,neula,агəыр
459,Faden::N,lanka,арахəыц
460,Knopf::N,nappi,аҳəынҵəра
461,Knoten::N,solmu,аиқəҳəала
462,Farbe::N,maali,ашəыга
463,Kleidung::N,vaatteet,амаҭəа
464,Hemd::N,paita,акьаҿ
465,Kragen::N,kaulus,ахəда
466,Ärmel::N,hiha,амаӷра
467,Hose::N,housut,аиқəа
468,Gürtel::N,vyö,амаҟа
469,Mütze::N,lakki,ахылҧа
470,Schuh::N,kenkä,аимаа
471,Stiefel::N,saapas,амагə
472,Ring::N,sormus,амацəаз
473,Band::N,nauha,алента
474,Kamm::N,kampa,ахҳəа
475,Spiegel::N,peili,асаркьа
476,Riemen::N,hihna,аа
477,Schnur::N,naru,ашаха
478,Schnur::N,nuora,ашаха
479,Leine::N,talutushihna,аҕура
480,Decke::N,peite,ахыза
481,Kissen::N,tyyny,ахчы
482,Kissen::N,pielus,ахчы
483,Tuch::N,huivi,акасы
484,Handtuch::N,pyyheliina,ампахьшьы
485,Kraft::N,väki,амч
486,Kraft::N,voima,амч
487,Stärke::N,vahvuus,амч
488,Gesundheit::N,terveys,агəабзиара
489,Krankheit::N,tauti,ачымазара
490,Krankheit::N,sairaus,ачымазара
491,Schmerz::N,kipu,ахьаа
492,Schmerz::N,särky,ахьаа
493,Wunde::N,haava,ахəра
494,Fieber::N,kuume,ашоура
495,Arznei::N,lääke,ахəшə
496,Brücke::N,silta,ацҳа
497,Brunnen::N,kaivo,аҵыџь
498,Weide::N,laidun,аҳəырҭа
499,Pfad::N,polku,амхəасҭа
500,Weg::N,tie,амҩа
501,Straße::N,katu,амҩа
502,Dorf::N,kylä,ақыҭа
503,Stadt::N,kaupunki,ақалақь
504,Brief::N,kirje,ашəҟəы
505,Buch::N,kirja,ашəҟəы
506,Buchstabe::N,kirjain,анбан
507,Zeitung::N,lehti,агазеҭ
508,Zeitung::N,sanomalehti,агазеҭ
509,Leben::N,elo,аҧсҭазаара
510,Leben::N,elämä,аҧсҭазаара
511,Tod::N,kuolema,аҧсра
512,Grab::N,hauta,анышəынҭра
513,Kirche::N,kirkko,ауахəама
514,Sünde::N,synti,агəнаҳа
515,Gott::N,jumala,анцəа
516,Arbeiter::N,työläinen,аусуҩ
517,Chef::N,päällikkö,Аиҳабы
518,Meister::N,mestari,аҟаза
519,Arzt::N,lääkäri,аҳақьым
520,Lehrer::N,opettaja,арҵаҩы
521,Geld::N,raha,аҧара
522,Geschäft::N,liike,
523,Laden::N,puoti,амагазин
524,Laden::N,kauppa,амагазин
525,Preis::N,hinta,ахə
526,Ware::N,tavara,атауар
527,Nutzen::N,hyöty,ақьар
528,Reichtum::N,rikkaus,абеиара
529,Welt::N,maailma,адунеи
530,Land::N,maa,атəыла
531,Staat::N,valtio,аҳəынҭқарра
532,König::N,kuningas,акрал
533,Macht::N,mahti,амчра
534,Grenze::N,raja,аҳəаа
535,Krieg::N,sota,аибашьра
536,Feind::N,vihollinen,Аҕа
537,Gewalt::N,väkivalta,ақəымчра
538,Kampf::N,taistelu,ақəҧара
539,Bogen[Waffe]::N,jousi,ахыц
540,Pfeil::N,nuoli,ахəымпал
541,Gewehr::N,kivääri,ашəақь
542,Fehler::N,vika,агха
543,Fehler::N,virhe,агха
544,Lüge::N,valhe,амц
545,Schaden::N,vaurio,аҧырхага
546,Schaden::N,vahinko,аҧырхага
547,Unglück::N,vahinko,арыцҳара
548,Unglück::N,onnettomuus,арыцҳара
549,Schuld::N,syy,ахара
550,Alter::N,ikä,ақəра
551,Schluss::N,loppu,анҵəамҭа
552,Zeit::N,aika,аамта
553,Tag::N,päivä,амш
554,Morgen::N,aamu,ашара
555,Morgen::N,aamu,ашьыбжь
556,Morgen::N,huomen,ашара
557,Morgen::N,huomen,ашьыбжь
558,Mittag::N,keskipäivä,шьыбжьон
559,Abend::N,ilta,ахəылҧаз
560,Abend::N,ilta,ахəлбыҽха
561,Nacht::N,yö,аҵх
562,Woche::N,viikko,амчыбжь
563,Monat::N,kuukausi,
564,Jahr::N,vuosi,
565,Frühling::N,kevät,ааҕын
566,Sommer::N,kesä,аҧхын
567,Herbst::N,syksy,ҭагалан
568,Herbst::N,syksy,хкаарачан
569,Winter::N,talvi,аӡын
570,Januar::N,tammikuu,ианвар
571,Februar::N,helmikuu,февраль
572,März::N,maaliskuu,март
573,April::N,huhtikuu,апрель
574,Mai::N,toukokuu,маи
575,Juni::N,kesäkuu,иуун
576,Juli::N,heinäkuu,иууль
577,August::N,elokuu,август
578,September::N,syyskuu,сентиабр
579,Oktober::N,lokakuu,октиабр
580,November::N,marraskuu,ноиабр
581,Dezember::N,joulukuu,декабр
582,Montag::N,maanantai,ашəахьа
583,Dienstag::N,tiistai,аҩаша
584,Mittwoch::N,keskiviikko,ахаша
585,Donnerstag::N,torstai,аҧшьаша
586,Freitag::N,perjantai,ахəаша
587,Samstag::N,lauantai,асабша
588,Sonntag::N,sunnuntai,амҽыша
589,groß::A,iso,аду
590,groß::A,suuri,аду
591,klein::A,pieni,амаҷ
592,lang::A,pitkä,ахəхəа
593,kurz::A,lyhyt,акьаҿ
594,breit::A,leveä,аиужь
595,breit::A,leveä,аиҵых
596,schmal::A,kapea,аҭшəа
597,dicht::A,taaja,аилач
598,dick[Gegenstand]::A,paksu,ажəпа
599,dünn::A,ohut,
600,fein::A,hieno,апа
601,fein::A,hieno,аҵаӷа
602,fein::A,hieno,аӡа
603,fest::A,luja,аҟаца
604,fest::A,luja,аӷəӷəаҟаца
605,flach::A,litteä,ақəаҟьа
606,flach::A,litteä,аҧаҟьа
607,flach::A,tasainen,ақəаҟьа
608,flach::A,tasainen,аҧаҟьа
609,glatt::A,sileä,аимаҩзы
610,glatt::A,siloinen,аимаҩзы
611,hart::A,kova,акьакьа
612,weich::A,pehmeä,атата
613,rund::A,pyöreä,акəмпыл
614,spitz::A,terävä,аҵар
615,scharf::A,terävä,аҵар
616,stumpf::A,tylsä,ацагə
617,schwer::A,raskas,ахьанҭа
618,schwer::A,painava,ахьанҭа
619,schön::A,kaunis,аҧшӡа
620,heiß::A,kuuma,ашы
621,warm::A,lämmin,аҧха
622,kalt::A,kylmä,ахьшəашəа
623,kalt::A,viluinen,ахьшəашəа
624,kühl::A,viileä,ахьшəашəа
625,kühl::A,viileä,ицәыхьшәашәоу
626,frisch::A,tuore,цқьа
627,feucht::A,kostea,ацəаак
628,nass::A,märkä,абааӡа
629,trocken::A,kuiva,Аба
630,trocken::A,kuiva,аҩа
631,voll::A,täysi,азна
632,leer::A,tyhjä,аҭацəы
633,offen::A,avonainen,аарта
634,geschlossen::A,suljettu,ихҩоу
635,geschlossen::A,suljettu,иаркыу
636,sauber::A,puhdas,ацқьа
637,schmutzig::A,likainen,аҟьашь
638,roh::A,raaka,
639,reif::A,kypsä,Арҭ
640,reif::A,kypsä,аҟала
641,reif::A,kypsä,иҟалахьоу
642,lecker::A,herkullinen,ахаа
643,süß::A,makea,азла
644,bitter::A,karvas,аша
645,bitter::A,kitkerä,аша
646,sauer::A,hapan,аҵəҵəы
647,hell::A,kirkas,алаша
648,hell::A,valoisa,алаша
649,dunkel::A,pimeä,алашьца
650,schwarz::A,musta,аиқуаҵәа
651,weiß::A,valkea,ашкəакəа
652,rot::A,punainen,аҟаҧшь
653,gelb::A,keltainen,аҩеижь
654,blau::A,sininen,аҽҵәа
655,grün::A,vihreä,ашьацҧшҭəала
656,grün::A,vihreä,аеҵəа
657,grau::A,harmaa,ацəыш
658,bunt::A,kirjava,Аилыҕраа
659,bunt::A,kirjava,аҕраҷкəын
660,billig::A,halpa,амариа
661,billig::A,huokea,амариа
662,teuer::A,kallis,амҩан
663,wertvoll::A,arvokas,кыр иаҕсоу
664,wertvoll::A,arvokas,акыр иаҕсоу
665,blind::A,sokea,алашə
666,taub::A,kuuro,адагəа
667,kräftig::A,väkevä,аӷəӷəа
668,kräftig::A,voimakas,аӷəӷəа
669,stark::A,vahva,абаҟа
670,schwach::A,heikko,акəада
671,fett::A,lihava,аҧсыла
672,schlank::A,hoikka,акала
673,schlank::A,hoikka,акьалантар
674,schlank::A,hoikka,аиҿартə
675,schlank::A,solakka,акала
676,schlank::A,solakka,акьалантар
677,schlank::A,solakka,аиҿартə
678,hübsch::A,soma,аҧшӡа
679,hübsch::A,sievä,аҧшӡа
680,böse::A,paha,абааҧсы
681,böse::A,häijy,абааҧсы
682,dumm::A,tyhmä,агаӡа
683,dumm::A,typerä,агаӡа
684,faul::A,laiska,аашьа
685,fleißig::A,ahkera,иҟубҷоу
686,geizig::A,saita,акы
687,geizig::A,saita,акаҷбеи
688,geizig::A,saita,аҟəџьыр
689,klug::A,älykäs,аҟəыш
690,klug::A,älykäs,аҟəыӷа
691,geschickt::A,taitava,напҟазала
692,lieb::A,rakas,алашара
693,lustig::A,hauska,алах-ҿых
694,lustig::A,hauska,игурҕьаччо
695,lustig::A,hauska,агурҕьа
696,lustig::A,hauska,агурҿыхага
697,lustig::A,iloinen,алах-ҿых
698,lustig::A,iloinen,игурҕьаччо
699,lustig::A,iloinen,агурҕьа
700,lustig::A,iloinen,агурҿыхага
701,sanft::A,lauha,атата
702,sanft::A,lauha,аҟəымшəышə
703,sanft::A,lauha,ақьыҧш
704,sanft::A,lempeä,атата
705,sanft::A,lempeä,аҟəымшəышə
706,sanft::A,lempeä,ақьыҧш
707,hungrig::A,nälkäinen,амлашь
708,krank::A,sairas,ачымазаҩ
709,nackt::A,alaston,аҟьантаз
710,traurig::A,surullinen,алахьеиқəҵага
711,traurig::A,murheellinen,алахьеиқəҵага
712,lebendig::A,elävä,абза
713,gut::A,hyvä,абзиа
714,schlecht::A,paha,-хəарҭам
715,schlecht::A,huono,-хəарҭам
716,richtig::A,oikea,иашоу
717,schlimm::A,paha,абааҧсы
718,wahr::A,tosi,агəҭылса
719,wahr::A,tosi,абзиаҵəҟьа
720,alt::A,vanha,Ажə
721,neu::A,uusi,аҿыц
722,ehemalig::A,entinen,анкьатәи
723,ehemalig::A,muinainen,анкьатәи
724,alt[Lebewesen]::A,vanha,абырг
725,alt[Lebewesen]::A,vanha,ақабада
726,alt[Lebewesen]::A,vanha,Ажə
727,jung::A,nuori,аҟата
