,Concept_ID,pt,lez
185,Adler::N,águia,лекь
186,Ente::N,pata,пӏатӏ
187,Eule::N,mocho,тӏиб
188,Eule::N,coruja,тӏиб
189,Kranich::N,grou,дурна
190,Krähe::N,gralha,къаргъа
191,Kuckuck::N,cuco,кукупӏ
192,Schwan::N,cisne,къугь
193,Fisch::N,peixe,гъед
194,Barsch::N,perca,окунь
195,Hecht::N,lúcio,щука
196,Schlange[Tier]::N,serpente,илан
197,Schlange[Tier]::N,serpente,гъуьлягъ
198,Wurm::N,verme,квак
199,Spinne::N,aranha,хуьшрекан
200,Ameise::N,formiga,цегв
201,Laus::N,piolho,нет
202,Mücke::N,mosquito,ветӏ
203,Fliege::N,mosca,тӏветӏ
204,Schmetterling::N,borboleta,чепелукь
205,Beere::N,bago,куьлуь емиш
206,Apfel::N,maçã,ич
207,Pilz::N,fungo,къарникъуз
208,Pilz::N,cogumelo,къарникъуз
209,Zwiebel::N,cebola,чичӏек
210,Saat::N,sementeira,тумар
211,Korn::N,grão,твар
212,Heu::N,feno,векь
213,Heu::N,feno,векьер
214,Schale::N,casca,пириш
215,Schale::N,casca,хъуьруьш
216,Grube::N,cova,фур
217,Grube::N,fossa,фур
218,Falle::N,armadilha,ракьар
219,Schlinge::N,laço,гьалкъа
220,Spur::N,pista,гел
221,Spur::N,vestígio,гел
222,Asche::N,cinza,руьхъ
223,Dreck::N,sujidade,чирк
224,Dreck::N,sujidade,кьуруш
225,Eisen::N,ferro,ракь
226,Gold::N,ouro,алтун
227,Silber::N,prata,гимиш
228,Kohle::N,carvão,цӏивин
229,Glas::N,vidro,шуьше
230,Lehm::N,barro,ччеб
231,Lehm::N,argila,ччеб
232,Sand::N,areia,къум
233,Mensch::N,homem,инсан
234,Mensch::N,pessoa,инсан
235,Mann::N,homem,итим
236,Frau::N,mulher,паб
237,Frau::N,mulher,дишегьли
238,Kind::N,filho,аял
239,Kind::N,criança,аял
240,Junge::N,rapaz,гада
241,Junge::N,menino,гада
242,Mädchen::N,menina,руш
243,Mädchen::N,rapariga,руш
244,Familie::N,família,хзан
245,Familie::N,família,килфет
246,Großvater::N,avô,чӏехи буба
247,Großmutter::N,avó,чӏехи диде
248,Eltern::N,pais,диде-буба
249,Vater::N,pai,буба
250,Mutter::N,mãe,диде
251,Sohn::N,filho,хва
252,Tochter::N,filha,руш
253,Bruder::N,irmão,стха
254,Schwester::N,irmã,вах
255,Onkel::N,tio,ими
256,Onkel::N,tio,халу
257,Tante::N,tia,эме
258,Tante::N,tia,хала
259,Ehemann::N,esposo,гъуьл
260,Ehefrau::N,esposa,паб
261,Freude::N,prazer,шадвал
262,Freude::N,alegria,шадвал
263,Gelächter::N,risada,хъвер
264,Gelächter::N,gargalhada,хъвер
265,Glück::N,felicidade,бахт
266,Kummer::N,aflição,дерт
267,Kummer::N,aflição,хажалат
268,Kummer::N,desgosto,дерт
269,Kummer::N,desgosto,хажалат
270,Wunsch::N,desejo,мурад
271,Lust::N,vontade,гьевес
272,Geist::N,mente,руьгь
273,Geist::N,espírito,руьгь
274,Gedanke::N,ideia,фикир
275,Gedanke::N,pensamento,фикир
276,Gedächtnis::N,memória,
277,Verstand::N,razão,акьул
278,Verstand::N,inteligência,акьул
279,Sinn::N,sentido,мана
280,Sinn::N,significado,мана
281,Grund::N,causa,себеб
282,Grund::N,motivo,себеб
283,Wahrheit::N,verdade,керчек
284,Wahrheit::N,verdade,гьакъикъат
285,Gespräch::N,conversa,ихтилат
286,Gespräch::N,conversação,ихтилат
287,Märchen::N,conto,мах
288,Erzählung::N,conto,кьиса
289,Erzählung::N,narrativa,кьиса
290,Nachricht::N,mensagem,хабар
291,Neuigkeit::N,notícia,цӏийи хабар
292,Neuigkeit::N,novidade,цӏийи хабар
293,Name::N,nome,тӏвар
294,Rätsel::N,adivinha,мискӏал
295,Rede::N,oração,рахун
296,Rede::N,discurso,рахун
297,Sprache::N,língua,чӏал
298,Stimme::N,voz,ван
299,Wort::N,palavra,гаф
300,Zeichen::N,marca,ишара
301,Ruf::N,grito,эвер
302,Ruf::N,chamada,эвер
303,Lärm::N,ruído,ван-сес
304,Lärm::N,barulho,ван-сес
305,Laut::N,som,ван
306,Laut::N,som,сес
307,Ton::N,tom,ван-сес
308,Lied::N,canção,мани
309,Ruhe::N,calma,ласвал
310,Ruhe::N,calma,фаракъат
311,Ruhe::N,calma,асайиш
312,Ruhe::N,silêncio,ласвал
313,Ruhe::N,silêncio,фаракъат
314,Ruhe::N,silêncio,асайиш
315,Leute::N,gente,инсанар
316,Leute::N,pessoas,инсанар
317,Volk::N,povo,халкь
318,Volk::N,nação,халкь
319,Arbeit::N,trabalho,кӏвалах
320,Gast::N,hóspede,мугьман
321,Gast::N,convidado,мугьман
322,Geschenk::N,prenda,савкьат
323,Geschenk::N,presente,савкьат
324,Spiel::N,jogo,къугъун
325,Gesellschaft::N,companhia,жемят
326,Gesellschaft::N,companhia,общество
327,Hilfe::N,ajuda,куьмек
328,Hilfe::N,socorro,куьмек
329,Freund::N,amigo,дуст
330,Kamerad::N,camarada,яр-дуст
331,Angelegenheit::N,assunto,кар
332,Anzahl::N,número,сан
333,Anzahl::N,número,кьадар
334,Anzahl::N,quantidade,сан
335,Anzahl::N,quantidade,кьадар
336,Art::N,tipo,жуьре
337,Art::N,espécie,жуьре
338,Stück::N,pedaço,кӏус
339,Teil::N,peça,пай
340,Teil::N,parte,пай
341,Hälfte::N,metade,зур
342,Hälfte::N,metade,зур пай
343,Kreis::N,círculo,круг
344,Kreis::N,círculo,чкаяр
345,Kreis::N,círculo,элкъвей цӏар
346,Kreuz::N,cruz,хаш
347,Linie::N,linha,цӏар
348,Strich::N,traço,цӏар
349,Abstand::N,distância,ара
350,Entfernung::N,distância,мензил
351,Gegend::N,área,чка
352,Gegend::N,região,чка
353,Platz::N,lugar,ара
354,Ort::N,sítio,чка
355,Seite::N,lado,пад
356,Mitte::N,meio,юкь
357,Gegenstand::N,objecto,затӏ
358,Sache::N,coisa,шей
359,Sache::N,coisa,затӏ
360,Rand::N,bordo,къерех
361,Rand::N,margem,къерех
362,Kante::N,borda,син
363,Kante::N,aresta,син
364,Ecke::N,esquina,пӏипӏ
365,Spitze::N,ponta,кӏвенкӏв
366,Ende::N,cabo,кьил
367,Ende::N,extremo,кьил
368,Loch::N,furo,тӏеквен
369,Loch::N,buraco,тӏеквен
370,Winkel::N,canto,пӏипӏ
371,Winkel::N,ângulo,пӏипӏ
372,Muster::N,padrão,гишир
373,Muster::N,desenho,гишир
374,Größe::N,tamanho,кьадар
375,Länge::N,comprimento,яргъивал
376,Höhe::N,altura,кьакьанвал
377,Höhe::N,altitude,кьакьанвал
378,Gewicht::N,peso,заланвал
379,Menge::N,quantidade,кьадар
380,Haufen::N,pilha,хара
381,Reihe::N,fila,жерге
382,Boot::N,barco,луьткве
383,Ruder::N,remo,кьусу
384,Schlitten::N,trenó,гъелерар
385,Ski::N,esqui,
386,Lagerfeuer::N,fogueira,цӏай
387,Last::N,carga,заланвал
388,Gang::N,curso,ериш
389,Gang::N,caminhada,ериш
390,Schritt::N,passo,къадам
391,Norden::N,norte,кефер
392,Norden::N,norte,кефер пад
393,Süden::N,sul,кьибле
394,Westen::N,oeste,рагъакӏидай пад
395,Westen::N,ocidente,рагъакӏидай пад
396,Osten::N,este,рагъэкъечӏдай пад
397,Osten::N,leste,рагъэкъечӏдай пад
398,Osten::N,oriente,рагъэкъечӏдай пад
399,Holz::N,madeira,кӏарас
400,Brett::N,tábua,кьул
401,Brett::N,tábua,тахта
402,Brett::N,prancha,кьул
403,Brett::N,prancha,тахта
404,Platte::N,laje,
405,Platte::N,chapa,
406,Stütze::N,apoio,даях
407,Stütze::N,suporte,даях
408,Stange::N,vara,юрк
409,Stange::N,barra,юрк
410,Stock::N,pau,лаш
411,Stock::N,bengala,лаш
412,Stab::N,bastão,юрк
413,Rohr::N,cano,турба
414,Haus::N,casa,ужагъ
415,Heim::N,lar,кӏвал
416,Heim::N,casa,кӏвал
417,Ofen::N,estufa,пич
418,Ofen::N,aquecedor,пич
419,Fußboden::N,piso,кӏвалин ччил
420,Tisch::N,mesa,стол
421,Stuhl::N,cadeira,стул
422,Wiege::N,berço,кьеб
423,Bett::N,cama,тахт
424,Regal::N,estante,кьацӏ
425,Regal::N,prateleira,кьацӏ
426,Kiste::N,caixa,ящик
427,Fenster::N,janela,дакӏар
428,Tür::N,porta,рак
429,Tor::N,portão,варар
430,Zaun::N,cerca,пару
431,Zaun::N,vedação,пару
432,Dach::N,telhado,къав
433,Leiter::N,escada,гурар
434,Leiter::N,escada móvel,гурар
435,Besen::N,vassoura,таран кул
436,Spaten::N,pá,ппер
437,Schaufel::N,pá,хекендаз
438,Gabel::N,garfo,шиш
439,Löffel::N,colher,тӏур
440,Messer::N,faca,чукӏул
441,Nagel::N,cravo,мих
442,Netz::N,rede,чил
443,Haken::N,gancho,къармах
444,Griff::N,asa,ттум
445,Griff::N,cabo,ттум
446,Schloss::N,fechadura,куьлег
447,Bild::N,imagem,шикил
448,Bild::N,imagem,суьрет
449,Figur::N,figura,фигура
450,Puppe::N,boneca,нини
451,Beutel::N,saco,тагъар
452,Beutel::N,bolsa,тагъар
453,Bündel::N,fardo,галгам
454,Tasche::N,saco,чанта
455,Tasche::N,bolso,чанта
456,Eimer::N,balde,ведре
457,Deckel::N,tampa,кьил
458,Deckel::N,tampa,къалпагъ
459,Geschirr::N,louça,къаб-къажах
460,Sack::N,saca,чувал
461,Tasse::N,chávena,сукӏра
462,Topf::N,tacho,къажгъан
463,Topf::N,panela,къажгъан
464,Kessel::N,caldeira,къажгъан
465,Essen::N,refeição,тӏуьн
466,Nahrung::N,comida,тӏуьн
467,Nahrung::N,alimento,тӏуьн
468,Speise::N,prato,хуьрек
469,Fleisch::N,carne,як
470,Getreide::N,cereais,техил
471,Brei::N,puré,хапӏа
472,Brei::N,puré,хешил
473,Brot::N,pão,фу
474,Scheibe::N,fatia,чӏук
475,Fett::N,banha,ягълу
476,Fett::N,gordura,ягълу
477,Butter::N,manteiga,гъери
478,Öl::N,azeite,ягълу
479,Salz::N,sal,кьел
480,Suppe::N,sopa,суп
481,Suppe::N,sopa,шурпа
482,Suppe::N,caldo,суп
483,Suppe::N,caldo,шурпа
484,Honig::N,mel,вирт
485,Milch::N,leite,нек
486,Tee::N,chá,чай
487,Leder::N,couro,тумаж
488,Wolle::N,lã,йис
489,Stoff::N,pano,парча
490,Stoff::N,tecido,парча
491,Nadel::N,agulha,раб
492,Faden::N,fio,гъал
493,Knopf::N,botão,дуьгме
494,Knoten::N,nó,тӏвал
495,Farbe::N,corante,ранг
496,Kleidung::N,roupa,партал
497,Kleidung::N,vestuário,партал
498,Hemd::N,camisa,перем
499,Kragen::N,gola,хев
500,Ärmel::N,manga,хел
501,Hose::N,calça,шалвар
502,Gürtel::N,cinto,чӏул
503,Mütze::N,boné,бармак
504,Mütze::N,boné,бапӏах
505,Mütze::N,barrete,бармак
506,Mütze::N,barrete,бапӏах
507,Schuh::N,sapato,ботинка
508,Stiefel::N,bota,чекме
509,Ring::N,anel,тупӏал
510,Band::N,fita,тасма
511,Band::N,faixa,тасма
512,Kamm::N,pente,регъ
513,Spiegel::N,espelho,гуьзгуь
514,Riemen::N,correia,къайиш
515,Schnur::N,corda,еб
516,Schnur::N,cordel,еб
517,Leine::N,trela,
518,Decke::N,cobertor,яргъан
519,Kissen::N,almofada,хъуьцуьган
520,Tuch::N,pano,шал
521,Handtuch::N,toalha,дасмал
522,Kraft::N,força,гуж
523,Stärke::N,força,къуват
524,Gesundheit::N,saúde,сагъвал
525,Krankheit::N,doença,тӏал
526,Krankheit::N,enfermidade,тӏал
527,Schmerz::N,dor,тӏал
528,Schmerz::N,dor,тӏарвал
529,Wunde::N,chaga,хер
530,Wunde::N,ferida,хер
531,Fieber::N,febre,ифин
532,Arznei::N,remédio,дарман
533,Brücke::N,ponte,муьгъ
534,Brunnen::N,poço,къуй
535,Weide::N,pastagem,уьруьш
536,Pfad::N,senda,рехъ
537,Pfad::N,trilho,рехъ
538,Weg::N,caminho,рехъ
539,Straße::N,via,рехъ
540,Straße::N,estrada,рехъ
541,Dorf::N,aldeia,хуьр
542,Stadt::N,cidade,шегьер
543,Brief::N,carta,кагъаз
544,Buch::N,livro,улуб
545,Buchstabe::N,letra,гьарф
546,Zeitung::N,jornal,газета
547,Leben::N,vida,уьмуьр
548,Tod::N,morte,кьиникь
549,Grab::N,túmulo,сур
550,Grab::N,sepultura,сур
551,Kirche::N,igreja,килиса
552,Sünde::N,pecado,гунагь
553,Gott::N,deus,аллагь
554,Arbeiter::N,operário,фяле
555,Arbeiter::N,trabalhador,фяле
556,Chef::N,chefe,гьаким
557,Chef::N,patrão,гьаким
558,Meister::N,mestre,устӏар
559,Arzt::N,médico,доктор
560,Lehrer::N,professor,муаллим
561,Geld::N,dinheiro,пул
562,Geschäft::N,negócio,
563,Laden::N,loja,магазин
564,Preis::N,preço,къимет
565,Ware::N,mercadoria,мал
566,Ware::N,mercadoria,товар
567,Nutzen::N,proveito,хийир
568,Nutzen::N,proveito,менфят
569,Reichtum::N,riqueza,девлет
570,Welt::N,mundo,дуьнья
571,Land::N,país,уьлкве
572,Staat::N,Estado,пачагьлугъ
573,Staat::N,Estado,государство
574,König::N,rei,пачагь
575,Macht::N,poder,власть
576,Macht::N,potência,власть
577,Grenze::N,fronteira,сергьят
578,Krieg::N,guerra,дяве
579,Feind::N,inimigo,душман
580,Gewalt::N,violência,гуж
581,Kampf::N,luta,женг
582,Kampf::N,combate,женг
583,Bogen[Waffe]::N,arco,чӏемерук
584,Pfeil::N,seta,хьел
585,Pfeil::N,flecha,хьел
586,Gewehr::N,espingarda,тфенг
587,Fehler::N,erro,гъалатӏ
588,Fehler::N,falha,гъалатӏ
589,Lüge::N,mentira,ттаб
590,Schaden::N,dano,зиян
591,Schaden::N,dano,зарар
592,Schaden::N,estrago,зиян
593,Schaden::N,estrago,зарар
594,Unglück::N,desgraça,бала
595,Unglück::N,desgraça,бедбахтвал
596,Schuld::N,culpa,тахсир
597,Alter::N,idade,яш
598,Schluss::N,fim,эхир
599,Zeit::N,tempo,вяде
600,Tag::N,dia,югъ
601,Morgen::N,manhã,пакама
602,Mittag::N,meio-dia,нисин
603,Abend::N,noite,няни
604,Abend::N,tardinha,няни
605,Nacht::N,noite,йиф
606,Woche::N,semana,гьафте
607,Monat::N,mês,варз
608,Jahr::N,ano,йис
609,Frühling::N,primavera,гатфар
610,Sommer::N,verão,гад
611,Herbst::N,outono,зул
612,Winter::N,inverno,кьуьд
613,Januar::N,Janeiro,январь
614,Februar::N,Fevereiro,февраль
615,März::N,Março,март
616,April::N,Abril,апрель
617,Mai::N,Maio,май
618,Juni::N,Junho,июнь
619,Juli::N,Julho,июль
620,August::N,Agosto,август
621,September::N,Setembro,сентябрь
622,Oktober::N,Outubro,октябрь
623,November::N,Novembro,ноябрь
624,Dezember::N,Dezembro,декабрь
625,Montag::N,segunda-feira,ислен
626,Dienstag::N,terça-feira,саласа
627,Mittwoch::N,quarta-feira,арбе
628,Donnerstag::N,quinta-feira,хемис югъ
629,Freitag::N,sexta-feira,жуьмя
630,Freitag::N,sexta-feira,жуьмя югъ
631,Samstag::N,sábado,киш
632,Sonntag::N,domingo,гьяд
633,groß::A,grande,еке
634,groß::A,grande,чӏехи
635,klein::A,pequeno,гъвечӏи
636,lang::A,comprido,яргъи
637,kurz::A,curto,куьруь
638,breit::A,largo,гьяркьуь
639,schmal::A,estreito,гуьтӏуь
640,dicht::A,denso,къалин
641,dick[Gegenstand]::A,grosso,
642,dünn::A,delgado,кьелечӏ
643,fein::A,fino,шуькӏуь
644,fein::A,subtil,шуькӏуь
645,fest::A,firme,кӏеви
646,fest::A,sólido,кӏеви
647,flach::A,plano,кьулу
648,glatt::A,liso,цӏалцӏам
649,hart::A,duro,кӏеви
650,weich::A,mole,хъуьтуьл
651,rund::A,redondo,элкъвей
652,spitz::A,agudo,хци
653,scharf::A,afiado,хци
654,stumpf::A,rombo,къуьруь
655,schwer::A,pesado,залан
656,schön::A,belo,иер
657,schön::A,bonito,иер
658,heiß::A,quente,кудай
659,warm::A,quente,чими
660,kalt::A,frio,мекьи
661,kühl::A,fresco,къайи
662,frisch::A,fresco,таза
663,frisch::A,fresco,михьи
664,feucht::A,húmido,ламу
665,nass::A,molhado,кьежей
666,trocken::A,seco,кьуру
667,voll::A,cheio,ацӏай
668,leer::A,vazio,буш
669,leer::A,vazio,ичӏи
670,offen::A,aberto,ахъа
671,geschlossen::A,fechado,кӏеви
672,sauber::A,limpo,михьи
673,schmutzig::A,sujo,чиркин
674,schmutzig::A,sujo,кьацӏай
675,roh::A,cru,чиг
676,roh::A,cru,ицӏи
677,reif::A,maduro,дигмиш хьайи
678,lecker::A,delicioso,дадлу
679,süß::A,doce,ширин
680,bitter::A,amargo,туькьуьл
681,sauer::A,azedo,цуру
682,hell::A,claro,экуь
683,dunkel::A,escuro,мичӏи
684,dunkel::A,sombrio,мичӏи
685,schwarz::A,preto,чӏулав
686,weiß::A,branco,лацу
687,rot::A,vermelho,яру
688,gelb::A,amarelo,хъипи
689,blau::A,azul,вили
690,grün::A,verde,къацу
691,grau::A,cinzento,рехи
692,bunt::A,colorido,цӏару
693,bunt::A,colorido,яру-цӏару
694,billig::A,barato,ужуз
695,teuer::A,caro,багьа
696,wertvoll::A,valioso,масан
697,wertvoll::A,precioso,масан
698,blind::A,cego,буьркьуь
699,taub::A,surdo,биши
700,kräftig::A,forte,гужлу
701,kräftig::A,poderoso,гужлу
702,stark::A,forte,къуватлу
703,stark::A,robusto,къуватлу
704,schwach::A,débil,такьатсуз
705,fett::A,gordo,куьк
706,schlank::A,esbelto,шумал
707,hübsch::A,giro,гуьрчег
708,hübsch::A,bonito,гуьрчег
709,böse::A,mau,пис
710,dumm::A,parvo,ахмакь
711,dumm::A,estúpido,ахмакь
712,faul::A,preguiçoso,тенпел
713,fleißig::A,aplicado,сяй ийидай
714,fleißig::A,aplicado,сяйи ийидай
715,fleißig::A,diligente,сяй ийидай
716,fleißig::A,diligente,сяйи ийидай
717,geizig::A,avarento,мискьи
718,klug::A,prudente,акьуллу
719,klug::A,inteligente,акьуллу
720,geschickt::A,hábil,магьир
721,lieb::A,caro,играми
722,lieb::A,querido,играми
723,lustig::A,alegre,шад
724,sanft::A,suave,назик
725,sanft::A,suave,милайим
726,sanft::A,brando,назик
727,sanft::A,brando,милайим
728,hungrig::A,faminto,гишин
729,krank::A,doente,кефсуз
730,krank::A,enfermo,кефсуз
731,nackt::A,nu,кьецӏил
732,nackt::A,despido,кьецӏил
733,traurig::A,triste,пашман
734,lebendig::A,vivo,ччан алай
735,gut::A,bom,хъсан
736,gut::A,bom,вижевай
737,schlecht::A,mau,пис
738,schlecht::A,ruim,пис
739,richtig::A,justo,дуьз
740,richtig::A,correcto,дуьз
741,schlimm::A,mau,нифретлу
742,schlimm::A,grave,нифретлу
743,wahr::A,verdadeiro,гьакъикъи
744,alt::A,velho,эски
745,alt::A,velho,куьгьне
746,alt::A,antigo,эски
747,alt::A,antigo,куьгьне
748,neu::A,novo,цӏийи
749,ehemalig::A,antigo,виликан
750,alt[Lebewesen]::A,velho,кьуьзуь
751,jung::A,jovem,жегьил
752,arm::A,pobre,кесиб
753,reich::A,rico,девлетлу
754,bekannt::A,conhecido,чидай
755,berühmt::A,famoso,машгьур
756,berühmt::A,célebre,машгьур
757,fremd::A,alheio,ччара
758,fremd::A,estranho,ччара
759,verschieden::A,diverso,жуьреба-жуьре
760,verschieden::A,diferente,жуьреба-жуьре
761,nah::A,próximo,мукьвал
762,fern::A,remoto,яргъал
763,fern::A,distante,яргъал
764,linker::A,esquerdo,чапла
765,rechter::A,direito,эрчӏи
766,anderer::A,outro,маса
767,anderer::A,outro,муькуь
768,erster::A,primeiro,сад лагьай
769,zweiter::A,segundo,кьвед лагьай
770,dritter::A,terceiro,пуд лагьай
771,letzter::A,final,эхиримжи
772,letzter::A,último,эхиримжи
773,allein::ADV,só,кьилди
774,auf einmal::ADV,de vez,
775,zusammen::ADV,juntos,санал
776,lange::ADV,muito tempo,яргъалди
777,plötzlich::ADV,de repente,садлагьана
778,sofort::ADV,imediatamente,гьасятда
779,später::ADV,mais tarde,гуьгъуьнлай
780,jetzt::ADV,agora,гила
781,heute::ADV,hoje,къе
782,morgen::ADV,amanhã,пака
783,bald::ADV,logo,мукьва
784,bald::ADV,logo,мукьвара
785,bald::ADV,breve,мукьва
786,bald::ADV,breve,мукьвара
787,dann::ADV,então,ахпа
788,dann::ADV,depois,ахпа
789,gestern::ADV,ontem,накь
790,einst::ADV,antigamente,садра
791,damals::ADV,então,а чӏавуз
792,danach::ADV,logo,ахпа
793,danach::ADV,depois,ахпа
794,vorher::ADV,antes,вилик
795,zuerst::ADV,primeiro,сифте
796,einmal::ADV,uma vez,садра
797,manchmal::ADV,às vezes,гагь-гагь
798,oft::ADV,muitas vezes,гзаф вахтара
799,immer::ADV,sempre,гьамиша
800,niemals::ADV,nunca,са чӏавузни
801,niemals::ADV,nunca,са вахтундани
802,hier::ADV,cá,ина
803,hier::ADV,aqui,ина
804,hierhin::ADV,para cá,иниз
805,von hier::ADV,daqui,инай
806,dort::ADV,lá,ана
807,dort::ADV,ali,ана
808,dorthin::ADV,lá,аниз
809,dorthin::ADV,para lá,аниз
810,geradeaus::ADV,em frente,дуьз
