,Concept_ID,da,ps
123,Insel::N,ø,ټاپو
124,Insel::N,ø,جزيره
125,Blume::N,blomst,ګل
126,Gras::N,græs,واښه
127,Wurzel::N,rod,ریښه
128,Baum::N,træ,ونه
129,Stamm::N,stamme,ډډ
130,Rinde::N,bark,پوستکی
131,Ast::N,gren,ښاخ
132,Zweig::N,kvist,څانګه
133,Blatt::N,blad,پاڼه
134,Birke::N,birk,توس
135,Kiefer[Baum]::N,fyrretræ,نښتر
136,Weide[Baum]::N,piletræ,وله
137,Tanne::N,gran,ناجو
138,Horn::N,horn,ښکر
139,Feder::N,fjer,بڼکه
140,Fell::N,skind,پوستکی
141,Flügel::N,vinge,وزر
142,Klaue::N,klov,پنجه
143,Klaue::N,klov,منګول
144,Kralle::N,klo,پنجه
145,Kralle::N,klo,منګول
146,Schwanz::N,hale,لکۍ
147,Ei::N,æg,وۍ
148,Ei::N,æg,هګۍ
149,Nest::N,rede,جاله
150,Bau::N,bo,کاز
151,Tier::N,dyr,ژوی
152,Tier::N,dyr,حیوان
153,Herde::N,flok,رمه
154,Herde::N,flok,غېله
155,Kuh::N,ko,غوا
156,Bulle::N,tyr,غوئی
157,Pferd::N,hest,آس
158,Schaf::N,får,پسه
159,Schwein::N,gris,سرکوزی
160,Hund::N,hund,سپی
161,Katze::N,kat,پشه
162,Bär::N,bjørn,خرس
163,Eichhörnchen::N,egern,خړ لمی
164,Elch::N,elg,ګوزن
165,Fuchs::N,ræv,سپلم
166,Hase::N,hare,سوی
167,Maus::N,mus,مږک
168,Wolf::N,ulv,لېوه
169,Vogel::N,fugl,مرغه
170,Schwarm::N,sværm,سېل
171,Huhn::N,høne,چرګه
172,Hahn::N,hane,چرګ
173,Gans::N,gås,بته
174,Adler::N,ørn,عقاب
175,Ente::N,and,ایلۍ
176,Eule::N,ugle,ګونګی
177,Kranich::N,trane,کلنګ
178,Krähe::N,krage,کارغه
179,Kuckuck::N,gøg,فاخته
180,Schwan::N,svane,قو
181,Fisch::N,fisk,کب
182,Fisch::N,fisk,ماهی
183,Barsch::N,aborre,
184,Hecht::N,gedde,
185,Schlange[Tier]::N,slange,مار
186,Wurm::N,orm,چینجی
187,Spinne::N,edderkop,غڼه
188,Spinne::N,edderkop,تارکښ
189,Ameise::N,myre,مېږی
190,Laus::N,lus,سپږه
191,Mücke::N,myg,ماشی
192,Fliege::N,flue,مچ
193,Schmetterling::N,sommerfugl,پتنګ
194,Beere::N,bær,مېوۍ
195,Apfel::N,æble,مڼه
196,Pilz::N,svamp,خرېړی
197,Zwiebel::N,løg,پیاز
198,Saat::N,sæd,تخم
199,Korn::N,korn,تخم
200,Korn::N,korn,دانه
201,Heu::N,hø,بوس
202,Heu::N,hø,پروړه
203,Schale::N,skræl,پوستکی
204,Grube::N,grav,کنده
205,Falle::N,fælde,دام
206,Falle::N,fælde,لومه
207,Schlinge::N,snare,کړۍ
208,Spur::N,spor,نښه
209,Asche::N,aske,آس
210,Asche::N,aske,ایره
211,Dreck::N,snavs,ناپاکي
212,Eisen::N,jern,اوسپنه
213,Gold::N,guld,سره زر
214,Silber::N,sølv,نقره
215,Silber::N,sølv,سپین زر
216,Kohle::N,kul,سکور
217,Kohle::N,kul,سکاره
218,Glas::N,glas,ښيښه
219,Lehm::N,ler,خټه
220,Sand::N,sand,شګه
221,Mensch::N,mennesge,انسان
222,Mann::N,mand,سړی
223,Mann::N,mand,نارینه
224,Frau::N,kvinde,ښځه
225,Kind::N,barn,بچی
226,Kind::N,barn,ماشوم
227,Junge::N,dreng,هلک
228,Mädchen::N,pige,نجلۍ
229,Familie::N,familie,کورنۍ
230,Großvater::N,bedstefar,بابا
231,Großmutter::N,bedstemor,انا
232,Eltern::N,forældre,مور او پلار
233,Vater::N,far,پلار
234,Mutter::N,mor,مور
235,Sohn::N,søn,زوی
236,Tochter::N,datter,لور
237,Bruder::N,bror,ورور
238,Schwester::N,søster,خور
239,Onkel::N,onkel,تره
240,Onkel::N,onkel,ماما
241,Tante::N,tante,خاله
242,Ehemann::N,ægtemand,مېړه
243,Ehefrau::N,hustru,مېرمن
244,Freude::N,glæde,خوشحالي
245,Gelächter::N,latter,خندا
246,Glück::N,lykke,بخت
247,Kummer::N,sorg,غم
248,Wunsch::N,ønske,هيله
249,Wunsch::N,ønske,غوښتنه
250,Lust::N,lyst,شوق
251,Lust::N,lyst,مینه
252,Geist::N,ånd,روح
253,Gedanke::N,tanke,فکر
254,Gedächtnis::N,hukommelse,یاد
255,Gedächtnis::N,hukommelse,حافظه
256,Verstand::N,forstand,عقل
257,Verstand::N,forstand,شعور
258,Sinn::N,mening,معنی
259,Sinn::N,betydning,معنی
260,Grund::N,grund,علت
261,Grund::N,grund,اساس
262,Wahrheit::N,sandhed,حقیقت
263,Gespräch::N,samtale,مرکه
264,Gespräch::N,samtale,خبرې اترې
265,Märchen::N,eventyr,افسانه
266,Erzählung::N,fortælling,قصه
267,Erzählung::N,fortælling,کیسه
268,Nachricht::N,efterretning,خبر
269,Neuigkeit::N,nyhed,نوی خبر
270,Name::N,navn,نوم
271,Rätsel::N,gåde,کیسۍ
272,Rätsel::N,gåde,چیستان
273,Rede::N,tale,وینا
274,Sprache::N,sprog,ژبه
275,Stimme::N,stemme,غږ
276,Stimme::N,stemme,اواز
277,Wort::N,ord,لغت
278,Wort::N,ord,کلمه
279,Zeichen::N,tegn,نښه
280,Zeichen::N,tegn,اشاره
281,Ruf::N,råb,ږغ
282,Ruf::N,råb,بلنه
283,Lärm::N,larm,غالمغال
284,Laut::N,lyd,ږغ
285,Ton::N,tone,اواز
286,Lied::N,sang,غزله
287,Lied::N,sang,سندره
288,Ruhe::N,ro,ارامي
289,Ruhe::N,hvile,ارامي
290,Leute::N,folk,خلک
291,Leute::N,mennesker,خلک
292,Volk::N,folk,ولس
293,Arbeit::N,arbejde,کار
294,Gast::N,gæst,مېلمه
295,Geschenk::N,gave,تحفه
296,Geschenk::N,gave,سوغات
297,Spiel::N,leg,لوبه
298,Gesellschaft::N,selskab,ډله
299,Hilfe::N,hjælp,کومک
300,Hilfe::N,hjælp,مرسته
301,Freund::N,ven,ملګری
302,Kamerad::N,kammerat,انډيوال
303,Angelegenheit::N,sag,موضوع
304,Angelegenheit::N,anliggende,موضوع
305,Anzahl::N,antal,شمېر
306,Anzahl::N,antal,تعداد
307,Art::N,art,ډول
308,Stück::N,stykke,ټوټه
309,Teil::N,del,برخه
310,Hälfte::N,halvdel,نیم
311,Kreis::N,cirkel,دایره
312,Kreuz::N,kors,صلیب
313,Kreuz::N,kryds,صلیب
314,Linie::N,linie,خط
315,Linie::N,linie,لیکه
316,Strich::N,streg,کرښه
317,Abstand::N,afstand,فاصله
318,Entfernung::N,afstand,واټن
319,Gegend::N,egn,سیمه
320,Gegend::N,egn,منطقه
321,Platz::N,plads,ځای
322,Ort::N,sted,ځای
323,Seite::N,side,مخ
324,Seite::N,side,اړخ
325,Mitte::N,midte,وسط
326,Mitte::N,midte,مینځ
327,Gegenstand::N,genstand,شی
328,Sache::N,sag,شی
329,Sache::N,sag,څيز
330,Rand::N,rand,څنډه
331,Rand::N,rand,کناره
332,Kante::N,kant,اړخ
333,Ecke::N,hjørne,ګوټ
334,Spitze::N,spids,څوکه
335,Ende::N,ende,څوکه
336,Loch::N,hul,سوری
337,Winkel::N,vinkel,کنج
338,Winkel::N,vinkel,کوتی
339,Muster::N,mønster,نمونه
340,Größe::N,størrelse,قد
341,Größe::N,størrelse,لويوالی
342,Länge::N,længde,طول
343,Länge::N,længde,اوږد والی
344,Höhe::N,højde,جګوالی
345,Gewicht::N,vægt,وزن
346,Menge::N,mængde,اندازه
347,Haufen::N,bunke,کوټه
348,Reihe::N,række,صف
349,Reihe::N,række,کتار
350,Boot::N,båd,قايق
351,Ruder::N,åre,چپه
352,Schlitten::N,kælk,ښویېدونی
353,Schlitten::N,slæde,ښویېدونی
354,Ski::N,ski,سکي
355,Lagerfeuer::N,lejrbål,اور
356,Last::N,last,بار
357,Last::N,last,پېټی
358,Last::N,byrde,بار
359,Last::N,byrde,پېټی
360,Gang::N,gang,تګ
361,Schritt::N,skridt,ګام
362,Norden::N,nord,شمال
363,Süden::N,syd,سوېل
364,Westen::N,vest,لوېدېځ
365,Osten::N,øst,شرق
366,Osten::N,øst,ختیځ
367,Holz::N,træ,لرګی
368,Brett::N,bræt,تخته
369,Platte::N,plade,تخته
370,Stütze::N,støtte,تکیوان
371,Stange::N,stang,ډاګه
372,Stock::N,stok,لرګی
373,Stab::N,stav,چيخله
374,Rohr::N,rør,نل
375,Haus::N,hus,کور
376,Heim::N,hjem,کور
377,Ofen::N,ovn,تودنۍ
378,Fußboden::N,gulv,غولی
379,Tisch::N,bord,مېز
380,Stuhl::N,stol,چوکۍ
381,Wiege::N,vugge,زانګو
382,Bett::N,seng,کټ
383,Bett::N,seng,چپرکټ
384,Regal::N,reol,تاخچۍ
385,Kiste::N,kasse,صندوق
386,Fenster::N,vindue,کړکۍ
387,Tür::N,dør,دروازه
388,Tor::N,port,دروازه
389,Zaun::N,stakit,کټاره
390,Dach::N,tag,بام
391,Leiter::N,stige,زينه
392,Besen::N,kost,جارو
393,Spaten::N,spade,یوم
394,Schaufel::N,skovl,بېلچه
395,Gabel::N,gaffel,پنجه
396,Löffel::N,ske,کاشوغه
397,Messer::N,kniv,چاقو
398,Nagel::N,søm,ميخ
399,Netz::N,net,جال
400,Haken::N,krog,څنګک
401,Griff::N,tag,لاستی
402,Griff::N,håndtag,لاستی
403,Schloss::N,lås,کلپ
404,Bild::N,billede,رسم
405,Figur::N,figur,قدوقامت
406,Puppe::N,dukke,ګوډۍ
407,Beutel::N,pose,کڅوړه
408,Bündel::N,bylt,دسته
409,Bündel::N,bundt,دسته
410,Tasche::N,taske,بکس
411,Tasche::N,taske,توبره
412,Eimer::N,spand,سطل
413,Deckel::N,låg,سرپوښ
414,Geschirr::N,husgeråd,لوښی
415,Sack::N,sæk,جوال
416,Tasse::N,kop,پیاله
417,Topf::N,gryde,دېګی
418,Kessel::N,kedel,دېګ
419,Essen::N,måltid,خوراک
420,Nahrung::N,mad,خوراک
421,Nahrung::N,næring,خوراک
422,Speise::N,ret,خواړه
423,Fleisch::N,kød,غوښه
424,Getreide::N,korn,غله
425,Brei::N,grød,اوګره
426,Brot::N,brød,ډوډۍ
427,Scheibe::N,skive,مړۍ
428,Fett::N,fedt,غوړي
429,Butter::N,smør,کوچ
430,Öl::N,olie,تېل
431,Salz::N,salt,مالګه
432,Suppe::N,suppe,شوربا
433,Honig::N,honning,شات
434,Milch::N,mælk,شوده
435,Tee::N,te,چای
436,Leder::N,skind,څرمن
437,Wolle::N,uld,پشم
438,Stoff::N,stof,ټوټه
439,Nadel::N,nål,ستن
440,Faden::N,tråd,تار
441,Knopf::N,knap,تڼۍ
442,Knopf::N,knap,تکمه
443,Knoten::N,knude,غوټه
444,Farbe::N,farve,رنګ
445,Kleidung::N,påklædning,کالي
446,Hemd::N,skjorte,کميس
447,Kragen::N,krave,غاړه
448,Ärmel::N,ærme,لستوڼی
449,Hose::N,bukser,پطلون
450,Gürtel::N,bælte,کمربند
451,Mütze::N,hue,خولۍ
452,Schuh::N,sko,بوټ
453,Stiefel::N,støvle,موزه
454,Ring::N,ring,ګوته
455,Band::N,bånd,فيته
456,Kamm::N,kam,ګمنځ
457,Spiegel::N,spejl,ایینه
458,Spiegel::N,spejl,هنداره
459,Riemen::N,rem,تسمه
460,Schnur::N,snor,مزی
461,Leine::N,snor,رسۍ
462,Decke::N,tæppe,بړستن
463,Kissen::N,pude,بالښت
464,Tuch::N,sjaltørklæde,ټیکری
465,Handtuch::N,håndklæde,دسمال
466,Kraft::N,kraft,زور
467,Kraft::N,kraft,توان
468,Stärke::N,styrke,قوت
469,Gesundheit::N,sundhed,صحت
470,Gesundheit::N,sundhed,روغتیا
471,Krankheit::N,sygdom,مرض
472,Krankheit::N,sygdom,ناروغي
473,Schmerz::N,smerte,درد
474,Wunde::N,sår,ټپ
475,Wunde::N,sår,زخم
476,Fieber::N,feber,تبه
477,Arznei::N,medicin,دوا
478,Arznei::N,medicin,دارو
479,Arznei::N,lægemiddel,دوا
480,Arznei::N,lægemiddel,دارو
481,Brücke::N,bro,پول
482,Brunnen::N,brønd,څاه
483,Brunnen::N,brønd,کوهی
484,Weide::N,græsgang,وله
485,Pfad::N,sti,تړه
486,Weg::N,vej,لیار
487,Straße::N,gade,سړک
488,Dorf::N,landsby,کلی
489,Stadt::N,by,ښار
490,Brief::N,brev,لیک
491,Brief::N,brev,مکتوب
492,Buch::N,bog,کتاب
493,Buchstabe::N,bogstav,حرف
494,Buchstabe::N,bogstav,توری
495,Zeitung::N,avis,اخبار
496,Leben::N,liv,ژوند
497,Tod::N,død,مرګ
498,Tod::N,død,مړینه
499,Grab::N,grav,قبر
500,Grab::N,grav,ډورۍ
501,Kirche::N,kirke,کلیسا
502,Sünde::N,synd,ګناه
503,Gott::N,gud,خدای
504,Arbeiter::N,arbejder,کاریګر
505,Chef::N,chef,آمر
506,Meister::N,mester,استاد
507,Arzt::N,læge,طبیب
508,Arzt::N,læge,ډاکټر
509,Lehrer::N,lærer,معلم
510,Lehrer::N,lærer,ښوونکی
511,Geld::N,penge,پیسې
512,Geschäft::N,forretning,سوداګري
513,Laden::N,butik,دکان
514,Laden::N,butik,مغازه
515,Laden::N,forretning,دکان
516,Laden::N,forretning,مغازه
517,Preis::N,pris,بیه
518,Ware::N,vare,مال
519,Nutzen::N,nytte,ګټه
520,Reichtum::N,rigdom,شتمني
521,Welt::N,verden,نړۍ
522,Welt::N,verden,دنیا
523,Land::N,land,هېواد
524,Staat::N,stat,دولت
525,König::N,konge,باچا
526,König::N,konge,پادشاه
527,Macht::N,magt,قدرت
528,Grenze::N,grænse,حد
529,Grenze::N,grænse,سرحد
530,Krieg::N,krig,جګړه
531,Feind::N,fjende,دښمن
532,Gewalt::N,vold,زور
533,Gewalt::N,vold,تشدد
534,Kampf::N,kamp,جنګ
535,Kampf::N,kamp,مبارزه
536,Bogen[Waffe]::N,bue,لیندۍ
537,Pfeil::N,pil,غشی
538,Gewehr::N,gevær,ټوپک
539,Fehler::N,fejl,خطا
540,Fehler::N,fejl,غلطي
541,Lüge::N,løgn,دروغ
542,Schaden::N,skade,زیان
543,Schaden::N,skade,تاوان
544,Unglück::N,uheld,بدبختي
545,Unglück::N,ulykke,بدبختي
546,Schuld::N,skyld,ګناه
547,Alter::N,alder,منګ
548,Schluss::N,slut,اخر
549,Schluss::N,slutning,اخر
550,Zeit::N,tid,وخت
551,Tag::N,dag,ورځ
552,Morgen::N,morgen,سبا
553,Morgen::N,morgen,سهار
554,Mittag::N,middag,غرمه
555,Abend::N,aften,ماښام
556,Nacht::N,nat,شپه
557,Woche::N,uge,اونۍ
558,Monat::N,måned,مياشت
559,Jahr::N,år,کال
560,Frühling::N,forår,پسرلی
561,Sommer::N,sommer,دوبی
562,Herbst::N,efterår,منی
563,Herbst::N,efterår,خزان
564,Winter::N,vinter,ژمی
565,Januar::N,januar,جنوري
566,Februar::N,februar,فبروري
567,März::N,marts,مارچ
568,April::N,april,اپریل
569,Mai::N,maj,مې
570,Juni::N,juni,جون
571,Juli::N,juli,جولای
572,August::N,august,اګست
573,September::N,september,سپټامبر
574,Oktober::N,oktober,اکتوبر
575,November::N,november,نومبر
576,Dezember::N,december,دسمبر
577,Montag::N,mandag,دوشنبه
578,Dienstag::N,tirsdag,سه شنبه
579,Mittwoch::N,onsdag,چارشنبه
580,Donnerstag::N,torsdag,پنجشنبه
581,Freitag::N,fredag,جمعه
582,Samstag::N,lørdag,خالي
583,Sonntag::N,søndag,یکشنبه
584,groß::A,stor,لوی
585,klein::A,lille,وړوکی
586,lang::A,lang,اوړد
587,kurz::A,kort,لنډ
588,breit::A,bred,پراخه
589,schmal::A,smal,تنګ
590,dicht::A,tæt,ګڼ
591,dick[Gegenstand]::A,tyk,پنډ
592,dünn::A,tynd,نری
593,fein::A,fin,نازک
594,fest::A,fast,کلک
595,fest::A,fast,ټینګ
596,flach::A,flad,هوار
597,glatt::A,glat,ښوی
598,hart::A,hård,کلک
599,weich::A,blød,نرم
600,weich::A,blød,پوست
601,rund::A,rund,ګرد
602,spitz::A,spids,تېره
603,scharf::A,skarp,تېز
604,scharf::A,skarp,تېره
605,stumpf::A,sløv,پڅ
606,stumpf::A,stump,پڅ
607,schwer::A,tung,دروند
608,schön::A,skøn,ښکلی
609,heiß::A,hed,تود
610,warm::A,varm,تود
611,kalt::A,kold,ېخ
612,kalt::A,kold,سوړ
613,kühl::A,kølig,ېخ
614,kühl::A,kølig,سوړ
615,frisch::A,frisk,تازه
616,feucht::A,fugtig,مرطوب
617,nass::A,våd,لوند
618,trocken::A,tør,وچ
619,voll::A,fuld,ډک
620,leer::A,tom,خالی
621,offen::A,åben,خلاص
622,offen::A,åben,پرانیستی
623,geschlossen::A,lukket,تړلی
624,sauber::A,ren,پاک
625,schmutzig::A,snavset,چټل
626,roh::A,rå,خام
627,reif::A,moden,پوخ
628,reif::A,moden,رسېدلی
629,lecker::A,lækker,خوندور
630,lecker::A,lækker,مزه دار
631,süß::A,sød,خوږ
632,süß::A,sød,شیرین
633,bitter::A,bitter,تریخ
634,sauer::A,sur,ټاک
635,sauer::A,sur,تريو
636,hell::A,lys,روڼ
637,hell::A,lys,روښان
638,dunkel::A,mørk,تیاره
639,schwarz::A,sort,تور
640,weiß::A,hvid,سپين
641,rot::A,rød,سور
642,gelb::A,gul,زېړ
643,blau::A,blå,شین
644,blau::A,blå,اسماني رنګه
645,grün::A,grøn,زرغون
646,grau::A,grå,خړ
647,bunt::A,broget,رنګارنګ
648,billig::A,billig,ارزان
649,teuer::A,dyr,ګران
650,wertvoll::A,værdifuld,قیمتي
651,blind::A,blind,ړوند
652,taub::A,døv,کوڼ
653,kräftig::A,kraftig,قوی
654,stark::A,stærk,قوی
655,stark::A,stærk,تکړه
656,schwach::A,svag,ضعیف
657,schwach::A,svag,کمزوری
658,fett::A,fed,چاغ
659,schlank::A,slank,خوش اندام
660,hübsch::A,køn,ښکلی
661,hübsch::A,køn,ښایسته
662,böse::A,ond,شریر
663,böse::A,ond,قهرناک
664,böse::A,slem,شریر
665,böse::A,slem,قهرناک
666,dumm::A,dum,احمق
667,faul::A,doven,لټ
668,faul::A,doven,تنبل
669,fleißig::A,flittig,زحمت کښ
670,geizig::A,gerrig,بخیل
671,klug::A,klog,عاقل
672,klug::A,klog,هوښیار
673,geschickt::A,dygtig,ماهر
674,geschickt::A,behændig,ماهر
675,lieb::A,rar,عزیز
676,lieb::A,rar,محبوب
677,lustig::A,lystig,خوشحال
678,sanft::A,blid,پوست
679,sanft::A,blid,ملایم
680,hungrig::A,sulten,وږی
681,krank::A,syg,مريض
682,krank::A,syg,ناروغ
683,nackt::A,nøgen,لوڅ
684,traurig::A,bedrøvet,غمجن
685,lebendig::A,levende,ژوندی
686,gut::A,god,ښه
687,schlecht::A,dårlig,بد
688,schlecht::A,dårlig,خراب
689,richtig::A,rigtig,سم
690,richtig::A,rigtig,صحیح
691,schlimm::A,slem,بد
692,schlimm::A,slem,مخوف
693,wahr::A,sand,واقعي
694,alt::A,gammel,زوړ
695,neu::A,ny,نوی
696,ehemalig::A,forhenværende,پخوانی
697,alt[Lebewesen]::A,gammel,زوړ
698,jung::A,ung,ځوان
699,arm::A,fattig,غریب
700,arm::A,fattig,بې وزله
701,reich::A,rig,شتمن
702,reich::A,rig,دولتمند
703,bekannt::A,kendt,اشنا
704,berühmt::A,berømt,مشهور
705,fremd::A,fremmed,پردی
706,fremd::A,fremmed,بېګانه
707,verschieden::A,forskellig,مختلف
708,nah::A,nær,نژدې
709,fern::A,fjern,لیری
710,linker::A,venstre,چپ
711,linker::A,venstre,کیڼ
712,rechter::A,højre,ښی
713,anderer::A,anden,بل
714,erster::A,første,لومړی
715,zweiter::A,anden,دوهم
716,dritter::A,tredje,درېم
717,letzter::A,sidste,آخرنی
718,letzter::A,sidste,وروستی
719,allein::ADV,alene,یوازې
720,auf einmal::ADV,på én gang,په یوه وخت کی
721,zusammen::ADV,sammen,یو ځای
722,lange::ADV,længe,ډېر وخت
723,lange::ADV,længe,ډېره موده
724,plötzlich::ADV,pludselig,ناببره
725,plötzlich::ADV,pludselig,یوناڅاپه
726,sofort::ADV,straks,فوراً
727,sofort::ADV,straks,سمدلاسه
728,später::ADV,senere,وروسته
729,jetzt::ADV,nu,اوس
730,heute::ADV,i dag,نن
731,morgen::ADV,i morgen,سبا
732,bald::ADV,snart,ژر
733,dann::ADV,så,پس
734,dann::ADV,så,وروسته
735,gestern::ADV,i går,پرون
736,einst::ADV,engang,پخوا
737,damals::ADV,dengang,هغه وخت
738,danach::ADV,derefter,بیا
739,vorher::ADV,før,دمخه
740,vorher::ADV,forud,دمخه
741,zuerst::ADV,først,لومړی
742,einmal::ADV,en gang,یو ځل
743,manchmal::ADV,sommetider,ګاهی ګاهی
744,oft::ADV,ofte,ډېر ځله
745,immer::ADV,altid,تل
746,immer::ADV,altid,همېشه
747,niemals::ADV,aldrig,هیڅکله نه
748,hier::ADV,her,دلته
749,hierhin::ADV,hid,دلته
750,hierhin::ADV,hid,دې ځای ته
751,hierhin::ADV,herhen,دلته
752,hierhin::ADV,herhen,دې ځای ته
753,von hier::ADV,herfra,د دې ځای نه
754,dort::ADV,der,هلته
755,dorthin::ADV,derhen,هلته
756,dorthin::ADV,derhen,هغه ځای ته
757,geradeaus::ADV,lige ud,مخامخ
758,vorwärts::ADV,fremad,مخ پهٔ وړاندې
759,rückwärts::ADV,baglæns,بېرته
760,zurück::ADV,tilbage,بېرته
761,unten::ADV,nede,لاندي
762,unten::ADV,forneden,لاندي
763,hinab::ADV,ned,ښکته
764,hinab::ADV,nedad,ښکته
765,oben::ADV,oppe,پورته
766,oben::ADV,ovenpå,پورته
767,hinauf::ADV,op,پاس
768,hinauf::ADV,opad,پاس
769,überall::ADV,overalt,هره خوا
770,nicht::ADV,ikke,نه
771,ein wenig::ADV,lidt,یو څه
772,kaum::ADV,knap,ایله
773,kaum::ADV,næppe,ایله
774,sehr::ADV,meget,ډېر
775,sehr::ADV,meget,زيات
776,so::ADV,så,داسې
777,so::ADV,så,دومره
778,noch::ADV,endnu,نور
779,nur::ADV,kun,تش
780,nur::ADV,kun,صرف
781,nur::ADV,bare,تش
782,nur::ADV,bare,صرف
783,schon::ADV,alt,دمخه
784,schon::ADV,allerede,دمخه
785,wieder::ADV,igen,بیا
786,vergebens::ADV,forgæves,عبث
787,vor::PRP,foran,دمخه
788,vor::PRP,uden for,دمخه
789,hinter::PRP,bag,شاته
790,hinter::PRP,bagved,شاته
791,unter::PRP,under,لاندي
792,durch::PRP,gennem,د مینځ نه
793,durch::PRP,igennem,د مینځ نه
794,neben::PRP,ved siden af,نژدې
795,zwischen::PRP,mellem,ترمینځ
796,wegen::PRP,på grund af,د ... له لاسه
797,dies::PRN,dette,دا
798,das::PRN,det,دا
799,alles::PRN,alt,هرڅهٔ
800,ich::PRN,jeg,زه
801,du::PRN,du,ته
802,er::PRN,han,دی
803,wir::PRN,vi,مونږ
804,ihr::PRN,I,تاسې
805,sie::PRN,de,هغوی
806,was::FPRN,hvad,څهٔ
807,wer::FPRN,hvem,چا
808,wer::FPRN,hvem,څوک
809,wo::FADV,hvor,چيری
810,wo::FADV,hvor,چېرته
811,wohin::FADV,hvorhen,چېرته
812,wie::FADV,hvordan,څنګه
813,warum::FADV,hvorfor,ولې
