,Concept_ID,es,no
170,Elch::N,alce,elg
171,Fuchs::N,zorro,rev
172,Hase::N,liebre,hare
173,Maus::N,ratón,mus
174,Wolf::N,lobo,ulv
175,Wolf::N,lobo,varg
176,Vogel::N,ave,fugl
177,Vogel::N,pájaro,fugl
178,Schwarm::N,bandada,sverm
179,Huhn::N,gallina,høne
180,Hahn::N,gallo,hane
181,Gans::N,oca,gås
182,Gans::N,ganso,gås
183,Adler::N,águila,ørn
184,Ente::N,pato,and
185,Eule::N,lechuza,ugle
186,Kranich::N,grulla,trane
187,Krähe::N,corneja,kråke
188,Kuckuck::N,cuco,gjøk
189,Schwan::N,cisne,svane
190,Fisch::N,pez,fisk
191,Barsch::N,perca,abbor
192,Hecht::N,lucio,gjedde
193,Schlange[Tier]::N,serpiente,orm
194,Schlange[Tier]::N,serpiente,slange
195,Wurm::N,gusano,orm
196,Wurm::N,gusano,mark
197,Spinne::N,araña,edderkopp
198,Ameise::N,hormiga,maur
199,Laus::N,piojo,lus
200,Mücke::N,mosquito,mygg
201,Fliege::N,mosca,flue
202,Schmetterling::N,mariposa,sommerfugl
203,Beere::N,baya,bær
204,Apfel::N,manzana,eple
205,Pilz::N,seta,sopp
206,Pilz::N,hongo,sopp
207,Zwiebel::N,cebolla,løk
208,Saat::N,siembra,sæd
209,Korn::N,grano,korn
210,Heu::N,heno,høy
211,Schale::N,cáscara,skall
212,Grube::N,foso,grop
213,Falle::N,trampa,felle
214,Schlinge::N,lazo,snare
215,Spur::N,huella,spor
216,Asche::N,ceniza,aske
217,Dreck::N,suciedad,møkk
218,Dreck::N,suciedad,skitt
219,Eisen::N,hierro,jern
220,Gold::N,oro,gull
221,Silber::N,plata,sølv
222,Kohle::N,carbón,kol
223,Kohle::N,carbón,kull
224,Glas::N,vidrio,glass
225,Glas::N,cristal,glass
226,Lehm::N,barro,leire
227,Sand::N,arena,sand
228,Mensch::N,hombre,menneske
229,Mensch::N,ser humano,menneske
230,Mann::N,hombre,mann
231,Frau::N,mujer,kvinne
232,Kind::N,niño,barn
233,Junge::N,chico,gutt
234,Junge::N,muchacho,gutt
235,Mädchen::N,chica,pike
236,Mädchen::N,chica,jente
237,Mädchen::N,muchacha,pike
238,Mädchen::N,muchacha,jente
239,Familie::N,familia,familie
240,Großvater::N,abuelo,bestefar
241,Großmutter::N,abuela,bestemor
242,Eltern::N,padres,foreldre
243,Vater::N,padre,far
244,Mutter::N,madre,mor
245,Sohn::N,hijo,sønn
246,Tochter::N,hija,datter
247,Bruder::N,hermano,bror
248,Schwester::N,hermana,søster
249,Onkel::N,tío,onkel
250,Tante::N,tía,tante
251,Ehemann::N,esposo,ektemann
252,Ehefrau::N,esposa,hustru
253,Freude::N,placer,glede
254,Freude::N,alegría,glede
255,Gelächter::N,risa,latter
256,Gelächter::N,carcajada,latter
257,Glück::N,felicidad,lykke
258,Kummer::N,pena,sorg
259,Wunsch::N,deseo,ønske
260,Lust::N,ganas,lyst
261,Geist::N,mente,ånd
262,Geist::N,espíritu,ånd
263,Gedanke::N,idea,tanke
264,Gedanke::N,pensamiento,tanke
265,Gedächtnis::N,memoria,minne
266,Gedächtnis::N,memoria,hukommelse
267,Verstand::N,razón,forstand
268,Verstand::N,entendimiento,forstand
269,Sinn::N,sentido,mening
270,Sinn::N,sentido,betydning
271,Sinn::N,significado,mening
272,Sinn::N,significado,betydning
273,Grund::N,causa,grunn
274,Wahrheit::N,verdad,sannhet
275,Gespräch::N,conversación,samtale
276,Märchen::N,cuento,eventyr
277,Erzählung::N,cuento,fortelling
278,Erzählung::N,narración,fortelling
279,Nachricht::N,mensaje,melding
280,Neuigkeit::N,noticia,nyhet
281,Name::N,nombre,navn
282,Rätsel::N,acertijo,gåte
283,Rätsel::N,adivinanza,gåte
284,Rede::N,discurso,tale
285,Sprache::N,lengua,språk
286,Stimme::N,voz,stemme
287,Wort::N,palabra,ord
288,Zeichen::N,señal,tegn
289,Ruf::N,llamada,rop
290,Lärm::N,ruido,bråk
291,Lärm::N,barullo,bråk
292,Laut::N,sonido,lyd
293,Ton::N,tono,tone
294,Lied::N,canción,vise
295,Ruhe::N,calma,ro
296,Ruhe::N,silencio,ro
297,Leute::N,gente,folk
298,Volk::N,pueblo,folk
299,Arbeit::N,trabajo,arbeid
300,Gast::N,huésped,gjest
301,Gast::N,invitado,gjest
302,Geschenk::N,regalo,gave
303,Spiel::N,juego,lek
304,Spiel::N,juego,spill
305,Gesellschaft::N,compañía,selskap
306,Hilfe::N,ayuda,hjelp
307,Hilfe::N,socorro,hjelp
308,Freund::N,amigo,venn
309,Kamerad::N,camarada,kamerat
310,Kamerad::N,compañero,kamerat
311,Angelegenheit::N,asunto,sak
312,Angelegenheit::N,asunto,anliggende
313,Anzahl::N,cantidad,antall
314,Art::N,tipo,art
315,Art::N,tipo,slag
316,Art::N,clase,art
317,Art::N,clase,slag
318,Stück::N,pieza,stykke
319,Teil::N,parte,del
320,Hälfte::N,mitad,halvdel
321,Kreis::N,círculo,ring
322,Kreis::N,círculo,sirkel
323,Kreuz::N,cruz,kors
324,Kreuz::N,cruz,kryss
325,Linie::N,línea,linje
326,Strich::N,raya,strek
327,Strich::N,trazo,strek
328,Abstand::N,distancia,avstand
329,Entfernung::N,distancia,avstand
330,Gegend::N,región,strøk
331,Gegend::N,comarca,strøk
332,Platz::N,espacio,plass
333,Ort::N,sitio,sted
334,Seite::N,lado,side
335,Seite::N,costado,side
336,Mitte::N,medio,midte
337,Mitte::N,centro,midte
338,Gegenstand::N,objeto,gjenstand
339,Sache::N,cosa,sak
340,Rand::N,borde,rand
341,Kante::N,borde,kant
342,Ecke::N,esquina,hjørne
343,Spitze::N,punta,spiss
344,Ende::N,cabo,ende
345,Ende::N,extremo,ende
346,Loch::N,agujero,hull
347,Loch::N,abertura,hull
348,Winkel::N,ángulo,vinkel
349,Muster::N,dibujo,mønster
350,Größe::N,tamaño,størrelse
351,Länge::N,longitud,lengde
352,Höhe::N,altura,høyde
353,Höhe::N,altitud,høyde
354,Gewicht::N,peso,vekt
355,Menge::N,cantidad,mengde
356,Haufen::N,montón,haug
357,Haufen::N,montón,bunke
358,Reihe::N,fila,rekke
359,Boot::N,bote,båt
360,Boot::N,barca,båt
361,Ruder::N,remo,åre
362,Schlitten::N,trineo,slede
363,Schlitten::N,trineo,kjelke
364,Ski::N,esquí,ski
365,Lagerfeuer::N,hoguera,leirbål
366,Last::N,carga,bør
367,Last::N,carga,last
368,Gang::N,marcha,gang
369,Schritt::N,paso,steg
370,Schritt::N,paso,skritt
371,Norden::N,norte,nord
372,Süden::N,sur,sør
373,Westen::N,oeste,vest
374,Osten::N,este,øst
375,Holz::N,madera,tre
376,Brett::N,tabla,fjøl
377,Brett::N,tabla,brett
378,Platte::N,placa,plate
379,Platte::N,plancha,plate
380,Stütze::N,sostén,støtte
381,Stütze::N,soporte,støtte
382,Stange::N,vara,stang
383,Stange::N,percha,stang
384,Stock::N,palo,pinne
385,Stock::N,bastón,pinne
386,Stab::N,vara,stav
387,Stab::N,vara,kjepp
388,Stab::N,bastón,stav
389,Stab::N,bastón,kjepp
390,Rohr::N,tubo,rør
391,Haus::N,casa,hus
392,Heim::N,hogar,hjem
393,Ofen::N,estufa,ovn
394,Fußboden::N,suelo,gulv
395,Tisch::N,mesa,bord
396,Stuhl::N,silla,stol
397,Wiege::N,cuna,vogge
398,Bett::N,cama,seng
399,Regal::N,estantería,reol
400,Regal::N,estantería,hylle
401,Kiste::N,caja,kasse
402,Fenster::N,ventana,vindu
403,Tür::N,puerta,dør
404,Tor::N,puerta,port
405,Zaun::N,valla,gjerde
406,Zaun::N,cercado,gjerde
407,Dach::N,techo,tak
408,Dach::N,tejado,tak
409,Leiter::N,escalera,stige
410,Besen::N,escoba,kost
411,Spaten::N,pala,spade
412,Schaufel::N,pala,skuffe
413,Schaufel::N,paleta,skuffe
414,Gabel::N,tenedor,gaffel
415,Löffel::N,cuchara,skje
416,Messer::N,cuchillo,kniv
417,Nagel::N,clavo,spiker
418,Netz::N,red,nett
419,Haken::N,gancho,krok
420,Haken::N,corchete,krok
421,Griff::N,asa,tak
422,Griff::N,asa,håndtak
423,Griff::N,mango,tak
424,Griff::N,mango,håndtak
425,Schloss::N,cerradura,lås
426,Bild::N,imagen,bilde
427,Figur::N,figura,figur
428,Puppe::N,muñeca,dukke
429,Beutel::N,bolsa,pose
430,Bündel::N,haz,bylt
431,Tasche::N,bolso,veske
432,Eimer::N,cubo,bøtte
433,Deckel::N,tapa,lokk
434,Deckel::N,tapadera,lokk
435,Geschirr::N,vajilla,kjøkkentøy
436,Sack::N,saco,sekk
437,Tasse::N,taza,kopp
438,Topf::N,olla,gryte
439,Topf::N,marmita,gryte
440,Kessel::N,caldera,kjele
441,Essen::N,comida,mål
442,Nahrung::N,alimento,mat
443,Nahrung::N,alimento,næring
444,Speise::N,plato,matrett
445,Fleisch::N,carne,kjøtt
446,Getreide::N,cereales,korn
447,Brei::N,puré,grøt
448,Brei::N,papilla,grøt
449,Brot::N,pan,brød
450,Scheibe::N,lonja,skive
451,Scheibe::N,rebanada,skive
452,Fett::N,grasa,fett
453,Butter::N,mantequilla,smør
454,Öl::N,aceite,olje
455,Salz::N,sal,salt
456,Suppe::N,sopa,suppe
457,Honig::N,miel,honning
458,Milch::N,leche,melk
459,Tee::N,té,te
460,Leder::N,cuero,lær
461,Leder::N,cuero,skinn
462,Wolle::N,lana,ull
463,Stoff::N,tela,tøy
464,Stoff::N,tela,stoff
465,Stoff::N,tejido,tøy
466,Stoff::N,tejido,stoff
467,Nadel::N,aguja,nål
468,Faden::N,hilo,tråd
469,Knopf::N,botón,knapp
470,Knoten::N,nudo,knute
471,Farbe::N,pintura,farge
472,Kleidung::N,ropa,påkledning
473,Kleidung::N,vestidos,påkledning
474,Hemd::N,camisa,skjorte
475,Kragen::N,cuello,krage
476,Ärmel::N,manga,erme
477,Hose::N,pantalón,bukse
478,Gürtel::N,cinturón,belte
479,Mütze::N,gorro,lue
480,Schuh::N,zapato,sko
481,Stiefel::N,bota,støvel
482,Ring::N,anillo,ring
483,Band::N,cinta,band
484,Kamm::N,peine,kam
485,Spiegel::N,espejo,speil
486,Riemen::N,correa,rem
487,Schnur::N,cuerda,snor
488,Leine::N,correa,line
489,Decke::N,manta,teppe
490,Kissen::N,almohada,pute
491,Tuch::N,pañuelo,tøy
492,Handtuch::N,toalla,håndkle
493,Kraft::N,fuerza,kraft
494,Stärke::N,fuerza,styrke
495,Gesundheit::N,salud,helse
496,Gesundheit::N,salud,sunnhet
497,Krankheit::N,enfermedad,syke
498,Krankheit::N,enfermedad,sykdom
499,Schmerz::N,dolor,smerte
500,Wunde::N,llaga,sår
501,Wunde::N,herida,sår
502,Fieber::N,fiebre,feber
503,Arznei::N,medicina,medisin
504,Arznei::N,medicina,legemiddel
505,Arznei::N,medicamento,medisin
506,Arznei::N,medicamento,legemiddel
507,Brücke::N,puente,bro
508,Brunnen::N,pozo,brønn
509,Weide::N,pasto,beite
510,Pfad::N,sendero,sti
511,Weg::N,camino,vei
512,Straße::N,vía,gate
513,Straße::N,carretera,gate
514,Dorf::N,aldea,landsby
515,Dorf::N,pueblo,landsby
516,Stadt::N,ciudad,by
517,Brief::N,carta,brev
518,Buch::N,libro,bok
519,Buchstabe::N,letra,bokstav
520,Buchstabe::N,carácter,bokstav
521,Zeitung::N,diario,avis
522,Zeitung::N,periódico,avis
523,Leben::N,vida,liv
524,Tod::N,muerte,død
525,Grab::N,tumba,grav
526,Grab::N,sepulcro,grav
527,Kirche::N,iglesia,kirke
528,Sünde::N,pecado,synd
529,Gott::N,dios,gud
530,Arbeiter::N,obrero,arbeider
531,Arbeiter::N,trabajador,arbeider
532,Chef::N,jefe,sjef
533,Meister::N,maestro,mester
534,Arzt::N,médico,lege
535,Lehrer::N,profesor,lærer
536,Geld::N,dinero,penger
537,Geschäft::N,negocio,forretning
538,Laden::N,tienda,butikk
539,Preis::N,precio,pris
540,Ware::N,mercancía,vare
541,Nutzen::N,provecho,nytte
542,Reichtum::N,riqueza,rikdom
543,Welt::N,mundo,verden
544,Land::N,país,land
545,Staat::N,Estado,stat
546,König::N,rey,konge
547,Macht::N,poder,makt
548,Macht::N,potencia,makt
549,Grenze::N,frontera,grense
550,Krieg::N,guerra,krig
551,Feind::N,enemigo,fiende
552,Gewalt::N,violencia,vold
553,Kampf::N,lucha,kamp
554,Kampf::N,combate,kamp
555,Bogen[Waffe]::N,arco,bue
556,Pfeil::N,flecha,pil
557,Gewehr::N,fusil,gevær
558,Gewehr::N,escopeta,gevær
559,Fehler::N,error,feil
560,Lüge::N,mentira,løgn
561,Schaden::N,daño,skade
562,Unglück::N,desgracia,uhell
563,Schuld::N,culpa,skyld
564,Alter::N,edad,alder
565,Schluss::N,fin,slutt
566,Schluss::N,final,slutt
567,Zeit::N,tiempo,tid
568,Tag::N,día,dag
569,Morgen::N,mañana,morgen
570,Mittag::N,mediodía,middag
571,Abend::N,noche,aften
572,Nacht::N,noche,natt
573,Woche::N,semana,uke
574,Monat::N,mes,måned
575,Jahr::N,año,år
576,Frühling::N,primavera,vår
577,Sommer::N,verano,sommer
578,Herbst::N,otoño,høst
579,Winter::N,invierno,vinter
580,Januar::N,enero,januar
581,Februar::N,febrero,februar
582,März::N,marzo,mars
583,April::N,abril,april
584,Mai::N,mayo,mai
585,Juni::N,junio,juni
586,Juli::N,julio,juli
587,August::N,agosto,august
588,September::N,septiembre,september
589,Oktober::N,octubre,oktober
590,November::N,noviembre,november
591,Dezember::N,diciembre,desember
592,Montag::N,lunes,mandag
593,Dienstag::N,martes,tirsdag
594,Mittwoch::N,miércoles,onsdag
595,Donnerstag::N,jueves,torsdag
596,Freitag::N,viernes,fredag
597,Samstag::N,sábado,lørdag
598,Sonntag::N,domingo,søndag
599,groß::A,grande,stor
600,klein::A,pequeño,liten
601,lang::A,largo,lang
602,kurz::A,corto,kort
603,breit::A,ancho,bred
604,schmal::A,estrecho,smal
605,dicht::A,denso,tett
606,dick[Gegenstand]::A,grueso,tykk
607,dünn::A,fino,tynn
608,dünn::A,delgado,tynn
609,fein::A,fino,fin
610,fein::A,delicado,fin
611,fest::A,firme,fast
612,fest::A,sólido,fast
613,flach::A,plano,flat
614,glatt::A,liso,glatt
615,hart::A,duro,hard
616,weich::A,muelle,myk
617,weich::A,muelle,bløt
618,rund::A,redondo,rund
619,spitz::A,agudo,spiss
620,spitz::A,apuntado,spiss
621,scharf::A,agudo,kvass
622,scharf::A,afilado,kvass
623,stumpf::A,sin filo,stubb
624,schwer::A,pesado,tung
625,schön::A,bello,pen
626,schön::A,bello,vakker
627,schön::A,hermoso,pen
628,schön::A,hermoso,vakker
629,heiß::A,caluroso,het
630,warm::A,cálido,varm
631,warm::A,caliente,varm
632,kalt::A,frío,kald
633,kühl::A,fresco,kjølig
634,frisch::A,fresco,fersk
635,feucht::A,húmedo,fuktig
636,nass::A,mojado,våt
637,trocken::A,seco,tørr
638,voll::A,lleno,full
639,leer::A,vacío,tom
640,offen::A,abierto,åpen
641,geschlossen::A,cerrado,lukket
642,sauber::A,limpio,ren
643,schmutzig::A,sucio,skitten
644,roh::A,crudo,rå
645,reif::A,maduro,moden
646,lecker::A,rico,lekker
647,lecker::A,sabroso,lekker
648,süß::A,dulce,søt
649,bitter::A,amargo,besk
650,bitter::A,amargo,bitter
651,sauer::A,agrio,sur
652,hell::A,claro,lys
653,dunkel::A,oscuro,mørk
654,schwarz::A,negro,svart
655,weiß::A,blanco,hvit
656,rot::A,rojo,rød
657,gelb::A,amarillo,gul
658,blau::A,azul,blå
659,grün::A,verde,grønn
660,grau::A,gris,grå
661,bunt::A,multicolor,broket
662,billig::A,barato,billig
663,teuer::A,caro,dyr
664,wertvoll::A,valioso,verdifull
665,wertvoll::A,precioso,verdifull
666,blind::A,ciego,blind
667,taub::A,sordo,døv
668,kräftig::A,fuerte,kraftig
669,stark::A,fuerte,sterk
670,stark::A,vigoroso,sterk
671,schwach::A,débil,svak
672,fett::A,obeso,fet
673,schlank::A,esbelto,slank
674,hübsch::A,mono,pen
675,hübsch::A,guapo,pen
676,böse::A,malo,slem
677,dumm::A,tonto,dum
678,dumm::A,estúpido,dum
679,faul::A,vago,lat
680,faul::A,vago,doven
681,faul::A,perezoso,lat
682,faul::A,perezoso,doven
683,fleißig::A,aplicado,flittig
684,fleißig::A,diligente,flittig
685,geizig::A,avaro,gjerrig
686,klug::A,sensato,klok
687,klug::A,inteligente,klok
688,geschickt::A,hábil,hendig
689,geschickt::A,hábil,skikket
690,lieb::A,querido,kjær
691,lieb::A,querido,snill
692,lustig::A,alegre,morsom
693,sanft::A,suave,blid
694,hungrig::A,hambriento,sulten
695,krank::A,enfermo,syk
696,nackt::A,desnudo,naken
697,traurig::A,triste,sørgmodig
698,lebendig::A,vivo,levende
699,lebendig::A,viviente,levende
700,gut::A,bueno,god
701,schlecht::A,malo,dårlig
702,richtig::A,justo,riktig
703,richtig::A,correcto,riktig
704,schlimm::A,malo,slem
705,schlimm::A,grave,slem
706,wahr::A,verídico,sann
707,wahr::A,verdadero,sann
708,alt::A,viejo,gammel
709,neu::A,nuevo,ny
710,ehemalig::A,antiguo,forhenværende
711,alt[Lebewesen]::A,viejo,gammel
712,jung::A,joven,ung
713,arm::A,pobre,fattig
714,reich::A,rico,rik
715,bekannt::A,conocido,kjent
716,berühmt::A,famoso,berømt
717,berühmt::A,célebre,berømt
718,fremd::A,extraño,fremmed
719,verschieden::A,diverso,forskjellig
720,verschieden::A,distinto,forskjellig
721,verschieden::A,diferente,forskjellig
722,nah::A,cercano,nær
723,fern::A,lejano,fjern
724,linker::A,izquierdo,venstre
725,rechter::A,derecho,høyre
726,anderer::A,otro,annen
727,erster::A,primero,første
728,zweiter::A,segundo,annen
729,dritter::A,tercero,tredje
730,letzter::A,último,sist
731,allein::ADV,a solo,alene
732,auf einmal::ADV,de una vez,med ett
733,zusammen::ADV,juntos,sammen
734,lange::ADV,mucho tiempo,lenge
735,plötzlich::ADV,de repente,plutselig
736,sofort::ADV,en seguida,straks
737,später::ADV,más tarde,senere
738,jetzt::ADV,ahora,nå
739,heute::ADV,hoy,i dag
740,morgen::ADV,mañana,i morgen
741,bald::ADV,pronto,snart
742,bald::ADV,en breve,snart
743,dann::ADV,luego,så
744,dann::ADV,entonces,så
745,gestern::ADV,ayer,i går
746,einst::ADV,antaño,engang
747,damals::ADV,entonces,den gang
748,danach::ADV,después,deretter
749,vorher::ADV,antes,før
750,vorher::ADV,antes,i forveien
751,zuerst::ADV,primero,først
752,einmal::ADV,una vez,en gang
753,manchmal::ADV,a veces,somme tider
754,oft::ADV,a menudo,ofte
755,oft::ADV,con frecuencia,ofte
756,immer::ADV,siempre,alltid
757,niemals::ADV,jamás,aldri
758,hier::ADV,aquí,her
759,hierhin::ADV,acá,hit
760,von hier::ADV,desde aquí,herfra
761,dort::ADV,ahí,der
762,dort::ADV,allí,der
763,dorthin::ADV,allí,dit
764,dorthin::ADV,hacia allí,dit
765,geradeaus::ADV,todo derecho,rett fram
766,vorwärts::ADV,adelante,fram
767,vorwärts::ADV,adelante,framover
768,rückwärts::ADV,hacia atrás,baklengs
769,zurück::ADV,atrás,tilbake
770,unten::ADV,abajo,nede
771,hinab::ADV,hacia abajo,ned
772,hinab::ADV,hacia abajo,nedover
773,oben::ADV,arriba,oppe
774,oben::ADV,arriba,ovenpå
775,hinauf::ADV,hacia arriba,opp
776,hinauf::ADV,hacia arriba,oppover
777,überall::ADV,por todas partes,overalt
778,nicht::ADV,no,ikke
779,ein wenig::ADV,un poco,litt
780,kaum::ADV,apenas,neppe
781,sehr::ADV,muy,svært
782,sehr::ADV,mucho,svært
783,so::ADV,tan,så
784,noch::ADV,aún,enda
785,noch::ADV,todavía,enda
786,nur::ADV,solamente,bare
787,schon::ADV,ya,alt
788,schon::ADV,ya,allerede
789,wieder::ADV,de nuevo,igjen
790,vergebens::ADV,en vano,forgjeves
791,vor::PRP,antes de,foran
792,vor::PRP,antes de,utenfor
793,vor::PRP,delante de,foran
794,vor::PRP,delante de,utenfor
795,hinter::PRP,tras,bak
796,hinter::PRP,tras,bakom
797,hinter::PRP,detrás de,bak
798,hinter::PRP,detrás de,bakom
799,unter::PRP,bajo,under
800,unter::PRP,debajo de,under
801,durch::PRP,por,gjennom
802,durch::PRP,por,igjennom
803,durch::PRP,a través de,gjennom
804,durch::PRP,a través de,igjennom
805,neben::PRP,al lado de,ved siden av
806,zwischen::PRP,entre,mellom
807,wegen::PRP,por,på grunn av
808,wegen::PRP,a causa de,på grunn av
809,dies::PRN,esto,dette
810,das::PRN,eso,det
811,das::PRN,esto,det
812,alles::PRN,todo,alt
813,ich::PRN,yo,jeg
814,du::PRN,tú,du
815,er::PRN,él,han
816,wir::PRN,nosotros,vi
817,ihr::PRN,vosotros,dere
818,sie::PRN,ellos,de
819,was::FPRN,qué,hva
820,wer::FPRN,quién,hvem
821,wo::FADV,dónde,hvor
822,wohin::FADV,adónde,hvor ... hen
823,wohin::FADV,hacia dónde,hvor ... hen
824,wie::FADV,cómo,hvordan
825,warum::FADV,por qué,hvorfor
826,wieviel::FNUM,cuánto,hvor mye
827,eins::NUM,uno,en
828,eins::NUM,uno,ett
829,zwei::NUM,dos,to
830,drei::NUM,tres,tre
831,vier::NUM,cuatro,fire
832,fünf::NUM,cinco,fem
833,sechs::NUM,seis,seks
834,sieben::NUM,siete,sju
835,acht::NUM,ocho,åtte
836,neun::NUM,nueve,ni
837,zehn::NUM,diez,ti
838,elf::NUM,once,elleve
839,zwölf::NUM,doce,tolv
840,zwanzig::NUM,veinte,tjue
841,dreißig::NUM,treinta,tretti
842,vierzig::NUM,cuarenta,førti
843,fünfzig::NUM,cincuenta,femti
844,sechzig::NUM,sesenta,seksti
845,siebzig::NUM,setenta,sytti
846,achtzig::NUM,ochenta,åtti
847,neunzig::NUM,noventa,nitti
848,hundert::NUM,cien,hundre
849,hundert::NUM,ciento,hundre
850,tausend::NUM,mil,tusen
851,und::CNJ,y,og
852,oder::CNJ,o,eller
853,stehen::V,estar de pie,stå
854,sitzen::V,estar sentado,sitte
855,liegen::V,yacer,ligge
856,liegen::V,estar acostado,ligge
