,Concept_ID,ka,sq
243,Silber::N,ვერცხლი,argjend
244,Kohle::N,ნახშირი,qymyr
245,Glas::N,მინა,qelq
246,Lehm::N,თიხა,argjilë
247,Sand::N,ქვიშა,rërë
248,Mensch::N,ადამიანი,njeri
249,Mann::N,კაცი,burrë
250,Mann::N,კაცი,mashkull
251,Frau::N,ქალი,grua
252,Frau::N,ქალი,femër
253,Kind::N,ბავშვი,kalama
254,Junge::N,ვაჟი,djalë
255,Mädchen::N,გოგო,gocë
256,Mädchen::N,გოგო,vajzë
257,Familie::N,ოჯახი,familje
258,Großvater::N,პაპა,gjysh
259,Großvater::N,ბაბუა,gjysh
260,Großmutter::N,ბებია,gjyshe
261,Großmutter::N,დიდედა,gjyshe
262,Eltern::N,მშობლები,prindër
263,Vater::N,მამა,atë
264,Mutter::N,დედა,nënë
265,Sohn::N,ვაჟიშვილი,bir
266,Tochter::N,ქალიშვილი,bijë
267,Bruder::N,ძმა,vëlla
268,Schwester::N,და,motër
269,Onkel::N,ბიძა,dajë
270,Onkel::N,ბიძა,xhaxha
271,Tante::N,დეიდა,teze
272,Tante::N,დეიდა,hallë
273,Tante::N,მამიდა,teze
274,Tante::N,მამიდა,hallë
275,Ehemann::N,ქმარი,burrë
276,Ehemann::N,ქმარი,bashkëshort
277,Ehefrau::N,ცოლი,grua
278,Ehefrau::N,ცოლი,bashkëshorte
279,Freude::N,სიხარული,gaz
280,Freude::N,სიხარული,gëzim
281,Gelächter::N,სიცილი,qeshje
282,Glück::N,ბედნიერება,lumturi
283,Kummer::N,მწუხარება,brengë
284,Kummer::N,მწუხარება,pikëllim
285,Wunsch::N,წადილი,dëshirë
286,Wunsch::N,სურვილი,dëshirë
287,Lust::N,წადილი,epsh
288,Lust::N,წადილი,dashuri
289,Geist::N,სული,frymë
290,Geist::N,სული,shpirt
291,Gedanke::N,ფიქრი,ide
292,Gedanke::N,ფიქრი,mendim
293,Gedächtnis::N,მეხსიერება,kujtesë
294,Verstand::N,ჭკუა,mend
295,Verstand::N,გონება,mend
296,Sinn::N,მნიშვნელობა,kuptim
297,Grund::N,მიზეზი,arsye
298,Wahrheit::N,სიმართლე,vërtetë
299,Wahrheit::N,ჭეშმარიტება,vërtetë
300,Gespräch::N,ბაასი,bisedim
301,Gespräch::N,საუბარი,bisedim
302,Märchen::N,არაკი,përrallë
303,Märchen::N,ზღაპარი,përrallë
304,Erzählung::N,თქმულება,tregim
305,Nachricht::N,ცნობა,lajm
306,Nachricht::N,ამბავი,lajm
307,Neuigkeit::N,სიახლე,risi
308,Name::N,სახელი,emër
309,Rätsel::N,გამოცანა,gjëzë
310,Rätsel::N,გამოცანა,gjëegjëzë
311,Rede::N,სიტყვა,fjalim
312,Sprache::N,ენა,gjuhë
313,Stimme::N,ხმა,zë
314,Wort::N,სიტყვა,fjalë
315,Zeichen::N,ნიშანი,shenjë
316,Ruf::N,ძახილი,thirrmë
317,Lärm::N,ხმაური,zhurmë
318,Laut::N,ხმა,tingull
319,Laut::N,ბგერა,tingull
320,Ton::N,ტონი,ton
321,Lied::N,სიმღერა,këngë
322,Ruhe::N,სიწყნარე,qetësi
323,Leute::N,ადამიანები,botë
324,Leute::N,ადამიანები,njerëz
325,Volk::N,ერი,popull
326,Volk::N,ხალხი,popull
327,Arbeit::N,მუშაობა,punë
328,Gast::N,სტუმარი,mik
329,Gast::N,სტუმარი,mysafir
330,Geschenk::N,საჩუქარი,dhuratë
331,Geschenk::N,საჩუქარი,peshqesh
332,Spiel::N,თამაში,lojë
333,Gesellschaft::N,საზოგადოება,shoqëri
334,Hilfe::N,შველა,ndihmë
335,Hilfe::N,დახმარება,ndihmë
336,Freund::N,მეგობარი,mik
337,Kamerad::N,ამხანაგი,shok
338,Angelegenheit::N,საქმე,punë
339,Anzahl::N,ოდენობა,sasi
340,Art::N,სახეობა,lloj
341,Stück::N,ნატეხი,copë
342,Teil::N,წილი,pjesë
343,Hälfte::N,ნახევარი,gjysmë
344,Kreis::N,წრე,qark
345,Kreis::N,წრე,rreth
346,Kreuz::N,ჯვარი,kryq
347,Linie::N,ხაზი,vijë
348,Strich::N,შტრიხი,vizë
349,Abstand::N,მანძილი,distancë
350,Entfernung::N,სიშორე,largim
351,Gegend::N,არე,vise
352,Gegend::N,არე,krahinë
353,Gegend::N,მხარე,vise
354,Gegend::N,მხარე,krahinë
355,Platz::N,ფართობი,shesh
356,Ort::N,ადგილი,vend
357,Seite::N,მხარე,anë
358,Mitte::N,შუა,mes
359,Gegenstand::N,საგანი,send
360,Sache::N,ნივთი,gjë
361,Sache::N,ნივთი,send
362,Rand::N,კიდე,qoshe
363,Kante::N,ნაწიბული,teh
364,Ecke::N,კუთხე,qoshe
365,Spitze::N,წვეტი,majë
366,Ende::N,ბოლო,skaj
367,Ende::N,ბოლო,bisht
368,Loch::N,ხვრელი,vrimë
369,Winkel::N,კუთხე,kënd
370,Muster::N,მოხატულობა,mostër
371,Größe::N,ზომა,madhësi
372,Größe::N,სიდიდე,madhësi
373,Länge::N,სიგრძე,gjatësi
374,Höhe::N,სიმაღლე,lartësi
375,Gewicht::N,წონა,peshë
376,Menge::N,რაოდენობა,sasi
377,Haufen::N,გროვა,grumbull
378,Reihe::N,რიგი,radhë
379,Reihe::N,რიგი,rresht
380,Reihe::N,წყება,radhë
381,Reihe::N,წყება,rresht
382,Boot::N,გემი,barkë
383,Boot::N,გემი,lundër
384,Ruder::N,ხოფი,rrem
385,Ruder::N,ნიჩაბი,rrem
386,Schlitten::N,მარხილი,sajë
387,Ski::N,თხილამური,ski
388,Lagerfeuer::N,კოცონი,flakadan
389,Lagerfeuer::N,კოცონი,zjarr i madh
390,Last::N,ტვირთი,barrë
391,Gang::N,სვლა,ecje
392,Schritt::N,ბიჯი,hap
393,Norden::N,ჩრდილოეთი,veri
394,Süden::N,სამხრეთი,jug
395,Westen::N,დასავლეთი,perëndim
396,Osten::N,აღმოსავლეთი,lindje
397,Holz::N,ხე,dru
398,Brett::N,დაფა,dërrasë
399,Brett::N,ფიცარი,dërrasë
400,Platte::N,თლილი ქვა,pllakë
401,Stütze::N,საყრდენი,shtyllë
402,Stütze::N,საყრდენი,mbështetesë
403,Stange::N,ჭოკი,shufër
404,Stock::N,კეტი,dajak
405,Stab::N,ლატანი,shkop
406,Rohr::N,მილაკი,tub
407,Haus::N,სახლი,shtëpi
408,Heim::N,ოჯახის კერა,konak
409,Heim::N,ოჯახის კერა,shtëpi
410,Ofen::N,ღუმელი,sobë
411,Ofen::N,ღუმელი,stufë
412,Fußboden::N,იატაკი,dysheme
413,Tisch::N,სუფრა,tryezë
414,Tisch::N,მაგიდა,tryezë
415,Stuhl::N,სკამი,karrige
416,Wiege::N,აკვანი,djep
417,Bett::N,საწოლი,shtrat
418,Bett::N,სარეცელი,shtrat
419,Regal::N,თაროები,raft
420,Kiste::N,ყუთი,kuti
421,Kiste::N,სკივრი,kuti
422,Fenster::N,ფანჯარა,dritare
423,Fenster::N,სარკმელი,dritare
424,Tür::N,ბჭე,derë
425,Tür::N,კარი,derë
426,Tor::N,ჭიშკარი,portë
427,Zaun::N,ღობე,gardh
428,Zaun::N,გალავანი,gardh
429,Dach::N,სახურავი,çati
430,Leiter::N,კიბე,shkallë
431,Besen::N,ცოცხი,fshesë
432,Spaten::N,ნიჩაბი,lopatë
433,Schaufel::N,ბარი,qyrek
434,Gabel::N,ჩანგალი,pirun
435,Löffel::N,კოვზი,lugë
436,Messer::N,დანა,thikë
437,Nagel::N,ლურსმანი,gozhdë
438,Netz::N,ბადე,rrjetë
439,Haken::N,კავი,grep
440,Haken::N,კავი,grremç
441,Haken::N,კაუჭი,grep
442,Haken::N,კაუჭი,grremç
443,Griff::N,ტარი,dorak
444,Griff::N,ტარი,dorezë
445,Schloss::N,კლიტე,bravë
446,Schloss::N,საკეტი,bravë
447,Bild::N,სურათი,tablo
448,Bild::N,სურათი,pikturë
449,Figur::N,ფიგურა,figurë
450,Puppe::N,თოჯინა,kukull
451,Beutel::N,პარკი,qese
452,Beutel::N,პარკი,trastë
453,Bündel::N,გალა,deng
454,Bündel::N,ასხმა,deng
455,Tasche::N,ჩანთა,çantë
456,Eimer::N,ჩამჩა,kovë
457,Deckel::N,ხუფი,kapak
458,Deckel::N,ხუფი,mbulesë
459,Deckel::N,სარქველი,kapak
460,Deckel::N,სარქველი,mbulesë
461,Geschirr::N,ჭურჭელი,enë
462,Sack::N,ტომარა,thes
463,Sack::N,ტომარა,torbë
464,Tasse::N,ფინჯანი,filxhan
465,Topf::N,ქოთანი,kusi
466,Topf::N,ქოთანი,tenxhere
467,Kessel::N,ქვაბი,kazan
468,Essen::N,ჭამა,ngrënie
469,Nahrung::N,საზრდო,ushqim
470,Nahrung::N,საკვები,ushqim
471,Speise::N,საჭმელი,gatesë
472,Fleisch::N,ხორცი,mish
473,Getreide::N,მარცვლოვანი,drithë
474,Brei::N,ფაფა,qull
475,Brot::N,პური,bukë
476,Scheibe::N,ნაჭერი,fetë
477,Fett::N,ქონი,lyrë
478,Fett::N,ქონი,yndyrë
479,Fett::N,ცხიმი,lyrë
480,Fett::N,ცხიმი,yndyrë
481,Butter::N,კარაქი,gjalpë
482,Öl::N,ზეთი,vaj
483,Salz::N,მარილი,kripë
484,Suppe::N,სუფი,supë
485,Suppe::N,სუფი,çorbë
486,Honig::N,თაფლი,mjaltë
487,Milch::N,რძე,qumësht
488,Tee::N,ჩაი,çaj
489,Leder::N,ტყავი,lëkurë
490,Wolle::N,მატყლი,lesh
491,Stoff::N,ქსოვილი,pëlhurë
492,Nadel::N,ნემსი,gjilpërë
493,Faden::N,ძაფი,pe
494,Faden::N,ძაფი,fije
495,Faden::N,მკედი,pe
496,Faden::N,მკედი,fije
497,Knopf::N,ღილი,kopsë
498,Knoten::N,ნასკვი,komb
499,Farbe::N,საღებავი,bojë
500,Kleidung::N,ტანსაცმელი,veshje
501,Hemd::N,ხალათი,këmishë
502,Hemd::N,პერანგი,këmishë
503,Kragen::N,საყელო,jakë
504,Ärmel::N,სახელო,mëngë
505,Hose::N,შარვალი,brekë
506,Gürtel::N,ქამარი,rrip
507,Mütze::N,ქუდი,kësulë
508,Schuh::N,ფეხსაცმელი,këpucë
509,Stiefel::N,ჩექმა,çizme
510,Ring::N,ბეჭედი,unazë
511,Band::N,ბაფთი,shirit
512,Kamm::N,სავარცხელი,krehër
513,Spiegel::N,სარკე,pasqyrë
514,Riemen::N,ღვედი,rrip
515,Schnur::N,ლარი,litar
516,Schnur::N,ლარი,cikomë
517,Leine::N,ჯაჭვი,rrip
518,Decke::N,საბანი,batanije
519,Kissen::N,ბალიში,jastëk
520,Tuch::N,მაუდი,shami
521,Tuch::N,თავშალი,shami
522,Handtuch::N,ხელსახოცი,peshqir
523,Kraft::N,ძალა,forcë
524,Stärke::N,ღონე,koll
525,Gesundheit::N,ჯანმრთელობა,shëndet
526,Krankheit::N,სენი,sëmundje
527,Krankheit::N,ავადმყოფობა,sëmundje
528,Schmerz::N,ტკივილი,dhimbje
529,Wunde::N,იარი,plagë
530,Wunde::N,ჭრილობა,plagë
531,Fieber::N,ციება,ethe
532,Arznei::N,წამალი,ilaç
533,Brücke::N,ხიდი,urë
534,Brunnen::N,ჭა,pus
535,Weide::N,საძოვარი,kullotë
536,Pfad::N,ბილიკი,ravë
537,Pfad::N,ბილიკი,shteg
538,Weg::N,გზა,udhë
539,Weg::N,გზა,shteg
540,Straße::N,შარაგზა,rrugë
541,Dorf::N,დაბა,fshat
542,Dorf::N,დაბა,katund
543,Dorf::N,სოფელი,fshat
544,Dorf::N,სოფელი,katund
545,Stadt::N,ქალაქი,qytet
546,Brief::N,წერილი,letër
547,Buch::N,წიგნი,libër
548,Buchstabe::N,ასო,shkronjë
549,Zeitung::N,გაზეთი,gazetë
550,Leben::N,სიცოცხლე,jetë
551,Tod::N,სიკვდილი,mortje
552,Grab::N,სამარე,varr
553,Grab::N,საფლავი,varr
554,Kirche::N,ეკლესია,kishë
555,Sünde::N,ცოდვა,mëkat
556,Sünde::N,ცოდვა,gjynah
557,Gott::N,ღმერთი,hy
558,Gott::N,ღმერთი,zot
559,Arbeiter::N,მუშა,punëtor
560,Chef::N,გამგე,shef
561,Chef::N,გამგე,drejtues
562,Meister::N,ოსტატი,mjeshtër
563,Arzt::N,ექიმი,mjek
564,Arzt::N,ექიმი,doktor
565,Arzt::N,მკურნალი,mjek
566,Arzt::N,მკურნალი,doktor
567,Lehrer::N,მასწავლებელი,mësues
568,Lehrer::N,მასწავლებელი,arsimtar
569,Geld::N,ფული,para
570,Geld::N,ფული,holla
571,Geschäft::N,საქმე,ujdi
572,Geschäft::N,საქმე,biznes
573,Geschäft::N,ბიზნესი,ujdi
574,Geschäft::N,ბიზნესი,biznes
575,Laden::N,დუქანი,dyqan
576,Laden::N,მაღაზია,dyqan
577,Preis::N,ფასი,çmim
578,Ware::N,საქონელი,mall
579,Nutzen::N,ხეირი,dobi
580,Nutzen::N,ხეირი,leverdi
581,Reichtum::N,სიმდიდრე,kamje
582,Reichtum::N,სიმდიდრე,pasuri
583,Welt::N,მსოფლიო,botë
584,Land::N,მხარე,vend
585,Land::N,ქვეყანა,vend
586,Staat::N,სახელმწიფო,shtet
587,König::N,მეფე,mbret
588,Macht::N,ძლიერება,fuqi
589,Macht::N,ძლიერება,pushtet
590,Grenze::N,ზღვარი,kufi
591,Krieg::N,ომი,luftë
592,Feind::N,მტერი,armik
593,Gewalt::N,სისასტიკე,dhunë
594,Kampf::N,ბრძოლა,luftim
595,Bogen[Waffe]::N,მშვილდი,hark
596,Pfeil::N,ისარი,shigjetë
597,Pfeil::N,მახვილი,shigjetë
598,Gewehr::N,თოფი,pushkë
599,Gewehr::N,შაშხანა,pushkë
600,Fehler::N,შეცდომა,gafë
601,Fehler::N,შეცდომა,gabim
602,Lüge::N,სიცრუე,gënjeshtër
603,Schaden::N,ვნება,dëm
604,Schaden::N,ვნება,zarar
605,Unglück::N,ხიფათი,fatkeqësi
606,Unglück::N,უბედურება,fatkeqësi
607,Schuld::N,ბრალი,faj
608,Alter::N,ასაკი,moshë
609,Schluss::N,ბოლო,fund
610,Schluss::N,დასასრული,fund
611,Zeit::N,დრო,kohë
612,Tag::N,დღე,ditë
613,Morgen::N,დილა,mëngjes
614,Mittag::N,შუადღე,mesditë
615,Abend::N,საღამო,mbrëmje
616,Nacht::N,ღამე,natë
617,Woche::N,კვირა,javë
618,Monat::N,თვე,muaj
619,Jahr::N,წელი,vit
620,Frühling::N,გაზაფხული,pranverë
621,Sommer::N,ზაფხული,verë
622,Herbst::N,შემოდგომა,vjeshtë
623,Winter::N,ზამთარი,dimër
624,Januar::N,იანვარი,janar
625,Februar::N,თებერვალი,shkurt
626,März::N,მარტი,mars
627,April::N,აპრილი,prill
628,Mai::N,მაისი,maj
629,Juni::N,ივნისი,qershor
630,Juli::N,ივლისი,korrik
631,August::N,აგვისტო,gusht
632,September::N,სექტემბერი,shtator
633,Oktober::N,ოქტომბერი,tetor
634,November::N,ნოემბერი,nëntor
635,Dezember::N,დეკემბერი,dhjetor
636,Montag::N,ორშაბათი,hënë
637,Dienstag::N,სამშაბათი,martë
638,Mittwoch::N,ოთხშაბათი,mërkurë
639,Donnerstag::N,ხუთშაბათი,enjte
640,Freitag::N,პარასკევი,premte
641,Samstag::N,შაბათი,shtunë
642,Sonntag::N,კვირა,diel
643,groß::A,დიდი,madh
644,klein::A,მცირე,vogël
