,Concept_ID,la,da
150,Bulle::N,taurus,tyr
151,Pferd::N,equus,hest
152,Schaf::N,ovis,får
153,Schwein::N,sus,gris
154,Schwein::N,porcus,gris
155,Hund::N,canis,hund
156,Katze::N,felis,kat
157,Bär::N,ursus,bjørn
158,Eichhörnchen::N,sciurus,egern
159,Elch::N,alces,elg
160,Fuchs::N,vulpes,ræv
161,Hase::N,lepus,hare
162,Maus::N,mus,mus
163,Wolf::N,lupus,ulv
164,Vogel::N,avis,fugl
165,Schwarm::N,examen,sværm
166,Huhn::N,gallina,høne
167,Hahn::N,gallus,hane
168,Gans::N,anser,gås
169,Adler::N,aquila,ørn
170,Ente::N,anas,and
171,Eule::N,ulula,ugle
172,Eule::N,noctua,ugle
173,Kranich::N,grus,trane
174,Krähe::N,cornix,krage
175,Kuckuck::N,cuculus,gøg
176,Schwan::N,olor,svane
177,Schwan::N,cycnus,svane
178,Fisch::N,piscis,fisk
179,Barsch::N,perca,aborre
180,Hecht::N,esox,gedde
181,Schlange[Tier]::N,serpens,slange
182,Wurm::N,vermis,orm
183,Spinne::N,aranea,edderkop
184,Ameise::N,formica,myre
185,Laus::N,pediculus,lus
186,Mücke::N,culex,myg
187,Fliege::N,musca,flue
188,Schmetterling::N,papilio,sommerfugl
189,Beere::N,baca,bær
190,Apfel::N,malum,æble
191,Pilz::N,fungus,svamp
192,Zwiebel::N,cepa,løg
193,Saat::N,seges,sæd
194,Korn::N,granum,korn
195,Heu::N,faenum,hø
196,Schale::N,putamen,skræl
197,Grube::N,fovea,grav
198,Falle::N,pedica,fælde
199,Schlinge::N,laqueus,snare
200,Spur::N,vestigium,spor
201,Asche::N,cinis,aske
202,Dreck::N,lutum,snavs
203,Eisen::N,ferrum,jern
204,Gold::N,aurum,guld
205,Silber::N,argentum,sølv
206,Kohle::N,carbo,kul
207,Glas::N,vitrum,glas
208,Lehm::N,lutum,ler
209,Sand::N,arena,sand
210,Mensch::N,homo,mennesge
211,Mann::N,vir,mand
212,Frau::N,mulier,kvinde
213,Kind::N,puer,barn
214,Kind::N,infans,barn
215,Junge::N,puer,dreng
216,Mädchen::N,puella,pige
217,Familie::N,familia,familie
218,Großvater::N,avus,bedstefar
219,Großmutter::N,avia,bedstemor
220,Eltern::N,parentes,forældre
221,Vater::N,pater,far
222,Mutter::N,mater,mor
223,Sohn::N,filius,søn
224,Tochter::N,filia,datter
225,Bruder::N,frater,bror
226,Schwester::N,soror,søster
227,Onkel::N,patruus,onkel
228,Onkel::N,avunculus,onkel
229,Tante::N,amita,tante
230,Ehemann::N,maritus,ægtemand
231,Ehefrau::N,uxor,hustru
232,Freude::N,gaudium,glæde
233,Freude::N,laetitia,glæde
234,Gelächter::N,risus,latter
235,Glück::N,felicitas,lykke
236,Kummer::N,aegritudo,sorg
237,Wunsch::N,voluntas,ønske
238,Wunsch::N,desiderium,ønske
239,Lust::N,libido,lyst
240,Lust::N,voluptas,lyst
241,Geist::N,mens,ånd
242,Geist::N,animus,ånd
243,Gedanke::N,sententia,tanke
244,Gedächtnis::N,memoria,hukommelse
245,Verstand::N,ratio,forstand
246,Verstand::N,ingenium,forstand
247,Sinn::N,sensus,mening
248,Sinn::N,sensus,betydning
249,Grund::N,causa,grund
250,Wahrheit::N,veritas,sandhed
251,Gespräch::N,sermo,samtale
252,Märchen::N,fabula,eventyr
253,Erzählung::N,fabula,fortælling
254,Erzählung::N,narratio,fortælling
255,Nachricht::N,nuntius,efterretning
256,Neuigkeit::N,novitas,nyhed
257,Name::N,nomen,navn
258,Rätsel::N,aenigma,gåde
259,Rede::N,oratio,tale
260,Sprache::N,lingua,sprog
261,Stimme::N,vox,stemme
262,Wort::N,verbum,ord
263,Wort::N,vocabulum,ord
264,Zeichen::N,signum,tegn
265,Ruf::N,clamor,råb
266,Lärm::N,strepitus,larm
267,Laut::N,sonus,lyd
268,Ton::N,sonus,tone
269,Lied::N,carmen,sang
270,Ruhe::N,quies,ro
271,Ruhe::N,quies,hvile
272,Leute::N,homines,folk
273,Leute::N,homines,mennesker
274,Volk::N,populus,folk
275,Arbeit::N,labor,arbejde
276,Gast::N,hospes,gæst
277,Gast::N,conviva,gæst
278,Geschenk::N,munus,gave
279,Spiel::N,ludus,leg
280,Gesellschaft::N,societas,selskab
281,Hilfe::N,auxilium,hjælp
282,Hilfe::N,subsidium,hjælp
283,Freund::N,amicus,ven
284,Kamerad::N,socius,kammerat
285,Angelegenheit::N,res,sag
286,Angelegenheit::N,res,anliggende
287,Anzahl::N,numerus,antal
288,Art::N,genus,art
289,Stück::N,frustum,stykke
290,Stück::N,fragmentum,stykke
291,Teil::N,pars,del
292,Hälfte::N,dimidium,halvdel
293,Kreis::N,orbis,cirkel
294,Kreis::N,circus,cirkel
295,Kreuz::N,crux,kors
296,Kreuz::N,crux,kryds
297,Linie::N,linea,linie
298,Strich::N,lineamentum,streg
299,Abstand::N,intervallum,afstand
300,Entfernung::N,spatium,afstand
301,Gegend::N,loca,egn
302,Gegend::N,regio,egn
303,Platz::N,locus,plads
304,Ort::N,locus,sted
305,Seite::N,latus,side
306,Mitte::N,medium,midte
307,Gegenstand::N,res,genstand
308,Sache::N,res,sag
309,Rand::N,margo,rand
310,Kante::N,angulus,kant
311,Ecke::N,angulus,hjørne
312,Spitze::N,cacumen,spids
313,Ende::N,caput,ende
314,Loch::N,foramen,hul
315,Winkel::N,angulus,vinkel
316,Muster::N,exemplum,mønster
317,Größe::N,magnitudo,størrelse
318,Länge::N,longitudo,længde
319,Höhe::N,altitudo,højde
320,Gewicht::N,pondus,vægt
321,Menge::N,copia,mængde
322,Haufen::N,acervus,bunke
323,Reihe::N,ordo,række
324,Boot::N,navicula,båd
325,Ruder::N,remus,åre
326,Schlitten::N,sclodia,kælk
327,Schlitten::N,sclodia,slæde
328,Ski::N,narta,ski
329,Lagerfeuer::N,ignis,lejrbål
330,Last::N,onus,last
331,Last::N,onus,byrde
332,Gang::N,cursus,gang
333,Schritt::N,gradus,skridt
334,Norden::N,septentriones,nord
335,Süden::N,meridies,syd
336,Westen::N,occidens,vest
337,Osten::N,oriens,øst
338,Holz::N,lignum,træ
339,Brett::N,tabula,bræt
340,Platte::N,lamina,plade
341,Stütze::N,adminiculum,støtte
342,Stange::N,pertica,stang
343,Stock::N,baculum,stok
344,Stab::N,scipio,stav
345,Rohr::N,tubus,rør
346,Haus::N,aedes,hus
347,Heim::N,domicilium,hjem
348,Ofen::N,fornax,ovn
349,Fußboden::N,solum,gulv
350,Tisch::N,mensa,bord
351,Stuhl::N,sella,stol
352,Wiege::N,cunae,vugge
353,Bett::N,lectus,seng
354,Regal::N,foruli,reol
355,Kiste::N,cista,kasse
356,Fenster::N,fenestra,vindue
357,Tür::N,ianua,dør
358,Tor::N,porta,port
359,Zaun::N,saepes,stakit
360,Dach::N,tectum,tag
361,Leiter::N,scalae,stige
362,Besen::N,scopae,kost
363,Spaten::N,pala,spade
364,Schaufel::N,pala,skovl
365,Gabel::N,fuscinula,gaffel
366,Löffel::N,coclear,ske
367,Messer::N,culter,kniv
368,Nagel::N,clavus,søm
369,Netz::N,rete,net
370,Haken::N,hamus,krog
371,Griff::N,manubrium,tag
372,Griff::N,manubrium,håndtag
373,Schloss::N,claustra,lås
374,Bild::N,tabula,billede
375,Bild::N,pictura,billede
376,Figur::N,statunculum,figur
377,Puppe::N,pupa,dukke
378,Beutel::N,sacculus,pose
379,Bündel::N,fascis,bylt
380,Bündel::N,fascis,bundt
381,Tasche::N,sacculus,taske
382,Eimer::N,situla,spand
383,Deckel::N,operculum,låg
384,Geschirr::N,vasa,husgeråd
385,Sack::N,saccus,sæk
386,Tasse::N,pocillum,kop
387,Topf::N,olla,gryde
388,Kessel::N,aenum,kedel
389,Essen::N,cena,måltid
390,Nahrung::N,cibus,mad
391,Nahrung::N,cibus,næring
392,Nahrung::N,alimenta,mad
393,Nahrung::N,alimenta,næring
394,Speise::N,cibus,ret
395,Fleisch::N,caro,kød
396,Getreide::N,frumentum,korn
397,Brei::N,puls,grød
398,Brot::N,panis,brød
399,Scheibe::N,frustum,skive
400,Fett::N,pingue,fedt
401,Butter::N,butȳrum,smør
402,Öl::N,oleum,olie
403,Salz::N,sal,salt
404,Suppe::N,ius,suppe
405,Honig::N,mel,honning
406,Milch::N,lac,mælk
407,Tee::N,thea,te
408,Leder::N,corium,skind
409,Wolle::N,lana,uld
410,Stoff::N,textum,stof
411,Nadel::N,acus,nål
412,Faden::N,filum,tråd
413,Knopf::N,bulla,knap
414,Knoten::N,nodus,knude
415,Farbe::N,pigmentum,farve
416,Kleidung::N,vestimenta,påklædning
417,Hemd::N,tunica,skjorte
418,Kragen::N,collare,krave
419,Ärmel::N,manica,ærme
420,Hose::N,bracae,bukser
421,Gürtel::N,cingulum,bælte
422,Mütze::N,pilleus,hue
423,Schuh::N,calceus,sko
424,Stiefel::N,pero,støvle
425,Stiefel::N,caliga,støvle
426,Ring::N,anulus,ring
427,Band::N,redimiculum,bånd
428,Kamm::N,pecten,kam
429,Spiegel::N,speculum,spejl
430,Riemen::N,lorum,rem
431,Schnur::N,linum,snor
432,Leine::N,retinaculum,snor
433,Decke::N,lodix,tæppe
434,Kissen::N,pulvinus,pude
435,Tuch::N,velum,sjaltørklæde
436,Handtuch::N,mantele,håndklæde
437,Kraft::N,vis,kraft
438,Stärke::N,robur,styrke
439,Gesundheit::N,valetudo,sundhed
440,Krankheit::N,morbus,sygdom
441,Schmerz::N,dolor,smerte
442,Wunde::N,vulnus,sår
443,Fieber::N,febris,feber
444,Arznei::N,remedium,medicin
445,Arznei::N,remedium,lægemiddel
446,Brücke::N,pons,bro
447,Brunnen::N,puteus,brønd
448,Weide::N,pascua,græsgang
449,Pfad::N,semita,sti
450,Weg::N,iter,vej
451,Straße::N,via,gade
452,Dorf::N,vicus,landsby
453,Stadt::N,urbs,by
454,Stadt::N,oppidum,by
455,Brief::N,epistula,brev
456,Buch::N,liber,bog
457,Buchstabe::N,littera,bogstav
458,Zeitung::N,diurnum,avis
459,Leben::N,vita,liv
460,Tod::N,mors,død
461,Grab::N,sepulcrum,grav
462,Kirche::N,ecclesia,kirke
463,Sünde::N,peccatum,synd
464,Gott::N,deus,gud
465,Arbeiter::N,operarius,arbejder
466,Chef::N,praefectus,chef
467,Meister::N,magister,mester
468,Arzt::N,medicus,læge
469,Lehrer::N,magister,lærer
470,Geld::N,aes,penge
471,Geld::N,pecunia,penge
472,Geschäft::N,negotium,forretning
473,Laden::N,taberna,butik
474,Laden::N,taberna,forretning
475,Preis::N,pretium,pris
476,Ware::N,merx,vare
477,Nutzen::N,utilitas,nytte
478,Reichtum::N,opes,rigdom
479,Reichtum::N,divitiae,rigdom
480,Welt::N,mundus,verden
481,Land::N,terra,land
482,Staat::N,res publica,stat
483,König::N,rex,konge
484,Macht::N,potestas,magt
485,Grenze::N,limes,grænse
486,Krieg::N,bellum,krig
487,Feind::N,inimicus,fjende
488,Gewalt::N,vis,vold
489,Kampf::N,pugna,kamp
490,Bogen[Waffe]::N,arcus,bue
491,Pfeil::N,sagitta,pil
492,Gewehr::N,sclopetum,gevær
493,Fehler::N,error,fejl
494,Lüge::N,mendacium,løgn
495,Schaden::N,damnum,skade
496,Schaden::N,detrimentum,skade
497,Unglück::N,miseria,uheld
498,Unglück::N,miseria,ulykke
499,Unglück::N,calamitas,uheld
500,Unglück::N,calamitas,ulykke
501,Schuld::N,culpa,skyld
502,Alter::N,aetas,alder
503,Schluss::N,finis,slut
504,Schluss::N,finis,slutning
505,Zeit::N,tempus,tid
506,Tag::N,dies,dag
507,Morgen::N,mane,morgen
508,Mittag::N,meridies,middag
509,Abend::N,vesper,aften
510,Nacht::N,nox,nat
511,Woche::N,septimana,uge
512,Monat::N,mensis,måned
513,Jahr::N,annus,år
514,Frühling::N,ver,forår
515,Sommer::N,aestas,sommer
516,Herbst::N,autumnus,efterår
517,Winter::N,hiems,vinter
518,Januar::N,Ianuarius,januar
519,Februar::N,Februarius,februar
520,März::N,Martius,marts
521,April::N,Aprilis,april
522,Mai::N,Maius,maj
523,Juni::N,Iunius,juni
524,Juli::N,Iulius,juli
525,August::N,Augustus,august
526,September::N,September,september
527,Oktober::N,Octobris,oktober
528,November::N,Novembris,november
529,Dezember::N,December,december
530,Montag::N,dies lunae,mandag
531,Dienstag::N,dies Martis ,tirsdag
532,Mittwoch::N,dies Mercurii,onsdag
533,Donnerstag::N,dies Iovis,torsdag
534,Freitag::N,dies Veneris,fredag
535,Samstag::N,dies Saturni,lørdag
536,Sonntag::N,dominicus,søndag
537,Sonntag::N,dies solis,søndag
538,groß::A,magnus,stor
539,klein::A,parvus,lille
540,lang::A,longus,lang
541,kurz::A,brevis,kort
542,breit::A,latus,bred
543,schmal::A,angustus,smal
544,dicht::A,densus,tæt
545,dick[Gegenstand]::A,crassus,tyk
546,dünn::A,tenuis,tynd
547,fein::A,subtilis,fin
548,fest::A,solidus,fast
549,fest::A,stabilis,fast
550,flach::A,planus,flad
551,glatt::A,levis,glat
552,hart::A,durus,hård
553,weich::A,mollis,blød
554,rund::A,rotundus,rund
555,spitz::A,acutus,spids
556,scharf::A,acer,skarp
557,stumpf::A,hebes,sløv
558,stumpf::A,hebes,stump
559,schwer::A,gravis,tung
560,schön::A,pulcher,skøn
561,schön::A,formosus,skøn
562,heiß::A,fervidus,hed
563,warm::A,calidus,varm
564,kalt::A,frigidus,kold
565,kühl::A,frigidus,kølig
566,frisch::A,recens,frisk
567,feucht::A,umidus,fugtig
568,nass::A,madidus,våd
569,trocken::A,aridus,tør
570,voll::A,plenus,fuld
571,leer::A,vacuus,tom
572,offen::A,apertus,åben
573,geschlossen::A,clausus,lukket
574,sauber::A,lautus,ren
575,schmutzig::A,sordidus,snavset
576,roh::A,crudus,rå
577,reif::A,maturus,moden
578,lecker::A,delicatus,lækker
579,süß::A,dulcis,sød
580,bitter::A,amarus,bitter
581,bitter::A,acerbus,bitter
582,sauer::A,acidus,sur
583,hell::A,clarus,lys
584,dunkel::A,obscurus,mørk
585,schwarz::A,niger,sort
586,weiß::A,albus,hvid
587,rot::A,ruber,rød
588,gelb::A,flavus,gul
589,blau::A,caeruleus,blå
590,grün::A,viridis,grøn
591,grau::A,canus,grå
592,bunt::A,varius,broget
593,billig::A,vilis,billig
594,teuer::A,carus,dyr
595,wertvoll::A,pretiosus,værdifuld
596,blind::A,caecus,blind
597,taub::A,surdus,døv
598,kräftig::A,robustus,kraftig
599,stark::A,firmus,stærk
600,stark::A,validus,stærk
601,schwach::A,debilis,svag
602,schwach::A,infirmus,svag
603,fett::A,crassus,fed
604,schlank::A,procerus,slank
605,hübsch::A,pulcher,køn
606,böse::A,improbus,ond
607,böse::A,improbus,slem
608,dumm::A,stultus,dum
609,dumm::A,stupidus,dum
610,faul::A,piger,doven
611,fleißig::A,sedulus,flittig
612,geizig::A,avarus,gerrig
613,klug::A,prudens,klog
614,geschickt::A,sollers,dygtig
615,geschickt::A,sollers,behændig
616,lieb::A,carus,rar
617,lustig::A,iocosus,lystig
618,sanft::A,clemens,blid
619,hungrig::A,impastus,sulten
620,krank::A,aeger,syg
621,nackt::A,nudus,nøgen
622,traurig::A,maestus,bedrøvet
623,lebendig::A,vivus,levende
624,gut::A,bonus,god
625,schlecht::A,malus,dårlig
626,richtig::A,rectus,rigtig
627,schlimm::A,malus,slem
628,wahr::A,verus,sand
629,alt::A,antiquus,gammel
630,neu::A,novus,ny
631,ehemalig::A,pristinus,forhenværende
632,alt[Lebewesen]::A,vetus,gammel
633,jung::A,iuvenis,ung
634,arm::A,pauper,fattig
635,reich::A,dives,rig
636,bekannt::A,notus,kendt
637,berühmt::A,celeber,berømt
638,berühmt::A,illustris,berømt
639,fremd::A,peregrinus,fremmed
640,verschieden::A,varius,forskellig
641,nah::A,propinquus,nær
642,fern::A,longinquus,fjern
643,linker::A,sinister,venstre
644,rechter::A,dexter,højre
645,anderer::A,alius,anden
646,erster::A,primus,første
647,zweiter::A,secundus,anden
648,dritter::A,tertius,tredje
649,letzter::A,ultimus,sidste
650,allein::ADV,solum,alene
651,auf einmal::ADV,simul,på én gang
652,zusammen::ADV,una,sammen
653,lange::ADV,diu,længe
654,plötzlich::ADV,subito,pludselig
655,plötzlich::ADV,repente,pludselig
656,sofort::ADV,statim,straks
657,später::ADV,postea,senere
658,jetzt::ADV,nunc,nu
659,heute::ADV,hodie,i dag
660,morgen::ADV,cras,i morgen
661,bald::ADV,mox,snart
662,dann::ADV,deinde,så
663,gestern::ADV,heri,i går
664,einst::ADV,olim,engang
665,damals::ADV,tum,dengang
666,danach::ADV,postea,derefter
667,vorher::ADV,antea,før
668,vorher::ADV,antea,forud
669,zuerst::ADV,primo,først
670,einmal::ADV,semel,en gang
671,manchmal::ADV,interdum,sommetider
672,oft::ADV,saepe,ofte
673,immer::ADV,semper,altid
674,niemals::ADV,numquam,aldrig
675,hier::ADV,hic,her
676,hierhin::ADV,huc,hid
677,hierhin::ADV,huc,herhen
678,von hier::ADV,hinc,herfra
679,dort::ADV,ibi,der
680,dorthin::ADV,eo,derhen
681,geradeaus::ADV,recte,lige ud
682,vorwärts::ADV,porro,fremad
683,rückwärts::ADV,retro,baglæns
684,zurück::ADV,retro,tilbage
685,unten::ADV,infra,nede
686,unten::ADV,infra,forneden
687,hinab::ADV,pessum,ned
688,hinab::ADV,pessum,nedad
689,oben::ADV,supra,oppe
690,oben::ADV,supra,ovenpå
691,hinauf::ADV,sursum,op
692,hinauf::ADV,sursum,opad
693,überall::ADV,ubique,overalt
694,nicht::ADV,non,ikke
695,ein wenig::ADV,paulum,lidt
696,kaum::ADV,vix,knap
697,kaum::ADV,vix,næppe
698,kaum::ADV,aegre,knap
699,kaum::ADV,aegre,næppe
700,sehr::ADV,valde,meget
701,sehr::ADV,magnopere,meget
702,so::ADV,ita,så
703,noch::ADV,etiam,endnu
704,nur::ADV,solum,kun
705,nur::ADV,solum,bare
706,nur::ADV,tantum,kun
707,nur::ADV,tantum,bare
708,schon::ADV,iam,alt
709,schon::ADV,iam,allerede
710,wieder::ADV,rursus,igen
711,vergebens::ADV,frustra,forgæves
712,vor::PRP,ante,foran
713,vor::PRP,ante,uden for
714,hinter::PRP,post,bag
715,hinter::PRP,post,bagved
716,unter::PRP,sub,under
717,durch::PRP,per,gennem
718,durch::PRP,per,igennem
719,neben::PRP,iuxta,ved siden af
720,zwischen::PRP,inter,mellem
721,wegen::PRP,propter,på grund af
722,dies::PRN,hoc,dette
723,das::PRN,id,det
724,alles::PRN,omnia,alt
725,ich::PRN,ego,jeg
726,du::PRN,tu,du
727,er::PRN,is,han
728,er::PRN,ille,han
729,wir::PRN,nos,vi
730,ihr::PRN,vos,I
731,sie::PRN,ii,de
732,sie::PRN,illi,de
733,was::FPRN,quid,hvad
734,wer::FPRN,quis,hvem
735,wo::FADV,ubi,hvor
736,wohin::FADV,quo,hvorhen
737,wie::FADV,quomodo,hvordan
738,warum::FADV,cur,hvorfor
739,wieviel::FNUM,quantum,hvor meget
740,eins::NUM,unus,én
741,zwei::NUM,duo,to
742,drei::NUM,tres,tre
743,vier::NUM,quattuor,fire
744,fünf::NUM,quinque,fem
745,sechs::NUM,sex,seks
746,sieben::NUM,septem,syv
747,acht::NUM,octo,otte
748,neun::NUM,novem,ni
749,zehn::NUM,decem,ti
750,elf::NUM,undecim,elleve
751,zwölf::NUM,duodecim,tolv
752,zwanzig::NUM,viginti,tyve
753,dreißig::NUM,triginta,tredive
754,vierzig::NUM,quadraginta,fyrre
755,vierzig::NUM,quadraginta,fyrretyve
756,fünfzig::NUM,quinquaginta,halvtreds
757,sechzig::NUM,sexaginta,tres
758,siebzig::NUM,septuaginta,halvfjerds
759,achtzig::NUM,octoginta,firs
760,neunzig::NUM,nonaginta,halvfems
761,hundert::NUM,centum,hundrede
762,tausend::NUM,mille,tusind
763,und::CNJ,et,og
764,und::CNJ,-que,og
765,oder::CNJ,vel,eller
766,stehen::V,stare,stå
767,sitzen::V,sedere,sidde
768,liegen::V,iacere,ligge
769,hängen::V,pendere,hænge
770,werden::V,fieri,blive
771,passieren::V,accidere,ske
772,passieren::V,accidere,hænde
773,beginnen::V,incipere,begynde
774,enden::V,finem habere,ende
775,wechseln::V,mutari,veksle
776,aufgehen[Sonne]::V,oriri,gå op
777,aufgehen[Sonne]::V,oriri,stå op
778,untergehen[Sonne]::V,occidere,gå ned
779,scheinen[Sonne]::V,lucere,skinne
780,donnern::V,tonare,tordne
781,wehen::V,flare,blæse
782,strömen::V,fluere,strømme
783,fließen::V,manare,flyde
784,sich drehen::V,torqueri,dreje sig
785,schwanken::V,vacillare,vakle
786,schwingen::V,vibrare,svinge
787,fallen::V,cadere,falde
788,brennen::V,ardere,brænde
789,rauchen::V,fumare,ryge
790,regnen::V,pluere,regne
791,gefrieren::V,congelari,fryse
792,tauen::V,rorare,tø
793,schmelzen::V,liquescere,smelte
794,trocknen::V,arescere,tørre
795,sieden::V,fervere,koge
796,faulen::V,putescere,rådne
797,verfaulen::V,putescere,rådne
798,reißen::V,scindi,briste
799,versinken::V,mergi,synke
800,versinken::V,mergi,synke ned
801,vergehen::V,praeterire,forløbe
802,erscheinen::V,apparere,vise sig
803,verschwinden::V,discedere,forsvinde
804,sinken::V,labi,synke
805,abnehmen::V,deminui,aftage
806,zunehmen::V,augeri,tiltage
807,steigen::V,augescere,stige
808,wachsen::V,crescere,gro
809,wachsen::V,crescere,vokse
810,glänzen::V,splendere,glinse
811,funkeln::V,micare,tindre
812,lärmen::V,strepere,larme
813,läuten::V,sonare,ringe
814,klingeln::V,tinnire,ringe
815,klirren::V,crepare,klirre
816,brausen::V,saevire,bruse
817,rauschen::V,crepare,suse
818,klingen::V,sonare,lyde
819,klingen::V,sonare,klinge
820,bellen::V,latrare,gø
821,heulen::V,ululare,hyle
822,blasen::V,flare,blæse
823,pfeifen::V,sibilare,fløjte
824,schreien::V,clamare,skrige
825,stöhnen::V,gemere,stønne
826,zittern::V,tremere,dirre
827,zittern::V,tremere,skælve
828,zittern::V,trepidare,dirre
829,zittern::V,trepidare,skælve
830,leben::V,vivere,leve
831,geboren werden::V,nasci,fødes
832,atmen::V,spirare,ånde
833,trinken::V,bibere,drikke
834,essen::V,edere,spise
835,schlucken::V,devorare,synke
836,müde werden::V,fatigari,blive træt
837,einschlafen::V,obdormiscere,falde i søvn
838,schlafen::V,dormire,sove
839,aufwachen::V,expergisci,vågne
840,aufstehen::V,exsurgere,stå op
841,sich erholen::V,se reficere,komme sig
842,krank werden::V,aegrescere,blive syg
843,krank sein::V,aegrotare,være syg
844,schmerzen::V,dolere,smerte
845,husten::V,tussire,hoste
846,genesen::V,convalescere,komme sig
847,sterben::V,mori,dø
848,umkommen::V,perire,omkomme
849,sich bewegen::V,se movere,bevæge sig
850,sich rühren::V,micare,røre på sig
851,sich erheben::V,surgere,rejse sig
852,sich setzen::V,considere,sætte sig
