,Concept_ID,ca,uz
63,Sonne::N,sol,quyosh
64,Mond::N,lluna,oy
65,Stern::N,estel,yulduz
66,Stern::N,estrella,yulduz
67,Luft::N,aire,havo
68,Wind::N,vent,el
69,Welle::N,ona,to'lqin
70,Wasser::N,āigua,suv
71,Stein::N,pedra,tosh
72,Boden::N,sòl,tuproq
73,Erde::N,terra,er
74,Staub::N,pols,chang
75,Rauch::N,fum,tutun
76,Funke::N,guspira,yalt
77,Funke::N,centella,yalt
78,Feuer::N,foc,o't
79,Licht::N,llum,yorug'
80,Schatten::N,ombra,soya
81,Wetter::N,temps,havo
82,Nebel::N,boira,tuman
83,Wolke::N,núvol,bulut
84,Regen::N,pluja,yomg'ir
85,Schnee::N,neu,qor
86,Eis::N,gel,muz
87,Eis::N,glaç,muz
88,Frost::N,glaçada,ajoz
89,Kälte::N,fred,ajoz
90,Hitze::N,calor,issiq
91,Raureif::N,gebre,qirov
92,Regenbogen::N,arc iris,kamalak
93,Donner::N,tro,guldur
94,Strömung::N,corrent,oqim
95,Tropfen::N,gota,tomchi
96,Schaum::N,escuma,ko'pik
97,Schmutz::N,brutícia,gard
98,See::N,llac,ko'l
99,Sumpf::N,pantà,botqoq
100,Moor::N,pantà,qir-adir
101,Wiese::N,prat,o'tzor
102,Wiese::N,prada,o'tzor
103,Wald::N,bosc,o'rmon
104,Hügel::N,puig,tepa
105,Hügel::N,pujol,tepa
106,Anhöhe::N,turó,adir
107,Berg::N,muntanya,tog'
108,Gipfel::N,cim,cho'qqi
109,Höhle::N,cova,kavak
110,Abhang::N,coster,to'sh
111,Quelle::N,font,buloq
112,Bach::N,riera,o'zan
113,Fluss::N,riu,daryo
114,Ufer::N,riba,sohil
115,Küste::N,costa,qirg'oq
116,Festland::N,terra ferma,materik
117,Meer::N,mar,dengiz
118,Bucht::N,cala,qo'ltiq
119,Bucht::N,badia,qo'ltiq
120,Insel::N,illa,orol
121,Blume::N,flor,gul
122,Gras::N,herba,sabza
123,Wurzel::N,rel,tub
124,Wurzel::N,rel,tomir
125,Wurzel::N,arrel,tub
126,Wurzel::N,arrel,tomir
127,Baum::N,arbre,daraxt
128,Stamm::N,tronc,o'simta
129,Rinde::N,escorça,qobiq
130,Ast::N,branca,shox
131,Zweig::N,ram,butoq
132,Blatt::N,fulla,barg
133,Birke::N,bedoll,qayin
134,Kiefer[Baum]::N,pi,qarag'ay
135,Weide[Baum]::N,salze,shum
136,Tanne::N,avet,archa
137,Horn::N,corn,mugiz
138,Horn::N,banya,mugiz
139,Feder::N,ploma,par
140,Fell::N,pell,mo'yna
141,Flügel::N,ala,qanot
142,Klaue::N,urpa,tirnoq
143,Kralle::N,grapa,tirnoq
144,Schwanz::N,cua,quyruq
145,Ei::N,ou,tuxum
146,Nest::N,niu,oshyon
147,Bau::N,cau,o'pqon
148,Tier::N,animāl,hayvon
149,Herde::N,ramat,gala
150,Kuh::N,vaca,inak
151,Bulle::N,toro,ho'kiz
152,Pferd::N,cavāll,ot
153,Schaf::N,be,qo'y
154,Schaf::N,ovella,qo'y
155,Schwein::N,bacó,cho'chqa
156,Hund::N,ca,it
157,Hund::N,gos,it
158,Katze::N,gat,mushuk
159,Bär::N,ós,ayiq
160,Eichhörnchen::N,esquirol,tiyin
161,Elch::N,ant,los
162,Fuchs::N,guilla,tulki
163,Hase::N,llebre,kuyon
164,Maus::N,ratolí,sichqon
165,Wolf::N,llop,bo'ri
166,Vogel::N,au,qush
167,Vogel::N,ocēll,qush
168,Schwarm::N,bandada,to'da
169,Huhn::N,gallina,tovuq
170,Hahn::N,gall,xo'roz
171,Gans::N,oca,g'oz
172,Adler::N,àguila,burgut
173,Ente::N,ànec,o'rdak
174,Eule::N,òliba,boyo'g'li
175,Eule::N,mussol,boyo'g'li
176,Kranich::N,grua,turna
177,Krähe::N,cornella,qarg'a
178,Kuckuck::N,cucut,kakku
179,Schwan::N,cigne,oqkush
180,Fisch::N,peix,baliq
181,Barsch::N,perca,olabug'a
182,Hecht::N,lluç,cho'rtan
183,Schlange[Tier]::N,serp,ilon
184,Wurm::N,cuc,qurt
185,Spinne::N,aranya,o'rgimchak
186,Ameise::N,formiga,chumoli
187,Laus::N,poll,bit
188,Mücke::N,mosquit,chivin
189,Fliege::N,mosca,pashsha
190,Schmetterling::N,papallona,kapalak
191,Beere::N,baia,meva
192,Apfel::N,poma,olma
193,Pilz::N,bolet,qo'ziqorin
194,Zwiebel::N,ceba,piyoz
195,Saat::N,sembra,äkin
196,Korn::N,gra,zarra
197,Heu::N,fenc,xashak
198,Schale::N,closca,po'choq
199,Grube::N,sot,co'ra
200,Grube::N,clot,co'ra
201,Falle::N,trampa,qopqon
202,Schlinge::N,baga,sirtmoq
203,Spur::N,traça,iz
204,Asche::N,cendra,kul
205,Dreck::N,llot,kir
206,Eisen::N,ferro,temir
207,Gold::N,or,tilla
208,Silber::N,plata,kumush
209,Kohle::N,carbó,ko'mir
210,Glas::N,vidre,oyna
211,Lehm::N,fang,loy
212,Lehm::N,argila,loy
213,Sand::N,arena,qum
214,Mensch::N,humà,odam
215,Mensch::N,persona,odam
216,Mann::N,home,ärkak
217,Frau::N,dona,ayol
218,Kind::N,nen,bola
219,Kind::N,nen,kichkintoy
220,Junge::N,noi,bola
221,Mädchen::N,noia,qiz
222,Familie::N,família,oila
223,Großvater::N,avi,buva
224,Großvater::N,avi,katta ota
225,Großmutter::N,àvia,buvi
226,Großmutter::N,àvia,katta oyi
227,Eltern::N,pares,ota-ona
228,Vater::N,pare,ota
229,Mutter::N,mare,ona
230,Sohn::N,fill,o'g'il
231,Tochter::N,filla,qiz
232,Bruder::N,germà,og'a
233,Bruder::N,germà,uka
234,Schwester::N,germana,opa
235,Schwester::N,germana,singil
236,Onkel::N,oncle,amaki
237,Tante::N,tia,amma
238,Tante::N,tia,xola
239,Ehemann::N,espòs,är
240,Ehefrau::N,muller,rafiqa
241,Freude::N,goig,ayish
242,Freude::N,alegria,ayish
243,Gelächter::N,riallada,kulgi
244,Glück::N,felicitat,saodat
245,Kummer::N,pena,g'am
246,Wunsch::N,desig,orzu
247,Lust::N,ganes,rag'bat
248,Geist::N,ment,ruh
249,Geist::N,esperit,ruh
250,Gedanke::N,pensament,fikr
251,Gedächtnis::N,memòria,äs
252,Verstand::N,raó,aql
253,Verstand::N,seny,aql
254,Sinn::N,solta,ma'ni
255,Sinn::N,sentit,ma'ni
256,Grund::N,raó,sabab
257,Grund::N,causa,sabab
258,Wahrheit::N,veritāt,haq
259,Gespräch::N,conversa,gap
260,Märchen::N,conte,ärtak
261,Erzählung::N,narració,rivoyat
262,Nachricht::N,missatge,xabar
263,Neuigkeit::N,novetat,yangilik
264,Name::N,nom,ot
265,Rätsel::N,endevinalla,topishmoq
266,Rede::N,discurs,nutq
267,Sprache::N,llēngua,til
268,Stimme::N,veu,ovoz
269,Wort::N,mot,so'z
270,Wort::N,paraula,so'z
271,Zeichen::N,signe,alomat
272,Zeichen::N,senyal,alomat
273,Ruf::N,crida,chaqiriq
274,Lärm::N,sorōll,taraq
275,Laut::N,so,tovush
276,Ton::N,to,un
277,Lied::N,cançó,ashula
278,Ruhe::N,calma,tinchlik
279,Ruhe::N,silenci,tinchlik
280,Leute::N,gent,xaloyiq
281,Volk::N,poble,xalq
282,Arbeit::N,labor,ish
283,Arbeit::N,treball,ish
284,Gast::N,hoste,mehmon
285,Geschenk::N,regal,hadya
286,Geschenk::N,obsequi,hadya
287,Spiel::N,joc,o'yin
288,Gesellschaft::N,companyia,jamiyat
289,Hilfe::N,ajut,yordam
290,Freund::N,amīc,do'st
291,Kamerad::N,company,yo'ldosh
292,Kamerad::N,camarada,yo'ldosh
293,Angelegenheit::N,afer,daxl
294,Angelegenheit::N,assumpte,daxl
295,Anzahl::N,nombre,son
296,Anzahl::N,quantitat,son
297,Art::N,tipus,tur
298,Art::N,classe,tur
299,Stück::N,peça,parcha
300,Teil::N,part,bo'lak
301,Hälfte::N,meitat,yarim
302,Kreis::N,cercle,aylana
303,Kreuz::N,creu,xoch
304,Linie::N,línia,liniya
305,Strich::N,traç,chiziq
306,Strich::N,ratlla,chiziq
307,Abstand::N,distància,oralik
308,Entfernung::N,distància,uzoqlik
309,Gegend::N,regió,yer
310,Gegend::N,contrada,yer
311,Platz::N,cabuda,oralig
312,Ort::N,lloc,joy
313,Seite::N,banda,yon
314,Seite::N,costāt,yon
315,Mitte::N,mig,o'rta
316,Mitte::N,centre,o'rta
317,Gegenstand::N,objecte,ashyo
318,Sache::N,cosa,buyum
319,Rand::N,vora,chek
320,Rand::N,marge,chek
321,Kante::N,caire,tig'
322,Kante::N,cantell,tig'
323,Ecke::N,cantonada,burchak
324,Spitze::N,punta,uch
325,Ende::N,cap,oxir
326,Loch::N,forāt,teshik
327,Winkel::N,racó,go'sha
328,Muster::N,dibuix,nusha
329,Muster::N,disseny,nusha
330,Größe::N,grandària,kattalik
331,Länge::N,longitud,uzunlik
332,Höhe::N,altura,yuksaklik
333,Höhe::N,altitud,yuksaklik
334,Gewicht::N,pes,solmoq
335,Menge::N,quantitat,miqdor
336,Haufen::N,pila,uyum
337,Reihe::N,fila,saf
338,Boot::N,bot,qayiq
339,Boot::N,barca,qayiq
340,Ruder::N,rem,äshkak
341,Schlitten::N,trineu,chana
342,Ski::N,esquí,chang'i
343,Lagerfeuer::N,foc de campament,gulxan
344,Last::N,càrrega,yuk
345,Gang::N,marxa,yurish
346,Schritt::N,pas,qadam
347,Norden::N,nord,shimol
348,Süden::N,sud,janub
349,Westen::N,oest,g'arb
350,Westen::N,occident,g'arb
351,Osten::N,est,sharq
352,Osten::N,orient,sharq
353,Holz::N,fusta,yog'och
354,Brett::N,taula,taxta
355,Platte::N,placa,tabaqa
356,Stütze::N,suport,tayanchi
357,Stange::N,vara,qo'noq
358,Stock::N,pal,tayoq
359,Stab::N,bastó,gavron
360,Rohr::N,tub,tarnov
361,Haus::N,casa,uy
362,Heim::N,llar,makon
363,Ofen::N,estufa,pechka
364,Fußboden::N,terra,pol
365,Tisch::N,taula,mosa
366,Stuhl::N,cadira,o'rindiq
367,Wiege::N,bressol,beshik
368,Bett::N,llit,yotoq
369,Regal::N,prestatgeria,tokcha
370,Kiste::N,caixa,sandiq
371,Fenster::N,finestra,deraza
372,Tür::N,porta,äshik
373,Tor::N,portal,darvoza
374,Zaun::N,tanca,panjara
375,Dach::N,teulada,tom
376,Leiter::N,escala,narvon
377,Leiter::N,escala de mà,narvon
378,Besen::N,escombra,supurgi
379,Spaten::N,pala,bel
380,Schaufel::N,pala,kurak
381,Gabel::N,forquilla,bilka
382,Löffel::N,cullera,qoshiq
383,Messer::N,coltell,pichoq
384,Nagel::N,clau,mix
385,Netz::N,filat,to'r
386,Haken::N,ganxo,ilgak
387,Griff::N,puny,sop
388,Griff::N,puny,tutqich
389,Griff::N,mànec,sop
390,Griff::N,mànec,tutqich
391,Schloss::N,pany,qulf
392,Bild::N,imatge,rasm
393,Figur::N,figura,shakl
394,Puppe::N,nina,ko'g'irchoq
395,Beutel::N,bossa,to'rva
396,Bündel::N,feix,bog'lam
397,Bündel::N,paquet,bog'lam
398,Tasche::N,bossa,kissa
399,Eimer::N,galleda,chelak
400,Deckel::N,tapa,qopqoq
401,Deckel::N,tapadora,qopqoq
402,Geschirr::N,vaixella,idish
403,Sack::N,sac,qop
404,Sack::N,saca,qop
405,Tasse::N,tassa,piyola
406,Topf::N,pot,tuvak
407,Topf::N,olla,tuvak
408,Kessel::N,caldera,qozon
409,Essen::N,àpat,tomoq
410,Essen::N,menjada,tomoq
411,Nahrung::N,aliment,emak
412,Speise::N,plat,taom
413,Fleisch::N,carn,go'sht
414,Getreide::N,cereals,g'alla
415,Brei::N,puré,bo'tqa
416,Brot::N,pa,non
417,Scheibe::N,tall,disk
418,Scheibe::N,llesca,disk
419,Fett::N,greix,moy
420,Butter::N,mantega,yog'
421,Öl::N,oli,moy
422,Salz::N,sal,tuz
423,Suppe::N,sopa,sho'rva
424,Honig::N,mel,asal
425,Milch::N,llet,sut
426,Tee::N,te,choy
427,Leder::N,cuir,charm
428,Wolle::N,llana,jun
429,Stoff::N,tela,mato
430,Nadel::N,agulla,igna
431,Faden::N,fil,ip
432,Knopf::N,botó,tugma
433,Knoten::N,nus,tugun
434,Farbe::N,pintura,bo'yok
435,Kleidung::N,roba,kiyim
436,Kleidung::N,vestits,kiyim
437,Hemd::N,camisa,ko'ylak
438,Kragen::N,coll,yoqa
439,Ärmel::N,màniga,yeng
440,Hose::N,pantalōns,shim
441,Gürtel::N,cinturó,tasma
442,Mütze::N,gorra,shapka
443,Schuh::N,sabata,but
444,Stiefel::N,bota,botinka
445,Ring::N,anell,yuzuk
446,Band::N,veta,rishta
447,Band::N,cinta,rishta
448,Kamm::N,pinta,taroq
449,Spiegel::N,mirāll,ko'zgu
450,Riemen::N,corretja,qayish
451,Schnur::N,corda,bog'ich
452,Leine::N,corretja,etak
453,Decke::N,manta,odyol
454,Decke::N,flassada,odyol
455,Kissen::N,coixí,yostiq
456,Tuch::N,mocador,gazlama
457,Handtuch::N,tovallola,sochiq
458,Kraft::N,força,kuch
459,Stärke::N,vigor,quvvat
460,Gesundheit::N,salut,sog'lik
461,Krankheit::N,malaltia,kasallik
462,Schmerz::N,dolor,og'riq
463,Wunde::N,ferida,yara
464,Fieber::N,febre,bezgak
465,Arznei::N,medicament,dori
466,Brücke::N,pont,ko'prik
467,Brunnen::N,pou,buloq
468,Weide::N,pastura,yaylov
469,Pfad::N,senda,dorojka
470,Pfad::N,sender,dorojka
471,Weg::N,camí,yo'l
472,Straße::N,carretera,ko'cha
473,Dorf::N,poble,ovul
474,Stadt::N,ciutāt,shahar
475,Brief::N,carta,maktub
476,Buch::N,llibre,kitob
477,Buchstabe::N,lletra,harf
478,Zeitung::N,diāri,gazet
479,Leben::N,vida,hayot
480,Tod::N,mort,o'lim
481,Grab::N,tomba,go'r
482,Kirche::N,església,cherkov
483,Sünde::N,pecat,gunoh
484,Gott::N,déu,olloh
485,Arbeiter::N,obrer,ishchi
486,Chef::N,cap,rais
487,Meister::N,mestre,usta
488,Arzt::N,metge,hakim
489,Lehrer::N,mestre,muallim
490,Geld::N,dinērs,pul
491,Geschäft::N,negoci,savdo
492,Laden::N,tenda,do'kon
493,Laden::N,botiga,do'kon
494,Preis::N,preu,baho
495,Ware::N,mercaderia,mol
496,Nutzen::N,profit,foyda
497,Reichtum::N,riquesa,boylik
498,Welt::N,món,olam
499,Land::N,país,o'lka
500,Staat::N,estat,davlat
501,König::N,rei,qirol
502,Macht::N,poder,iqtidor
503,Macht::N,potència,iqtidor
504,Grenze::N,frontera,chegara
505,Krieg::N,guerra,harb
506,Feind::N,enemic,dushman
507,Gewalt::N,violència,zo'rlik
508,Kampf::N,lluita,kurash
509,Bogen[Waffe]::N,arc,yoy
510,Pfeil::N,fletxa,o'q
511,Gewehr::N,fusell,vintovka
512,Gewehr::N,escopeta,vintovka
513,Fehler::N,falta,xato
514,Lüge::N,mentida,yolg'on
515,Schaden::N,dany,ziyon
516,Unglück::N,desgràcia,balo
517,Schuld::N,culpa,ayb
518,Alter::N,edat,yosh
519,Schluss::N,fi,tamom
520,Schluss::N,final,tamom
521,Zeit::N,temps,vaqt
522,Tag::N,dia,kun
523,Morgen::N,matí,saboh
524,Mittag::N,migdia,kun tushlik
525,Abend::N,vespre,oqshom
526,Nacht::N,nit,tun
527,Woche::N,setmana,hafta
528,Monat::N,mes,oy
529,Jahr::N,any,yil
530,Frühling::N,primavera,bahor
531,Sommer::N,estīu,yoz
532,Herbst::N,tardor,kuz
533,Herbst::N,tardor,xazon
534,Winter::N,hivērn,qish
535,Januar::N,gener,yanvar'
536,Februar::N,febrer,fevral'
537,März::N,març,mart
538,April::N,abril,aprel'
539,Mai::N,maig,may
540,Juni::N,juny,iyun'
541,Juli::N,juliol,iyul'
542,August::N,agost,avgust
543,September::N,setembre,sentyabr'
544,Oktober::N,octubre,oktyabr'
545,November::N,novembre,noyabr'
546,Dezember::N,desembre,dekabr'
547,Montag::N,dilluns,dushanba
548,Dienstag::N,dimarts,seshanba
549,Mittwoch::N,dimecres,chorshanba
550,Donnerstag::N,dijous,payshanba
551,Freitag::N,divendres,juma
552,Samstag::N,dissabte,shanba
553,Sonntag::N,diumenge,yakshanba
554,groß::A,gros,buyuk
555,klein::A,petīt,kichik
556,lang::A,llarg,uzun
557,kurz::A,curt,qisqa
558,breit::A,ample,keng
559,schmal::A,estret,änsiz
560,dicht::A,dens,quyuq
561,dick[Gegenstand]::A,gruixūt,qalin
562,dünn::A,prim,ingichka
563,fein::A,fi,mayin
564,fest::A,ferm,qattiq
565,fest::A,sòlid,qattiq
566,flach::A,pla,yalpoq
567,glatt::A,llis,tekis
568,hart::A,dur,qattiq
569,weich::A,tou,yumshoq
570,rund::A,rodó,yumaloq
571,spitz::A,punxegut,uchli
572,scharf::A,agut,keskir
573,stumpf::A,rom,to'mtoq
574,stumpf::A,esmussat,to'mtoq
575,schwer::A,pesāt,salmoqli
576,schön::A,bonīc,go'zal
577,heiß::A,calēnt,qiziq
578,warm::A,càlid,issiq
579,kalt::A,fred,sovuq
580,kühl::A,fresc,salqin
581,frisch::A,fresc,toza
582,feucht::A,humit,namli
583,nass::A,mullat,nam
584,trocken::A,sec,quruq
585,voll::A,ple,to'la
586,leer::A,buit,puch
587,offen::A,obert,ochiq
588,geschlossen::A,tancat,berk
589,sauber::A,net,ozoda
590,schmutzig::A,brut,kir
591,roh::A,cru,xom
592,reif::A,madur,pishiq
593,lecker::A,deliciós,shirin
594,süß::A,dolç,shirin
595,bitter::A,amarg,achchiq
596,sauer::A,agre,achchiq
597,hell::A,clar,yorug'
598,dunkel::A,fosc,qorong'i
599,schwarz::A,negre,qora
600,weiß::A,blanc,oq
601,rot::A,vermēll,qizil
602,gelb::A,groc,sariq
603,blau::A,blau,zangori
604,grün::A,verd,yashil
605,grau::A,gris,bo'z
606,bunt::A,multicolor,ola
607,billig::A,barat,arzon
608,teuer::A,car,qimmat
609,wertvoll::A,preciós,qimmat
610,blind::A,cec,ko'r
611,taub::A,sord,garang
612,kräftig::A,fort,kuchli
613,kräftig::A,vigorós,kuchli
614,stark::A,fort,quvvatli
615,schwach::A,feble,kuchsiz
616,fett::A,gras,semiz
617,schlank::A,esvelt,ingichka
618,hübsch::A,maco,ko'rkam
619,böse::A,dolent,yovuz
620,dumm::A,ximple,aqlsiz
621,dumm::A,estúpid,aqlsiz
622,faul::A,gandūl,ärinchak
623,faul::A,mandrós,ärinchak
624,fleißig::A,diligēnt,ishchan
625,geizig::A,avar,qurumsoq
626,klug::A,intel·ligent,oqil
627,geschickt::A,hàbil,äpchil
628,lieb::A,amat,aziz
629,lieb::A,estimat,aziz
630,lustig::A,alegre,chaqchaq
631,sanft::A,suau,asta
632,hungrig::A,afamat,och
633,krank::A,malālt,kasal
634,nackt::A,nu,yalang
635,traurig::A,trist,xafa
636,lebendig::A,viu,hayotiy
637,gut::A,bo,soz
638,schlecht::A,dolēnt,yomon
639,richtig::A,just,rost
640,richtig::A,correcte,rost
641,schlimm::A,greu,yovuz
642,wahr::A,vertader,haqiqiy
643,wahr::A,veritable,haqiqiy
644,alt::A,vell,äski
645,neu::A,nou,yangi
646,ehemalig::A,antic,sobiq
647,alt[Lebewesen]::A,vell,qari
648,jung::A,jove,navqiron
649,arm::A,pobre,abgor
650,reich::A,ric,boy
651,bekannt::A,conegut,ma'lum
652,berühmt::A,famós,mashhur
653,fremd::A,estrany,yot
654,verschieden::A,diferent,turli
655,nah::A,pròxim,yaqindagi
656,fern::A,llunyà,uzoq
657,fern::A,distant,uzoq
658,linker::A,esquerre,so'l
659,rechter::A,dret,o'ng
660,anderer::A,altre,boshqa
661,erster::A,primer,birinchi
662,zweiter::A,segon,ikkinchi
663,dritter::A,tercer,uchinchi
664,letzter::A,últim,oxirgi
665,allein::ADV,sol,o'zicha
666,auf einmal::ADV,d'una vegada,varakay
667,zusammen::ADV,junt,barobar
668,lange::ADV,molt de temps,uzoq
669,plötzlich::ADV,de cop,qo'qqisdan
670,plötzlich::ADV,de sobte,qo'qqisdan
671,sofort::ADV,de seguida,darrov
672,später::ADV,més tard,so'ngra
673,jetzt::ADV,ara,hozirgina
674,heute::ADV,avūi,bugun
675,morgen::ADV,demà,ärta
676,bald::ADV,aviāt,toz
677,dann::ADV,després,keyin
678,gestern::ADV,ahir,kecha
679,einst::ADV,anteriorment,avvallari
680,damals::ADV,llavōrs,ugal
681,damals::ADV,aleshores,ugal
682,danach::ADV,després,so'ngra
683,vorher::ADV,abāns,avval
684,zuerst::ADV,primer,avval
685,einmal::ADV,una vegada,bir marta
686,manchmal::ADV,de vegades,onda-sonda
687,oft::ADV,sovint,tez-tez
688,immer::ADV,sempre,har vaqt
689,niemals::ADV,no ... mai,hargiz
690,hier::ADV,aquí,shu erda
691,hierhin::ADV,per aquí,beri
692,von hier::ADV,des d'aquí,shu erdan
693,dort::ADV,allí,ana
694,dorthin::ADV,hi,u yerga
695,geradeaus::ADV,tot dret,to'g'ri
696,vorwärts::ADV,endavānt,ilgari
697,rückwärts::ADV,endarrera,qoloq
698,zurück::ADV,darrere,orqada
699,unten::ADV,a baix,pastda
700,hinab::ADV,cap avall,tubanga
701,oben::ADV,dalt,ustida
702,hinauf::ADV,cap amunt,yuqorida
703,überall::ADV,pertot,har erda
704,überall::ADV,per tot arreu,har erda
705,nicht::ADV,no,ämas
706,ein wenig::ADV,una mica,biroz
707,kaum::ADV,a penes,arang
708,sehr::ADV,molt,ancha
709,so::ADV,així,shunday
710,noch::ADV,encara,hali
711,nur::ADV,només,yolg'iz
712,schon::ADV,ja,endi
713,wieder::ADV,de nou,yana
714,vergebens::ADV,en va,bekorga
715,vor::PRP,davānt,burun
716,vor::PRP,enfront de,burun
717,hinter::PRP,darrera,ketida
718,unter::PRP,sota,ostida
719,durch::PRP,per,bo'ylab
720,neben::PRP,al costāt de,yonida
721,zwischen::PRP,entre,orada
722,wegen::PRP,a causa de,sababli
723,dies::PRN,aquest,o'sha
724,das::PRN,això,narigi
725,alles::PRN,tot,har nima
726,ich::PRN,jo,men
727,du::PRN,tu,sen
728,er::PRN,ell,u
729,wir::PRN,nosaltres,biz
730,ihr::PRN,vosaltres,siz
731,sie::PRN,ells,ular
732,sie::PRN,elles,ular
733,was::FPRN,què,nima
734,wer::FPRN,qui,kim
735,wo::FADV,on,qaerda
736,wohin::FADV,cap a on,qayerga
737,wie::FADV,com,qanday
738,warum::FADV,per què,nega
739,wieviel::FNUM,quant,qancha
740,eins::NUM,u,bir
741,zwei::NUM,dos,ikki
742,drei::NUM,tres,uch
743,vier::NUM,quatre,to'rt
744,fünf::NUM,cinc,besh
745,sechs::NUM,sis,olti
746,sieben::NUM,set,etti
747,acht::NUM,vuit,sakkiz
748,neun::NUM,nou,to'qqiz
749,zehn::NUM,deu,o'n
750,elf::NUM,onze,o'n bir
751,zwölf::NUM,dotze,o'n ikki
752,zwanzig::NUM,vint,yigirma
753,dreißig::NUM,trenta,o'ttiz
754,vierzig::NUM,quaranta,qirq
755,fünfzig::NUM,cinquanta,ällik
756,sechzig::NUM,seixanta,oltmish
757,siebzig::NUM,setanta,etmish
758,achtzig::NUM,vuitanta,sakson
759,neunzig::NUM,noranta,to'qson
760,hundert::NUM,cent,yuz
761,tausend::NUM,mil,ming
762,und::CNJ,i,va
763,oder::CNJ,o,yo
764,stehen::V,estar de peu,turmoq
765,sitzen::V,seure,o'tirmoq
766,liegen::V,jeure,yotmoq
767,hängen::V,penjar,osilmoq
768,werden::V,fer-se,bo'lmoq
769,werden::V,posar-se,bo'lmoq
770,passieren::V,succeir,bo'lib o'tmoq
771,beginnen::V,iniciar-se,boshlanmoq
772,enden::V,acabar-se,bitmoq
773,enden::V,terminar-se,bitmoq
774,wechseln::V,canviar,o'zgarmoq
775,aufgehen[Sonne]::V,sortir,chiqmoq
776,untergehen[Sonne]::V,posar-se,botmoq
777,scheinen[Sonne]::V,brillar,yaraqlamoq
778,donnern::V,tronar,gulduramoq
779,wehen::V,bufar,elpimoq
780,strömen::V,afluir,oqmoq
781,fließen::V,fluir,oqmoq
782,sich drehen::V,girar,aylanmoq
783,schwanken::V,vacil·lar,qoqilmoq
784,schwingen::V,oscil·lar,lopillamoq
785,fallen::V,caure,tushmoq
786,fallen::V,tombar,tushmoq
787,brennen::V,cremar,yonmoq
788,rauchen::V,fumejar,tutamoq
789,regnen::V,ploure,yomg'ir yog'moq
790,gefrieren::V,gelar-se,muzlamoq
791,tauen::V,fondre's,ärimoq
792,schmelzen::V,fondre's,ärimoq
793,trocknen::V,assecar-se,qurimoq
794,sieden::V,bullir,qaynamoq
795,faulen::V,podrir-se,chirimoq
796,verfaulen::V,podrir-se,chirimoq
797,reißen::V,trencar-se,qayt qilmoq
798,versinken::V,enfonsar-se,g'arq bo'lmoq
799,vergehen::V,passar,o'tmoq
800,erscheinen::V,aparèixer,zuhur ätmoq
801,verschwinden::V,desaparèixer,yo'qolmoq
802,sinken::V,baixar,pasaymoq
803,sinken::V,descendir,pasaymoq
804,abnehmen::V,decréixer,kamaymoq
805,zunehmen::V,augmentar,urchimoq
806,steigen::V,pujar,oshmoq
807,wachsen::V,créixer,o'smoq
808,glänzen::V,brillar,porlamoq
809,glänzen::V,resplendir,porlamoq
810,funkeln::V,espurnejar,yalt ätmoq
811,lärmen::V,fer soroll,taraq ätmoq
812,läuten::V,sonar,jiringlamoq
813,klingeln::V,trucar,jiringlamoq
814,klirren::V,dringar,sharaqlamoq
