,Concept_ID,xal,kv
436,Stiefel::N,һосн,сапог
437,Ring::N,билцг,чунькытш
438,Band::N,лент,ленточка
439,Kamm::N,сам,сынан
440,Spiegel::N,толь,зеркало
441,Riemen::N,бүс,ремень
442,Schnur::N,деесн,гез
443,Leine::N,бурнтг,повод
444,Leine::N,нохан көтлвр,повод
445,Decke::N,көнҗл,одеяло
446,Kissen::N,дер,подушка
447,Tuch::N,альчур,чышьян
448,Handtuch::N,полотенц,чышкӧт
449,Handtuch::N,һар-нүүрин альчур,чышкӧт
450,Kraft::N,күчн,прак
451,Stärke::N,чидл,вын
452,Gesundheit::N,эрүл-менд,здоровье
453,Krankheit::N,өвчн,шог
454,Schmerz::N,өвдлһн,зубыт
455,Wunde::N,шав,рана
456,Fieber::N,безг,лёк тресся
457,Fieber::N,безг,кынтан шогӧт
458,Arznei::N,эм,лекарство
459,Brücke::N,тагт,пос
460,Brunnen::N,худг,колодец 
461,Weide::N,малын идг,пода йирсян
462,Pfad::N,цувг,туй
463,Weg::N,хаалһ,туй
464,Straße::N,зам,туй
465,Dorf::N,хотн,деревня
466,Stadt::N,балһсн,город
467,Brief::N,бичг,гижӧт
468,Buch::N,дегтр,книга
469,Buchstabe::N,үзг,буква
470,Zeitung::N,газет,газета
471,Leben::N,җирһл,олан
472,Tod::N,үкл,кулӧм
473,Tod::N,өңгрлһн,кулӧм
474,Grab::N,оршалһна нүкн,гу
475,Kirche::N,чонҗ,вичку
476,Sünde::N,нүл,грек
477,Sünde::N,килнц,грек
478,Gott::N,бурхн,ен
479,Arbeiter::N,көдлмшч,уджалiсь
480,Chef::N,толһач,начальник
481,Meister::N,урн,мастер
482,Arzt::N,эмч,врач
483,Lehrer::N,багш,велӧтісь
484,Geld::N,мөңгн,деньга
485,Geschäft::N,көдлмш,удж
486,Laden::N,лавк,магазин
487,Preis::N,үн,дон
488,Ware::N,эд-тавр,товар
489,Nutzen::N,олз,путь
490,Reichtum::N,зөөр,богатство
491,Welt::N,орчлң,му
492,Welt::N,делкә,му
493,Land::N,орн-нутг,страна
494,Staat::N,государств,государство
495,König::N,хан,кан
496,Macht::N,йосн,власть
497,Grenze::N,меҗә,граница
498,Krieg::N,дән,война
499,Feind::N,дәәсн,враг
500,Gewalt::N,күч һарһлһн,
501,Kampf::N,ноолдан,нярасьӧм
502,Kampf::N,ноолдан,вермасьӧм
503,Kampf::N,бәрлдлһн,нярасьӧм
504,Kampf::N,бәрлдлһн,вермасьӧм
505,Bogen[Waffe]::N,саадг,лук
506,Pfeil::N,сумн,ньӧв
507,Gewehr::N,бу,ружьё
508,Fehler::N,алдг,ошибка
509,Lüge::N,худл,ылӧтӧм
510,Lüge::N,худл,пӧрьялӧм
511,Schaden::N,хорлт,лёк
512,Unglück::N,гүрм,пик
513,Unglück::N,гүрм,оказзё
514,Schuld::N,гем,вина
515,Schuld::N,буру,вина
516,Alter::N,насн,
517,Schluss::N,чилгч,ком
518,Zeit::N,цаг,кад
519,Tag::N,өдр,лун
520,Morgen::N,өрүн,асыв
521,Mittag::N,үд,луншӧр кад
522,Abend::N,асхн,рыт
523,Nacht::N,сө,ой
524,Woche::N,долан хонг,неделя
525,Monat::N,сар,тӧлicь
526,Jahr::N,җил,год
527,Frühling::N,хавр,тулыс
528,Sommer::N,зун,гожум
529,Herbst::N,намр,ар
530,Winter::N,үвл,тӧв
531,Januar::N,январь,январ
532,Februar::N,февраль,февраль
533,März::N,март,март
534,März::N,моһа сар,март
535,April::N,апрель,апрель
536,Mai::N,май,май
537,Juni::N,июнь,юнь
538,Juni::N,мөчн сар,юнь
539,Juli::N,июль,юль
540,August::N,август,август
541,September::N,һаха сар,сентяб
542,Oktober::N,октябрь,октяб
543,November::N,ноябрь,нояб
544,November::N,үкр сар,нояб
545,Dezember::N,бар сар,декаб
546,Montag::N,понедельник,вильлун
547,Dienstag::N,вторник,мӧдӧдзлун
548,Mittwoch::N,среда,шӧрлун
549,Mittwoch::N,үлмҗ өдр,шӧрлун
550,Donnerstag::N,четверг,нёльӧдзлун
551,Donnerstag::N,пүрвә өдр,нёльӧдзлун
552,Freitag::N,пятниц,витӧдзлун
553,Samstag::N,суббот,пывсянлун
554,Sonntag::N,нарн өдр,кресення
555,Sonntag::N,воскресень,кресення
556,groß::A,ик,ыджыт
557,klein::A,бичкн,учӧтик
558,lang::A,ут,кузь
559,kurz::A,оһтр,дженыт
560,breit::A,өргн,ота
561,schmal::A,уутьхн,векнит
562,dicht::A,нигт,тшӧк
563,dick[Gegenstand]::A,зузан,кыз
564,dünn::A,нимгн,вӧснит
565,fein::A,нәрхн,вӧснит
566,fest::A,бат,крепыт
567,flach::A,хавтха,лапкӧса
568,glatt::A,тегш,волькыт
569,glatt::A,тиньгр,волькыт
570,hart::A,хату,чӧрыт
571,weich::A,җөөлн,небыт
572,weich::A,җөөлкн,небыт
573,rund::A,төгрг,гӧгрӧса
574,spitz::A,шовһр,ёся
575,scharf::A,хурц,лэчыт
576,stumpf::A,мука,ныж
577,schwer::A,күнд,сьӧкыт
578,schön::A,сәәхн,басӧк
579,heiß::A,халун,жар
580,warm::A,дулан,шоныт
581,kalt::A,киитн,кӧдзыт
582,kühl::A,серүн,сайкыт
583,frisch::A,серүн,виль
584,feucht::A,чиигтә,вакодь
585,nass::A,чиигтә,ва
586,trocken::A,хагсу,кӧс
587,voll::A,дүүрң,тыра
588,leer::A,сул,тыртӧм
589,leer::A,хоосн,тыртӧм
590,offen::A,секәтә,оссьӧм
591,geschlossen::A,хаалһата,игана
592,geschlossen::A,хаалһата,пӧдана
593,sauber::A,цевр,сӧдз
594,sauber::A,цевр,сӧстӧм
595,schmutzig::A,киртә,нятьӧсь
596,roh::A,түүкә,путӧм
597,reif::A,болсн,кисьмалӧм
598,lecker::A,әмтәхн,кӧра 
599,süß::A,әмтәхн,чӧскыт
600,bitter::A,һашун,курыт
601,bitter::A,һашута,курыт
602,sauer::A,ишклң,шӧма 
603,hell::A,герлтә,югыт
604,dunkel::A,харңһу,пемыт
605,schwarz::A,хар,сьӧд
606,weiß::A,цаһан,чочком
607,rot::A,улан,гӧрд
608,gelb::A,шар,веж
609,blau::A,көк,лӧз
610,grün::A,көк,веж
611,grau::A,бор,руд
612,grau::A,бор,бусӧй
613,bunt::A,алг,быдрӧма
614,bunt::A,эрәтә,быдрӧма
615,billig::A,кимд,донтӧм
616,teuer::A,үнтә,дона
617,wertvoll::A,үнтә,дона
618,wertvoll::A,эрднь,дона
619,blind::A,сохр,синтӧм
620,taub::A,дүлә,пельтӧм
621,kräftig::A,күчтә,вына
622,stark::A,чаңһ,вына
623,schwach::A,күчн тату,некодя
624,fett::A,тарһн,госа
625,schlank::A,эццн,статя
626,hübsch::A,көркхн,басӧк
627,böse::A,уурта,лёк
628,dumm::A,тенг,бӧбӧв
629,dumm::A,тенг,вежӧртӧм
630,faul::A,залху,дыш
631,fleißig::A,кинән,уджалicь
632,fleißig::A,кинмһә,уджалicь
633,geizig::A,ховдг,жикмӧра
634,geizig::A,ховдг,горшаліcь
635,klug::A,ухата,авья
636,klug::A,ухата,вежӧра
637,geschickt::A,чадмг,кипода
638,lieb::A,эңкр,муса
639,lieb::A,эңкр,дзулиньӧй
640,lustig::A,сергмҗтә,гажа
641,lustig::A,җирһлтә,гажа
642,sanft::A,номһн,лебезнӧй
643,hungrig::A,өлн,тшыг
644,hungrig::A,харһнсн,тшыг
645,krank::A,өвчтә,шогалiсь
646,krank::A,шалтгта,шогалiсь
647,nackt::A,нүцкн,куш
648,traurig::A,һундлта,жугыль
649,lebendig::A,әмд,ловья
650,gut::A,сән,бур
651,schlecht::A,му,умӧль
652,richtig::A,зөвтә,
653,schlimm::A,җигшүртә,нештӧм
654,wahr::A,үнн,
655,wahr::A,мөн,
656,alt::A,хуучн,важ
657,neu::A,шин,виль
658,ehemalig::A,хуучн,вӧвлӧм
659,alt[Lebewesen]::A,көгшн,года
660,alt[Lebewesen]::A,көгшн,годдэза
661,jung::A,баһ,том
662,arm::A,угатя,гов
663,arm::A,угатя,беднӧй
664,reich::A,байн,эма
665,bekannt::A,таньл,тӧдса
666,bekannt::A,таньдг,тӧдса
667,berühmt::A,туурсн,
668,fremd::A,күүнә,чужӧй
