,Concept_ID,mdf,ro
396,Loch::N,варя,gaură
397,Winkel::N,ужа,colț
398,Muster::N,сёрма,desen
399,Größe::N,серь,mărime
400,Länge::N,кува́лма,lungime
401,Höhe::N,серь,înălțime
402,Gewicht::N,сталма,greutate
403,Menge::N,лувкс,cantitate
404,Haufen::N,мар,grămadă
405,Reihe::N,ряд,șir
406,Reihe::N,ряд,rând
407,Boot::N,венеж,barcă
408,Boot::N,венеж,luntre
409,Ruder::N,миле,vâslă
410,Ruder::N,миле,lopată
411,Schlitten::N,ну́рда,sanie
412,Ski::N,сокс,schi
413,Lagerfeuer::N,то́лмар,foc de tabără
414,Last::N,канкс,povară
415,Last::N,канкс,sarcină
416,Last::N,сталма,povară
417,Last::N,сталма,sarcină
418,Gang::N,молема,mers
419,Gang::N,молема,umblet
420,Schritt::N,аськолкс,pas
421,Norden::N,якшама шире,nord
422,Norden::N,якшама шире,miazănoapte
423,Süden::N,ля́мбе ши́ре,sud
424,Süden::N,ля́мбе ши́ре,miazăzi
425,Westen::N,ши валгома шире,apus
426,Osten::N,шинь стяма шире,est
427,Osten::N,шинь стяма шире,răsărit
428,Holz::N,вирь,lemn
429,Holz::N,шуфта,lemn
430,Brett::N,лавця,scândură
431,Platte::N,плита́,placă
432,Stütze::N,неже,proptea
433,Stange::N,олга,bară
434,Stange::N,олга,prăjină
435,Stock::N,байдек,băț
436,Stock::N,байдек,baston
437,Stab::N,олгоня,baston
438,Stab::N,олгоня,prăjină
439,Rohr::N,турама,tub
440,Rohr::N,турама,țeavă
441,Haus::N,куд,casă
442,Heim::N,куд,casă
443,Heim::N,куд,cămin
444,Ofen::N,пянакуд,sobă
445,Fußboden::N,кия́кс,podea
446,Fußboden::N,кия́кс,dușumea
447,Tisch::N,шра,masă
448,Tisch::N,моркш,masă
449,Stuhl::N,стул,scaun
450,Wiege::N,нюря́м,leagăn
451,Bett::N,ацам,pat
452,Regal::N,лавцяланга,rafturi
453,Kiste::N,парга,ladă
454,Kiste::N,парга,cutie
455,Fenster::N,валмья,fereastră
456,Tür::N,кенкш,ușă
457,Tor::N,ортат,poartă
458,Zaun::N,перяфкс,gard
459,Dach::N,кудпря,acoperiș
460,Leiter::N,куцема,scară
461,Besen::N,тяльме,mătură
462,Spaten::N,ка́йме,cazma
463,Spaten::N,ка́йме,hârleț
464,Schaufel::N,ко́поня,lopată
465,Schaufel::N,ця́рдом,lopată
466,Gabel::N,ця́нгоня,furculiță
467,Löffel::N,куцю,lingură
468,Messer::N,пеель,cuțit
469,Nagel::N,эска,cui
470,Haken::N,кя́чказ,cârlig
471,Griff::N,недь,mâner
472,Griff::N,кунда́мка,mâner
473,Schloss::N,замо́к,lacăt
474,Bild::N,карти́на,tablou
475,Bild::N,карти́на,imagine
476,Figur::N,ронга-понда,chip
477,Figur::N,ронга-понда,figură
478,Puppe::N,ня́ка,păpușă
479,Beutel::N,кяскав,pungă
480,Beutel::N,кяскав,săculeț
481,Bündel::N,кярьме,mănunchi
482,Tasche::N,кошяльня,geantă
483,Eimer::N,ве́дарка,găleată
484,Deckel::N,тавадкс,capac
485,Deckel::N,вельхкс,capac
486,Geschirr::N,кядьге,vase
487,Geschirr::N,кядьге,tacâmuri
488,Sack::N,кяскав,sac
489,Tasse::N,ша́ваня,ceașcă
490,Topf::N,кавозь,oală
491,Kessel::N,сргавозь,cazan
492,Kessel::N,сргавозь,căldare
493,Essen::N,ярхцама,mâncare
494,Nahrung::N,ярхцампяль,hrană
495,Nahrung::N,ярхцампяль,aliment
496,Speise::N,ярхцама,bucate
497,Speise::N,ярхцама,fel de bucate
498,Fleisch::N,пал,carne
499,Fleisch::N,сиволь,carne
500,Getreide::N,сёра,cereale
501,Brei::N,ям,pireu
502,Brot::N,кши,pâine
503,Scheibe::N,кочам,felie
504,Scheibe::N,кочам,bucată
505,Fett::N,куя́,untură
506,Fett::N,куя́,grăsime
507,Butter::N,вай,unt
508,Öl::N,вай,ulei
509,Salz::N,сал,sare
510,Suppe::N,шонгарям,supă
511,Suppe::N,шонгарям,ciorbă
512,Suppe::N,коршампяль,supă
513,Suppe::N,коршампяль,ciorbă
514,Honig::N,медь,miere
515,Milch::N,лофца,lapte
516,Tee::N,чай,ceai
517,Leder::N,кедь,piele
518,Wolle::N,пона,lână
519,Stoff::N,котф,stofă
520,Nadel::N,салмокс,ac
521,Faden::N,сюре,ață
522,Knopf::N,пуня,buton
523,Knoten::N,сюлма,nod
524,Farbe::N,архтомбяль,vopsea
525,Kleidung::N,щам,haine
526,Kleidung::N,щам,îmbrăcăminte
527,Hemd::N,па́нар,cămașă
528,Kragen::N,сиве,guler
529,Ärmel::N,ожа,mânecă
530,Hose::N,понкст,pantaloni
531,Gürtel::N,каркс,cordon
532,Mütze::N,вазь,șapcă
533,Schuh::N,башма́к,gheată
534,Stiefel::N,кя́ме,cizmă
535,Ring::N,суркс,inel
536,Ring::N,суркс,verigă
537,Band::N,керькс,panglică
538,Band::N,керькс,șiret
539,Band::N,лента,panglică
540,Band::N,лента,șiret
541,Kamm::N,сюрьхцем,pieptene
542,Spiegel::N,ванома,oglindă
543,Riemen::N,шнань каркс,curea
544,Schnur::N,пикс,funie
545,Schnur::N,пикс,sfoară
546,Schnur::N,карькскя,funie
547,Schnur::N,карькскя,sfoară
548,Leine::N,вядьме,lesă
549,Leine::N,вядьме,curea
550,Decke::N,вельхкс,pătură
551,Kissen::N,тоду,pernă
552,Tuch::N,руця́,batic
553,Handtuch::N,на́рдама,prosop
554,Handtuch::N,на́рдама,ștergar
555,Kraft::N,вий,forță
556,Kraft::N,вий,putere
557,Stärke::N,вииши,tărie
558,Stärke::N,вииши,vigoare
559,Gesundheit::N,шумбраши́,sănătate
560,Krankheit::N,урма́,boală
561,Krankheit::N,урма́,maladie
562,Krankheit::N,сярядема,boală
563,Krankheit::N,сярядема,maladie
564,Schmerz::N,маряма,durere
565,Wunde::N,керф,rană
566,Fieber::N,маштыкс,febră
567,Arznei::N,надо́бья,leac
568,Arznei::N,надо́бья,medicament
569,Arznei::N,пъчка́фтома,leac
570,Arznei::N,пъчка́фтома,medicament
571,Brücke::N,седь,pod
572,Brücke::N,седь,punte
573,Brunnen::N,эши,puț
574,Weide::N,ванома васта,izlaz
575,Weide::N,ванома васта,pășune
576,Pfad::N,ян,cărare
577,Pfad::N,киня́,cărare
578,Weg::N,ки,drum
579,Straße::N,ки,cale
580,Straße::N,ки,stradă
581,Dorf::N,веле,sat
582,Stadt::N,ош,oraș
583,Brief::N,сёрма,scrisoare
584,Buch::N,книга,carte
585,Buchstabe::N,бу́ква,literă
586,Buchstabe::N,бу́ква,caracter
587,Zeitung::N,газе́та,ziar
588,Zeitung::N,газе́та,gazetă
589,Leben::N,эряф,viață
590,Leben::N,эряма,viață
591,Tod::N,кулома́,moarte
592,Grab::N,калма,groapă
593,Grab::N,калма,mormânt
594,Kirche::N,це́рькав,biserică
595,Sünde::N,пежеть,păcat
596,Sünde::N,муворкс,păcat
597,Gott::N,шкай,zeu
598,Arbeiter::N,трудендай,muncitor
599,Arbeiter::N,работник,muncitor
600,Chef::N,азор,șef
601,Chef::N,оцюня,șef
602,Meister::N,мастяр,meșter
603,Meister::N,мастяр,maestru
604,Arzt::N,врач,medic
605,Arzt::N,врач,doctor
606,Arzt::N,доктор,medic
607,Arzt::N,доктор,doctor
608,Lehrer::N,учи́тель,profesor
609,Lehrer::N,учи́тель,învățător
610,Geld::N,ярмакт,bani
611,Geld::N,ярмакт,parale
612,Geschäft::N,ладяфкс,treabă
613,Geschäft::N,ладяфкс,afacere
614,Geschäft::N,ладяф тев,treabă
615,Geschäft::N,ладяф тев,afacere
616,Laden::N,ла́вка,magazin
617,Laden::N,ла́вка,prăvălie
618,Preis::N,питне,preț
619,Ware::N,миф,marfă
620,Ware::N,ра́маф,marfă
621,Nutzen::N,пара,folos
622,Nutzen::N,пара,profit
623,Nutzen::N,лезкс,folos
624,Nutzen::N,лезкс,profit
625,Reichtum::N,ко́зяши,avuție
626,Reichtum::N,ко́зяши,bogăție
627,Welt::N,свет,lume
628,Land::N,мастор,țară
629,Staat::N,государства,stat
630,König::N,король,rege
631,Macht::N,азорондама,putere
632,Macht::N,азорондама,putință
633,Macht::N,азорксши,putere
634,Macht::N,азорксши,putință
635,Grenze::N,ёткаян,hotar
636,Grenze::N,ёткаян,graniță
637,Grenze::N,ёткаян,frontieră
638,Krieg::N,война́,război
639,Feind::N,душман,dușman
640,Feind::N,каршек тюри,dușman
641,Gewalt::N,наругама,violență
642,Kampf::N,тюрема́,luptă
643,Bogen[Waffe]::N,нал,arc
644,Pfeil::N,нал,săgeată
645,Gewehr::N,винто́вка,armă
646,Gewehr::N,винто́вка,pușcă
647,Fehler::N,эльбядькс,eroare
648,Fehler::N,эльбядькс,greșeală
649,Lüge::N,васькафнема,minciună
650,Schaden::N,зия́н,daună
651,Schaden::N,зия́н,pagubă
652,Unglück::N,зия́н,nenorocire
653,Schuld::N,муворши,vină
654,Alter::N,эряф кизот,etate
655,Alter::N,эряф кизот,vârstă
