,Concept_ID,ml,vep
271,Wort::N,വാക്ക്,sana
272,Zeichen::N,സംജ്ഞ,znam
273,Ruf::N,വിളി,kida
274,Ruf::N,വിളി,kucund
275,Lärm::N,ആരവം,judu
276,Laut::N,ശബ്ദം,kulund
277,Ton::N,സ്വരഭേദം,kulund
278,Lied::N,പാട്ട്,pajo
279,Ruhe::N,നിശ്ചലത,lebu
280,Leute::N,ജനങ്ങൾ,rahvaz
281,Volk::N,രാഷ്ടം,rahvaz
282,Arbeit::N,ജോലി,tö
283,Arbeit::N,ജോലി,rad
284,Gast::N,അതിലി,adiv
285,Geschenk::N,സമ്മാനം,lahj
286,Spiel::N,കളി,vänd
287,Gesellschaft::N,കൂട്ടായ്മ,sebr
288,Hilfe::N,സഹായം,abu
289,Freund::N,സുഹൃത്ത്,sebranik
290,Kamerad::N,കൂട്ടാളി,sebranik
291,Angelegenheit::N,കാര്യം,azj
292,Anzahl::N,എണ്ണം,lugu
293,Art::N,തരം,rod
294,Art::N,തരം,rodsugu
295,Stück::N,കഷണം,pala
296,Stück::N,കഷണം,supal
297,Teil::N,ഭാഗം,pala
298,Hälfte::N,പകുതി,pol'
299,Kreis::N,വൃത്തം,ümbruz
300,Kreis::N,വൃത്തം,kehkruz
301,Kreuz::N,കുരിശടയാളം,rist
302,Linie::N,വര,pird
303,Linie::N,രേഖ,pird
304,Strich::N,പക്ഷാഘാതം,pird
305,Abstand::N,വിടവ്,keskust
306,Entfernung::N,അകലം,matk
307,Gegend::N,പ്രദേശം,taho
308,Platz::N,ഇടം,avaruz'
309,Ort::N,സ്ഥലം,koht
310,Seite::N,വശം,pol'
311,Seite::N,വശം,kül'g
312,Mitte::N,മധ്യസ്ഥാനം,kesk
313,Gegenstand::N,സാധനം,kalu
314,Sache::N,വസ്തു,azj
315,Rand::N,തൊങ്ങൽ,röun
316,Kante::N,അറ്റം,röun
317,Ecke::N,മൂല,saum
318,Spitze::N,അഗ്രം,agjaine
319,Ende::N,അവസാനം,agj
320,Loch::N,ദ്വാരം,reig
321,Winkel::N,കോൺ,čoga
322,Winkel::N,കോൺ,saum
323,Muster::N,ക്രമം,kirjam
324,Größe::N,വലുപ്പം,suruz'
325,Länge::N,നീളം,piduz
326,Höhe::N,ഉയരം,korktuz'
327,Gewicht::N,കട്ടി,jügu
328,Gewicht::N,കട്ടി,vedäduz
329,Menge::N,അളവ്,äjüz'
330,Haufen::N,കൂമ്പാരം,kogo
331,Reihe::N,വരി,rivi
332,Boot::N,ബോട്ട്,veneh
333,Ruder::N,പങ്കായം,air
334,Schlitten::N,ഉരുളില്ലാവണ്ടി,regi
335,Schlitten::N,ഉരുളില്ലാവണ്ടി,regut
