,Concept_ID,cs,uk
73,Rauch::N,kouř,дим
74,Funke::N,jiskra,іскра
75,Feuer::N,oheň,вогонь
76,Licht::N,světlo,світло
77,Schatten::N,stín,тінь
78,Wetter::N,počasí,погода
79,Nebel::N,mlha,туман
80,Wolke::N,mrak,хмара
81,Wolke::N,oblak,хмара
82,Regen::N,déšť,дощ
83,Schnee::N,sníh,сніг
84,Eis::N,led,лід
85,Frost::N,mráz,мороз
86,Kälte::N,chlad,холод
87,Hitze::N,horko,жар
88,Raureif::N,jinovatka,іній
89,Regenbogen::N,duha,райдуга
90,Donner::N,hrom,грім
91,Strömung::N,proudění,струмина
92,Tropfen::N,kapka,крапля
93,Schaum::N,pěna,піна
94,Schmutz::N,špína,бруд
95,See::N,jezero,озеро
96,Sumpf::N,močál,драговина
97,Sumpf::N,bažina,драговина
98,Moor::N,bažina,болото
99,Moor::N,slatina,болото
100,Wiese::N,louka,луг
101,Wiese::N,louka,лука
102,Wald::N,les,ліс
103,Hügel::N,kopec,горб
104,Anhöhe::N,pahorek,височина
105,Berg::N,hora,гора
106,Gipfel::N,vrchol,вершина
107,Höhle::N,jeskyně,печера
108,Abhang::N,svah,схил
109,Abhang::N,stráň,схил
110,Quelle::N,pramen,джерело
111,Bach::N,potok,струмок
112,Fluss::N,řeka,річка
113,Ufer::N,břeh,берег
114,Küste::N,pobřeží,узбережжя
115,Festland::N,souš,суша
116,Festland::N,pevnina,суша
117,Meer::N,moře,море
118,Bucht::N,záliv,бухта
119,Bucht::N,záliv,затока
120,Bucht::N,zátoka,бухта
121,Bucht::N,zátoka,затока
122,Insel::N,ostrov,острів
123,Blume::N,květina,квітка
124,Gras::N,tráva,трава
125,Wurzel::N,kořen,корінь
126,Baum::N,strom,дерево
127,Stamm::N,kmen,стовбур
128,Rinde::N,kůra,кора
129,Ast::N,větev,гілка
130,Zweig::N,větev,галузь
131,Blatt::N,lupen,лист
132,Birke::N,bříza,береза
133,Kiefer[Baum]::N,sosna,сосна
134,Kiefer[Baum]::N,borovice,сосна
135,Weide[Baum]::N,vrba,верба
136,Tanne::N,jedle,ялиця
137,Horn::N,roh,ріг
138,Feder::N,pero,перо
139,Fell::N,srst,хутро
140,Flügel::N,křídlo,крило
141,Klaue::N,dráp,кіготь
142,Klaue::N,pazneht,кіготь
143,Kralle::N,dráp,лапа
144,Schwanz::N,ocas,хвіст
145,Ei::N,vejce,яйце
146,Nest::N,hnízdo,гніздо
147,Bau::N,nora,лігво
148,Tier::N,zvíře,тварина
149,Herde::N,stádo,стадо
150,Kuh::N,kráva,корова
151,Bulle::N,býk,бик
152,Bulle::N,býk,бугай
153,Pferd::N,kůň,кінь
154,Schaf::N,ovce,вівця
155,Schwein::N,vepř,свиня
156,Schwein::N,prase,свиня
157,Hund::N,pes,собака
158,Katze::N,kočka,кішка
159,Bär::N,medvěd,ведмідь
160,Eichhörnchen::N,veverka,білка
161,Elch::N,los,лось
162,Fuchs::N,liška,лисиця
163,Hase::N,zajíc,заєць
164,Maus::N,myš,миша
165,Wolf::N,vlk,вовк
166,Vogel::N,pták,птах
167,Schwarm::N,roj,зграя
168,Schwarm::N,hejno,зграя
169,Huhn::N,kuře,курка
170,Huhn::N,slepice,курка
171,Hahn::N,kohout,півень
172,Gans::N,husa,гуска
173,Adler::N,orel,орел
174,Ente::N,kachna,качка
175,Eule::N,sova,сова
176,Kranich::N,jeřáb,журавель
177,Krähe::N,vrána,ворона
178,Kuckuck::N,kukačka,зозуля
179,Schwan::N,labuť,лебідь
180,Fisch::N,ryba,риба
181,Barsch::N,okoun,окунь
182,Hecht::N,štika,щука
183,Schlange[Tier]::N,had,змія
184,Wurm::N,červ,черв’як
185,Spinne::N,pavouk,павук
186,Ameise::N,mravenec,мурашка
187,Laus::N,veš,воша
188,Mücke::N,komár,комар
189,Fliege::N,moucha,муха
190,Schmetterling::N,motýl,метелик
191,Beere::N,bobule,ягода
192,Apfel::N,jablko,яблуко
193,Pilz::N,houba,гриб
194,Zwiebel::N,cibule,цибуля
195,Saat::N,osivo,сім’я
196,Korn::N,zrno,зерно
197,Heu::N,seno,сіно
198,Schale::N,slupka,шкірка
199,Schale::N,skořápka,шкірка
200,Grube::N,jáma,яма
201,Falle::N,past,пастка
202,Falle::N,léčka,пастка
203,Schlinge::N,smyčka,петля
204,Spur::N,stopa,слід
205,Asche::N,popel,зола
206,Asche::N,popel,попіл
207,Dreck::N,špína,бруд
208,Eisen::N,železo,залізо
209,Gold::N,zlato,золото
210,Silber::N,stříbro,срібло
211,Kohle::N,uhlí,вугілля
212,Glas::N,sklo,скло
213,Lehm::N,jíl,глина
214,Lehm::N,hlína,глина
215,Sand::N,písek,пісок
216,Mensch::N,člověk,людина
217,Mann::N,muž,чоловік
218,Frau::N,žena,жінка
219,Kind::N,dítě,дитина
220,Junge::N,hoch,хлопець
221,Junge::N,chlapec,хлопець
222,Mädchen::N,děvče,дівчина
223,Familie::N,rodina,сім’я
224,Familie::N,rodina,родина
225,Großvater::N,děd,дідусь
226,Großvater::N,dědeček,дідусь
227,Großmutter::N,babička,бабуся
228,Eltern::N,rodiče,батьки
229,Vater::N,otec,батько
230,Mutter::N,matka,мати
231,Sohn::N,syn,син
232,Tochter::N,dcera,дочка
233,Bruder::N,bratr,брат
234,Schwester::N,sestra,сестра
235,Onkel::N,strýc,дядько
236,Tante::N,teta,тітка
237,Ehemann::N,choť,чоловік
238,Ehemann::N,manžel,чоловік
239,Ehefrau::N,choť,жінка
240,Ehefrau::N,choť,дружина
241,Ehefrau::N,manželka,жінка
242,Ehefrau::N,manželka,дружина
243,Freude::N,radost,радощі
244,Gelächter::N,smích,сміх
245,Glück::N,štěstí,щастя
246,Kummer::N,žal,горе
247,Kummer::N,trápení,горе
248,Wunsch::N,přání,бажання
249,Lust::N,chuť,бажання
250,Geist::N,duch,дух
251,Gedanke::N,myšlenka,думка
252,Gedächtnis::N,paměť,пам’ять
253,Verstand::N,rozum,розум
254,Sinn::N,smysl,зміст
255,Sinn::N,smysl,значення
256,Grund::N,důvod,причина
257,Wahrheit::N,pravda,правда
258,Gespräch::N,rozhovor,розмова
259,Märchen::N,pohádka,байка
260,Erzählung::N,povídka,повість
261,Erzählung::N,povídka,оповідання
262,Nachricht::N,zpráva,повідомлення
263,Neuigkeit::N,novina,новина
264,Neuigkeit::N,novinka,новина
265,Name::N,jméno,ім’я
266,Rätsel::N,hádanka,загадка
267,Rede::N,řeč,промова
268,Rede::N,proslov,промова
269,Sprache::N,řeč,мова
270,Sprache::N,jazyk,мова
271,Stimme::N,hlas,голос
272,Wort::N,slovo,слово
273,Zeichen::N,znamení,знак
274,Ruf::N,zavolání,оклик
275,Lärm::N,hluk,шум
276,Laut::N,zvuk,звук
277,Ton::N,tón,тон
278,Lied::N,píseň,пісня
279,Ruhe::N,klid,спокій
280,Ruhe::N,pokoj,спокій
281,Leute::N,lidé,люди
282,Volk::N,národ,народ
283,Arbeit::N,práce,робота
284,Gast::N,host,гість
285,Geschenk::N,dar,подарунок
286,Spiel::N,hra,гра
287,Gesellschaft::N,společnost,товариство
288,Hilfe::N,pomoc,допомога
289,Freund::N,přítel,друг
290,Freund::N,přítel,приятель
291,Kamerad::N,kamarád,товариш
292,Angelegenheit::N,záležitost,справа
293,Anzahl::N,počet,число
294,Art::N,druh,рід
295,Stück::N,kus,кусок
296,Stück::N,kousek,кусок
297,Teil::N,díl,частина
298,Teil::N,část,частина
299,Hälfte::N,půl,половина
300,Kreis::N,kruh,круг
301,Kreis::N,kruh,коло
302,Kreuz::N,kříž,хрест
303,Linie::N,linka,лінія
304,Strich::N,čára,штрих
305,Strich::N,čárka,штрих
306,Abstand::N,vzdálenost,проміжок
307,Entfernung::N,vzdálenost,відстань
308,Gegend::N,krajina,місцевість
309,Platz::N,prostor,площа
310,Ort::N,místo,місце
311,Seite::N,strana,сторона
312,Mitte::N,střed,середина
313,Mitte::N,prostředek,середина
314,Gegenstand::N,předmět,предмет
315,Sache::N,věc,річ
316,Rand::N,kraj,край
317,Rand::N,okraj,край
318,Kante::N,hrana,ребро
319,Ecke::N,roh,ріг
320,Spitze::N,hrot,кінчик
321,Spitze::N,špička,кінчик
322,Ende::N,konec,кінець
323,Loch::N,díra,діра
324,Winkel::N,kout,куток
325,Muster::N,vzor,узор
326,Größe::N,velikost,розмір
327,Länge::N,délka,довжина
328,Höhe::N,výška,висота
329,Gewicht::N,váha,вага
330,Menge::N,množství,кількість
331,Haufen::N,kupa,купа
332,Haufen::N,hromada,купа
333,Reihe::N,řada,ряд
334,Reihe::N,řádek,ряд
335,Boot::N,člun,човен
336,Ruder::N,veslo,весло
337,Schlitten::N,sáně,сани
338,Ski::N,lyže,лижа
339,Lagerfeuer::N,táborák,вогнище
340,Last::N,náklad,тягар
341,Last::N,náklad,вантаж
342,Last::N,břemeno,тягар
343,Last::N,břemeno,вантаж
344,Gang::N,chůze,хід
345,Gang::N,chodba,хід
346,Schritt::N,krok,крок
347,Norden::N,sever,північ
348,Süden::N,jih,південь
349,Westen::N,západ,захід
350,Osten::N,východ,схід
351,Holz::N,dřevo,дрова
352,Brett::N,prkno,дошка
353,Platte::N,deska,плита
354,Stütze::N,opěra,підпірка
355,Stange::N,tyč,жердина
356,Stange::N,tyčka,жердина
357,Stock::N,hůlka,палиця
358,Stab::N,hůl,палиця
359,Rohr::N,trubka,труба
360,Haus::N,dům,дім
361,Haus::N,dům,хата
362,Heim::N,domov,житло
363,Ofen::N,kamna,піч
364,Fußboden::N,podlaha,підлога
365,Tisch::N,stůl,стіл
366,Stuhl::N,židle,стілець
367,Wiege::N,kolébka,колиска
368,Bett::N,postel,ліжко
369,Bett::N,postel,постіль
370,Regal::N,regál,полиця
371,Regal::N,police,полиця
372,Kiste::N,bedna,ящик
373,Fenster::N,okno,вікно
374,Tür::N,dveře,двері
375,Tor::N,vrata,ворота
376,Zaun::N,plot,паркан
377,Zaun::N,plot,огорожа
378,Dach::N,střecha,дах
379,Leiter::N,žebřík,драбина
380,Besen::N,koště,мітла
381,Besen::N,smeták,мітла
382,Spaten::N,rýč,заступ
383,Schaufel::N,lopata,совок
384,Schaufel::N,lopata,лопата
385,Gabel::N,vidlička,виделка
386,Löffel::N,lžíce,ложка
387,Messer::N,nůž,ніж
388,Nagel::N,hřebík,цвях
389,Netz::N,síť,сіть
390,Haken::N,hák,крюк
391,Griff::N,držadlo,ручка
392,Griff::N,držadlo,держак
393,Schloss::N,zámek,замок
394,Bild::N,obraz,картина
395,Figur::N,figura,фігура
396,Puppe::N,panenka,лялька
397,Beutel::N,pytlík,мішечок
398,Beutel::N,pytlík,торбинка
399,Bündel::N,svazek,в’язка
400,Tasche::N,taška,сумка
401,Tasche::N,brašna,сумка
402,Eimer::N,kýbl,відро
403,Eimer::N,vědro,відро
404,Deckel::N,víko,кришка
405,Deckel::N,příklop,кришка
406,Geschirr::N,nádobí,посуд
407,Sack::N,pytel,мішок
408,Tasse::N,šálek,чашка
409,Topf::N,hrnec,горщик
410,Kessel::N,kotel,котел
411,Essen::N,jídlo,їжа
412,Nahrung::N,strava,харч
413,Nahrung::N,potrava,харч
414,Speise::N,jídlo,страва
415,Fleisch::N,maso,м’ясо
416,Getreide::N,obilí,хліб
417,Getreide::N,obilí,збіжжя
418,Brei::N,kaše,каша
419,Brot::N,chléb,хліб
420,Scheibe::N,krajíc,скибочка
421,Fett::N,tuk,жир
422,Fett::N,omastek,жир
423,Butter::N,máslo,масло
424,Öl::N,olej,олія
425,Salz::N,sůl,сіль
426,Suppe::N,polévka,суп
427,Honig::N,med,мед
428,Milch::N,mléko,молоко
429,Tee::N,čaj,чай
430,Leder::N,kůže,шкіра
431,Wolle::N,vlna,шерсть
432,Stoff::N,látka,тканина
433,Nadel::N,jehla,голка
434,Faden::N,nit,нитка
435,Knopf::N,knoflík,ґудзик
436,Knoten::N,uzel,вузол
437,Farbe::N,barva,фарба
438,Kleidung::N,šaty,одяг
439,Kleidung::N,šaty,убрання
440,Kleidung::N,šatstvo,одяг
441,Kleidung::N,šatstvo,убрання
442,Hemd::N,košile,сорочка
443,Kragen::N,límec,комір
444,Ärmel::N,rukáv,рукав
445,Hose::N,kalhoty,брюки
446,Gürtel::N,pás,пояс
447,Gürtel::N,opasek,пояс
448,Mütze::N,čepice,шапка
449,Schuh::N,bota,ботинок
450,Stiefel::N,holínka,чобіт
451,Ring::N,prsten,кільце
452,Band::N,pásek,стрічка
453,Kamm::N,hřeben,гребінець
454,Spiegel::N,zrcadlo,дзеркало
455,Riemen::N,řemen,ремінь
456,Schnur::N,šňůra,вірьовка
457,Leine::N,vodítko,шворка
458,Decke::N,pokrývka,ковдра
459,Decke::N,přikrývka,ковдра
460,Kissen::N,polštář,подушка
461,Tuch::N,šátek,хустка
462,Handtuch::N,ručník,рушник
463,Kraft::N,síla,сила
464,Stärke::N,síla,сила
465,Gesundheit::N,zdraví,здоров’я
466,Krankheit::N,nemoc,хвороба
467,Krankheit::N,choroba,хвороба
468,Schmerz::N,bolest,біль
469,Wunde::N,rána,рана
470,Fieber::N,horečka,гарячка
471,Arznei::N,lék,ліки
472,Brücke::N,most,міст
473,Brunnen::N,studna,колодязь
474,Weide::N,pastva,пасовище
475,Weide::N,pastvina,пасовище
476,Pfad::N,pěšina,стежка
477,Weg::N,cesta,шлях
478,Weg::N,cesta,дорога
479,Straße::N,silnice,вулиця
480,Dorf::N,vesnice,село
481,Stadt::N,město,місто
482,Brief::N,dopis,лист
483,Buch::N,kniha,книга
484,Buch::N,kniha,книжка
485,Buchstabe::N,písmeno,буква
486,Buchstabe::N,písmeno,літера
487,Zeitung::N,noviny,газета
488,Leben::N,život,життя
489,Tod::N,smrt,смерть
490,Grab::N,hrob,могила
491,Kirche::N,kostel,церква
492,Sünde::N,hřích,гріх
493,Gott::N,bůh,бог
494,Arbeiter::N,dělník,робітник
495,Arbeiter::N,pracovník,робітник
496,Chef::N,šéf,хазяїн
497,Chef::N,vedoucí,хазяїн
498,Meister::N,mistr,умілець
499,Arzt::N,lékař,лікар
500,Lehrer::N,učitel,вчитель
501,Geld::N,peníze,гроші
502,Geschäft::N,obchod,заняття
503,Laden::N,krám,магазин
504,Laden::N,krám,крамниця
505,Preis::N,cena,ціна
506,Ware::N,zboží,товар
507,Nutzen::N,užitek,вигода
508,Nutzen::N,užitek,користь
509,Reichtum::N,bohatství,багатство
510,Welt::N,svět,світ
511,Land::N,země,країна
512,Staat::N,stát,держава
513,König::N,král,король
514,Macht::N,moc,влада
515,Macht::N,mocnost,влада
516,Grenze::N,hranice,кордон
517,Krieg::N,válka,війна
518,Feind::N,nepřítel,ворог
519,Gewalt::N,násilí,насильство
520,Kampf::N,boj,бій
521,Kampf::N,boj,боротьба
522,Bogen[Waffe]::N,luk,лук
523,Pfeil::N,šíp,стріла
524,Gewehr::N,puška,рушниця
525,Gewehr::N,puška,гвинтівка
526,Gewehr::N,ručnice,рушниця
527,Gewehr::N,ručnice,гвинтівка
528,Fehler::N,chyba,помилка
529,Lüge::N,lež,брехня
530,Schaden::N,škoda,шкода
531,Schaden::N,škoda,збиток
532,Unglück::N,neštěstí,нещастя
533,Schuld::N,vina,провина
534,Alter::N,věk,вік
535,Alter::N,věk,літа
536,Schluss::N,konec,кінець
537,Zeit::N,čas,час
538,Tag::N,den,день
539,Morgen::N,ráno,ранок
540,Morgen::N,jitro,ранок
541,Mittag::N,poledne,південь
542,Abend::N,večer,вечір
543,Nacht::N,noc,ніч
544,Woche::N,týden,тиждень
545,Monat::N,měsíc,місяць
546,Jahr::N,rok,рік
547,Frühling::N,jaro,весна
548,Sommer::N,léto,літо
549,Herbst::N,podzim,осінь
550,Winter::N,zima,зима
551,Januar::N,leden,січень
552,Februar::N,únor,лютий
553,März::N,březen,березень
554,April::N,duben,квітень
555,Mai::N,květen,травень
556,Juni::N,červen,червень
557,Juli::N,červenec,липень
558,August::N,srpen,серпень
559,September::N,září,вересень
560,Oktober::N,říjen,жовтень
561,November::N,listopad,листопад
562,Dezember::N,prosinec,грудень
563,Montag::N,pondělí,понеділок
564,Montag::N,pondělek,понеділок
565,Dienstag::N,úterý,вівторок
566,Mittwoch::N,středa,середа
567,Donnerstag::N,čtvrtek,четвер
568,Freitag::N,pátek,п’ятниця
569,Samstag::N,sobota,субота
570,Sonntag::N,neděle,неділя
571,groß::A,velký,великий
572,klein::A,malý,малий
573,klein::A,malý,маленький
574,lang::A,dlouhý,довгий
575,kurz::A,krátký,короткий
576,breit::A,široký,широкий
577,schmal::A,úzký,вузький
578,dicht::A,hustý,густий
579,dick[Gegenstand]::A,tlustý,товстий
580,dünn::A,tenký,тонкий
581,fein::A,jemný,дрібний
582,fest::A,pevný,міцний
583,flach::A,plochý,плоский
584,flach::A,placatý,плоский
585,glatt::A,hladký,рівний
586,glatt::A,hladký,гладенький
587,hart::A,tvrdý,твердий
588,weich::A,měkký,м’який
589,rund::A,kulatý,круглий
590,rund::A,okrouhlý,круглий
591,spitz::A,špičatý,гострокінцевий
592,scharf::A,ostrý,гострий
593,stumpf::A,tupý,тупий
594,schwer::A,těžký,важкий
595,schön::A,pěkný,вродливий
596,schön::A,krásný,вродливий
597,heiß::A,horký,жаркий
598,heiß::A,horký,гарячий
599,warm::A,teplý,теплий
600,kalt::A,studený,холодний
601,kühl::A,chladný,прохолодний
602,frisch::A,svěží,свіжий
603,feucht::A,vlhký,вогкий
604,nass::A,mokrý,мокрий
605,trocken::A,suchý,сухий
606,voll::A,plný,повний
607,leer::A,prázdný,пустий
608,offen::A,otevřený,відкритий
609,geschlossen::A,zavřený,закритий
610,geschlossen::A,zavřený,зачинений
611,sauber::A,čistý,чистий
612,sauber::A,čistý,охайний
613,schmutzig::A,špinavý,брудний
614,roh::A,syrový,сирий
615,reif::A,zralý,зрілий
616,lecker::A,chutný,смачний
617,süß::A,sladký,солодкий
618,bitter::A,hořký,гіркий
619,sauer::A,kyselý,кислий
620,hell::A,světlý,світлий
621,dunkel::A,temný,темний
622,schwarz::A,černý,чорний
623,weiß::A,bílý,сивий
624,rot::A,rudý,червоний
625,rot::A,červený,червоний
626,gelb::A,žlutý,жовтий
627,blau::A,modrý,синій
628,grün::A,zelený,зелений
629,grau::A,šedý,сірий
630,grau::A,šedivý,сірий
631,bunt::A,pestrý,барвистий
632,billig::A,levný,дешевий
633,billig::A,laciný,дешевий
634,teuer::A,drahý,дорогий
635,wertvoll::A,cenný,цінний
636,blind::A,slepý,сліпий
637,taub::A,hluchý,глухий
638,kräftig::A,silný,могутній
639,stark::A,silný,сильний
640,schwach::A,slabý,слабкий
641,fett::A,tučný,жирний
642,fett::A,tučný,товстий
643,fett::A,tlustý,жирний
644,fett::A,tlustý,товстий
645,schlank::A,štíhlý,тонкий
646,schlank::A,štíhlý,стрункий
647,hübsch::A,hezký,чарівний
648,böse::A,zlý,злий
649,böse::A,zlý,лихий
650,dumm::A,hloupý,дурний
651,faul::A,líný,ледачий
652,fleißig::A,pilný,старанний
653,geizig::A,lakomý,скупий
654,klug::A,chytrý,мудрий
655,klug::A,chytrý,розумний
656,geschickt::A,šikovný,умілий
657,lieb::A,milý,милий
658,lustig::A,veselý,веселий
659,sanft::A,mírný,лагідний
660,hungrig::A,hladový,голодний
661,krank::A,nemocný,слабий
662,nackt::A,nahý,голий
663,traurig::A,smutný,сумний
664,traurig::A,truchlivý,сумний
665,lebendig::A,živý,живий
666,gut::A,dobrý,добрий
667,schlecht::A,špatný,поганий
668,schlecht::A,špatný,кепський
669,richtig::A,pravý,правильний
670,richtig::A,správný,правильний
671,schlimm::A,zlý,бридкий
672,wahr::A,pravdivý,справжній
673,alt::A,starý,старий
674,neu::A,nový,новий
675,ehemalig::A,bývalý,колишній
676,alt[Lebewesen]::A,starý,старий
677,jung::A,mladý,молодий
678,arm::A,chudý,бідний
679,reich::A,bohatý,багатий
680,bekannt::A,známý,знайомий
681,berühmt::A,slavný,славетний
682,fremd::A,cizí,чужий
683,verschieden::A,různý,різний
684,verschieden::A,rozličný,різний
685,nah::A,blízký,близький
686,fern::A,daleký,далекий
687,linker::A,levý,лівий
688,rechter::A,pravý,правий
689,anderer::A,jiný,інакший
690,erster::A,první,перший
691,zweiter::A,druhý,другий
692,dritter::A,třetí,третій
693,letzter::A,poslední,останній
694,allein::ADV,sám,сам
695,allein::ADV,sám,один
696,auf einmal::ADV,najednou,відразу
697,zusammen::ADV,spolu,разом
698,zusammen::ADV,spolu,спільно
699,zusammen::ADV,dohromady,разом
700,zusammen::ADV,dohromady,спільно
701,lange::ADV,dlouho,довго
702,plötzlich::ADV,vtom,раптом
703,plötzlich::ADV,náhle,раптом
704,sofort::ADV,hned,зараз
705,sofort::ADV,ihned,зараз
706,später::ADV,později,пізніше
707,jetzt::ADV,teď,тепер
708,jetzt::ADV,nyní,тепер
709,heute::ADV,dnes,сьогодні
710,heute::ADV,dneska,сьогодні
711,morgen::ADV,zítra,завтра
712,bald::ADV,brzo,незабаром
713,dann::ADV,pak,потім
714,dann::ADV,potom,потім
715,gestern::ADV,včera,вчора
716,einst::ADV,kdysi,колись
717,damals::ADV,tehdy,тоді
718,damals::ADV,tenkrát,тоді
719,danach::ADV,podle toho,згодом
720,vorher::ADV,dříve,раніше
721,vorher::ADV,napřed,раніше
722,zuerst::ADV,nejprve,спершу
723,zuerst::ADV,nejprve,спочатку
724,zuerst::ADV,nejdříve,спершу
725,zuerst::ADV,nejdříve,спочатку
726,einmal::ADV,jednou,один раз
727,manchmal::ADV,někdy,іноді
728,manchmal::ADV,někdy,інколи
729,oft::ADV,často,часто
730,immer::ADV,vždy,завжди
731,immer::ADV,stále,завжди
732,niemals::ADV,nikdy,ніколи
733,hier::ADV,zde,тут
734,hier::ADV,tady,тут
735,hierhin::ADV,sem,сюди
736,von hier::ADV,odtud,звідси
737,dort::ADV,tam,там
738,dorthin::ADV,tam,туди
739,geradeaus::ADV,rovně,прямо
740,vorwärts::ADV,kupředu,вперед
741,rückwärts::ADV,zpět,назад
742,zurück::ADV,zpět,назад
743,zurück::ADV,nazpět,назад
744,unten::ADV,dole,внизу
745,hinab::ADV,dolů,вниз
746,oben::ADV,nahoře,вгорі
747,oben::ADV,navrchu,вгорі
748,hinauf::ADV,nahoru,вгору
749,überall::ADV,všude,скрізь
750,nicht::ADV,ne,не
751,ein wenig::ADV,trochu,трохи
752,ein wenig::ADV,trochu,небагато
753,kaum::ADV,sotva,ледве
754,sehr::ADV,velmi,дуже
755,sehr::ADV,velice,дуже
756,so::ADV,tak,так
757,so::ADV,takto,так
758,noch::ADV,ještě,ще
759,nur::ADV,jen,лише
760,nur::ADV,jen,тільки
761,nur::ADV,jenom,лише
762,nur::ADV,jenom,тільки
763,schon::ADV,už,вже
764,schon::ADV,již,вже
765,wieder::ADV,zase,знову
766,vergebens::ADV,marně,дарма
767,vor::PRP,před,перед
768,hinter::PRP,za,ззаду
769,hinter::PRP,za,позаду
770,unter::PRP,pod,під
771,durch::PRP,skrz,крізь
772,neben::PRP,vedle,біля
773,zwischen::PRP,mezi,між
774,wegen::PRP,pro,з-за
775,wegen::PRP,pro,через
776,dies::PRN,toto,це
777,dies::PRN,tohle,це
778,das::PRN,to,то
779,alles::PRN,všechno,все
780,ich::PRN,já,я
781,du::PRN,ty,ти
782,er::PRN,on,він
783,wir::PRN,my,ми
784,ihr::PRN,vy,ви
785,sie::PRN,oni,вони
786,was::FPRN,co,що
787,wer::FPRN,kdo,хто
788,wo::FADV,kde,де
789,wohin::FADV,kam,куди
790,wie::FADV,jak,як
791,warum::FADV,proč,чому
792,wieviel::FNUM,kolik,скільки
793,eins::NUM,jeden,один
794,zwei::NUM,dva,два
795,drei::NUM,tři,три
796,vier::NUM,čtyři,чотири
797,fünf::NUM,pět,п’ять
798,sechs::NUM,šest,шість
799,sieben::NUM,sedm,сім
800,acht::NUM,osm,вісім
801,neun::NUM,devět,дев’ять
802,zehn::NUM,deset,десять
803,elf::NUM,jedenáct,одинадцять
804,zwölf::NUM,dvanáct,дванадцять
805,zwanzig::NUM,dvacet,двадцять
806,dreißig::NUM,třicet,тридцять
807,vierzig::NUM,čtyřicet,сорок
808,fünfzig::NUM,padesát,п’ятдесят
809,sechzig::NUM,šedesát,шістдесят
810,siebzig::NUM,sedmdesát,сімдесят
811,achtzig::NUM,osmdesát,вісімдесят
812,neunzig::NUM,devadesát,дев’яносто
813,hundert::NUM,sto,сто
814,tausend::NUM,tisíc,тисяча
815,und::CNJ,a,і
816,oder::CNJ,nebo,або
817,stehen::V,stát,стояти
818,sitzen::V,sedět,сидіти
819,liegen::V,ležet,лежати
820,hängen::V,viset,висіти
821,werden::V,stát se,стати
822,werden::V,stát se,робитися
823,passieren::V,stát se,трапитися
824,beginnen::V,počít,початися
825,enden::V,končit,кінчитися
826,enden::V,skončit,кінчитися
827,wechseln::V,měnit se,мінятися
828,aufgehen[Sonne]::V,vyjít,зійти
829,untergehen[Sonne]::V,zapadnout,зайти
830,scheinen[Sonne]::V,svítit,світити
831,donnern::V,hřmět,гриміти
832,wehen::V,vát,віяти
833,wehen::V,vanout,віяти
834,strömen::V,proudit,литися
835,fließen::V,téct,текти
836,sich drehen::V,točit se,обертатися
837,schwanken::V,kolísat,коливатися
838,schwanken::V,houpat se,коливатися
839,schwingen::V,kývat se,хитатися
840,schwingen::V,kývat se,гойдатися
