,Concept_ID,ja,et
125,Wurzel::N,根,juur
126,Baum::N,木,puu
127,Stamm::N,幹,tüvi
128,Rinde::N,皮層,koor
129,Ast::N,枝,oks
130,Zweig::N,小枝,oks
131,Blatt::N,葉,leht
132,Birke::N,樺,kask
133,Kiefer[Baum]::N,松,mänd
134,Weide[Baum]::N,柳,paju
135,Tanne::N,樅,nulg
136,Horn::N,角,sarv
137,Feder::N,羽根,sulg
138,Fell::N,毛皮,karvkate
139,Fell::N,毛皮,karusnahk
140,Flügel::N,羽,tiib
141,Flügel::N,羽,tiivik
142,Klaue::N,鉤爪,küüs
143,Kralle::N,爪,küünis
144,Schwanz::N,尻尾,saba
145,Ei::N,卵,muna
146,Nest::N,巣,pesa
147,Bau::N,穴,urg
148,Tier::N,動物,loom
149,Herde::N,群れ,kari
150,Kuh::N,牛,lehm
151,Bulle::N,雄牛,pull
152,Pferd::N,馬,hobune
153,Schaf::N,羊,lammas
154,Schwein::N,豚,siga
155,Hund::N,犬,koer
156,Katze::N,猫,kass
157,Bär::N,熊,karu
158,Eichhörnchen::N,栗鼠,orav
159,Elch::N,ヘラジカ,põder
160,Fuchs::N,狐,rebane
161,Hase::N,兎,jänes
162,Maus::N,鼠,hiir
163,Wolf::N,狼,hunt
164,Vogel::N,鳥,lind
165,Schwarm::N,群れ,parv
166,Huhn::N,鶏,kana
167,Hahn::N,雄鶏,kukk
168,Gans::N,ガチョウ,hani
169,Adler::N,鷲,kotkas
170,Ente::N,鴨,part
171,Eule::N,フクロウ,kakk
172,Eule::N,フクロウ,öökull
173,Kranich::N,鶴,kurg
174,Krähe::N,烏,vares
175,Kuckuck::N,郭公,kägu
176,Schwan::N,白鳥,luik
177,Fisch::N,魚,kala
178,Barsch::N,鱸,ahven
179,Hecht::N,川魳,haug
180,Schlange[Tier]::N,蛇,uss
181,Wurm::N,虫,uss
182,Wurm::N,虫,vagel
183,Spinne::N,蜘蛛,ämblik
184,Ameise::N,蟻,sipelgas
185,Laus::N,虱,täi
186,Mücke::N,蚊,sääsk
187,Fliege::N,蝿,kärbes
188,Schmetterling::N,蝶,liblikas
189,Beere::N,漿果,mari
190,Apfel::N,林檎,õun
191,Pilz::N,茸,seen
192,Zwiebel::N,玉葱,sibul
193,Saat::N,種,seeme
194,Korn::N,粒,iva
195,Korn::N,粒,tera
196,Heu::N,干し草,hein
197,Schale::N,皮,koor
198,Grube::N,穴,kaevand
199,Falle::N,わな,lõks
200,Falle::N,わな,püünis
201,Schlinge::N,輪,aas
202,Spur::N,跡,jälg
203,Asche::N,灰,tuhk
204,Dreck::N,泥,saast
205,Dreck::N,泥,mustus
206,Eisen::N,鉄,raud
207,Gold::N,金,kuld
208,Silber::N,銀,hõbe
209,Kohle::N,炭,süsi
210,Glas::N,ガラス,klaas
211,Lehm::N,ローム,savi
212,Sand::N,砂,liiv
213,Mensch::N,人,inimene
214,Mann::N,男,mees
215,Mann::N,男性,mees
216,Frau::N,女,naine
217,Frau::N,女性,naine
218,Kind::N,子,laps
219,Kind::N,子供,laps
220,Junge::N,男の子,poiss
221,Mädchen::N,女の子,tüdruk
222,Familie::N,家族,perekond
223,Großvater::N,祖父,vanaisa
224,Großvater::N,おじいさん,vanaisa
225,Großmutter::N,祖母,vanaema
226,Großmutter::N,おばあさん,vanaema
227,Eltern::N,親,vanemad
228,Eltern::N,両親,vanemad
229,Vater::N,父,isa
230,Vater::N,お父さん,isa
231,Mutter::N,母,ema
232,Mutter::N,お母さん,ema
233,Sohn::N,息子,poeg
234,Sohn::N,息子さん,poeg
235,Tochter::N,娘,tütar
236,Tochter::N,お嬢さん,tütar
237,Bruder::N,弟,vend
238,Schwester::N,妹,õde
239,Onkel::N,伯父,onu
240,Onkel::N,伯父さん,onu
241,Tante::N,叔母,tädi
242,Tante::N,叔母さん,tädi
243,Ehemann::N,夫,mees
244,Ehemann::N,夫,abikaasa
245,Ehemann::N,主人,mees
246,Ehemann::N,主人,abikaasa
247,Ehefrau::N,妻,naine
248,Ehefrau::N,妻,abikaasa
249,Ehefrau::N,奥さん,naine
250,Ehefrau::N,奥さん,abikaasa
251,Freude::N,喜び,rõõm
252,Gelächter::N,笑い,naer
253,Glück::N,幸せ,õnn
254,Kummer::N,悩み,mure
255,Kummer::N,悩み,kurbus
256,Wunsch::N,希望,soov
257,Lust::N,気,himu
258,Geist::N,精神,vaim
259,Gedanke::N,考え,mõte
260,Gedächtnis::N,記憶,mälu
261,Verstand::N,理解力,aru
262,Verstand::N,理解力,mõistus
263,Sinn::N,意味,tähendus
264,Grund::N,理由,põhjus
265,Wahrheit::N,真実,tõde
266,Gespräch::N,会話,kõne
267,Gespräch::N,会話,vestlus
268,Märchen::N,童話,muinasjutt
269,Erzählung::N,物語,jutustus
270,Nachricht::N,報告,teade
271,Neuigkeit::N,ニュース,uudis
272,Name::N,名前,nimi
273,Rätsel::N,謎,mõistatus
274,Rede::N,演説,kõne
275,Sprache::N,言語,keel
276,Stimme::N,声,hääl
277,Wort::N,言葉,sõna
278,Zeichen::N,記号,märk
279,Ruf::N,呼び声,hüüe
280,Lärm::N,騒音,müra
281,Laut::N,音,hääl
282,Ton::N,音,toon
283,Lied::N,歌,laul
284,Ruhe::N,静けさ,rahu
285,Ruhe::N,静けさ,vaikus
286,Leute::N,人々,inimesed
287,Volk::N,民族,rahvas
288,Arbeit::N,仕事,töö
289,Gast::N,客,külaline
290,Geschenk::N,贈り物,kingitus
291,Spiel::N,遊び,mäng
292,Gesellschaft::N,社会,selts
293,Hilfe::N,援助,abi
294,Freund::N,友達,sõber
295,Kamerad::N,同志,sõber
296,Angelegenheit::N,件,asi
297,Anzahl::N,数,arv
298,Anzahl::N,数,hulk
299,Art::N,種類,liik
300,Stück::N,部分,tükk
301,Teil::N,部分,osa
302,Hälfte::N,半分,pool
303,Kreis::N,円,ring
304,Kreuz::N,十字,rist
305,Linie::N,線,joon
306,Strich::N,線,joon
307,Abstand::N,距離,vahe
308,Entfernung::N,距離,kaugus
309,Entfernung::N,距離,vahemaa
310,Gegend::N,辺,ümbrus
311,Gegend::N,地域,ümbrus
312,Platz::N,ゆとり,ruum
313,Ort::N,所,paik
314,Ort::N,場所,paik
315,Seite::N,横,pool
316,Mitte::N,真ん中,keskpaik
317,Gegenstand::N,物件,ese
318,Sache::N,物,ese
319,Rand::N,端,äär
320,Rand::N,端,serv
321,Kante::N,縁,kant
322,Ecke::N,角,nurk
323,Spitze::N,先頭,teravik
324,Ende::N,端,ots
325,Ende::N,端,jupp
326,Loch::N,穴,auk
327,Winkel::N,片隅,nurk
328,Muster::N,模様,muster
329,Größe::N,大きさ,suurus
330,Länge::N,長さ,pikkus
331,Höhe::N,高さ,kõrgus
332,Gewicht::N,重さ,kaal
333,Gewicht::N,重さ,raskus
334,Menge::N,量,arv
335,Menge::N,量,hulk
336,Haufen::N,堆積,hunnik
337,Reihe::N,並び,rivi
338,Boot::N,ボート,paat
339,Ruder::N,オール,aer
340,Schlitten::N,そり,saan
341,Ski::N,スキー,suusk
342,Lagerfeuer::N,篝火,lõke
343,Last::N,荷物,koorem
344,Gang::N,歩み,käik
345,Schritt::N,歩,samm
346,Norden::N,北,põhi
347,Süden::N,南,lõuna
348,Westen::N,西,lääs
349,Osten::N,東,ida
350,Holz::N,木,puu
351,Holz::N,木材,puu
352,Brett::N,板,saelaud
353,Platte::N,盤,plaat
354,Stütze::N,支柱,tugi
355,Stange::N,棒,latt
356,Stange::N,棒,teivas
357,Stock::N,杖,kepp
358,Stab::N,棒,varras
359,Rohr::N,管,toru
360,Haus::N,家,maja
361,Heim::N,家,kodu
362,Ofen::N,ストーブ,ahi
363,Fußboden::N,床,põrand
364,Tisch::N,机,laud
365,Stuhl::N,椅子,tool
366,Wiege::N,揺籃,häll
367,Wiege::N,揺籃,kätki
368,Bett::N,ベッド,voodi
369,Regal::N,棚,riiul
370,Kiste::N,箱,kast
371,Fenster::N,窓,aken
372,Tür::N,戸,uks
373,Tür::N,ドア,uks
374,Tor::N,門,värav
375,Zaun::N,垣根,aed
376,Zaun::N,垣根,tara
377,Dach::N,屋根,katus
378,Leiter::N,梯子,redel
379,Besen::N,ほうき,luud
380,Spaten::N,スコップ,labidas
381,Schaufel::N,シャベル,kühvel
382,Gabel::N,フォーク,kahvel
383,Löffel::N,スプーン,lusikas
384,Messer::N,ナイフ,nuga
385,Nagel::N,釘,nael
386,Netz::N,網,võrk
387,Haken::N,鉤,haak
388,Haken::N,鉤,konks
389,Haken::N,フック,haak
390,Haken::N,フック,konks
391,Griff::N,取っ手,sang
392,Griff::N,取っ手,käepide
393,Schloss::N,錠,lukk
394,Bild::N,絵,pilt
395,Figur::N,像,kuju
396,Figur::N,像,kujund
397,Puppe::N,人形,nukk
398,Beutel::N,袋,paun
399,Bündel::N,束,kimp
400,Bündel::N,包み,kimp
401,Tasche::N,かばん,kott
402,Eimer::N,バケツ,pang
403,Eimer::N,バケツ,ämber
404,Deckel::N,蓋,kaas
405,Geschirr::N,食器,nõud
406,Sack::N,袋,kott
407,Tasse::N,カップ,tass
408,Topf::N,鍋,pada
409,Kessel::N,釜,pada
410,Essen::N,食事,söök
411,Nahrung::N,食物,toit
412,Speise::N,料理,roog
413,Fleisch::N,肉,liha
414,Getreide::N,麦,teravili
415,Getreide::N,穀物,teravili
416,Brei::N,粥,puder
417,Brot::N,パン,sai
418,Brot::N,パン,leib
419,Scheibe::N,枚,viil
420,Scheibe::N,枚,viilukas
421,Scheibe::N,切れ,viil
422,Scheibe::N,切れ,viilukas
423,Fett::N,脂肪,rasv
424,Butter::N,バター,või
425,Öl::N,油,õli
426,Salz::N,塩,sool
427,Suppe::N,スープ,supp
428,Honig::N,蜂蜜,mesi
429,Milch::N,牛乳,piim
430,Tee::N,茶,tee
431,Tee::N,お茶,tee
432,Leder::N,革,nahk
433,Wolle::N,毛糸,vill
434,Stoff::N,布,kangas
435,Nadel::N,針,nõel
436,Faden::N,糸,niit
437,Knopf::N,ボタン,nööp
438,Knoten::N,結び目,sõlm
439,Farbe::N,ペンキ,värv
440,Kleidung::N,衣服,riided
441,Kleidung::N,衣服,riietus
442,Hemd::N,シャツ,särk
443,Kragen::N,襟,krae
444,Ärmel::N,袖,varrukas
445,Hose::N,ズボン,püksid
446,Gürtel::N,帯,vöö
447,Gürtel::N,ベルト,vöö
448,Mütze::N,帽子,müts
449,Schuh::N,靴,king
450,Stiefel::N,ブーツ,saabas
451,Ring::N,輪,sõrmus
452,Band::N,リボン,lint
453,Kamm::N,櫛,kamm
454,Spiegel::N,鏡,peegel
455,Riemen::N,緒,rihm
456,Schnur::N,紐,nöör
457,Leine::N,綱,jalutusrihm
458,Decke::N,掛け布団,tekk
459,Kissen::N,枕,padi
460,Tuch::N,スカーフ,kalev
461,Handtuch::N,タオル,käterätik
462,Kraft::N,力,jõud
463,Stärke::N,強さ,tugevus
464,Gesundheit::N,健康,tervis
465,Krankheit::N,病気,haigus
466,Schmerz::N,痛み,valu
467,Wunde::N,傷,haav
468,Fieber::N,熱,palavik
469,Arznei::N,薬,ravim
470,Brücke::N,橋,sild
471,Brunnen::N,井戸,kaev
472,Weide::N,牧場,karjamaa
473,Pfad::N,小路,rada
474,Weg::N,道,tee
475,Straße::N,街道,tee
476,Dorf::N,村,küla
477,Stadt::N,町,linn
478,Stadt::N,都市,linn
479,Brief::N,手紙,kiri
480,Buch::N,本,raamat
481,Buchstabe::N,文字,täht
482,Zeitung::N,新聞,ajaleht
483,Leben::N,生活,elu
484,Tod::N,死,surm
485,Grab::N,墓,haud
486,Kirche::N,教会,kirik
487,Sünde::N,罪,patt
488,Gott::N,神,jumal
489,Arbeiter::N,労働者,tööline
490,Chef::N,上司,ülemus
491,Chef::N,上司,juhataja
492,Meister::N,達人,meister
493,Meister::N,マイスター,meister
494,Arzt::N,医者,arst
495,Lehrer::N,先生,õpetaja
496,Geld::N,金,raha
497,Geschäft::N,取り引き,äri
498,Laden::N,店,pood
499,Laden::N,店,kauplus
500,Preis::N,値段,hind
501,Ware::N,商品,kaup
502,Nutzen::N,利益,tulu
503,Nutzen::N,利益,kasulikkus
504,Reichtum::N,豊かさ,rikkus
505,Welt::N,世界,maailm
506,Land::N,国,maa
507,Staat::N,国家,riik
508,König::N,国王,kuningas
509,Macht::N,権力,võim
510,Grenze::N,国境,piir
511,Krieg::N,戦争,sõda
512,Feind::N,敵,vaenlane
513,Gewalt::N,暴力,väevõim
514,Kampf::N,戦い,võitlus
515,Bogen[Waffe]::N,弓,vibu
516,Pfeil::N,矢,nool
517,Gewehr::N,銃,püss
518,Fehler::N,間違い,viga
519,Lüge::N,嘘,vale
520,Schaden::N,損害,kahju
521,Unglück::N,不幸,häda
522,Unglück::N,不幸,õnnetus
523,Schuld::N,罪,süü
524,Alter::N,年,iga
525,Alter::N,年齢,iga
526,Schluss::N,終わり,lõpp
527,Zeit::N,時,aeg
528,Zeit::N,時間,aeg
529,Tag::N,日,päev
530,Morgen::N,朝,hommik
531,Mittag::N,昼,lõuna
532,Mittag::N,昼,keskpäev
533,Abend::N,晩,õhtu
534,Abend::N,夕方,õhtu
535,Nacht::N,夜,öö
536,Woche::N,週,nädal
537,Monat::N,月,kuu
538,Jahr::N,年,aasta
539,Frühling::N,春,kevad
540,Sommer::N,夏,suvi
541,Herbst::N,秋,sügis
542,Winter::N,冬,talv
543,Januar::N,一月,jaanuar
544,Februar::N,二月,veebruar
545,März::N,三月,märts
546,April::N,四月,aprill
547,Mai::N,五月,mai
548,Juni::N,六月,juuni
549,Juli::N,七月,juuli
550,August::N,八月,august
551,September::N,九月,september
552,Oktober::N,十月,oktoober
553,November::N,十一月,november
554,Dezember::N,十二月,detsember
555,Montag::N,月曜日,esmaspäev
556,Dienstag::N,火曜日,teisipäev
557,Mittwoch::N,水曜日,kesknädal
558,Donnerstag::N,木曜日,neljapäev
559,Freitag::N,金曜日,reede
560,Samstag::N,土曜日,laupäev
561,Sonntag::N,日曜日,pühapäev
562,groß::A,大きい,suur
563,klein::A,小さい,väike
564,klein::A,小さい,pisike
565,lang::A,長い,pikk
566,kurz::A,短い,lühike
567,breit::A,広い,lai
568,schmal::A,狭い,kitsas
569,dicht::A,密な,tihe
570,dick[Gegenstand]::A,厚い,jäme
571,dünn::A,薄い,õhuke
572,dünn::A,薄い,peenike
573,fein::A,細い,peen
574,fein::A,細い,õhuke
575,fest::A,硬い,püsiv
576,fest::A,硬い,kindel
577,flach::A,平らな,lame
578,flach::A,平らな,tasane
579,glatt::A,滑らかな,sile
580,hart::A,堅い,kõva
581,weich::A,柔らかい,pehme
582,rund::A,丸い,ümar
583,spitz::A,尖った,torkav
584,scharf::A,鋭い,terav
585,stumpf::A,鈍い,nüri
586,schwer::A,重い,raske
587,schön::A,綺麗な,kena
588,heiß::A,熱い,kuum
589,heiß::A,熱い,palav
590,warm::A,温かい,soe
591,kalt::A,寒い,külm
592,kalt::A,冷たい,külm
593,kühl::A,涼しい,jahe
594,frisch::A,ひんやりした,värske
595,feucht::A,湿った,niiske
596,nass::A,濡れた,märg
597,trocken::A,乾いた,kuiv
598,voll::A,いっぱいの,täis
599,leer::A,空の,tühi
600,offen::A,開いた,avatud
601,offen::A,開いた,lahtine
602,geschlossen::A,閉まった,suletud
603,sauber::A,清潔な,puhas
604,schmutzig::A,汚い,räpane
605,schmutzig::A,汚い,määrdunud
606,roh::A,生の,toores
607,reif::A,熟した,küps
608,lecker::A,美味しい,hõrk
609,lecker::A,美味しい,maitsev
610,süß::A,甘い,magus
611,bitter::A,苦い,mõru
612,sauer::A,酸っぱい,hapu
613,hell::A,明るい,hele
614,dunkel::A,暗い,pime
615,schwarz::A,黒い,must
616,weiß::A,白い,valge
617,rot::A,赤い,punane
618,gelb::A,黄色い,kollane
619,blau::A,青い,sinine
620,grün::A,緑の,roheline
621,grau::A,灰色の,hall
622,bunt::A,色取り取りの,kirju
623,bunt::A,色取り取りの,värviline
624,billig::A,安い,odav
625,teuer::A,高い,kallis
626,wertvoll::A,貴重な,väärtuslik
627,blind::A,盲目の,pime
628,taub::A,耳が聞こえない,kurt
629,kräftig::A,強力な,jõuline
630,stark::A,強い,tugev
631,schwach::A,弱い,nõrk
632,schwach::A,弱い,jõuetu
633,fett::A,太った,rasvane
634,schlank::A,ほっそりした,sale
635,hübsch::A,素敵な,kena
636,böse::A,悪い,tige
637,dumm::A,馬鹿な,juhm
638,dumm::A,馬鹿な,rumal
639,faul::A,怠惰な,laisk
640,fleißig::A,勤勉な,virk
641,fleißig::A,勤勉な,hoolas
642,geizig::A,けちな,ihne
643,klug::A,賢い,tark
644,klug::A,賢い,arukas
645,klug::A,賢い,mõistlik
646,klug::A,頭のいい,tark
647,klug::A,頭のいい,arukas
648,klug::A,頭のいい,mõistlik
649,geschickt::A,器用な,osav
650,lieb::A,愛らしい,armas
651,lustig::A,楽しい,lõbus
652,sanft::A,温和な,õrn
653,hungrig::A,空腹の,näljane
654,krank::A,病気の,haige
655,nackt::A,裸の,alasti
656,traurig::A,悲しい,kurb
657,lebendig::A,生きた,elus
658,gut::A,良い,hea
659,schlecht::A,悪い,halb
660,schlecht::A,駄目な,halb
661,richtig::A,正しい,õige
662,schlimm::A,ひどい,paha
663,wahr::A,本当の,tõene
664,alt::A,古い,vana
665,neu::A,新しい,uus
666,ehemalig::A,以前の,endine
667,alt[Lebewesen]::A,年を取った,vana
668,jung::A,若い,noor
669,arm::A,貧乏な,vaene
670,reich::A,裕福な,rikas
671,bekannt::A,有名な,teada
672,bekannt::A,有名な,tuttav
673,berühmt::A,有名な,tuntud
674,fremd::A,見知らぬ,võõras
675,verschieden::A,色々な,erinev
676,nah::A,近い,lähedane
677,fern::A,遠い,kauge
678,linker::A,左の,vasak
679,rechter::A,右の,parem
680,anderer::A,別の,muu
681,anderer::A,別の,teine
682,erster::A,一番目,esimene
683,zweiter::A,二番目,teine
684,dritter::A,三番目,kolmas
685,letzter::A,最後の,viimane
686,allein::ADV,一人で,üksi
687,auf einmal::ADV,同時に,korraga
688,auf einmal::ADV,同時に,ühekorraga
689,zusammen::ADV,一緒に,koos
690,zusammen::ADV,一緒に,üheskoos
691,lange::ADV,長い間,kaua
692,plötzlich::ADV,急に,äkki
693,plötzlich::ADV,急に,järsku
694,sofort::ADV,すぐに,kohe
695,später::ADV,後で,hiljem
696,jetzt::ADV,今,nüüd
697,heute::ADV,今日,täna
698,morgen::ADV,明日,homme
699,bald::ADV,間もなく,pea
700,bald::ADV,間もなく,varsti
701,dann::ADV,それから,siis
702,gestern::ADV,昨日,eile
703,einst::ADV,過去に,vanasti
704,damals::ADV,あの時,tookord
705,danach::ADV,その後で,seejärel
706,vorher::ADV,以前に,enne
707,zuerst::ADV,まず,enne
708,zuerst::ADV,まず,esmalt
709,zuerst::ADV,最初に,enne
710,zuerst::ADV,最初に,esmalt
711,einmal::ADV,一回,kord
712,einmal::ADV,一回,üks kord
713,manchmal::ADV,時々,mõnikord
714,oft::ADV,よく,tihti
715,oft::ADV,よく,sageli
716,immer::ADV,いつも,ikka
717,immer::ADV,いつも,alati
718,niemals::ADV,一度も...ない,mitte kunagi
719,hier::ADV,こちら,siin
720,hierhin::ADV,ここへ,siia
721,hierhin::ADV,こちらへ,siia
722,von hier::ADV,ここから,siit
723,dort::ADV,そちら,seal
724,dorthin::ADV,そこへ,sinna
725,dorthin::ADV,そちらへ,sinna
726,geradeaus::ADV,真っ直ぐに,otse edasi
727,vorwärts::ADV,前へ,edasi
728,rückwärts::ADV,後ろへ,tagurpidi
729,zurück::ADV,後ろへ,tagasi
730,unten::ADV,下に,all
731,unten::ADV,下に,allpool
732,hinab::ADV,下へ,alla
733,oben::ADV,上に,ülal
734,hinauf::ADV,上へ,üles
735,überall::ADV,どこでも,kõikjal
736,nicht::ADV,ない,ei
737,nicht::ADV,ない,mitte
738,ein wenig::ADV,少し,veidi
739,ein wenig::ADV,少し,natuke
740,ein wenig::ADV,ちょっと,veidi
741,ein wenig::ADV,ちょっと,natuke
742,kaum::ADV,ほとんど～ない,vaevalt
743,sehr::ADV,とても,väga
744,so::ADV,こう,nii
745,noch::ADV,まだ,veel
746,nur::ADV,～だけ,ainult
747,schon::ADV,もう,juba
748,wieder::ADV,再び,jälle
749,vergebens::ADV,無駄に,asjata
750,vor::PRP,前に,ees
751,hinter::PRP,後ろに,taha
752,unter::PRP,下に,all
753,durch::PRP,通して,läbi
754,durch::PRP,通して,kaudu
755,neben::PRP,横に,kõrval
756,zwischen::PRP,間に,vahel
757,wegen::PRP,為に,tõttu
758,wegen::PRP,為に,pärast
759,wegen::PRP,せいで,tõttu
760,wegen::PRP,せいで,pärast
761,dies::PRN,これ,see
762,das::PRN,それ,see
763,alles::PRN,全部,kõik
764,ich::PRN,私,mina
765,du::PRN,あなた,sina
766,er::PRN,彼,tema
767,wir::PRN,私達,me
768,ihr::PRN,あなた達,te
769,sie::PRN,彼ら,nad
770,was::FPRN,何,mis
771,wer::FPRN,誰,kes
772,wer::FPRN,どなた,kes
773,wo::FADV,どこ,kus
774,wo::FADV,どこに,kus
775,wohin::FADV,どこへ,kuhu
776,wie::FADV,どう,kuidas
777,warum::FADV,何故,miks
778,warum::FADV,どうして,miks
779,wieviel::FNUM,どのくらい,mitu
780,wieviel::FNUM,どのくらい,kui palju
781,eins::NUM,一,üks
782,zwei::NUM,二,kaks
783,zwei::NUM,二つ,kaks
784,drei::NUM,三,kolm
785,drei::NUM,三つ,kolm
786,vier::NUM,四,neli
787,vier::NUM,四つ,neli
788,fünf::NUM,五,viis
789,fünf::NUM,五つ,viis
790,sechs::NUM,六,kuus
791,sechs::NUM,六つ,kuus
792,sieben::NUM,七,seitse
793,sieben::NUM,七つ,seitse
794,acht::NUM,八,kaheksa
795,acht::NUM,八つ,kaheksa
796,neun::NUM,九,üheksa
797,neun::NUM,九つ,üheksa
798,zehn::NUM,十,kümme
799,elf::NUM,十一,üksteist
800,zwölf::NUM,十二,kaksteist
801,zwanzig::NUM,二十,kakskümmend
802,dreißig::NUM,三十,kolmkümmend
803,vierzig::NUM,四十,nelikümmend
804,fünfzig::NUM,五十,viiskümmend
805,sechzig::NUM,六十,kuuskümmend
806,siebzig::NUM,七十,seitsekümmend
807,achtzig::NUM,八十,kaheksakümmend
808,neunzig::NUM,九十,üheksakümmend
809,hundert::NUM,百,sada
810,tausend::NUM,千,tuhat
811,und::CNJ,-と,ja
812,und::CNJ,そして,ja
813,oder::CNJ,或いは,või
814,stehen::V,立っている,seisma
815,sitzen::V,座っている,istuma
816,liegen::V,横になっている,lamama
817,hängen::V,掛かっている,rippuma
818,werden::V,なる,saama
819,werden::V,なる,hakkama
820,passieren::V,起こる,juhtuma
821,beginnen::V,始まる,algama
822,beginnen::V,始まる,hakkama
823,enden::V,終わる,lõppema
824,wechseln::V,変わる,vahelduma
825,aufgehen[Sonne]::V,出る,tõusma
826,untergehen[Sonne]::V,沈む,loojuma
827,scheinen[Sonne]::V,輝く,paistma
828,donnern::V,雷が鳴る,kõmisema
829,wehen::V,吹く,puhuma
830,strömen::V,流れる,voolama
831,fließen::V,流れる,voolama
832,sich drehen::V,回転する,pöörduma
833,schwanken::V,揺れる,kõikuma
834,schwingen::V,振動する,võnkuma
835,fallen::V,落ちる,langema
836,brennen::V,燃える,põlema
837,rauchen::V,煙を出す,suitsema
838,regnen::V,雨が降る,sadama
839,gefrieren::V,凍る,kinni külmuma
840,tauen::V,溶ける,sulama
841,schmelzen::V,溶ける,sulama
842,trocknen::V,乾く,kuivama
843,sieden::V,沸く,keema
844,faulen::V,腐る,mädanema
845,verfaulen::V,朽ちる,mädanema
846,reißen::V,切れる,rebenema
847,versinken::V,沈む,uppuma
848,vergehen::V,経つ,mööduma
849,erscheinen::V,現れる,ilmuma
850,verschwinden::V,消える,kaduma
