,Concept_ID,kk,ba
51,Magen::N,асқазан,ашҡаҙан
52,Leber::N,бауыр,бауыр
53,Atem::N,леп,һулыш
54,Hunger::N,ашаршылық,аслыҡ
55,Träne::N,жас,күҙ иәше
56,Geschmack::N,дәм,тәм
57,Geschmack::N,татым,тәм
58,Geschmack::N,талғам,тәм
59,Geruch::N,иіс,еҫ
60,Schlaf::N,ұйқы,йоҡлау
61,Schlaf::N,ұйықтау,йоҡлау
62,Traum::N,түс,төш
63,Himmel::N,аспан,күк
64,Himmel::N,көқ,күк
65,Himmel::N,таңдай,күк
66,Sonne::N,күн,ҡояш
67,Mond::N,ай,ай
68,Stern::N,жұлдыз,йондоҙ
69,Luft::N,әуе,һауа
70,Wind::N,жел,ел
71,Welle::N,толқын,тулҡын
72,Wasser::N,су,һыу
73,Stein::N,тас,таш
74,Boden::N,қыртыс,тупраҡ
75,Erde::N,топырақ,балсҡ
76,Staub::N,шаң,туҙан
77,Rauch::N,түтін,төтөн
78,Funke::N,ұшқын,осҡон
79,Feuer::N,алау,ут
80,Licht::N,шұғыла,яҡтылыҡ
81,Schatten::N,көлеңке,күләгә
82,Wetter::N,ауа райы,һауа торошо
83,Nebel::N,тұман,төман
84,Wolke::N,бұлт,болот
85,Regen::N,жаңбыр,ямғыр
86,Schnee::N,қар,ҡар
87,Eis::N,мұз,боҙ
88,Frost::N,суық,һалҡын
89,Kälte::N,ызғар,һыуыҡ
90,Kälte::N,суықтық,һыуыҡ
91,Hitze::N,аптап,томра
92,Hitze::N,аптап,эҫелек
93,Raureif::N,қырау,ҡырау
94,Regenbogen::N,кемпірқосақ,йәйғор
95,Donner::N,күн күркіреу,күк күкрәү
96,Strömung::N,ағын,ағым
97,Tropfen::N,тамшы,тамсы
98,Schaum::N,көбік,күбек
99,Schmutz::N,кір,батҡаҡ
100,See::N,көл,күл
101,Sumpf::N,саз,һаҙлык
102,Moor::N,саз,һаҙ
103,Wiese::N,шалғын,болон
104,Wald::N,орман,урман
105,Hügel::N,төбе,түбә
106,Hügel::N,белес,түбә
107,Hügel::N,белес-белес,түбә
108,Anhöhe::N,дөң,түбә
109,Anhöhe::N,дөң,ҡалҡыулыҡ
110,Anhöhe::N,адыр,түбә
111,Anhöhe::N,адыр,ҡалҡыулыҡ
112,Anhöhe::N,қырат,түбә
113,Anhöhe::N,қырат,ҡалҡыулыҡ
114,Berg::N,тау,тау
115,Gipfel::N,төбе,түбә
116,Höhle::N,үңгір,мәмерйә
117,Abhang::N,бауыр,ипкен
118,Quelle::N,қайнар,шишмә
119,Bach::N,жылға,шишмә
120,Fluss::N,өзен,йылға
121,Ufer::N,жиек,яр
122,Küste::N,жиегі,яр буйы
123,Küste::N,жағалау,яр буйы
124,Festland::N,құрылық,ҡоро ер
125,Meer::N,теңіз,диңгез
126,Bucht::N,шығанақ,бухта
127,Insel::N,арал,үтрау
128,Blume::N,гүл,сәскә
129,Gras::N,от,үлән
130,Wurzel::N,түбір,тамыр
131,Baum::N,ағаш,ағас
132,Baum::N,дарақ,ағас
133,Stamm::N,сояу,олон
134,Stamm::N,сояу,көбәк
135,Stamm::N,оқпан,олон
136,Stamm::N,оқпан,көбәк
137,Rinde::N,қабық,ҡабыҡ
138,Ast::N,бұтақ,ботаҡ
139,Zweig::N,шыбық,ботаҡ
140,Zweig::N,шыбық,тармаҡ
141,Blatt::N,жапырақ,япраҡ
142,Birke::N,қайың,ҡайын
143,Kiefer[Baum]::N,қарағай,ҡарғай
144,Weide[Baum]::N,тал,тал
145,Tanne::N,шырша,шыршы
146,Horn::N,мүйіз,мөғөҙ
147,Feder::N,қаламұш,ҡауырһын
148,Fell::N,тері,тире
149,Flügel::N,қанат,ҡанат
150,Klaue::N,тырнақ,тырнаҡ
151,Kralle::N,аяқ,аяҡ
152,Schwanz::N,құйрық,ҡойроҡ
153,Ei::N,жұмыртқа,йомортҡа
154,Nest::N,ұя,оя
155,Bau::N,жатақ,оң
156,Tier::N,айуан,жайуан
157,Tier::N,айуан,йыртҡыс
158,Tier::N,жануар,жайуан
159,Tier::N,жануар,йыртҡыс
160,Herde::N,пада,көтөү
161,Kuh::N,сиыр,һыйыр
162,Bulle::N,өгіз,үгеҙ
163,Pferd::N,жылқы,ат
164,Schaf::N,қой,һарыҡ
165,Schwein::N,шошқа,сусҡа
166,Hund::N,ит,эт
167,Katze::N,мысық,бесәй
168,Bär::N,аю,айыу
169,Eichhörnchen::N,тиін,тейен
170,Elch::N,бұғы,мышы
171,Fuchs::N,түлкі,төлкө
172,Hase::N,қоян,ҡуян
173,Maus::N,қаптесер,сысҡан
174,Wolf::N,бөрі,бүре
175,Wolf::N,қасқыр,бүре
176,Vogel::N,құс,ҡош
177,Schwarm::N,топ,көтөү
178,Schwarm::N,үйір,көтөү
179,Huhn::N,тауық,тауыҡ
180,Huhn::N,мекиен,тауыҡ
181,Hahn::N,әтеш,әтәс
182,Hahn::N,қораз,әтәс
183,Gans::N,қаз,ҡаҙ
184,Adler::N,бүркіт,бөркөт
185,Ente::N,үйрек,өйрәк
186,Eule::N,жапалақ,өкө
187,Eule::N,жапалақ,ябалаҡ
188,Kranich::N,тырна,торна
189,Krähe::N,қарға,ҡарға
190,Kuckuck::N,көкек,кәкүк
191,Schwan::N,аққу,аҡҡош
192,Fisch::N,балық,балыҡ
193,Barsch::N,алабұға,алабуға
194,Hecht::N,шортан,суртан
195,Schlange[Tier]::N,жылан,йылан
196,Wurm::N,шұбалшаң,селяүсен
197,Spinne::N,өрмекші,үрмәксе
198,Ameise::N,қүмырска,ҡырмыҫҡа
199,Laus::N,бит,бет
200,Mücke::N,маса,серәкәй
201,Fliege::N,шыбын,себен
202,Schmetterling::N,көбелек,күбәләк
203,Beere::N,жидек,еләк
204,Apfel::N,алма,алма
205,Pilz::N,қозықұйрық,бәшмәк
206,Pilz::N,саңыраукулақ,бәшмәк
207,Zwiebel::N,жуа,һуган
208,Saat::N,тұқым,орлоҡ
209,Korn::N,дән,иген
210,Heu::N,шөп,бесән
211,Schale::N,қабық,ҡабыҡ
212,Schale::N,қабығы,ҡабыҡ
213,Grube::N,ор,соҡор
214,Falle::N,дұзақ,тоҙак
215,Falle::N,дұзақ,ҡапҡан
216,Falle::N,қақпан,тоҙак
217,Falle::N,қақпан,ҡапҡан
218,Schlinge::N,ілмек,тоҙак
219,Spur::N,із,әҫер
220,Asche::N,күл,көл
221,Dreck::N,былғаныш,батҡаҡ
222,Eisen::N,темір,тимер
223,Gold::N,алтын,алтын
224,Silber::N,күміс,көмөш
225,Kohle::N,көмір,күмер
226,Glas::N,шыны,быяла
227,Lehm::N,балшық,балсыҡ
228,Sand::N,құм,ҡом
229,Mensch::N,адам,кеше
230,Mann::N,еркек,ир
231,Mann::N,ер адам,ир
232,Frau::N,бике,ҡатын
233,Frau::N,қатын,ҡатын
234,Kind::N,бала,бала
235,Kind::N,перзент,бала
236,Junge::N,бала,малай
237,Junge::N,ер бала,малай
238,Mädchen::N,қыз,ҡыҙ
239,Mädchen::N,қыз,ҡыҙыҡай
240,Familie::N,жанұя,ғаилә
241,Großvater::N,ата,олатай
242,Großmutter::N,әже,әбәй
243,Großmutter::N,әжей,әбәй
244,Eltern::N,ата-аналар,ата-әсә
245,Vater::N,әке,атай
246,Mutter::N,ана,әсә
247,Sohn::N,ұл,ул
248,Tochter::N,қызым,ҡыҙ
249,Bruder::N,бауырым,агай
250,Schwester::N,әпке,алай
251,Schwester::N,әпке,һеңле
252,Onkel::N,көке,ағай
253,Tante::N,тәте,апай
254,Ehemann::N,ер,ир
255,Ehefrau::N,зайып,ҡатын
256,Freude::N,қуаныш,шатлыҡ
257,Freude::N,қуаныш,ҡыуаныс
258,Freude::N,сүйініш,шатлыҡ
259,Freude::N,сүйініш,ҡыуаныс
260,Freude::N,шат-думан,шатлыҡ
261,Freude::N,шат-думан,ҡыуаныс
262,Freude::N,қуаныштылық,шатлыҡ
263,Freude::N,қуаныштылық,ҡыуаныс
264,Gelächter::N,күлу,көлөү
265,Glück::N,бақыт,бәхет
266,Glück::N,бақыттылық,бәхет
267,Kummer::N,аза,ҡайғы
268,Kummer::N,қайғы,ҡайғы
269,Kummer::N,қасырет,ҡайғы
270,Wunsch::N,мүдде,теләк
271,Lust::N,тәбет,әүәҫлек
272,Lust::N,ынтызар,әүәҫлек
273,Lust::N,құштарлық,әүәҫлек
274,Geist::N,рух,аң
275,Geist::N,рух,рух
276,Gedanke::N,ой,уй
277,Gedanke::N,ой,фекер
278,Gedächtnis::N,ес,хәтер
279,Gedächtnis::N,жады,хәтер
280,Gedächtnis::N,ақыл-ес,хәтер
281,Verstand::N,ақыл,аҡыл
282,Verstand::N,парасат,аҡыл
283,Sinn::N,мән,мәғәня
284,Sinn::N,маныз,мәғәня
285,Sinn::N,мағына,мәғәня
286,Sinn::N,мән-мағына,мәғәня
287,Grund::N,себеп,сәбәп
288,Wahrheit::N,рас,дөрөҫлөк
289,Gespräch::N,әңгіме,әңгәмә
290,Märchen::N,ертеп,әкиәт
291,Märchen::N,ертек,әкиәт
292,Erzählung::N,әңгіме,хикәйә
293,Nachricht::N,хабар,хәбәр
294,Neuigkeit::N,жаңалық,яңылыҡ
295,Name::N,ат,исем
296,Name::N,атау,исем
297,Rätsel::N,жұмбақ,йомаҡ
298,Rede::N,сөз,телмәр
299,Sprache::N,тіл,тел
300,Sprache::N,тіл,телмәр
301,Stimme::N,үн,тауыш
302,Stimme::N,әуен,тауыш
303,Stimme::N,дауыс,тауыш
304,Wort::N,сөз,һүҙ
305,Zeichen::N,ишара,билдә
306,Ruf::N,айғай,саҡырыу
307,Lärm::N,айғай-шу,шаулау
308,Lärm::N,айғай-ұйғай,шаулау
309,Laut::N,дыбыс,тауыш
310,Laut::N,дауыс,тауыш
311,Ton::N,әуен,яңғырау
312,Lied::N,ән,йыр
313,Lied::N,жыр,йыр
314,Lied::N,ән-жыр,йыр
315,Ruhe::N,тыныштық,ял
316,Ruhe::N,тыныштық,тыныслыҡ
317,Leute::N,кісілер,кешеләр
318,Volk::N,халық,халҡ
319,Arbeit::N,еңбек,эш
320,Gast::N,қонақ,ҡунаҡ
321,Gast::N,мейман,ҡунаҡ
322,Geschenk::N,қадия,бүләк
323,Spiel::N,ойын,уйын
324,Gesellschaft::N,қауым,йәмғиәт
325,Gesellschaft::N,жұртшылық,йәмғиәт
326,Hilfe::N,жэрдем,ярҙам
327,Freund::N,дос,дуҫ
328,Kamerad::N,дос-жар,иптәш
329,Angelegenheit::N,жұмыс,әш
330,Anzahl::N,сан,һан
331,Anzahl::N,саны,һан
332,Art::N,түр,төр
333,Stück::N,тілім,киҫәк
334,Teil::N,үлес,өлөш
335,Teil::N,бөлшек,өлөш
336,Hälfte::N,жарты,ярты
337,Kreis::N,шеңбер,түңәрәк
338,Kreuz::N,крест,тәре
339,Linie::N,сызық,һыҙыҡ
340,Strich::N,сызық,һыҙат
341,Abstand::N,ара,ара
342,Abstand::N,аралық,ара
343,Entfernung::N,аралық,алыҫлыҡ
344,Gegend::N,өңір,урын
345,Platz::N,орны,арауыҡ
346,Ort::N,орын,ерҙәр
347,Ort::N,орын,урындар
348,Ort::N,орын,эш урыны
349,Seite::N,жақ,яҡ
350,Seite::N,бүйір,яҡ
351,Mitte::N,ортасы,урталыҡ
352,Gegenstand::N,зат,нәмә
353,Gegenstand::N,нәрсе,нәмә
354,Sache::N,бұйым,нәмә
355,Sache::N,бұйым,әйбер
356,Rand::N,шет,сит
357,Rand::N,шеті,сит
358,Kante::N,қыр,ҡабырға
359,Kante::N,қыр,ян
360,Kante::N,қыры,ҡабырға
361,Kante::N,қыры,ян
362,Ecke::N,қыры,мөйөш
363,Ecke::N,бұрыш,мөйөш
364,Spitze::N,ұшы,ос
365,Ende::N,аяқ,аҙаҡ
366,Ende::N,соңы,аҙаҡ
367,Loch::N,тесік,тишек
368,Winkel::N,мүйіс,мөйөш
369,Muster::N,мәнер,биҙәк
370,Größe::N,ауқым,ҙурлыҡ
371,Größe::N,көлемдік,ҙурлыҡ
372,Länge::N,бой,оҙонлоҡ
373,Länge::N,ұзындық,оҙонлоҡ
374,Höhe::N,жоғарылық,бейеклек
375,Höhe::N,биіктік,бейеклек
376,Gewicht::N,салмақ,үлсәү
377,Menge::N,мөлшер,һан
378,Haufen::N,үйме,өйөм
379,Haufen::N,үйінді,өйөм
380,Reihe::N,сап,рәт
381,Boot::N,қайық,кәмә
382,Ruder::N,ескек,ишкәк
383,Schlitten::N,шана,сана
384,Ski::N,шаңғы,саңгы
385,Lagerfeuer::N,алау,костер
386,Last::N,ауырлық,ауырлыҡ
387,Last::N,ауыр зат,ауырлыҡ
388,Gang::N,жүріс,барыу
389,Schritt::N,адым,аҙым
390,Norden::N,солтүстік,төньяҡ
391,Norden::N,терістік,төньяҡ
392,Süden::N,оңтүстік,көньяҡ
393,Westen::N,батыс,көнбайыш
394,Osten::N,күншығыс,көнсығыш
395,Holz::N,ағаш,үағас
396,Holz::N,сүрек,үағас
397,Brett::N,тақта,таҡта
398,Platte::N,тақта,плита
399,Stütze::N,тіреу,терәк
400,Stange::N,қада,кәртә
401,Stock::N,сойыл,таяҡ
402,Stab::N,сырық,ҡолға
403,Rohr::N,құбыр,торба
404,Haus::N,үй,өй
405,Haus::N,үй,йорт
406,Heim::N,үйлі,өй
407,Heim::N,шаңырақ,өй
408,Ofen::N,ошақ,мейес
409,Ofen::N,пеш,мейес
410,Fußboden::N,еден,енес
411,Tisch::N,үстел,өҫтәл
412,Stuhl::N,орындық,ултырғыс
413,Wiege::N,бесік,бишек
414,Bett::N,кереует,карауат
415,Regal::N,сөре,кәштә
416,Kiste::N,жәшік,йәшинк
417,Fenster::N,терезе,тәҙрә
418,Tür::N,есік,ишек
419,Tor::N,дарбаза,ҡапҡа
420,Zaun::N,дуал,ҡойма
421,Dach::N,шатыр,түбә
422,Dach::N,шатыр,ҡыйыҡ
423,Leiter::N,саты,баҫҡыс
424,Leiter::N,басқыш,баҫҡыс
425,Besen::N,сыпырғыш,һепертке
426,Spaten::N,күрек,көрәк
427,Schaufel::N,қалақ,көрәк
428,Gabel::N,аша,сәнске
429,Gabel::N,шанышқы,сәнске
430,Löffel::N,қасық,ҡалаҡ
431,Messer::N,пышақ,бысаҡ
432,Nagel::N,мық,сөй
433,Nagel::N,шеге,сөй
434,Netz::N,керегекөз,ау
435,Haken::N,ілмек,ыргаҡ
436,Griff::N,сап,тотҡа
437,Griff::N,тұтқа,тотҡа
438,Schloss::N,құлып,йоҙаҡ
439,Schloss::N,бекіткіш,йоҙаҡ
440,Bild::N,сурет,картина
441,Figur::N,тұлға,һын
442,Puppe::N,қуыршақ,ҡурсаҡ
443,Beutel::N,қапшық,тоҡ
444,Bündel::N,байлам,төргәк
445,Tasche::N,дорба,сумка
446,Eimer::N,шелек,биҙрә
447,Deckel::N,жапқыш,ҡапҡас
448,Geschirr::N,ыдыс,һауыт-һаба
449,Sack::N,қап,тоҡ
450,Tasse::N,шыныаяқ,сынаяҡ
451,Topf::N,кәстрөл,кәстрүл
452,Kessel::N,қазан,ҡаҙан
453,Essen::N,ас,ашау
454,Nahrung::N,ас,аҙыҡ
455,Nahrung::N,тамақ,аҙыҡ
456,Speise::N,тағам,аш
457,Fleisch::N,ет,ит
458,Getreide::N,дәнді,иген
459,Getreide::N,дәнді,ашлыҡ
460,Brei::N,ботқа,бутҡа
461,Brot::N,күлше,икмәк
462,Scheibe::N,тілім,телем
463,Fett::N,май,май
464,Butter::N,май,май
465,Öl::N,май,май буяуы
466,Salz::N,тұз,тоҙ
467,Suppe::N,көже,һурпа
468,Honig::N,бал,бал
469,Milch::N,сүт,һөт
470,Tee::N,шай,сәй
471,Leder::N,көн,күн
472,Wolle::N,жүн,йөн
473,Stoff::N,мата,туҡыма
474,Stoff::N,кездеме,туҡыма
475,Nadel::N,ине,энә
476,Faden::N,жіп,еп
477,Knopf::N,түйме,төймә
478,Knoten::N,түйін,төйөн
479,Farbe::N,рең,буяу
480,Kleidung::N,киім,кейем
481,Hemd::N,жейде,күлдәк
482,Kragen::N,жаға,яға
483,Ärmel::N,жең,ең
484,Hose::N,шалбар,салбар
485,Gürtel::N,белбеу,ҡайыш
486,Mütze::N,қалпақ,бүрк
487,Schuh::N,кебіс,туфли
488,Stiefel::N,етік,итек
489,Ring::N,жүзік,йөҙөк
490,Ring::N,жүзік,балдаҡ
491,Band::N,таспа,таҫма
492,Kamm::N,тарақ,тараҡ
493,Spiegel::N,айна,көзгө
494,Riemen::N,қайыс,ҡайыш
495,Schnur::N,жіп,бау
496,Leine::N,тізгін,бау
497,Decke::N,көрпе,одеяд
498,Kissen::N,жастық,мендәр
499,Tuch::N,орамал,яулыҡ
500,Handtuch::N,сүлгі,таҫтамал
501,Kraft::N,қуат,көс
502,Kraft::N,қарқын,көс
503,Kraft::N,әл-шама,көс
504,Kraft::N,әл-дәрмен,көс
505,Stärke::N,әл,көс
506,Stärke::N,күш,көс
507,Gesundheit::N,денсаулык,һаулыҡ
508,Krankheit::N,ауру,сир
509,Krankheit::N,ауру,ауырыу
510,Schmerz::N,ауру,һыҙлау
511,Schmerz::N,ауру,әрнеү
512,Wunde::N,зақым,йәрәхәт
513,Wunde::N,жарақат,йәрәхәт
514,Fieber::N,безгек,тапма
515,Fieber::N,безгек,биҙгәк
516,Fieber::N,қалтырау,тапма
517,Fieber::N,қалтырау,биҙгәк
518,Fieber::N,қызу көтерілуі,тапма
519,Fieber::N,қызу көтерілуі,биҙгәк
520,Arznei::N,дәрі,дарыу
521,Arznei::N,дәрі-дәрмек,дарыу
522,Brücke::N,көпір,күпер
523,Brunnen::N,құдық,ҡоҙоҡ
524,Weide::N,өріс,көтөүлек
525,Weide::N,жайылым,көтөүлек
526,Pfad::N,жол,һуҡмаҡ
527,Weg::N,жол,юл
528,Straße::N,жол,урам
529,Dorf::N,ауыл,ауыл
530,Stadt::N,қала,ҡала
531,Stadt::N,шаһар,ҡала
532,Brief::N,хат,хат
533,Brief::N,жазу,хат
534,Buch::N,кітап,китап
535,Buch::N,кітап,кенәгә
536,Buchstabe::N,әріп,хәреф
537,Buchstabe::N,қаріп,хәреф
538,Zeitung::N,газет,гәзит
539,Leben::N,өмір,йәшәү
540,Leben::N,тіршілік,йәшәү
541,Tod::N,опат,үлем
542,Grab::N,мола,ҡәбер
543,Grab::N,мазар,ҡәбер
544,Kirche::N,шіркеу,сиркәү
545,Sünde::N,күнә,гөнаһ
546,Gott::N,алла,алла
547,Gott::N,алла,хоҙай
548,Gott::N,құдай,алла
549,Gott::N,құдай,хоҙай
550,Gott::N,тәңірі,алла
551,Gott::N,тәңірі,хоҙай
552,Gott::N,пәруардігер,алла
553,Gott::N,пәруардігер,хоҙай
554,Gott::N,жаратқан тәңірі,алла
555,Gott::N,жаратқан тәңірі,хоҙай
556,Arbeiter::N,жүмысшы,эшсе
557,Chef::N,басшы,башлыҡ
558,Chef::N,жұмыс басқарушысы,башлыҡ
559,Meister::N,шебер,оҫта
560,Meister::N,өнерпаз,оҫта
561,Arzt::N,дәрігер,врач
562,Lehrer::N,мұғалім,уҡытыусы
563,Geld::N,пұл,аҡса
564,Geschäft::N,бизнес,эш
565,Laden::N,дүкен,магазин
566,Preis::N,ақы,хаҡ
567,Preis::N,құны,хаҡ
568,Preis::N,нарық,хаҡ
569,Ware::N,тауар,тауар
570,Nutzen::N,пайда,файҙа
571,Reichtum::N,бақ-дәулет,байлыҡ
572,Welt::N,әлем,донъя
573,Welt::N,жиһан,донъя
574,Land::N,аймақ,ил
575,Staat::N,мемлекет,дәүләт
576,König::N,патша,король
577,Macht::N,өкімет,власть
578,Macht::N,қожалық,власть
579,Grenze::N,шек,сик
580,Krieg::N,соғыс,һуғыш
581,Feind::N,жау,йылан
582,Feind::N,дұшпан,йылан
583,Gewalt::N,зорлык,көслөк
584,Gewalt::N,зорлық-зомбылык,көслөк
585,Kampf::N,күрес,көрәш
586,Kampf::N,алыспақ,көрәш
587,Bogen[Waffe]::N,саржа,йәйә
588,Pfeil::N,жебе,уҡ
589,Gewehr::N,қару,мылтыҡ
590,Fehler::N,әбес,хата
591,Fehler::N,қаталық,хата
592,Lüge::N,өтірік,ялған
593,Schaden::N,зиян,зыян
594,Schaden::N,зиян,зарар
595,Schaden::N,зарар,зыян
596,Schaden::N,зарар,зарар
597,Unglück::N,пәле,ҡаза
598,Unglück::N,қасырет,ҡаза
599,Unglück::N,ауыртпалық,ҡаза
600,Schuld::N,айыптылық,ғәйеп
601,Alter::N,жас,йәш
602,Alter::N,жас шамасы,йәш
603,Schluss::N,ада,һуң
604,Schluss::N,ада,аҙаҡ
605,Schluss::N,бітуі,һуң
606,Schluss::N,бітуі,аҙаҡ
607,Zeit::N,уақыт,мәл
608,Zeit::N,уақыт,заман
609,Tag::N,күн,көн
610,Morgen::N,таң,иртә
611,Morgen::N,таң,иртәнсәк
612,Morgen::N,таңертең,иртә
613,Morgen::N,таңертең,иртәнсәк
614,Mittag::N,талтүс,төш
615,Abend::N,кеш,кис
616,Nacht::N,түн,төн
617,Woche::N,апта,аҙна
618,Monat::N,ай,ай
619,Jahr::N,жыл,йыл
620,Frühling::N,көктем,яҙ
621,Sommer::N,жаз,йәй
622,Herbst::N,күз,көз
623,Winter::N,қыс,ҡыш
624,Januar::N,каңтар,ғинуар
625,Februar::N,ақпан,февраль
626,März::N,наурыз,март
627,April::N,сәуір,апрель
628,Mai::N,мамыр,май
629,Juni::N,маусым,июнь
630,Juli::N,шілде,июль
631,August::N,сүмбіле,август
632,August::N,тамыз,август
633,September::N,қыркүйек,сентябрь
634,Oktober::N,ақырап,октябрь
635,November::N,қараша,ноябрь
636,Dezember::N,желтоқсан,декабрь
637,Montag::N,дүйсенбі,дүшәмбе
638,Dienstag::N,сейсенбі,шишәмбе
639,Mittwoch::N,сәрсенбі,шаршамбы
640,Donnerstag::N,бейсенбі,кесаҙна
641,Freitag::N,жұма,йома
642,Samstag::N,сенбі,шәмбе
643,Sonntag::N,жексембі,йәкшәмбе
644,groß::A,алпамсадай,ҙур
645,klein::A,кішкене,бәләкәс
646,klein::A,қарғадай,бәләкәс
647,lang::A,сопақ,оҙон
648,lang::A,сорайған,оҙон
649,kurz::A,кеспелтек,ҡыҫҡа
650,breit::A,айдынды,киң
651,schmal::A,қысық,тар
652,dicht::A,жиі,йыш
653,dicht::A,жиі,ҡуйы
654,dick[Gegenstand]::A,шомбал,ҡалын
655,dünn::A,жұқа,йоҡа
656,dünn::A,жұқа,нәҙек
657,dünn::A,жіңішке,йоҡа
658,dünn::A,жіңішке,нәҙек
659,fein::A,қаңылтақ,нескә
660,fest::A,берік,ныҡ
661,fest::A,мызғымас,ныҡ
662,flach::A,жалпак,яҫы
663,flach::A,жалпак,ялпаҡ
664,glatt::A,типыл,шыма
665,hart::A,қатты,ҡаты
666,weich::A,жұмсақ,йомшаҡ
667,rund::A,домалақ,түңәрәк
668,spitz::A,үшкір,осло түбәле
669,scharf::A,сүйрік,үткер
670,stumpf::A,доғал,утмәҫ
671,stumpf::A,өтпейтін,утмәҫ
672,schwer::A,салмақты,ауыр
673,schön::A,сұлу,матур
674,heiß::A,ыссы,эҫе
675,warm::A,жылы,йылы
676,kalt::A,аязды,һыуыҡ
677,kühl::A,салқын,һалҡынса
678,frisch::A,таза,һалҡынса
679,frisch::A,жаңа,һалҡынса
680,feucht::A,нам,еүеш
681,feucht::A,нам,дымлы
682,feucht::A,дымқылды,еүеш
683,feucht::A,дымқылды,дымлы
684,nass::A,сулы,еүеш
685,trocken::A,құрғақ,кипкән
686,voll::A,толы,тулы
687,leer::A,бос,буш
688,offen::A,ашып қойылған,асыҡ
689,geschlossen::A,жабулы,ябыҡ
690,sauber::A,дақсыз,таҙа
691,sauber::A,мұнтаздай,таҙа
692,schmutzig::A,айғыз,бысраҡ
693,schmutzig::A,сатпақ,бысраҡ
694,schmutzig::A,сатал-сатал,бысраҡ
695,roh::A,шикі,сей
696,reif::A,піскен,өлгөрғән
697,lecker::A,дәмді,тәмле
698,süß::A,тәтті,тямле
699,süß::A,тәтті,тәм-том
700,bitter::A,ащы,әсе
701,sauer::A,қышқыл,әсе
702,hell::A,жарық,яҡты
703,hell::A,жарқын,яҡты
704,dunkel::A,қараңғы,ҡараңғы
705,schwarz::A,қара,ҡара
706,weiß::A,ақ,аҡ
707,rot::A,қызыл,матур
708,rot::A,қызыл,һылыу
709,rot::A,қызыл,сибәр
710,gelb::A,сары,һары
711,blau::A,көк,күк
712,grün::A,жасыл,йәшел
713,grau::A,бозамық,буҙ
714,bunt::A,алабажак,сыбар
715,bunt::A,алабажак,ала-ҡола
716,billig::A,арзан,арзан
717,teuer::A,бағалы,ҡыйбатлы
718,wertvoll::A,құнды,ҡиммәтле
719,wertvoll::A,қымбат,ҡиммәтле
720,blind::A,көзсіз,һуҡыр
721,blind::A,көр,һуҡыр
722,blind::A,көр_соқыр,һуҡыр
723,taub::A,керең,һаңғырау
724,taub::A,саңырау,һаңғырау
725,kräftig::A,қуатты,көслө
726,kräftig::A,қуатты,ҡеүәтле
727,kräftig::A,қарымды,көслө
728,kräftig::A,қарымды,ҡеүәтле
729,stark::A,білекті,көслө
730,stark::A,білекті,ҡеүәтле
731,schwach::A,әлсіз,көсһөҙ
732,schwach::A,күшсіз,көсһөҙ
733,schwach::A,қайратсыз,көсһөҙ
734,fett::A,семіз,һимеҙ
735,schlank::A,ашаң,зифа
736,hübsch::A,ажарлы,матур
737,hübsch::A,шырайлы,матур
738,böse::A,өш,асыулы
739,böse::A,сұм,асыулы
740,böse::A,жауыз,асыулы
741,dumm::A,көкми,иҫәр
742,dumm::A,ақымақ,иҫәр
743,dumm::A,миы жоқ,иҫәр
744,faul::A,жалқау,иренсәк
745,faul::A,еріншек,иренсәк
