,Concept_ID,bn,no
241,Gedanke::N,চিন্তা,tanke
242,Gedächtnis::N,স্মরণশক্তি,minne
243,Gedächtnis::N,স্মরণশক্তি,hukommelse
244,Verstand::N,মন,forstand
245,Sinn::N,পদার্থ,mening
246,Sinn::N,পদার্থ,betydning
247,Grund::N,কারণ,grunn
248,Wahrheit::N,সত্য,sannhet
249,Gespräch::N,কথাবার্তা,samtale
250,Märchen::N,রূপকথা,eventyr
251,Erzählung::N,গল্প,fortelling
252,Nachricht::N,তথ্য,melding
253,Neuigkeit::N,খবরাখবর,nyhet
254,Name::N,নাম,navn
255,Rätsel::N,ধাঁধা,gåte
256,Rede::N,বক্তৃতা,tale
257,Sprache::N,ভাষা,språk
258,Stimme::N,স্বর,stemme
259,Wort::N,শব্দ,ord
260,Zeichen::N,প্রতীক,tegn
261,Ruf::N,ডাক,rop
262,Lärm::N,হৈচৈ,bråk
263,Laut::N,ধ্বনি,lyd
264,Ton::N,স্বর,tone
265,Lied::N,গান,vise
266,Ruhe::N,শান্তি,ro
267,Leute::N,প্রজাপুঞ্জ,folk
268,Volk::N,জাতি,folk
269,Arbeit::N,চাকরি,arbeid
270,Gast::N,অতিথি,gjest
271,Geschenk::N,উপহার,gave
272,Spiel::N,খেলা,lek
273,Spiel::N,খেলা,spill
274,Gesellschaft::N,সঙ্গিগণ,selskap
275,Hilfe::N,সাহায্য,hjelp
276,Freund::N,বন্ধু,venn
277,Kamerad::N,সঙ্গী,kamerat
278,Angelegenheit::N,বিষয়,sak
279,Angelegenheit::N,বিষয়,anliggende
280,Anzahl::N,পরিমাণ,antall
281,Art::N,রকম,art
282,Art::N,রকম,slag
283,Stück::N,টুকরো,stykke
284,Teil::N,অংশ,del
285,Hälfte::N,অর্ধেক,halvdel
286,Kreis::N,বৃত্ত,ring
287,Kreis::N,বৃত্ত,sirkel
288,Kreuz::N,ক্রুশ,kors
289,Kreuz::N,ক্রুশ,kryss
290,Linie::N,রেখা,linje
291,Strich::N,কষি,strek
292,Abstand::N,ফাঁক,avstand
293,Entfernung::N,ব্যবধান,avstand
294,Gegend::N,ক্ষেত্র,strøk
295,Platz::N,জায়গা,plass
296,Ort::N,স্থান,sted
297,Seite::N,পার্শ্ব,side
298,Mitte::N,মধ্য,midte
299,Gegenstand::N,জিনিস,gjenstand
300,Sache::N,বস্তু,sak
301,Rand::N,কানা,rand
302,Kante::N,ধার,kant
303,Ecke::N,কোণ,hjørne
304,Spitze::N,ডগা,spiss
305,Ende::N,প্রান্ত,ende
306,Loch::N,গর্ত,hull
307,Winkel::N,কোণ,vinkel
308,Muster::N,নমুন্,mønster
309,Größe::N,আয়তন,størrelse
310,Länge::N,দৈর্ঘ্য,lengde
311,Höhe::N,উচ্চতা,høyde
312,Gewicht::N,ওজন,vekt
313,Menge::N,পরিমাণ,mengde
314,Haufen::N,পুঞ্জ,haug
315,Haufen::N,পুঞ্জ,bunke
316,Reihe::N,শ্রেণী,rekke
317,Boot::N,নৌকা,båt
318,Ruder::N,দাঁড়,åre
319,Schlitten::N,স্নেজ্-গাড়ি,slede
320,Schlitten::N,স্নেজ্-গাড়ি,kjelke
321,Ski::N,শী,ski
322,Lagerfeuer::N,অগ্নি,leirbål
323,Last::N,বোঝা,bør
324,Last::N,বোঝা,last
325,Gang::N,হণ্টন,gang
326,Schritt::N,পদ,steg
327,Schritt::N,পদ,skritt
328,Norden::N,উত্তরদিক্,nord
329,Süden::N,দক্ষিণদিক,sør
330,Westen::N,পশ্চিমদিক্,vest
331,Osten::N,পূর্বদিক,øst
332,Holz::N,কাঠ,tre
333,Brett::N,তক্তা,fjøl
334,Brett::N,তক্তা,brett
335,Platte::N,ফলক,plate
336,Stütze::N,নাগদণ্ড,støtte
337,Stange::N,দণ্ড,stang
338,Stock::N,ছড়ি,pinne
339,Stab::N,যষ্টি,stav
340,Stab::N,যষ্টি,kjepp
341,Rohr::N,নল,rør
342,Haus::N,ঘর,hus
343,Heim::N,বাসা,hjem
344,Ofen::N,স্টোভ্,ovn
345,Fußboden::N,গহতল,gulv
346,Tisch::N,মেজ,bord
347,Tisch::N,টেবিল,bord
348,Stuhl::N,চেয়ার,stol
349,Stuhl::N,কেদারা,stol
350,Wiege::N,দোলনা,vogge
351,Bett::N,শয্যা,seng
352,Regal::N,তাক,reol
353,Regal::N,তাক,hylle
354,Kiste::N,বাক্স,kasse
355,Fenster::N,জানালা,vindu
356,Tür::N,দ্বার,dør
357,Tor::N,দ্বার,port
358,Zaun::N,বেড়া,gjerde
359,Dach::N,ছাদ,tak
360,Leiter::N,মই,stige
361,Besen::N,গুল্মবিশেষ,kost
362,Spaten::N,কোদাল,spade
363,Schaufel::N,বেলচা,skuffe
364,Gabel::N,কাঁটা,gaffel
365,Löffel::N,চামচ,skje
366,Messer::N,ছুরি,kniv
367,Nagel::N,পেরেক,spiker
368,Netz::N,জাল,nett
369,Haken::N,কাচি,krok
370,Griff::N,হাতল,tak
371,Griff::N,হাতল,håndtak
372,Schloss::N,তালা,lås
373,Bild::N,ছবি,bilde
374,Bild::N,চিত্র,bilde
375,Figur::N,আকার,figur
376,Puppe::N,পুতুল,dukke
377,Beutel::N,বটুয়া,pose
378,Bündel::N,আঁটি,bylt
379,Tasche::N,থলি,veske
380,Eimer::N,বাল্তি,bøtte
381,Deckel::N,আবরণ,lokk
382,Geschirr::N,থালা-বাসন,kjøkkentøy
383,Sack::N,বস্তা,sekk
384,Tasse::N,কাপ,kopp
385,Topf::N,পাত্র,gryte
386,Kessel::N,কেটলি,kjele
387,Essen::N,আহার,mål
388,Nahrung::N,খাদ্য,mat
389,Nahrung::N,খাদ্য,næring
390,Speise::N,খাদ্য,matrett
391,Fleisch::N,মাংস,kjøtt
392,Getreide::N,শস্য,korn
393,Brei::N,মণ্ড,grøt
394,Brot::N,রুটি,brød
395,Scheibe::N,ফালি,skive
396,Fett::N,মেদ,fett
397,Butter::N,মাখন,smør
398,Öl::N,তৈল,olje
399,Salz::N,নুন,salt
400,Suppe::N,শুরুয়া,suppe
401,Honig::N,মধু,honning
402,Milch::N,দুধ,melk
403,Tee::N,চা,te
404,Leder::N,পাকা চামড়া,lær
405,Leder::N,পাকা চামড়া,skinn
406,Wolle::N,পশম,ull
407,Stoff::N,বস্ত্র,tøy
408,Stoff::N,বস্ত্র,stoff
409,Nadel::N,সুচ,nål
410,Faden::N,সূত্র,tråd
411,Knopf::N,বোতাম,knapp
412,Knoten::N,গিঁট,knute
413,Farbe::N,রং,farge
414,Kleidung::N,কাপড়,påkledning
415,Hemd::N,শার্ট,skjorte
416,Kragen::N,গলবন্ধ,krage
417,Ärmel::N,আস্তিন্,erme
418,Hose::N,ট্রাউজার,bukse
419,Gürtel::N,কটিবন্ধ,belte
420,Mütze::N,টুপি,lue
421,Schuh::N,জুতো,sko
422,Stiefel::N,বুট,støvel
423,Ring::N,আংটি,ring
424,Band::N,ফিতা,band
425,Kamm::N,চিরুনি,kam
426,Spiegel::N,আয়না,speil
427,Riemen::N,চাবুক,rem
428,Schnur::N,দড়ি,snor
429,Leine::N,শিকল,line
430,Decke::N,কম্বল,teppe
431,Kissen::N,উপাধান,pute
432,Tuch::N,বস্ত্র,tøy
433,Handtuch::N,তোয়ালে,håndkle
434,Kraft::N,জোর,kraft
435,Stärke::N,শক্তি,styrke
436,Gesundheit::N,স্বাস্থ্য,helse
437,Gesundheit::N,স্বাস্থ্য,sunnhet
438,Krankheit::N,অসুখ,syke
439,Krankheit::N,অসুখ,sykdom
440,Krankheit::N,ব্যামো,syke
441,Krankheit::N,ব্যামো,sykdom
442,Schmerz::N,যন্ত্রণা,smerte
443,Wunde::N,ক্ষত,sår
444,Fieber::N,জ্বর,feber
445,Arznei::N,ঔষধ,medisin
446,Arznei::N,ঔষধ,legemiddel
447,Brücke::N,সেতু,bro
448,Brunnen::N,কূপ,brønn
449,Weide::N,পশুচারণভূমি,beite
450,Pfad::N,পথ,sti
451,Weg::N,পথ,vei
452,Straße::N,রাস্তা,gate
453,Dorf::N,গ্রাম,landsby
454,Stadt::N,শহর,by
455,Brief::N,চিঠি,brev
456,Buch::N,বই,bok
457,Buchstabe::N,অক্ষর,bokstav
458,Zeitung::N,সংবাদপত্র,avis
459,Leben::N,জীবন,liv
460,Tod::N,মৃত্যু,død
461,Grab::N,কবর,grav
462,Kirche::N,গির্জা,kirke
463,Sünde::N,পাপ,synd
464,Gott::N,দেবতা,gud
465,Arbeiter::N,শ্রমিক,arbeider
466,Chef::N,নেতা,sjef
467,Meister::N,ব্যক্তি,mester
468,Arzt::N,চিকিৎসক,lege
469,Lehrer::N,অধ্যাপক,lærer
470,Geld::N,মুদ্রা,penger
471,Geld::N,টাকাপয়সা,penger
472,Geschäft::N,ব্যস্ততা,forretning
473,Laden::N,দোকান,butikk
474,Preis::N,মূল্য,pris
475,Ware::N,পণ্যদ্রব্য,vare
476,Nutzen::N,সুবিধা,nytte
477,Reichtum::N,ধনদৌলত,rikdom
478,Welt::N,জগৎ,verden
479,Land::N,খেত,land
480,Staat::N,রাষ্ট্র,stat
481,König::N,রাজা,konge
482,Macht::N,প্রভাব,makt
483,Grenze::N,সীমা,grense
484,Krieg::N,যুদ্ধ,krig
485,Feind::N,শত্রু,fiende
486,Gewalt::N,জোর,vold
487,Kampf::N,লড়াই,kamp
488,Bogen[Waffe]::N,ধনুক,bue
489,Pfeil::N,বাণ,pil
490,Gewehr::N,বন্দুক,gevær
491,Fehler::N,ভুল,feil
492,Lüge::N,মিথ্যা,løgn
493,Schaden::N,ক্ষতি,skade
494,Unglück::N,দুর্ভাগ্য,uhell
495,Schuld::N,অপরাধ,skyld
496,Alter::N,আয়ু,alder
497,Schluss::N,শেষ,slutt
498,Zeit::N,সময়,tid
499,Tag::N,দিন,dag
500,Morgen::N,সকাল,morgen
501,Mittag::N,মধ্যাহু,middag
502,Abend::N,সন্ধ্যা,aften
503,Nacht::N,রাত্রি,natt
504,Woche::N,সপ্তাহ,uke
505,Monat::N,মাস,måned
506,Jahr::N,সৌরবর্ষ,år
507,Frühling::N,বসন্তকাল,vår
508,Sommer::N,গ্রীষ্মকাল,sommer
509,Herbst::N,শরংঋতু,høst
510,Winter::N,শীতকাল,vinter
511,Januar::N,জানুয়ারী,januar
512,Februar::N,ফেব্রুয়ারী,februar
513,März::N,মার্চ,mars
514,April::N,এপ্রিল,april
515,Mai::N,মে,mai
516,Juni::N,জুন,juni
517,Juli::N,জুলাই,juli
518,August::N,অগাস্ট,august
519,September::N,সেপ্টেম্বর,september
520,Oktober::N,অক্টোবর,oktober
521,November::N,নভেম্বর,november
522,Dezember::N,ডিসেম্বর,desember
523,Montag::N,সোমবার,mandag
524,Dienstag::N,মঙ্গলবার,tirsdag
525,Mittwoch::N,বুধবার,onsdag
526,Donnerstag::N,বৃহম্পতিবার,torsdag
527,Freitag::N,শুক্রবার,fredag
528,Samstag::N,শনিবার,lørdag
529,Sonntag::N,রবিবার,søndag
530,groß::A,বৃহৎ,stor
531,klein::A,ছোট,liten
532,lang::A,দীর্ঘ,lang
533,kurz::A,খর্ব,kort
534,kurz::A,হ্রস্ব,kort
535,breit::A,চওড়া,bred
536,schmal::A,সরু,smal
537,dicht::A,ঘন,tett
538,dick[Gegenstand]::A,পুরু,tykk
539,dünn::A,কৃশ,tynn
540,fein::A,সূক্ষ্ম,fin
541,fest::A,দৃঢ়,fast
542,flach::A,সমতল,flat
543,glatt::A,মসৃণ,glatt
544,hart::A,শক্ত,hard
545,weich::A,নরম,myk
546,weich::A,নরম,bløt
547,rund::A,গোলাকার,rund
548,spitz::A,তীক্ষ্ন,spiss
549,scharf::A,শাণিত,kvass
550,stumpf::A,ভোঁতা,stubb
551,schwer::A,ভারী,tung
552,schön::A,সুন্দর,pen
553,schön::A,সুন্দর,vakker
554,heiß::A,গরম,het
555,warm::A,ঈষদুষ্ণ,varm
556,kalt::A,ঠাণ্ডা,kald
557,kühl::A,শীতল,kjølig
558,frisch::A,তাজা,fersk
559,feucht::A,ভিজা,fuktig
560,nass::A,ভিজা,våt
561,trocken::A,শুষ্ক,tørr
562,voll::A,পূর্ণ,full
563,leer::A,খালি,tom
564,offen::A,খোলা,åpen
565,geschlossen::A,বন্ধ,lukket
566,sauber::A,নির্মল,ren
567,schmutzig::A,নোংরা,skitten
568,roh::A,কাঁচা,rå
569,reif::A,পাকা,moden
570,lecker::A,সুস্বাদ,lekker
571,süß::A,মিষ্ট,søt
572,bitter::A,তিক্ত,besk
573,bitter::A,তিক্ত,bitter
574,sauer::A,টক,sur
575,hell::A,উজ্জ্বল,lys
576,dunkel::A,অন্ধকারময়,mørk
577,schwarz::A,কালো,svart
578,weiß::A,সাদা,hvit
579,rot::A,লাল,rød
580,gelb::A,হলদে,gul
581,blau::A,নীল,blå
582,grün::A,সবুজ,grønn
583,grau::A,ছাই-রঙা,grå
584,bunt::A,রঙিন,broket
585,billig::A,সস্তা,billig
586,teuer::A,আক্রা,dyr
587,wertvoll::A,মহার্ঘ,verdifull
588,blind::A,কানা,blind
589,taub::A,বধির,døv
590,kräftig::A,বিশাল,kraftig
591,stark::A,শক্তিশালী,sterk
592,schwach::A,দুর্বল,svak
593,fett::A,মোটা,fet
594,schlank::A,কৃশ,slank
595,hübsch::A,সুন্দর,pen
596,böse::A,খারাপ,slem
597,dumm::A,মূর্খ,dum
598,faul::A,শ্রমবিমুখ,lat
599,faul::A,শ্রমবিমুখ,doven
600,fleißig::A,পরিশ্রমী,flittig
601,geizig::A,ব্যয়কুণ্ঠ,gjerrig
602,klug::A,দক্ষ,klok
603,geschickt::A,পটু,hendig
604,geschickt::A,পটু,skikket
605,lieb::A,প্রেয়,kjær
606,lieb::A,প্রেয়,snill
607,lustig::A,প্রফুল্ল,morsom
608,sanft::A,নম্র,blid
609,hungrig::A,ক্ষুধার্ত,sulten
610,krank::A,অসুস্থ,syk
611,nackt::A,উলঙ্গ,naken
612,traurig::A,দুঃখিত,sørgmodig
613,lebendig::A,জীবিত,levende
614,gut::A,ভালো,god
615,schlecht::A,মন্দ,dårlig
616,richtig::A,ঠিক,riktig
617,schlimm::A,কদর্য,slem
618,wahr::A,বাস্তব,sann
619,alt::A,পুরাতন,gammel
620,neu::A,নব,ny
621,neu::A,নূতন,ny
622,ehemalig::A,পূর্বকালীন,forhenværende
623,alt[Lebewesen]::A,বৃদ্ধ,gammel
624,jung::A,তরুণ,ung
625,arm::A,ক্ষুদ্র,fattig
626,reich::A,ধনবান্,rik
627,bekannt::A,সুপরিচিত,kjent
628,berühmt::A,বিখ্যাত,berømt
629,fremd::A,বিদেশি,fremmed
630,verschieden::A,বিসদৃশ,forskjellig
631,nah::A,নিকটবতী,nær
632,fern::A,দুরবতী,fjern
633,linker::A,বাম,venstre
634,rechter::A,ডান,høyre
635,rechter::A,ডাইন,høyre
636,anderer::A,অন্যতর,annen
637,erster::A,প্রথম,første
638,zweiter::A,দ্বিতীয়,annen
639,dritter::A,তৃতীয়,tredje
640,letzter::A,সর্বশেষ,sist
641,allein::ADV,একক,alene
642,auf einmal::ADV,জলদি,med ett
643,zusammen::ADV,একসঙ্গে,sammen
644,lange::ADV,লম্বা,lenge
645,plötzlich::ADV,হঠাৎ,plutselig
646,sofort::ADV,মুহ্ণর্তমধ্যে,straks
647,später::ADV,পশ্চাতে,senere
648,jetzt::ADV,এখন,nå
649,heute::ADV,আজ,i dag
650,morgen::ADV,আগামিকাল,i morgen
651,bald::ADV,অস্পকালমধ্যে,snart
652,dann::ADV,তখন,så
653,gestern::ADV,গতকাল,i går
654,einst::ADV,একবার মাত্র,engang
655,damals::ADV,তখন,den gang
656,danach::ADV,পরে,deretter
657,vorher::ADV,আগে,før
658,vorher::ADV,আগে,i forveien
659,zuerst::ADV,আগে,først
660,einmal::ADV,একবার,en gang
661,manchmal::ADV,কখনও কখনও,somme tider
662,oft::ADV,ঘনঘন,ofte
663,immer::ADV,সর্বদা,alltid
664,niemals::ADV,কখলও নহে,aldri
665,hier::ADV,এখানে,her
666,hierhin::ADV,এখানে,hit
667,von hier::ADV,ত্রই স্তান হইতে,herfra
668,dort::ADV,ওখানে,der
669,dorthin::ADV,ওখানে,dit
670,geradeaus::ADV,অগ্রগামী,rett fram
671,vorwärts::ADV,সন্মুখিকে,fram
672,vorwärts::ADV,সন্মুখিকে,framover
673,rückwärts::ADV,খিরিয়া,baklengs
674,zurück::ADV,পিঠ,tilbake
675,unten::ADV,নীচে,nede
676,hinab::ADV,নিম্নগামী,ned
677,hinab::ADV,নিম্নগামী,nedover
678,oben::ADV,উপরে,oppe
679,oben::ADV,উপরে,ovenpå
680,hinauf::ADV,উচ্চতর অংশে,opp
681,hinauf::ADV,উচ্চতর অংশে,oppover
682,überall::ADV,সর্বত্র,overalt
683,nicht::ADV,না,ikke
684,ein wenig::ADV,অল্প,litt
685,kaum::ADV,কষ্টসহকাবে,neppe
686,sehr::ADV,খুব,svært
687,so::ADV,তত,så
688,noch::ADV,এখন পর্যস্ত,enda
689,nur::ADV,শুধু,bare
690,schon::ADV,ইতঃপুর্বে,alt
691,schon::ADV,ইতঃপুর্বে,allerede
692,wieder::ADV,আবার,igjen
693,vergebens::ADV,বিফলে,forgjeves
694,vor::PRP,সম্মুখে,foran
695,vor::PRP,সম্মুখে,utenfor
696,hinter::PRP,পশ্চাতে,bak
697,hinter::PRP,পশ্চাতে,bakom
698,unter::PRP,নীচে,under
699,durch::PRP,দ্বারা,gjennom
700,durch::PRP,দ্বারা,igjennom
701,neben::PRP,কাছে,ved siden av
702,zwischen::PRP,মধ্যে,mellom
703,wegen::PRP,জন্য,på grunn av
704,dies::PRN,এটা,dette
705,das::PRN,ওটা,det
706,alles::PRN,সব,alt
707,ich::PRN,আমি,jeg
708,du::PRN,তুমি,du
709,er::PRN,উনি,han
710,wir::PRN,আমরা,vi
711,ihr::PRN,তোমরা,dere
712,sie::PRN,তারা,de
713,was::FPRN,কি,hva
714,wer::FPRN,কে,hvem
715,wo::FADV,কোথায়,hvor
716,wohin::FADV,কোথায়,hvor ... hen
717,wie::FADV,কেমন,hvordan
718,warum::FADV,কেন,hvorfor
719,wieviel::FNUM,কত,hvor mye
720,eins::NUM,অক,en
721,eins::NUM,অক,ett
722,zwei::NUM,দুই,to
723,drei::NUM,তিন,tre
724,vier::NUM,চার,fire
725,fünf::NUM,পাঁচ,fem
726,sechs::NUM,ছয়,seks
727,sieben::NUM,সাত,sju
728,acht::NUM,আট,åtte
729,neun::NUM,নয়,ni
730,zehn::NUM,দশ,ti
731,elf::NUM,এগারো,elleve
732,zwölf::NUM,দ্বাদশ,tolv
733,zwanzig::NUM,বিশ,tjue
734,dreißig::NUM,ত্রিশ,tretti
