,Concept_ID,xal,br
272,Art::N,зүүл,sort
273,Stück::N,хусг,tamm
274,Teil::N,хүв,pezh
275,Hälfte::N,өрәл,hanterenn
276,Kreis::N,төгрг,kelc'h
277,Kreuz::N,кирс,kroaz
278,Linie::N,зурасн,linenn
279,Strich::N,татасн,tenn
280,Abstand::N,зә,distok
281,Entfernung::N,һазр,keid
282,Entfernung::N,һазр,kehid
283,Gegend::N,һазр,korn-bro
284,Platz::N,зә,plasenn
285,Ort::N,бәәрн,lec'h
286,Seite::N,тал,tu
287,Seite::N,хаҗу,tu
288,Seite::N,хәврһ,tu
289,Mitte::N,дунд,kreiz
290,Gegenstand::N,юмн,tra
291,Sache::N,юмн,tra
292,Rand::N,зах,kantenn
293,Kante::N,ирмәг,kantenn
294,Ecke::N,өнцг,korn
295,Spitze::N,үзүр,begell
296,Ende::N,үзүр,dibenn
297,Loch::N,хаһрха,toull
298,Winkel::N,булң,
299,Muster::N,намч,tresadenn
300,Größe::N,кемҗән,ment
301,Länge::N,ут,hirder
302,Höhe::N,өндр,uhelder
303,Gewicht::N,күнд,pouez
304,Gewicht::N,чиңнүр,pouez
305,Menge::N,ик,bern
306,Haufen::N,ова,bern
307,Reihe::N,зерг,steud
308,Reihe::N,зерглән,steud
309,Boot::N,оңһц,bag
310,Ruder::N,хәәв,roeñv
311,Schlitten::N,цан,trainell
312,Ski::N,лыҗ,ski
313,Lagerfeuer::N,костёр,
314,Last::N,күнд,karg
315,Gang::N,йовлһн,kerzh
316,Schritt::N,ишкм,paz
317,Norden::N,ар үзг,norzh
318,Norden::N,ар үзг,hanternoz
319,Süden::N,өмн,su
320,Süden::N,өмн,kreisteiz
321,Süden::N,өмн үзг,su
322,Süden::N,өмн үзг,kreisteiz
323,Westen::N,барун,kuzh-heol
324,Westen::N,барун үзг,kuzh-heol
325,Osten::N,зүн,reter
326,Osten::N,зүн,sav-heol
327,Osten::N,зүн үзг,reter
328,Osten::N,зүн үзг,sav-heol
329,Holz::N,модн,koad
330,Brett::N,харһа,plankenn
331,Platte::N,хавтха чолун,plakenn
332,Stütze::N,тулг,harp
333,Stange::N,уньн,sparl
334,Stock::N,модн,bazh
335,Stab::N,шуург,bazh
336,Rohr::N,турва,tub
337,Rohr::N,турва,korz
338,Haus::N,гер,ti
339,Heim::N,гер-бул,kêr
340,Ofen::N,беш,forn
341,Fußboden::N,девскр,plañchod
342,Tisch::N,ширә,taol
343,Stuhl::N,стул,kador
344,Wiege::N,өлгә,kavell
345,Wiege::N,дүүҗң,kavell
346,Bett::N,орн,gwele
347,Bett::N,орндг,gwele
348,Regal::N,таг,estajerenn
349,Regal::N,тәвц,estajerenn
350,Kiste::N,яршг,kased
351,Fenster::N,терз,prenestr
352,Tür::N,үүдн,dor
353,Tor::N,үүдн,portal
354,Tor::N,өргн үүдн,portal
355,Tor::N,хашан үүдн,portal
356,Zaun::N,хаша,sklotur
357,Dach::N,деевр,toenn
358,Leiter::N,шат,skeul
359,Leiter::N,давшур,skeul
360,Besen::N,сәвүр,skubell
361,Spaten::N,күрз,pal
362,Schaufel::N,совг,pal
363,Gabel::N,серә,fourchetez
364,Löffel::N,ухр,loa
365,Messer::N,утх,kontell
366,Nagel::N,хадасн,tach
367,Netz::N,гөлм,roued
368,Haken::N,дегә,krog
369,Griff::N,иш,kemer
370,Griff::N,бәрүл,kemer
371,Schloss::N,оньс,potenn
372,Bild::N,зург,skeudenn
373,Figur::N,фигур,skeud
374,Figur::N,фигур,figur
375,Puppe::N,наадһа,merc'hodenn
376,Beutel::N,мишг,sac'h
377,Bündel::N,багла,feskenn
378,Bündel::N,боодһа,feskenn
379,Tasche::N,сумк,sac'h
380,Eimer::N,суулһ,sailh
381,Deckel::N,бүркәсн,pallenn
382,Geschirr::N,сав,listriaj
383,Geschirr::N,сав-сарх,listriaj
384,Sack::N,мишг,sac'h
385,Tasse::N,ааһ,tas
386,Topf::N,кастрюль,pod
387,Kessel::N,хәәсн,chaodouron
388,Essen::N,зоогллһн,pred
389,Nahrung::N,теҗәл,boued
390,Speise::N,хот,meuz
391,Fleisch::N,махн,kig
392,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,ed
393,Brei::N,хаш,yod
394,Brot::N,өдмг,bara
395,Scheibe::N,зүсм,tailhenn
396,Fett::N,өөкн,lard
397,Butter::N,тосн,amann
398,Öl::N,тосн,eoul
399,Salz::N,давсн,holen
400,Suppe::N,шөлн,soubenn
401,Honig::N,бал,mel
402,Milch::N,үсн,laezh
403,Tee::N,цә,te
404,Leder::N,арсн,lêr
405,Wolle::N,утцн,gloan
406,Wolle::N,эд,gloan
407,Stoff::N,эд,danvez
408,Nadel::N,зүн,nadoz
409,Faden::N,утцн,neudenn
410,Knopf::N,товч,bouton
411,Knoten::N,зәңгдә,skoulm
412,Farbe::N,будг,liv
413,Kleidung::N,хувцн,dilhad
414,Kleidung::N,хувц-хунр,dilhad
415,Hemd::N,киилг,roc'hed
416,Kragen::N,зах,gouzoug
417,Ärmel::N,ханцн,milgin
418,Hose::N,шалвур,bragoù
419,Gürtel::N,бүс,gouriz
420,Mütze::N,махла,boned
421,Schuh::N,башмгуд,botez
422,Stiefel::N,һосн,botez
423,Ring::N,билцг,gwalenn
424,Band::N,лент,bagad
425,Kamm::N,сам,krib
426,Spiegel::N,толь,melezour
427,Riemen::N,бүс,lerenn
428,Schnur::N,деесн,kordenn
429,Leine::N,бурнтг,roll
430,Leine::N,нохан көтлвр,roll
431,Decke::N,көнҗл,golo
432,Kissen::N,дер,goubenner
433,Tuch::N,альчур,mezher
434,Handtuch::N,полотенц,toailhon
435,Handtuch::N,һар-нүүрин альчур,toailhon
436,Kraft::N,күчн,nerzh
437,Stärke::N,чидл,nerzhder
438,Gesundheit::N,эрүл-менд,yec'hed
439,Krankheit::N,өвчн,klañved
440,Schmerz::N,өвдлһн,poan
441,Schmerz::N,өвдлһн,droug
442,Wunde::N,шав,gloazadenn
443,Fieber::N,безг,terzhienn
444,Arznei::N,эм,louzoù
445,Brücke::N,тагт,pont
446,Brunnen::N,худг,puñs
447,Weide::N,малын идг,prad
448,Pfad::N,цувг,gwenodenn
449,Weg::N,хаалһ,hent
450,Straße::N,зам,ru
451,Straße::N,зам,hent
452,Dorf::N,хотн,kêr
453,Dorf::N,хотн,kêriadenn
454,Stadt::N,балһсн,kêr
455,Brief::N,бичг,lizher
456,Buch::N,дегтр,levr
457,Buchstabe::N,үзг,lizherenn
458,Zeitung::N,газет,kazetenn
459,Leben::N,җирһл,buhez
460,Tod::N,үкл,marv
461,Tod::N,өңгрлһн,marv
462,Grab::N,оршалһна нүкн,bez
463,Kirche::N,чонҗ,iliz
464,Sünde::N,нүл,pec'hed
465,Sünde::N,килнц,pec'hed
466,Gott::N,бурхн,doue
467,Arbeiter::N,көдлмшч,labourer
468,Arbeiter::N,көдлмшч,micherour
469,Chef::N,толһач,penn
470,Meister::N,урн,mestr
471,Arzt::N,эмч,mezeg
472,Arzt::N,эмч,medisin
473,Lehrer::N,багш,skolaer
474,Lehrer::N,багш,kelenner
475,Geld::N,мөңгн,arc'hant
476,Geschäft::N,көдлмш,stal
477,Laden::N,лавк,stal
478,Preis::N,үн,priz
479,Ware::N,эд-тавр,marc'hadourezh
480,Nutzen::N,олз,gounidegezh
481,Nutzen::N,олз,lañs
482,Nutzen::N,олз,profit
483,Nutzen::N,олз,spleit
484,Reichtum::N,зөөр,pinvidigezh
485,Welt::N,орчлң,douar
486,Welt::N,делкә,douar
487,Land::N,орн-нутг,bro
488,Staat::N,государств,stad
489,König::N,хан,roue
490,Macht::N,йосн,galloud
491,Grenze::N,меҗә,harzoù
492,Krieg::N,дән,brezel
493,Feind::N,дәәсн,eneber
494,Gewalt::N,күч һарһлһн,tâerder
495,Kampf::N,ноолдан,kann
496,Kampf::N,бәрлдлһн,kann
497,Bogen[Waffe]::N,саадг,gwareg
498,Pfeil::N,сумн,saezh
499,Gewehr::N,бу,fuzuilh
500,Fehler::N,алдг,fazi
501,Lüge::N,худл,gaou
502,Schaden::N,хорлт,gwall
503,Unglück::N,гүрм,gwalleur
504,Schuld::N,гем,kablusted
505,Schuld::N,гем,pec'hedigezh
506,Schuld::N,буру,kablusted
507,Schuld::N,буру,pec'hedigezh
508,Alter::N,насн,oad
509,Schluss::N,чилгч,diwezh
510,Zeit::N,цаг,amzer
511,Tag::N,өдр,deizh
512,Morgen::N,өрүн,beure
513,Morgen::N,өрүн,mintin
514,Mittag::N,үд,kreisteiz
515,Abend::N,асхн,abardaez
516,Nacht::N,сө,noz
517,Woche::N,долан хонг,sizhun
518,Monat::N,сар,miz
519,Jahr::N,җил,bloaz
520,Frühling::N,хавр,nevezamzer
521,Sommer::N,зун,hañv
522,Herbst::N,намр,diskaramzer
523,Winter::N,үвл,goañv
524,Januar::N,январь,Genver
525,Februar::N,февраль,C'hwevrer
526,März::N,март,Meurzh
527,März::N,моһа сар,Meurzh
528,April::N,апрель,Ebrel
529,Mai::N,май,Mae
530,Juni::N,июнь,Mezheven
531,Juni::N,мөчн сар,Mezheven
532,Juli::N,июль,Gouhere
533,August::N,август,Eost
534,September::N,һаха сар,Gwengolo
535,Oktober::N,октябрь,Here
536,November::N,ноябрь,Du
537,November::N,үкр сар,Du
538,Dezember::N,бар сар,Kerzu
539,Montag::N,понедельник,Lun
540,Dienstag::N,вторник,Meurzh
541,Mittwoch::N,среда,Merc'her
542,Mittwoch::N,үлмҗ өдр,Merc'her
543,Donnerstag::N,четверг,Yaou
544,Donnerstag::N,пүрвә өдр,Yaou
545,Freitag::N,пятниц,Gwener
546,Samstag::N,суббот,Sadorn
547,Sonntag::N,нарн өдр,Sul
548,Sonntag::N,воскресень,Sul
549,groß::A,ик,bras
550,klein::A,бичкн,bihan
551,lang::A,ут,hir
552,kurz::A,оһтр,berr
553,breit::A,өргн,ledan
554,schmal::A,уутьхн,strizh
555,dicht::A,нигт,stank
556,dick[Gegenstand]::A,зузан,tev
557,dünn::A,нимгн,moan
558,fein::A,нәрхн,munut
559,fest::A,бат,start
560,flach::A,хавтха,plaen
561,glatt::A,тегш,lintr
562,glatt::A,тегш,levn
563,glatt::A,тиньгр,lintr
564,glatt::A,тиньгр,levn
565,hart::A,хату,kalet
566,weich::A,җөөлн,blot
567,weich::A,җөөлкн,blot
568,rund::A,төгрг,ront
569,spitz::A,шовһр,poentet
570,scharf::A,хурц,dremm
571,stumpf::A,мука,talsoc'h
572,schwer::A,күнд,pounner
573,schön::A,сәәхн,kaer
574,heiß::A,халун,tomm
575,warm::A,дулан,tomm
576,kalt::A,киитн,yen
577,kühl::A,серүн,yen
578,frisch::A,серүн,fresk
579,feucht::A,чиигтә,gleb
580,nass::A,чиигтә,gleb
581,trocken::A,хагсу,sec'h
582,voll::A,дүүрң,leun
583,leer::A,сул,goullo
584,leer::A,хоосн,goullo
585,offen::A,секәтә,digor
586,geschlossen::A,хаалһата,serr
587,sauber::A,цевр,naet
588,schmutzig::A,киртә,lous
589,roh::A,түүкә,kriz
590,reif::A,болсн,darev
591,lecker::A,әмтәхн,lipous
592,lecker::A,әмтәхн,saourus
593,süß::A,әмтәхн,dous
594,bitter::A,һашун,c'hwerv
595,bitter::A,һашута,c'hwerv
596,sauer::A,ишклң,trenk
597,hell::A,герлтә,sklaer
598,dunkel::A,харңһу,teñval
599,schwarz::A,хар,du
600,weiß::A,цаһан,gwenn
601,rot::A,улан,ruz
602,gelb::A,шар,melen
603,blau::A,көк,glas
604,grün::A,көк,gwer
605,grau::A,бор,louet
606,bunt::A,алг,liesliv
607,bunt::A,эрәтә,liesliv
608,billig::A,кимд,marc'had-mat
609,teuer::A,үнтә,ker
610,wertvoll::A,үнтә,prizius
611,wertvoll::A,эрднь,prizius
612,blind::A,сохр,dall
613,taub::A,дүлә,bouzar
614,kräftig::A,күчтә,start
615,stark::A,чаңһ,kreñv
616,schwach::A,күчн тату,gwan
617,fett::A,тарһн,lard
618,schlank::A,эццн,sinkl
619,hübsch::A,көркхн,koant
620,böse::A,уурта,gwall
621,dumm::A,тенг,glep
622,faul::A,залху,lezirek
623,fleißig::A,кинән,studius
624,fleißig::A,кинмһә,studius
625,geizig::A,ховдг,tost
626,klug::A,ухата,speredek
627,geschickt::A,чадмг,dornet
628,lieb::A,эңкр,koant
629,lustig::A,сергмҗтә,laouen
630,lustig::A,җирһлтә,laouen
631,sanft::A,номһн,flour
632,hungrig::A,өлн,marnaon
633,hungrig::A,харһнсн,marnaon
634,krank::A,өвчтә,klañv
635,krank::A,шалтгта,klañv
636,nackt::A,нүцкн,noazh
637,traurig::A,һундлта,trist
638,lebendig::A,әмд,bev
639,gut::A,сән,mad
640,schlecht::A,му,fall
641,schlecht::A,му,gwall
642,richtig::A,зөвтә,reizh
643,schlimm::A,җигшүртә,gwall
644,wahr::A,үнн,gwir
645,wahr::A,мөн,gwir
646,alt::A,хуучн,kozh
647,neu::A,шин,nevez
648,ehemalig::A,хуучн,kozh
649,alt[Lebewesen]::A,көгшн,kozh
650,jung::A,баһ,yaouank
651,arm::A,угатя,paour
652,reich::A,байн,pinvidik
653,bekannt::A,таньл,anavezet
654,bekannt::A,таньдг,anavezet
655,berühmt::A,туурсн,brudet
656,fremd::A,күүнә,dizanav
657,verschieden::A,әдл биш,disheñel
658,verschieden::A,йилһәтә,disheñel
659,nah::A,өөрхн,nes
660,fern::A,хол,diabell
661,linker::A,зүн,kleiz
662,rechter::A,барун,dehoù
663,anderer::A,талдан,all
664,erster::A,негдгч,kentañ
665,zweiter::A,хойрдгч,eil
666,dritter::A,һурвдгч,trede
667,letzter::A,отхн,diwezhañ
668,allein::ADV,һанцарн,e-unan
669,auf einmal::ADV,нег дәкҗ,ar un dro
670,zusammen::ADV,хамдан,asambles
671,lange::ADV,удан,pell
672,plötzlich::ADV,генткн,en un taol
673,sofort::ADV,дарунь,diouzhtu
674,später::ADV,сүүлд,diwezhatoc'h
675,jetzt::ADV,ода,bremañ
676,heute::ADV,эндр,hiziv
677,morgen::ADV,маңһдур,arc'hoazh
678,bald::ADV,дарунь,hepdale
679,dann::ADV,дәкәд,a-c'houde
680,gestern::ADV,өцклдүр,dec'h
681,einst::ADV,нег саамд,gwechall
682,damals::ADV,тиигхд,neuze
683,danach::ADV,тегәд,goude
684,vorher::ADV,урд,diagent
685,zuerst::ADV,түрүләд,da gentañ
686,einmal::ADV,нег дәкҗ,ur wech
687,manchmal::ADV,зәрмдән,a-wechoù
688,oft::ADV,хара биш,alies
689,oft::ADV,хатяр биш,alies
690,oft::ADV,дару-дарунь,alies
691,immer::ADV,оньдинд,atav
692,immer::ADV,оньдинд,bepred
693,niemals::ADV,кезә чмгн биш,gwech ebet
694,hier::ADV,энд,amañ
695,hier::ADV,энүнд,amañ
696,hierhin::ADV,нааран,dre amañ
697,von hier::ADV,эндәс,alemañ
698,dort::ADV,тенд,aze
699,dort::ADV,тенд,ahont
700,dorthin::ADV,тиигән,di
701,dorthin::ADV,тиигән,aze
702,dorthin::ADV,тиигән,ahont
703,geradeaus::ADV,шуд,war-eeun
704,vorwärts::ADV,уралан,war-raok
705,rückwärts::ADV,гедргән,war-lerc'h
706,zurück::ADV,хәрү,war-dreñv
707,unten::ADV,дор,en traoñ
708,hinab::ADV,дор,a-izel
709,hinab::ADV,доракшан,a-izel
710,oben::ADV,деер,en nec'h
711,hinauf::ADV,өөдән,e-krec'h
712,hinauf::ADV,деер,e-krec'h
713,überall::ADV,альд болв чигн,dre-holl
714,nicht::ADV,эс,ne ... ket
715,nicht::ADV,биш,ne ... ket
716,nicht::ADV,бичә,ne ... ket
717,ein wenig::ADV,баахн,un tammig
718,ein wenig::ADV,баахнар,un tammig
719,kaum::ADV,әрә,a-boan
720,sehr::ADV,йир,-tre
721,sehr::ADV,йир,-kenañ
722,so::ADV,иигҗ,evel-se
723,noch::ADV,ода чигн,c'hoazh
724,nur::ADV,һанцхн,hepken
725,schon::ADV,одх,dija
726,wieder::ADV,бас,adarre
727,vergebens::ADV,киидән,
728,vor::PRP,урд,dirak
729,hinter::PRP,ца,a-drek
730,hinter::PRP,ца,a-dreñv
731,unter::PRP,дор,dindan
732,durch::PRP,ивт,dre
733,durch::PRP,дундаһур,dre
734,neben::PRP,хаҗуд,e-kichen
735,zwischen::PRP,хоорнд,etre
736,wegen::PRP,көлтә,abalamour da
737,wegen::PRP,деерәс,abalamour da
738,dies::PRN,эн,hemañ
739,das::PRN,тер,se
740,das::PRN,тер,hennezh
741,alles::PRN,цуһар,pep tra
742,ich::PRN,би,me
743,du::PRN,чи,te
744,er::PRN,тер,eñ
745,wir::PRN,мадн,ni
746,ihr::PRN,та,c'hwi
747,sie::PRN,тедн,int
748,was::FPRN,юн,petra
749,wer::FPRN,кен,piv
750,wo::FADV,хама,pelec'h
751,wohin::FADV,хамаран,da belec'h
752,wie::FADV,яһҗ,penaos
753,wie::FADV,яһад,penaos
754,warum::FADV,юңгад,perak
755,wieviel::FNUM,кедү,pet
756,eins::NUM,негн,unan
757,zwei::NUM,хойр,daou
758,drei::NUM,һурвн,tri
759,vier::NUM,дөрвн,pevar
760,fünf::NUM,тавн,pemp
761,sechs::NUM,зурһан,c'hwec'h
762,sieben::NUM,долан,seizh
763,acht::NUM,нәәмн,eizh
764,neun::NUM,йисн,nav
765,zehn::NUM,арвн,dek
766,elf::NUM,арвн негн,unnek
767,zwölf::NUM,арвн хойр,daouzek
768,zwanzig::NUM,хөрн,ugent
769,dreißig::NUM,һучн,tregont
770,vierzig::NUM,дөчн,daou-ugent
771,fünfzig::NUM,тәвн,hanter-kant
772,sechzig::NUM,җирн,tri-ugent
773,siebzig::NUM,далн,dek ha tri-ugent
774,achtzig::NUM,найн,pevar-ugent
775,neunzig::NUM,йирн,dek ha pevar-ugent
776,hundert::NUM,зун,kant
777,tausend::NUM,миңһн,mil
778,und::CNJ,болн,ha
779,oder::CNJ,эс гиҗ,pe
780,oder::CNJ,эс гихлә,pe
781,stehen::V,зогсх,bezañ a-sav
782,sitzen::V,суух,azezañ
783,sitzen::V,суух,bezañ en e goazez
