,Concept_ID,ba,ga
164,Weide[Baum]::N,тал,saileach
165,Tanne::N,шыршы,giúis
166,Horn::N,мөғөҙ,adharc
167,Feder::N,ҡауырһын,cleite
168,Fell::N,тире,clúmh
169,Flügel::N,ҡанат,eite
170,Flügel::N,ҡанат,sciathán
171,Klaue::N,тырнаҡ,crúb
172,Klaue::N,тырнаҡ,crobh
173,Kralle::N,аяҡ,crobh
174,Schwanz::N,ҡойроҡ,eireaball
175,Ei::N,йомортҡа,ubh
176,Nest::N,оя,nead
177,Bau::N,оң,brocais
178,Tier::N,жайуан,ainmhí
179,Tier::N,жайуан,beithíoch
180,Tier::N,йыртҡыс,ainmhí
181,Tier::N,йыртҡыс,beithíoch
182,Herde::N,көтөү,tréad
183,Kuh::N,һыйыр,bó
184,Bulle::N,үгеҙ,tarbh
185,Pferd::N,ат,each
186,Pferd::N,ат,capall
187,Schaf::N,һарыҡ,caora
188,Schwein::N,сусҡа,muc
189,Hund::N,эт,madra
190,Katze::N,бесәй,cat
191,Bär::N,айыу,béar
192,Eichhörnchen::N,тейен,iora
193,Elch::N,мышы,eilc
194,Fuchs::N,төлкө,sionnach
195,Fuchs::N,төлкө,madra rua
196,Hase::N,ҡуян,giorria
197,Maus::N,сысҡан,luch
198,Wolf::N,бүре,mac tíre
199,Vogel::N,ҡош,éan
200,Schwarm::N,көтөү,saithe
201,Huhn::N,тауыҡ,cearc
202,Hahn::N,әтәс,coileach
203,Gans::N,ҡаҙ,gé
204,Adler::N,бөркөт,iolar
205,Ente::N,өйрәк,lacha
206,Eule::N,өкө,ulchabhán
207,Eule::N,ябалаҡ,ulchabhán
208,Kranich::N,торна,grús
209,Krähe::N,ҡарға,caróg
210,Krähe::N,ҡарға,préachán
211,Kuckuck::N,кәкүк,cuach
212,Schwan::N,аҡҡош,eala
213,Fisch::N,балыҡ,iasc
214,Barsch::N,алабуға,péirse
215,Hecht::N,суртан,liús
216,Schlange[Tier]::N,йылан,nathair
217,Wurm::N,селяүсен,péist
218,Spinne::N,үрмәксе,damhán alla
219,Ameise::N,ҡырмыҫҡа,seangán
220,Laus::N,бет,míol
221,Mücke::N,серәкәй,muiscít
222,Mücke::N,серәкәй,corrmhíol
223,Fliege::N,себен,cuil
224,Fliege::N,себен,cuileog
225,Schmetterling::N,күбәләк,féileacán
226,Beere::N,еләк,caor
227,Apfel::N,алма,úll
228,Pilz::N,бәшмәк,beacán
229,Pilz::N,бәшмәк,muisiriún
230,Zwiebel::N,һуган,oinniún
231,Saat::N,орлоҡ,síol
232,Korn::N,иген,gráinne
233,Heu::N,бесән,féar
234,Schale::N,ҡабыҡ,scaimh
235,Grube::N,соҡор,poll
236,Falle::N,тоҙак,gaiste
237,Falle::N,ҡапҡан,gaiste
238,Schlinge::N,тоҙак,sealán
239,Spur::N,әҫер,rian
240,Asche::N,көл,luaith
241,Dreck::N,батҡаҡ,salachar
242,Eisen::N,тимер,iarann
243,Gold::N,алтын,ór
244,Silber::N,көмөш,airgead
245,Kohle::N,күмер,gual
246,Glas::N,быяла,gloine
247,Lehm::N,балсыҡ,cré
248,Sand::N,ҡом,gaineamh
249,Mensch::N,кеше,duine
250,Mann::N,ир,fear
251,Frau::N,ҡатын,bean
252,Kind::N,бала,gasúr
253,Kind::N,бала,páiste
254,Junge::N,малай,buachaill
255,Mädchen::N,ҡыҙ,cailín
256,Mädchen::N,ҡыҙыҡай,cailín
257,Familie::N,ғаилә,teaghlach
258,Familie::N,ғаилә,comhluadar
259,Großvater::N,олатай,seanathair
260,Großmutter::N,әбәй,seanmháthair
261,Eltern::N,ата-әсә,tuismitheoirí
262,Vater::N,атай,athair
263,Mutter::N,әсә,máthair
264,Sohn::N,ул,mac
265,Tochter::N,ҡыҙ,iníon
266,Bruder::N,агай,deartháir
267,Schwester::N,алай,deirfiúr
268,Schwester::N,һеңле,deirfiúr
269,Onkel::N,ағай,uncail
270,Tante::N,апай,aintín
271,Ehemann::N,ир,fear céile
272,Ehefrau::N,ҡатын,bean chéile
273,Freude::N,шатлыҡ,áthas
274,Freude::N,ҡыуаныс,áthas
275,Gelächter::N,көлөү,gáire
276,Glück::N,бәхет,séan
277,Glück::N,бәхет,sonas
278,Kummer::N,ҡайғы,brón
279,Kummer::N,ҡайғы,buairt
280,Wunsch::N,теләк,guí
281,Wunsch::N,теләк,achainí
282,Lust::N,әүәҫлек,fonn
283,Geist::N,аң,meon
284,Geist::N,аң,spiorad
285,Geist::N,рух,meon
286,Geist::N,рух,spiorad
287,Gedanke::N,уй,smaoineamh
288,Gedanke::N,фекер,smaoineamh
289,Gedächtnis::N,хәтер,cuimhne
290,Verstand::N,аҡыл,ciall
291,Verstand::N,аҡыл,intinn
292,Sinn::N,мәғәня,brí
293,Sinn::N,мәғәня,ciall
294,Grund::N,сәбәп,fáth
295,Wahrheit::N,дөрөҫлөк,fírinne
296,Gespräch::N,әңгәмә,comhrá
297,Märchen::N,әкиәт,scéal
298,Erzählung::N,хикәйә,scéal
299,Nachricht::N,хәбәр,teachtaireacht
300,Neuigkeit::N,яңылыҡ,scéala
301,Name::N,исем,ainm
302,Rätsel::N,йомаҡ,tomhas
303,Rede::N,телмәр,óráid
304,Rede::N,телмәр,aitheasc
305,Sprache::N,тел,teanga
306,Sprache::N,телмәр,teanga
307,Stimme::N,тауыш,guth
308,Wort::N,һүҙ,focal
309,Zeichen::N,билдә,comhartha
310,Ruf::N,саҡырыу,glaoch
311,Lärm::N,шаулау,torann
312,Laut::N,тауыш,fuaim
313,Ton::N,яңғырау,ton
314,Lied::N,йыр,amhrán
315,Ruhe::N,ял,suaimhneas
316,Ruhe::N,тыныслыҡ,suaimhneas
317,Leute::N,кешеләр,muintir
318,Volk::N,халҡ,pobal
319,Arbeit::N,эш,obair
320,Gast::N,ҡунаҡ,aoi
321,Geschenk::N,бүләк,féirín
322,Geschenk::N,бүләк,bronntanas
323,Spiel::N,уйын,cluiche
324,Gesellschaft::N,йәмғиәт,comhluadar
325,Hilfe::N,ярҙам,cúnamh
326,Hilfe::N,ярҙам,cabhair
327,Freund::N,дуҫ,cara
328,Kamerad::N,иптәш,comrádaí
329,Angelegenheit::N,әш,ábhar
330,Anzahl::N,һан,líon
331,Art::N,төр,sórt
332,Art::N,төр,saghas
333,Stück::N,киҫәк,píosa
334,Teil::N,өлөш,cuid
335,Teil::N,өлөш,páirt
336,Hälfte::N,ярты,leath
337,Kreis::N,түңәрәк,ciorcal
338,Kreuz::N,тәре,cros
339,Linie::N,һыҙыҡ,líne
340,Strich::N,һыҙат,stríoc
341,Abstand::N,ара,achar
342,Entfernung::N,алыҫлыҡ,fad
343,Gegend::N,урын,ceantar
344,Platz::N,арауыҡ,áit
345,Platz::N,арауыҡ,spás
346,Ort::N,ерҙәр,áit
347,Ort::N,урындар,áit
348,Ort::N,эш урыны,áit
349,Seite::N,яҡ,taobh
350,Mitte::N,урталыҡ,lár
351,Gegenstand::N,нәмә,ball
352,Gegenstand::N,нәмә,ábhar
353,Sache::N,нәмә,ní
354,Sache::N,нәмә,rud
355,Sache::N,әйбер,ní
356,Sache::N,әйбер,rud
357,Rand::N,сит,imeall
358,Rand::N,сит,ciumhais
359,Kante::N,ҡабырға,corr
360,Kante::N,ҡабырға,colbha
361,Kante::N,ян,corr
362,Kante::N,ян,colbha
363,Ecke::N,мөйөш,coirnéal
364,Spitze::N,ос,gob
365,Spitze::N,ос,barr
366,Ende::N,аҙаҡ,ceann
367,Ende::N,аҙаҡ,foirceann
368,Loch::N,тишек,poll
369,Winkel::N,мөйөш,cúinne
370,Winkel::N,мөйөш,uillinn
371,Muster::N,биҙәк,patrún
372,Größe::N,ҙурлыҡ,méid
373,Größe::N,ҙурлыҡ,toise
374,Länge::N,оҙонлоҡ,fad
375,Höhe::N,бейеклек,airde
376,Gewicht::N,үлсәү,meáchan
377,Menge::N,һан,méid
378,Haufen::N,өйөм,cnap
379,Reihe::N,рәт,líne
380,Reihe::N,рәт,sraith
381,Boot::N,кәмә,bád
382,Ruder::N,ишкәк,rámh
383,Ruder::N,ишкәк,maide rámha
384,Schlitten::N,сана,carr sleamhnáin
385,Ski::N,саңгы,scí
386,Lagerfeuer::N,костер,tine champa
387,Last::N,ауырлыҡ,ualach
388,Gang::N,барыу,siúlóid
389,Schritt::N,аҙым,céim
390,Schritt::N,аҙым,coiscéim
391,Norden::N,төньяҡ,tuaisceart
392,Süden::N,көньяҡ,deisceart
393,Westen::N,көнбайыш,iarthar
394,Osten::N,көнсығыш,oirthear
395,Holz::N,үағас,adhmad
396,Brett::N,таҡта,clár
397,Platte::N,плита,leac
398,Stütze::N,терәк,taca
399,Stange::N,кәртә,polla
400,Stange::N,кәртә,cuaille
401,Stock::N,таяҡ,bata
402,Stock::N,таяҡ,maide
403,Stab::N,ҡолға,maide
404,Stab::N,ҡолға,bachall
405,Rohr::N,торба,píopa
406,Haus::N,өй,teach
407,Haus::N,йорт,teach
408,Heim::N,өй,baile
409,Ofen::N,мейес,sornóg
410,Fußboden::N,енес,urlár
411,Tisch::N,өҫтәл,bord
412,Tisch::N,өҫтәл,tábla
413,Stuhl::N,ултырғыс,cathaoir
414,Wiege::N,бишек,cliabhán
415,Bett::N,карауат,leaba
416,Regal::N,кәштә,seilf
417,Kiste::N,йәшинк,bosca
418,Fenster::N,тәҙрә,fuinneoig
419,Tür::N,ишек,doras
420,Tor::N,ҡапҡа,geata
421,Zaun::N,ҡойма,fál
422,Zaun::N,ҡойма,claí
423,Dach::N,түбә,díon
424,Dach::N,ҡыйыҡ,díon
425,Leiter::N,баҫҡыс,dréimire
426,Besen::N,һепертке,scuab
427,Spaten::N,көрәк,spád
428,Spaten::N,көрәк,rámhainn
429,Schaufel::N,көрәк,sluasaid
430,Gabel::N,сәнске,forc
431,Gabel::N,сәнске,gabhlóg
432,Löffel::N,ҡалаҡ,spúnóg
433,Messer::N,бысаҡ,scian
434,Nagel::N,сөй,tairne
435,Netz::N,ау,líon
436,Netz::N,ау,eangach
437,Haken::N,ыргаҡ,croch
438,Griff::N,тотҡа,cos
439,Griff::N,тотҡа,hanla
440,Schloss::N,йоҙаҡ,glas
441,Bild::N,картина,pictiúr
442,Figur::N,һын,fíor
443,Puppe::N,ҡурсаҡ,bábóg
444,Beutel::N,тоҡ,mála
445,Beutel::N,тоҡ,mealbhóg
446,Bündel::N,төргәк,beart
447,Tasche::N,сумка,mála
448,Eimer::N,биҙрә,buicéad
449,Deckel::N,ҡапҡас,clár
450,Deckel::N,ҡапҡас,claibín
451,Geschirr::N,һауыт-һаба,soithí
452,Geschirr::N,һауыт-һаба,gréithe
453,Sack::N,тоҡ,sac
454,Sack::N,тоҡ,mála
455,Tasse::N,сынаяҡ,cupán
456,Topf::N,кәстрүл,pota
457,Kessel::N,ҡаҙан,citeal
458,Essen::N,ашау,béile
459,Nahrung::N,аҙыҡ,bia
460,Speise::N,аш,mias
461,Fleisch::N,ит,feoil
462,Getreide::N,иген,grán
463,Getreide::N,иген,arbhar
464,Getreide::N,ашлыҡ,grán
465,Getreide::N,ашлыҡ,arbhar
466,Brei::N,бутҡа,brúitín
467,Brot::N,икмәк,arán
468,Scheibe::N,телем,píosa
469,Scheibe::N,телем,slisne
470,Fett::N,май,saill
471,Fett::N,май,méathras
472,Butter::N,май,im
473,Öl::N,май буяуы,ola
474,Salz::N,тоҙ,salann
475,Suppe::N,һурпа,sú
476,Suppe::N,һурпа,anraith
477,Honig::N,бал,mil
478,Milch::N,һөт,bainne
479,Tee::N,сәй,tae
480,Leder::N,күн,leathar
481,Wolle::N,йөн,olann
482,Stoff::N,туҡыма,éadach
483,Nadel::N,энә,snáthaid
484,Faden::N,еп,snáth
485,Knopf::N,төймә,cnaipe
486,Knoten::N,төйөн,snaidhm
487,Farbe::N,буяу,péint
488,Kleidung::N,кейем,éadaí
489,Hemd::N,күлдәк,léine
490,Kragen::N,яға,bóna
491,Ärmel::N,ең,muinchille
492,Hose::N,салбар,bríste
493,Hose::N,салбар,treabhsar
494,Gürtel::N,ҡайыш,crios
495,Mütze::N,бүрк,caipín
496,Schuh::N,туфли,bróg
497,Stiefel::N,итек,buatais
498,Ring::N,йөҙөк,fáinne
499,Ring::N,балдаҡ,fáinne
500,Band::N,таҫма,ribín
501,Kamm::N,тараҡ,cíor
502,Spiegel::N,көзгө,scáthán
503,Riemen::N,ҡайыш,iall
504,Riemen::N,ҡайыш,strapa
505,Schnur::N,бау,téad
506,Schnur::N,бау,sreangán
507,Leine::N,бау,iall
508,Decke::N,одеяд,pluid
509,Decke::N,одеяд,blaincéad
510,Kissen::N,мендәр,piliúr
511,Kissen::N,мендәр,adhartán
512,Tuch::N,яулыҡ,scaif
513,Handtuch::N,таҫтамал,tuáille
514,Kraft::N,көс,fórsa
515,Stärke::N,көс,neart
516,Gesundheit::N,һаулыҡ,sláinte
517,Krankheit::N,сир,tinneas
518,Krankheit::N,сир,breoiteacht
519,Krankheit::N,ауырыу,tinneas
520,Krankheit::N,ауырыу,breoiteacht
521,Schmerz::N,һыҙлау,pian
522,Schmerz::N,әрнеү,pian
523,Wunde::N,йәрәхәт,goin
524,Fieber::N,тапма,fiabhras
525,Fieber::N,биҙгәк,fiabhras
526,Arznei::N,дарыу,cógas
527,Brücke::N,күпер,droichead
528,Brunnen::N,ҡоҙоҡ,tobar
529,Weide::N,көтөүлек,féarach
530,Pfad::N,һуҡмаҡ,cosán
531,Pfad::N,һуҡмаҡ,conair
532,Weg::N,юл,slí
533,Weg::N,юл,bealach
534,Straße::N,урам,bóthar
535,Dorf::N,ауыл,sráidbhaile
536,Stadt::N,ҡала,baile
537,Stadt::N,ҡала,cathair
538,Brief::N,хат,litir
539,Buch::N,китап,cín
540,Buch::N,китап,leabhar
541,Buch::N,кенәгә,cín
542,Buch::N,кенәгә,leabhar
543,Buchstabe::N,хәреф,litir
544,Zeitung::N,гәзит,nuachtán
545,Leben::N,йәшәү,saol
546,Leben::N,йәшәү,beatha
547,Tod::N,үлем,bás
548,Grab::N,ҡәбер,uaigh
549,Kirche::N,сиркәү,eaglais
550,Sünde::N,гөнаһ,peaca
551,Gott::N,алла,dia
552,Gott::N,хоҙай,dia
553,Arbeiter::N,эшсе,oibrí
554,Chef::N,башлыҡ,saoiste
555,Chef::N,башлыҡ,ceannasaí
556,Meister::N,оҫта,máistir
557,Arzt::N,врач,lia
558,Arzt::N,врач,dochtúir
559,Lehrer::N,уҡытыусы,oide
560,Lehrer::N,уҡытыусы,múinteoir
561,Geld::N,аҡса,airgead
562,Geschäft::N,эш,gnó
563,Laden::N,магазин,siopa
564,Preis::N,хаҡ,praghas
565,Ware::N,тауар,earra
566,Nutzen::N,файҙа,tairbhe
567,Reichtum::N,байлыҡ,rachmas
568,Reichtum::N,байлыҡ,saibhreas
569,Welt::N,донъя,domhan
570,Land::N,ил,tír
571,Staat::N,дәүләт,stát
572,König::N,король,rí
573,Macht::N,власть,cumhacht
574,Grenze::N,сик,críoch
575,Grenze::N,сик,teorainn
576,Krieg::N,һуғыш,cogadh
577,Feind::N,йылан,namhaid
578,Gewalt::N,көслөк,foréigean
579,Kampf::N,көрәш,troid
580,Bogen[Waffe]::N,йәйә,bogha
581,Pfeil::N,уҡ,saighead
582,Gewehr::N,мылтыҡ,gunna
583,Fehler::N,хата,botún
584,Fehler::N,хата,meancóg
585,Lüge::N,ялған,bréag
586,Lüge::N,ялған,éitheach
587,Schaden::N,зыян,dochar
588,Schaden::N,зыян,damáiste
589,Schaden::N,зарар,dochar
590,Schaden::N,зарар,damáiste
591,Unglück::N,ҡаза,drochrath
592,Schuld::N,ғәйеп,locht
593,Schuld::N,ғәйеп,milleán
594,Alter::N,йәш,aois
595,Schluss::N,һуң,deireadh
596,Schluss::N,аҙаҡ,deireadh
597,Zeit::N,мәл,am
598,Zeit::N,мәл,aimsir
599,Zeit::N,заман,am
600,Zeit::N,заман,aimsir
601,Tag::N,көн,lá
602,Morgen::N,иртә,maidin
603,Morgen::N,иртәнсәк,maidin
604,Mittag::N,төш,nóin
605,Abend::N,кис,tráthnóna
606,Nacht::N,төн,oíche
607,Woche::N,аҙна,seachtain
608,Monat::N,ай,mí
609,Jahr::N,йыл,bliain
610,Frühling::N,яҙ,earrach
611,Sommer::N,йәй,samhradh
612,Herbst::N,көз,fómhar
613,Winter::N,ҡыш,geimhreadh
614,Januar::N,ғинуар,Eanáir
615,Februar::N,февраль,Feabhra
616,März::N,март,Márta
617,April::N,апрель,Aibreán
618,Mai::N,май,Bealtaine
619,Juni::N,июнь,Meitheamh
620,Juli::N,июль,Iúil
621,August::N,август,Lúnasa
622,September::N,сентябрь,Meán Fómhair
623,Oktober::N,октябрь,Deireadh Fómhair
624,November::N,ноябрь,Samhain
625,November::N,ноябрь,Mí na Samhna
626,Dezember::N,декабрь,Mí na Nollag
627,Montag::N,дүшәмбе,Luan
628,Montag::N,дүшәмбе,Dé Luain
629,Dienstag::N,шишәмбе,Máirt
630,Dienstag::N,шишәмбе,Dé Máirt
631,Mittwoch::N,шаршамбы,Céadaoin
632,Mittwoch::N,шаршамбы,Dé Céadaoin
633,Donnerstag::N,кесаҙна,Déardaoin
634,Freitag::N,йома,Aoine
635,Freitag::N,йома,Dé hAoine
636,Samstag::N,шәмбе,Satharn
637,Samstag::N,шәмбе,Dé Sathairn
638,Sonntag::N,йәкшәмбе,Domhnach
639,Sonntag::N,йәкшәмбе,Dé Domhnaigh
640,groß::A,ҙур,mór
641,klein::A,бәләкәс,beag
642,lang::A,оҙон,fada
643,kurz::A,ҡыҫҡа,gearr
644,kurz::A,ҡыҫҡа,gairid
645,breit::A,киң,leathan
646,breit::A,киң,fairsing
647,schmal::A,тар,cúng
648,dicht::A,йыш,dlúth
649,dicht::A,ҡуйы,dlúth
650,dick[Gegenstand]::A,ҡалын,tiubh
651,dünn::A,йоҡа,caol
652,dünn::A,йоҡа,tanaí
653,dünn::A,нәҙек,caol
654,dünn::A,нәҙек,tanaí
655,fein::A,нескә,scáinte
656,fein::A,нескә,fíneálta
657,fest::A,ныҡ,daingean
658,flach::A,яҫы,cothrom
659,flach::A,ялпаҡ,cothrom
660,glatt::A,шыма,mín
661,glatt::A,шыма,sleamhain
662,hart::A,ҡаты,crua
663,weich::A,йомшаҡ,bog
664,rund::A,түңәрәк,cruinn
665,spitz::A,осло түбәле,gobach
666,spitz::A,осло түбәле,biorach
667,scharf::A,үткер,géar
668,scharf::A,үткер,faobhrach
669,stumpf::A,утмәҫ,maol
670,schwer::A,ауыр,trom
671,schön::A,матур,álainn
672,heiß::A,эҫе,te
673,warm::A,йылы,te
674,kalt::A,һыуыҡ,fuar
675,kühl::A,һалҡынса,fionnuar
676,frisch::A,һалҡынса,úr
677,frisch::A,һалҡынса,friseáilte
678,feucht::A,еүеш,tais
679,feucht::A,дымлы,tais
680,nass::A,еүеш,fliuch
681,trocken::A,кипкән,tirim
682,voll::A,тулы,lán
683,leer::A,буш,folamh
684,offen::A,асыҡ,oscailte
685,geschlossen::A,ябыҡ,dúnta
686,geschlossen::A,ябыҡ,druidte
687,sauber::A,таҙа,glan
688,schmutzig::A,бысраҡ,salach
689,roh::A,сей,amh
690,reif::A,өлгөрғән,aibí
691,lecker::A,тәмле,blasta
692,süß::A,тямле,milis
693,süß::A,тәм-том,milis
694,bitter::A,әсе,searbh
695,sauer::A,әсе,géar
696,sauer::A,әсе,searbh
697,hell::A,яҡты,geal
698,hell::A,яҡты,soilseach
699,dunkel::A,ҡараңғы,dorcha
700,schwarz::A,ҡара,dubh
701,weiß::A,аҡ,bán
702,rot::A,матур,dearg
703,rot::A,һылыу,dearg
704,rot::A,сибәр,dearg
705,gelb::A,һары,buí
706,blau::A,күк,gorm
707,grün::A,йәшел,glas
708,grün::A,йәшел,uaine
709,grau::A,буҙ,liath
710,bunt::A,сыбар,ildathach
711,bunt::A,сыбар,dathannach
712,bunt::A,ала-ҡола,ildathach
713,bunt::A,ала-ҡола,dathannach
714,billig::A,арзан,saor
715,teuer::A,ҡыйбатлы,daor
716,teuer::A,ҡыйбатлы,costasach
717,wertvoll::A,ҡиммәтле,luachmhar
718,blind::A,һуҡыр,dall
719,blind::A,һуҡыр,caoch
720,taub::A,һаңғырау,bodhar
721,kräftig::A,көслө,cumhachtach
722,kräftig::A,ҡеүәтле,cumhachtach
723,stark::A,көслө,tréan
724,stark::A,көслө,láidir
725,stark::A,ҡеүәтле,tréan
726,stark::A,ҡеүәтле,láidir
727,schwach::A,көсһөҙ,lag
728,schwach::A,көсһөҙ,fann
729,fett::A,һимеҙ,ramhar
730,schlank::A,зифа,caol
731,schlank::A,зифа,seang
732,hübsch::A,матур,álainn
733,hübsch::A,матур,dathúil
734,böse::A,асыулы,olc
735,dumm::A,иҫәр,dúr
736,dumm::A,иҫәр,amaideach
737,faul::A,иренсәк,falsa
738,faul::A,иренсәк,leisciúil
739,fleißig::A,тырыш,dícheallach
740,geizig::A,һаран,barainneach
741,geizig::A,һаран,sprionlaithe
742,klug::A,аҡыллы,cliste
743,geschickt::A,оҫта,oilte
744,geschickt::A,оҫта,ealaíonta
745,lieb::A,яғымлы,dil
746,lieb::A,яғымлы,dílis
747,lustig::A,күңелле,aerach
748,lustig::A,күңелле,meidhreach
749,sanft::A,йыуаш,bog
750,sanft::A,йыуаш,séimh
751,hungrig::A,ас,ocrach
752,krank::A,сирле,tinn
753,krank::A,сирле,breoite
754,krank::A,ауырыу,tinn
755,krank::A,ауырыу,breoite
756,nackt::A,яланғас,nocht
757,traurig::A,яманһыу,brónach
758,lebendig::A,тере,beo
759,lebendig::A,йәнле,beo
760,gut::A,яҡшы,maith
761,schlecht::A,хөрт,dona
762,schlecht::A,хөрт,droch-
763,schlecht::A,алама,dona
764,schlecht::A,алама,droch-
