,Concept_ID,ml,cv
364,Heim::N,വീട്,кил
365,Ofen::N,സ്റ്റൌ,кӑмака
366,Fußboden::N,തറ,урай
367,Tisch::N,മേശ,сӗтел
368,Stuhl::N,കസേര,пукан
369,Wiege::N,തൊട്ടിൽ,сӑпка
370,Bett::N,കിടക്ക,кравать
371,Regal::N,ഷെൽഫ്,ҫӳлӗк
372,Regal::N,ഷെൽഫ്,сентре
373,Kiste::N,പെട്ടി,ещӗк
374,Kiste::N,പെട്ടി,сунтӑх
375,Fenster::N,ജനൽ,чӳрече
376,Tür::N,വാതിൽ,алӑк
377,Tor::N,കവാടം,хапха
378,Zaun::N,വേലി,хӳме
379,Dach::N,മേൽക്കുര,тӑрӑ
380,Leiter::N,ഏണി,пусма
381,Besen::N,ചൂല്,шӑпӑр
382,Spaten::N,തൂമ്പ,кӗреҫе
383,Schaufel::N,തൂമ്പ,кӗреҫе
384,Gabel::N,മുൾക്കത്തി,вилка
385,Löffel::N,സ്പൂൺ,кашӑк
386,Messer::N,കത്തി,ҫӗҫӗ
387,Nagel::N,ആണി,пӑта
388,Netz::N,വല,тетел
389,Haken::N,കൊളുത്ത്,йӑрхах
390,Haken::N,കൊളുത്ത്,ҫекӗл
391,Griff::N,കൈപ്പിടി,хӑлӑп
392,Schloss::N,പൂട്ട്,ҫӑра
393,Bild::N,ചിത്രം,сӑн
394,Bild::N,ചിത്രം,сӑнлӑх
395,Bild::N,ചിത്രം,картина
396,Figur::N,കണക്ക്,кӗлетке
397,Puppe::N,പാവ,пукане
398,Beutel::N,ബാഗ്,михӗ
399,Bündel::N,കെട്ട്,ҫыхӑ
400,Bündel::N,കെട്ട്,тӗрке
401,Tasche::N,ബാഗ്,сумка
402,Eimer::N,ബക്കറ്റ്,витре
403,Deckel::N,ഉറ,хупӑ
404,Geschirr::N,പിഞ്ഞാണം,савӑт-сапа
405,Sack::N,ചാക്ക്,михӗ
406,Tasse::N,കപ്പ്,курка
407,Topf::N,പാത്രം,кастрюль
408,Kessel::N,കെറ്റ്ല്,хуран
409,Essen::N,ആഹാരസമയം,апат
410,Nahrung::N,ഭക്ഷണം,апат-ҫимӗс
411,Speise::N,ഡിഷ്,апат
412,Speise::N,ഡിഷ്,ҫимӗҫ
413,Fleisch::N,മാംസം,аш
414,Fleisch::N,മാംസം,какай
415,Getreide::N,ചോളം,тырӑ
416,Brei::N,കഞ്ഞി,пӑтӑ
417,Brot::N,റോട്ടി,ҫӑкӑр
418,Scheibe::N,തുണ്ട്,чӗлӗ
419,Scheibe::N,തുണ്ട്,касӑк
420,Fett::N,കൊഴുപ്പ്,ҫу
421,Butter::N,വെണ്ണ,ҫу
422,Öl::N,എണ്ണ,ҫу
423,Salz::N,ഉപ്പ്,тӑвар
424,Suppe::N,സൂപ്പ്,яшка
425,Honig::N,തേൻ,пыл
426,Milch::N,പാൽ,сӗт
427,Tee::N,ചായ,чей
428,Leder::N,തുകൽ,сӑран
429,Wolle::N,കമ്പിളി,ҫӑм
430,Stoff::N,തുണി,тӗртӗм
431,Nadel::N,സൂചി,йӗп
432,Faden::N,നൂല്,ҫип
433,Knopf::N,ബട്ടൺ,тӳме
434,Knoten::N,കുരുക്ക്,йӑлӑ
435,Farbe::N,പെയിൻറ്,сӑрӑ
436,Kleidung::N,വസ്ത്രങ്ങൾ,тум
437,Kleidung::N,വസ്ത്രങ്ങൾ,ҫипуҫ
438,Kleidung::N,വസ്ത്രങ്ങൾ,тум-тир
439,Hemd::N,ഷർട്ട്,кӗпе
440,Kragen::N,കുപ്പായക്കഴുത്ത്,ҫуха
441,Ärmel::N,കുപ്പായക്കൈ,ҫанӑ
442,Hose::N,ട്രൌസർ,шӑлавар
443,Gürtel::N,ബെൽറ്റ്,пиҫиххи
444,Mütze::N,തൊപ്പി,ҫӗлӗк
445,Schuh::N,ഷൂ,пушмак
446,Schuh::N,ഷൂ,ботинок
447,Stiefel::N,ബൂട്ട്,атӑ
448,Ring::N,മോതിരം,ҫӗрӗ
449,Band::N,റിബൺ,хаю
450,Band::N,റിബൺ,йӗсме
451,Kamm::N,ചീപ്പ്,тура
452,Spiegel::N,കണ്ണാടി,тӗкӗр
453,Spiegel::N,കണ്ണാടി,куҫ кӗски
454,Riemen::N,സ്ട്രാപ്പ്,чӗн
455,Schnur::N,ചരട്,кантра
456,Leine::N,കെട്ടാനുള്ള തോൽവാർ,касмӑк
457,Decke::N,പുതപ്പ്,утиял
458,Kissen::N,തലയിണ,ҫытар
459,Kissen::N,തലയിണ,минтер
460,Tuch::N,സ്കാർഫ്,тутӑр
461,Handtuch::N,തോർത്ത്,ал шӑлли
462,Kraft::N,ശക്തി,вӑй
463,Kraft::N,ശക്തി,хӑват
464,Stärke::N,ശക്തി,хал
465,Stärke::N,ശക്തി,хӑват
466,Gesundheit::N,ആരോഗ്യം,хал
467,Gesundheit::N,ആരോഗ്യം,сывлӑх
468,Krankheit::N,അസുഖം,чир
469,Schmerz::N,വേദന,ырату
470,Wunde::N,മുറിവ്,суран
471,Fieber::N,പനി,сив чир
472,Arznei::N,മരുന്ന്,эмел
473,Brücke::N,പാലം,кӗпер
474,Brunnen::N,കിണർ,ҫӑл
475,Brunnen::N,കിണർ,пусӑ
476,Weide::N,മേച്ചൽ,ҫаран
477,Pfad::N,വഴി,йӗр
478,Pfad::N,വഴി,сукмак
479,Weg::N,വഴി,ҫул
480,Weg::N,വഴി,ҫул-йӗр
481,Straße::N,റോഡ്,ҫӳрев
482,Straße::N,റോഡ്,ҫул ҫӳрени
483,Dorf::N,ഗ്രാമം,ял
484,Stadt::N,നഗരം,хула
485,Brief::N,കത്ത്,ҫыру
486,Buch::N,പുസ്തകം,кӗнеке
487,Buchstabe::N,അക്ഷരം,сас палли
488,Zeitung::N,വർത്തമാനപത്രം,хаҫат
489,Leben::N,ജീവൻ,пурнӑҫ
490,Tod::N,മരണം,вилӗм
491,Grab::N,ശവക്കുഴി,масар шӑтӑкӗ
492,Kirche::N,പള്ളി,чиркӳ
493,Sünde::N,പാപം,ҫылӑх
494,Gott::N,ദൈവം,турӑ
495,Arbeiter::N,ജോലിക്കാരൻ,рабочи
496,Chef::N,മേധാവി,пуҫлӑх
497,Meister::N,യജമാനൻ,ӑста
498,Meister::N,യജമാനൻ,мастер
499,Arzt::N,ഡോക്ടർ,врач
500,Arzt::N,ഡോക്ടർ,тухтӑр
501,Lehrer::N,അധ്യാപകൻ,учитель
502,Lehrer::N,അധ്യാപകൻ,вӗрентекен
503,Geld::N,പണം,укҫа
504,Geschäft::N,ബിസിനസ്,бизнес
505,Laden::N,കട,магазин
506,Preis::N,വില,хак
507,Ware::N,ചരക്ക്,тавар
508,Nutzen::N,ലാഭം,пайта
509,Reichtum::N,ധനം,мул
510,Welt::N,ലോകം,тӗнче
511,Land::N,രാജ്യം,ҫӗр-шыв
512,Staat::N,രാജ്യം,патшàлӑх
513,König::N,രാജാവ്,король
514,Macht::N,അധികാരം,власть
515,Grenze::N,അതിർത്തി,чикӗ
516,Krieg::N,യുദ്ധം,вӑрҫӑ
517,Feind::N,ശത്രു,тӑшман
518,Gewalt::N,അക്രമം,ирӗксӗрлӳ
519,Kampf::N,പോരാട്ടം,кӗрешӳ
520,Bogen[Waffe]::N,വില്ല്,ухӑ
521,Pfeil::N,അമ്പ്,ҫӗмрен
522,Pfeil::N,അമ്പ്,ухӑ йӗппи
523,Gewehr::N,തോക്ക്,пӑшал
524,Fehler::N,പിശക്,йӑнӑш
525,Lüge::N,കള്ളം,суя
526,Lüge::N,കള്ളം,ултав
527,Schaden::N,കേടുപാട്,сиен
528,Unglück::N,ദൌർഭാഗ്യം,шар
529,Unglück::N,ദൌർഭാഗ്യം,инкек
530,Schuld::N,തെറ്റ്,айӑп
531,Alter::N,വയസ്സ്,ҫул шучӗ
532,Schluss::N,നിഗമനം,пӗтни
533,Schluss::N,നിഗമനം,пӗтмӗш
534,Zeit::N,സമയം,вӑхӑт
535,Tag::N,ദിവസം,кун
536,Morgen::N,പ്രഭാതം,ир
537,Mittag::N,ഉച്ച,кӑнтӑрла
538,Abend::N,സായാഹ്നം,каҫ
539,Nacht::N,രാത്രി,каҫ
540,Woche::N,ആഴ്ച,эрне
541,Monat::N,മാസം,уйӑх
542,Jahr::N,വർഷം,ҫулталӑк
543,Frühling::N,വസന്തം,ҫур
544,Frühling::N,വസന്തം,ҫуркунне
545,Sommer::N,വേനൽ,ҫу
546,Sommer::N,വേനൽ,ҫулла
547,Herbst::N,ശരത്കാലം,кӗр
548,Herbst::N,ശരത്കാലം,кӗркунне
549,Winter::N,ശൈത്യം,хӗл
550,Winter::N,ശൈത്യം,хӗлле
551,Januar::N,ജനുവരി,январь
552,Februar::N,ഫെബ്രുവരി,февраль
553,Februar::N,ഫെബ്രുവരി,кӗҫӗн кӑрлач
554,März::N,മാർച്ച്,март
555,März::N,മാർച്ച്,пуш уйӑхӗ
556,April::N,ഏപ്രിൾ മാസം,апрель
557,Mai::N,മെയ് മാസം,май
558,Juni::N,ജൂൺ,июнь
559,Juli::N,ജൂലൈ,июль
560,August::N,ആഗസ്റ്റ്,август
561,September::N,സെപ്തംബർ,сентябрь
562,September::N,സെപ്തംബർ,авӑн уйӑхӗ
563,Oktober::N,ഒക്ടോബർ,октябрь
564,November::N,നവംബർ,ноябрь
565,Dezember::N,ഡിസംബർ,раштав
566,Dezember::N,ഡിസംബർ,декабрь
567,Montag::N,തിങ്കളാഴ്ച,тунти кун
568,Dienstag::N,ചൊവ്വ,ытлари кун
569,Mittwoch::N,ബുധനാഴ്ച,юн кун
570,Donnerstag::N,വ്യാഴാഴ്ച,кӗҫнерни кун
571,Freitag::N,വെള്ളിയാഴ്ച,эрне кун
572,Samstag::N,ശനിയാഴ്ച,шӑмат кун
573,Sonntag::N,ഞായറാഴ്ച,вырсарни кун
574,groß::A,വലിയ,пысӑк
575,klein::A,ചെറിയ,пӗчӗк
576,lang::A,നീണ്ട,вӑрӑм
577,kurz::A,ഹ്രസ്വമായ,кӗске
578,breit::A,വിശാലമായ,сарлака
579,schmal::A,ഇടുങ്ങിയ,ансӑр
580,dicht::A,നിബിഡമായ,йӑвӑ
581,dick[Gegenstand]::A,തടിച്ച,хулӑн
582,dünn::A,മെലിഞ്ഞ,ҫинҫе
583,dünn::A,മെലിഞ്ഞ,ҫӳхе
584,fein::A,നേർത്ത,тарай
585,fein::A,നേർത്ത,вӗлтӗрти
586,fest::A,ഉറപ്പുള്ള,тӗреклӗ
587,flach::A,പരന്ന,лаптак
588,glatt::A,മിനുസമുള്ള,такӑр
589,hart::A,കട്ടിയുള്ള,хытӑ
