,Concept_ID,kn,uk
127,Fell::N,ರೋಮ,хутро
128,Flügel::N,ರೆಕ್ಕೆ,крило
129,Klaue::N,ಪಂಜ,кіготь
130,Kralle::N,ಉಗುರು,лапа
131,Schwanz::N,ಬಾಲ,хвіст
132,Ei::N,ಮೊಟ್ಟೆ,яйце
133,Nest::N,ಗೂಡು,гніздо
134,Bau::N,ಅಡಗುದಾಣ,лігво
135,Tier::N,ಪ್ರಾಣಿ,тварина
136,Herde::N,ಗುಂಪು,стадо
137,Kuh::N,ಹಸು,корова
138,Bulle::N,ಗೂಳಿ,бик
139,Bulle::N,ಗೂಳಿ,бугай
140,Pferd::N,ಕುದುರೆ,кінь
141,Schaf::N,ಕುರಿ,вівця
142,Schwein::N,ಹಂದಿ,свиня
143,Hund::N,ನಾಯಿ,собака
144,Katze::N,ಬೆಕ್ಕು,кішка
145,Bär::N,ಕರಡಿ,ведмідь
146,Eichhörnchen::N,ಉಡುತೆ,білка
147,Elch::N,ಕಡವೆ,лось
148,Fuchs::N,ನರಿ,лисиця
149,Hase::N,ಮೊಲ,заєць
150,Maus::N,ಇಲಿ,миша
151,Wolf::N,ತೋಳ,вовк
152,Vogel::N,ಪಕ್ಷಿ,птах
153,Schwarm::N,ಗುಂಪು,зграя
154,Huhn::N,ಚಿಕ್,курка
155,Hahn::N,ಹುಂಜ,півень
156,Gans::N,ವರಟೆ,гуска
157,Adler::N,ಗರುಡ,орел
158,Ente::N,ಬಾತು,качка
159,Eule::N,ಗೂಬೆ,сова
160,Kranich::N,ಕೊಕ್ಕರ,журавель
161,Krähe::N,ಕಾಗೆ,ворона
162,Kuckuck::N,ಕೋಗಿಲೆ,зозуля
163,Schwan::N,ಹಂಸಪಕ್ಷಿ,лебідь
164,Fisch::N,ಮೀನು,риба
165,Barsch::N,ಪರ್ಚ್ ಮೀನು,окунь
166,Hecht::N,ಪೈಕ್ ಮೀನು,щука
167,Schlange[Tier]::N,ಹಾವು,змія
168,Wurm::N,ಹುಳು,черв’як
169,Spinne::N,ಊರ್ಣನಾಭ,павук
170,Ameise::N,ಇರುವೆ,мурашка
171,Laus::N,ಹೇನು,воша
172,Mücke::N,ಸೊಳ್ಳೆ,комар
173,Fliege::N,ನೊಣ,муха
174,Schmetterling::N,ಪತಂಗ,метелик
175,Beere::N,ನಯವಣ್ಣು,ягода
176,Apfel::N,ಸೇಬು,яблуко
177,Pilz::N,ಅಣಬೆ,гриб
178,Zwiebel::N,ನೀರುಳ್ಳಿ,цибуля
179,Saat::N,ಬಿತ್ತ,сім’я
180,Korn::N,ಬೀಜ,зерно
181,Heu::N,ಕರಡ,сіно
182,Schale::N,ಹೊಟ್ಟು,шкірка
183,Grube::N,ಗುಂಡಿ,яма
184,Falle::N,ಬೋನು,пастка
185,Schlinge::N,ಉರುಲು,петля
186,Spur::N,ಜಾಡು,слід
187,Asche::N,ಬೂದಿ,зола
188,Asche::N,ಬೂದಿ,попіл
189,Dreck::N,ಹೊಲಸು,бруд
190,Eisen::N,ಕಬ್ಬಿಣ,залізо
191,Gold::N,ಚಿನ್ನ,золото
192,Silber::N,ಬೆಳ್ಳಿ,срібло
193,Kohle::N,ಕಲ್ಲಿದ್ದಲು,вугілля
194,Glas::N,ಗಾಜು,скло
195,Lehm::N,ಜೇಡಿಮಣ್ಣು,глина
196,Sand::N,ಮರಳು,пісок
197,Mensch::N,ಪುರುಷ,людина
198,Mann::N,ಆಳು,чоловік
199,Frau::N,ಹೆಣ್ಣು,жінка
200,Kind::N,ಮಗು,дитина
201,Junge::N,ಹುಡುಗ,хлопець
202,Mädchen::N,ಹುಡುಗಿ,дівчина
203,Familie::N,ಕುಟುಂಬ,сім’я
204,Familie::N,ಕುಟುಂಬ,родина
205,Großvater::N,ಅಜ್ಜ,дідусь
206,Großmutter::N,ಅಮ್ಮ,бабуся
207,Eltern::N,ಹೆತ್ತವರು,батьки
208,Vater::N,ತಂದೆ,батько
209,Mutter::N,ಅಮ್ಮ,мати
210,Sohn::N,ಮಗ ,син
211,Tochter::N,ಮಗಳು,дочка
212,Bruder::N,ತಮ್ಮ,брат
213,Schwester::N,ತಂಗಿ,сестра
214,Onkel::N,ಸೋದರಮಾವ,дядько
215,Onkel::N,ದೊಡ್ಡಪ್ಪ,дядько
216,Tante::N,ಚಿಕ್ಕಮ್ಮ,тітка
217,Ehemann::N,ಗಂಡ,чоловік
218,Ehefrau::N,ಹೆಂಡತಿ,жінка
219,Ehefrau::N,ಹೆಂಡತಿ,дружина
220,Freude::N,ನಲಿವು,радощі
221,Gelächter::N,ನಗೆ,сміх
222,Glück::N,ಆನಂದ,щастя
223,Kummer::N,ದುಃಖ,горе
224,Wunsch::N,ಬಯಕೆ,бажання
225,Lust::N,ಇಷ್ಟ,бажання
226,Geist::N,ಆತ್ಮ,дух
227,Gedanke::N,ಯೋಚನೆ,думка
228,Gedächtnis::N,ಸ್ಮರಣೆ,пам’ять
229,Verstand::N,ಮನಸ್ಸು,розум
230,Sinn::N,ಅರ್ಥ,зміст
231,Sinn::N,ಅರ್ಥ,значення
232,Grund::N,ಕಾರಣ,причина
233,Wahrheit::N,ಸತ್ಯ,правда
234,Gespräch::N,ಸಂಭಾಷಣೆ,розмова
235,Märchen::N,ಸುಳ್ಳು ಕಥೆ,байка
236,Erzählung::N,ಕಥೆ,повість
237,Erzählung::N,ಕಥೆ,оповідання
238,Nachricht::N,ಸಂದೇಶ,повідомлення
239,Neuigkeit::N,ಸುದ್ದಿ,новина
240,Name::N,ಹೆಸರು,ім’я
241,Rätsel::N,ಒಗಟು,загадка
242,Rede::N,ಮಾತು,промова
243,Sprache::N,ಭಾಷೆ,мова
244,Stimme::N,ಧ್ವನಿ,голос
245,Wort::N,ಮಾತು,слово
246,Zeichen::N,ಗುರುತು,знак
247,Ruf::N,ಕೂಗು,оклик
248,Lärm::N,ಸದ್ದು,шум
249,Laut::N,ಶಬ್ದ,звук
250,Ton::N,ನಾದ,тон
251,Lied::N,ಗಾನ,пісня
252,Ruhe::N,ಶಾಂತಿ,спокій
253,Leute::N,ಮಂದಿ,люди
254,Volk::N,ಜನಾಂಗ,народ
255,Arbeit::N,ಕೆಲಸ,робота
256,Gast::N,ಅತಿಥಿ,гість
257,Geschenk::N,ಕಾಣಿಕೆ,подарунок
258,Spiel::N,ಆಟ,гра
259,Gesellschaft::N,ಸಂಗ,товариство
260,Hilfe::N,ಸಹಾಯ,допомога
261,Freund::N,ಸ್ನೇಹಿತ,друг
262,Freund::N,ಸ್ನೇಹಿತ,приятель
263,Kamerad::N,ಜೊತೆಗಾರ,товариш
264,Angelegenheit::N,ವಿಚಾರ,справа
265,Anzahl::N,ಎಣಿಕೆ,число
266,Art::N,ತರ,рід
267,Stück::N,ತುಂಡು,кусок
268,Teil::N,ಭಾಗ,частина
269,Hälfte::N,ಅರ್ಧ,половина
270,Kreis::N,ವೃತ್ತ,круг
271,Kreis::N,ವೃತ್ತ,коло
272,Kreuz::N,ಶಿಲುಬೆ,хрест
273,Linie::N,ರೀಖೆ,лінія
274,Strich::N,ಗೀಟು,штрих
275,Abstand::N,ಅಂತರ,проміжок
276,Entfernung::N,ದೂರ,відстань
277,Gegend::N,ವಿಸ್ತೀರ್ಣ,місцевість
278,Platz::N,ಅಂತರ,площа
279,Ort::N,ಸ್ಥಳ,місце
280,Seite::N,ಪಕ್ಷ,сторона
281,Mitte::N,ನಡು,середина
282,Gegenstand::N,ವಸ್ತು,предмет
283,Sache::N,ವಸ್ತು,річ
284,Rand::N,ಅಂಚು,край
285,Kante::N,ಅಂಚು,ребро
286,Ecke::N,ಮೂಲೆ,ріг
287,Spitze::N,ತುದಿ,кінчик
288,Ende::N,ಕೊನೆ,кінець
289,Loch::N,ತೂತು,діра
290,Winkel::N,ಕೋನ,куток
291,Muster::N,ನಮೂನೆ,узор
292,Größe::N,ಪ್ರಮಾಣ,розмір
293,Länge::N,ಉದ್ದ,довжина
294,Höhe::N,ಎತ್ತರ,висота
295,Gewicht::N,ತೂಕ,вага
296,Menge::N,ಮೊತ್ತ,кількість
297,Haufen::N,ರಾಶಿ,купа
298,Reihe::N,ಸಾಲು,ряд
299,Boot::N,ದೋಣಿ,човен
300,Ruder::N,ಹುಟ್ಟು,весло
301,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,сани
302,Ski::N,ಜಾರುಪಟ್ಟಿ,лижа
303,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,вогнище
304,Last::N,ಹೊರೆ,тягар
305,Last::N,ಹೊರೆ,вантаж
306,Gang::N,ತಿರುಗಾಟ,хід
307,Schritt::N,ಹೆಜ್ಜೆ,крок
308,Norden::N,ಉತ್ತರ,північ
309,Süden::N,ದಕ್ಷಿಣ,південь
310,Westen::N,ಪಶ್ಚಿಮ,захід
311,Osten::N,ಮೂಡಲು,схід
312,Holz::N,ಚೌಬೀನೆ,дрова
313,Brett::N,ಹಲಗೆ,дошка
314,Platte::N,ಹಲಗೆ,плита
315,Stütze::N,ಆಸರೆ,підпірка
316,Stange::N,ಕಂಬ,жердина
317,Stock::N,ಕೋಲು,палиця
318,Stab::N,ದೊಣ್ಣೆ,палиця
319,Rohr::N,ನಳಿಕೆ,труба
320,Haus::N,ಮನೆ,дім
321,Haus::N,ಮನೆ,хата
322,Heim::N,ಗೃಹ,житло
323,Ofen::N,ಒಲೆ,піч
324,Fußboden::N,ನೆಲ,підлога
325,Tisch::N,ಮೇಜು,стіл
326,Stuhl::N,ಕುರ್ಚಿ,стілець
327,Wiege::N,ತೊಟ್ಟಿಲು,колиска
328,Bett::N,ಹಾಸಿಗೆ,ліжко
329,Bett::N,ಹಾಸಿಗೆ,постіль
330,Regal::N,ಬೀರು,полиця
331,Kiste::N,ಪಟ್ಟಿಗೆ,ящик
332,Fenster::N,ಕಿಟಕಿ,вікно
333,Tür::N,ಬಾಗಿಲು,двері
334,Tor::N,ಹೆಬ್ಬಾಗಿಲು,ворота
335,Zaun::N,ಬೇಲಿ,паркан
336,Zaun::N,ಬೇಲಿ,огорожа
337,Dach::N,ಮಾಳಿಗೆ,дах
338,Leiter::N,ಏಣಿ,драбина
339,Besen::N,ಪೊರಕೆ,мітла
340,Spaten::N,ಗುದ್ದಲಿ,заступ
341,Schaufel::N,ಸನಿಕೆ,совок
342,Schaufel::N,ಸನಿಕೆ,лопата
343,Gabel::N,ಕವಲು,виделка
344,Löffel::N,ಚಮಚ,ложка
345,Messer::N,ಚಾಕು,ніж
346,Nagel::N,ಆಣಿ,цвях
347,Netz::N,ಬಲೆ,сіть
348,Haken::N,ಕೊಂಡಿ,крюк
349,Griff::N,ಹಿಡಿ,ручка
350,Griff::N,ಹಿಡಿ,держак
351,Schloss::N,ವೀಗ,замок
352,Bild::N,ಚಿತ್ರ,картина
353,Figur::N,ಆಕಾರ,фігура
354,Puppe::N,ಗೊಂಬೆ,лялька
355,Beutel::N,ಸಂಚಿ,мішечок
356,Beutel::N,ಸಂಚಿ,торбинка
357,Bündel::N,ಕಟ್ಟು,в’язка
358,Tasche::N,ಚೀಲ,сумка
359,Eimer::N,ಬಾನೆ,відро
360,Deckel::N,ಮುಚ್ಚಳ,кришка
361,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,посуд
362,Sack::N,ಮೂಟೆ,мішок
363,Tasse::N,ಬಟ್ಟಲು,чашка
364,Topf::N,ಮಡಕೆ,горщик
365,Kessel::N,ಕೆಟಲ್,котел
366,Essen::N,ಊಟ,їжа
367,Nahrung::N,ಆಹಾರ,харч
368,Speise::N,ಊಟ,страва
369,Fleisch::N,ಮಾಂಸ,м’ясо
370,Getreide::N,ಧಾನ್ಯ,хліб
371,Getreide::N,ಧಾನ್ಯ,збіжжя
372,Brei::N,ಗಂಜಿ,каша
373,Brot::N,ರೊಟ್ಟಿ,хліб
374,Scheibe::N,ಹೋಳು,скибочка
375,Fett::N,ಕೊಬ್ಬು,жир
376,Butter::N,ಬೆಣ್ಣೆ,масло
377,Öl::N,ಎಣ್ಣೆ,олія
378,Salz::N,ಉಪ್ಪು,сіль
379,Suppe::N,ಎಸರು,суп
380,Honig::N,ಮಧು,мед
381,Milch::N,ಹಾಲು,молоко
382,Tee::N,ಚಹ,чай
383,Leder::N,ಚಕ್ಕಳ,шкіра
384,Wolle::N,ಉಣ್ಣೆ,шерсть
385,Stoff::N,ಬಟ್ಟೆ,тканина
386,Nadel::N,ಸೂಜಿ,голка
387,Faden::N,ದಾರ,нитка
388,Knopf::N,ಗುಂಡು,ґудзик
389,Knoten::N,ಗಂಟು,вузол
390,Farbe::N,ಬಣ್ಣ,фарба
391,Kleidung::N,ಅರಿವೆ,одяг
392,Kleidung::N,ಅರಿವೆ,убрання
393,Hemd::N,ಅಂಗಿ,сорочка
394,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,комір
395,Ärmel::N,ತೋಳು,рукав
396,Hose::N,ಇಜಾರ,брюки
397,Gürtel::N,ಬೆಲ್ಟು,пояс
398,Mütze::N,ಟೋಪಿ,шапка
399,Schuh::N,ಪಾದರಕ್ಷೆ,ботинок
400,Stiefel::N,ಬೂಟು,чобіт
401,Ring::N,ಉಂಗುರ,кільце
402,Band::N,ರಿಬ್ಬನ್,стрічка
403,Kamm::N,ಹಣಿಗೆ,гребінець
404,Spiegel::N,ಕನ್ನಡಿ,дзеркало
405,Riemen::N,ಬಾರು,ремінь
406,Schnur::N,ಹುರಿ,вірьовка
407,Leine::N,ಹಗ್ಗ,шворка
408,Decke::N,ಕಂಬಳಿ,ковдра
409,Kissen::N,ದಿಂಬು,подушка
410,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,хустка
411,Handtuch::N,ಚೌಕ,рушник
412,Kraft::N,ಬಲ,сила
413,Stärke::N,ಶಕ್ತಿ,сила
414,Gesundheit::N,ಆರೋಗ್ಯ,здоров’я
415,Krankheit::N,ರೋಗ,хвороба
416,Schmerz::N,ನೋವು,біль
417,Wunde::N,ಗಾಯ,рана
418,Fieber::N,ಜ್ವರ,гарячка
419,Arznei::N,ಔಷಧ,ліки
420,Brücke::N,ಸೇತುವೆ,міст
421,Brunnen::N,ಬಾವಿ,колодязь
422,Weide::N,ಗೋಮಾಳ,пасовище
423,Pfad::N,ದಾರಿ,стежка
424,Weg::N,ಹಾದಿ,шлях
425,Weg::N,ಹಾದಿ,дорога
426,Straße::N,ರಸ್ತೆ,вулиця
427,Dorf::N,ಹಳ್ಳಿ,село
428,Stadt::N,ಪಟ್ಟಣ,місто
429,Brief::N,ಕಾಗದ,лист
430,Buch::N,ಪುಸ್ತಕ,книга
431,Buch::N,ಪುಸ್ತಕ,книжка
432,Buchstabe::N,ಅಕ್ಷರ,буква
433,Buchstabe::N,ಅಕ್ಷರ,літера
434,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,газета
435,Leben::N,ಜೀವನ,життя
436,Tod::N,ಮರಣ,смерть
437,Grab::N,ಗೋರಿ,могила
438,Kirche::N,ಚರ್ಚು,церква
439,Sünde::N,ಪಾಪ,гріх
440,Gott::N,ದೇವರು,бог
441,Arbeiter::N,ಕೆಲಸಗಾರ,робітник
442,Chef::N,ದಣಿ,хазяїн
443,Meister::N,ಶಿಕ್ಷಕ,умілець
444,Arzt::N,ವೈದ್ಯ,лікар
445,Lehrer::N,ಉಪಾಧ್ಯಾಯ,вчитель
446,Geld::N,ಹಣ,гроші
447,Geschäft::N,ವಾಣಿಜ್ಯ,заняття
448,Laden::N,ಅಂಗಡಿ,магазин
449,Laden::N,ಅಂಗಡಿ,крамниця
450,Preis::N,ಬೆಲೆ,ціна
451,Ware::N,ಸರಕು,товар
452,Nutzen::N,ಲಾಭ,вигода
453,Nutzen::N,ಲಾಭ,користь
454,Reichtum::N,ಸಂಪತ್ತು,багатство
455,Welt::N,ಭೂಲೋಕ,світ
456,Land::N,ದೇಶ,країна
457,Staat::N,ರಾಜ್ಯ,держава
458,König::N,ರಾಜ,король
459,Macht::N,ಅಧಿಕಾರ,влада
460,Grenze::N,ಗಡಿ,кордон
461,Krieg::N,ಯುದ್ಧ,війна
462,Feind::N,ಶತ್ರು,ворог
463,Gewalt::N,ಹಿಂಸೆ,насильство
464,Kampf::N,ಹೋರಾಟ,бій
465,Kampf::N,ಹೋರಾಟ,боротьба
466,Bogen[Waffe]::N,ಬಿಲ್ಲು,лук
467,Pfeil::N,ಅಂಬು,стріла
468,Gewehr::N,ಬಂದೂಕು,рушниця
469,Gewehr::N,ಬಂದೂಕು,гвинтівка
470,Fehler::N,ತಪ್ಪು,помилка
471,Lüge::N,ಸುಳ್ಳು,брехня
472,Schaden::N,ಹಾನಿ,шкода
473,Schaden::N,ಹಾನಿ,збиток
474,Unglück::N,ಅಪಾಯ,нещастя
475,Schuld::N,ದೋಷ,провина
476,Alter::N,ಮುಪ್ಪು,вік
477,Alter::N,ಮುಪ್ಪು,літа
478,Schluss::N,ಮುಕ್ತಾಯ,кінець
479,Zeit::N,ಕಾಲ,час
480,Tag::N,ದಿನ,день
481,Morgen::N,ಮುಂಜಾನೆ,ранок
482,Mittag::N,ನಡುಹಗಲು,південь
483,Abend::N,ಸಂಜೆ,вечір
484,Nacht::N,ರಾತ್ರಿ,ніч
485,Woche::N,ವಾರ,тиждень
486,Monat::N,ತಿಂಗಳು,місяць
487,Jahr::N,ಸಂವತ್ಸರ,рік
488,Frühling::N,ವಸಂತ,весна
489,Sommer::N,ಬಿಸಿಲುಕಾಲ,літо
490,Herbst::N,ಶರತ್ಕಾಲ,осінь
491,Winter::N,ಚಳಿಗಾಲ,зима
492,Januar::N,ನಾಲ್ಚಳಿ,січень
493,Februar::N,ಅಯ್ಚಳಿ,лютий
494,März::N,ಮೊಬ್ಬೇಸಿಗೆ,березень
495,April::N,ಇಬ್ಬೇಸಿಗೆ,квітень
496,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,травень
497,Juni::N,ಮೊಮ್ಮಳೆ,червень
498,Juli::N,ಇಮ್ಮಳೆ,липень
499,August::N,ಮುಮ್ಮಳೆ,серпень
500,September::N,ನಾಲ್ಮಳೆ,вересень
501,Oktober::N,ಮೊಚ್ಚಳಿ,жовтень
502,November::N,ಇಚ್ಚಳಿ,листопад
503,Dezember::N,ಮುಚ್ಚಳಿ,грудень
504,Montag::N,ಸೋಮುವಾರ,понеділок
505,Dienstag::N,ಮಂಗಳವಾರ,вівторок
506,Mittwoch::N,ಬುಧವಾರ,середа
507,Donnerstag::N,ಗುರುವಾರ,четвер
508,Freitag::N,ಶುಕ್ರವಾರ,п’ятниця
509,Samstag::N,ಶನಿವಾರ,субота
510,Sonntag::N,ಭಾನುವಾರ,неділя
511,groß::A,ದೊಡ್ಡ,великий
512,klein::A,ಪುಟ್ಟ,малий
513,klein::A,ಪುಟ್ಟ,маленький
514,lang::A,ದೀರ್ಘ,довгий
515,kurz::A,ಚಕ್ಕ,короткий
516,breit::A,ಅಗಲವಾದ,широкий
517,schmal::A,ಇಕ್ಕಟ್ಟಾದ,вузький
518,dicht::A,ದಟ್ಟ,густий
519,dick[Gegenstand]::A,ದಟ್ಟ,товстий
520,dünn::A,ತೆಳು,тонкий
521,fein::A,ಕೋಮಲ,дрібний
522,fest::A,ಘನ,міцний
523,flach::A,ಚಪ್ಪಟೆ,плоский
524,glatt::A,ನಯ,рівний
525,glatt::A,ನಯ,гладенький
526,hart::A,ಗಟ್ಟಿ,твердий
527,weich::A,ಮೃದುವಾದ,м’який
528,rund::A,ವರ್ತುಳ,круглий
529,spitz::A,ಮೊನಚಾದ,гострокінцевий
530,scharf::A,ತೀಕ್ಷ್ಣ,гострий
531,stumpf::A,ಮೊಂಡು,тупий
532,schwer::A,ಭಾರಿ,важкий
533,schön::A,ಸುಂದರ,вродливий
534,heiß::A,ಬಿಸಿ,жаркий
535,heiß::A,ಬಿಸಿ,гарячий
536,warm::A,ಬಿಸಿ,теплий
537,kalt::A,ತಣ್ಣನೆಯ,холодний
538,kühl::A,ತಂಪಾದ,прохолодний
539,frisch::A,ನಿರ್ಮಲ,свіжий
540,feucht::A,ಒದ್ದೆಯಾದ,вогкий
541,nass::A,ಒದ್ದೆಯಾದ,мокрий
542,trocken::A,ಶುಷ್ಕ,сухий
543,voll::A,ತುಂಬಿದ,повний
544,leer::A,ಖಾಲಿ,пустий
545,offen::A,ಮುಚ್ಚಲ್ಲದ,відкритий
546,geschlossen::A,ಮುಚ್ಚಿದ,закритий
547,geschlossen::A,ಮುಚ್ಚಿದ,зачинений
548,sauber::A,ಶುದ್ಧ,чистий
549,sauber::A,ಶುದ್ಧ,охайний
550,schmutzig::A,ಅಶುದ್ಧ,брудний
551,roh::A,ಹಸಿ,сирий
552,reif::A,ಹಣ್ಣಾದ,зрілий
553,lecker::A,ಗುಚಿಕರ,смачний
554,süß::A,ಸಿಹಿ,солодкий
555,bitter::A,ಕಹಿ,гіркий
556,sauer::A,ಹುಳಿಯಾದ,кислий
557,hell::A,ಹೊಳೆಯುವ,світлий
558,dunkel::A,ಮಬ್ಬಾದ,темний
559,schwarz::A,ಕಪ್ಪು,чорний
560,weiß::A,ಬಿಳಿಯ,сивий
561,rot::A,ಕೆಂಪು,червоний
562,gelb::A,ಹಳದಯ,жовтий
563,blau::A,ನೀಲ,синій
564,grün::A,ಕಾಯಾದ,зелений
565,grau::A,ಬೂದುಬಣ್ಣದ,сірий
566,bunt::A,ವರ್ಣರಂಜಿತ,барвистий
567,billig::A,ಅಗ್ಗ,дешевий
568,teuer::A,ದುಬಾರಿಯಾದ,дорогий
569,wertvoll::A,ಅಮೂಲ್ಯ,цінний
570,blind::A,ಅಂಧ,сліпий
571,taub::A,ಕಿವುಡಾದ,глухий
