,Concept_ID,es,ja
184,Laus::N,piojo,虱
185,Mücke::N,mosquito,蚊
186,Fliege::N,mosca,蝿
187,Schmetterling::N,mariposa,蝶
188,Beere::N,baya,漿果
189,Apfel::N,manzana,林檎
190,Pilz::N,seta,茸
191,Pilz::N,hongo,茸
192,Zwiebel::N,cebolla,玉葱
193,Saat::N,siembra,種
194,Korn::N,grano,粒
195,Heu::N,heno,干し草
196,Schale::N,cáscara,皮
197,Grube::N,foso,穴
198,Falle::N,trampa,わな
199,Schlinge::N,lazo,輪
200,Spur::N,huella,跡
201,Asche::N,ceniza,灰
202,Dreck::N,suciedad,泥
203,Eisen::N,hierro,鉄
204,Gold::N,oro,金
205,Silber::N,plata,銀
206,Kohle::N,carbón,炭
207,Glas::N,vidrio,ガラス
208,Glas::N,cristal,ガラス
209,Lehm::N,barro,ローム
210,Sand::N,arena,砂
211,Mensch::N,hombre,人
212,Mensch::N,ser humano,人
213,Mann::N,hombre,男
214,Mann::N,hombre,男性
215,Frau::N,mujer,女
216,Frau::N,mujer,女性
217,Kind::N,niño,子
218,Kind::N,niño,子供
219,Junge::N,chico,男の子
220,Junge::N,muchacho,男の子
221,Mädchen::N,chica,女の子
222,Mädchen::N,muchacha,女の子
223,Familie::N,familia,家族
224,Großvater::N,abuelo,祖父
225,Großvater::N,abuelo,おじいさん
226,Großmutter::N,abuela,祖母
227,Großmutter::N,abuela,おばあさん
228,Eltern::N,padres,親
229,Eltern::N,padres,両親
230,Vater::N,padre,父
231,Vater::N,padre,お父さん
232,Mutter::N,madre,母
233,Mutter::N,madre,お母さん
234,Sohn::N,hijo,息子
235,Sohn::N,hijo,息子さん
236,Tochter::N,hija,娘
237,Tochter::N,hija,お嬢さん
238,Bruder::N,hermano,弟
239,Schwester::N,hermana,妹
240,Onkel::N,tío,伯父
241,Onkel::N,tío,伯父さん
242,Tante::N,tía,叔母
243,Tante::N,tía,叔母さん
244,Ehemann::N,esposo,夫
245,Ehemann::N,esposo,主人
246,Ehefrau::N,esposa,妻
247,Ehefrau::N,esposa,奥さん
248,Freude::N,placer,喜び
249,Freude::N,alegría,喜び
250,Gelächter::N,risa,笑い
251,Gelächter::N,carcajada,笑い
252,Glück::N,felicidad,幸せ
253,Kummer::N,pena,悩み
254,Wunsch::N,deseo,希望
255,Lust::N,ganas,気
256,Geist::N,mente,精神
257,Geist::N,espíritu,精神
258,Gedanke::N,idea,考え
259,Gedanke::N,pensamiento,考え
260,Gedächtnis::N,memoria,記憶
261,Verstand::N,razón,理解力
262,Verstand::N,entendimiento,理解力
263,Sinn::N,sentido,意味
264,Sinn::N,significado,意味
265,Grund::N,causa,理由
266,Wahrheit::N,verdad,真実
267,Gespräch::N,conversación,会話
268,Märchen::N,cuento,童話
269,Erzählung::N,cuento,物語
270,Erzählung::N,narración,物語
271,Nachricht::N,mensaje,報告
272,Neuigkeit::N,noticia,ニュース
273,Name::N,nombre,名前
274,Rätsel::N,acertijo,謎
275,Rätsel::N,adivinanza,謎
276,Rede::N,discurso,演説
277,Sprache::N,lengua,言語
278,Stimme::N,voz,声
279,Wort::N,palabra,言葉
280,Zeichen::N,señal,記号
281,Ruf::N,llamada,呼び声
282,Lärm::N,ruido,騒音
283,Lärm::N,barullo,騒音
284,Laut::N,sonido,音
285,Ton::N,tono,音
286,Lied::N,canción,歌
287,Ruhe::N,calma,静けさ
288,Ruhe::N,silencio,静けさ
289,Leute::N,gente,人々
290,Volk::N,pueblo,民族
291,Arbeit::N,trabajo,仕事
292,Gast::N,huésped,客
293,Gast::N,invitado,客
294,Geschenk::N,regalo,贈り物
295,Spiel::N,juego,遊び
296,Gesellschaft::N,compañía,社会
297,Hilfe::N,ayuda,援助
298,Hilfe::N,socorro,援助
299,Freund::N,amigo,友達
300,Kamerad::N,camarada,同志
301,Kamerad::N,compañero,同志
302,Angelegenheit::N,asunto,件
303,Anzahl::N,cantidad,数
304,Art::N,tipo,種類
305,Art::N,clase,種類
306,Stück::N,pieza,部分
307,Teil::N,parte,部分
308,Hälfte::N,mitad,半分
309,Kreis::N,círculo,円
310,Kreuz::N,cruz,十字
311,Linie::N,línea,線
312,Strich::N,raya,線
313,Strich::N,trazo,線
314,Abstand::N,distancia,距離
315,Entfernung::N,distancia,距離
316,Gegend::N,región,辺
317,Gegend::N,región,地域
318,Gegend::N,comarca,辺
319,Gegend::N,comarca,地域
320,Platz::N,espacio,ゆとり
321,Ort::N,sitio,所
322,Ort::N,sitio,場所
323,Seite::N,lado,横
324,Seite::N,costado,横
325,Mitte::N,medio,真ん中
326,Mitte::N,centro,真ん中
327,Gegenstand::N,objeto,物件
328,Sache::N,cosa,物
329,Rand::N,borde,端
330,Kante::N,borde,縁
331,Ecke::N,esquina,角
332,Spitze::N,punta,先頭
333,Ende::N,cabo,端
334,Ende::N,extremo,端
335,Loch::N,agujero,穴
336,Loch::N,abertura,穴
337,Winkel::N,ángulo,片隅
338,Muster::N,dibujo,模様
339,Größe::N,tamaño,大きさ
340,Länge::N,longitud,長さ
341,Höhe::N,altura,高さ
342,Höhe::N,altitud,高さ
343,Gewicht::N,peso,重さ
344,Menge::N,cantidad,量
345,Haufen::N,montón,堆積
346,Reihe::N,fila,並び
347,Boot::N,bote,ボート
348,Boot::N,barca,ボート
349,Ruder::N,remo,オール
350,Schlitten::N,trineo,そり
351,Ski::N,esquí,スキー
352,Lagerfeuer::N,hoguera,篝火
353,Last::N,carga,荷物
354,Gang::N,marcha,歩み
355,Schritt::N,paso,歩
356,Norden::N,norte,北
357,Süden::N,sur,南
358,Westen::N,oeste,西
359,Osten::N,este,東
360,Holz::N,madera,木
361,Holz::N,madera,木材
362,Brett::N,tabla,板
363,Platte::N,placa,盤
364,Platte::N,plancha,盤
365,Stütze::N,sostén,支柱
366,Stütze::N,soporte,支柱
367,Stange::N,vara,棒
368,Stange::N,percha,棒
369,Stock::N,palo,杖
370,Stock::N,bastón,杖
371,Stab::N,vara,棒
372,Stab::N,bastón,棒
373,Rohr::N,tubo,管
374,Haus::N,casa,家
375,Heim::N,hogar,家
376,Ofen::N,estufa,ストーブ
377,Fußboden::N,suelo,床
378,Tisch::N,mesa,机
379,Stuhl::N,silla,椅子
380,Wiege::N,cuna,揺籃
381,Bett::N,cama,ベッド
382,Regal::N,estantería,棚
383,Kiste::N,caja,箱
384,Fenster::N,ventana,窓
385,Tür::N,puerta,戸
386,Tür::N,puerta,ドア
387,Tor::N,puerta,門
388,Zaun::N,valla,垣根
389,Zaun::N,cercado,垣根
390,Dach::N,techo,屋根
391,Dach::N,tejado,屋根
392,Leiter::N,escalera,梯子
393,Besen::N,escoba,ほうき
394,Spaten::N,pala,スコップ
395,Schaufel::N,pala,シャベル
396,Schaufel::N,paleta,シャベル
397,Gabel::N,tenedor,フォーク
398,Löffel::N,cuchara,スプーン
399,Messer::N,cuchillo,ナイフ
400,Nagel::N,clavo,釘
401,Netz::N,red,網
402,Haken::N,gancho,鉤
403,Haken::N,gancho,フック
404,Haken::N,corchete,鉤
405,Haken::N,corchete,フック
406,Griff::N,asa,取っ手
407,Griff::N,mango,取っ手
408,Schloss::N,cerradura,錠
409,Bild::N,imagen,絵
410,Figur::N,figura,像
411,Puppe::N,muñeca,人形
412,Beutel::N,bolsa,袋
413,Bündel::N,haz,束
414,Bündel::N,haz,包み
415,Tasche::N,bolso,かばん
416,Eimer::N,cubo,バケツ
417,Deckel::N,tapa,蓋
418,Deckel::N,tapadera,蓋
419,Geschirr::N,vajilla,食器
420,Sack::N,saco,袋
421,Tasse::N,taza,カップ
422,Topf::N,olla,鍋
423,Topf::N,marmita,鍋
424,Kessel::N,caldera,釜
425,Essen::N,comida,食事
426,Nahrung::N,alimento,食物
427,Speise::N,plato,料理
428,Fleisch::N,carne,肉
429,Getreide::N,cereales,麦
430,Getreide::N,cereales,穀物
431,Brei::N,puré,粥
432,Brei::N,papilla,粥
433,Brot::N,pan,パン
434,Scheibe::N,lonja,枚
435,Scheibe::N,lonja,切れ
436,Scheibe::N,rebanada,枚
437,Scheibe::N,rebanada,切れ
438,Fett::N,grasa,脂肪
439,Butter::N,mantequilla,バター
440,Öl::N,aceite,油
441,Salz::N,sal,塩
442,Suppe::N,sopa,スープ
443,Honig::N,miel,蜂蜜
444,Milch::N,leche,牛乳
445,Tee::N,té,茶
446,Tee::N,té,お茶
447,Leder::N,cuero,革
448,Wolle::N,lana,毛糸
449,Stoff::N,tela,布
450,Stoff::N,tejido,布
451,Nadel::N,aguja,針
452,Faden::N,hilo,糸
453,Knopf::N,botón,ボタン
454,Knoten::N,nudo,結び目
455,Farbe::N,pintura,ペンキ
456,Kleidung::N,ropa,衣服
457,Kleidung::N,vestidos,衣服
458,Hemd::N,camisa,シャツ
459,Kragen::N,cuello,襟
460,Ärmel::N,manga,袖
461,Hose::N,pantalón,ズボン
462,Gürtel::N,cinturón,帯
463,Gürtel::N,cinturón,ベルト
464,Mütze::N,gorro,帽子
465,Schuh::N,zapato,靴
466,Stiefel::N,bota,ブーツ
467,Ring::N,anillo,輪
468,Band::N,cinta,リボン
469,Kamm::N,peine,櫛
470,Spiegel::N,espejo,鏡
471,Riemen::N,correa,緒
472,Schnur::N,cuerda,紐
473,Leine::N,correa,綱
474,Decke::N,manta,掛け布団
475,Kissen::N,almohada,枕
476,Tuch::N,pañuelo,スカーフ
477,Handtuch::N,toalla,タオル
478,Kraft::N,fuerza,力
479,Stärke::N,fuerza,強さ
480,Gesundheit::N,salud,健康
481,Krankheit::N,enfermedad,病気
482,Schmerz::N,dolor,痛み
483,Wunde::N,llaga,傷
484,Wunde::N,herida,傷
485,Fieber::N,fiebre,熱
486,Arznei::N,medicina,薬
487,Arznei::N,medicamento,薬
488,Brücke::N,puente,橋
489,Brunnen::N,pozo,井戸
490,Weide::N,pasto,牧場
491,Pfad::N,sendero,小路
492,Weg::N,camino,道
493,Straße::N,vía,街道
494,Straße::N,carretera,街道
495,Dorf::N,aldea,村
496,Dorf::N,pueblo,村
497,Stadt::N,ciudad,町
498,Stadt::N,ciudad,都市
499,Brief::N,carta,手紙
500,Buch::N,libro,本
501,Buchstabe::N,letra,文字
502,Buchstabe::N,carácter,文字
503,Zeitung::N,diario,新聞
504,Zeitung::N,periódico,新聞
505,Leben::N,vida,生活
506,Tod::N,muerte,死
507,Grab::N,tumba,墓
508,Grab::N,sepulcro,墓
509,Kirche::N,iglesia,教会
510,Sünde::N,pecado,罪
511,Gott::N,dios,神
512,Arbeiter::N,obrero,労働者
513,Arbeiter::N,trabajador,労働者
514,Chef::N,jefe,上司
515,Meister::N,maestro,達人
516,Meister::N,maestro,マイスター
517,Arzt::N,médico,医者
518,Lehrer::N,profesor,先生
519,Geld::N,dinero,金
520,Geschäft::N,negocio,取り引き
521,Laden::N,tienda,店
522,Preis::N,precio,値段
523,Ware::N,mercancía,商品
524,Nutzen::N,provecho,利益
525,Reichtum::N,riqueza,豊かさ
526,Welt::N,mundo,世界
527,Land::N,país,国
528,Staat::N,Estado,国家
529,König::N,rey,国王
530,Macht::N,poder,権力
531,Macht::N,potencia,権力
532,Grenze::N,frontera,国境
533,Krieg::N,guerra,戦争
534,Feind::N,enemigo,敵
535,Gewalt::N,violencia,暴力
536,Kampf::N,lucha,戦い
537,Kampf::N,combate,戦い
538,Bogen[Waffe]::N,arco,弓
539,Pfeil::N,flecha,矢
540,Gewehr::N,fusil,銃
541,Gewehr::N,escopeta,銃
542,Fehler::N,error,間違い
543,Lüge::N,mentira,嘘
544,Schaden::N,daño,損害
545,Unglück::N,desgracia,不幸
546,Schuld::N,culpa,罪
547,Alter::N,edad,年
548,Alter::N,edad,年齢
549,Schluss::N,fin,終わり
550,Schluss::N,final,終わり
551,Zeit::N,tiempo,時
552,Zeit::N,tiempo,時間
553,Tag::N,día,日
554,Morgen::N,mañana,朝
555,Mittag::N,mediodía,昼
556,Abend::N,noche,晩
557,Abend::N,noche,夕方
558,Nacht::N,noche,夜
559,Woche::N,semana,週
560,Monat::N,mes,月
561,Jahr::N,año,年
562,Frühling::N,primavera,春
563,Sommer::N,verano,夏
564,Herbst::N,otoño,秋
565,Winter::N,invierno,冬
566,Januar::N,enero,一月
567,Februar::N,febrero,二月
568,März::N,marzo,三月
569,April::N,abril,四月
570,Mai::N,mayo,五月
571,Juni::N,junio,六月
572,Juli::N,julio,七月
573,August::N,agosto,八月
574,September::N,septiembre,九月
575,Oktober::N,octubre,十月
576,November::N,noviembre,十一月
577,Dezember::N,diciembre,十二月
578,Montag::N,lunes,月曜日
579,Dienstag::N,martes,火曜日
580,Mittwoch::N,miércoles,水曜日
581,Donnerstag::N,jueves,木曜日
582,Freitag::N,viernes,金曜日
583,Samstag::N,sábado,土曜日
584,Sonntag::N,domingo,日曜日
585,groß::A,grande,大きい
586,klein::A,pequeño,小さい
587,lang::A,largo,長い
588,kurz::A,corto,短い
589,breit::A,ancho,広い
590,schmal::A,estrecho,狭い
591,dicht::A,denso,密な
592,dick[Gegenstand]::A,grueso,厚い
593,dünn::A,fino,薄い
594,dünn::A,delgado,薄い
595,fein::A,fino,細い
596,fein::A,delicado,細い
597,fest::A,firme,硬い
598,fest::A,sólido,硬い
599,flach::A,plano,平らな
600,glatt::A,liso,滑らかな
601,hart::A,duro,堅い
602,weich::A,muelle,柔らかい
603,rund::A,redondo,丸い
604,spitz::A,agudo,尖った
605,spitz::A,apuntado,尖った
606,scharf::A,agudo,鋭い
607,scharf::A,afilado,鋭い
608,stumpf::A,sin filo,鈍い
609,schwer::A,pesado,重い
610,schön::A,bello,綺麗な
611,schön::A,hermoso,綺麗な
612,heiß::A,caluroso,熱い
613,warm::A,cálido,温かい
614,warm::A,caliente,温かい
615,kalt::A,frío,寒い
616,kalt::A,frío,冷たい
617,kühl::A,fresco,涼しい
618,frisch::A,fresco,ひんやりした
619,feucht::A,húmedo,湿った
620,nass::A,mojado,濡れた
621,trocken::A,seco,乾いた
622,voll::A,lleno,いっぱいの
623,leer::A,vacío,空の
624,offen::A,abierto,開いた
625,geschlossen::A,cerrado,閉まった
626,sauber::A,limpio,清潔な
627,schmutzig::A,sucio,汚い
628,roh::A,crudo,生の
629,reif::A,maduro,熟した
630,lecker::A,rico,美味しい
631,lecker::A,sabroso,美味しい
632,süß::A,dulce,甘い
633,bitter::A,amargo,苦い
634,sauer::A,agrio,酸っぱい
635,hell::A,claro,明るい
636,dunkel::A,oscuro,暗い
637,schwarz::A,negro,黒い
638,weiß::A,blanco,白い
639,rot::A,rojo,赤い
640,gelb::A,amarillo,黄色い
641,blau::A,azul,青い
642,grün::A,verde,緑の
643,grau::A,gris,灰色の
644,bunt::A,multicolor,色取り取りの
645,billig::A,barato,安い
646,teuer::A,caro,高い
647,wertvoll::A,valioso,貴重な
648,wertvoll::A,precioso,貴重な
649,blind::A,ciego,盲目の
650,taub::A,sordo,耳が聞こえない
651,kräftig::A,fuerte,強力な
652,stark::A,fuerte,強い
653,stark::A,vigoroso,強い
654,schwach::A,débil,弱い
655,fett::A,obeso,太った
656,schlank::A,esbelto,ほっそりした
657,hübsch::A,mono,素敵な
658,hübsch::A,guapo,素敵な
659,böse::A,malo,悪い
660,dumm::A,tonto,馬鹿な
661,dumm::A,estúpido,馬鹿な
662,faul::A,vago,怠惰な
663,faul::A,perezoso,怠惰な
664,fleißig::A,aplicado,勤勉な
665,fleißig::A,diligente,勤勉な
666,geizig::A,avaro,けちな
667,klug::A,sensato,賢い
668,klug::A,sensato,頭のいい
669,klug::A,inteligente,賢い
670,klug::A,inteligente,頭のいい
671,geschickt::A,hábil,器用な
672,lieb::A,querido,愛らしい
673,lustig::A,alegre,楽しい
674,sanft::A,suave,温和な
675,hungrig::A,hambriento,空腹の
676,krank::A,enfermo,病気の
677,nackt::A,desnudo,裸の
678,traurig::A,triste,悲しい
679,lebendig::A,vivo,生きた
680,lebendig::A,viviente,生きた
681,gut::A,bueno,良い
682,schlecht::A,malo,悪い
683,schlecht::A,malo,駄目な
684,richtig::A,justo,正しい
685,richtig::A,correcto,正しい
686,schlimm::A,malo,ひどい
687,schlimm::A,grave,ひどい
688,wahr::A,verídico,本当の
689,wahr::A,verdadero,本当の
690,alt::A,viejo,古い
691,neu::A,nuevo,新しい
692,ehemalig::A,antiguo,以前の
693,alt[Lebewesen]::A,viejo,年を取った
694,jung::A,joven,若い
695,arm::A,pobre,貧乏な
696,reich::A,rico,裕福な
697,bekannt::A,conocido,有名な
698,berühmt::A,famoso,有名な
699,berühmt::A,célebre,有名な
700,fremd::A,extraño,見知らぬ
701,verschieden::A,diverso,色々な
702,verschieden::A,distinto,色々な
703,verschieden::A,diferente,色々な
704,nah::A,cercano,近い
705,fern::A,lejano,遠い
706,linker::A,izquierdo,左の
707,rechter::A,derecho,右の
708,anderer::A,otro,別の
709,erster::A,primero,一番目
710,zweiter::A,segundo,二番目
711,dritter::A,tercero,三番目
712,letzter::A,último,最後の
713,allein::ADV,a solo,一人で
714,auf einmal::ADV,de una vez,同時に
715,zusammen::ADV,juntos,一緒に
716,lange::ADV,mucho tiempo,長い間
717,plötzlich::ADV,de repente,急に
718,sofort::ADV,en seguida,すぐに
719,später::ADV,más tarde,後で
720,jetzt::ADV,ahora,今
721,heute::ADV,hoy,今日
722,morgen::ADV,mañana,明日
723,bald::ADV,pronto,間もなく
724,bald::ADV,en breve,間もなく
725,dann::ADV,luego,それから
726,dann::ADV,entonces,それから
727,gestern::ADV,ayer,昨日
728,einst::ADV,antaño,過去に
729,damals::ADV,entonces,あの時
730,danach::ADV,después,その後で
731,vorher::ADV,antes,以前に
732,zuerst::ADV,primero,まず
733,zuerst::ADV,primero,最初に
734,einmal::ADV,una vez,一回
735,manchmal::ADV,a veces,時々
736,oft::ADV,a menudo,よく
737,oft::ADV,con frecuencia,よく
738,immer::ADV,siempre,いつも
739,niemals::ADV,jamás,一度も...ない
740,hier::ADV,aquí,こちら
741,hierhin::ADV,acá,ここへ
742,hierhin::ADV,acá,こちらへ
743,von hier::ADV,desde aquí,ここから
744,dort::ADV,ahí,そちら
745,dort::ADV,allí,そちら
746,dorthin::ADV,allí,そこへ
747,dorthin::ADV,allí,そちらへ
748,dorthin::ADV,hacia allí,そこへ
749,dorthin::ADV,hacia allí,そちらへ
750,geradeaus::ADV,todo derecho,真っ直ぐに
751,vorwärts::ADV,adelante,前へ
752,rückwärts::ADV,hacia atrás,後ろへ
753,zurück::ADV,atrás,後ろへ
754,unten::ADV,abajo,下に
755,hinab::ADV,hacia abajo,下へ
756,oben::ADV,arriba,上に
757,hinauf::ADV,hacia arriba,上へ
758,überall::ADV,por todas partes,どこでも
759,nicht::ADV,no,ない
760,ein wenig::ADV,un poco,少し
761,ein wenig::ADV,un poco,ちょっと
762,kaum::ADV,apenas,ほとんど～ない
763,sehr::ADV,muy,とても
764,sehr::ADV,mucho,とても
765,so::ADV,tan,こう
766,noch::ADV,aún,まだ
767,noch::ADV,todavía,まだ
768,nur::ADV,solamente,～だけ
769,schon::ADV,ya,もう
770,wieder::ADV,de nuevo,再び
771,vergebens::ADV,en vano,無駄に
772,vor::PRP,antes de,前に
773,vor::PRP,delante de,前に
774,hinter::PRP,tras,後ろに
775,hinter::PRP,detrás de,後ろに
776,unter::PRP,bajo,下に
777,unter::PRP,debajo de,下に
778,durch::PRP,por,通して
779,durch::PRP,a través de,通して
780,neben::PRP,al lado de,横に
781,zwischen::PRP,entre,間に
782,wegen::PRP,por,為に
783,wegen::PRP,por,せいで
784,wegen::PRP,a causa de,為に
785,wegen::PRP,a causa de,せいで
786,dies::PRN,esto,これ
787,das::PRN,eso,それ
788,das::PRN,esto,それ
789,alles::PRN,todo,全部
790,ich::PRN,yo,私
791,du::PRN,tú,あなた
792,er::PRN,él,彼
793,wir::PRN,nosotros,私達
794,ihr::PRN,vosotros,あなた達
795,sie::PRN,ellos,彼ら
796,was::FPRN,qué,何
797,wer::FPRN,quién,誰
798,wer::FPRN,quién,どなた
799,wo::FADV,dónde,どこ
800,wo::FADV,dónde,どこに
801,wohin::FADV,adónde,どこへ
802,wohin::FADV,hacia dónde,どこへ
803,wie::FADV,cómo,どう
804,warum::FADV,por qué,何故
805,warum::FADV,por qué,どうして
806,wieviel::FNUM,cuánto,どのくらい
807,eins::NUM,uno,一
808,zwei::NUM,dos,二
809,zwei::NUM,dos,二つ
810,drei::NUM,tres,三
811,drei::NUM,tres,三つ
812,vier::NUM,cuatro,四
813,vier::NUM,cuatro,四つ
814,fünf::NUM,cinco,五
815,fünf::NUM,cinco,五つ
816,sechs::NUM,seis,六
817,sechs::NUM,seis,六つ
818,sieben::NUM,siete,七
819,sieben::NUM,siete,七つ
820,acht::NUM,ocho,八
821,acht::NUM,ocho,八つ
822,neun::NUM,nueve,九
823,neun::NUM,nueve,九つ
824,zehn::NUM,diez,十
825,elf::NUM,once,十一
826,zwölf::NUM,doce,十二
827,zwanzig::NUM,veinte,二十
828,dreißig::NUM,treinta,三十
829,vierzig::NUM,cuarenta,四十
830,fünfzig::NUM,cincuenta,五十
831,sechzig::NUM,sesenta,六十
832,siebzig::NUM,setenta,七十
833,achtzig::NUM,ochenta,八十
834,neunzig::NUM,noventa,九十
835,hundert::NUM,cien,百
836,hundert::NUM,ciento,百
837,tausend::NUM,mil,千
838,und::CNJ,y,-と
839,und::CNJ,y,そして
840,oder::CNJ,o,或いは
841,stehen::V,estar de pie,立っている
842,sitzen::V,estar sentado,座っている
843,liegen::V,yacer,横になっている
844,liegen::V,estar acostado,横になっている
845,hängen::V,pender,掛かっている
846,werden::V,hacerse,なる
847,passieren::V,suceder,起こる
848,beginnen::V,iniciarse,始まる
849,beginnen::V,principiar,始まる
850,enden::V,acabar,終わる
851,enden::V,terminar,終わる
852,wechseln::V,variar,変わる
853,wechseln::V,alternar,変わる
854,aufgehen[Sonne]::V,salir,出る
855,untergehen[Sonne]::V,ponerse,沈む
