,Concept_ID,br,hr
187,Ente::N,houad,patka
188,Eule::N,toud,sova
189,Kranich::N,garan,ždral
190,Krähe::N,bran,vrana
191,Kuckuck::N,koukoug,kukavica
192,Schwan::N,alarc'h,labud
193,Fisch::N,pesk,riba
194,Barsch::N,brell,grgeč
195,Hecht::N,beked,štuka
196,Schlange[Tier]::N,naer,guja
197,Schlange[Tier]::N,naer,zmija
198,Wurm::N,preñv,crv
199,Spinne::N,kevnidenn,pauk
200,Ameise::N,merion,mrav
201,Laus::N,laouenn,uš
202,Mücke::N,moustik,komarac
203,Fliege::N,kelienenn,muha
204,Schmetterling::N,balafenn,leptir
205,Beere::N,hog,boba
206,Beere::N,hog,bobica
207,Apfel::N,aval,jabuka
208,Pilz::N,kabell-touseg,pečurka
209,Zwiebel::N,ognonenn,luk
210,Zwiebel::N,ognonenn,kapula
211,Saat::N,had,sjemenje
212,Korn::N,ed,zrno
213,Heu::N,foenn,sijeno
214,Schale::N,peliadur,kora
215,Schale::N,peliadur,ljuska
216,Falle::N,pech,zamka
217,Falle::N,pech,klopka
218,Schlinge::N,krouglas,uzao
219,Schlinge::N,krouglas,petlja
220,Asche::N,ludu,pepeo
221,Dreck::N,fank,blato
222,Eisen::N,houarn,željezo
223,Gold::N,aour,zlato
224,Silber::N,arc'hant,srebro
225,Kohle::N,glaou,ugalj
226,Kohle::N,glaou,ugljen
227,Glas::N,gwer,staklo
228,Sand::N,traezh,pijesak
229,Mensch::N,den,čovjek
230,Mann::N,den,muškarac
231,Frau::N,maouez,žena
232,Kind::N,bugel,čedo
233,Kind::N,bugel,dijete
234,Junge::N,paotr,momče
235,Junge::N,paotr,dječak
236,Mädchen::N,plac'h,djevojka
237,Mädchen::N,plac'h,djevojčica
238,Familie::N,familh,obitelj
239,Familie::N,familh,porodica
240,Großvater::N,tad-kozh,djed
241,Großmutter::N,mamm-gozh,baka
242,Eltern::N,kerent,roditelji
243,Vater::N,tad,otac
244,Mutter::N,mamm,majka
245,Sohn::N,mab,sin
246,Tochter::N,merc'h,kći
247,Tochter::N,merc'h,kćerka
248,Bruder::N,breur,brat
249,Schwester::N,c'hoar,sestra
250,Onkel::N,eontr,čika
251,Onkel::N,eontr,ujak
252,Tante::N,moereb,ujna
253,Tante::N,moereb,tetka
254,Ehemann::N,gwaz,muž
255,Ehemann::N,gwaz,suprug
256,Ehefrau::N,gwreg,žena
257,Ehefrau::N,gwreg,supruga
258,Freude::N,levenez,radost
259,Gelächter::N,c'hoarzherezh,grohot
260,Glück::N,chañs,sreća
261,Kummer::N,doan,jad
262,Kummer::N,doan,briga
263,Wunsch::N,c'hoant,želja
264,Lust::N,c'hoant,volja
265,Geist::N,spered,duh
266,Gedanke::N,soñj,misao
267,Gedächtnis::N,eñvor,pamćenje
268,Verstand::N,skiant,um
269,Verstand::N,skiant,razum
270,Sinn::N,ster,smisao
271,Sinn::N,ster,značenje
272,Grund::N,kaoz,razlog
273,Wahrheit::N,gwirionez,istina
274,Gespräch::N,kaozeadenn,razgovor
275,Märchen::N,kaoz korriganez,bajka
276,Erzählung::N,kontadenn,priča
277,Erzählung::N,kontadenn,pripovijest
278,Nachricht::N,keloù,vijest
279,Neuigkeit::N,kelaouenn,novost
280,Name::N,anv,ime
281,Rätsel::N,divinatez,zagonetka
282,Rede::N,diskour,govor
283,Rede::N,diskour,besjeda
284,Sprache::N,yezh,jezik
285,Stimme::N,mouezh,glas
286,Wort::N,ger,riječ
287,Zeichen::N,sin,znak
288,Ruf::N,galv,povik
289,Ruf::N,galv,poklik
290,Lärm::N,trouz,buka
291,Lärm::N,trouz,galama
292,Ton::N,ton,ton
293,Lied::N,kanaouenn,pjesma
294,Ruhe::N,sioulded,tišina
295,Ruhe::N,sioulded,počinak
296,Leute::N,tud,ljudi
297,Volk::N,pobl,puk
298,Volk::N,pobl,narod
299,Arbeit::N,labour,rad
300,Arbeit::N,labour,posao
301,Gast::N,kouviad,gost
302,Geschenk::N,prof,dar
303,Geschenk::N,prof,poklon
304,Spiel::N,c'hoari,igra
305,Gesellschaft::N,kompagnunezh,društvo
306,Gesellschaft::N,kompagnunezh,kompanija
307,Gesellschaft::N,kavandad,društvo
308,Gesellschaft::N,kavandad,kompanija
309,Hilfe::N,sikour,pomoć
310,Freund::N,mignon,prijatelj
311,Kamerad::N,kamarad,drug
312,Kamerad::N,kamarad,drugar
313,Angelegenheit::N,afer,posao
314,Anzahl::N,niver,broj
315,Anzahl::N,niver,brojnost
316,Art::N,sort,vid
317,Art::N,sort,vrst
318,Stück::N,tamm,komad
319,Teil::N,pezh,dio
320,Hälfte::N,hanterenn,polovina
321,Kreis::N,kelc'h,krug
322,Kreuz::N,kroaz,križ
323,Linie::N,linenn,crta
324,Strich::N,tenn,crta
325,Abstand::N,distok,razmak
326,Abstand::N,distok,odstojanje
327,Entfernung::N,keid,udaljenost
328,Entfernung::N,kehid,udaljenost
329,Gegend::N,korn-bro,kraj
330,Gegend::N,korn-bro,predeo
331,Platz::N,plasenn,mjesto
332,Ort::N,lec'h,mjesto
333,Seite::N,tu,bok
334,Seite::N,tu,strana
335,Mitte::N,kreiz,sredina
336,Gegenstand::N,tra,predmet
337,Sache::N,tra,posao
338,Rand::N,kantenn,rub
339,Rand::N,kantenn,kraj
340,Kante::N,kantenn,brid
341,Kante::N,kantenn,ivica
342,Ecke::N,korn,ugao
343,Spitze::N,begell,vrh
344,Spitze::N,begell,šiljak
345,Ende::N,dibenn,konac
346,Loch::N,toull,rupa
347,Muster::N,tresadenn,uzor
348,Größe::N,ment,veličina
349,Länge::N,hirder,duljina
350,Höhe::N,uhelder,visina
351,Gewicht::N,pouez,težina
352,Menge::N,bern,mnoštvo
353,Menge::N,bern,količina
354,Haufen::N,bern,hrpa
355,Haufen::N,bern,gomila
356,Reihe::N,steud,red
357,Boot::N,bag,čun
358,Boot::N,bag,čamac
359,Ruder::N,roeñv,veslo
360,Schlitten::N,trainell,saone
361,Ski::N,ski,ski
362,Ski::N,ski,smučka
363,Last::N,karg,tovar
364,Gang::N,kerzh,hod
365,Schritt::N,paz,korak
366,Norden::N,norzh,sjever
367,Norden::N,hanternoz,sjever
368,Süden::N,su,jug
369,Süden::N,kreisteiz,jug
370,Westen::N,kuzh-heol,zapad
371,Osten::N,reter,istok
372,Osten::N,sav-heol,istok
373,Holz::N,koad,drvo
374,Brett::N,plankenn,daska
375,Platte::N,plakenn,ploča
376,Stütze::N,harp,potpora
377,Stange::N,sparl,motka
378,Stock::N,bazh,štap
379,Stock::N,bazh,palica
380,Stab::N,bazh,štap
381,Stab::N,bazh,šipka
382,Rohr::N,tub,cijev
383,Rohr::N,korz,cijev
384,Haus::N,ti,kuća
385,Heim::N,kêr,dom
386,Ofen::N,forn,peć
387,Fußboden::N,plañchod,pod
388,Tisch::N,taol,stol
389,Tisch::N,taol,trpeza
390,Stuhl::N,kador,stolac
391,Stuhl::N,kador,stolica
392,Wiege::N,kavell,kolijevka
393,Bett::N,gwele,krevet
394,Bett::N,gwele,postelja
395,Regal::N,estajerenn,polica
396,Kiste::N,kased,sanduk
397,Fenster::N,prenestr,prozor
398,Tür::N,dor,vrata
399,Tor::N,portal,vrata
400,Tor::N,portal,kapija
401,Zaun::N,sklotur,plot
402,Zaun::N,sklotur,ograda
403,Dach::N,toenn,krov
404,Leiter::N,skeul,ljestve
405,Leiter::N,skeul,ljestvice
406,Besen::N,skubell,metla
407,Spaten::N,pal,ašov
408,Schaufel::N,pal,lopata
409,Gabel::N,fourchetez,viljuška
410,Löffel::N,loa,žlica
411,Messer::N,kontell,nož
412,Nagel::N,tach,čavao
413,Netz::N,roued,mreža
414,Haken::N,krog,kuka
415,Griff::N,kemer,držak
416,Griff::N,kemer,ručica
417,Schloss::N,potenn,brava
418,Bild::N,skeudenn,slika
419,Figur::N,skeud,figura
420,Figur::N,figur,figura
421,Puppe::N,merc'hodenn,lutka
422,Beutel::N,sac'h,kesa
423,Bündel::N,feskenn,snop
424,Bündel::N,feskenn,svežanj
425,Tasche::N,sac'h,torba
426,Tasche::N,sac'h,taška
427,Eimer::N,sailh,kabao
428,Deckel::N,pallenn,poklopac
429,Geschirr::N,listriaj,suđe
430,Geschirr::N,listriaj,posuđe
431,Sack::N,sac'h,džak
432,Sack::N,sac'h,vreća
433,Tasse::N,tas,šalica
434,Topf::N,pod,lonac
435,Kessel::N,chaodouron,kazan
436,Essen::N,pred,obrok
437,Nahrung::N,boued,hrana
438,Speise::N,meuz,jelo
439,Fleisch::N,kig,meso
440,Getreide::N,ed,žito
441,Getreide::N,ed,žitarice
442,Brei::N,yod,kaša
443,Brot::N,bara,kruh
444,Scheibe::N,tailhenn,kriška
445,Fett::N,lard,mast
446,Fett::N,lard,salo
447,Butter::N,amann,buter
448,Butter::N,amann,maslac
449,Öl::N,eoul,ulje
450,Salz::N,holen,sol
451,Suppe::N,soubenn,supa
452,Honig::N,mel,med
453,Milch::N,laezh,mlijeko
454,Tee::N,te,čaj
455,Leder::N,lêr,koža
456,Wolle::N,gloan,vuna
457,Stoff::N,danvez,štof
458,Stoff::N,danvez,tkanina
459,Nadel::N,nadoz,igla
460,Faden::N,neudenn,nit
461,Faden::N,neudenn,konac
462,Knopf::N,bouton,dugme
463,Knoten::N,skoulm,čvor
464,Knoten::N,skoulm,uzao
465,Farbe::N,liv,farba
466,Kleidung::N,dilhad,odjeća
467,Hemd::N,roc'hed,košulja
468,Kragen::N,gouzoug,ovratnik
469,Ärmel::N,milgin,rukav
470,Hose::N,bragoù,hlače
471,Gürtel::N,gouriz,pas
472,Gürtel::N,gouriz,pojas
473,Mütze::N,boned,kapa
474,Schuh::N,botez,cipela
475,Stiefel::N,botez,čizma
476,Ring::N,gwalenn,prsten
477,Band::N,bagad,vrpca
478,Kamm::N,krib,češalj
479,Spiegel::N,melezour,zrcalo
480,Spiegel::N,melezour,ogledalo
481,Riemen::N,lerenn,kaiš
482,Riemen::N,lerenn,remen
483,Schnur::N,kordenn,vrpca
484,Leine::N,roll,uzica
485,Decke::N,golo,ćebe
486,Decke::N,golo,pokrivač
487,Kissen::N,goubenner,jastuk
488,Tuch::N,mezher,rubac
489,Tuch::N,mezher,marama
490,Handtuch::N,toailhon,ručnik
491,Kraft::N,nerzh,snaga
492,Stärke::N,nerzhder,jakost
493,Gesundheit::N,yec'hed,zdravlje
494,Krankheit::N,klañved,bolest
495,Schmerz::N,poan,bol
496,Schmerz::N,droug,bol
497,Wunde::N,gloazadenn,rana
498,Fieber::N,terzhienn,groznica
499,Arznei::N,louzoù,lijek
500,Brücke::N,pont,most
501,Brücke::N,pont,ćuprija
502,Brunnen::N,puñs,bunar
503,Brunnen::N,puñs,zdenac
504,Weide::N,prad,paša
505,Weide::N,prad,pašnjak
506,Pfad::N,gwenodenn,staza
507,Weg::N,hent,put
508,Straße::N,ru,drum
509,Straße::N,ru,cesta
510,Straße::N,hent,drum
511,Straße::N,hent,cesta
512,Dorf::N,kêr,selo
513,Dorf::N,kêriadenn,selo
514,Stadt::N,kêr,grad
515,Stadt::N,kêr,varoš
516,Brief::N,lizher,list
517,Brief::N,lizher,pismo
518,Buch::N,levr,knjiga
519,Buchstabe::N,lizherenn,slovo
520,Zeitung::N,kazetenn,novine
521,Leben::N,buhez,život
522,Tod::N,marv,smrt
523,Grab::N,bez,raka
524,Kirche::N,iliz,crkva
525,Sünde::N,pec'hed,grijeh
526,Gott::N,doue,bog
527,Arbeiter::N,labourer,radnik
528,Arbeiter::N,micherour,radnik
529,Chef::N,penn,šef
530,Meister::N,mestr,majstor
531,Arzt::N,mezeg,liječnik
532,Arzt::N,medisin,liječnik
533,Lehrer::N,skolaer,učitelj
534,Lehrer::N,kelenner,učitelj
535,Geld::N,arc'hant,novac
536,Geschäft::N,stal,posao
537,Geschäft::N,stal,trgovina
538,Laden::N,stal,dućan
539,Preis::N,priz,cijena
540,Ware::N,marc'hadourezh,roba
541,Nutzen::N,gounidegezh,korist
542,Nutzen::N,lañs,korist
543,Nutzen::N,profit,korist
544,Nutzen::N,spleit,korist
545,Reichtum::N,pinvidigezh,bogatstvo
546,Welt::N,douar,svijet
547,Land::N,bro,zemlja
548,Staat::N,stad,država
549,König::N,roue,kralj
550,Macht::N,galloud,moć
551,Macht::N,galloud,vlast
552,Grenze::N,harzoù,granica
553,Krieg::N,brezel,rat
554,Feind::N,eneber,neprijatelj
555,Gewalt::N,tâerder,sila
556,Gewalt::N,tâerder,nasilje
557,Kampf::N,kann,boj
558,Kampf::N,kann,borba
559,Bogen[Waffe]::N,gwareg,luk
560,Pfeil::N,saezh,strijela
561,Gewehr::N,fuzuilh,puška
562,Fehler::N,fazi,pogreška
563,Fehler::N,fazi,griješka
564,Lüge::N,gaou,laž
565,Schaden::N,gwall,šteta
566,Unglück::N,gwalleur,nesreća
567,Schuld::N,kablusted,krivnja
568,Schuld::N,pec'hedigezh,krivnja
569,Alter::N,oad,dob
570,Schluss::N,diwezh,kraj
571,Schluss::N,diwezh,konac
572,Zeit::N,amzer,doba
573,Zeit::N,amzer,vrijeme
574,Tag::N,deizh,dan
575,Morgen::N,beure,jutro
576,Morgen::N,mintin,jutro
577,Mittag::N,kreisteiz,podne
578,Abend::N,abardaez,veče
579,Abend::N,abardaez,večer
580,Nacht::N,noz,noć
581,Woche::N,sizhun,sedmica
582,Monat::N,miz,mjesec
583,Jahr::N,bloaz,godina
584,Frühling::N,nevezamzer,proljeće
585,Sommer::N,hañv,ljeto
586,Herbst::N,diskaramzer,jesen
587,Winter::N,goañv,zima
588,Januar::N,Genver,januar
589,Januar::N,Genver,siječanj
590,Februar::N,C'hwevrer,veljača
591,Februar::N,C'hwevrer,februar
592,März::N,Meurzh,mart
593,März::N,Meurzh,ožujak
594,April::N,Ebrel,april
595,April::N,Ebrel,travanj
596,Mai::N,Mae,maj
597,Mai::N,Mae,svibanj
598,Juni::N,Mezheven,juni
599,Juni::N,Mezheven,lipanj
600,Juli::N,Gouhere,juli
601,Juli::N,Gouhere,srpanj
602,August::N,Eost,august
603,August::N,Eost,kolovoz
604,September::N,Gwengolo,rujan
605,September::N,Gwengolo,septembar
606,Oktober::N,Here,oktobar
607,Oktober::N,Here,listopad
608,November::N,Du,studeni
609,November::N,Du,novembar
610,Dezember::N,Kerzu,prosinac
611,Montag::N,Lun,ponedjeljak
612,Montag::N,Lun,ponedjeljnik
613,Dienstag::N,Meurzh,utorak
614,Dienstag::N,Meurzh,utornik
615,Mittwoch::N,Merc'her,srijeda
616,Donnerstag::N,Yaou,četvrtak
617,Freitag::N,Gwener,petak
618,Samstag::N,Sadorn,subota
619,Sonntag::N,Sul,nedjelja
620,groß::A,bras,velik
621,klein::A,bihan,mali
622,klein::A,bihan,malen
623,lang::A,hir,dug
624,lang::A,hir,dugačak
625,kurz::A,berr,kratak
626,breit::A,ledan,širok
627,schmal::A,strizh,uski
628,schmal::A,strizh,uzak
629,dicht::A,stank,gust
630,dick[Gegenstand]::A,tev,debeo
631,dünn::A,moan,tanak
632,fein::A,munut,fin
633,fein::A,munut,tanak
634,fest::A,start,čvrst
635,flach::A,plaen,ravan
636,flach::A,plaen,plosnat
637,glatt::A,lintr,gladak
638,glatt::A,levn,gladak
639,hart::A,kalet,tvrd
640,weich::A,blot,mek
641,weich::A,blot,mekan
642,rund::A,ront,okrugao
643,spitz::A,poentet,oštar
644,spitz::A,poentet,šiljast
645,scharf::A,dremm,oštar
646,scharf::A,dremm,bridak
647,stumpf::A,talsoc'h,tup
648,schwer::A,pounner,težak
649,schön::A,kaer,krasan
650,heiß::A,tomm,vruć
651,warm::A,tomm,topao
652,kalt::A,yen,hladan
653,kühl::A,yen,hladan
654,frisch::A,fresk,svjež
655,feucht::A,gleb,vlažan
656,nass::A,gleb,mokar
657,trocken::A,sec'h,suh
658,voll::A,leun,pun
659,leer::A,goullo,prazan
660,offen::A,digor,otvoren
661,geschlossen::A,serr,zatvoren
662,sauber::A,naet,čist
663,schmutzig::A,lous,nečist
664,schmutzig::A,lous,blatan
665,roh::A,kriz,sirov
666,reif::A,darev,zreo
667,lecker::A,lipous,tečan
668,lecker::A,lipous,ukusan
669,lecker::A,saourus,tečan
670,lecker::A,saourus,ukusan
671,süß::A,dous,sladak
672,bitter::A,c'hwerv,gorak
673,sauer::A,trenk,kiseo
674,hell::A,sklaer,vedar
675,hell::A,sklaer,svijetao
676,dunkel::A,teñval,taman
677,schwarz::A,du,crn
678,weiß::A,gwenn,bio
679,weiß::A,gwenn,bijel
680,rot::A,ruz,crven
681,gelb::A,melen,žut
682,blau::A,glas,plav
683,blau::A,glas,modar
684,grün::A,gwer,zelen
685,grau::A,louet,siv
686,bunt::A,liesliv,šaren
687,billig::A,marc'had-mat,jeftin
688,teuer::A,ker,skup
689,wertvoll::A,prizius,vrijedan
690,wertvoll::A,prizius,dragocjen
691,blind::A,dall,slijep
692,taub::A,bouzar,gluh
693,kräftig::A,start,snažan
694,stark::A,kreñv,jak
695,stark::A,kreñv,snažan
696,schwach::A,gwan,slab
697,fett::A,lard,pretio
698,schlank::A,sinkl,vitak
699,hübsch::A,koant,zgodan
700,böse::A,gwall,zao
701,böse::A,gwall,opak
702,dumm::A,glep,glup
703,faul::A,lezirek,lijen
704,fleißig::A,studius,radin
705,fleißig::A,studius,marljiv
706,geizig::A,tost,škrt
707,klug::A,speredek,razborit
708,geschickt::A,dornet,vješt
709,lieb::A,koant,drag
710,lustig::A,laouen,veseo
711,sanft::A,flour,blag
712,hungrig::A,marnaon,gladan
713,krank::A,klañv,bolestan
714,nackt::A,noazh,nag
715,traurig::A,trist,tužan
716,traurig::A,trist,žalostan
717,lebendig::A,bev,živ
718,gut::A,mad,dobar
719,schlecht::A,fall,loš
720,schlecht::A,fall,rđav
721,schlecht::A,gwall,loš
722,schlecht::A,gwall,rđav
723,richtig::A,reizh,tačan
724,richtig::A,reizh,ispravan
725,schlimm::A,gwall,zao
726,schlimm::A,gwall,zločest
727,wahr::A,gwir,istinit
728,alt::A,kozh,star
729,neu::A,nevez,nov
730,ehemalig::A,kozh,bivši
731,alt[Lebewesen]::A,kozh,star
732,jung::A,yaouank,mlad
733,arm::A,paour,ubog
734,arm::A,paour,siromašan
735,reich::A,pinvidik,bogat
736,bekannt::A,anavezet,poznat
737,berühmt::A,brudet,čuven
738,berühmt::A,brudet,slavan
739,fremd::A,dizanav,tuđ
740,fremd::A,dizanav,stran
741,verschieden::A,disheñel,razan
742,verschieden::A,disheñel,različan
743,nah::A,nes,blizak
744,fern::A,diabell,dalek
745,fern::A,diabell,daljnji
746,linker::A,kleiz,lijevi
747,rechter::A,dehoù,desni
748,anderer::A,all,drugi
749,anderer::A,all,drugačiji
750,erster::A,kentañ,prvi
751,zweiter::A,eil,drugi
752,dritter::A,trede,treći
753,letzter::A,diwezhañ,zadnji
754,allein::ADV,e-unan,sam
755,auf einmal::ADV,ar un dro,istodobno
756,zusammen::ADV,asambles,skupa
757,zusammen::ADV,asambles,zajedno
758,lange::ADV,pell,dugo
759,plötzlich::ADV,en un taol,naglo
760,plötzlich::ADV,en un taol,iznenada
761,sofort::ADV,diouzhtu,odmah
762,später::ADV,diwezhatoc'h,kasnije
763,jetzt::ADV,bremañ,sad
764,jetzt::ADV,bremañ,sada
765,heute::ADV,hiziv,danas
766,morgen::ADV,arc'hoazh,sutra
767,bald::ADV,hepdale,skoro
768,bald::ADV,hepdale,doskora
769,dann::ADV,a-c'houde,zatim
770,gestern::ADV,dec'h,juče
771,gestern::ADV,dec'h,jučer
772,einst::ADV,gwechall,negda
773,einst::ADV,gwechall,nekada
774,damals::ADV,neuze,tada
775,damals::ADV,neuze,onda
776,danach::ADV,goude,poslije
777,danach::ADV,goude,nakon toga
778,vorher::ADV,diagent,prije
779,vorher::ADV,diagent,prije toga
780,zuerst::ADV,da gentañ,prvo
781,zuerst::ADV,da gentañ,najprije
782,einmal::ADV,ur wech,jednom
783,einmal::ADV,ur wech,jedanput
784,manchmal::ADV,a-wechoù,katkad
785,manchmal::ADV,a-wechoù,katkada
786,oft::ADV,alies,često
787,immer::ADV,atav,vazda
788,immer::ADV,atav,uvijek
789,immer::ADV,bepred,vazda
790,immer::ADV,bepred,uvijek
791,niemals::ADV,gwech ebet,nikad
792,niemals::ADV,gwech ebet,nikada
793,hier::ADV,amañ,tu
794,hier::ADV,amañ,ovdje
795,hierhin::ADV,dre amañ,amo
796,hierhin::ADV,dre amañ,ovamo
797,von hier::ADV,alemañ,odavde
798,dort::ADV,aze,ondje
799,dort::ADV,ahont,ondje
800,dorthin::ADV,di,onamo
801,dorthin::ADV,aze,onamo
802,dorthin::ADV,ahont,onamo
803,geradeaus::ADV,war-eeun,ravno
804,vorwärts::ADV,war-raok,naprijed
805,rückwärts::ADV,war-lerc'h,natrag
806,zurück::ADV,war-dreñv,nazad
807,zurück::ADV,war-dreñv,natrag
808,unten::ADV,en traoñ,dolje
809,hinab::ADV,a-izel,nizbrdo
810,oben::ADV,en nec'h,gore
811,hinauf::ADV,e-krec'h,uzbrdo
812,überall::ADV,dre-holl,svuda
813,überall::ADV,dre-holl,svagdje
814,nicht::ADV,ne ... ket,ne
815,ein wenig::ADV,un tammig,malo
816,kaum::ADV,a-boan,tek
817,kaum::ADV,a-boan,jedva
818,sehr::ADV,-tre,jako
819,sehr::ADV,-tre,veoma
820,sehr::ADV,-kenañ,jako
821,sehr::ADV,-kenañ,veoma
822,so::ADV,evel-se,tako
823,so::ADV,evel-se,ovako
824,noch::ADV,c'hoazh,još
