,Concept_ID,mhr,bn
62,Sonne::N,ке́че,সূর্য
63,Mond::N,ты́лзе,চন্দ্র
64,Stern::N,шӱ́дыр,নক্ষত্র
65,Luft::N,юж,বায়ু
66,Wind::N,марде́ж,বাতাস
67,Welle::N,то́лкын,ঢেউ
68,Welle::N,то́лкын,তরঙ্গ
69,Wasser::N,вӱд,জল
70,Stein::N,кӱ,ঢিল
71,Stein::N,кӱ,প্রস্তর
72,Boden::N,рок,ভূতল
73,Erde::N,мла́нде,ভূমি
74,Staub::N,пура́к,ধুলা
75,Rauch::N,шикш,ধোঁয়া
76,Funke::N,сеске́м,স্ফুলিঙ্গ
77,Funke::N,тулйы́п,স্ফুলিঙ্গ
78,Feuer::N,тул,অগ্নি
79,Licht::N,со́то,আলো
80,Schatten::N,ӱ́мыл,ছায়া
81,Wetter::N,иге́че,আবহাওয়া
82,Nebel::N,тӱтыра́,কুহেলিকা
83,Wolke::N,пыл,মেঘ
84,Regen::N,йӱр,বৃষ্টি
85,Schnee::N,лум,তুষার
86,Eis::N,ий,বরফ
87,Frost::N,чатлама́,তুষার
88,Kälte::N,йӱ́штӧ,শৈত্য
89,Hitze::N,шо́кшо,তাপ
90,Raureif::N,пӧрш,তুহিন
91,Raureif::N,по́кшым,তুহিন
92,Regenbogen::N,шонанпы́л,রামধনু
93,Donner::N,кӱ́дырчӧ,বজ্রধ্বনি
94,Strömung::N,йо́гын,স্রোত
95,Tropfen::N,чӱча́лтыш,ফোঁটা
96,Schaum::N,шоҥ,ফেনা
97,Schmutz::N,лавыра́,ধুলা
98,See::N,ер,হ্রদ
99,Sumpf::N,лӱ́кӧ,জলা
100,Moor::N,куп,মাঠ
101,Wiese::N,о́лык,তৃণভূমি
102,Wald::N,чодыра́,বন
103,Hügel::N,арка́,পাহাড়
104,Anhöhe::N,тӧва́,টিলা
105,Anhöhe::N,кӱкшака́,টিলা
106,Berg::N,ку́рык,পর্বত
107,Gipfel::N,чаҥга́,শীর্ষ
108,Gipfel::N,курыкву́й,শীর্ষ
109,Höhle::N,пеще́р,গুহা
110,Höhle::N,курыкпо́мыш,গুহা
111,Abhang::N,та́йыл,ঢাল
112,Quelle::N,важ,উৎস
113,Quelle::N,вӱдшинча́,উৎস
114,Bach::N,изэҥе́р,ক্ষুদ্র নদী
115,Fluss::N,эҥе́р,নদী
116,Ufer::N,сер,উপকূল
117,Küste::N,вӱдтӱ́р,তীর
118,Festland::N,мла́нде,ভূমি
119,Meer::N,те́ҥыз,সমুদ্র
120,Bucht::N,икса́,উপসাগর
121,Insel::N,отро́,দ্বীপ
122,Blume::N,пеле́дыш,ফুল
123,Gras::N,шу́до,ঘাস
124,Wurzel::N,вож,শিকড়
125,Baum::N,пуше́ҥге,গাছ
126,Stamm::N,йы́тыр,স্কন্ধ
127,Rinde::N,шӱм,বল্কল
128,Ast::N,укш,শাখা
129,Zweig::N,торма́к,ডাল
130,Blatt::N,лышта́ш,পর্ণ
131,Birke::N,куэ́,ভুর্জ
132,Kiefer[Baum]::N,пӱ́нчӧ,পাইন গাছ
133,Weide[Baum]::N,уа́,উইলো
134,Tanne::N,кож,দেবদারূ গাছ
135,Horn::N,шур,শিং
136,Feder::N,пы́стыл,পালক
137,Fell::N,кова́ште,রোম
138,Flügel::N,шу́лдыр,ডানা
139,Klaue::N,кӱч,নখর
140,Kralle::N,ла́па,নখর
141,Kralle::N,копа́,নখর
142,Schwanz::N,поч,লেজ
143,Ei::N,му́но,ডিম
144,Nest::N,пыжа́ш,কুলায়
145,Bau::N,пыжа́ш,ডেরা
146,Tier::N,я́нлык,জন্তু
147,Tier::N,живо́тный,জন্তু
148,Herde::N,кӱ́тӱ,ঝাঁক
149,Herde::N,тӱшка́,ঝাঁক
150,Kuh::N,ушка́л,গোরু
151,Bulle::N,ӱ́шкыж,বৃষ
152,Pferd::N,и́мне,ঘোড়া
153,Schaf::N,шо́рык,ভেড়া
154,Schwein::N,сӧсна́,শূকর
155,Hund::N,пий,কুকুর
156,Katze::N,пы́рыс,বেড়াল
157,Bär::N,маска́,ভল্লুক
158,Eichhörnchen::N,ур,কাঠবিড়াল
159,Elch::N,шо́рдо,হরিণবিশেষ
160,Fuchs::N,ры́выж,পাঁতিশিয়াল
161,Hase::N,мера́ҥ,শশক
162,Maus::N,коля́,নেংটি ইঁদুর
163,Wolf::N,пи́ре,নেকড়ে
164,Vogel::N,ка́йык,পক্ষী
165,Schwarm::N,каша́к,ঝাঁক
166,Huhn::N,чы́ве,মোরগ
167,Hahn::N,агыта́н,কুক্কুট
168,Gans::N,ко́мбо,হংসী
169,Adler::N,карагу́ш,ইগল
170,Ente::N,лу́до,হংসী
171,Eule::N,тумна́,পেচক
172,Kranich::N,турня́,সারস
173,Krähe::N,кора́к,কাক
174,Kuckuck::N,куку́,কোকিল
175,Schwan::N,йӱ́ксӧ,মরাল
176,Fisch::N,кол,মাছ
177,Barsch::N,ола́ҥге,মৎন্যবিশেষ
178,Hecht::N,нуж,বানমাছ
179,Hecht::N,чорта́н,বানমাছ
180,Schlange[Tier]::N,ки́шке,সর্প
181,Wurm::N,шукш,কীট
182,Spinne::N,эҥыре́мыш,মাকড়সা
183,Ameise::N,ку́тко,পিপীলিকা
184,Laus::N,тий,উকুন
185,Mücke::N,шыҥа́,মশা
186,Fliege::N,ка́рме,মাছি
187,Schmetterling::N,лы́ве,প্রজাপতি
188,Beere::N,мӧр,বেরি
189,Apfel::N,олма́,আপেল
190,Pilz::N,по́ҥго,ছত্রক
191,Zwiebel::N,шога́н,পিয়াজ
192,Saat::N,нӧ́шмӧ,বীজ
193,Saat::N,туш,বীজ
194,Korn::N,шу́рно,শস্য
195,Heu::N,шу́до,খড়
196,Schale::N,шӱм,খোসা
197,Grube::N,выне́м,গর্ত
198,Falle::N,лӧ́дӧ,ফাঁদ
199,Schlinge::N,о́птыш,পাশ
200,Schlinge::N,шӧрга́лтыш,পাশ
201,Spur::N,кыша́,চিহ্ন
202,Asche::N,ло́мыж,ভস্ম
203,Dreck::N,лавыра́,ময়লা
204,Eisen::N,кӱ́ртньӧ,লোহা
205,Gold::N,шӧ́ртньӧ,স্বর্ণ
206,Silber::N,ший,রৌপ্য
207,Kohle::N,мландышӱ́й,অঙ্গার
208,Glas::N,янда́,কাচ
209,Lehm::N,шун,মৃত্তিকা
210,Sand::N,ошма́,বালি
211,Mensch::N,еҥ,নর
212,Mensch::N,еҥ,মানুষ
213,Mensch::N,айде́ме,নর
214,Mensch::N,айде́ме,মানুষ
215,Mann::N,пӧръе́ҥ,মানুষ
216,Frau::N,ӱдырама́ш,নারী
217,Kind::N,аза́,বাচ্চা
218,Junge::N,рве́зе,ছেলে
219,Mädchen::N,ӱдыра́ш,মেয়ে
220,Familie::N,еш,পরিবার
221,Großvater::N,коча́,মাতামহ
222,Großmutter::N,кова́,মাতামহী
223,Eltern::N,ача́-ава́,মাতাপিতা
224,Vater::N,ача́,পিতা
225,Mutter::N,ава́,মাতা
226,Sohn::N,э́рге,ছেলে
227,Tochter::N,ӱ́дыр,মেয়ে
228,Bruder::N,иза́,দাদা
229,Bruder::N,шо́льо,দাদা
230,Schwester::N,ака́,বোন
231,Schwester::N,ака́,দিদি
232,Onkel::N,иза́,মামা
233,Tante::N,кока́,মাসী
234,Ehemann::N,мари́й,স্বামী
235,Ehefrau::N,ва́те,পত্নী
236,Freude::N,куа́н,উল্লাস
237,Freude::N,куаныма́ш,উল্লাস
238,Gelächter::N,во́штылтыш,হাসি
239,Glück::N,пиа́л,সুখ
240,Kummer::N,о́йго,দুঃখ
241,Wunsch::N,ку́мыл,আকাঙ্ক্ষা
242,Lust::N,ку́мыл,বাসনা
243,Geist::N,ӧрт,আত্না
244,Geist::N,чон,আত্না
245,Gedanke::N,ой,চিন্তা
246,Gedanke::N,шоныма́ш,চিন্তা
247,Gedächtnis::N,шарныма́ш,স্মরণশক্তি
248,Verstand::N,уш,মন
249,Sinn::N,смысл,পদার্থ
250,Grund::N,ама́л,কারণ
251,Wahrheit::N,чын,সত্য
252,Gespräch::N,мутланыма́ш,কথাবার্তা
253,Märchen::N,йома́к,রূপকথা
254,Erzählung::N,ойлыма́ш,গল্প
255,Nachricht::N,увертарыма́ш,তথ্য
256,Neuigkeit::N,уве́р,খবরাখবর
257,Name::N,лӱм,নাম
258,Rätsel::N,ту́што,ধাঁধা
259,Rede::N,ойлыма́ш,বক্তৃতা
260,Sprache::N,йы́лме,ভাষা
261,Stimme::N,йӱк,স্বর
262,Wort::N,ой,শব্দ
263,Wort::N,мут,শব্দ
264,Zeichen::N,ти́ште,প্রতীক
265,Zeichen::N,знак,প্রতীক
266,Ruf::N,ӱжма́ш,ডাক
267,Lärm::N,лӱшкыма́ш,হৈচৈ
268,Lärm::N,йӱк-йӱа́н,হৈচৈ
269,Laut::N,йӱк,ধ্বনি
270,Ton::N,йӱксе́м,স্বর
271,Lied::N,му́ро,গান
272,Ruhe::N,ты́мык,শান্তি
273,Leute::N,еҥ-влак,প্রজাপুঞ্জ
274,Volk::N,ка́лык,জাতি
275,Arbeit::N,паша́,চাকরি
276,Gast::N,уна́,অতিথি
277,Geschenk::N,пӧле́к,উপহার
278,Spiel::N,мо́дыш,খেলা
279,Spiel::N,модма́ш,খেলা
280,Gesellschaft::N,тӱшка́,সঙ্গিগণ
281,Hilfe::N,по́лыш,সাহায্য
282,Freund::N,таҥ,বন্ধু
283,Freund::N,йолта́ш,বন্ধু
284,Kamerad::N,таҥ,সঙ্গী
285,Angelegenheit::N,паша́,বিষয়
286,Anzahl::N,чот,পরিমাণ
287,Art::N,вид,রকম
288,Stück::N,ка́тыш,টুকরো
289,Stück::N,ла́стык,টুকরো
290,Teil::N,ужа́ш,অংশ
291,Hälfte::N,пел,অর্ধেক
292,Hälfte::N,пе́ле,অর্ধেক
293,Kreis::N,ты́ртыш,বৃত্ত
294,Kreuz::N,ыре́с,ক্রুশ
295,Linie::N,ли́ний,রেখা
296,Strich::N,коре́ш,কষি
297,Abstand::N,кокла́,ফাঁক
298,Entfernung::N,тора́,ব্যবধান
299,Entfernung::N,ку́жыт,ব্যবধান
300,Gegend::N,кунде́м,ক্ষেত্র
301,Platz::N,ку́мдык,জায়গা
302,Ort::N,вер,স্থান
303,Ort::N,о́лмо,স্থান
304,Seite::N,ӧ́рдыж,পার্শ্ব
305,Mitte::N,покше́л,মধ্য
306,Gegenstand::N,наста́,জিনিস
307,Sache::N,наста́,বস্তু
308,Rand::N,тӱр,কানা
309,Kante::N,тӱр,ধার
310,Ecke::N,лук,কোণ
311,Spitze::N,вуй,ডগা
312,Ende::N,муча́ш,প্রান্ত
313,Loch::N,рож,গর্ত
314,Winkel::N,лук,কোণ
315,Muster::N,пеза́к,নমুন্
316,Muster::N,узо́р,নমুন্
317,Muster::N,ӱ́лгӧ,নমুন্
318,Größe::N,кӱ́кшыт,আয়তন
319,Länge::N,ку́тыш,দৈর্ঘ্য
320,Höhe::N,кӱ́кшыт,উচ্চতা
321,Gewicht::N,не́лыт,ওজন
322,Menge::N,чот,পরিমাণ
323,Haufen::N,кы́шыл,পুঞ্জ
324,Reihe::N,рада́м,শ্রেণী
325,Boot::N,пуш,নৌকা
326,Ruder::N,эшка́к,দাঁড়
327,Schlitten::N,тер,স্নেজ্-গাড়ি
328,Schlitten::N,изде́р,স্নেজ্-গাড়ি
329,Ski::N,е́че,শী
330,Lagerfeuer::N,туло́то,অগ্নি
331,Last::N,нӧ́лтыш,বোঝা
332,Gang::N,ошкылма́ш,হণ্টন
333,Schritt::N,о́шкыл,পদ
334,Norden::N,йӱдйыма́л,উত্তরদিক্
335,Süden::N,кечывалве́л,দক্ষিণদিক
336,Westen::N,касве́л,পশ্চিমদিক্
337,Osten::N,эрве́л,পূর্বদিক
338,Holz::N,пу,কাঠ
339,Brett::N,оҥа́,তক্তা
340,Platte::N,аста́р,ফলক
341,Stütze::N,чара́к,নাগদণ্ড
342,Stange::N,лома́ш,দণ্ড
343,Stock::N,тоя́,ছড়ি
344,Stab::N,вара́,যষ্টি
345,Stab::N,кашта́,যষ্টি
346,Rohr::N,пуч,নল
347,Haus::N,пӧрт,ঘর
348,Heim::N,мӧ́ҥгӧ,বাসা
349,Ofen::N,комака́,স্টোভ্
350,Fußboden::N,кӱва́р,গহতল
351,Tisch::N,ӱсте́л,মেজ
352,Tisch::N,ӱсте́л,টেবিল
353,Stuhl::N,пӱке́н,চেয়ার
354,Stuhl::N,пӱке́н,কেদারা
355,Wiege::N,шепка́,দোলনা
356,Bett::N,ва́кшыш,শয্যা
357,Regal::N,шӧ́рлык,তাক
358,Kiste::N,шо́ндык,বাক্স
359,Kiste::N,я́шлык,বাক্স
360,Fenster::N,окна́,জানালা
361,Tür::N,омса́,দ্বার
362,Tor::N,капка́,দ্বার
363,Zaun::N,сава́р,বেড়া
364,Dach::N,леве́дыш,ছাদ
365,Leiter::N,тошка́лтыш,মই
366,Besen::N,ӱштерво́штыр,গুল্মবিশেষ
367,Spaten::N,ко́льмо,কোদাল
368,Schaufel::N,сово́к,বেলচা
369,Schaufel::N,су́ско,বেলচা
370,Gabel::N,ви́лке,কাঁটা
371,Löffel::N,па́не,চামচ
372,Löffel::N,совла́,চামচ
373,Messer::N,кӱ́зӧ,ছুরি
374,Nagel::N,пуда́,পেরেক
375,Netz::N,вапш,জাল
376,Haken::N,са́гыле,কাচি
377,Griff::N,кыл,হাতল
378,Schloss::N,кӧгӧ́н,তালা
379,Bild::N,сӱре́т,ছবি
380,Bild::N,сӱре́т,চিত্র
381,Figur::N,фигу́р,আকার
382,Puppe::N,курча́к,পুতুল
383,Beutel::N,меша́к,বটুয়া
384,Bündel::N,арша́ш,আঁটি
385,Tasche::N,сумка́,থলি
386,Eimer::N,ведра́,বাল্তি
387,Deckel::N,ко́мдыш,আবরণ
388,Geschirr::N,а́те,থালা-বাসন
389,Sack::N,куль,বস্তা
390,Sack::N,меша́к,বস্তা
391,Tasse::N,чу́кыр,কাপ
392,Tasse::N,чашка́,কাপ
393,Topf::N,ми́ске,পাত্র
394,Kessel::N,под,কেটলি
395,Essen::N,ко́чкыш,আহার
396,Nahrung::N,ку́рго,খাদ্য
397,Speise::N,ко́чкыш,খাদ্য
398,Fleisch::N,шыл,মাংস
399,Getreide::N,шу́рно,শস্য
400,Brei::N,пу́чымыш,মণ্ড
401,Brot::N,ки́нде,রুটি
402,Scheibe::N,ка́тыш,ফালি
403,Fett::N,коя́,মেদ
404,Butter::N,ӱй,মাখন
405,Öl::N,ӱй,তৈল
406,Salz::N,шинча́л,নুন
407,Suppe::N,шӱр,শুরুয়া
408,Honig::N,мӱй,মধু
409,Milch::N,шӧр,দুধ
410,Tee::N,чай,চা
411,Leder::N,сура́н,পাকা চামড়া
412,Leder::N,шӱ́штӧ,পাকা চামড়া
413,Wolle::N,пун,পশম
414,Stoff::N,куэ́м,বস্ত্র
415,Stoff::N,посто́,বস্ত্র
416,Nadel::N,и́ме,সুচ
417,Faden::N,шӱ́ртӧ,সূত্র
418,Knopf::N,по́лдыш,বোতাম
419,Knoten::N,пышке́м,গিঁট
420,Farbe::N,чия́,রং
421,Kleidung::N,чие́м,কাপড়
422,Kleidung::N,вурге́м,কাপড়
423,Hemd::N,ту́выр,শার্ট
424,Kragen::N,сога́,গলবন্ধ
425,Ärmel::N,шокш,আস্তিন্
426,Hose::N,йола́ш,ট্রাউজার
427,Gürtel::N,ӱ́штӧ,কটিবন্ধ
428,Mütze::N,упш,টুপি
429,Schuh::N,боти́нке,জুতো
430,Stiefel::N,кем,বুট
431,Ring::N,шерга́ш,আংটি
432,Band::N,тасма́,ফিতা
433,Band::N,ле́нте,ফিতা
434,Kamm::N,шерге́,চিরুনি
435,Spiegel::N,вошто́нчыш,আয়না
436,Riemen::N,кӱзанӱ́штӧ,চাবুক
437,Schnur::N,кере́м,দড়ি
438,Schnur::N,кандыра́,দড়ি
439,Leine::N,вӱра́ҥ,শিকল
440,Decke::N,леве́дыш,কম্বল
441,Decke::N,одея́л,কম্বল
442,Kissen::N,кӱ́пчык,উপাধান
443,Tuch::N,шо́выч,বস্ত্র
444,Handtuch::N,со́лык,তোয়ালে
445,Kraft::N,вий,জোর
446,Kraft::N,куа́т,জোর
447,Stärke::N,куа́т,শক্তি
448,Stärke::N,карма́н,শক্তি
449,Gesundheit::N,таза́лык,স্বাস্থ্য
450,Krankheit::N,чер,অসুখ
451,Krankheit::N,чер,ব্যামো
452,Schmerz::N,ко́рштыш,যন্ত্রণা
453,Wunde::N,су́сыр,ক্ষত
454,Fieber::N,йӱштыму́ж,জ্বর
455,Fieber::N,лихора́дке,জ্বর
456,Arznei::N,эм,ঔষধ
457,Brücke::N,кӱва́р,সেতু
458,Brunnen::N,вӱдвыне́м,কূপ
459,Weide::N,нурше́р,পশুচারণভূমি
460,Pfad::N,йолго́рно,পথ
461,Pfad::N,сокма́к,পথ
462,Weg::N,ко́рно,পথ
463,Straße::N,ко́рно,রাস্তা
464,Dorf::N,ял,গ্রাম
465,Stadt::N,ола́,শহর
466,Brief::N,се́рыш,চিঠি
467,Buch::N,книга́,বই
468,Buchstabe::N,буква́,অক্ষর
469,Zeitung::N,газе́т,সংবাদপত্র
470,Leben::N,и́лыш,জীবন
471,Tod::N,колыма́ш,মৃত্যু
472,Grab::N,шӱга́р,কবর
473,Kirche::N,че́рке,গির্জা
474,Sünde::N,су́лык,পাপ
475,Gott::N,ю́мо,দেবতা
476,Arbeiter::N,паша́зе,শ্রমিক
477,Chef::N,тӧра́,নেতা
478,Meister::N,маста́р,ব্যক্তি
479,Arzt::N,врач,চিকিৎসক
480,Lehrer::N,ту́ныктышо,অধ্যাপক
481,Geld::N,окса́,মুদ্রা
482,Geld::N,окса́,টাকাপয়সা
483,Geschäft::N,сатулыма́ш,ব্যস্ততা
484,Laden::N,ке́выт,দোকান
485,Preis::N,ак,মূল্য
486,Ware::N,сату́,পণ্যদ্রব্য
487,Nutzen::N,пайда́,সুবিধা
488,Reichtum::N,поя́нлык,ধনদৌলত
489,Welt::N,тӱня́,জগৎ
490,Land::N,эл,খেত
491,Staat::N,кугыжа́ныш,রাষ্ট্র
492,König::N,кугыжа́,রাজা
493,Macht::N,власть,প্রভাব
494,Grenze::N,грани́ца,সীমা
495,Krieg::N,сар,যুদ্ধ
496,Feind::N,тушма́н,শত্রু
497,Gewalt::N,виешлыма́ш,জোর
498,Kampf::N,кредалма́ш,লড়াই
499,Bogen[Waffe]::N,юҥе́ж,ধনুক
500,Pfeil::N,пикш,বাণ
501,Gewehr::N,пыча́л,বন্দুক
502,Fehler::N,йо́ҥылыш,ভুল
503,Lüge::N,шоя́к,মিথ্যা
504,Schaden::N,зия́н,ক্ষতি
505,Unglück::N,эҥге́к,দুর্ভাগ্য
506,Schuld::N,тита́к,অপরাধ
507,Schuld::N,йола́,অপরাধ
508,Alter::N,ийго́т,আয়ু
509,Schluss::N,муча́ш,শেষ
510,Zeit::N,жап,সময়
511,Zeit::N,па́гыт,সময়
512,Tag::N,ке́че,দিন
513,Morgen::N,эр,সকাল
514,Mittag::N,кечыва́л,মধ্যাহু
515,Abend::N,кас,সন্ধ্যা
516,Nacht::N,йӱд,রাত্রি
517,Woche::N,арня́,সপ্তাহ
518,Monat::N,ты́лзе,মাস
519,Jahr::N,ий,সৌরবর্ষ
520,Frühling::N,шо́шо,বসন্তকাল
521,Sommer::N,кеҥе́ж,গ্রীষ্মকাল
522,Herbst::N,шы́же,শরংঋতু
523,Winter::N,те́ле,শীতকাল
524,Januar::N,шоркыйол,জানুয়ারী
525,Januar::N,идалыкву́й,জানুয়ারী
526,Januar::N,янва́рь,জানুয়ারী
527,Februar::N,пургыж,ফেব্রুয়ারী
528,Februar::N,февра́ль,ফেব্রুয়ারী
529,März::N,ӱярня,মার্চ
530,März::N,март,মার্চ
531,April::N,апре́ль,এপ্রিল
532,Mai::N,ага,মে
533,Mai::N,май,মে
534,Juni::N,пеледыш,জুন
535,Juni::N,ию́нь,জুন
536,Juli::N,сӱрем,জুলাই
537,Juli::N,ию́ль,জুলাই
538,August::N,сорла,অগাস্ট
539,August::N,агарма́н,অগাস্ট
540,August::N,а́вгуст,অগাস্ট
541,September::N,идым,সেপ্টেম্বর
542,September::N,сентя́брь,সেপ্টেম্বর
543,Oktober::N,шыжа,অক্টোবর
544,Oktober::N,октя́брь,অক্টোবর
545,November::N,кылме тылзе,নভেম্বর
546,November::N,ноя́брь,নভেম্বর
547,Dezember::N,дека́брь,ডিসেম্বর
548,Montag::N,шо́чмо,সোমবার
549,Dienstag::N,ку́шкыжмо,মঙ্গলবার
550,Mittwoch::N,вӱрге́че,বুধবার
551,Donnerstag::N,изарня́,বৃহম্পতিবার
552,Freitag::N,кугарня́,শুক্রবার
553,Samstag::N,шуматке́че,শনিবার
554,Sonntag::N,рушарня́,রবিবার
555,groß::A,кугу́,বৃহৎ
556,klein::A,изи́,ছোট
557,lang::A,кужу́,দীর্ঘ
558,kurz::A,кӱ́чык,খর্ব
559,kurz::A,кӱ́чык,হ্রস্ব
560,breit::A,кумда́,চওড়া
561,schmal::A,а́ҥысыр,সরু
562,dicht::A,ну́гыдо,ঘন
563,dick[Gegenstand]::A,кӱ́жгӧ,পুরু
564,dünn::A,ви́чкыж,কৃশ
565,fein::A,ты́гыде,সূক্ষ্ম
566,fest::A,чо́ткыдо,দৃঢ়
567,flach::A,лапка́,সমতল
568,glatt::A,яклака́,মসৃণ
569,hart::A,пе́ҥгыде,শক্ত
570,weich::A,пу́шкыдо,নরম
571,rund::A,йырге́шке,গোলাকার
572,spitz::A,коша́р,তীক্ষ্ন
573,scharf::A,пӱ́сӧ,শাণিত
574,stumpf::A,токма́к,ভোঁতা
575,schwer::A,не́ле,ভারী
576,schön::A,сы́лне,সুন্দর
577,heiß::A,шо́кшо,গরম
578,warm::A,ле́ве,ঈষদুষ্ণ
579,kalt::A,йӱ́штӧ,ঠাণ্ডা
580,kühl::A,юа́лге,শীতল
581,kühl::A,южгата́,শীতল
582,frisch::A,свежа́,তাজা
583,feucht::A,вӱ́дыжгӧ,ভিজা
584,nass::A,нӧ́рӧ,ভিজা
585,trocken::A,ку́кшо,শুষ্ক
586,voll::A,тич,পূর্ণ
587,leer::A,яра́,খালি
588,offen::A,виш,খোলা
589,geschlossen::A,пе́тырыме,বন্ধ
590,geschlossen::A,тӱ́чмӧ,বন্ধ
591,sauber::A,ару́,নির্মল
592,sauber::A,янда́р,নির্মল
593,schmutzig::A,лавыра́н,নোংরা
594,schmutzig::A,ла́выргыше,নোংরা
595,roh::A,кӱ́чымӧ,কাঁচা
596,reif::A,лӧза́,পাকা
597,lecker::A,ту́тло,সুস্বাদ
598,süß::A,ше́ре,মিষ্ট
599,bitter::A,ко́чо,তিক্ত
600,sauer::A,шо́по,টক
601,hell::A,во́лгыдо,উজ্জ্বল
602,dunkel::A,пычке́мыш,অন্ধকারময়
603,schwarz::A,шола́,কালো
604,weiß::A,ош,সাদা
605,rot::A,йошка́р,লাল
606,gelb::A,сар,হলদে
607,blau::A,ка́нде,নীল
608,grün::A,ужа́р,সবুজ
609,grau::A,сур,ছাই-রঙা
610,bunt::A,олача́,রঙিন
611,billig::A,шу́лдо,সস্তা
612,teuer::A,ше́рге,আক্রা
613,wertvoll::A,шергака́н,মহার্ঘ
614,blind::A,со́кыр,কানা
615,taub::A,соҥгыра́,বধির
616,kräftig::A,куа́тле,বিশাল
617,stark::A,вия́н,শক্তিশালী
618,schwach::A,а́лдыме,দুর্বল
619,fett::A,коя́,মোটা
620,schlank::A,йоштката́,কৃশ
621,schlank::A,яжу́,কৃশ
622,hübsch::A,чеве́р,সুন্দর
623,böse::A,шы́де,খারাপ
624,dumm::A,аҥыра́,মূর্খ
625,faul::A,його,শ্রমবিমুখ
626,fleißig::A,ты́ршыше,পরিশ্রমী
627,geizig::A,чаҥга́,ব্যয়কুণ্ঠ
628,klug::A,уша́н,দক্ষ
629,geschickt::A,уста́,পটু
630,lieb::A,ала́л,প্রেয়
631,lustig::A,весела́,প্রফুল্ল
632,sanft::A,ны́жылге,নম্র
633,hungrig::A,шу́жышо,ক্ষুধার্ত
634,krank::A,че́рле,অসুস্থ
635,nackt::A,чарама́т,উলঙ্গ
636,traurig::A,ойга́н,দুঃখিত
637,lebendig::A,и́лыше,জীবিত
638,gut::A,сай,ভালো
639,schlecht::A,уда́,মন্দ
640,schlecht::A,шӱ́кшӧ,মন্দ
641,richtig::A,чы́нле,ঠিক
642,schlimm::A,аля́к,কদর্য
643,schlimm::A,тыра́н,কদর্য
644,wahr::A,чы́нле,বাস্তব
645,wahr::A,настоя́щий,বাস্তব
646,alt::A,то́што,পুরাতন
647,neu::A,у,নব
648,neu::A,у,নূতন
649,ehemalig::A,о́нчычсо,পূর্বকালীন
650,ehemalig::A,онда́кысе,পূর্বকালীন
651,alt[Lebewesen]::A,шо́нто,বৃদ্ধ
652,jung::A,са́мырык,তরুণ
653,arm::A,нужна́,ক্ষুদ্র
654,reich::A,поя́н,ধনবান্
