,Concept_ID,ba,uk
155,Hase::N,ҡуян,заєць
156,Maus::N,сысҡан,миша
157,Wolf::N,бүре,вовк
158,Vogel::N,ҡош,птах
159,Schwarm::N,көтөү,зграя
160,Huhn::N,тауыҡ,курка
161,Hahn::N,әтәс,півень
162,Gans::N,ҡаҙ,гуска
163,Adler::N,бөркөт,орел
164,Ente::N,өйрәк,качка
165,Eule::N,өкө,сова
166,Eule::N,ябалаҡ,сова
167,Kranich::N,торна,журавель
168,Krähe::N,ҡарға,ворона
169,Kuckuck::N,кәкүк,зозуля
170,Schwan::N,аҡҡош,лебідь
171,Fisch::N,балыҡ,риба
172,Barsch::N,алабуға,окунь
173,Hecht::N,суртан,щука
174,Schlange[Tier]::N,йылан,змія
175,Wurm::N,селяүсен,черв’як
176,Spinne::N,үрмәксе,павук
177,Ameise::N,ҡырмыҫҡа,мурашка
178,Laus::N,бет,воша
179,Mücke::N,серәкәй,комар
180,Fliege::N,себен,муха
181,Schmetterling::N,күбәләк,метелик
182,Beere::N,еләк,ягода
183,Apfel::N,алма,яблуко
184,Pilz::N,бәшмәк,гриб
185,Zwiebel::N,һуган,цибуля
186,Saat::N,орлоҡ,сім’я
187,Korn::N,иген,зерно
188,Heu::N,бесән,сіно
189,Schale::N,ҡабыҡ,шкірка
190,Grube::N,соҡор,яма
191,Falle::N,тоҙак,пастка
192,Falle::N,ҡапҡан,пастка
193,Schlinge::N,тоҙак,петля
194,Spur::N,әҫер,слід
195,Asche::N,көл,зола
196,Asche::N,көл,попіл
197,Dreck::N,батҡаҡ,бруд
198,Eisen::N,тимер,залізо
199,Gold::N,алтын,золото
200,Silber::N,көмөш,срібло
201,Kohle::N,күмер,вугілля
202,Glas::N,быяла,скло
203,Lehm::N,балсыҡ,глина
204,Sand::N,ҡом,пісок
205,Mensch::N,кеше,людина
206,Mann::N,ир,чоловік
207,Frau::N,ҡатын,жінка
208,Kind::N,бала,дитина
209,Junge::N,малай,хлопець
210,Mädchen::N,ҡыҙ,дівчина
211,Mädchen::N,ҡыҙыҡай,дівчина
212,Familie::N,ғаилә,сім’я
213,Familie::N,ғаилә,родина
214,Großvater::N,олатай,дідусь
215,Großmutter::N,әбәй,бабуся
216,Eltern::N,ата-әсә,батьки
217,Vater::N,атай,батько
218,Mutter::N,әсә,мати
219,Sohn::N,ул,син
220,Tochter::N,ҡыҙ,дочка
221,Bruder::N,агай,брат
222,Schwester::N,алай,сестра
223,Schwester::N,һеңле,сестра
224,Onkel::N,ағай,дядько
225,Tante::N,апай,тітка
226,Ehemann::N,ир,чоловік
227,Ehefrau::N,ҡатын,жінка
228,Ehefrau::N,ҡатын,дружина
229,Freude::N,шатлыҡ,радощі
230,Freude::N,ҡыуаныс,радощі
231,Gelächter::N,көлөү,сміх
232,Glück::N,бәхет,щастя
233,Kummer::N,ҡайғы,горе
234,Wunsch::N,теләк,бажання
235,Lust::N,әүәҫлек,бажання
236,Geist::N,аң,дух
237,Geist::N,рух,дух
238,Gedanke::N,уй,думка
239,Gedanke::N,фекер,думка
240,Gedächtnis::N,хәтер,пам’ять
241,Verstand::N,аҡыл,розум
242,Sinn::N,мәғәня,зміст
243,Sinn::N,мәғәня,значення
244,Grund::N,сәбәп,причина
245,Wahrheit::N,дөрөҫлөк,правда
246,Gespräch::N,әңгәмә,розмова
247,Märchen::N,әкиәт,байка
248,Erzählung::N,хикәйә,повість
249,Erzählung::N,хикәйә,оповідання
250,Nachricht::N,хәбәр,повідомлення
251,Neuigkeit::N,яңылыҡ,новина
252,Name::N,исем,ім’я
253,Rätsel::N,йомаҡ,загадка
254,Rede::N,телмәр,промова
255,Sprache::N,тел,мова
256,Sprache::N,телмәр,мова
257,Stimme::N,тауыш,голос
258,Wort::N,һүҙ,слово
259,Zeichen::N,билдә,знак
260,Ruf::N,саҡырыу,оклик
261,Lärm::N,шаулау,шум
262,Laut::N,тауыш,звук
263,Ton::N,яңғырау,тон
264,Lied::N,йыр,пісня
265,Ruhe::N,ял,спокій
266,Ruhe::N,тыныслыҡ,спокій
267,Leute::N,кешеләр,люди
268,Volk::N,халҡ,народ
269,Arbeit::N,эш,робота
270,Gast::N,ҡунаҡ,гість
271,Geschenk::N,бүләк,подарунок
272,Spiel::N,уйын,гра
273,Gesellschaft::N,йәмғиәт,товариство
274,Hilfe::N,ярҙам,допомога
275,Freund::N,дуҫ,друг
276,Freund::N,дуҫ,приятель
277,Kamerad::N,иптәш,товариш
278,Angelegenheit::N,әш,справа
279,Anzahl::N,һан,число
280,Art::N,төр,рід
281,Stück::N,киҫәк,кусок
282,Teil::N,өлөш,частина
283,Hälfte::N,ярты,половина
284,Kreis::N,түңәрәк,круг
285,Kreis::N,түңәрәк,коло
286,Kreuz::N,тәре,хрест
287,Linie::N,һыҙыҡ,лінія
288,Strich::N,һыҙат,штрих
289,Abstand::N,ара,проміжок
290,Entfernung::N,алыҫлыҡ,відстань
291,Gegend::N,урын,місцевість
292,Platz::N,арауыҡ,площа
293,Ort::N,ерҙәр,місце
294,Ort::N,урындар,місце
295,Ort::N,эш урыны,місце
296,Seite::N,яҡ,сторона
297,Mitte::N,урталыҡ,середина
298,Gegenstand::N,нәмә,предмет
299,Sache::N,нәмә,річ
300,Sache::N,әйбер,річ
301,Rand::N,сит,край
302,Kante::N,ҡабырға,ребро
303,Kante::N,ян,ребро
304,Ecke::N,мөйөш,ріг
305,Spitze::N,ос,кінчик
306,Ende::N,аҙаҡ,кінець
307,Loch::N,тишек,діра
308,Winkel::N,мөйөш,куток
309,Muster::N,биҙәк,узор
310,Größe::N,ҙурлыҡ,розмір
311,Länge::N,оҙонлоҡ,довжина
312,Höhe::N,бейеклек,висота
313,Gewicht::N,үлсәү,вага
314,Menge::N,һан,кількість
315,Haufen::N,өйөм,купа
316,Reihe::N,рәт,ряд
317,Boot::N,кәмә,човен
318,Ruder::N,ишкәк,весло
319,Schlitten::N,сана,сани
320,Ski::N,саңгы,лижа
321,Lagerfeuer::N,костер,вогнище
322,Last::N,ауырлыҡ,тягар
323,Last::N,ауырлыҡ,вантаж
324,Gang::N,барыу,хід
325,Schritt::N,аҙым,крок
326,Norden::N,төньяҡ,північ
327,Süden::N,көньяҡ,південь
328,Westen::N,көнбайыш,захід
329,Osten::N,көнсығыш,схід
330,Holz::N,үағас,дрова
331,Brett::N,таҡта,дошка
332,Platte::N,плита,плита
333,Stütze::N,терәк,підпірка
334,Stange::N,кәртә,жердина
335,Stock::N,таяҡ,палиця
336,Stab::N,ҡолға,палиця
337,Rohr::N,торба,труба
338,Haus::N,өй,дім
339,Haus::N,өй,хата
340,Haus::N,йорт,дім
341,Haus::N,йорт,хата
342,Heim::N,өй,житло
343,Ofen::N,мейес,піч
344,Fußboden::N,енес,підлога
345,Tisch::N,өҫтәл,стіл
346,Stuhl::N,ултырғыс,стілець
347,Wiege::N,бишек,колиска
348,Bett::N,карауат,ліжко
349,Bett::N,карауат,постіль
350,Regal::N,кәштә,полиця
351,Kiste::N,йәшинк,ящик
352,Fenster::N,тәҙрә,вікно
353,Tür::N,ишек,двері
354,Tor::N,ҡапҡа,ворота
355,Zaun::N,ҡойма,паркан
356,Zaun::N,ҡойма,огорожа
357,Dach::N,түбә,дах
358,Dach::N,ҡыйыҡ,дах
359,Leiter::N,баҫҡыс,драбина
360,Besen::N,һепертке,мітла
361,Spaten::N,көрәк,заступ
362,Schaufel::N,көрәк,совок
363,Schaufel::N,көрәк,лопата
364,Gabel::N,сәнске,виделка
365,Löffel::N,ҡалаҡ,ложка
366,Messer::N,бысаҡ,ніж
367,Nagel::N,сөй,цвях
368,Netz::N,ау,сіть
369,Haken::N,ыргаҡ,крюк
370,Griff::N,тотҡа,ручка
371,Griff::N,тотҡа,держак
372,Schloss::N,йоҙаҡ,замок
373,Bild::N,картина,картина
374,Figur::N,һын,фігура
375,Puppe::N,ҡурсаҡ,лялька
376,Beutel::N,тоҡ,мішечок
377,Beutel::N,тоҡ,торбинка
378,Bündel::N,төргәк,в’язка
379,Tasche::N,сумка,сумка
380,Eimer::N,биҙрә,відро
381,Deckel::N,ҡапҡас,кришка
382,Geschirr::N,һауыт-һаба,посуд
383,Sack::N,тоҡ,мішок
384,Tasse::N,сынаяҡ,чашка
385,Topf::N,кәстрүл,горщик
386,Kessel::N,ҡаҙан,котел
387,Essen::N,ашау,їжа
388,Nahrung::N,аҙыҡ,харч
389,Speise::N,аш,страва
390,Fleisch::N,ит,м’ясо
391,Getreide::N,иген,хліб
392,Getreide::N,иген,збіжжя
393,Getreide::N,ашлыҡ,хліб
394,Getreide::N,ашлыҡ,збіжжя
395,Brei::N,бутҡа,каша
396,Brot::N,икмәк,хліб
397,Scheibe::N,телем,скибочка
398,Fett::N,май,жир
399,Butter::N,май,масло
400,Öl::N,май буяуы,олія
401,Salz::N,тоҙ,сіль
402,Suppe::N,һурпа,суп
403,Honig::N,бал,мед
404,Milch::N,һөт,молоко
405,Tee::N,сәй,чай
406,Leder::N,күн,шкіра
407,Wolle::N,йөн,шерсть
408,Stoff::N,туҡыма,тканина
409,Nadel::N,энә,голка
410,Faden::N,еп,нитка
411,Knopf::N,төймә,ґудзик
412,Knoten::N,төйөн,вузол
413,Farbe::N,буяу,фарба
414,Kleidung::N,кейем,одяг
415,Kleidung::N,кейем,убрання
416,Hemd::N,күлдәк,сорочка
417,Kragen::N,яға,комір
418,Ärmel::N,ең,рукав
419,Hose::N,салбар,брюки
420,Gürtel::N,ҡайыш,пояс
421,Mütze::N,бүрк,шапка
422,Schuh::N,туфли,ботинок
423,Stiefel::N,итек,чобіт
424,Ring::N,йөҙөк,кільце
425,Ring::N,балдаҡ,кільце
426,Band::N,таҫма,стрічка
427,Kamm::N,тараҡ,гребінець
428,Spiegel::N,көзгө,дзеркало
429,Riemen::N,ҡайыш,ремінь
430,Schnur::N,бау,вірьовка
431,Leine::N,бау,шворка
432,Decke::N,одеяд,ковдра
433,Kissen::N,мендәр,подушка
434,Tuch::N,яулыҡ,хустка
435,Handtuch::N,таҫтамал,рушник
436,Kraft::N,көс,сила
437,Stärke::N,көс,сила
438,Gesundheit::N,һаулыҡ,здоров’я
439,Krankheit::N,сир,хвороба
440,Krankheit::N,ауырыу,хвороба
441,Schmerz::N,һыҙлау,біль
442,Schmerz::N,әрнеү,біль
443,Wunde::N,йәрәхәт,рана
444,Fieber::N,тапма,гарячка
445,Fieber::N,биҙгәк,гарячка
446,Arznei::N,дарыу,ліки
447,Brücke::N,күпер,міст
448,Brunnen::N,ҡоҙоҡ,колодязь
449,Weide::N,көтөүлек,пасовище
450,Pfad::N,һуҡмаҡ,стежка
451,Weg::N,юл,шлях
452,Weg::N,юл,дорога
453,Straße::N,урам,вулиця
454,Dorf::N,ауыл,село
455,Stadt::N,ҡала,місто
456,Brief::N,хат,лист
457,Buch::N,китап,книга
458,Buch::N,китап,книжка
459,Buch::N,кенәгә,книга
460,Buch::N,кенәгә,книжка
461,Buchstabe::N,хәреф,буква
462,Buchstabe::N,хәреф,літера
463,Zeitung::N,гәзит,газета
464,Leben::N,йәшәү,життя
465,Tod::N,үлем,смерть
466,Grab::N,ҡәбер,могила
467,Kirche::N,сиркәү,церква
468,Sünde::N,гөнаһ,гріх
469,Gott::N,алла,бог
470,Gott::N,хоҙай,бог
471,Arbeiter::N,эшсе,робітник
472,Chef::N,башлыҡ,хазяїн
473,Meister::N,оҫта,умілець
474,Arzt::N,врач,лікар
475,Lehrer::N,уҡытыусы,вчитель
476,Geld::N,аҡса,гроші
477,Geschäft::N,эш,заняття
478,Laden::N,магазин,магазин
479,Laden::N,магазин,крамниця
480,Preis::N,хаҡ,ціна
481,Ware::N,тауар,товар
482,Nutzen::N,файҙа,вигода
483,Nutzen::N,файҙа,користь
484,Reichtum::N,байлыҡ,багатство
485,Welt::N,донъя,світ
486,Land::N,ил,країна
487,Staat::N,дәүләт,держава
488,König::N,король,король
489,Macht::N,власть,влада
490,Grenze::N,сик,кордон
491,Krieg::N,һуғыш,війна
492,Feind::N,йылан,ворог
493,Gewalt::N,көслөк,насильство
494,Kampf::N,көрәш,бій
495,Kampf::N,көрәш,боротьба
496,Bogen[Waffe]::N,йәйә,лук
497,Pfeil::N,уҡ,стріла
498,Gewehr::N,мылтыҡ,рушниця
499,Gewehr::N,мылтыҡ,гвинтівка
500,Fehler::N,хата,помилка
501,Lüge::N,ялған,брехня
502,Schaden::N,зыян,шкода
503,Schaden::N,зыян,збиток
504,Schaden::N,зарар,шкода
505,Schaden::N,зарар,збиток
506,Unglück::N,ҡаза,нещастя
507,Schuld::N,ғәйеп,провина
508,Alter::N,йәш,вік
509,Alter::N,йәш,літа
510,Schluss::N,һуң,кінець
511,Schluss::N,аҙаҡ,кінець
512,Zeit::N,мәл,час
513,Zeit::N,заман,час
514,Tag::N,көн,день
515,Morgen::N,иртә,ранок
516,Morgen::N,иртәнсәк,ранок
517,Mittag::N,төш,південь
518,Abend::N,кис,вечір
519,Nacht::N,төн,ніч
520,Woche::N,аҙна,тиждень
521,Monat::N,ай,місяць
522,Jahr::N,йыл,рік
523,Frühling::N,яҙ,весна
524,Sommer::N,йәй,літо
525,Herbst::N,көз,осінь
526,Winter::N,ҡыш,зима
527,Januar::N,ғинуар,січень
528,Februar::N,февраль,лютий
529,März::N,март,березень
530,April::N,апрель,квітень
531,Mai::N,май,травень
532,Juni::N,июнь,червень
533,Juli::N,июль,липень
534,August::N,август,серпень
535,September::N,сентябрь,вересень
536,Oktober::N,октябрь,жовтень
537,November::N,ноябрь,листопад
538,Dezember::N,декабрь,грудень
539,Montag::N,дүшәмбе,понеділок
540,Dienstag::N,шишәмбе,вівторок
541,Mittwoch::N,шаршамбы,середа
542,Donnerstag::N,кесаҙна,четвер
543,Freitag::N,йома,п’ятниця
544,Samstag::N,шәмбе,субота
545,Sonntag::N,йәкшәмбе,неділя
546,groß::A,ҙур,великий
547,klein::A,бәләкәс,малий
548,klein::A,бәләкәс,маленький
549,lang::A,оҙон,довгий
550,kurz::A,ҡыҫҡа,короткий
551,breit::A,киң,широкий
552,schmal::A,тар,вузький
553,dicht::A,йыш,густий
554,dicht::A,ҡуйы,густий
555,dick[Gegenstand]::A,ҡалын,товстий
556,dünn::A,йоҡа,тонкий
557,dünn::A,нәҙек,тонкий
558,fein::A,нескә,дрібний
559,fest::A,ныҡ,міцний
560,flach::A,яҫы,плоский
561,flach::A,ялпаҡ,плоский
562,glatt::A,шыма,рівний
563,glatt::A,шыма,гладенький
564,hart::A,ҡаты,твердий
565,weich::A,йомшаҡ,м’який
566,rund::A,түңәрәк,круглий
567,spitz::A,осло түбәле,гострокінцевий
568,scharf::A,үткер,гострий
569,stumpf::A,утмәҫ,тупий
570,schwer::A,ауыр,важкий
571,schön::A,матур,вродливий
572,heiß::A,эҫе,жаркий
573,heiß::A,эҫе,гарячий
574,warm::A,йылы,теплий
575,kalt::A,һыуыҡ,холодний
576,kühl::A,һалҡынса,прохолодний
577,frisch::A,һалҡынса,свіжий
578,feucht::A,еүеш,вогкий
579,feucht::A,дымлы,вогкий
580,nass::A,еүеш,мокрий
581,trocken::A,кипкән,сухий
582,voll::A,тулы,повний
583,leer::A,буш,пустий
584,offen::A,асыҡ,відкритий
585,geschlossen::A,ябыҡ,закритий
586,geschlossen::A,ябыҡ,зачинений
587,sauber::A,таҙа,чистий
588,sauber::A,таҙа,охайний
589,schmutzig::A,бысраҡ,брудний
590,roh::A,сей,сирий
591,reif::A,өлгөрғән,зрілий
592,lecker::A,тәмле,смачний
593,süß::A,тямле,солодкий
594,süß::A,тәм-том,солодкий
595,bitter::A,әсе,гіркий
596,sauer::A,әсе,кислий
597,hell::A,яҡты,світлий
598,dunkel::A,ҡараңғы,темний
599,schwarz::A,ҡара,чорний
600,weiß::A,аҡ,сивий
601,rot::A,матур,червоний
602,rot::A,һылыу,червоний
603,rot::A,сибәр,червоний
604,gelb::A,һары,жовтий
605,blau::A,күк,синій
606,grün::A,йәшел,зелений
607,grau::A,буҙ,сірий
608,bunt::A,сыбар,барвистий
609,bunt::A,ала-ҡола,барвистий
610,billig::A,арзан,дешевий
611,teuer::A,ҡыйбатлы,дорогий
612,wertvoll::A,ҡиммәтле,цінний
613,blind::A,һуҡыр,сліпий
614,taub::A,һаңғырау,глухий
615,kräftig::A,көслө,могутній
616,kräftig::A,ҡеүәтле,могутній
617,stark::A,көслө,сильний
618,stark::A,ҡеүәтле,сильний
619,schwach::A,көсһөҙ,слабкий
620,fett::A,һимеҙ,жирний
621,fett::A,һимеҙ,товстий
622,schlank::A,зифа,тонкий
623,schlank::A,зифа,стрункий
624,hübsch::A,матур,чарівний
625,böse::A,асыулы,злий
626,böse::A,асыулы,лихий
627,dumm::A,иҫәр,дурний
628,faul::A,иренсәк,ледачий
629,fleißig::A,тырыш,старанний
630,geizig::A,һаран,скупий
631,klug::A,аҡыллы,мудрий
632,klug::A,аҡыллы,розумний
633,geschickt::A,оҫта,умілий
634,lieb::A,яғымлы,милий
635,lustig::A,күңелле,веселий
636,sanft::A,йыуаш,лагідний
637,hungrig::A,ас,голодний
638,krank::A,сирле,слабий
639,krank::A,ауырыу,слабий
640,nackt::A,яланғас,голий
641,traurig::A,яманһыу,сумний
642,lebendig::A,тере,живий
643,lebendig::A,йәнле,живий
644,gut::A,яҡшы,добрий
645,schlecht::A,хөрт,поганий
646,schlecht::A,хөрт,кепський
647,schlecht::A,алама,поганий
648,schlecht::A,алама,кепський
649,richtig::A,дөрөҫ,правильний
650,schlimm::A,хөрт,бридкий
651,schlimm::A,алама,бридкий
652,wahr::A,дөрөҫ,справжній
653,alt::A,иҫке,старий
654,alt::A,боронғо,старий
655,neu::A,яңы,новий
656,ehemalig::A,элекке,колишній
657,alt[Lebewesen]::A,ҡарт,старий
658,jung::A,йәш,молодий
659,arm::A,фәҡир,бідний
660,reich::A,бай,багатий
661,bekannt::A,таныш,знайомий
662,berühmt::A,атаҡлы,славетний
663,berühmt::A,данлыҡлы,славетний
664,fremd::A,ят,чужий
665,fremd::A,сит,чужий
666,verschieden::A,төрлө,різний
667,nah::A,яҡын,близький
668,fern::A,алыҫ,далекий
669,fern::A,йыраҡ,далекий
670,linker::A,һул,лівий
671,rechter::A,уң,правий
672,anderer::A,бутән,інакший
673,erster::A,тәүге,перший
674,zweiter::A,икенсе,другий
675,dritter::A,өсөнсө,третій
676,letzter::A,һуңғы,останній
677,allein::ADV,бер үҙе,сам
678,allein::ADV,бер үҙе,один
679,allein::ADV,яңғыҙ,сам
680,allein::ADV,яңғыҙ,один
681,auf einmal::ADV,бер юлы,відразу
682,zusammen::ADV,бергә,разом
683,zusammen::ADV,бергә,спільно
684,lange::ADV,оҙаҡ,довго
685,plötzlich::ADV,ҡапыл,раптом
686,sofort::ADV,шунда уҡ,зараз
687,später::ADV,һуңыраҡ,пізніше
688,jetzt::ADV,хәҙер,тепер
689,heute::ADV,бөгөн,сьогодні
690,morgen::ADV,иртәгә,завтра
691,bald::ADV,тиҙҙән,незабаром
692,dann::ADV,һуңынан,потім
693,gestern::ADV,кисә,вчора
694,einst::ADV,ҡасандыр,колись
695,einst::ADV,бер баҡыт,колись
696,damals::ADV,ул саҡта,тоді
697,danach::ADV,һуңынан,згодом
698,vorher::ADV,элек,раніше
699,zuerst::ADV,башта,спершу
700,zuerst::ADV,башта,спочатку
701,einmal::ADV,бер,один раз
702,manchmal::ADV,ҡайһы берҙә,іноді
703,manchmal::ADV,ҡайһы берҙә,інколи
704,oft::ADV,йыш,часто
705,immer::ADV,һәр ҡасан,завжди
706,niemals::ADV,бер ҡасан да,ніколи
707,niemals::ADV,бер ваҡытта ла,ніколи
708,hier::ADV,бында,тут
709,hierhin::ADV,бында,сюди
710,von hier::ADV,бынан,звідси
711,von hier::ADV,ошонан,звідси
712,dort::ADV,шунда,там
713,dort::ADV,тегендә,там
714,dorthin::ADV,шунда,туди
715,dorthin::ADV,тегеләй,туди
716,geradeaus::ADV,тура,прямо
717,vorwärts::ADV,алға,вперед
718,rückwärts::ADV,кирегә,назад
719,zurück::ADV,кирегә,назад
720,unten::ADV,түбәндә,внизу
721,hinab::ADV,түбәнгә,вниз
722,oben::ADV,юғарыла,вгорі
723,hinauf::ADV,юғарыға,вгору
724,überall::ADV,бөтә урында,скрізь
725,nicht::ADV,тугел,не
726,ein wenig::ADV,аҙ,трохи
727,ein wenig::ADV,аҙ,небагато
728,kaum::ADV,көскә,ледве
729,kaum::ADV,саҡ-саҡ,ледве
730,sehr::ADV,ифат,дуже
731,so::ADV,шулай,так
732,noch::ADV,йәнә,ще
733,nur::ADV,бары,лише
734,nur::ADV,бары,тільки
735,schon::ADV,инде,вже
736,wieder::ADV,тағы,знову
737,vergebens::ADV,бушҡа,дарма
738,vor::PRP,алдында,перед
739,hinter::PRP,артында,ззаду
740,hinter::PRP,артында,позаду
741,unter::PRP,аҫтында,під
742,durch::PRP,үтә,крізь
743,neben::PRP,эргәһендә,біля
744,zwischen::PRP,араһында,між
745,wegen::PRP,өсөн,з-за
746,wegen::PRP,өсөн,через
747,wegen::PRP,сәбәпле,з-за
748,wegen::PRP,сәбәпле,через
749,dies::PRN,был,це
750,dies::PRN,ошо,це
751,das::PRN,ул,то
752,alles::PRN,бөтә,все
753,ich::PRN,мин,я
754,du::PRN,һин,ти
755,er::PRN,ул,він
756,wir::PRN,беҙ,ми
757,ihr::PRN,һеҙ,ви
758,sie::PRN,улар,вони
759,was::FPRN,ә,що
760,was::FPRN,ни,що
761,was::FPRN,нәмә,що
762,wer::FPRN,ҡем,хто
763,wo::FADV,ҡайҙа,де
764,wohin::FADV,ҡайҙа,куди
765,wie::FADV,инидәй,як
766,warum::FADV,ин өсөн,чому
767,wieviel::FNUM,күпме,скільки
768,eins::NUM,бер,один
769,zwei::NUM,ике,два
770,zwei::NUM,икәү,два
771,drei::NUM,өс,три
772,vier::NUM,дүрт,чотири
773,fünf::NUM,биш,п’ять
774,sechs::NUM,алты,шість
775,sieben::NUM,ете,сім
776,acht::NUM,һигеҙ,вісім
777,neun::NUM,туғыҙ,дев’ять
778,zehn::NUM,ун,десять
779,elf::NUM,ун бер,одинадцять
780,zwölf::NUM,ун ике,дванадцять
