,Concept_ID,vep,da
82,Schatten::N,kuvahaine,skygge
83,Wetter::N,sä,vejr
84,Nebel::N,sumeg,tåge
85,Wolke::N,pil'v,sky
86,Regen::N,vihm,regn
87,Schnee::N,lumi,sne
88,Eis::N,jä,is
89,Frost::N,hala,frost
90,Frost::N,pakaine,frost
91,Kälte::N,vilu,kulde
92,Hitze::N,räk,hede
93,Raureif::N,hüde,rimfrost
94,Regenbogen::N,jumalanbembel',regnbue
95,Donner::N,juru,torden
96,Donner::N,jumalanjuru,torden
97,Strömung::N,joksmuz,strømning
98,Tropfen::N,tilkuine,dråbe
99,Schaum::N,vaht,skum
100,Schmutz::N,redu,snavs
101,Schmutz::N,pačak,snavs
102,See::N,järv,sø
103,Sumpf::N,so,sump
104,Moor::N,so,mose
105,Wiese::N,nit,eng
106,Wald::N,mec,skov
107,Hügel::N,kukaz,høj
108,Hügel::N,kukaz,bakke
109,Anhöhe::N,kukaz,høj
110,Anhöhe::N,kukaz,bakke
111,Berg::N,mägi,bjerg
112,Gipfel::N,ladv,top
113,Höhle::N,mägionduz,hule
114,Abhang::N,paute,skrænt
115,Abhang::N,paute,skråning
116,Quelle::N,lähte,kilde
117,Bach::N,oja,bæk
118,Fluss::N,jogi,flod
119,Ufer::N,rand,bred
120,Küste::N,randišt,kyst
121,Festland::N,kuivma,fastland
122,Meer::N,meri,hav
123,Bucht::N,laht,bugt
124,Insel::N,sar',ø
125,Blume::N,änik,blomst
126,Gras::N,hein,græs
127,Wurzel::N,jur',rod
128,Baum::N,pu,træ
129,Stamm::N,tüvi,stamme
130,Rinde::N,kor',bark
131,Ast::N,oks,gren
132,Zweig::N,oks,kvist
133,Zweig::N,barb,kvist
134,Blatt::N,lehtez,blad
135,Birke::N,koiv,birk
136,Kiefer[Baum]::N,pedai,fyrretræ
137,Weide[Baum]::N,raid,piletræ
138,Tanne::N,kuz',gran
139,Horn::N,sar'v,horn
140,Feder::N,höuneh,fjer
141,Fell::N,nahk,skind
142,Flügel::N,suug,vinge
143,Klaue::N,künz',klov
144,Kralle::N,künz',klo
145,Schwanz::N,händ,hale
146,Ei::N,muna,æg
147,Nest::N,peza,rede
148,Bau::N,uru,bo
149,Tier::N,živat,dyr
150,Herde::N,kogo,flok
151,Kuh::N,lehm,ko
152,Bulle::N,härg,tyr
153,Pferd::N,hebo,hest
154,Schaf::N,lambaz,får
155,Schwein::N,siga,gris
156,Hund::N,koir,hund
157,Katze::N,kaži,kat
158,Bär::N,kondi,bjørn
159,Eichhörnchen::N,orav,egern
160,Elch::N,hirb',elg
161,Fuchs::N,reboi,ræv
162,Hase::N,jäniš,hare
163,Maus::N,hir',mus
164,Wolf::N,händikaz,ulv
165,Vogel::N,lind,fugl
166,Schwarm::N,parveh,sværm
167,Huhn::N,kana,høne
168,Hahn::N,kukoi,hane
169,Gans::N,hanh',gås
170,Adler::N,orl,ørn
171,Ente::N,sorz,and
172,Eule::N,hir'pulo,ugle
173,Kranich::N,kurg,trane
174,Krähe::N,variš,krage
175,Kuckuck::N,kägi,gøg
176,Schwan::N,joucen,svane
177,Fisch::N,kala,fisk
178,Barsch::N,ahven,aborre
179,Hecht::N,haug',gedde
180,Schlange[Tier]::N,kü,slange
181,Schlange[Tier]::N,mado,slange
182,Wurm::N,mado,orm
183,Spinne::N,hämähouk,edderkop
184,Ameise::N,murahaine,myre
185,Laus::N,täi,lus
186,Mücke::N,säs'k,myg
187,Fliege::N,kärbhaine,flue
188,Schmetterling::N,lipkaine,sommerfugl
189,Beere::N,marj,bær
190,Apfel::N,jablok,æble
191,Pilz::N,sen',svamp
192,Pilz::N,babuk,svamp
193,Zwiebel::N,lauk,løg
194,Saat::N,semned,sæd
195,Korn::N,jüvä,korn
196,Korn::N,vill',korn
197,Heu::N,hein,hø
198,Schale::N,kor',skræl
199,Grube::N,kop,grav
200,Falle::N,rida,fælde
201,Schlinge::N,rihm,snare
202,Spur::N,jäl'g,spor
203,Asche::N,tuhk,aske
204,Dreck::N,redu,snavs
205,Dreck::N,pačak,snavs
206,Eisen::N,raud,jern
207,Gold::N,kuld,guld
208,Silber::N,hobed,sølv
209,Kohle::N,hil',kul
210,Glas::N,stökol,glas
211,Lehm::N,savi,ler
212,Sand::N,lete,sand
213,Mensch::N,mez',mennesge
214,Mensch::N,ristit,mennesge
215,Mann::N,mez',mand
216,Frau::N,naine,kvinde
217,Kind::N,laps',barn
218,Junge::N,poig,dreng
219,Junge::N,prihaine,dreng
220,Mädchen::N,neičukaine,pige
221,Familie::N,kanz,familie
222,Familie::N,pereh,familie
223,Großvater::N,ded,bedstefar
224,Großmutter::N,bab,bedstemor
225,Eltern::N,vanhembad,forældre
226,Eltern::N,kazvatajad,forældre
227,Vater::N,tat,far
228,Mutter::N,mam,mor
229,Sohn::N,poig,søn
230,Tochter::N,tütär,datter
231,Bruder::N,veik,bror
232,Bruder::N,vell',bror
233,Schwester::N,čiža,søster
234,Schwester::N,sizar,søster
235,Onkel::N,däd',onkel
236,Tante::N,tädi,tante
237,Ehemann::N,mužik,ægtemand
238,Ehefrau::N,ak,hustru
239,Freude::N,ilo,glæde
240,Freude::N,ihastuz,glæde
241,Gelächter::N,nagr,latter
242,Glück::N,oza,lykke
243,Kummer::N,gor'a,sorg
244,Wunsch::N,taht,ønske
245,Lust::N,himo,lyst
246,Geist::N,heng,ånd
247,Gedanke::N,meletuz,tanke
248,Gedächtnis::N,mušt,hukommelse
249,Verstand::N,mel',forstand
250,Sinn::N,jüvä,mening
251,Sinn::N,jüvä,betydning
252,Grund::N,sü,grund
253,Wahrheit::N,tozi,sandhed
254,Gespräch::N,lodu,samtale
255,Gespräch::N,pagin,samtale
256,Märchen::N,sarn,eventyr
257,Erzählung::N,sanutez,fortælling
258,Nachricht::N,tedotuz,efterretning
259,Neuigkeit::N,uzištuz,nyhed
260,Name::N,nimi,navn
261,Rätsel::N,ozoitez,gåde
262,Rede::N,pagin,tale
263,Rede::N,sanad,tale
264,Sprache::N,kel',sprog
265,Stimme::N,än',stemme
266,Wort::N,sana,ord
267,Zeichen::N,znam,tegn
268,Ruf::N,kida,råb
269,Ruf::N,kucund,råb
270,Lärm::N,judu,larm
271,Laut::N,kulund,lyd
272,Ton::N,kulund,tone
273,Lied::N,pajo,sang
274,Ruhe::N,lebu,ro
275,Ruhe::N,lebu,hvile
276,Leute::N,rahvaz,folk
277,Leute::N,rahvaz,mennesker
278,Volk::N,rahvaz,folk
279,Arbeit::N,tö,arbejde
280,Arbeit::N,rad,arbejde
281,Gast::N,adiv,gæst
282,Geschenk::N,lahj,gave
283,Spiel::N,vänd,leg
284,Gesellschaft::N,sebr,selskab
285,Hilfe::N,abu,hjælp
286,Freund::N,sebranik,ven
287,Kamerad::N,sebranik,kammerat
288,Angelegenheit::N,azj,sag
289,Angelegenheit::N,azj,anliggende
290,Anzahl::N,lugu,antal
291,Art::N,rod,art
292,Art::N,rodsugu,art
293,Stück::N,pala,stykke
294,Stück::N,supal,stykke
295,Teil::N,pala,del
296,Hälfte::N,pol',halvdel
297,Kreis::N,ümbruz,cirkel
298,Kreis::N,kehkruz,cirkel
299,Kreuz::N,rist,kors
300,Kreuz::N,rist,kryds
301,Linie::N,pird,linie
302,Strich::N,pird,streg
303,Abstand::N,keskust,afstand
304,Entfernung::N,matk,afstand
305,Gegend::N,taho,egn
306,Platz::N,avaruz',plads
307,Ort::N,koht,sted
308,Seite::N,pol',side
309,Seite::N,kül'g,side
310,Mitte::N,kesk,midte
311,Gegenstand::N,kalu,genstand
312,Sache::N,azj,sag
313,Rand::N,röun,rand
314,Kante::N,röun,kant
315,Ecke::N,saum,hjørne
316,Spitze::N,agjaine,spids
317,Ende::N,agj,ende
318,Loch::N,reig,hul
319,Winkel::N,čoga,vinkel
320,Winkel::N,saum,vinkel
321,Muster::N,kirjam,mønster
322,Größe::N,suruz',størrelse
323,Länge::N,piduz,længde
324,Höhe::N,korktuz',højde
325,Gewicht::N,jügu,vægt
326,Gewicht::N,vedäduz,vægt
327,Menge::N,äjüz',mængde
328,Haufen::N,kogo,bunke
329,Reihe::N,rivi,række
330,Boot::N,veneh,båd
331,Ruder::N,air,åre
332,Schlitten::N,regi,kælk
333,Schlitten::N,regi,slæde
334,Schlitten::N,regut,kælk
335,Schlitten::N,regut,slæde
336,Ski::N,suks',ski
337,Lagerfeuer::N,nodj,lejrbål
338,Lagerfeuer::N,pažag,lejrbål
339,Last::N,jüguz,last
340,Last::N,jüguz,byrde
341,Gang::N,astund,gang
342,Schritt::N,hašk,skridt
343,Norden::N,pohjoine,nord
344,Süden::N,suvi,syd
345,Westen::N,päivlaskm,vest
346,Osten::N,päivnouzm,øst
347,Holz::N,pu,træ
348,Brett::N,laud,bræt
349,Platte::N,keitim,plade
350,Stütze::N,tugi,støtte
351,Stange::N,arz',stang
352,Stock::N,kalu,stok
353,Stab::N,seibaz,stav
354,Rohr::N,torv,rør
355,Haus::N,pert',hus
356,Heim::N,kodi,hjem
357,Ofen::N,päč,ovn
358,Fußboden::N,lava,gulv
359,Tisch::N,laud,bord
360,Tisch::N,stal'c,bord
361,Stuhl::N,ištim,stol
362,Wiege::N,kätte,vugge
363,Bett::N,sija,seng
364,Bett::N,magaduzsija,seng
365,Regal::N,palič,reol
366,Kiste::N,mülütim,kasse
367,Fenster::N,ikun,vindue
368,Tür::N,uks',dør
369,Tor::N,verai,port
370,Zaun::N,aid,stakit
371,Dach::N,katuz,tag
372,Leiter::N,pordhad,stige
373,Besen::N,lud,kost
374,Besen::N,vast,kost
375,Spaten::N,labid,spade
376,Schaufel::N,labid,skovl
377,Gabel::N,hangoine,gaffel
378,Löffel::N,luzik,ske
379,Messer::N,veič,kniv
380,Nagel::N,nagl,søm
381,Netz::N,verk,net
382,Haken::N,kouk,krog
383,Griff::N,kägä,tag
384,Griff::N,kägä,håndtag
385,Griff::N,varz',tag
386,Griff::N,varz',håndtag
387,Schloss::N,lukkol,lås
388,Bild::N,kuva,billede
389,Figur::N,figur,figur
390,Puppe::N,tätüine,dukke
391,Beutel::N,havad,pose
392,Bündel::N,toppaz,bylt
393,Bündel::N,toppaz,bundt
394,Bündel::N,käč,bylt
395,Bündel::N,käč,bundt
396,Tasche::N,sumk,taske
397,Eimer::N,vädr,spand
398,Deckel::N,katuz,låg
399,Geschirr::N,astii,husgeråd
400,Sack::N,havad,sæk
401,Tasse::N,čašk,kop
402,Topf::N,pada,gryde
403,Kessel::N,katil,kedel
404,Essen::N,sönd,måltid
405,Nahrung::N,söm,mad
406,Nahrung::N,söm,næring
407,Speise::N,sömine,ret
408,Fleisch::N,liha,kød
409,Getreide::N,vill',korn
410,Brei::N,pudr,grød
411,Brot::N,leib,brød
412,Scheibe::N,bibaleh,skive
413,Scheibe::N,šlik,skive
414,Fett::N,razv,fedt
415,Butter::N,voi,smør
416,Öl::N,voi,olie
417,Salz::N,sol,salt
418,Suppe::N,lem',suppe
419,Suppe::N,keitoz,suppe
420,Honig::N,mezi,honning
421,Milch::N,maid,mælk
422,Tee::N,čai,te
423,Leder::N,nahk,skind
424,Wolle::N,vill,uld
425,Stoff::N,kangaz,stof
426,Nadel::N,negl,nål
427,Faden::N,nit',tråd
428,Knopf::N,nübl',knap
429,Knoten::N,sol'm,knude
430,Farbe::N,muju,farve
431,Kleidung::N,sobad,påklædning
432,Hemd::N,paid,skjorte
433,Kragen::N,kagluz,krave
434,Ärmel::N,hijam,ærme
435,Hose::N,štanad,bukser
436,Gürtel::N,vö,bælte
437,Mütze::N,šapuk,hue
438,Schuh::N,keng',sko
439,Stiefel::N,sapug,støvle
440,Ring::N,rengaz,ring
441,Band::N,lentaine,bånd
442,Kamm::N,suga,kam
443,Spiegel::N,zerkol,spejl
444,Riemen::N,vö,rem
445,Schnur::N,nor,snor
446,Leine::N,talutimnor,snor
447,Decke::N,sijakatuz,tæppe
448,Kissen::N,pöluz,pude
449,Tuch::N,paik,sjaltørklæde
450,Handtuch::N,käzipaik,håndklæde
451,Kraft::N,vägi,kraft
452,Stärke::N,vahvuz',styrke
453,Gesundheit::N,tervhuz,sundhed
454,Krankheit::N,läžund,sygdom
455,Schmerz::N,kibu,smerte
456,Wunde::N,čapatez,sår
457,Fieber::N,säru,feber
458,Arznei::N,zel'l',medicin
459,Arznei::N,zel'l',lægemiddel
460,Brücke::N,sild,bro
461,Brunnen::N,kaiv,brønd
462,Weide::N,omaluine,græsgang
463,Pfad::N,tehut,sti
464,Weg::N,te,vej
465,Straße::N,te,gade
466,Dorf::N,külä,landsby
467,Stadt::N,lidn,by
468,Brief::N,kirjeine,brev
469,Buch::N,kirj,bog
470,Buchstabe::N,kirjam,bogstav
471,Zeitung::N,lehtez,avis
472,Leben::N,elo,liv
473,Tod::N,surm,død
474,Grab::N,kaum,grav
475,Kirche::N,jumalanpert',kirke
476,Sünde::N,grähk,synd
477,Gott::N,jumal,gud
478,Arbeiter::N,radnik,arbejder
479,Chef::N,pämez',chef
480,Meister::N,mastar,mester
481,Arzt::N,lekar',læge
482,Lehrer::N,opendai,lærer
483,Geld::N,rahad,penge
484,Geschäft::N,biznes,forretning
485,Laden::N,lauk,butik
486,Laden::N,lauk,forretning
487,Preis::N,arv,pris
488,Ware::N,tavar,vare
489,Nutzen::N,liža,nytte
490,Reichtum::N,kodielo,rigdom
491,Reichtum::N,kal'huz',rigdom
492,Welt::N,mail'm,verden
493,Land::N,ma,land
494,Staat::N,valdkund,stat
495,König::N,kunigaz,konge
496,Macht::N,vald,magt
497,Grenze::N,röun,grænse
498,Krieg::N,soda,krig
499,Feind::N,vihanik,fjende
500,Feind::N,vastustai,fjende
501,Gewalt::N,vägivald,vold
502,Kampf::N,tora,kamp
503,Bogen[Waffe]::N,taug,bue
504,Pfeil::N,nol,pil
505,Gewehr::N,oružj,gevær
506,Fehler::N,viga,fejl
507,Lüge::N,kelastuz,løgn
508,Schaden::N,pahuz',skade
509,Unglück::N,bed,uheld
510,Unglück::N,bed,ulykke
511,Unglück::N,gor'a,uheld
512,Unglück::N,gor'a,ulykke
513,Schuld::N,värhuz',skyld
514,Alter::N,igä,alder
515,Schluss::N,lop,slut
516,Schluss::N,lop,slutning
517,Zeit::N,aig,tid
518,Tag::N,päiv,dag
519,Morgen::N,homendez,morgen
520,Mittag::N,keskpäiv,middag
521,Abend::N,eht,aften
522,Nacht::N,ö,nat
523,Woche::N,nedal',uge
524,Monat::N,ku,måned
525,Jahr::N,voz',år
526,Frühling::N,keväz',forår
527,Sommer::N,keza,sommer
528,Herbst::N,sügüz',efterår
529,Winter::N,tal'v,vinter
530,Januar::N,viluku,januar
531,Februar::N,uhoku,februar
532,März::N,keväz'ku,marts
533,April::N,sulaku,april
534,Mai::N,semendku,maj
535,Juni::N,kezaku,juni
536,Juli::N,heinku,juli
537,August::N,eloku,august
538,September::N,sügüz'ku,september
539,Oktober::N,reduku,oktober
540,November::N,kül'mku,november
541,Dezember::N,tal'vku,december
542,Montag::N,ezmärg,mandag
543,Dienstag::N,tožnarg,tirsdag
544,Mittwoch::N,koumanz'päiv,onsdag
545,Donnerstag::N,nellänz'päiv,torsdag
546,Freitag::N,pätnič,fredag
547,Freitag::N,videnz'päiv,fredag
548,Samstag::N,sobat,lørdag
549,Sonntag::N,pühäpäiv,søndag
550,groß::A,sur',stor
551,groß::A,järed,stor
552,klein::A,pen',lille
553,klein::A,pičuine,lille
554,lang::A,pit'k,lang
555,kurz::A,lühüd,kort
556,breit::A,leved,bred
557,schmal::A,kaid,smal
558,dicht::A,tihed,tæt
559,dick[Gegenstand]::A,paks,tyk
560,dünn::A,hoik,tynd
561,fein::A,hen,fin
562,fest::A,luja,fast
563,fest::A,ninev,fast
564,flach::A,lapak,flad
565,glatt::A,siled,glat
566,hart::A,kova,hård
567,weich::A,pehmed,blød
568,rund::A,kehker,rund
569,spitz::A,nügu,spids
570,spitz::A,terav,spids
571,scharf::A,terav,skarp
572,stumpf::A,tül'c,sløv
573,stumpf::A,tül'c,stump
574,schwer::A,jüged,tung
575,schön::A,čoma,skøn
576,heiß::A,räk,hed
577,warm::A,läm',varm
578,kalt::A,vilu,kold
579,kühl::A,raibak,kølig
580,kühl::A,viluhk,kølig
581,frisch::A,lahed,frisk
582,feucht::A,neps,fugtig
583,feucht::A,toreh,fugtig
584,nass::A,märg,våd
585,trocken::A,kuiv,tør
586,voll::A,täuz',fuld
587,leer::A,joudai,tom
588,offen::A,avoin,åben
589,offen::A,avol'jaine,åben
590,geschlossen::A,saubaline,lukket
591,sauber::A,puhtaz,ren
592,schmutzig::A,redukaz,snavset
593,roh::A,rohk,rå
594,roh::A,toreh,rå
595,reif::A,küps,moden
596,lecker::A,magukaz,lækker
597,süß::A,maged,sød
598,bitter::A,karged,bitter
599,sauer::A,muiged,sur
600,hell::A,kirkas,lys
601,hell::A,valgei,lys
602,dunkel::A,pimed,mørk
603,schwarz::A,must,sort
604,weiß::A,vauged,hvid
605,rot::A,rusked,rød
606,gelb::A,pakuine,gul
607,blau::A,sinine,blå
608,grün::A,vihand,grøn
609,grau::A,hahk,grå
610,bunt::A,kirjav,broget
611,billig::A,odav,billig
612,teuer::A,kalliž,dyr
613,wertvoll::A,arvokas,værdifuld
614,blind::A,soged,blind
615,taub::A,kurdiž,døv
616,kräftig::A,vägev,kraftig
617,stark::A,vahv,stærk
618,stark::A,vägekaz,stærk
619,schwach::A,väll',svag
620,fett::A,razvakaz,fed
621,schlank::A,kapos,slank
622,hübsch::A,čoma,køn
623,böse::A,äred,ond
624,böse::A,äred,slem
625,böse::A,käred,ond
626,böse::A,käred,slem
627,dumm::A,el'getoi,dum
628,faul::A,lašk,doven
629,fleißig::A,radonnavedii,flittig
630,geizig::A,ažlak,gerrig
631,klug::A,melev,klog
632,klug::A,melekaz,klog
633,geschickt::A,mahtokaz,dygtig
634,geschickt::A,mahtokaz,behændig
635,lieb::A,izo,rar
636,lieb::A,sula,rar
637,lustig::A,ilokaz,lystig
638,sanft::A,laskav,blid
639,hungrig::A,näl'ghine,sulten
640,krank::A,läžui,syg
641,nackt::A,alastoi,nøgen
642,traurig::A,opalahine,bedrøvet
643,lebendig::A,eläb,levende
644,gut::A,hüvä,god
645,schlecht::A,huba,dårlig
646,richtig::A,oiged,rigtig
647,schlimm::A,paha,slem
648,wahr::A,todesine,sand
649,alt::A,vanh,gammel
650,neu::A,uz',ny
651,ehemalig::A,edeline,forhenværende
652,alt[Lebewesen]::A,ravaz,gammel
653,jung::A,nor',ung
654,arm::A,gol'l',fattig
655,reich::A,elokaz,rig
656,bekannt::A,tutab,kendt
657,berühmt::A,tetab,berømt
658,fremd::A,veraz,fremmed
659,verschieden::A,erazvuitte,forskellig
660,nah::A,läheline,nær
661,fern::A,edahaine,fjern
662,linker::A,hura,venstre
663,rechter::A,oiged,højre
664,anderer::A,toine,anden
665,erster::A,ezmäine,første
666,zweiter::A,toine,anden
667,dritter::A,koumanz',tredje
668,letzter::A,jäl'gmäine,sidste
669,allein::ADV,üksnäze,alene
670,auf einmal::ADV,ühten aigan,på én gang
671,zusammen::ADV,ühtes,sammen
672,lange::ADV,hätken,længe
673,plötzlich::ADV,äkkid,pludselig
674,sofort::ADV,kerdalaz,straks
675,später::ADV,möhemba,senere
676,jetzt::ADV,nügüd',nu
677,heute::ADV,tämbei,i dag
678,morgen::ADV,homen,i morgen
679,bald::ADV,pigai,snart
680,dann::ADV,sid',så
681,gestern::ADV,eglai,i går
682,einst::ADV,ende,engang
683,einst::ADV,kerdan,engang
684,damals::ADV,siloi,dengang
685,danach::ADV,sid',derefter
686,vorher::ADV,ende,før
687,vorher::ADV,ende,forud
688,zuerst::ADV,ezmäi,først
689,einmal::ADV,kerdan,en gang
690,manchmal::ADV,erašti,sommetider
691,oft::ADV,paksus,ofte
692,immer::ADV,kaiken,altid
693,niemals::ADV,ei nikonz,aldrig
694,hier::ADV,täs,her
695,hier::ADV,tägä,her
696,hierhin::ADV,tänna,hid
697,hierhin::ADV,tänna,herhen
698,von hier::ADV,täspäi,herfra
699,von hier::ADV,sid'päi,herfra
700,dort::ADV,sigä,der
701,dorthin::ADV,sinna,derhen
702,dorthin::ADV,nakkale,derhen
703,geradeaus::ADV,kohtha,lige ud
704,vorwärts::ADV,edehe,fremad
705,rückwärts::ADV,sel'gin,baglæns
706,zurück::ADV,tagaze,tilbage
707,unten::ADV,alahan,nede
708,unten::ADV,alahan,forneden
709,hinab::ADV,alaz,ned
710,hinab::ADV,alaz,nedad
711,hinab::ADV,alahaks,ned
712,hinab::ADV,alahaks,nedad
713,oben::ADV,ülähän,oppe
714,oben::ADV,ülähän,ovenpå
715,hinauf::ADV,ülez,op
716,hinauf::ADV,ülez,opad
717,hinauf::ADV,ülähäks,op
718,hinauf::ADV,ülähäks,opad
719,überall::ADV,kaikjal,overalt
720,nicht::ADV,ei,ikke
721,ein wenig::ADV,vähän,lidt
722,kaum::ADV,habi,knap
723,kaum::ADV,habi,næppe
724,sehr::ADV,lujas,meget
725,so::ADV,muga,så
726,so::ADV,ninga,så
727,noch::ADV,völ,endnu
728,nur::ADV,järg,kun
729,nur::ADV,järg,bare
730,nur::ADV,vaiše,kun
731,nur::ADV,vaiše,bare
732,schon::ADV,jo,alt
733,schon::ADV,jo,allerede
734,wieder::ADV,möst,igen
735,vergebens::ADV,uhtei,forgæves
736,vor::PRP,edes,foran
737,vor::PRP,edes,uden for
738,hinter::PRP,taga,bag
739,hinter::PRP,taga,bagved
740,unter::PRP,al,under
741,durch::PRP,läbi,gennem
742,durch::PRP,läbi,igennem
743,durch::PRP,kal't,gennem
744,durch::PRP,kal't,igennem
745,neben::PRP,rindal,ved siden af
746,zwischen::PRP,keskes,mellem
747,wegen::PRP,tagut,på grund af
748,dies::PRN,nece,dette
749,das::PRN,se,det
750,alles::PRN,kaik,alt
751,ich::PRN,minä,jeg
752,du::PRN,sinä,du
753,er::PRN,hän,han
754,wir::PRN,mö,vi
755,ihr::PRN,tö,I
756,sie::PRN,hö,de
757,was::FPRN,mi,hvad
758,wer::FPRN,ken,hvem
759,wo::FADV,kus,hvor
760,wohin::FADV,kuna,hvorhen
761,wie::FADV,kut,hvordan
762,wie::FADV,mit',hvordan
763,warum::FADV,mikš,hvorfor
764,wieviel::FNUM,äjak,hvor meget
765,wieviel::FNUM,kuverz',hvor meget
766,eins::NUM,üks',én
767,zwei::NUM,kaks',to
768,drei::NUM,koume,tre
769,vier::NUM,nel'l',fire
770,fünf::NUM,viž,fem
771,sechs::NUM,kuz',seks
772,sieben::NUM,seičeme,syv
773,acht::NUM,kahesa,otte
774,neun::NUM,ühesa,ni
775,zehn::NUM,kümne,ti
776,elf::NUM,üks'toštkümne,elleve
777,zwölf::NUM,kaks'toštkümne,tolv
778,zwanzig::NUM,kaks'kümne,tyve
779,dreißig::NUM,koumekümne,tredive
780,vierzig::NUM,nel'l'kümne,fyrre
781,vierzig::NUM,nel'l'kümne,fyrretyve
782,fünfzig::NUM,vižkümne,halvtreds
783,sechzig::NUM,kuz'kümne,tres
784,siebzig::NUM,seičemekümne,halvfjerds
785,achtzig::NUM,kahesakümne,firs
786,neunzig::NUM,ühesakümne,halvfems
787,hundert::NUM,sada,hundrede
788,tausend::NUM,tuha,tusind
789,und::CNJ,i,og
790,und::CNJ,da,og
791,oder::CNJ,vai,eller
792,stehen::V,seišta,stå
793,sitzen::V,ištta,sidde
794,liegen::V,venuda,ligge
795,hängen::V,ripta,hænge
796,werden::V,lindä,blive
797,werden::V,tehtas,blive
798,passieren::V,ozaitas,ske
799,passieren::V,ozaitas,hænde
800,beginnen::V,augotadas,begynde
801,enden::V,loptas,ende
802,wechseln::V,vajehtadas,veksle
803,aufgehen[Sonne]::V,nousta,gå op
804,aufgehen[Sonne]::V,nousta,stå op
805,untergehen[Sonne]::V,lasktas,gå ned
806,scheinen[Sonne]::V,paštta,skinne
807,donnern::V,juraita,tordne
808,wehen::V,dölta,blæse
809,wehen::V,puhuda,blæse
810,strömen::V,valadas,strømme
811,fließen::V,valuda,flyde
812,sich drehen::V,punotas,dreje sig
813,schwanken::V,čibuda,vakle
814,schwingen::V,čibuda,svinge
815,fallen::V,langeta,falde
816,brennen::V,pallada,brænde
817,rauchen::V,savustada,ryge
818,regnen::V,vihmda,regne
819,gefrieren::V,jäduda,fryse
820,gefrieren::V,kül'mdä,fryse
821,tauen::V,sulada,tø
822,schmelzen::V,sulada,smelte
823,trocknen::V,kuida,tørre
824,trocknen::V,kuivehtuda,tørre
825,sieden::V,kehuda,koge
826,faulen::V,hapata,rådne
827,faulen::V,traudäs,rådne
828,verfaulen::V,hapata,rådne
829,reißen::V,rebita,briste
830,versinken::V,upota,synke
831,versinken::V,upota,synke ned
832,vergehen::V,mända,forløbe
833,erscheinen::V,ozutadas,vise sig
834,verschwinden::V,hajeta,forsvinde
835,sinken::V,väheta,synke
836,sinken::V,lasktas,synke
837,abnehmen::V,peneta,aftage
838,zunehmen::V,ližaduda,tiltage
839,steigen::V,nousta,stige
840,wachsen::V,kazda,gro
841,wachsen::V,kazda,vokse
842,glänzen::V,loštta,glinse
