,Concept_ID,te,mrj
47,Magen::N,కడుపు,шӱм
48,Leber::N,కాలేయము,мокш
49,Atem::N,ఉపిరి,шӱлӹш
50,Hunger::N,ఆకలి,шужымаш
51,Träne::N,కన్నీటిచుక్క,сӹнзӓвӹд
52,Geschmack::N,రుచి,тот
53,Geruch::N,వాసన,пыш
54,Schlaf::N,నిద్ర,ом
55,Traum::N,కల,ом
56,Himmel::N,ఆకాశము,пӹлгом
57,Sonne::N,సూర్యుడు,кечӹ
58,Mond::N,చంద్రుడు,тӹлзӹ
59,Stern::N,నక్షత్రము,шӹдӹр
60,Luft::N,గాలి,юж
61,Luft::N,గాలి,воздух
62,Wind::N,వీచుచున్నగాలి,мардеж
63,Welle::N,అల,ко
64,Welle::N,అల,коэ
65,Wasser::N,నీరు,вӹд
66,Stein::N,ఱాయి,кӱ
67,Boden::N,నేల,рок
68,Erde::N,మన్ను,свет
69,Staub::N,దుమ్ము,пырак
70,Rauch::N,పొగ,шӹкш
71,Funke::N,అగ్నికణము,ип
72,Funke::N,అగ్నికణము,тылип
73,Feuer::N,అగ్ని,тыл
74,Licht::N,కాంతి,соты
75,Licht::N,కాంతి,валгыды
76,Schatten::N,నీడ,ӹмӹл
77,Wetter::N,వాతావరణ స్థితి,игечӹ
78,Nebel::N,పొగమంచు,тӹтӹрӓ
79,Wolke::N,మేఘము,пӹл
80,Regen::N,వాన,юр
81,Schnee::N,హిమము,лым
82,Eis::N,మంచుగడ్డ,и
83,Frost::N,పేరిన మంచు,ӱштӹ
84,Kälte::N,చలి,ӱштӹ
85,Hitze::N,వేడిమి,шокшы
86,Raureif::N,మంచు,пöрш
87,Regenbogen::N,ఇంద్రధనుస్సు,шанавӹл
88,Donner::N,ఉరుము,хӹдӹртӹш
89,Strömung::N,ప్రవాహము,йогы
90,Tropfen::N,చుక్క,капльы
91,Tropfen::N,చుక్క,капльык
92,Schaum::N,నురుగు,шонг
93,Schmutz::N,మైల,лявӹрӓ
94,See::N,సరస్సు,йӓр
95,Sumpf::N,చిత్తడినేల,лӱкӹ
96,Moor::N,చిత్తడినేల,куп
97,Wiese::N,పచ్చిక బయలు,алык
98,Wald::N,అడవి,шӹргӹ
99,Hügel::N,చివ్నకొండ,пӱгӹрикӓ
100,Anhöhe::N,కొండ,кӱкшикӓ
101,Berg::N,పర్వతము,кырык
102,Gipfel::N,శిఖరము,неркӓ
103,Höhle::N,గుహ,ы́раж
104,Abhang::N,ఏటవాలు,полом
105,Quelle::N,మూలము,вӹдсӹнзӓ
106,Bach::N,కాలువ,ӓнгӹр
107,Fluss::N,నది,вӹд
108,Ufer::N,తీరము,сир
109,Küste::N,తీరము,сир
110,Festland::N,భూమి,мӱлӓндӹ
111,Meer::N,సముద్రము,тангыж
112,Bucht::N,మరుగు,вӹдъял
113,Insel::N,దీవి,острок
114,Blume::N,పుష్పము,пеледӹш
115,Gras::N,పచ్చగడ్డి,шуды
116,Wurzel::N,వేరు,важ
117,Baum::N,చెట్టు,пушӓнгӹ
118,Stamm::N,చెట్టుబోదె,пушӓнгӹ тӹнг
119,Rinde::N,చెట్టుపట్ట,каргыж
120,Ast::N,కొమ్మ,укш
121,Zweig::N,చివుకు,укш
122,Blatt::N,ఆకు,листӹ
123,Birke::N,తరహా చెట్టు,куги
124,Kiefer[Baum]::N,దేవదారు చెట్టు,йӓктӹ
125,Weide[Baum]::N,జాతిచెట్టు,уа
126,Tanne::N,దేవదారుచెట్టు,кож
127,Horn::N,కొమ్ము,шур
128,Feder::N,ఈక,пын
129,Fell::N,తోలు,кавашты
130,Flügel::N,ఱెక్క,шылдыр
131,Klaue::N,వంకరగోరు,кӹч
132,Kralle::N,వంకరగోరు,лапа
133,Schwanz::N,తోక,пач
134,Ei::N,గ్రుడ్డు,мыны
135,Nest::N,పక్షిగూడు,пӹжӓш
136,Bau::N,గుహ,ыраж
137,Tier::N,జంతువు,во́льык
138,Herde::N,మంద,кӹтö
139,Kuh::N,ఆవు,ышкал
140,Bulle::N,గిత్త,ӱшкӱж
141,Pferd::N,గుఱ్ఱము,имни
142,Schaf::N,గొఱ్ఱె,шарык
143,Schwein::N,పంది,сасна
144,Hund::N,కుక్క,пи
145,Katze::N,పిల్లి,коти
146,Bär::N,ఎలుగుబంటి,мöскӓ
147,Eichhörnchen::N,ఉడుత,ур
148,Elch::N,కణంజు,шарды
149,Fuchs::N,గుంటనక్క,рӹвӹж
150,Hase::N,కుందేలు,морен
151,Maus::N,చిట్టెలుక,каля
152,Wolf::N,తోడేలు,пирӹ
153,Vogel::N,పక్షి,кек
154,Schwarm::N,గుంపు,цуца
155,Huhn::N,కోడిపిల్ల,цӹвӹ
156,Hahn::N,కోడివుంజు,ӓптӓн
157,Gans::N,ఆడుబాతు,комбы
158,Adler::N,గ్రద్ద,кучкыж
159,Ente::N,పాట్టిబాతు,лыды
160,Eule::N,గ్రుడ్లగూబ,тымана
161,Kranich::N,కొంగ,тырня
162,Kranich::N,కొంగ,тыртня
163,Krähe::N,కాకి,лудыгарак
164,Kuckuck::N,కోయల,куку
165,Schwan::N,హంస,йӱксӹ
166,Fisch::N,చేప,кол
167,Barsch::N,ఒకచేఁప,алангы
168,Hecht::N,గండుమీను,нуж
169,Hecht::N,గండుమీను,нужгол
170,Schlange[Tier]::N,పాము,кӹшкы
171,Wurm::N,పురుగు,шукш
172,Spinne::N,సాలె పురుగు,ӓнгӹремшӹ
173,Ameise::N,చీమ,кыткы
174,Laus::N,పేను,ти
175,Mücke::N,చీకటీగ,кужнер
176,Mücke::N,చీకటీగ,кужынер
177,Fliege::N,ఈగ,шӹнгӓ
178,Schmetterling::N,సీతాకోకచిలుక,лӹпӹ
179,Beere::N,కాయ,мöр
180,Apfel::N,ఆపిల్ పండు,олма
181,Pilz::N,కుక్కగొడుగు,понгы
182,Zwiebel::N,నీరుల్లి,охыра
183,Saat::N,విత్తనము,нӱшмӹ
184,Saat::N,విత్తనము,нӱшмӱ
185,Korn::N,గింజ,пӹрцӹ
186,Heu::N,ఎండుగడ్డి,шуды
187,Schale::N,పొట్టు,аваха
188,Schale::N,పొట్టు,карлангы
189,Grube::N,గొయ్యి,йӓм
190,Falle::N,బోను,лӱдӹ
191,Falle::N,బోను,лӱдӹш
192,Schlinge::N,ఉరి,онгы
193,Spur::N,జాడ,кишӓ
194,Asche::N,బూడిద,ломых
195,Asche::N,బూడిద,ломпыж
196,Dreck::N,ముఱికి,лявӹрӓ
197,Eisen::N,ఇనుము,кӹртни
198,Gold::N,బంగారము,шöртни
199,Gold::N,బంగారము,шöртньӹ
200,Silber::N,వెండి,ши
201,Kohle::N,నేలబొగ్గు,шӱ
202,Glas::N,గాజు,охоница
203,Lehm::N,బంకమన్ను,шун
204,Sand::N,ఇసుక,ошма
205,Mensch::N,నరుడు,эдем
206,Mann::N,పురుమడు,пӱэргӹ
207,Frau::N,ఆడుది,ӹдӹрӓмӓш
208,Kind::N,బిడ్డ,ӓзӓ
209,Kind::N,బిడ్డ,шачшы
210,Junge::N,బాలుడు,рвезӹ
211,Junge::N,బాలుడు,ӹрвезӹ
212,Mädchen::N,బాలిక,ӹдӹрӓш
213,Familie::N,కుటుంబము,йиш
214,Familie::N,కుటుంబము,семня
215,Großvater::N,తాత,тьоти
216,Großmutter::N,అయ్యమ్మ,папа
217,Eltern::N,తల్లితండ్రులు,ӓтя-ӓвӓ
218,Vater::N,తండ్రి,ӓтя
219,Mutter::N,తల్లి,ӓвӓ
220,Sohn::N,కొడుకు,эргӹ
221,Tochter::N,కూతురు,ӹдӹр
222,Bruder::N,పోదరుడు,ӹза
223,Schwester::N,సోదరి,ӓкӓ
224,Onkel::N,మేనమామ,кугуза
225,Tante::N,మేనత్త,куака
226,Tante::N,పినతల్లి,куака
227,Ehemann::N,భర్త,мары
228,Ehefrau::N,భార్య,вӓтӹ
229,Freude::N,సంతోషము,ӹвӹртӹмӓш
230,Gelächter::N,నవ్వు,ваштылмаш
231,Glück::N,సంతోషము,пиӓл
232,Kummer::N,దుఃఖము,ясы
233,Wunsch::N,కోరిక,охата
234,Wunsch::N,కోరిక,шанымаш
235,Lust::N,కోరిక,шӓр
236,Lust::N,కోరిక,охата
237,Lust::N,కోరిక,шанымаш
238,Geist::N,ఆత్మ,тух
239,Gedanke::N,ఆలోచన,шанымаш
240,Gedächtnis::N,జ్ఞాపకము,ӓш
241,Verstand::N,మనస్సు,ыш
242,Sinn::N,అర్థము,кын
243,Grund::N,కారణము,вир
244,Wahrheit::N,సత్యము,тöр
245,Gespräch::N,పంభాషణ,хытырымаш
246,Märchen::N,అద్భుతకథ,ямак
247,Erzählung::N,కథ,шайыштмаш
248,Nachricht::N,వార్త,увертӓрӹмӓш
249,Neuigkeit::N,వార్త,увер
250,Name::N,పేరు,лӹм
251,Rätsel::N,చిక్కు,тышты
252,Rede::N,ఉపన్యాసము,шая
253,Rede::N,ఉపన్యాసము,шамак
254,Sprache::N,భాష,йӹлмӹ
255,Stimme::N,కంరథ్సని,юк
256,Wort::N,మాట,шамак
257,Zeichen::N,గుర్తు,палӹ
258,Ruf::N,పిలువు,сӹгӹрӹмӓш
259,Lärm::N,సందడి,юкланымащ
260,Laut::N,ధ్వని,юк
261,Ton::N,స్వరము,юк
262,Lied::N,పాట,мыры
263,Ruhe::N,గాలిలేమి,тыр
264,Leute::N,జనులు,эдемвлӓ
265,Volk::N,జాతి,халык
266,Arbeit::N,పని,пӓшӓ
267,Gast::N,అతిధి,хына
268,Geschenk::N,దానము,подарка
269,Spiel::N,ఆట,мадыш
270,Gesellschaft::N,జట్టు,йӓл
271,Gesellschaft::N,జట్టు,йӓлвлӓ
272,Hilfe::N,సాహాయ్యము,палшык
273,Freund::N,స్నేహితుడు,тӓнг
274,Kamerad::N,చెలికాడు,тос
275,Angelegenheit::N,విషయము,дела
276,Angelegenheit::N,విషయము,йела
277,Angelegenheit::N,విషయము,йыла
278,Angelegenheit::N,విషయము,пӓшӓ
279,Anzahl::N,లెక్క,шот
280,Art::N,జాతి,цӹре
281,Stück::N,తునుక,лаштык
282,Teil::N,భాగము,пай
283,Teil::N,భాగము,часть
284,Hälfte::N,సగము,пел
285,Kreis::N,వృత్తము,тӹртӹш
286,Kreuz::N,సిలువ,крестӹ
287,Linie::N,గీత,
288,Strich::N,గీత,
289,Abstand::N,సందు,ло
290,Entfernung::N,దూరము,ло
291,Gegend::N,విస్తీర్ణము,вӓр
292,Platz::N,ఎడము,вӓр
293,Ort::N,స్థలము,вӓр
294,Seite::N,ప్రక్క,öрдӹж
295,Mitte::N,నడిమి,ло
296,Gegenstand::N,పద్దు,хӓдӹр
297,Sache::N,వస్తువు,хӓдӹр
298,Rand::N,అంచు,шöр
299,Kante::N,అంచు,шöр
300,Ecke::N,మూల,лык
301,Spitze::N,మొన,вуй
302,Ende::N,కొన,вуй
303,Ende::N,కొన,мычаш
304,Loch::N,రంధ్రము,ыраж
305,Winkel::N,కోణము,лык
306,Muster::N,మాదిరి,тӹрлец
307,Größe::N,పరిమాణము,кӱкшӹц
308,Länge::N,పొడుగు,кыт
309,Höhe::N,పొడుగు,кӱкшӹц
310,Gewicht::N,భారము,нелӹц
311,Menge::N,మొత్తము,шот
312,Haufen::N,రాశి,ара
313,Reihe::N,వరుస,ряд
314,Boot::N,పడవ,пыш
315,Ruder::N,అడక,вешлӓ
316,Schlitten::N,సరవండ్లు,тир
317,Ski::N,స్కీ,ечӹ
318,Lagerfeuer::N,నెగడు,тыл
319,Last::N,బరువు,нелӹц
320,Gang::N,నడక,ход
321,Schritt::N,అడుగు,ашкыл
322,Norden::N,ఉత్తరదిక్కు,йыдпелвел
323,Süden::N,దక్షిణము,кечӹвӓлвел
324,Westen::N,పడమర,кечӹ шӹцмӹ
325,Osten::N,తూర్పు,ирвел
326,Osten::N,తూర్పు,кечӹ лӱлтмӹ
327,Holz::N,కొయ్య,пушӓнгӹ
328,Brett::N,పలక,ханга
329,Platte::N,పలక,плитӓ
330,Stütze::N,వాల్సేడ్లు,цӓрӓк
331,Stange::N,స్తంభము,равы
332,Stange::N,స్తంభము,намаш
333,Stock::N,కఱ్ఱ,панды
334,Stab::N,కఱ్ఱ,равы
335,Rohr::N,గొట్టము,пыч
336,Haus::N,ఇల్లు,пöрт
337,Heim::N,స్వగృహము,пöрт
338,Ofen::N,పొయ్యి,камака
339,Fußboden::N,నేల,седӹрӓ
340,Tisch::N,మేజా,стöл
341,Stuhl::N,కుర్చీ,пöкен
342,Wiege::N,ఉయ్యాల,шипкӓ
343,Bett::N,పడక,койка
344,Bett::N,పడక,кравать
345,Bett::N,మంచం,койка
346,Bett::N,మంచం,кравать
347,Regal::N,అటక,полицӓ
348,Kiste::N,వెట్టె,шӱ́ндӹк
349,Fenster::N,కిటికి,окня
350,Tür::N,ద్వారము,амаса
351,Tor::N,ద్వారము,хапка
352,Zaun::N,కంచె,забор
353,Dach::N,ఇంటివైకప్పు,левӓш
354,Leiter::N,నిచ్చెన,ташкалтыш
355,Besen::N,చీపురుకట్ట,сало
356,Besen::N,చీపురుకట్ట,салко
357,Spaten::N,పాఱ,кольмы
358,Schaufel::N,పాఱ,лоток
359,Gabel::N,ముండ్లగరిటె,ви́лка
360,Löffel::N,గరిటె,савала
361,Messer::N,కత్తి,кӹзӹ
362,Nagel::N,మేకు,пыда
363,Netz::N,వల,вӓпш
364,Haken::N,కొక్కెము,крӱк
365,Haken::N,కొక్కెము,кагак
366,Griff::N,పిడి,кычем
367,Schloss::N,తాళము,замок
368,Schloss::N,తాళము,сыравач
369,Bild::N,చిత్రము,картин
370,Figur::N,రూపము,кӓн
371,Puppe::N,బొమ్మ,поханя
372,Beutel::N,సంచి,мешӓк
373,Bündel::N,మూట,топ
374,Bündel::N,మూట,пидӹш
375,Bündel::N,మూట,кӹлдӹш
376,Tasche::N,సంచి,сумкы
377,Eimer::N,చేద,ведӹрӓ
378,Deckel::N,మూత,комдыш
379,Geschirr::N,వంటకాలు,ӓтӹ
380,Sack::N,గోనెసంచి,мешӓк
381,Tasse::N,గిన్నె,цӓшкӓ
382,Topf::N,కుండ,ми́ска
383,Kessel::N,నీరుకాచుపాత్ర,пад
384,Essen::N,ఆహారము,качкыш
385,Essen::N,ఆహారము,качкыш-йӱш
386,Nahrung::N,ఆహారము,качкыш
387,Nahrung::N,ఆహారము,качкыш-йӱш
388,Speise::N,ఆహారము,няня
389,Fleisch::N,మాంసము,пай
390,Getreide::N,ధాన్యము,киндӹ
391,Brei::N,గుజ్జు,шӹрӓш
392,Brot::N,రొట్టె,сыкыр
393,Scheibe::N,బద్ద,ламыт
394,Scheibe::N,బద్ద,лаштык
395,Fett::N,క్రొవ్వు,кая
396,Butter::N,వెన్న,ӱ
397,Öl::N,నూనె,ӱ
398,Salz::N,ఉప్పు,санзал
399,Suppe::N,చారు,лем
400,Honig::N,తెనె,мӱ
401,Milch::N,పాలు,шӹшер
402,Tee::N,తేనీరు,чӓй
403,Leder::N,బాగుచేసివతోలు,шарга
404,Leder::N,బాగుచేసివతోలు,кавашты
405,Wolle::N,ఉన్ని,миж
406,Stoff::N,బట్ట,матер
407,Stoff::N,బట్ట,матери
408,Nadel::N,సూది,им
409,Faden::N,దారము,шӹртӹ
410,Knopf::N,బొత్తాము,полдыш
411,Knoten::N,ముడి,пӱкшем
412,Farbe::N,రంగు,чиӓ
413,Farbe::N,రంగు,крӓскӓ
414,Kleidung::N,బట్టలు,выргем
415,Hemd::N,చొక్కాయ,тыгыр
416,Kragen::N,మాల,шӱ
417,Ärmel::N,చొక్కాయచెయ్యి,шокш
418,Hose::N,ఇజారు,ялаш
419,Gürtel::N,పటకా,ӹштӹ
420,Mütze::N,టోపి,упш
421,Schuh::N,పాదరక్ష,ту́фльы
422,Stiefel::N,బూటు,кем
423,Ring::N,ఉంగరము,шӓргӓш
424,Band::N,నాడా,лемтӓ
425,Kamm::N,దువ్వెన,шерге
426,Spiegel::N,అద్దము,тӹгӹр
427,Riemen::N,వాడా,прӓжӓ
428,Schnur::N,దారము,кӓндӹра
429,Leine::N,వారు,керем
430,Decke::N,కంబళి,одеял
431,Kissen::N,తలగడ,кӹпцӹк
432,Tuch::N,బట్ట,савыц
433,Handtuch::N,తువాలు,шӹргӹсавыц
434,Handtuch::N,తువాలు,шӹргӹмсавыц
435,Kraft::N,బలము,ви
436,Stärke::N,శక్తి,ви
437,Gesundheit::N,ఆరోగ్యము,шу
438,Gesundheit::N,ఆరోగ్యము,шулык
439,Krankheit::N,రోగము,мыж
440,Schmerz::N,నొప్పి,карштыш
441,Wunde::N,గాయము,шушыр
442,Fieber::N,జ్వరము,ӱштӹмыж
443,Arznei::N,మందు,лекӓрцӹ
444,Brücke::N,వంతెన,кӹвер
445,Brunnen::N,బావి,вӹдсӹнзӓ
446,Brunnen::N,కూపము,вӹдсӹнзӓ
447,Brunnen::N,నుయ్యి,вӹдсӹнзӓ
448,Weide::N,పచ్చికబయలు,ныр
449,Pfad::N,కాలిత్రోవ,ялгорны
450,Weg::N,మార్గము,корны
451,Straße::N,బాట,корны
452,Dorf::N,గ్రామము,сола
453,Stadt::N,పట్టణము,города
454,Brief::N,జాబు,сирмӓш
455,Buch::N,పుస్తకము,книгӓ
456,Buchstabe::N,అక్షరము,буква́
457,Zeitung::N,వార్తాపత్రిక,газет
458,Zeitung::N,వార్తాపత్రిక,кайзет
459,Leben::N,ప్రాణము,житя
460,Tod::N,మరణము,смöрт
461,Grab::N,సమాధి,шӹгер
462,Grab::N,సమాధి,мыгилӓ
463,Grab::N,సమాధి,шӹгерлӓ
464,Kirche::N,క్రెస్తవులగుడి,церкӹ
465,Sünde::N,పాపము,сулык
466,Gott::N,దేవుడు,йымы
467,Arbeiter::N,పనిపాటుచేశేవాడు,пӓшӓзӹ
468,Chef::N,యజమానుడు,вуй
469,Meister::N,కళాకారుడు,мастар
470,Arzt::N,వైద్యుడు,доктор
471,Lehrer::N,ఉపాధ్యాయుడు,тымдышы
472,Geld::N,ద్రవ్యము,окса
473,Geschäft::N,వ్యాపారము,торге́йӹмӓш
474,Laden::N,అంగడి,лапка
475,Laden::N,అంగడి,магазин
476,Preis::N,వెల,ӓк
477,Ware::N,సరకులు,товар
478,Nutzen::N,ప్రయోజనము,пайда
479,Reichtum::N,ధనము,перке
480,Welt::N,ప్రపంచము,сӓндӓлӹк
481,Welt::N,ప్రపంచము,свет
482,Land::N,దేశము,сӓндӓлӹк
483,Staat::N,రాజ్యము,кугижӓншӹ
484,König::N,రాజు,король
485,Macht::N,అధికారము,власть
486,Grenze::N,సరిహద్దు,пӹсмӓн
487,Krieg::N,యుద్ధము,вырсы
488,Feind::N,శత్రువు,тышман
489,Gewalt::N,దౌర్జన్యము,ви
490,Kampf::N,పోట్లాట,кредӓлмӓш
491,Bogen[Waffe]::N,విల్లు,янгеж
492,Pfeil::N,బాణము,пикш
493,Gewehr::N,తుపాకి,пичӓл
494,Fehler::N,తప్ప,самынь
495,Lüge::N,అసత్యము,шая
496,Schaden::N,నష్టము,вре́дӓ
497,Unglück::N,దురదృష్టము,пёда
498,Unglück::N,దురదృష్టము,тымаша
499,Schuld::N,తప్పు,вуйнамат
500,Alter::N,వయస్సు,иӓш
501,Alter::N,వయస్సు,игечӹ
502,Schluss::N,ముగింపు,пӹтӓртӹш
503,Zeit::N,కాలము,веремӓ
504,Tag::N,దినము,кечӹ
505,Morgen::N,ఉదయము,ир
506,Morgen::N,ఉదయము,ирок
507,Mittag::N,మధ్యాహ్నము,кечӹвӓл
508,Abend::N,సాయంకాలము,вады
509,Nacht::N,రత్రి,йыд
510,Woche::N,వారము,ӓрня
511,Monat::N,నెల,тӹ́лзӹ
512,Jahr::N,సంవత్సరము,год
513,Frühling::N,వసంతకాలము,шошым
514,Sommer::N,వేసవికాము,кӓнгӹж
515,Herbst::N,ఆకురాలుకాలము,шӹжӹ
516,Winter::N,శీతకాలము,тел
517,Winter::N,శీతకాలము,телӹ
518,Januar::N,జనవరి,январ
519,Januar::N,జనవరి,январь
520,Februar::N,ఫిబ్రవరి,февраль
521,März::N,మార్చి,март
522,April::N,ఏప్రిలు,апрель
523,Mai::N,మే,май
524,Juni::N,జూన్,июнь
525,Juli::N,జూలై,июль
526,August::N,ఆగస్టు,август
527,September::N,సెప్ఠెంబరు,сентябрь
528,Oktober::N,అక్టోబరు,октябрь
529,November::N,నవంబరు,ноябрь
530,Dezember::N,డిసెంబర్,декавыр
531,Montag::N,సోమవారము,шачмы
532,Dienstag::N,మంగళవారము,кышкыжмы
533,Mittwoch::N,బుధవారము,вӹрчегӹ
534,Donnerstag::N,గురువారము,изӓрня
535,Freitag::N,శుక్రవారము,когарня
536,Samstag::N,శనివారము,кукшыгечӹ
537,Sonntag::N,ఆదివారము,рушӓрня
538,groß::A,గొప్పైన,кого
539,klein::A,చిన్న,изи
540,lang::A,పొడుగాటి,кужы
541,kurz::A,పొట్టి,кӹтӹк
542,breit::A,వెడల్పైన,кымда
543,schmal::A,ఇఱుకైన,ӓнгӹсӹр
544,dicht::A,దట్టమైన,шӹре
545,dick[Gegenstand]::A,దట్టమైన,кӹжгӹ
546,dünn::A,పలుచని,вӹцкӹж
547,fein::A,నాజాకైన,пыльга
548,fest::A,దృడమైవ,цаткыды
549,flach::A,చదువైన,тӓлякӓ
550,glatt::A,నున్నని,ягылгы
551,hart::A,కఠినమైన,пингӹдӹ
552,weich::A,మృదువైన,пышкыды
553,rund::A,గుండ్రని,тӹртӹш
554,spitz::A,మొనగల,кашар
555,scharf::A,పదనైన,кашар
556,stumpf::A,వాడిలేని,нӹшкӹ
557,schwer::A,బరువ్తెన,нелӹ
558,schön::A,సుందరమైన,цевер
559,schön::A,సుందరమైన,олмыдшы
560,heiß::A,వేడియైన,шокшы
561,warm::A,వెచ్చని,шокшы
562,kalt::A,చల్లని,ӱштӹ
563,kühl::A,చల్లని,юалгы
564,kühl::A,చల్లని,йонгата
565,frisch::A,తాజాయైన,йонгата
566,feucht::A,చెమ్మగానున్న,ӹлӹкшӹ
567,feucht::A,చెమ్మగానున్న,вӹдӹжгӹ
568,nass::A,తడిగామన్న,начкы
569,trocken::A,ఎండిన,кукшы
570,voll::A,నిండు,темшӹ
571,voll::A,నిండు,темыман
572,leer::A,శూన్యమైన,йӓрӓ
573,offen::A,తెఱచియున్న,виш
574,geschlossen::A,మూసిన,чӱчмӹ
575,geschlossen::A,మూసిన,тӹкӹлӓлтшӹ
576,sauber::A,పరిశుద్ధమైన,ире
577,schmutzig::A,ముఱికియైన,шоран
578,schmutzig::A,ముఱికియైన,лявӹрӓн
579,schmutzig::A,ముఱికియైన,шорангшы
580,roh::A,పచ్చి,пеле кӱшӹ
581,reif::A,పండివ,кӱшӹ
582,lecker::A,రుచి గల,тотан
583,süß::A,తియ్యని,мӱӓн
584,bitter::A,చేదైన,качы
585,sauer::A,పుల్లని,шапы
586,hell::A,కాంతిగల,соты
587,hell::A,కాంతిగల,валгыды
588,dunkel::A,చీకటియైన,пӹц
589,dunkel::A,చీకటియైన,пӹцкемӹш
590,schwarz::A,నల్లని,шим
591,weiß::A,తెలుపు,ош
592,weiß::A,తెలుపు,ошы
593,rot::A,ఎఱ్ఱని,якшаргы
594,gelb::A,పసుపు పచ్చ,сар
595,gelb::A,పసుపు పచ్చ,сары
596,blau::A,నీలవర్ణము,симсӹ
597,grün::A,ఆకుపచ్చని,ыжар
598,grau::A,నెరిసిన,луды
599,bunt::A,రంగేలీ,ала
600,billig::A,చౌకయైన,шулдаш
601,teuer::A,వెలపొడుగైన,шергӹ
602,teuer::A,వెలపొడుగైన,шергӓкӓн
603,wertvoll::A,విలుప్తెన,ӓкӓн
604,blind::A,గ్రుడ్డి,слöпöй
605,blind::A,గ్రుడ్డి,сльöпöй
606,taub::A,చెవిటి,тӱтӱк
607,kräftig::A,శక్తి గల,виӓн
608,stark::A,బలమైన,виӓн
609,schwach::A,బలహీనమైన,шава
610,schwach::A,బలహీనమైన,лӹпкӓ
611,schwach::A,బలహీనమైన,слабка
612,fett::A,క్రొవ్విన,таза
613,schlank::A,సన్నని,яштака
614,hübsch::A,సాగప్తెన,сӹлнӹ
615,hübsch::A,సాగప్తెన,олмыдшы
616,böse::A,చెడ్డ,шӹдӓн
617,dumm::A,తెలివిలేని,окмак
618,faul::A,సోమరియైన,ялахай
619,fleißig::A,శ్రద్దగల,пӓшам яратышы
620,geizig::A,పిసినారియైన,шык
621,klug::A,తెలివిగల,ышан
622,geschickt::A,నిపుణతగల,мастар
623,lieb::A,ప్రియమైన,тыри
624,lustig::A,ఉల్లాసము గల,мындыр
625,lustig::A,ఉల్లాసము గల,сусу
626,sanft::A,సాధువైన,йӹвӹжӓ
627,hungrig::A,ఆకలిగొనిన,шужышы
628,krank::A,వ్యాధిగల,церлӹ
629,krank::A,వ్యాధిగల,хворой
630,nackt::A,దిగంబరమైన,цӓрӓ
631,traurig::A,విచారముగల,сы́лыкан
632,traurig::A,విచారముగల,кымы́лдымы
633,lebendig::A,ప్రాణముతో నున్న,живой
634,gut::A,మంచి,яжо
635,schlecht::A,చెడ్డ,уда
636,schlecht::A,చెడ్డ,худа
637,richtig::A,సరియైన,вургамла
638,schlimm::A,అసహ్యమైన,йӹрнык
639,wahr::A,నిజమైన,настоящий
640,wahr::A,నిజమైన,настояшый
641,alt::A,ముసలి,шонгы
642,neu::A,క్రొత్త,у
643,ehemalig::A,పూర్వపు,тошты
644,alt[Lebewesen]::A,ముసలి,ӹлалшӹ
645,jung::A,పసి,нöргӹ
646,jung::A,పసి,молода
647,arm::A,బీద,укеӓн
648,reich::A,ధనవంతుడైన,паян
649,reich::A,ధనవంతుడైన,пурлыкан
650,bekannt::A,తెలిసిన,палӹмӹ
651,berühmt::A,ప్రపిద్దికెక్కివ,лӹмлы
