,Concept_ID,cv,ce
105,Hügel::N,тӗмеске,шу
106,Hügel::N,тӗмеске,барз
107,Anhöhe::N,сӑрт,акъари
108,Berg::N,ту,лам
109,Gipfel::N,тӳпе,бохь
110,Höhle::N,ҫӗр хӑвӑлӗ,хьех
111,Abhang::N,тӑвайкки,басе
112,Quelle::N,ҫӑл куҫ,шовда
113,Bach::N,пӗчӗк шыв,татол
114,Fluss::N,юхан шыв,хи
115,Ufer::N,ҫыран,хийист
116,Küste::N,тинӗс ҫыранӗ,йист
117,Festland::N,тип ҫӗр,латта
118,Meer::N,тинӗс,xӏорд
119,Bucht::N,тинӗс кукӑрӗ,чож
120,Insel::N,утрав,гӏайре
121,Blume::N,чечек,зезаг
122,Gras::N,курӑк,буц
123,Wurzel::N,тымар,орам
124,Baum::N,йывӑҫ,дитт
125,Stamm::N,вулӑ,гӏад
126,Stamm::N,вулӑ,тайпа
127,Rinde::N,хуйӑр,кевстиг
128,Ast::N,турат,га
129,Zweig::N,турат,га
130,Blatt::N,ҫулҫӑ,гӏа
131,Birke::N,хурӑн,дакх
132,Kiefer[Baum]::N,хыр,бага
133,Weide[Baum]::N,хӑва,дак
134,Tanne::N,чӑрӑш,база
135,Horn::N,мӑйрака,маӏа
136,Feder::N,тӗк,пелаг
137,Fell::N,ҫӑм,цӏока
138,Flügel::N,ҫунат,тӏам
139,Klaue::N,чӗрне,мӏара
140,Kralle::N,ура,тlод
141,Schwanz::N,хӳре,цӏога
142,Ei::N,ҫӑмарта,xӏoa
143,Nest::N,йӑва,бен
144,Bau::N,йӗнӗ,lуьрг
145,Tier::N,выльӑх,дийнат
146,Herde::N,кӗтӳ,жа
147,Kuh::N,ӗне,етт
148,Bulle::N,вӑкӑр,сту
149,Pferd::N,лаша,говр
150,Schaf::N,сурӑх,жий
151,Schaf::N,сурӑх,уьстагӏ
152,Schwein::N,сысна,хьакха
153,Hund::N,йытӑ,жӏаьла
154,Katze::N,кушак,цициг
155,Bär::N,упа,ча
156,Eichhörnchen::N,пакша,тарсал
157,Elch::N,пӑши,сай
158,Fuchs::N,тилӗ,цхьогал
159,Hase::N,куян,пхьагал
160,Hase::N,мулкач,пхьагал
161,Maus::N,шӑши,дахка
162,Wolf::N,кашкӑр,борз
163,Vogel::N,кайӑк,олхазар
164,Vogel::N,вӗҫен кайӑк,олхазар
165,Schwarm::N,ушкӑн,
166,Huhn::N,чӑх,котам
167,Huhn::N,чӑхӑ,котам
168,Hahn::N,автан,нӏаьна
169,Hahn::N,автан,боргӏал
170,Gans::N,хур,гӏаз
171,Adler::N,ӑмӑрт кайӑк,aьрзу
172,Ente::N,кӑвакал,бад
173,Eule::N,тӑмана,бухӏа
174,Kranich::N,тӑрна,гӏаргӏули
175,Krähe::N,ула курак,къиг
176,Kuckuck::N,куккук,aттйокх
177,Schwan::N,акӑш,гӏургӏаз
178,Fisch::N,пулӑ,чӏара
179,Barsch::N,уланкӑ,окунь
180,Hecht::N,ҫӑрттан,гӏазкхийн чӏара
181,Schlange[Tier]::N,ҫӗлен,лаьхьа
182,Wurm::N,ӑман,нӏаьна
183,Spinne::N,эрешмен,гезг
184,Ameise::N,кӑткӑ,зингат
185,Laus::N,пыйтӑ,меза
186,Laus::N,пыйтӑ,гӏениг
187,Mücke::N,вӑрӑм туна,чуьрк
188,Fliege::N,шӑна,моза
189,Schmetterling::N,лӗпӗш,полла
190,Beere::N,ҫырла,цӏазам
191,Apfel::N,улма,ӏаж
192,Apfel::N,пан улми,ӏаж
193,Pilz::N,кӑмпа,жӏаьлин нускал
194,Zwiebel::N,сухан,xох
195,Saat::N,вӑрӑ,чlу
196,Korn::N,тӗшӗ,буьртиг
197,Korn::N,пӗрчӗ,буьртиг
198,Heu::N,утӑ,йол
199,Schale::N,хупӑ,пардо
200,Grube::N,шӑтӑк,ор
201,Falle::N,тапӑ,кӏело
202,Falle::N,капкӑн,кӏело
203,Schlinge::N,йӑлӑ,
204,Spur::N,йӗр,лар
205,Asche::N,кӗл,чим
206,Dreck::N,пылчӑк,мода
207,Eisen::N,тимӗр,эчиг
208,Gold::N,ылтӑн,деши
209,Silber::N,кӗмӗл,дети
210,Kohle::N,кӑмрӑк,кӏора
211,Glas::N,кӗленче,aнгали
212,Lehm::N,тӑм,поппар
213,Sand::N,хӑйӑр,гӏум
214,Mensch::N,ҫын,адам
215,Mensch::N,этем,адам
216,Mann::N,ар,майра
217,Frau::N,хӗрарӑм,зуда
218,Kind::N,ача,бер
219,Junge::N,ача,жимха
220,Junge::N,ар ҫын ача,жимха
221,Mädchen::N,хӗр ача,жима йоӏ
222,Familie::N,ҫемье,доьзал
223,Familie::N,кил-йыш,доьзал
224,Großvater::N,кукаҫи,ненада
225,Großmutter::N,кукамай,денана
226,Eltern::N,аҫа-ама,да-нана
227,Vater::N,атте,да
228,Mutter::N,анне,нана
229,Sohn::N,ывӑл,кӏант
230,Tochter::N,хӗр,йоӏ
231,Bruder::N,ар тӑван,ваша
232,Schwester::N,аппа,йиша
233,Schwester::N,йӑмӑк,йиша
234,Onkel::N,мучи,деваша
235,Onkel::N,пичче,деваша
236,Tante::N,аппа,дейиша
237,Ehemann::N,упӑшка,майра
238,Ehefrau::N,арӑм,зуда
239,Freude::N,савӑнӑҫ,самукъа
240,Freude::N,савӑнӑҫ,хазахетар
241,Freude::N,хаваслӑх,самукъа
242,Freude::N,хаваслӑх,хазахетар
243,Gelächter::N,кулӑ,белам
244,Glück::N,телей,ирс
245,Glück::N,ӑраскал,ирс
246,Kummer::N,хурлӑх,бала
247,Wunsch::N,ӗмӗт,лаам
248,Wunsch::N,кӑмӑл,лаам
249,Lust::N,кӑмӑл,лаам
250,Geist::N,чун-чӗм,са
251,Geist::N,ыр-усал,са
252,Geist::N,чун хавалӗ,са
253,Gedanke::N,шухӑш,ойла
254,Gedächtnis::N,ас,диццадалар
255,Verstand::N,ӑс,хьекъал
256,Verstand::N,ӑс-тӑн,хьекъал
257,Verstand::N,ӑс-хакӑл,хьекъал
258,Sinn::N,тупсӑм,маьӏна
259,Sinn::N,пӗлтерӗш,маьӏна
260,Grund::N,сӑлтав,бахьана
261,Wahrheit::N,чӑнлӑх,бакъдерг
262,Gespräch::N,калаҫу,къамел
263,Märchen::N,юмах,туьйра
264,Erzählung::N,акалав,дийцар
265,Erzählung::N,каласа пани,дийцар
266,Nachricht::N,хыпар,хаам
267,Neuigkeit::N,ҫӗнӗ хыпар,керланиг
268,Name::N,ят,цӏе
269,Rätsel::N,сутмалли юмах,хӏетал-метал
270,Rede::N,сӑмах,къамел
271,Sprache::N,чӗлхе,мотт
272,Stimme::N,сасӑ,aз
273,Wort::N,сӑмах,дош
274,Zeichen::N,паллӑ,билгало
275,Ruf::N,йыхрав,кхайкхар
276,Ruf::N,чӗнӳ,кхайкхар
277,Lärm::N,шав,гӏовгӏа
278,Laut::N,сасӑ,аз
279,Ton::N,сасӑ,aз
280,Lied::N,юрӑ,илли
281,Ruhe::N,канӑҫлӑх,тийналла
282,Ruhe::N,лӑпкӑлӑх,тийналла
283,Leute::N,ҫамрӑксем,нах
284,Leute::N,ҫамрӑк ҫынсем,нах
285,Volk::N,халӑх,халкъ
286,Arbeit::N,ӗҫхӗл,болх
287,Arbeit::N,ӗҫлев,болх
288,Gast::N,хӑна,хьаша
289,Geschenk::N,парне,совгӏат
290,Geschenk::N,кучченеҫ,совгӏат
291,Spiel::N,вӑйӑ,ловзар
292,Gesellschaft::N,общество,юкъаралла
293,Hilfe::N,пулӑшу,гӏо
294,Freund::N,тус,доттагl
295,Kamerad::N,юлташ,накъост
296,Kamerad::N,тус,накъост
297,Angelegenheit::N,ӗҫ,гӏуллакх
298,Anzahl::N,йыш,терахь
299,Anzahl::N,хисеп,терахь
300,Art::N,тӗс,
301,Stück::N,татӑк,юьхк
302,Teil::N,пай,дакъа
303,Hälfte::N,ҫурӑ,ах
304,Kreis::N,ункӑ,го
305,Kreis::N,ҫавракӑш,го
306,Kreuz::N,хӗрес,жӏара
307,Linie::N,йӗр,сиз
308,Strich::N,йӗр,сиз
309,Abstand::N,хушӑ,юкъ
310,Entfernung::N,хушӑ,
311,Gegend::N,вырӑн,мeттиг
312,Platz::N,хутлӑх,майда
313,Ort::N,вырӑн,меттиг
314,Seite::N,ен,aгӏo
315,Seite::N,аяк,aгӏo
316,Seite::N,айӑк,aгӏo
317,Mitte::N,варӑ,юкъ
318,Gegenstand::N,япала,хӏума
319,Sache::N,япала,хӏума
320,Rand::N,вӗҫ,йист
321,Rand::N,хӗрӗ,йист
322,Rand::N,хӗрри,йист
323,Kante::N,хайкача,йист
324,Kante::N,хысак,йист
325,Ecke::N,кӗтес,са
326,Spitze::N,вӗҫ,ралла
327,Ende::N,вӗҫ,юьхьиг
328,Loch::N,шӑтӑк,ӏуьрг
329,Winkel::N,кӗтес,са
330,Muster::N,эреш,дагар
331,Muster::N,эреш,тӏамар
332,Größe::N,пысӑкӑш,барам
333,Länge::N,вӑрӑмӑш,йохалла
334,Höhe::N,ҫӳллӗш,локхалла
335,Gewicht::N,виҫе,йозалла
336,Gewicht::N,йывӑрӑш,йозалла
337,Menge::N,йыш,дукхалла
338,Haufen::N,купа,сал
339,Haufen::N,купа,оьла
340,Reihe::N,рет,рагӏ
341,Reihe::N,рет,могӏа
342,Boot::N,кимӗ,кема
343,Ruder::N,кӗсмен,пийсиг
344,Schlitten::N,ҫуна,салаз
345,Ski::N,йӗлтӗр,когсалаз
346,Lagerfeuer::N,вут,цӏе
347,Lagerfeuer::N,кӑвайт,цӏе
348,Last::N,сулмаклӑх,дукъ
349,Last::N,йывӑр япала,дукъ
350,Gang::N,куҫӑм,лелар
351,Schritt::N,утӑм,гӏулч
352,Schritt::N,пусӑм,гӏулч
353,Norden::N,ҫурҫӗр,къилбаседе
354,Süden::N,кӑнтӑр,къилбе
355,Westen::N,анӑҫ,малхбузе
356,Westen::N,хӗвел анӑҫ,малхбузе
357,Osten::N,хӗвел тухӑҫ,малхбале
358,Holz::N,йывӑҫ,дечиг
359,Brett::N,хӑма,у
360,Platte::N,плита,у
361,Stütze::N,ура,гӏopтоp
362,Stange::N,шерте,гӏуркх
363,Stock::N,патак,ӏаса
364,Stab::N,шӑчӑ,гӏаж
365,Rohr::N,пӑрӑх,биргӏа
366,Haus::N,ҫурт,цӏа
367,Heim::N,кил,кхерч
368,Ofen::N,кӑмака,кхерч
369,Fußboden::N,урай,цӏенкъа
370,Tisch::N,сӗтел,шун
371,Stuhl::N,пукан,гӏант
372,Wiege::N,сӑпка,ага
373,Bett::N,кравать,маьнга
374,Regal::N,ҫӳлӗк,терхи
375,Regal::N,сентре,терхи
376,Kiste::N,ещӗк,яьшка
377,Kiste::N,сунтӑх,яьшка
378,Fenster::N,чӳрече,кор
379,Tür::N,алӑк,неӏ
380,Tor::N,хапха,ков
381,Zaun::N,хӳме,керт
382,Dach::N,тӑрӑ,тхов
383,Leiter::N,пусма,лами
384,Besen::N,шӑпӑр,нуй
385,Spaten::N,кӗреҫе,бел
386,Schaufel::N,кӗреҫе,аьшкал
387,Gabel::N,вилка,мӏара
388,Löffel::N,кашӑк,ӏайг
389,Messer::N,ҫӗҫӗ,урс
390,Nagel::N,пӑта,хьостам
391,Netz::N,тетел,бой
392,Haken::N,йӑрхах,мӏара
393,Haken::N,ҫекӗл,мӏара
394,Griff::N,хӑлӑп,
395,Schloss::N,ҫӑра,чӏега
396,Bild::N,сӑн,сурт
397,Bild::N,сӑнлӑх,сурт
398,Bild::N,картина,сурт
399,Figur::N,кӗлетке,
400,Puppe::N,пукане,тайниг
401,Beutel::N,михӗ,гали
402,Bündel::N,ҫыхӑ,кочар
403,Bündel::N,тӗрке,кочар
404,Tasche::N,сумка,тӏоьрмиг
405,Eimer::N,витре,чийлик
406,Deckel::N,хупӑ,негӏар
407,Geschirr::N,савӑт-сапа,пхьегӏа
408,Sack::N,михӗ,гали
409,Tasse::N,курка,кад
410,Topf::N,кастрюль,яй
411,Kessel::N,хуран,яй
412,Essen::N,апат,юург
413,Nahrung::N,апат-ҫимӗс,кхача
414,Speise::N,апат,юург
415,Speise::N,ҫимӗҫ,юург
416,Fleisch::N,аш,жижиг
417,Fleisch::N,какай,жижиг
418,Getreide::N,тырӑ,буьртиг
419,Brei::N,пӑтӑ,xудар
420,Brot::N,ҫӑкӑр,бепиг
421,Brot::N,ҫӑкӑр,кхаллар
422,Scheibe::N,чӗлӗ,цастар
423,Scheibe::N,касӑк,цастар
424,Fett::N,ҫу,мохь
425,Butter::N,ҫу,налха
426,Öl::N,ҫу,даьтта
427,Salz::N,тӑвар,туьха
428,Suppe::N,яшка,чорпа
429,Honig::N,пыл,моз
430,Milch::N,сӗт,шура
431,Tee::N,чей,чай
432,Leder::N,сӑран,цӏока
433,Wolle::N,ҫӑм,тӏapгӏa
434,Stoff::N,тӗртӗм,кӏади
435,Nadel::N,йӗп,маха
436,Faden::N,ҫип,тай
437,Knopf::N,тӳме,нуьйда
438,Knoten::N,йӑлӑ,шад
439,Farbe::N,сӑрӑ,сир
440,Farbe::N,сӑрӑ,басар
441,Kleidung::N,тум,бедар
442,Kleidung::N,ҫипуҫ,бедар
443,Kleidung::N,тум-тир,бедар
444,Hemd::N,кӗпе,коч
445,Kragen::N,ҫуха,кач
446,Ärmel::N,ҫанӑ,пхьош
447,Hose::N,шӑлавар,хеча
448,Gürtel::N,пиҫиххи,доьхка
449,Mütze::N,ҫӗлӗк,куй
450,Schuh::N,пушмак,мача
451,Schuh::N,ботинок,мача
452,Stiefel::N,атӑ,этка
453,Ring::N,ҫӗрӗ,чӏуг
454,Band::N,хаю,лента
455,Band::N,йӗсме,лента
456,Kamm::N,тура,ехк
457,Spiegel::N,тӗкӗр,куьзга
458,Spiegel::N,куҫ кӗски,куьзга
459,Riemen::N,чӗн,доьхка
460,Schnur::N,кантра,муш
461,Leine::N,касмӑк,кочатосу доьхка
462,Decke::N,утиял,юргӏа
463,Kissen::N,ҫытар,гIайба
464,Kissen::N,минтер,гIайба
465,Tuch::N,тутӑр,исхар
466,Handtuch::N,ал шӑлли,гата
467,Kraft::N,вӑй,гӏора
468,Kraft::N,хӑват,гӏора
469,Stärke::N,хал,гӏап
470,Stärke::N,хӑват,гӏап
471,Gesundheit::N,хал,могашалла
472,Gesundheit::N,сывлӑх,могашалла
473,Krankheit::N,чир,цамгар
474,Schmerz::N,ырату,лазар
475,Wunde::N,суран,чов
476,Fieber::N,сив чир,xорша
477,Arznei::N,эмел,молха
478,Brücke::N,кӗпер,тӏай
479,Brunnen::N,ҫӑл,гӏу
480,Brunnen::N,пусӑ,гӏу
481,Weide::N,ҫаран,дак
482,Pfad::N,йӗр,тача
483,Pfad::N,сукмак,тача
484,Weg::N,ҫул,некъ
485,Weg::N,ҫул-йӗр,некъ
486,Straße::N,ҫӳрев,урам
487,Straße::N,ҫул ҫӳрени,урам
488,Dorf::N,ял,юрт
489,Stadt::N,хула,гӏала
490,Brief::N,ҫыру,кехат
491,Buch::N,кӗнеке,жайна
492,Buchstabe::N,сас палли,элп
493,Zeitung::N,хаҫат,газет
494,Leben::N,пурнӑҫ,дахар
495,Tod::N,вилӗм,далар
496,Tod::N,вилӗм,ӏожалла
497,Grab::N,масар шӑтӑкӗ,каш
498,Kirche::N,чиркӳ,килс
499,Sünde::N,ҫылӑх,къа
500,Gott::N,турӑ,дела
501,Arbeiter::N,рабочи,белхало
502,Chef::N,пуҫлӑх,хьаькам
503,Meister::N,ӑста,говзанча
504,Meister::N,мастер,говзанча
505,Arzt::N,врач,лор
506,Arzt::N,тухтӑр,лор
507,Lehrer::N,учитель,хьехархо
508,Lehrer::N,вӗрентекен,хьехархо
509,Geld::N,укҫа,aхча
510,Geschäft::N,бизнес,туька
511,Laden::N,магазин,туька
512,Preis::N,хак,мах
513,Ware::N,тавар,хlума
514,Nutzen::N,пайта,пайда
515,Reichtum::N,мул,хьал
516,Welt::N,тӗнче,дуьне
517,Land::N,ҫӗр-шыв,мохк
518,Staat::N,патшàлӑх,пачхьалкх
519,König::N,король,паччахь
520,Macht::N,власть,ӏедал
521,Grenze::N,чикӗ,доза
522,Krieg::N,вӑрҫӑ,тӏом
523,Feind::N,тӑшман,мостагӏ
524,Gewalt::N,ирӗксӗрлӳ,гӏело
525,Kampf::N,кӗрешӳ,къийсам
526,Bogen[Waffe]::N,ухӑ,
527,Pfeil::N,ҫӗмрен,пха
528,Pfeil::N,ухӑ йӗппи,пха
529,Gewehr::N,пӑшал,топ
530,Fehler::N,йӑнӑш,гӏалат
531,Lüge::N,суя,аьшпаш
532,Lüge::N,ултав,аьшпаш
533,Schaden::N,сиен,зен
534,Unglück::N,шар,бала
535,Unglück::N,инкек,бала
536,Schuld::N,айӑп,бехк
537,Alter::N,ҫул шучӗ,хан
538,Schluss::N,пӗтни,чакхе
539,Schluss::N,пӗтмӗш,чакхе
540,Zeit::N,вӑхӑт,хан
541,Tag::N,кун,де
542,Morgen::N,ир,ӏуьйре
543,Mittag::N,кӑнтӑрла,делкъе
544,Abend::N,каҫ,суьйре
545,Nacht::N,каҫ,буьйса
546,Woche::N,эрне,кӏира
547,Monat::N,уйӑх,бутт
548,Jahr::N,ҫулталӑк,шо
549,Frühling::N,ҫур,бӏаьсте
550,Frühling::N,ҫуркунне,бӏаьсте
551,Sommer::N,ҫу,аьхке
552,Sommer::N,ҫулла,аьхке
553,Herbst::N,кӗр,гуьйре
554,Herbst::N,кӗркунне,гуьйре
555,Winter::N,хӗл,ӏа
556,Winter::N,хӗлле,ӏа
557,Januar::N,январь,январь
558,Februar::N,февраль,февраль
559,Februar::N,кӗҫӗн кӑрлач,февраль
560,März::N,март,март
561,März::N,пуш уйӑхӗ,март
562,April::N,апрель,апрель
563,Mai::N,май,май
564,Juni::N,июнь,июнь
565,Juli::N,июль,июль
566,August::N,август,август
567,September::N,сентябрь,сентябрь
568,September::N,авӑн уйӑхӗ,сентябрь
569,Oktober::N,октябрь,октябрь
570,November::N,ноябрь,ноябрь
571,Dezember::N,раштав,декабрь
572,Dezember::N,декабрь,декабрь
573,Montag::N,тунти кун,оршот
574,Dienstag::N,ытлари кун,шинара
575,Mittwoch::N,юн кун,кхаара
576,Donnerstag::N,кӗҫнерни кун,еара
577,Freitag::N,эрне кун,пӏераска
578,Samstag::N,шӑмат кун,шот
579,Sonntag::N,вырсарни кун,кӏиранде
580,groß::A,пысӑк,доккха
581,klein::A,пӗчӗк,кегий
582,lang::A,вӑрӑм,еха
583,kurz::A,кӗске,доца
584,breit::A,сарлака,шуьйра
585,schmal::A,ансӑр,готта
586,dicht::A,йӑвӑ,луьста
587,dick[Gegenstand]::A,хулӑн,стомма
588,dünn::A,ҫинҫе,дуткъа
589,dünn::A,ҫӳхе,дуткъа
590,fein::A,тарай,ховха
591,fein::A,вӗлтӗрти,ховха
592,fest::A,тӗреклӗ,чӏогӏа
593,flach::A,лаптак,чӏапа
594,glatt::A,такӑр,шера
595,hart::A,хытӑ,чӏогӏa
596,weich::A,ҫемҫе,кӏеда
597,rund::A,ҫавра,горга
598,spitz::A,шӗвӗр,ира
599,scharf::A,ҫивӗч,ира
600,stumpf::A,мӑка,аьртa
601,stumpf::A,пуклак,аьртa
602,stumpf::A,тӗрӗнчӗк,аьртa
603,stumpf::A,ӑнкарусӑр,аьртa
604,schwer::A,йывӑр,деза
605,schön::A,илемлӗ,хаза
606,heiß::A,вӗри,довха
607,warm::A,ӑшӑ,довха
608,kalt::A,сивӗ,шийла
609,kühl::A,уҫӑ,шийла
610,frisch::A,уҫӑ,керла
611,feucht::A,йӗпе,тӏуьна
612,nass::A,нӳрӗ,тӏеда
613,trocken::A,типӗ,eкъа
614,voll::A,тулли,дуьзна
615,leer::A,пушӑ,яьсса
616,offen::A,уҫӑ,диллина
617,geschlossen::A,хупӑ,дӏакъевлина
618,geschlossen::A,хупӑ,дӏачӏагӏдина
619,sauber::A,таса,цӏена
620,schmutzig::A,пылчӑклӑ,боьха
621,schmutzig::A,вараланчӑк,боьха
622,roh::A,чӗрӗ,буьйда
623,reif::A,пулнӑ,хилла
624,reif::A,пиҫӗхнӗ,хилла
625,reif::A,аталаннӑ,хилла
626,reif::A,пиҫсе ҫитнӗ,хилла
627,lecker::A,тутлӑ,чоме
628,lecker::A,техӗмлӗ,чоме
629,süß::A,пылак,мерза
630,bitter::A,йӳҫӗ,къаьхьа
631,sauer::A,йӳҫӗ,муьста
632,sauer::A,йӳҫек,муьста
633,sauer::A,кӑвасак,муьста
634,hell::A,ҫутӑ,сирла
635,dunkel::A,тӗттӗм,бодане
636,schwarz::A,хура,ӏаьржа
637,weiß::A,шурӑ,кӏайн
638,rot::A,хӗрлӗ,цӏен
639,gelb::A,сарӑ,можа
640,blau::A,кӑвак,сийна
641,grün::A,симӗс,баьццара
642,grün::A,пиҫмен,баьццара
643,grün::A,ӑс пухман,баьццара
644,grau::A,кӑвак,cира
645,grau::A,кӑвак,мокха
646,bunt::A,чӑпар,къорза
647,billig::A,йӳнӗ,дораха
648,teuer::A,хаклӑ,деза
649,wertvoll::A,паха,мехала
650,blind::A,суккӑр,бӏаьрзе
651,taub::A,хӑлхасӑр,къора
652,kräftig::A,хӑватлӑ,нуьцкъала
653,stark::A,вирлӗ,зоьртала
654,stark::A,вирлӗ,нуьцкъала
655,schwach::A,халсӑр,гӏорасиза
656,fett::A,самӑр,дерстана
657,fett::A,мӑнтӑр,дерстана
658,schlank::A,йӑрӑс,куц долу
659,schlank::A,яштака,куц долу
660,hübsch::A,хитре,хаза
661,böse::A,усал,вон
662,dumm::A,ухмах,сонта
663,faul::A,наян,мало ен
664,faul::A,юлхав,мало ен
665,faul::A,ӳркенчӗк,мало ен
666,fleißig::A,хастар,тӏера
667,geizig::A,хытӑ,пис
668,geizig::A,хытӑ,сутара
669,klug::A,ӑслӑ,хьекъале
670,geschickt::A,ӑста,тӏахъаьлла
671,lieb::A,савнӑ,хьоме
672,lustig::A,хаваслӑ,самукъане
673,sanft::A,ачаш,кlеда
674,hungrig::A,выҫӑ,меца
675,krank::A,чирлӗ,цомгуш долу
676,nackt::A,ҫара,дерзана
677,traurig::A,салхуллӑ,самукъане воцу
678,lebendig::A,чӗрӗ,дийна
679,gut::A,аван,дика
680,gut::A,лайӑх,дика
681,schlecht::A,япӑх,вон
682,schlecht::A,начар,вон
683,richtig::A,тӗрӗс,нийса
684,schlimm::A,йӗрӗнчӗк,вон
685,wahr::A,чӑн,бакъдолу
686,alt::A,кивӗ,къена
687,neu::A,ҫӗнӗ,керла
688,ehemalig::A,пулнӑ,хилла
689,alt[Lebewesen]::A,ватӑ,къена
690,jung::A,яш,къона
691,jung::A,ҫамрӑк,къона
692,arm::A,чухӑн,къен
693,reich::A,пуян,хьоле
694,bekannt::A,пӗлӗш,девзаш долу
695,berühmt::A,чаплӑ,цӏеяхана
696,fremd::A,ют,нехан
697,verschieden::A,расна,тайп-тайпанара
698,nah::A,ҫывӑх,гергара
699,nah::A,ҫывӑхри,гергара
700,fern::A,инҫе,гена
701,fern::A,инҫе,генара
702,fern::A,аякри,гена
703,fern::A,аякри,генара
704,linker::A,сулахай,аьрру
705,rechter::A,сылтӑм,аьтту
706,anderer::A,урӑх,кхин
707,erster::A,пӗрремӗш,хьалхара
708,zweiter::A,иккӗмӗш,шолгIа
709,dritter::A,виҫҫӗмӗш,кхоалгӏа
710,letzter::A,юлашки,тӏаьххьара
711,allein::ADV,пӗччен,цхьаъ
712,auf einmal::ADV,кӗмӗрккен,цу сохьтта
713,zusammen::ADV,пӗрле,цхьана
