,Concept_ID,br,lt
281,Hilfe::N,sikour,pagalba
282,Freund::N,mignon,draugas
283,Freund::N,mignon,bičiulis
284,Kamerad::N,kamarad,draugas
285,Angelegenheit::N,afer,dalykas
286,Angelegenheit::N,afer,reikalas
287,Anzahl::N,niver,kiekis
288,Anzahl::N,niver,skaičius
289,Art::N,sort,rūšis
290,Stück::N,tamm,gabalas
291,Teil::N,pezh,dalis
292,Hälfte::N,hanterenn,pusė
293,Kreis::N,kelc'h,ratas
294,Kreis::N,kelc'h,apskritis
295,Kreis::N,kelc'h,apskritimas
296,Kreuz::N,kroaz,kryžius
297,Linie::N,linenn,linija
298,Strich::N,tenn,brėžis
299,Strich::N,tenn,brūkšnys
300,Abstand::N,distok,atstumas
301,Entfernung::N,keid,atstumas
302,Entfernung::N,kehid,atstumas
303,Gegend::N,korn-bro,vietovė
304,Platz::N,plasenn,vieta
305,Ort::N,lec'h,vieta
306,Ort::N,lec'h,vietovė
307,Seite::N,tu,pusė
308,Seite::N,tu,šonas
309,Mitte::N,kreiz,vidurys
310,Gegenstand::N,tra,dalykas
311,Sache::N,tra,daiktas
312,Rand::N,kantenn,kraštas
313,Rand::N,kantenn,pakraštys
314,Kante::N,kantenn,kraštas
315,Ecke::N,korn,kertė
316,Ecke::N,korn,kampas
317,Spitze::N,begell,priekis
318,Spitze::N,begell,priešakys
319,Ende::N,dibenn,galas
320,Loch::N,toull,skylė
321,Muster::N,tresadenn,raštas
322,Größe::N,ment,dydis
323,Größe::N,ment,didumas
324,Länge::N,hirder,ilgis
325,Länge::N,hirder,ilgumas
326,Höhe::N,uhelder,aukštis
327,Höhe::N,uhelder,aukštuma
328,Gewicht::N,pouez,svoris
329,Gewicht::N,pouez,svarstis
330,Menge::N,bern,kiekis
331,Menge::N,bern,daugybė
332,Haufen::N,bern,krūva
333,Haufen::N,bern,šūsnis
334,Reihe::N,steud,greta
335,Boot::N,bag,valtis
336,Boot::N,bag,laivelis
337,Ruder::N,roeñv,irklas
338,Schlitten::N,trainell,rogės
339,Schlitten::N,trainell,rogutės
340,Ski::N,ski,slidė
341,Last::N,karg,našta
342,Last::N,karg,nešulys
343,Gang::N,kerzh,eisena
344,Schritt::N,paz,žingsnis
345,Norden::N,norzh,šiaurė
346,Norden::N,norzh,žiemiai
347,Norden::N,hanternoz,šiaurė
348,Norden::N,hanternoz,žiemiai
349,Süden::N,su,pietūs
350,Süden::N,kreisteiz,pietūs
351,Westen::N,kuzh-heol,vakarai
352,Osten::N,reter,rytai
353,Osten::N,sav-heol,rytai
354,Holz::N,koad,mediena
355,Brett::N,plankenn,lenta
356,Platte::N,plakenn,plokštė
357,Stütze::N,harp,atrama
358,Stütze::N,harp,atspara
359,Stange::N,sparl,lazda
360,Stange::N,sparl,kartis
361,Stock::N,bazh,lazda
362,Stab::N,bazh,kartis
363,Rohr::N,tub,vamzdis
364,Rohr::N,korz,vamzdis
365,Haus::N,ti,namas
366,Heim::N,kêr,namai
367,Ofen::N,forn,krosnis
368,Fußboden::N,plañchod,grindys
369,Tisch::N,taol,stalas
370,Stuhl::N,kador,kėdė
371,Wiege::N,kavell,lopšys
372,Bett::N,gwele,lova
373,Bett::N,gwele,patalai
374,Regal::N,estajerenn,lentyna
375,Kiste::N,kased,dėžė
376,Fenster::N,prenestr,langas
377,Tür::N,dor,durys
378,Tor::N,portal,vartai
379,Zaun::N,sklotur,tvora
380,Dach::N,toenn,stogas
381,Leiter::N,skeul,kopėčios
382,Besen::N,skubell,šluota
383,Spaten::N,pal,lopeta
384,Spaten::N,pal,kastuvas
385,Schaufel::N,pal,semtuvas
386,Gabel::N,fourchetez,šakutė
387,Löffel::N,loa,šaukštas
388,Messer::N,kontell,peilis
389,Nagel::N,tach,vinis
