,Concept_ID,cv,he
138,Ei::N,ҫӑмарта,ביצה
139,Nest::N,йӑва,קן
140,Bau::N,йӗнӗ,מחלה
141,Tier::N,выльӑх,חיה
142,Herde::N,кӗтӳ,עדר
143,Kuh::N,ӗне,פרה
144,Bulle::N,вӑкӑр,פר
145,Pferd::N,лаша,סוס
146,Schaf::N,сурӑх,כבשה
147,Schwein::N,сысна,חזיר
148,Hund::N,йытӑ,כלב
149,Katze::N,кушак,חתול
150,Bär::N,упа,דב
151,Eichhörnchen::N,пакша,סנאי
152,Elch::N,пӑши,דישון
153,Fuchs::N,тилӗ,שועל
154,Hase::N,куян,ארנב
155,Hase::N,мулкач,ארנב
156,Maus::N,шӑши,עכבר
157,Wolf::N,кашкӑр,זאב
158,Vogel::N,кайӑк,צפור
159,Vogel::N,вӗҫен кайӑк,צפור
160,Schwarm::N,ушкӑн,נחיל
161,Schwarm::N,ушкӑн,להקה
162,Huhn::N,чӑх,תרנגלת
163,Huhn::N,чӑхӑ,תרנגלת
164,Hahn::N,автан,תרנגול
165,Gans::N,хур,אוז
166,Adler::N,ӑмӑрт кайӑк,עיט
167,Ente::N,кӑвакал,ברוז
168,Eule::N,тӑмана,ינשוף
169,Kranich::N,тӑрна,עגור
170,Kranich::N,тӑрна,כרוכיה
171,Krähe::N,ула курак,עורב
172,Kuckuck::N,куккук,קוקיה
173,Schwan::N,акӑш,ברבור
174,Fisch::N,пулӑ,דג
175,Barsch::N,уланкӑ,אוקונוס
176,Hecht::N,ҫӑрттан,זאב הים
177,Schlange[Tier]::N,ҫӗлен,נחש
178,Wurm::N,ӑман,תולעת
179,Spinne::N,эрешмен,עכביש
180,Ameise::N,кӑткӑ,נמלה
181,Laus::N,пыйтӑ,כנה
182,Mücke::N,вӑрӑм туна,יתוש
183,Fliege::N,шӑна,זבוב
184,Schmetterling::N,лӗпӗш,פרפר
185,Beere::N,ҫырла,ענבה
186,Apfel::N,улма,תפוח
187,Apfel::N,пан улми,תפוח
188,Pilz::N,кӑмпа,פטריה
189,Zwiebel::N,сухан,בצל
190,Saat::N,вӑрӑ,זרעים
191,Korn::N,тӗшӗ,גרעין
192,Korn::N,пӗрчӗ,גרעין
193,Heu::N,утӑ,חציר
194,Schale::N,хупӑ,קלפה
195,Grube::N,шӑтӑк,בור
196,Grube::N,шӑтӑк,שוחה
197,Falle::N,тапӑ,מלכדת
198,Falle::N,капкӑн,מלכדת
199,Schlinge::N,йӑлӑ,לולאה
200,Spur::N,йӗр,עקבה
201,Asche::N,кӗл,אפר
202,Dreck::N,пылчӑк,זהמה
203,Eisen::N,тимӗр,ברזל
204,Gold::N,ылтӑн,זהב
205,Silber::N,кӗмӗл,כסף
206,Kohle::N,кӑмрӑк,פחם
207,Glas::N,кӗленче,זכוכית
208,Lehm::N,тӑм,חרסית
209,Sand::N,хӑйӑр,חול
210,Mensch::N,ҫын,אדם
211,Mensch::N,этем,אדם
212,Mann::N,ар,איש
213,Mann::N,ар,גבר
214,Frau::N,хӗрарӑм,אשה
215,Frau::N,хӗрарӑм,גברת
216,Kind::N,ача,ילד
217,Junge::N,ача,ילד
218,Junge::N,ар ҫын ача,ילד
219,Mädchen::N,хӗр ача,נערה
220,Familie::N,ҫемье,משפחה
221,Familie::N,кил-йыш,משפחה
222,Großvater::N,кукаҫи,סבא
223,Großmutter::N,кукамай,סבתא
224,Eltern::N,аҫа-ама,הורים
225,Vater::N,атте,אב
226,Mutter::N,анне,אם
227,Sohn::N,ывӑл,בן
228,Tochter::N,хӗр,בת
229,Bruder::N,ар тӑван,אח
230,Schwester::N,аппа,אחות
231,Schwester::N,йӑмӑк,אחות
232,Onkel::N,мучи,דוד
233,Onkel::N,пичче,דוד
234,Tante::N,аппа,דודה
235,Ehemann::N,упӑшка,איש
236,Ehemann::N,упӑшка,בעל
237,Ehefrau::N,арӑм,אשה
238,Freude::N,савӑнӑҫ,שמחה
239,Freude::N,хаваслӑх,שמחה
240,Gelächter::N,кулӑ,צחוק
241,Glück::N,телей,אשר
242,Glück::N,ӑраскал,אשר
243,Kummer::N,хурлӑх,יגון
244,Kummer::N,хурлӑх,עגמה
245,Wunsch::N,ӗмӗт,אחול
246,Wunsch::N,ӗмӗт,משאלה
247,Wunsch::N,кӑмӑл,אחול
248,Wunsch::N,кӑмӑл,משאלה
249,Lust::N,кӑмӑл,חשק
250,Lust::N,кӑмӑл,תשוקה
251,Geist::N,чун-чӗм,רוח
252,Geist::N,ыр-усал,רוח
253,Geist::N,чун хавалӗ,רוח
254,Gedanke::N,шухӑш,מחשבה
255,Gedächtnis::N,ас,זכרון
256,Verstand::N,ӑс,שכל
257,Verstand::N,ӑс-тӑн,שכל
258,Verstand::N,ӑс-хакӑл,שכל
259,Sinn::N,тупсӑм,מובן
260,Sinn::N,тупсӑм,משמעות
261,Sinn::N,пӗлтерӗш,מובן
262,Sinn::N,пӗлтерӗш,משמעות
263,Grund::N,сӑлтав,סבה
264,Wahrheit::N,чӑнлӑх,אמת
265,Gespräch::N,калаҫу,דיון
266,Märchen::N,юмах,אגדה
267,Erzählung::N,акалав,ספור
268,Erzählung::N,каласа пани,ספור
269,Nachricht::N,хыпар,ידיעה
270,Neuigkeit::N,ҫӗнӗ хыпар,חדשה
271,Name::N,ят,שם
272,Rätsel::N,сутмалли юмах,תעלומה
273,Rede::N,сӑмах,נאום
274,Sprache::N,чӗлхе,לשון
275,Stimme::N,сасӑ,קול
276,Wort::N,сӑмах,מלה
277,Zeichen::N,паллӑ,סימן
278,Ruf::N,йыхрав,קריאה
279,Ruf::N,чӗнӳ,קריאה
280,Lärm::N,шав,רעש
281,Laut::N,сасӑ,הגה
282,Ton::N,сасӑ,צליל
283,Lied::N,юрӑ,שיר
284,Ruhe::N,канӑҫлӑх,שלוה
285,Ruhe::N,лӑпкӑлӑх,שלוה
286,Leute::N,ҫамрӑксем,אנשים
287,Leute::N,ҫамрӑк ҫынсем,אנשים
288,Volk::N,халӑх,עם
289,Arbeit::N,ӗҫхӗл,עבודה
290,Arbeit::N,ӗҫлев,עבודה
291,Gast::N,хӑна,אורח
292,Geschenk::N,парне,מתנה
293,Geschenk::N,кучченеҫ,מתנה
294,Spiel::N,вӑйӑ,משחק
295,Gesellschaft::N,общество,חברה
296,Hilfe::N,пулӑшу,עזרה
297,Freund::N,тус,חבר
298,Freund::N,тус,ידיד
299,Kamerad::N,юлташ,רע
300,Kamerad::N,тус,רע
301,Angelegenheit::N,ӗҫ,ענין
302,Anzahl::N,йыш,מספר
303,Anzahl::N,хисеп,מספר
304,Art::N,тӗс,סוג
305,Stück::N,татӑк,חתיכה
306,Teil::N,пай,פרק
307,Hälfte::N,ҫурӑ,חצי
308,Kreis::N,ункӑ,מעגל
309,Kreis::N,ҫавракӑш,מעגל
310,Kreuz::N,хӗрес,צלב
311,Linie::N,йӗр,קו
312,Strich::N,йӗр,קו קצר
313,Abstand::N,хушӑ,מרחק
314,Entfernung::N,хушӑ,מרחק
315,Gegend::N,вырӑн,נוף
316,Platz::N,хутлӑх,שטח
317,Ort::N,вырӑн,אתר
318,Ort::N,вырӑн,מקום
319,Seite::N,ен,צד
320,Seite::N,аяк,צד
321,Seite::N,айӑк,צד
322,Mitte::N,варӑ,אמצע
323,Gegenstand::N,япала,אוביקט
324,Sache::N,япала,דבר
325,Rand::N,вӗҫ,פרור
326,Rand::N,хӗрӗ,פרור
327,Rand::N,хӗрри,פרור
328,Kante::N,хайкача,קצה
329,Kante::N,хысак,קצה
330,Ecke::N,кӗтес,פנה
331,Spitze::N,вӗҫ,קצה
332,Ende::N,вӗҫ,סוף
333,Loch::N,шӑтӑк,חר
334,Winkel::N,кӗтес,פנה
335,Muster::N,эреш,תבנית
336,Größe::N,пысӑкӑш,גדל
337,Länge::N,вӑрӑмӑш,ארך
338,Höhe::N,ҫӳллӗш,קומה
339,Höhe::N,ҫӳллӗш,גבה
340,Gewicht::N,виҫе,משקל
341,Gewicht::N,йывӑрӑш,משקל
342,Menge::N,йыш,כמות
343,Haufen::N,купа,ערמה
344,Reihe::N,рет,רצף
345,Boot::N,кимӗ,סירה
346,Ruder::N,кӗсмен,משוט
347,Schlitten::N,ҫуна,מזחלת
348,Ski::N,йӗлтӗр,מגלשים
349,Lagerfeuer::N,вут,מדורה
350,Lagerfeuer::N,кӑвайт,מדורה
351,Last::N,сулмаклӑх,משא
352,Last::N,йывӑр япала,משא
353,Gang::N,куҫӑм,הליכה
354,Schritt::N,утӑм,צעד
355,Schritt::N,пусӑм,צעד
356,Norden::N,ҫурҫӗр,צפון
357,Süden::N,кӑнтӑр,דרום
358,Westen::N,анӑҫ,מערב
359,Westen::N,хӗвел анӑҫ,מערב
360,Osten::N,хӗвел тухӑҫ,מזרח
361,Holz::N,йывӑҫ,עץ
362,Brett::N,хӑма,קרש
363,Platte::N,плита,לוח
364,Stütze::N,ура,משען
365,Stange::N,шерте,מוט
366,Stock::N,патак,מקל
367,Stab::N,шӑчӑ,מוט
368,Rohr::N,пӑрӑх,צנור
369,Haus::N,ҫурт,בית
370,Heim::N,кил,בית
371,Ofen::N,кӑмака,תנור
372,Fußboden::N,урай,רצפה
373,Tisch::N,сӗтел,שלחן
374,Stuhl::N,пукан,כסא
375,Wiege::N,сӑпка,ערש
376,Bett::N,кравать,מטה
377,Regal::N,ҫӳлӗк,מדף
378,Regal::N,сентре,מדף
379,Kiste::N,ещӗк,תבה
380,Kiste::N,ещӗк,ארגז
381,Kiste::N,сунтӑх,תבה
382,Kiste::N,сунтӑх,ארגז
383,Fenster::N,чӳрече,חלון
384,Tür::N,алӑк,דלת
385,Tor::N,хапха,שער
386,Zaun::N,хӳме,גדר
387,Dach::N,тӑрӑ,גג
388,Leiter::N,пусма,סלם
389,Besen::N,шӑпӑр,מטאטא
390,Spaten::N,кӗреҫе,את
391,Schaufel::N,кӗреҫе,את
392,Gabel::N,вилка,מזלג
393,Löffel::N,кашӑк,כף
394,Messer::N,ҫӗҫӗ,סכין
395,Nagel::N,пӑта,מסמר
396,Netz::N,тетел,רשת
397,Haken::N,йӑрхах,וו
398,Haken::N,йӑрхах,קרס
399,Haken::N,ҫекӗл,וו
400,Haken::N,ҫекӗл,קרס
401,Griff::N,хӑлӑп,ידית
402,Schloss::N,ҫӑра,מנעול
403,Bild::N,сӑн,תמונה
404,Bild::N,сӑнлӑх,תמונה
405,Bild::N,картина,תמונה
406,Figur::N,кӗлетке,פסל
407,Puppe::N,пукане,בבה
408,Beutel::N,михӗ,שק
409,Bündel::N,ҫыхӑ,צרור
410,Bündel::N,тӗрке,צרור
411,Tasche::N,сумка,שקית
412,Eimer::N,витре,דלי
413,Deckel::N,хупӑ,מכסה
414,Geschirr::N,савӑт-сапа,כלים
415,Sack::N,михӗ,שק
416,Tasse::N,курка,ספל
417,Topf::N,кастрюль,סיר
418,Kessel::N,хуран,קנקן
419,Essen::N,апат,אכל
420,Essen::N,апат,ארוחה
421,Nahrung::N,апат-ҫимӗс,הזנה
422,Nahrung::N,апат-ҫимӗс,תזונה
423,Speise::N,апат,מאכל
424,Speise::N,апат,ארוחה
425,Speise::N,ҫимӗҫ,מאכל
426,Speise::N,ҫимӗҫ,ארוחה
427,Fleisch::N,аш,בשר
428,Fleisch::N,какай,בשר
429,Getreide::N,тырӑ,דגן
430,Brei::N,пӑтӑ,מחית
431,Brot::N,ҫӑкӑр,לחם
432,Scheibe::N,чӗлӗ,עגול
433,Scheibe::N,чӗлӗ,פרוסה
434,Scheibe::N,касӑк,עגול
435,Scheibe::N,касӑк,פרוסה
436,Fett::N,ҫу,שמן
437,Butter::N,ҫу,חמאה
438,Öl::N,ҫу,שמן
439,Salz::N,тӑвар,מלח
440,Suppe::N,яшка,מרק
441,Honig::N,пыл,דבש
442,Milch::N,сӗт,חלב
443,Tee::N,чей,תה
444,Leder::N,сӑран,עור
445,Wolle::N,ҫӑм,צמר
446,Stoff::N,тӗртӗм,בד
447,Stoff::N,тӗртӗм,אריג
448,Nadel::N,йӗп,מחט
449,Faden::N,ҫип,חוט
450,Knopf::N,тӳме,כפתור
451,Knoten::N,йӑлӑ,קשר
452,Farbe::N,сӑрӑ,צבע
453,Kleidung::N,тум,בגדים
454,Kleidung::N,ҫипуҫ,בגדים
455,Kleidung::N,тум-тир,בגדים
456,Hemd::N,кӗпе,חלצה
457,Kragen::N,ҫуха,צוארון
458,Ärmel::N,ҫанӑ,שרוול
459,Hose::N,шӑлавар,מכנסים
460,Gürtel::N,пиҫиххи,חגורה
461,Mütze::N,ҫӗлӗк,כובע
462,Schuh::N,пушмак,נעל
463,Schuh::N,ботинок,נעל
464,Stiefel::N,атӑ,מגף
465,Ring::N,ҫӗрӗ,טבעת
466,Band::N,хаю,סרט
467,Band::N,йӗсме,סרט
468,Kamm::N,тура,מסרק
469,Spiegel::N,тӗкӗр,מראה
470,Spiegel::N,куҫ кӗски,מראה
471,Riemen::N,чӗн,רצועה
472,Schnur::N,кантра,חבל
473,Leine::N,касмӑк,מושכות
474,Decke::N,утиял,שמיכה
475,Kissen::N,ҫытар,כרית
476,Kissen::N,минтер,כרית
477,Tuch::N,тутӑр,צעיף
478,Handtuch::N,ал шӑлли,מגבת
479,Kraft::N,вӑй,כוח
480,Kraft::N,хӑват,כוח
481,Stärke::N,хал,און
482,Stärke::N,хӑват,און
483,Gesundheit::N,хал,בריאות
484,Gesundheit::N,сывлӑх,בריאות
485,Krankheit::N,чир,מחלה
486,Schmerz::N,ырату,כאב
487,Wunde::N,суран,פציעה
488,Fieber::N,сив чир,חם
489,Arznei::N,эмел,תרופה
490,Brücke::N,кӗпер,גשר
491,Brunnen::N,ҫӑл,באר
492,Brunnen::N,пусӑ,באר
493,Weide::N,ҫаран,אחו
494,Weide::N,ҫаран,מרעה
495,Pfad::N,йӗр,שביל
496,Pfad::N,йӗр,מדרכה
497,Pfad::N,сукмак,שביל
498,Pfad::N,сукмак,מדרכה
499,Weg::N,ҫул,דרך
500,Weg::N,ҫул-йӗр,דרך
501,Straße::N,ҫӳрев,כביש
502,Straße::N,ҫул ҫӳрени,כביש
503,Dorf::N,ял,כפר
504,Stadt::N,хула,עיר
505,Brief::N,ҫыру,מכתב
506,Buch::N,кӗнеке,ספר
507,Buchstabe::N,сас палли,אות
508,Zeitung::N,хаҫат,עתון
509,Leben::N,пурнӑҫ,חיים
510,Tod::N,вилӗм,מות
511,Grab::N,масар шӑтӑкӗ,קבר
512,Kirche::N,чиркӳ,כנסיה
513,Sünde::N,ҫылӑх,חטא
514,Gott::N,турӑ,אל
515,Arbeiter::N,рабочи,פועל
516,Chef::N,пуҫлӑх,ראש
517,Chef::N,пуҫлӑх,מנהל
518,Meister::N,ӑста,ממחה
519,Meister::N,мастер,ממחה
520,Arzt::N,врач,רופא
521,Arzt::N,тухтӑр,רופא
522,Lehrer::N,учитель,מורה
523,Lehrer::N,вӗрентекен,מורה
524,Geld::N,укҫа,כסף
525,Geschäft::N,бизнес,עסקה
526,Laden::N,магазин,חנות
527,Preis::N,хак,מחיר
528,Ware::N,тавар,סחורה
529,Nutzen::N,пайта,תועלת
530,Reichtum::N,мул,עשר
531,Welt::N,тӗнче,עולם
532,Land::N,ҫӗр-шыв,ארץ
533,Staat::N,патшàлӑх,מדינה
534,König::N,король,מלך
535,Macht::N,власть,כוח
536,Grenze::N,чикӗ,גבול
537,Krieg::N,вӑрҫӑ,מלחמה
538,Feind::N,тӑшман,אויב
539,Gewalt::N,ирӗксӗрлӳ,אלימות
540,Kampf::N,кӗрешӳ,קרב
541,Kampf::N,кӗрешӳ,לחימה
542,Bogen[Waffe]::N,ухӑ,קשת
543,Pfeil::N,ҫӗмрен,חץ
544,Pfeil::N,ухӑ йӗппи,חץ
545,Gewehr::N,пӑшал,רובה
546,Fehler::N,йӑнӑш,טעות
547,Lüge::N,суя,שקר
548,Lüge::N,ултав,שקר
549,Schaden::N,сиен,נזק
550,Unglück::N,шар,מזל רע
551,Unglück::N,инкек,מזל רע
552,Schuld::N,айӑп,אשמה
553,Alter::N,ҫул шучӗ,גיל
554,Schluss::N,пӗтни,סיום
555,Schluss::N,пӗтмӗш,סיום
556,Zeit::N,вӑхӑт,זמן
557,Tag::N,кун,יום
558,Morgen::N,ир,בקר
559,Mittag::N,кӑнтӑрла,צהרים
560,Abend::N,каҫ,ערב
561,Nacht::N,каҫ,לילה
562,Woche::N,эрне,שבוע
563,Monat::N,уйӑх,חדש
564,Jahr::N,ҫулталӑк,שנה
565,Frühling::N,ҫур,אביב
566,Frühling::N,ҫуркунне,אביב
567,Sommer::N,ҫу,קיץ
568,Sommer::N,ҫулла,קיץ
569,Herbst::N,кӗр,סתו
570,Herbst::N,кӗркунне,סתו
571,Winter::N,хӗл,חרף
572,Winter::N,хӗлле,חרף
573,Januar::N,январь,ינואר
574,Februar::N,февраль,פברואר
575,Februar::N,кӗҫӗн кӑрлач,פברואר
576,März::N,март,מרץ
577,März::N,пуш уйӑхӗ,מרץ
578,April::N,апрель,אפריל
579,Mai::N,май,מאי
580,Juni::N,июнь,יוני
581,Juli::N,июль,יולי
582,August::N,август,אוגוסט
583,September::N,сентябрь,ספטמבר
584,September::N,авӑн уйӑхӗ,ספטמבר
585,Oktober::N,октябрь,אוקטובר
586,November::N,ноябрь,נובמבר
587,Dezember::N,раштав,דצמבר
588,Dezember::N,декабрь,דצמבר
589,Montag::N,тунти кун,יום שני
590,Dienstag::N,ытлари кун,יום שלישי
591,Mittwoch::N,юн кун,יום רביעי
592,Donnerstag::N,кӗҫнерни кун,יום חמישי
593,Freitag::N,эрне кун,יום ששי
594,Samstag::N,шӑмат кун,יום שבת
595,Sonntag::N,вырсарни кун,יום ראשון
596,groß::A,пысӑк,גדול
597,klein::A,пӗчӗк,קטן
598,lang::A,вӑрӑм,ארך
599,kurz::A,кӗске,קצר
600,breit::A,сарлака,רחב
601,schmal::A,ансӑр,צר
602,dicht::A,йӑвӑ,צפוף
603,dick[Gegenstand]::A,хулӑн,עבה
604,dünn::A,ҫинҫе,דק
605,dünn::A,ҫӳхе,דק
606,fein::A,тарай,מעדן
607,fein::A,вӗлтӗрти,מעדן
608,fest::A,тӗреклӗ,מוצק
609,flach::A,лаптак,שטוח
610,glatt::A,такӑр,חלק
611,hart::A,хытӑ,קשיח
612,weich::A,ҫемҫе,רך
613,rund::A,ҫавра,עגל
614,spitz::A,шӗвӗр,חד
615,scharf::A,ҫивӗч,חד
616,stumpf::A,мӑка,קהה
617,stumpf::A,пуклак,קהה
618,stumpf::A,тӗрӗнчӗк,קהה
619,stumpf::A,ӑнкарусӑр,קהה
620,schwer::A,йывӑр,כבד
621,schön::A,илемлӗ,יפה
622,heiß::A,вӗри,חם
623,warm::A,ӑшӑ,חם
624,kalt::A,сивӗ,קר
625,kühl::A,уҫӑ,צונן
626,frisch::A,уҫӑ,טרי
627,feucht::A,йӗпе,לח
628,nass::A,нӳрӗ,רטוב
629,trocken::A,типӗ,יבש
630,voll::A,тулли,מלא
631,leer::A,пушӑ,ריק
632,offen::A,уҫӑ,פתוח
633,geschlossen::A,хупӑ,סגור
634,sauber::A,таса,נקי
635,schmutzig::A,пылчӑклӑ,מלכלך
636,schmutzig::A,вараланчӑк,מלכלך
637,roh::A,чӗрӗ,חי
638,reif::A,пулнӑ,בשל
639,reif::A,пиҫӗхнӗ,בשל
640,reif::A,аталаннӑ,בשל
641,reif::A,пиҫсе ҫитнӗ,בשל
642,lecker::A,тутлӑ,טעים
643,lecker::A,техӗмлӗ,טעים
644,süß::A,пылак,מתוק
645,bitter::A,йӳҫӗ,מר
646,sauer::A,йӳҫӗ,חמוץ
647,sauer::A,йӳҫек,חמוץ
648,sauer::A,кӑвасак,חמוץ
649,hell::A,ҫутӑ,בהיר
650,dunkel::A,тӗттӗм,עמום
651,schwarz::A,хура,שחר
652,weiß::A,шурӑ,לבן
653,rot::A,хӗрлӗ,אדם
654,gelb::A,сарӑ,צהב
655,blau::A,кӑвак,כחל
656,grün::A,симӗс,ירק
657,grün::A,пиҫмен,ירק
658,grün::A,ӑс пухман,ירק
659,grau::A,кӑвак,אפר
660,bunt::A,чӑпар,צבעוני
661,billig::A,йӳнӗ,זול
662,teuer::A,хаклӑ,יקר
663,wertvoll::A,паха,יקר ערך
664,blind::A,суккӑр,עור
665,taub::A,хӑлхасӑр,חרש
666,kräftig::A,хӑватлӑ,חסן
667,stark::A,вирлӗ,חזק
668,schwach::A,халсӑр,חלש
669,fett::A,самӑр,שמן
670,fett::A,мӑнтӑр,שמן
671,schlank::A,йӑрӑс,רזה
672,schlank::A,яштака,רזה
673,hübsch::A,хитре,יפה תאר
674,böse::A,усал,רשע
675,dumm::A,ухмах,טפש
676,faul::A,наян,עצלן
677,faul::A,юлхав,עצלן
678,faul::A,ӳркенчӗк,עצלן
679,fleißig::A,хастар,חרוץ
680,geizig::A,хытӑ,קמצן
681,klug::A,ӑслӑ,נבון
682,klug::A,ӑслӑ,פקח
683,geschickt::A,ӑста,מימן
684,lieb::A,савнӑ,יקר
685,lieb::A,савнӑ,אהוב
686,lustig::A,хаваслӑ,עליז
687,sanft::A,ачаш,עדין
688,hungrig::A,выҫӑ,רעב
689,krank::A,чирлӗ,חולה
690,nackt::A,ҫара,ערום
691,traurig::A,салхуллӑ,עצוב
692,lebendig::A,чӗрӗ,חי
693,gut::A,аван,טוב
694,gut::A,лайӑх,טוב
695,schlecht::A,япӑх,גרוע
696,schlecht::A,начар,גרוע
697,richtig::A,тӗрӗс,נכון
698,schlimm::A,йӗрӗнчӗк,רע
699,wahr::A,чӑн,אמתי
700,alt::A,кивӗ,ישן
701,neu::A,ҫӗнӗ,חדש
702,ehemalig::A,пулнӑ,לשעבר
703,alt[Lebewesen]::A,ватӑ,זקן
704,jung::A,яш,צעיר
705,jung::A,ҫамрӑк,צעיר
706,arm::A,чухӑн,עני
707,reich::A,пуян,עשיר
708,bekannt::A,пӗлӗш,ידוע
709,berühmt::A,чаплӑ,מפרסם
710,fremd::A,ют,זר
711,verschieden::A,расна,שונה
712,nah::A,ҫывӑх,קרוב
713,nah::A,ҫывӑхри,קרוב
714,fern::A,инҫе,רחוק
715,fern::A,аякри,רחוק
716,linker::A,сулахай,שמאלי
717,rechter::A,сылтӑм,ימין
718,anderer::A,урӑх,אחר
719,erster::A,пӗрремӗш,ראשון
720,zweiter::A,иккӗмӗш,שני
721,dritter::A,виҫҫӗмӗш,שלישי
