,Concept_ID,az,ba
280,Lied::N,mahnı,йыр
281,Ruhe::N,sakitlik,ял
282,Ruhe::N,sakitlik,тыныслыҡ
283,Leute::N,xalq,кешеләр
284,Volk::N,millət,халҡ
285,Arbeit::N,iş,эш
286,Arbeit::N,əmək,эш
287,Gast::N,qonaq,ҡунаҡ
288,Gast::N,müsafir,ҡунаҡ
289,Geschenk::N,hədiyyə,бүләк
290,Spiel::N,oyun,уйын
291,Spiel::N,tamaşa,уйын
292,Gesellschaft::N,cəmiyyet,йәмғиәт
293,Hilfe::N,kömək,ярҙам
294,Hilfe::N,yardım,ярҙам
295,Freund::N,dost,дуҫ
296,Kamerad::N,yoldaş,иптәш
297,Angelegenheit::N,iş,әш
298,Anzahl::N,say,һан
299,Art::N,çeşid,төр
300,Stück::N,dənə,киҫәк
301,Stück::N,parça,киҫәк
302,Teil::N,qisim,өлөш
303,Hälfte::N,yarım,ярты
304,Kreis::N,dairə,түңәрәк
305,Kreuz::N,xaç,тәре
306,Linie::N,xətt,һыҙыҡ
307,Strich::N,cızıq,һыҙат
308,Abstand::N,məsafə,ара
309,Entfernung::N,məsafə,алыҫлыҡ
310,Entfernung::N,uzaqlıq,алыҫлыҡ
311,Gegend::N,bölgə,урын
312,Platz::N,yer,арауыҡ
313,Ort::N,yer,ерҙәр
314,Ort::N,yer,урындар
315,Ort::N,yer,эш урыны
316,Seite::N,yan,яҡ
317,Seite::N,tərəf,яҡ
318,Mitte::N,orta,урталыҡ
319,Gegenstand::N,şey,нәмә
320,Sache::N,şey,нәмә
321,Sache::N,şey,әйбер
322,Rand::N,kənar,сит
323,Kante::N,tiyə,ҡабырға
324,Kante::N,tiyə,ян
325,Kante::N,kənar,ҡабырға
326,Kante::N,kənar,ян
327,Ecke::N,bucaq,мөйөш
328,Spitze::N,uc,ос
329,Ende::N,son,аҙаҡ
330,Ende::N,axır,аҙаҡ
331,Loch::N,deşik,тишек
332,Winkel::N,guşə,мөйөш
333,Muster::N,ülgü,биҙәк
334,Größe::N,böyüklük,ҙурлыҡ
335,Länge::N,uzunluq,оҙонлоҡ
336,Höhe::N,yüksəklik,бейеклек
337,Gewicht::N,çəki,үлсәү
338,Gewicht::N,ağırlıq,үлсәү
339,Menge::N,miqdar,һан
340,Haufen::N,yığın,өйөм
341,Reihe::N,səf,рәт
342,Reihe::N,sıra,рәт
343,Boot::N,qayıq,кәмә
344,Ruder::N,kürək,ишкәк
345,Schlitten::N,kirşə,сана
346,Ski::N,xizək,саңгы
347,Lagerfeuer::N,düşərgə tonqalı,костер
348,Last::N,yük,ауырлыҡ
349,Gang::N,yeriş,барыу
350,Schritt::N,addım,аҙым
351,Norden::N,şimal,төньяҡ
352,Süden::N,cənub,көньяҡ
353,Westen::N,qərb,көнбайыш
354,Osten::N,şərq,көнсығыш
355,Holz::N,ağac,үағас
356,Holz::N,taxta,үағас
357,Brett::N,taxta,таҡта
358,Platte::N,lövhə,плита
359,Stütze::N,dayaq,терәк
360,Stütze::N,dəstək,терәк
361,Stange::N,şüvül,кәртә
362,Stock::N,dəyənək,таяҡ
363,Stab::N,əsa,ҡолға
364,Stab::N,şüvül,ҡолға
365,Rohr::N,boru,торба
366,Rohr::N,truba,торба
367,Haus::N,ev,өй
368,Haus::N,ev,йорт
369,Heim::N,ev,өй
370,Ofen::N,peç,мейес
371,Ofen::N,soba,мейес
372,Fußboden::N,döşəmə,енес
373,Tisch::N,masa,өҫтәл
374,Stuhl::N,stul,ултырғыс
375,Wiege::N,beşik,бишек
376,Bett::N,yataq,карауат
377,Regal::N,rəf,кәштә
378,Kiste::N,yeşik,йәшинк
379,Kiste::N,sandıq,йәшинк
380,Fenster::N,pəncərə,тәҙрә
381,Tür::N,qapı,ишек
382,Tor::N,darvaza,ҡапҡа
383,Zaun::N,çəpər,ҡойма
384,Dach::N,dam,түбә
385,Dach::N,dam,ҡыйыҡ
386,Leiter::N,nərdivan,баҫҡыс
387,Besen::N,süpürgə,һепертке
388,Spaten::N,kürək,көрәк
389,Schaufel::N,kürək,көрәк
390,Gabel::N,çəngəl,сәнске
391,Löffel::N,qaşıq,ҡалаҡ
392,Messer::N,bıçaq,бысаҡ
393,Nagel::N,mıx,сөй
394,Netz::N,tor,ау
395,Haken::N,çəngəl,ыргаҡ
396,Griff::N,qulp,тотҡа
397,Griff::N,tutacaq,тотҡа
398,Schloss::N,qıfıl,йоҙаҡ
399,Bild::N,rəsm,картина
400,Figur::N,şəkil,һын
401,Figur::N,heykəl,һын
402,Puppe::N,kukla,ҡурсаҡ
403,Puppe::N,gəlincik,ҡурсаҡ
404,Beutel::N,kisə,тоҡ
405,Beutel::N,torba,тоҡ
406,Bündel::N,bağlama,төргәк
407,Tasche::N,çanta,сумка
408,Eimer::N,vedrə,биҙрә
409,Eimer::N,çəllək,биҙрә
410,Deckel::N,qapaq,ҡапҡас
