,Concept_ID,ar,bn
408,Faden::N,خيط,সূত্র
409,Knopf::N,زر,বোতাম
410,Knoten::N,عقدة,গিঁট
411,Farbe::N,صبغة,রং
412,Kleidung::N,ملابس,কাপড়
413,Hemd::N,قميص,শার্ট
414,Kragen::N,ياقة,গলবন্ধ
415,Ärmel::N,كم,আস্তিন্
416,Hose::N,سروال,ট্রাউজার
417,Hose::N,بنطلون,ট্রাউজার
418,Gürtel::N,حزام,কটিবন্ধ
419,Mütze::N,طاقية,টুপি
420,Schuh::N,حذاء,জুতো
421,Stiefel::N,جزمة,বুট
422,Stiefel::N,حذاء طويل,বুট
423,Ring::N,حلقة,আংটি
424,Band::N,شريط,ফিতা
425,Kamm::N,مشط,চিরুনি
426,Spiegel::N,مرآة,আয়না
427,Riemen::N,سير,চাবুক
428,Schnur::N,حبل,দড়ি
429,Schnur::N,دوبارة,দড়ি
430,Leine::N,قيد,শিকল
431,Decke::N,بطانية,কম্বল
432,Kissen::N,وسادة,উপাধান
433,Tuch::N,منديل,বস্ত্র
434,Handtuch::N,فوطة,তোয়ালে
435,Handtuch::N,منشفة,তোয়ালে
436,Kraft::N,قدرة,জোর
437,Stärke::N,قوة,শক্তি
438,Gesundheit::N,صحة,স্বাস্থ্য
439,Krankheit::N,مرض,অসুখ
440,Krankheit::N,مرض,ব্যামো
441,Schmerz::N,ألم,যন্ত্রণা
442,Schmerz::N,وجع,যন্ত্রণা
443,Wunde::N,جرح,ক্ষত
444,Fieber::N,حمى,জ্বর
445,Arznei::N,دواء,ঔষধ
446,Brücke::N,جسر,সেতু
447,Brunnen::N,بئر,কূপ
448,Weide::N,مرعى,পশুচারণভূমি
449,Pfad::N,درب,পথ
450,Weg::N,سكة,পথ
451,Straße::N,طريق,রাস্তা
452,Dorf::N,قرية,গ্রাম
453,Stadt::N,مدينة,শহর
454,Brief::N,خطاب,চিঠি
455,Brief::N,مكتوب,চিঠি
456,Buch::N,كتاب,বই
457,Buchstabe::N,حرف,অক্ষর
458,Zeitung::N,جريدة,সংবাদপত্র
459,Leben::N,عيش,জীবন
460,Leben::N,حياة,জীবন
461,Tod::N,موت,মৃত্যু
462,Tod::N,وفاة,মৃত্যু
463,Grab::N,قبر,কবর
464,Kirche::N,كنيسة,গির্জা
465,Sünde::N,خطيئة,পাপ
466,Gott::N,إله,দেবতা
467,Arbeiter::N,عامل,শ্রমিক
468,Chef::N,رئيس,নেতা
469,Meister::N,أسطى,ব্যক্তি
470,Arzt::N,طبيب,চিকিৎসক
471,Lehrer::N,مدرس,অধ্যাপক
472,Geld::N,نقود,মুদ্রা
473,Geld::N,نقود,টাকাপয়সা
474,Geschäft::N,صفقة,ব্যস্ততা
475,Laden::N,دكان,দোকান
476,Preis::N,سعر,মূল্য
477,Ware::N,بضاعة,পণ্যদ্রব্য
478,Nutzen::N,فائدة,সুবিধা
479,Reichtum::N,غنى,ধনদৌলত
480,Reichtum::N,ثروة,ধনদৌলত
481,Welt::N,عالم,জগৎ
482,Welt::N,دنيا,জগৎ
483,Land::N,بلد,খেত
484,Staat::N,دولة,রাষ্ট্র
485,König::N,ملك,রাজা
486,Macht::N,سلطة,প্রভাব
487,Grenze::N,حدود,সীমা
488,Krieg::N,حرب,যুদ্ধ
489,Feind::N,عدو,শত্রু
490,Gewalt::N,عنف,জোর
491,Kampf::N,قتال,লড়াই
492,Bogen[Waffe]::N,قوس,ধনুক
493,Pfeil::N,سهم,বাণ
494,Gewehr::N,بندقية,বন্দুক
495,Fehler::N,خطأ,ভুল
496,Lüge::N,كذب,মিথ্যা
497,Schaden::N,تلف,ক্ষতি
498,Unglück::N,نحس,দুর্ভাগ্য
499,Schuld::N,ذنب,অপরাধ
500,Alter::N,سن,আয়ু
501,Alter::N,عمر,আয়ু
502,Schluss::N,ختام,শেষ
503,Schluss::N,نهاية,শেষ
504,Zeit::N,وقت,সময়
505,Tag::N,يوم,দিন
506,Morgen::N,صباح,সকাল
507,Mittag::N,ظهر,মধ্যাহু
508,Abend::N,مساء,সন্ধ্যা
509,Nacht::N,ليلة,রাত্রি
510,Woche::N,أسبوع,সপ্তাহ
511,Monat::N,شهر,মাস
512,Jahr::N,عام,সৌরবর্ষ
513,Jahr::N,سنة,সৌরবর্ষ
514,Frühling::N,ربيع,বসন্তকাল
515,Sommer::N,صيف,গ্রীষ্মকাল
516,Herbst::N,خريف,শরংঋতু
517,Winter::N,شتاء,শীতকাল
518,Januar::N,يناير,জানুয়ারী
519,Januar::N,كانون الثاني,জানুয়ারী
520,Februar::N,شباط,ফেব্রুয়ারী
521,Februar::N,فبراير,ফেব্রুয়ারী
522,März::N,آذار,মার্চ
523,März::N,مارس,মার্চ
524,April::N,نيسان,এপ্রিল
525,Mai::N,مايو,মে
526,Juni::N,يونيو,জুন
527,Juni::N,حزيران,জুন
528,Juli::N,تموز,জুলাই
529,Juli::N,يوليو,জুলাই
530,August::N,آب,অগাস্ট
531,August::N,أغسطس,অগাস্ট
532,September::N,أيلول,সেপ্টেম্বর
