,Concept_ID,tr,kv
209,Saat::N,ekin,кӧдзыс
210,Korn::N,tane,сю
211,Heu::N,kuru ot,турун
212,Schale::N,kabuk,кыш
213,Schale::N,kabuk,киль
214,Grube::N,çukur,яма
215,Falle::N,tuzak,нальк
216,Falle::N,tuzak,кляпча
217,Schlinge::N,ilmik,лӧч
218,Spur::N,iz,туй
219,Asche::N,kül,пӧим
220,Dreck::N,pislik,нять
221,Eisen::N,demir,кӧрт
222,Gold::N,altın,зарни
223,Silber::N,gümüş,язісь
224,Kohle::N,kömür,шом
225,Kohle::N,kömür,уголь
226,Glas::N,cam,стекло
227,Lehm::N,balçık,сёй
228,Sand::N,kum,лыа
229,Mensch::N,insan,морт
230,Mann::N,adam,мужик
231,Mann::N,erkek,мужик
232,Frau::N,bayan,инька
233,Kind::N,çocuk,кага
234,Junge::N,erkek çocuk,зонка
235,Mädchen::N,kız,нывкаок
236,Familie::N,aile,семья
237,Großvater::N,dede,дед
238,Großvater::N,büyükbaba,дед
239,Großmutter::N,nine,баб
240,Großmutter::N,büyükanne,баб
241,Eltern::N,ebeveyn,ай-мам
242,Eltern::N,ana baba,ай-мам
243,Vater::N,ata,ай
244,Vater::N,baba,ай
245,Mutter::N,ana,мам
246,Mutter::N,anne,мам
247,Sohn::N,oğul,зон
248,Tochter::N,kız,ныв
249,Tochter::N,kız evlât,ныв
250,Bruder::N,abi,вон
251,Bruder::N,erkek kardeş,вон
252,Schwester::N,abla,сой
253,Schwester::N,kız kardeş,сой
254,Onkel::N,dayı,дядь
255,Tante::N,hala,айӧлӧн сой
256,Tante::N,hala,ичинь
257,Tante::N,teyze,айӧлӧн сой
258,Tante::N,teyze,ичинь
259,Ehemann::N,koca,жӧник
260,Ehefrau::N,karı,инь
261,Freude::N,neşe,гаж
262,Freude::N,neşe,радъялӧм
263,Freude::N,sevinç,гаж
264,Freude::N,sevinç,радъялӧм
265,Gelächter::N,gülme,сералӧм
266,Gelächter::N,kahkaha,сералӧм
267,Glück::N,mutluluk,мичлун
268,Kummer::N,dert,шог
269,Kummer::N,keder,шог
270,Wunsch::N,arzu,мӧдӧм
271,Wunsch::N,arzu,охотитӧм
272,Wunsch::N,istek,мӧдӧм
273,Wunsch::N,istek,охотитӧм
274,Lust::N,arzu,охота
275,Lust::N,heves,охота
276,Geist::N,tin,лов
277,Gedanke::N,fikir,дума
278,Gedanke::N,düşünce,дума
279,Gedächtnis::N,bellek,тӧдвыв
280,Verstand::N,zekâ,вежӧр
281,Sinn::N,anlam,ылӧс
282,Grund::N,sebep,мог
283,Wahrheit::N,doğruluk,правда
284,Wahrheit::N,gerçeklik,правда
285,Gespräch::N,görüşme,сёрни
286,Märchen::N,masal,сказка
287,Erzählung::N,öykü,висьт
288,Erzählung::N,hikâye,висьт
289,Nachricht::N,haber,юӧр
290,Nachricht::N,haber,висьталӧм
291,Neuigkeit::N,haber,новость
292,Name::N,ad,ним
293,Name::N,isim,ним
294,Rätsel::N,bilmece,загадка
295,Rede::N,söylev,сёрни
296,Rede::N,konuşma,сёрни
297,Sprache::N,dil,кыв
298,Sprache::N,lisan,кыв
299,Stimme::N,ses,голос
300,Wort::N,kelime,кыв
301,Zeichen::N,işaret,пас
302,Ruf::N,çağırma,чуксӧм
303,Ruf::N,çağırma,чукӧстӧм
304,Lärm::N,şamata,шум
305,Lärm::N,gürültü,шум
306,Laut::N,ses,шы
307,Ton::N,ses,гор
308,Lied::N,türkü,сьыланкыв
309,Ruhe::N,sakinlik,спокой
310,Leute::N,halk,йӧз
311,Leute::N,insanlar,йӧз
312,Volk::N,ulus,йӧз
313,Volk::N,ulus,народ
314,Volk::N,millet,йӧз
315,Volk::N,millet,народ
316,Arbeit::N,iş,удж
317,Arbeit::N,çalışma,удж
318,Gast::N,konuk,гӧсь
319,Gast::N,misafir,гӧсь
320,Geschenk::N,hediye,гӧснеч
321,Geschenk::N,hediye,подарок
322,Geschenk::N,armağan,гӧснеч
323,Geschenk::N,armağan,подарок
324,Spiel::N,oyun,орсӧм
325,Gesellschaft::N,çevre,компания
326,Gesellschaft::N,arkadaşlık,компания
327,Hilfe::N,yardım,отсӧт
328,Freund::N,dost,модз
329,Freund::N,dost,дружок
330,Freund::N,arkadaş,модз
331,Freund::N,arkadaş,дружок
332,Kamerad::N,arkadaş,тӧдса
333,Angelegenheit::N,iş,дело
334,Angelegenheit::N,husus,дело
335,Anzahl::N,sayı,лыд
336,Art::N,çeşit,пӧлӧс
337,Stück::N,tane,тор
338,Stück::N,parça,тор
339,Teil::N,kısım,юкӧм
340,Hälfte::N,yarı,джын
341,Kreis::N,daire,круг
342,Kreuz::N,haç,перна
343,Linie::N,hat,визь
344,Linie::N,çizgi,визь
345,Strich::N,çizgi,кырӧв
346,Abstand::N,aralık,колас
347,Entfernung::N,mesafe,ылына
348,Entfernung::N,uzaklık,ылына
349,Gegend::N,yöre,места
350,Platz::N,yer,места
351,Ort::N,yer,места
352,Seite::N,yan,ладор
353,Seite::N,taraf,ладор
354,Mitte::N,orta,шӧр
355,Mitte::N,merkez,шӧр
356,Gegenstand::N,şey,тор
357,Sache::N,iş,тор
358,Sache::N,şey,тор
359,Rand::N,kenar,дор
360,Kante::N,kenar,ордлы
361,Ecke::N,köşe,пельӧс
362,Spitze::N,uç,йыв
363,Spitze::N,baş,йыв
364,Ende::N,uç,йыв
365,Loch::N,oyuk,осьта
366,Loch::N,delik,осьта
367,Winkel::N,köşe,пельӧс
368,Muster::N,örnek,сер
369,Größe::N,büyüklük,ыжда
370,Länge::N,uzunluk,кузя
371,Höhe::N,yükseklik,сувда
372,Höhe::N,yükseklik,вылына
373,Gewicht::N,ağırlık,сьӧкта
374,Menge::N,miktar,
375,Haufen::N,küme,куча
376,Haufen::N,yığın,куча
377,Reihe::N,sıra,лёдз
378,Boot::N,kayık,пыж
379,Boot::N,sandal,пыж
380,Ruder::N,kürek,пелыс
381,Schlitten::N,kızak,додь
382,Ski::N,kayak,лямпа
383,Lagerfeuer::N,kamp ateşi,бипур
384,Last::N,yük,тягота
385,Gang::N,gidiş,мунӧм
386,Gang::N,yürüyüş,мунӧм
387,Schritt::N,adım,вожмӧв
388,Norden::N,kuzey,ой
389,Süden::N,güney,лун
390,Westen::N,batı,рытвыв
391,Osten::N,doğu,асыв
392,Holz::N,ağaç,пу
393,Holz::N,tahta,пу
394,Brett::N,tahta,пӧв
395,Platte::N,levha,плита
396,Stütze::N,dayak,пика
397,Stütze::N,destek,пика
398,Stange::N,çubuk,зор
399,Stange::N,çubuk,потш
400,Stock::N,sopa,бедь
401,Stock::N,değnek,бедь
402,Stab::N,sırık,шест
403,Stab::N,baston,шест
404,Rohr::N,boru,труба
405,Haus::N,ev,керку
406,Heim::N,ev,керку
407,Heim::N,yurt,керку
408,Ofen::N,soba,пӧжавны
409,Fußboden::N,taban,джодж
410,Fußboden::N,döşeme,джодж
411,Tisch::N,masa,пызан
412,Stuhl::N,iskemle,стул
413,Stuhl::N,sandalye,стул
414,Wiege::N,beşik,зыбка
415,Bett::N,yatak,кровать
416,Regal::N,raf,джадж
417,Kiste::N,sandık,ящик
418,Fenster::N,pencere,ӧшын
419,Tür::N,kapı,ыбӧс
420,Tor::N,kapı,ворота
421,Zaun::N,çit,забор
422,Dach::N,dam,крыша
423,Dach::N,çatı,крыша
424,Leiter::N,merdiven,лиснич
425,Besen::N,süpürge,рос
426,Spaten::N,bel,зыр
427,Schaufel::N,kürek,зыр
428,Gabel::N,çatal,вила
429,Löffel::N,kaşık,пань
430,Messer::N,bıçak,пурт
431,Nagel::N,çivi,кӧрттув
432,Netz::N,ağ,кыйӧт
433,Haken::N,çengel,ем
434,Griff::N,kulp,пу
435,Griff::N,tutamak,пу
436,Schloss::N,kilit,замок
437,Bild::N,imaj,картина
438,Bild::N,resim,картина
439,Figur::N,şekil,мыгӧр
440,Figur::N,heykel,мыгӧр
441,Puppe::N,kukla,акань
442,Beutel::N,kese,мешӧк
443,Beutel::N,torba,мешӧк
444,Bündel::N,deste,нин
445,Tasche::N,çanta,сумка
446,Eimer::N,kova,ведра
447,Deckel::N,kapak,вевт
448,Geschirr::N,kap kacak,доз
449,Geschirr::N,kap kacak,бекӧрпань
450,Sack::N,torba,мешӧк
451,Tasse::N,fincan,бекӧр
452,Topf::N,tencere,кастрюля
453,Kessel::N,kazan,пӧрт
454,Essen::N,yemek,сёйӧм
455,Nahrung::N,gıda,вердан
456,Nahrung::N,besin,вердан
457,Speise::N,yemek,сёян
458,Fleisch::N,et,яй
459,Getreide::N,tahıl,сю
460,Getreide::N,hububat,сю
461,Brei::N,ezme,каша
462,Brot::N,ekmek,нянь
463,Scheibe::N,dilim,шӧрӧм
464,Fett::N,yağ,гос
465,Butter::N,tereyağı,ви
466,Öl::N,yağ,ви
467,Öl::N,akar yağ,ви
468,Salz::N,tuz,сов
469,Suppe::N,çorba,шыд
470,Honig::N,bal,ма
471,Milch::N,süt,йӧв
472,Tee::N,çay,чай
473,Leder::N,deri,кучик
474,Leder::N,meşin,кучик
475,Wolle::N,yün,гӧн
476,Stoff::N,kumaş,дӧра
477,Nadel::N,iğne,ем
478,Faden::N,tire,сунис
479,Faden::N,iplik,сунис
480,Knopf::N,düğme,кизь
481,Knoten::N,düğüm,узӧв
482,Knoten::N,düğüm,гӧрӧд
483,Farbe::N,boya,краска
484,Kleidung::N,giyim,паськӧм
485,Hemd::N,gömlek,йӧрнӧс
486,Kragen::N,yaka,воротник
487,Ärmel::N,yen,сос
488,Ärmel::N,elbise kolu,сос
489,Hose::N,pantolon,вешьян
490,Gürtel::N,kuşak,йи
491,Mütze::N,bere,шапка
492,Mütze::N,kasket,шапка
493,Schuh::N,kundura,ботинки
494,Schuh::N,ayakkabı,ботинки
495,Stiefel::N,çizme,сапог
496,Ring::N,yüzük,чунькытш
497,Band::N,bağ,ленточка
498,Band::N,şerit,ленточка
499,Kamm::N,tarak,сынан
500,Spiegel::N,ayna,зеркало
501,Riemen::N,kayış,ремень
502,Schnur::N,ip,гез
503,Schnur::N,sicim,гез
504,Leine::N,kayış,повод
505,Decke::N,örtü,одеяло
506,Decke::N,yorgan,одеяло
507,Kissen::N,yastık,подушка
508,Tuch::N,bez,чышьян
509,Handtuch::N,havlu,чышкӧт
510,Kraft::N,güç,прак
511,Kraft::N,kuvvet,прак
512,Stärke::N,kuvvet,вын
513,Gesundheit::N,sağlık,здоровье
514,Krankheit::N,hastalık,шог
515,Schmerz::N,ağrı,зубыт
516,Schmerz::N,sancı,зубыт
517,Wunde::N,yara,рана
518,Fieber::N,ateş,лёк тресся
519,Fieber::N,ateş,кынтан шогӧт
520,Arznei::N,ilâç,лекарство
521,Brücke::N,köprü,пос
522,Brunnen::N,kuyu,колодец 
523,Brunnen::N,çeşme,колодец 
524,Weide::N,otlak,пода йирсян
525,Pfad::N,patika,туй
526,Pfad::N,keçiyolu,туй
527,Weg::N,yol,туй
528,Straße::N,yol,туй
529,Straße::N,cadde,туй
530,Dorf::N,köy,деревня
531,Stadt::N,kent,город
532,Stadt::N,şehir,город
533,Brief::N,mektup,гижӧт
534,Buch::N,kitap,книга
535,Buchstabe::N,harf,буква
536,Zeitung::N,gazete,газета
537,Leben::N,hayat,олан
538,Tod::N,ölüm,кулӧм
539,Grab::N,kabir,гу
540,Kirche::N,kilise,вичку
541,Sünde::N,günah,грек
542,Gott::N,tanrı,ен
543,Arbeiter::N,işçi,уджалiсь
544,Chef::N,şef,начальник
545,Chef::N,müdür,начальник
546,Meister::N,usta,мастер
547,Arzt::N,hekim,врач
548,Arzt::N,doktor,врач
549,Lehrer::N,hoca,велӧтісь
550,Lehrer::N,öğretmen,велӧтісь
551,Geld::N,para,деньга
552,Geschäft::N,ticaret,удж
553,Laden::N,dükkân,магазин
554,Preis::N,fiyat,дон
555,Ware::N,mal,товар
556,Nutzen::N,fayda,путь
557,Reichtum::N,servet,богатство
558,Reichtum::N,zenginlik,богатство
559,Welt::N,dünya,му
560,Land::N,ülke,страна
561,Staat::N,devlet,государство
562,König::N,kral,кан
563,Macht::N,kudret,власть
564,Macht::N,iktidar,власть
565,Grenze::N,had,граница
566,Grenze::N,sınır,граница
567,Krieg::N,savaş,война
568,Feind::N,düşman,враг
569,Gewalt::N,zor,
570,Gewalt::N,cebir,
571,Kampf::N,savaş,нярасьӧм
572,Kampf::N,savaş,вермасьӧм
573,Bogen[Waffe]::N,yay,лук
574,Pfeil::N,ok,ньӧв
575,Gewehr::N,tüfek,ружьё
576,Fehler::N,hata,ошибка
577,Fehler::N,yanlış,ошибка
578,Lüge::N,yalan,ылӧтӧм
579,Lüge::N,yalan,пӧрьялӧм
580,Schaden::N,zarar,лёк
581,Unglück::N,felâket,пик
582,Unglück::N,felâket,оказзё
583,Unglück::N,talihsizlik,пик
584,Unglück::N,talihsizlik,оказзё
585,Schuld::N,suç,вина
586,Schuld::N,kabahat,вина
587,Alter::N,yaş,
588,Schluss::N,son,ком
589,Zeit::N,zaman,кад
590,Tag::N,gün,лун
591,Morgen::N,sabah,асыв
592,Mittag::N,öğle,луншӧр кад
593,Abend::N,akşam,рыт
594,Nacht::N,gece,ой
595,Woche::N,hafta,неделя
596,Monat::N,ay,тӧлicь
597,Jahr::N,yıl,год
598,Jahr::N,sene,год
599,Frühling::N,ilkbahar,тулыс
600,Sommer::N,yaz,гожум
601,Herbst::N,güz,ар
602,Herbst::N,sonbahar,ар
603,Winter::N,kış,тӧв
604,Januar::N,ocak,январ
605,Februar::N,şubat,февраль
606,März::N,mart,март
607,April::N,nisan,апрель
608,Mai::N,mayıs,май
609,Juni::N,haziran,юнь
610,Juli::N,temmuz,юль
611,August::N,ağustos,август
612,September::N,eylül,сентяб
613,Oktober::N,ekim,октяб
614,November::N,kasım,нояб
615,Dezember::N,aralık,декаб
616,Montag::N,pazartesi,вильлун
617,Dienstag::N,salı,мӧдӧдзлун
618,Mittwoch::N,çarşamba,шӧрлун
619,Donnerstag::N,perşembe,нёльӧдзлун
620,Freitag::N,cuma,витӧдзлун
621,Samstag::N,cumartesi,пывсянлун
622,Sonntag::N,pazar,кресення
623,groß::A,büyük,ыджыт
624,klein::A,ufak,учӧтик
625,klein::A,küçük,учӧтик
626,lang::A,uzun,кузь
627,kurz::A,kısa,дженыт
628,breit::A,enli,ота
629,breit::A,geniş,ота
630,schmal::A,dar,векнит
631,dicht::A,sık,тшӧк
632,dicht::A,yoğun,тшӧк
633,dick[Gegenstand]::A,kalın,кыз
634,dick[Gegenstand]::A,iri,кыз
635,dünn::A,ince,вӧснит
636,fein::A,ince,вӧснит
637,fein::A,narin,вӧснит
638,fest::A,sabit,крепыт
639,fest::A,sağlam,крепыт
640,flach::A,düz,лапкӧса
641,flach::A,yassı,лапкӧса
642,glatt::A,düz,волькыт
643,hart::A,katı,чӧрыт
644,weich::A,yumuşak,небыт
645,rund::A,yuvarlak,гӧгрӧса
646,spitz::A,sivri,ёся
647,scharf::A,keskin,лэчыт
648,stumpf::A,kör,ныж
649,schwer::A,ağır,сьӧкыт
650,schön::A,güzel,басӧк
651,heiß::A,kızgın,жар
652,warm::A,sıcak,шоныт
653,kalt::A,soğuk,кӧдзыт
654,kühl::A,serin,сайкыт
655,frisch::A,taze,виль
656,feucht::A,nemli,вакодь
657,feucht::A,rutubetli,вакодь
658,nass::A,yaş,ва
659,nass::A,ıslak,ва
660,trocken::A,kuru,кӧс
661,voll::A,dolu,тыра
662,voll::A,dolmuş,тыра
663,leer::A,boş,тыртӧм
664,offen::A,açık,оссьӧм
665,geschlossen::A,kapalı,игана
666,geschlossen::A,kapalı,пӧдана
667,sauber::A,pak,сӧдз
668,sauber::A,pak,сӧстӧм
669,sauber::A,temiz,сӧдз
670,sauber::A,temiz,сӧстӧм
671,schmutzig::A,pis,нятьӧсь
672,schmutzig::A,kirli,нятьӧсь
673,roh::A,çiğ,путӧм
674,reif::A,olgun,кисьмалӧм
675,lecker::A,lezzetli,кӧра 
676,süß::A,tatlı,чӧскыт
677,süß::A,şekerli,чӧскыт
678,bitter::A,acı,курыт
679,sauer::A,ekşi,шӧма 
680,hell::A,aydınlık,югыт
681,dunkel::A,karanlık,пемыт
682,schwarz::A,kara,сьӧд
683,schwarz::A,siyah,сьӧд
684,weiß::A,ak,чочком
685,weiß::A,beyaz,чочком
686,rot::A,kırmızı,гӧрд
687,gelb::A,sarı,веж
688,blau::A,mavi,лӧз
689,grün::A,yeşil,веж
690,grau::A,boz,руд
691,grau::A,boz,бусӧй
692,bunt::A,renkli,быдрӧма
693,billig::A,ucuz,донтӧм
694,teuer::A,pahalı,дона
695,wertvoll::A,değerli,дона
696,blind::A,kör,синтӧм
697,taub::A,sağır,пельтӧм
698,kräftig::A,dinç,вына
699,kräftig::A,kuvvetli,вына
700,stark::A,güçlü,вына
701,stark::A,kuvvetli,вына
702,schwach::A,zayıf,некодя
703,schwach::A,güçsüz,некодя
704,fett::A,şişman,госа
705,schlank::A,narin,статя
706,hübsch::A,güzel,басӧк
707,hübsch::A,sevimli,басӧк
708,böse::A,kötü,лёк
709,dumm::A,aptal,бӧбӧв
710,dumm::A,aptal,вежӧртӧм
711,faul::A,tembel,дыш
712,fleißig::A,çalışkan,уджалicь
713,geizig::A,cimri,жикмӧра
714,geizig::A,cimri,горшаліcь
715,klug::A,zekî,авья
716,klug::A,zekî,вежӧра
717,klug::A,akıllı,авья
718,klug::A,akıllı,вежӧра
719,geschickt::A,becerikli,кипода
720,lieb::A,sevimli,муса
721,lieb::A,sevimli,дзулиньӧй
722,lustig::A,neşeli,гажа
723,sanft::A,nazik,лебезнӧй
724,hungrig::A,aç,тшыг
725,krank::A,hasta,шогалiсь
726,krank::A,rahatsız,шогалiсь
727,nackt::A,çıplak,куш
728,traurig::A,kederli,жугыль
729,traurig::A,üzüntülü,жугыль
730,lebendig::A,canlı,ловья
731,gut::A,iyi,бур
732,schlecht::A,kötü,умӧль
733,richtig::A,doğru,
734,schlimm::A,kötü,нештӧм
735,wahr::A,doğru,
736,wahr::A,gerçek,
737,alt::A,eski,важ
738,neu::A,yeni,виль
739,ehemalig::A,önceki,вӧвлӧм
740,alt[Lebewesen]::A,yaşlı,года
741,alt[Lebewesen]::A,yaşlı,годдэза
742,jung::A,genç,том
743,arm::A,fakir,гов
744,arm::A,fakir,беднӧй
745,reich::A,zengin,эма
746,bekannt::A,bilinen,тӧдса
747,berühmt::A,ünlü,
748,berühmt::A,meşhur,
749,fremd::A,yabancı,чужӧй
750,verschieden::A,ayrı,быдкодь
751,verschieden::A,farklı,быдкодь
752,nah::A,yakın,матiсь
753,nah::A,bitişik,матiсь
754,fern::A,uzak,ылicь
755,linker::A,sol,шульга
756,rechter::A,sağ,веськытланись
757,anderer::A,diğer,мукӧд
758,erster::A,ilk,медодзза
759,erster::A,birinci,медодзза
760,zweiter::A,ikinci,кыкӧт
761,dritter::A,üçüncü,куимӧт
762,dritter::A,üçüncü,куимӧдз
763,letzter::A,son,бӧрья
764,letzter::A,son,мёдбӧрья
765,letzter::A,sonuncu,бӧрья
766,letzter::A,sonuncu,мёдбӧрья
767,allein::ADV,yalnız,
768,allein::ADV,tek başına,
769,auf einmal::ADV,birden,тшӧтш
770,zusammen::ADV,beraber,ӧтлаын
771,zusammen::ADV,birlikte,ӧтлаын
772,lange::ADV,çok,дыр
773,lange::ADV,uzun,дыр
774,plötzlich::ADV,ansızın,друг
775,plötzlich::ADV,birdenbire,друг
776,sofort::ADV,hemen,тшӧтш
777,sofort::ADV,derhal,тшӧтш
778,später::ADV,daha sonra,медбӧрын
779,jetzt::ADV,şimdi,ӧні
780,heute::ADV,bugün,талун
781,morgen::ADV,yarın,ашын
782,bald::ADV,yakında,чожа
783,dann::ADV,sonra,сыбӧрын
784,gestern::ADV,dün,тӧн
785,einst::ADV,eskiden,ӧтпыр
786,damals::ADV,o zamanlar,сэк
787,damals::ADV,o zamanlar,сэки
788,danach::ADV,sonradan,сэсся
789,danach::ADV,ondan sonra,сэсся
790,vorher::ADV,önce,одзжык
791,vorher::ADV,önceden,одзжык
792,zuerst::ADV,ilk önce,наперво
793,einmal::ADV,bir defa,ӧтпыр
794,manchmal::ADV,bazan,мукӧдпыр
795,oft::ADV,sık sık,-лы-
796,oft::ADV,çok defa,-лы-
797,immer::ADV,daima,быдпыр
798,immer::ADV,daima,быдпырся
799,immer::ADV,her zaman,быдпыр
800,immer::ADV,her zaman,быдпырся
801,niemals::ADV,asla değil,некӧр
802,niemals::ADV,hiçbir zaman,некӧр
803,hier::ADV,burada,татӧн
804,hierhin::ADV,buraya,татчӧ
805,von hier::ADV,buradan,тасянь
