,Concept_ID,ar,uz
66,Welle::N,موجة,to'lqin
67,Wasser::N,ماء,suv
68,Stein::N,حجر,tosh
69,Boden::N,تراب,tuproq
70,Erde::N,أرض,er
71,Staub::N,غبار,chang
72,Rauch::N,دخان,tutun
73,Funke::N,شرارة,yalt
74,Feuer::N,نار,o't
75,Licht::N,نور,yorug'
76,Licht::N,ضوء,yorug'
77,Schatten::N,ظل,soya
78,Schatten::N,فيء,soya
79,Wetter::N,جو,havo
80,Wetter::N,طقس,havo
81,Nebel::N,ضباب,tuman
82,Wolke::N,غيمة,bulut
83,Wolke::N,سحابة,bulut
84,Regen::N,مطر,yomg'ir
85,Schnee::N,ثلج,qor
86,Eis::N,جليد,muz
87,Frost::N,صقيع,ajoz
88,Kälte::N,برد,ajoz
89,Hitze::N,حر,issiq
90,Hitze::N,حرارة,issiq
91,Raureif::N,صقيع,qirov
92,Regenbogen::N,قوس قزح,kamalak
93,Donner::N,رعد,guldur
94,Strömung::N,تيار,oqim
95,Tropfen::N,قطرة,tomchi
96,Schaum::N,زبد,ko'pik
97,Schaum::N,رغوة,ko'pik
98,Schmutz::N,وسخ,gard
99,See::N,بحيرة,ko'l
100,Sumpf::N,مستنقع,botqoq
101,Moor::N,مستنقع,qir-adir
102,Wiese::N,مرج,o'tzor
103,Wald::N,غابة,o'rmon
104,Hügel::N,تل,tepa
105,Anhöhe::N,تل,adir
106,Berg::N,جبل,tog'
107,Gipfel::N,قمة,cho'qqi
108,Höhle::N,كهف,kavak
109,Abhang::N,منحدر,to'sh
110,Quelle::N,منبع,buloq
111,Bach::N,مجرى,o'zan
112,Fluss::N,نهر,daryo
113,Ufer::N,ضفة,sohil
114,Küste::N,ساحل,qirg'oq
115,Festland::N,بر,materik
116,Meer::N,بحر,dengiz
117,Bucht::N,خليج,qo'ltiq
118,Insel::N,جزيرة,orol
119,Blume::N,زهرة,gul
120,Gras::N,حشيش,sabza
121,Wurzel::N,أصل,tub
122,Wurzel::N,أصل,tomir
123,Baum::N,شجرة,daraxt
124,Stamm::N,جذع,o'simta
125,Rinde::N,قشرة,qobiq
126,Ast::N,فرع,shox
127,Zweig::N,غصن,butoq
128,Blatt::N,ورقة,barg
129,Birke::N,قضبان,qayin
130,Kiefer[Baum]::N,صنوبرة,qarag'ay
131,Weide[Baum]::N,صفصاف,shum
132,Tanne::N,شوح,archa
133,Tanne::N,تبوب,archa
134,Horn::N,قرن,mugiz
135,Feder::N,ريشة,par
136,Fell::N,فرو,mo'yna
137,Flügel::N,جناح,qanot
138,Klaue::N,مخلب,tirnoq
139,Kralle::N,مخلب,tirnoq
140,Schwanz::N,ذيل,quyruq
141,Ei::N,بيض,tuxum
142,Nest::N,عش,oshyon
143,Bau::N,جحر,o'pqon
144,Tier::N,حيوان,hayvon
145,Herde::N,قطيع,gala
146,Kuh::N,بقرة,inak
147,Bulle::N,ثور,ho'kiz
148,Pferd::N,خيل,ot
149,Schaf::N,شاة,qo'y
150,Schwein::N,خنزير,cho'chqa
151,Hund::N,كلب,it
152,Katze::N,قطة,mushuk
153,Bär::N,دب,ayiq
154,Eichhörnchen::N,سنجاب,tiyin
155,Elch::N,موظ,los
156,Fuchs::N,ثعلب,tulki
157,Hase::N,أرنب,kuyon
158,Maus::N,فأرة,sichqon
159,Wolf::N,ذئب,bo'ri
160,Vogel::N,طير,qush
161,Schwarm::N,سرب,to'da
162,Huhn::N,دجاجة,tovuq
163,Hahn::N,ديك,xo'roz
164,Gans::N,وزة,g'oz
165,Adler::N,نسر,burgut
166,Ente::N,بطة,o'rdak
167,Eule::N,بوم,boyo'g'li
168,Kranich::N,كركي,turna
169,Krähe::N,غراب,qarg'a
170,Kuckuck::N,وقواق,kakku
171,Schwan::N,إوز عراقي,oqkush
172,Fisch::N,سمك,baliq
173,Barsch::N,فرخ أوربي,olabug'a
174,Hecht::N,سمك الكراكي,cho'rtan
175,Schlange[Tier]::N,حية,ilon
176,Schlange[Tier]::N,ثعبان,ilon
177,Wurm::N,دودة,qurt
178,Spinne::N,عنكبوت,o'rgimchak
179,Ameise::N,نملة,chumoli
180,Laus::N,قملة,bit
181,Mücke::N,ناموسة,chivin
182,Fliege::N,ذبابة,pashsha
183,Schmetterling::N,فراشة,kapalak
184,Beere::N,حبة,meva
185,Apfel::N,تفاح,olma
186,Pilz::N,فطر,qo'ziqorin
187,Zwiebel::N,بصل,piyoz
188,Saat::N,زرع,äkin
189,Korn::N,حبة,zarra
190,Heu::N,دريس,xashak
191,Schale::N,قشرة,po'choq
192,Grube::N,نقرة,co'ra
193,Falle::N,فخ,qopqon
194,Falle::N,مصيدة,qopqon
195,Schlinge::N,عروة,sirtmoq
196,Spur::N,أثر,iz
197,Asche::N,رماد,kul
198,Dreck::N,قذر,kir
199,Eisen::N,حديد,temir
200,Gold::N,ذهب,tilla
201,Silber::N,فضة,kumush
202,Kohle::N,فحم,ko'mir
203,Glas::N,زجاج,oyna
204,Lehm::N,طين,loy
205,Sand::N,رمل,qum
206,Mensch::N,إنسان,odam
207,Mann::N,رجل,ärkak
208,Frau::N,امرأة,ayol
209,Kind::N,طفل,bola
210,Kind::N,طفل,kichkintoy
211,Junge::N,ولد,bola
212,Mädchen::N,بنت,qiz
213,Familie::N,عائلة,oila
214,Großvater::N,جد,buva
215,Großvater::N,جد,katta ota
216,Großmutter::N,جدة,buvi
217,Großmutter::N,جدة,katta oyi
218,Eltern::N,أبوان,ota-ona
219,Eltern::N,والدان,ota-ona
220,Vater::N,أب,ota
221,Mutter::N,أم,ona
222,Sohn::N,إبن,o'g'il
223,Tochter::N,بنت,qiz
224,Tochter::N,إبنة,qiz
225,Bruder::N,أخ,og'a
226,Bruder::N,أخ,uka
227,Bruder::N,شقيق,og'a
228,Bruder::N,شقيق,uka
229,Schwester::N,أخت,opa
230,Schwester::N,أخت,singil
231,Onkel::N,عم,amaki
232,Tante::N,عمة,amma
233,Tante::N,عمة,xola
234,Ehemann::N,زوج,är
235,Ehefrau::N,زوجة,rafiqa
236,Freude::N,فرح,ayish
237,Freude::N,سرور,ayish
238,Gelächter::N,قهقهة,kulgi
239,Glück::N,سعادة,saodat
240,Kummer::N,غم,g'am
241,Wunsch::N,منية,orzu
242,Lust::N,شهوة,rag'bat
243,Geist::N,روح,ruh
244,Gedanke::N,فكرة,fikr
245,Gedächtnis::N,ذاكرة,äs
246,Verstand::N,عقل,aql
247,Sinn::N,معنى,ma'ni
248,Grund::N,سبب,sabab
249,Wahrheit::N,حقيقة,haq
250,Gespräch::N,محادثة,gap
251,Märchen::N,خرافة,ärtak
252,Erzählung::N,قصة,rivoyat
253,Erzählung::N,حكاية,rivoyat
254,Nachricht::N,خبر,xabar
255,Neuigkeit::N,خبر جديد,yangilik
256,Name::N,اسم,ot
257,Rätsel::N,لغز,topishmoq
258,Rede::N,خطبة,nutq
259,Sprache::N,لغة,til
260,Stimme::N,صوت,ovoz
261,Wort::N,كلمة,so'z
262,Zeichen::N,رمز,alomat
263,Zeichen::N,إشارة,alomat
264,Ruf::N,نداء,chaqiriq
265,Lärm::N,صخب,taraq
266,Lärm::N,ضجة,taraq
267,Laut::N,صوت,tovush
268,Ton::N,نغمة,un
269,Lied::N,أغنية,ashula
270,Ruhe::N,هدوء,tinchlik
271,Leute::N,ناس,xaloyiq
272,Volk::N,شعب,xalq
273,Arbeit::N,عمل,ish
274,Gast::N,ضيف,mehmon
275,Geschenk::N,هدية,hadya
276,Spiel::N,لعب,o'yin
277,Gesellschaft::N,صحبة,jamiyat
278,Hilfe::N,عون,yordam
279,Hilfe::N,مساعدة,yordam
280,Freund::N,صديق,do'st
281,Kamerad::N,زميل,yo'ldosh
282,Angelegenheit::N,أمر,daxl
283,Angelegenheit::N,شأن,daxl
284,Anzahl::N,عدد,son
285,Art::N,نوع,tur
286,Stück::N,قطعة,parcha
287,Teil::N,قسم,bo'lak
288,Hälfte::N,نصف,yarim
289,Kreis::N,دائرة,aylana
290,Kreuz::N,صليب,xoch
291,Linie::N,خط,liniya
292,Strich::N,شرطة,chiziq
293,Abstand::N,مسافة,oralik
294,Entfernung::N,بعد,uzoqlik
295,Gegend::N,ناحية,yer
296,Platz::N,فراغ,oralig
297,Ort::N,مكان,joy
298,Seite::N,جانب,yon
299,Mitte::N,وسط,o'rta
300,Gegenstand::N,موضوع,ashyo
301,Sache::N,شيء,buyum
302,Rand::N,حافة,chek
303,Kante::N,حافة,tig'
304,Ecke::N,ركن,burchak
305,Spitze::N,سن,uch
306,Ende::N,طرف,oxir
307,Loch::N,ثقب,teshik
308,Winkel::N,زاوية,go'sha
309,Muster::N,عينة,nusha
310,Größe::N,حجم,kattalik
311,Länge::N,طول,uzunlik
312,Höhe::N,علو,yuksaklik
313,Höhe::N,ارتفاع,yuksaklik
314,Gewicht::N,وزن,solmoq
315,Menge::N,كمية,miqdor
316,Haufen::N,كوم,uyum
317,Reihe::N,صف,saf
318,Boot::N,قارب,qayiq
319,Boot::N,زورق,qayiq
320,Ruder::N,مجذاف,äshkak
321,Schlitten::N,مزلقة,chana
322,Ski::N,زلاجة,chang'i
323,Lagerfeuer::N,نار المخيم,gulxan
324,Last::N,حمل,yuk
325,Gang::N,مشية,yurish
326,Schritt::N,خطوة,qadam
327,Norden::N,شمال,shimol
328,Süden::N,جنوب,janub
329,Westen::N,غرب,g'arb
330,Osten::N,شرق,sharq
331,Holz::N,خشب,yog'och
332,Brett::N,لوح,taxta
333,Platte::N,صفيحة,tabaqa
334,Stütze::N,سند,tayanchi
335,Stütze::N,دعامة,tayanchi
336,Stange::N,عود,qo'noq
337,Stock::N,عصا,tayoq
338,Stab::N,قضيب,gavron
339,Rohr::N,أنبوبة,tarnov
340,Haus::N,دار,uy
341,Haus::N,بيت,uy
342,Heim::N,بيت,makon
343,Heim::N,مسكن,makon
344,Ofen::N,مدفأة,pechka
345,Fußboden::N,أرضية,pol
346,Tisch::N,مائدة,mosa
347,Stuhl::N,كرسي,o'rindiq
348,Wiege::N,مهد,beshik
349,Bett::N,سرير,yotoq
350,Regal::N,رف,tokcha
351,Kiste::N,صندوق,sandiq
352,Fenster::N,شباك,deraza
353,Fenster::N,نافذة,deraza
354,Tür::N,باب,äshik
355,Tor::N,بوابة,darvoza
356,Zaun::N,سياج,panjara
357,Dach::N,سطح,tom
358,Leiter::N,سلم,narvon
359,Besen::N,مكنسة,supurgi
360,Spaten::N,مسحاة,bel
361,Schaufel::N,مجرفة,kurak
362,Gabel::N,شوكة,bilka
363,Löffel::N,ملعقة,qoshiq
364,Messer::N,سكين,pichoq
365,Nagel::N,مسمار,mix
366,Netz::N,شبكة,to'r
367,Haken::N,خطاف,ilgak
368,Haken::N,صنارة,ilgak
369,Griff::N,قبضة,sop
370,Griff::N,قبضة,tutqich
371,Schloss::N,قفل,qulf
372,Bild::N,صورة,rasm
373,Figur::N,تمثال,shakl
374,Puppe::N,دمية,ko'g'irchoq
375,Beutel::N,كيس,to'rva
376,Bündel::N,ربطة,bog'lam
377,Tasche::N,شنطة,kissa
378,Tasche::N,محفظة,kissa
379,Eimer::N,سطل,chelak
380,Eimer::N,جردل,chelak
381,Deckel::N,سداد,qopqoq
382,Geschirr::N,أوان,idish
383,Sack::N,زكيبة,qop
384,Tasse::N,فنجان,piyola
385,Topf::N,قدر,tuvak
386,Topf::N,طنجرة,tuvak
387,Kessel::N,قدر,qozon
388,Kessel::N,غلاية,qozon
389,Essen::N,طعام,tomoq
390,Nahrung::N,غذاء,emak
391,Speise::N,أكل,taom
392,Fleisch::N,لحم,go'sht
393,Getreide::N,حبوب,g'alla
394,Brei::N,عصيدة,bo'tqa
395,Brot::N,خبز,non
396,Scheibe::N,شريحة,disk
397,Fett::N,سمن,moy
398,Butter::N,زبدة,yog'
399,Öl::N,زيت,moy
400,Salz::N,ملح,tuz
401,Suppe::N,حساء,sho'rva
402,Suppe::N,شربة,sho'rva
403,Honig::N,عسل,asal
404,Milch::N,حليب,sut
405,Tee::N,شاي,choy
406,Leder::N,جلد,charm
407,Wolle::N,صوف,jun
408,Stoff::N,قماش,mato
409,Nadel::N,إبرة,igna
410,Faden::N,خيط,ip
411,Knopf::N,زر,tugma
412,Knoten::N,عقدة,tugun
413,Farbe::N,صبغة,bo'yok
414,Kleidung::N,ملابس,kiyim
415,Hemd::N,قميص,ko'ylak
416,Kragen::N,ياقة,yoqa
417,Ärmel::N,كم,yeng
418,Hose::N,سروال,shim
419,Hose::N,بنطلون,shim
420,Gürtel::N,حزام,tasma
421,Mütze::N,طاقية,shapka
422,Schuh::N,حذاء,but
423,Stiefel::N,جزمة,botinka
424,Stiefel::N,حذاء طويل,botinka
425,Ring::N,حلقة,yuzuk
426,Band::N,شريط,rishta
427,Kamm::N,مشط,taroq
428,Spiegel::N,مرآة,ko'zgu
429,Riemen::N,سير,qayish
430,Schnur::N,حبل,bog'ich
431,Schnur::N,دوبارة,bog'ich
432,Leine::N,قيد,etak
433,Decke::N,بطانية,odyol
434,Kissen::N,وسادة,yostiq
435,Tuch::N,منديل,gazlama
436,Handtuch::N,فوطة,sochiq
437,Handtuch::N,منشفة,sochiq
438,Kraft::N,قدرة,kuch
439,Stärke::N,قوة,quvvat
440,Gesundheit::N,صحة,sog'lik
441,Krankheit::N,مرض,kasallik
442,Schmerz::N,ألم,og'riq
443,Schmerz::N,وجع,og'riq
444,Wunde::N,جرح,yara
445,Fieber::N,حمى,bezgak
446,Arznei::N,دواء,dori
447,Brücke::N,جسر,ko'prik
448,Brunnen::N,بئر,buloq
449,Weide::N,مرعى,yaylov
450,Pfad::N,درب,dorojka
451,Weg::N,سكة,yo'l
452,Straße::N,طريق,ko'cha
453,Dorf::N,قرية,ovul
454,Stadt::N,مدينة,shahar
455,Brief::N,خطاب,maktub
456,Brief::N,مكتوب,maktub
457,Buch::N,كتاب,kitob
458,Buchstabe::N,حرف,harf
459,Zeitung::N,جريدة,gazet
460,Leben::N,عيش,hayot
461,Leben::N,حياة,hayot
462,Tod::N,موت,o'lim
463,Tod::N,وفاة,o'lim
464,Grab::N,قبر,go'r
465,Kirche::N,كنيسة,cherkov
466,Sünde::N,خطيئة,gunoh
467,Gott::N,إله,olloh
468,Arbeiter::N,عامل,ishchi
469,Chef::N,رئيس,rais
470,Meister::N,أسطى,usta
471,Arzt::N,طبيب,hakim
472,Lehrer::N,مدرس,muallim
473,Geld::N,نقود,pul
474,Geschäft::N,صفقة,savdo
475,Laden::N,دكان,do'kon
476,Preis::N,سعر,baho
477,Ware::N,بضاعة,mol
478,Nutzen::N,فائدة,foyda
479,Reichtum::N,غنى,boylik
480,Reichtum::N,ثروة,boylik
481,Welt::N,عالم,olam
482,Welt::N,دنيا,olam
483,Land::N,بلد,o'lka
484,Staat::N,دولة,davlat
485,König::N,ملك,qirol
486,Macht::N,سلطة,iqtidor
487,Grenze::N,حدود,chegara
488,Krieg::N,حرب,harb
489,Feind::N,عدو,dushman
490,Gewalt::N,عنف,zo'rlik
491,Kampf::N,قتال,kurash
492,Bogen[Waffe]::N,قوس,yoy
493,Pfeil::N,سهم,o'q
494,Gewehr::N,بندقية,vintovka
495,Fehler::N,خطأ,xato
496,Lüge::N,كذب,yolg'on
497,Schaden::N,تلف,ziyon
498,Unglück::N,نحس,balo
499,Schuld::N,ذنب,ayb
500,Alter::N,سن,yosh
501,Alter::N,عمر,yosh
502,Schluss::N,ختام,tamom
503,Schluss::N,نهاية,tamom
504,Zeit::N,وقت,vaqt
505,Tag::N,يوم,kun
506,Morgen::N,صباح,saboh
507,Mittag::N,ظهر,kun tushlik
508,Abend::N,مساء,oqshom
509,Nacht::N,ليلة,tun
510,Woche::N,أسبوع,hafta
511,Monat::N,شهر,oy
512,Jahr::N,عام,yil
513,Jahr::N,سنة,yil
514,Frühling::N,ربيع,bahor
515,Sommer::N,صيف,yoz
516,Herbst::N,خريف,kuz
517,Herbst::N,خريف,xazon
518,Winter::N,شتاء,qish
519,Januar::N,يناير,yanvar'
520,Januar::N,كانون الثاني,yanvar'
521,Februar::N,شباط,fevral'
522,Februar::N,فبراير,fevral'
523,März::N,آذار,mart
524,März::N,مارس,mart
525,April::N,نيسان,aprel'
526,Mai::N,مايو,may
527,Juni::N,يونيو,iyun'
528,Juni::N,حزيران,iyun'
529,Juli::N,تموز,iyul'
530,Juli::N,يوليو,iyul'
531,August::N,آب,avgust
532,August::N,أغسطس,avgust
533,September::N,أيلول,sentyabr'
534,September::N,سبتمبر,sentyabr'
535,Oktober::N,أكتوبر,oktyabr'
536,Oktober::N,تشرين الأول,oktyabr'
537,November::N,نوفمبر,noyabr'
538,November::N,تشرين الثاني,noyabr'
539,Dezember::N,ديسمبر,dekabr'
540,Dezember::N,كانون الأول,dekabr'
541,Montag::N,يوم الاثنين,dushanba
542,Dienstag::N,يوم الثلاثاء,seshanba
543,Mittwoch::N,يوم الأربعاء,chorshanba
544,Donnerstag::N,يوم الخميس,payshanba
545,Freitag::N,يوم الجمعة,juma
546,Samstag::N,يوم السبت,shanba
547,Sonntag::N,يوم الأحد,yakshanba
548,groß::A,كبير,buyuk
549,klein::A,صغير,kichik
550,lang::A,طويل,uzun
551,kurz::A,قصير,qisqa
552,breit::A,واسع,keng
553,schmal::A,ضيق,änsiz
554,dicht::A,كث,quyuq
555,dicht::A,كثيف,quyuq
556,dick[Gegenstand]::A,غليظ,qalin
557,dünn::A,رفيع,ingichka
558,fein::A,رقيق,mayin
559,fest::A,متين,qattiq
560,flach::A,سهل,yalpoq
561,flach::A,منبسط,yalpoq
562,glatt::A,ناعم,tekis
563,hart::A,صلب,qattiq
564,hart::A,جامد,qattiq
565,weich::A,لين,yumshoq
566,rund::A,مستدير,yumaloq
567,spitz::A,مدبب,uchli
568,scharf::A,حاد,keskir
569,stumpf::A,ثالم,to'mtoq
570,schwer::A,ثقيل,salmoqli
571,schön::A,جميل,go'zal
572,heiß::A,حار,qiziq
573,heiß::A,ساخن,qiziq
574,warm::A,دافئ,issiq
575,kalt::A,بارد,sovuq
576,kühl::A,قر,salqin
577,frisch::A,طازج,toza
578,feucht::A,رطب,namli
579,nass::A,مبلول,nam
580,trocken::A,جاف,quruq
581,voll::A,ملء,to'la
582,leer::A,خال,puch
583,leer::A,فارغ,puch
584,offen::A,مفتوح,ochiq
585,geschlossen::A,مغلق,berk
586,sauber::A,نظيف,ozoda
587,schmutzig::A,قذر,kir
588,roh::A,نيء,xom
589,reif::A,ناضج,pishiq
590,lecker::A,لذيذ,shirin
591,süß::A,حلو,shirin
592,bitter::A,مر,achchiq
593,sauer::A,حامض,achchiq
594,hell::A,نير,yorug'
595,dunkel::A,مظلم,qorong'i
596,schwarz::A,أسود,qora
597,weiß::A,أبيض,oq
598,rot::A,أحمر,qizil
599,gelb::A,أصفر,sariq
600,blau::A,أزرق,zangori
601,grün::A,أخضر,yashil
602,grau::A,رمادي,bo'z
603,bunt::A,ملوب,ola
604,billig::A,رخيص,arzon
605,teuer::A,غال,qimmat
606,wertvoll::A,ثمين,qimmat
607,blind::A,أعمى,ko'r
608,taub::A,أصم,garang
609,taub::A,أطرش,garang
610,kräftig::A,قوي,kuchli
611,stark::A,قوي,quvvatli
612,schwach::A,ضعيف,kuchsiz
613,fett::A,سمين,semiz
614,schlank::A,أهيف,ingichka
615,hübsch::A,جميل,ko'rkam
616,böse::A,رديء,yovuz
617,dumm::A,أبله,aqlsiz
618,dumm::A,أحمق,aqlsiz
619,faul::A,كسلان,ärinchak
620,fleißig::A,مجتهد,ishchan
621,geizig::A,بخيل,qurumsoq
622,klug::A,ذكي,oqil
623,klug::A,عاقل,oqil
624,geschickt::A,ماهر,äpchil
625,lieb::A,عزيز,aziz
626,lustig::A,مرح,chaqchaq
627,sanft::A,حليم,asta
628,hungrig::A,جائع,och
629,krank::A,مريض,kasal
630,nackt::A,عار,yalang
631,traurig::A,حزين,xafa
632,lebendig::A,حي,hayotiy
633,gut::A,جيد,soz
634,schlecht::A,سيء,yomon
635,richtig::A,صحيح,rost
636,schlimm::A,خبيث,yovuz
637,wahr::A,حق,haqiqiy
638,alt::A,قديم,äski
639,neu::A,جديد,yangi
640,ehemalig::A,سابق,sobiq
641,alt[Lebewesen]::A,مسن,qari
642,jung::A,شاب,navqiron
643,jung::A,صغير,navqiron
644,arm::A,فقير,abgor
645,reich::A,غني,boy
646,bekannt::A,معلوم,ma'lum
647,berühmt::A,مشهور,mashhur
648,fremd::A,أجنبي,yot
649,verschieden::A,مختلف,turli
650,nah::A,قريب,yaqindagi
651,fern::A,بعيد,uzoq
652,linker::A,يسار,so'l
653,rechter::A,يمين,o'ng
654,anderer::A,آخر,boshqa
655,erster::A,أول,birinchi
656,zweiter::A,ثان,ikkinchi
657,dritter::A,ثالث,uchinchi
658,letzter::A,أخير,oxirgi
659,allein::ADV,وحده,o'zicha
660,auf einmal::ADV,بالمرة,varakay
661,zusammen::ADV,معا,barobar
662,lange::ADV,مدة طويلة,uzoq
663,plötzlich::ADV,فجأة,qo'qqisdan
664,sofort::ADV,حالا,darrov
665,sofort::ADV,فورا,darrov
666,später::ADV,فيما بعد,so'ngra
667,jetzt::ADV,الآن,hozirgina
668,jetzt::ADV,حاليا,hozirgina
669,heute::ADV,اليوم,bugun
670,morgen::ADV,غدا,ärta
671,bald::ADV,قريبا,toz
672,dann::ADV,ثم,keyin
673,gestern::ADV,أمس,kecha
674,gestern::ADV,البارحة,kecha
675,einst::ADV,قديما,avvallari
676,damals::ADV,حينئذ,ugal
677,danach::ADV,ثم,so'ngra
678,danach::ADV,بعد ذلك,so'ngra
679,vorher::ADV,من قبل,avval
680,vorher::ADV,قبل ذلك,avval
681,zuerst::ADV,أولا,avval
682,einmal::ADV,مرة,bir marta
683,manchmal::ADV,أحيانا,onda-sonda
684,oft::ADV,كثيرا,tez-tez
685,immer::ADV,دائما,har vaqt
686,niemals::ADV,لا أبدا,hargiz
687,hier::ADV,هنا,shu erda
688,hierhin::ADV,إلى هنا,beri
689,von hier::ADV,من هنا,shu erdan
690,dort::ADV,هناك,ana
691,dorthin::ADV,إلى هناك,u yerga
692,geradeaus::ADV,إلى الأمام,to'g'ri
693,vorwärts::ADV,إلى الأمام,ilgari
694,rückwärts::ADV,إلى الوراء,qoloq
695,zurück::ADV,عودا,orqada
696,zurück::ADV,إلى الخلف,orqada
697,unten::ADV,تحت,pastda
698,unten::ADV,في الأسفل,pastda
699,hinab::ADV,إلى تحت,tubanga
700,oben::ADV,فوق,ustida
701,oben::ADV,في الأعلى,ustida
702,hinauf::ADV,إلى فوق,yuqorida
703,hinauf::ADV,إلى الأعلى,yuqorida
704,überall::ADV,في كل مكان,har erda
705,nicht::ADV,لا,ämas
706,nicht::ADV,لم,ämas
707,ein wenig::ADV,قليلا,biroz
708,kaum::ADV,كاد لا,arang
709,sehr::ADV,جدا,ancha
710,sehr::ADV,كثيرا,ancha
711,so::ADV,كذا,shunday
712,so::ADV,كذلك,shunday
713,noch::ADV,ما زال,hali
714,nur::ADV,فقط,yolg'iz
715,schon::ADV,قد,endi
716,wieder::ADV,من جديد,yana
717,wieder::ADV,مرة أخرى,yana
718,vergebens::ADV,عبثا,bekorga
719,vor::PRP,أمام,burun
720,hinter::PRP,خلف,ketida
721,hinter::PRP,وراء,ketida
722,unter::PRP,تحت,ostida
723,durch::PRP,عبر,bo'ylab
724,durch::PRP,خلال,bo'ylab
725,neben::PRP,جنب,yonida
726,neben::PRP,بجانب,yonida
727,zwischen::PRP,بين,orada
728,wegen::PRP,بسبب,sababli
729,dies::PRN,هذا,o'sha
730,das::PRN,ذلك,narigi
731,alles::PRN,الكل,har nima
732,ich::PRN,أنا,men
733,du::PRN,أنت,sen
734,er::PRN,هو,u
735,wir::PRN,نحن,biz
736,ihr::PRN,أنتم,siz
737,ihr::PRN,أنتن,siz
738,sie::PRN,هم,ular
739,sie::PRN,هن,ular
740,was::FPRN,ما,nima
741,wer::FPRN,من,kim
742,wo::FADV,أين,qaerda
743,wohin::FADV,إلى أين,qayerga
744,wie::FADV,كيف,qanday
745,warum::FADV,لماذا,nega
746,wieviel::FNUM,كم,qancha
747,eins::NUM,واحد,bir
748,zwei::NUM,اثنين,ikki
749,drei::NUM,ثلاثة,uch
750,vier::NUM,أربعة,to'rt
751,fünf::NUM,خمسة,besh
752,sechs::NUM,ستة,olti
753,sieben::NUM,سبعة,etti
754,acht::NUM,ثمانية,sakkiz
755,neun::NUM,تسعة,to'qqiz
756,zehn::NUM,عشرة,o'n
757,elf::NUM,أحد عشر,o'n bir
758,zwölf::NUM,اثنا عشر,o'n ikki
759,zwanzig::NUM,عشرون,yigirma
760,dreißig::NUM,ثلاثون,o'ttiz
761,vierzig::NUM,أربعون,qirq
762,fünfzig::NUM,خمسون,ällik
763,sechzig::NUM,ستون,oltmish
764,siebzig::NUM,سبعون,etmish
765,achtzig::NUM,ثمانون,sakson
766,neunzig::NUM,تسعون,to'qson
767,hundert::NUM,مئة,yuz
768,tausend::NUM,ألف,ming
769,und::CNJ,و,va
770,oder::CNJ,أو,yo
771,stehen::V,وقف,turmoq
772,sitzen::V,جلس,o'tirmoq
773,liegen::V,رقد,yotmoq
774,hängen::V,تعلق,osilmoq
775,werden::V,صار,bo'lmoq
776,werden::V,أصبح,bo'lmoq
777,passieren::V,حدث,bo'lib o'tmoq
778,beginnen::V,ابتدأ,boshlanmoq
779,enden::V,انتهى,bitmoq
780,wechseln::V,تغير,o'zgarmoq
781,aufgehen[Sonne]::V,شرق,chiqmoq
