,Concept_ID,cs,et
116,Abhang::N,svah,nõlvak
117,Abhang::N,stráň,nõlvak
118,Quelle::N,pramen,allikas
119,Bach::N,potok,oja
120,Fluss::N,řeka,jõgi
121,Ufer::N,břeh,kallas
122,Küste::N,pobřeží,rannik
123,Festland::N,souš,mander
124,Festland::N,souš,maismaa
125,Festland::N,pevnina,mander
126,Festland::N,pevnina,maismaa
127,Meer::N,moře,meri
128,Bucht::N,záliv,laht
129,Bucht::N,zátoka,laht
130,Insel::N,ostrov,saar
131,Blume::N,květina,lill
132,Gras::N,tráva,rohi
133,Wurzel::N,kořen,juur
134,Baum::N,strom,puu
135,Stamm::N,kmen,tüvi
136,Rinde::N,kůra,koor
137,Ast::N,větev,oks
138,Zweig::N,větev,oks
139,Blatt::N,lupen,leht
140,Birke::N,bříza,kask
141,Kiefer[Baum]::N,sosna,mänd
142,Kiefer[Baum]::N,borovice,mänd
143,Weide[Baum]::N,vrba,paju
144,Tanne::N,jedle,nulg
145,Horn::N,roh,sarv
146,Feder::N,pero,sulg
147,Fell::N,srst,karvkate
148,Fell::N,srst,karusnahk
149,Flügel::N,křídlo,tiib
150,Flügel::N,křídlo,tiivik
151,Klaue::N,dráp,küüs
152,Klaue::N,pazneht,küüs
153,Kralle::N,dráp,küünis
154,Schwanz::N,ocas,saba
155,Ei::N,vejce,muna
156,Nest::N,hnízdo,pesa
157,Bau::N,nora,urg
158,Tier::N,zvíře,loom
159,Herde::N,stádo,kari
160,Kuh::N,kráva,lehm
161,Bulle::N,býk,pull
162,Pferd::N,kůň,hobune
163,Schaf::N,ovce,lammas
164,Schwein::N,vepř,siga
165,Schwein::N,prase,siga
166,Hund::N,pes,koer
167,Katze::N,kočka,kass
168,Bär::N,medvěd,karu
169,Eichhörnchen::N,veverka,orav
170,Elch::N,los,põder
171,Fuchs::N,liška,rebane
172,Hase::N,zajíc,jänes
173,Maus::N,myš,hiir
174,Wolf::N,vlk,hunt
175,Vogel::N,pták,lind
176,Schwarm::N,roj,parv
177,Schwarm::N,hejno,parv
178,Huhn::N,kuře,kana
179,Huhn::N,slepice,kana
180,Hahn::N,kohout,kukk
181,Gans::N,husa,hani
182,Adler::N,orel,kotkas
183,Ente::N,kachna,part
184,Eule::N,sova,kakk
185,Eule::N,sova,öökull
186,Kranich::N,jeřáb,kurg
187,Krähe::N,vrána,vares
188,Kuckuck::N,kukačka,kägu
189,Schwan::N,labuť,luik
190,Fisch::N,ryba,kala
191,Barsch::N,okoun,ahven
192,Hecht::N,štika,haug
193,Schlange[Tier]::N,had,uss
194,Wurm::N,červ,uss
195,Wurm::N,červ,vagel
196,Spinne::N,pavouk,ämblik
197,Ameise::N,mravenec,sipelgas
198,Laus::N,veš,täi
199,Mücke::N,komár,sääsk
200,Fliege::N,moucha,kärbes
201,Schmetterling::N,motýl,liblikas
202,Beere::N,bobule,mari
203,Apfel::N,jablko,õun
204,Pilz::N,houba,seen
205,Zwiebel::N,cibule,sibul
206,Saat::N,osivo,seeme
207,Korn::N,zrno,iva
208,Korn::N,zrno,tera
209,Heu::N,seno,hein
210,Schale::N,slupka,koor
211,Schale::N,skořápka,koor
212,Grube::N,jáma,kaevand
213,Falle::N,past,lõks
214,Falle::N,past,püünis
215,Falle::N,léčka,lõks
216,Falle::N,léčka,püünis
217,Schlinge::N,smyčka,aas
218,Spur::N,stopa,jälg
219,Asche::N,popel,tuhk
220,Dreck::N,špína,saast
221,Dreck::N,špína,mustus
222,Eisen::N,železo,raud
223,Gold::N,zlato,kuld
224,Silber::N,stříbro,hõbe
225,Kohle::N,uhlí,süsi
226,Glas::N,sklo,klaas
227,Lehm::N,jíl,savi
228,Lehm::N,hlína,savi
229,Sand::N,písek,liiv
230,Mensch::N,člověk,inimene
231,Mann::N,muž,mees
232,Frau::N,žena,naine
233,Kind::N,dítě,laps
234,Junge::N,hoch,poiss
235,Junge::N,chlapec,poiss
236,Mädchen::N,děvče,tüdruk
237,Familie::N,rodina,perekond
238,Großvater::N,děd,vanaisa
239,Großvater::N,dědeček,vanaisa
240,Großmutter::N,babička,vanaema
241,Eltern::N,rodiče,vanemad
242,Vater::N,otec,isa
243,Mutter::N,matka,ema
244,Sohn::N,syn,poeg
245,Tochter::N,dcera,tütar
246,Bruder::N,bratr,vend
247,Schwester::N,sestra,õde
248,Onkel::N,strýc,onu
249,Tante::N,teta,tädi
250,Ehemann::N,choť,mees
251,Ehemann::N,choť,abikaasa
252,Ehemann::N,manžel,mees
253,Ehemann::N,manžel,abikaasa
254,Ehefrau::N,choť,naine
255,Ehefrau::N,choť,abikaasa
256,Ehefrau::N,manželka,naine
257,Ehefrau::N,manželka,abikaasa
258,Freude::N,radost,rõõm
259,Gelächter::N,smích,naer
260,Glück::N,štěstí,õnn
261,Kummer::N,žal,mure
262,Kummer::N,žal,kurbus
263,Kummer::N,trápení,mure
264,Kummer::N,trápení,kurbus
265,Wunsch::N,přání,soov
266,Lust::N,chuť,himu
267,Geist::N,duch,vaim
268,Gedanke::N,myšlenka,mõte
269,Gedächtnis::N,paměť,mälu
270,Verstand::N,rozum,aru
271,Verstand::N,rozum,mõistus
272,Sinn::N,smysl,tähendus
273,Grund::N,důvod,põhjus
274,Wahrheit::N,pravda,tõde
275,Gespräch::N,rozhovor,kõne
276,Gespräch::N,rozhovor,vestlus
277,Märchen::N,pohádka,muinasjutt
278,Erzählung::N,povídka,jutustus
279,Nachricht::N,zpráva,teade
280,Neuigkeit::N,novina,uudis
281,Neuigkeit::N,novinka,uudis
282,Name::N,jméno,nimi
283,Rätsel::N,hádanka,mõistatus
284,Rede::N,řeč,kõne
285,Rede::N,proslov,kõne
286,Sprache::N,řeč,keel
287,Sprache::N,jazyk,keel
288,Stimme::N,hlas,hääl
289,Wort::N,slovo,sõna
290,Zeichen::N,znamení,märk
291,Ruf::N,zavolání,hüüe
292,Lärm::N,hluk,müra
293,Laut::N,zvuk,hääl
294,Ton::N,tón,toon
295,Lied::N,píseň,laul
296,Ruhe::N,klid,rahu
297,Ruhe::N,klid,vaikus
298,Ruhe::N,pokoj,rahu
299,Ruhe::N,pokoj,vaikus
300,Leute::N,lidé,inimesed
301,Volk::N,národ,rahvas
302,Arbeit::N,práce,töö
303,Gast::N,host,külaline
304,Geschenk::N,dar,kingitus
305,Spiel::N,hra,mäng
306,Gesellschaft::N,společnost,selts
307,Hilfe::N,pomoc,abi
308,Freund::N,přítel,sõber
309,Kamerad::N,kamarád,sõber
310,Angelegenheit::N,záležitost,asi
311,Anzahl::N,počet,arv
312,Anzahl::N,počet,hulk
313,Art::N,druh,liik
314,Stück::N,kus,tükk
315,Stück::N,kousek,tükk
316,Teil::N,díl,osa
317,Teil::N,část,osa
318,Hälfte::N,půl,pool
319,Kreis::N,kruh,ring
320,Kreuz::N,kříž,rist
321,Linie::N,linka,joon
322,Strich::N,čára,joon
323,Strich::N,čárka,joon
324,Abstand::N,vzdálenost,vahe
325,Entfernung::N,vzdálenost,kaugus
326,Entfernung::N,vzdálenost,vahemaa
327,Gegend::N,krajina,ümbrus
328,Platz::N,prostor,ruum
329,Ort::N,místo,paik
330,Seite::N,strana,pool
331,Mitte::N,střed,keskpaik
332,Mitte::N,prostředek,keskpaik
333,Gegenstand::N,předmět,ese
334,Sache::N,věc,ese
335,Rand::N,kraj,äär
336,Rand::N,kraj,serv
337,Rand::N,okraj,äär
338,Rand::N,okraj,serv
339,Kante::N,hrana,kant
340,Ecke::N,roh,nurk
341,Spitze::N,hrot,teravik
342,Spitze::N,špička,teravik
343,Ende::N,konec,ots
344,Ende::N,konec,jupp
345,Loch::N,díra,auk
346,Winkel::N,kout,nurk
347,Muster::N,vzor,muster
348,Größe::N,velikost,suurus
349,Länge::N,délka,pikkus
350,Höhe::N,výška,kõrgus
351,Gewicht::N,váha,kaal
352,Gewicht::N,váha,raskus
353,Menge::N,množství,arv
354,Menge::N,množství,hulk
355,Haufen::N,kupa,hunnik
356,Haufen::N,hromada,hunnik
357,Reihe::N,řada,rivi
358,Reihe::N,řádek,rivi
359,Boot::N,člun,paat
360,Ruder::N,veslo,aer
361,Schlitten::N,sáně,saan
362,Ski::N,lyže,suusk
363,Lagerfeuer::N,táborák,lõke
364,Last::N,náklad,koorem
365,Last::N,břemeno,koorem
366,Gang::N,chůze,käik
367,Gang::N,chodba,käik
368,Schritt::N,krok,samm
369,Norden::N,sever,põhi
370,Süden::N,jih,lõuna
371,Westen::N,západ,lääs
372,Osten::N,východ,ida
373,Holz::N,dřevo,puu
374,Brett::N,prkno,saelaud
375,Platte::N,deska,plaat
376,Stütze::N,opěra,tugi
377,Stange::N,tyč,latt
378,Stange::N,tyč,teivas
379,Stange::N,tyčka,latt
380,Stange::N,tyčka,teivas
381,Stock::N,hůlka,kepp
382,Stab::N,hůl,varras
383,Rohr::N,trubka,toru
384,Haus::N,dům,maja
385,Heim::N,domov,kodu
386,Ofen::N,kamna,ahi
387,Fußboden::N,podlaha,põrand
388,Tisch::N,stůl,laud
389,Stuhl::N,židle,tool
390,Wiege::N,kolébka,häll
391,Wiege::N,kolébka,kätki
392,Bett::N,postel,voodi
393,Regal::N,regál,riiul
394,Regal::N,police,riiul
395,Kiste::N,bedna,kast
396,Fenster::N,okno,aken
397,Tür::N,dveře,uks
398,Tor::N,vrata,värav
399,Zaun::N,plot,aed
400,Zaun::N,plot,tara
401,Dach::N,střecha,katus
402,Leiter::N,žebřík,redel
403,Besen::N,koště,luud
404,Besen::N,smeták,luud
405,Spaten::N,rýč,labidas
406,Schaufel::N,lopata,kühvel
407,Gabel::N,vidlička,kahvel
408,Löffel::N,lžíce,lusikas
409,Messer::N,nůž,nuga
410,Nagel::N,hřebík,nael
411,Netz::N,síť,võrk
412,Haken::N,hák,haak
413,Haken::N,hák,konks
414,Griff::N,držadlo,sang
415,Griff::N,držadlo,käepide
416,Schloss::N,zámek,lukk
417,Bild::N,obraz,pilt
418,Figur::N,figura,kuju
419,Figur::N,figura,kujund
420,Puppe::N,panenka,nukk
421,Beutel::N,pytlík,paun
422,Bündel::N,svazek,kimp
423,Tasche::N,taška,kott
424,Tasche::N,brašna,kott
425,Eimer::N,kýbl,pang
426,Eimer::N,kýbl,ämber
427,Eimer::N,vědro,pang
428,Eimer::N,vědro,ämber
429,Deckel::N,víko,kaas
430,Deckel::N,příklop,kaas
431,Geschirr::N,nádobí,nõud
432,Sack::N,pytel,kott
433,Tasse::N,šálek,tass
434,Topf::N,hrnec,pada
435,Kessel::N,kotel,pada
436,Essen::N,jídlo,söök
437,Nahrung::N,strava,toit
438,Nahrung::N,potrava,toit
439,Speise::N,jídlo,roog
440,Fleisch::N,maso,liha
441,Getreide::N,obilí,teravili
442,Brei::N,kaše,puder
443,Brot::N,chléb,sai
444,Brot::N,chléb,leib
445,Scheibe::N,krajíc,viil
446,Scheibe::N,krajíc,viilukas
447,Fett::N,tuk,rasv
448,Fett::N,omastek,rasv
449,Butter::N,máslo,või
450,Öl::N,olej,õli
451,Salz::N,sůl,sool
452,Suppe::N,polévka,supp
453,Honig::N,med,mesi
454,Milch::N,mléko,piim
455,Tee::N,čaj,tee
456,Leder::N,kůže,nahk
457,Wolle::N,vlna,vill
458,Stoff::N,látka,kangas
459,Nadel::N,jehla,nõel
460,Faden::N,nit,niit
461,Knopf::N,knoflík,nööp
462,Knoten::N,uzel,sõlm
463,Farbe::N,barva,värv
464,Kleidung::N,šaty,riided
465,Kleidung::N,šaty,riietus
466,Kleidung::N,šatstvo,riided
467,Kleidung::N,šatstvo,riietus
468,Hemd::N,košile,särk
469,Kragen::N,límec,krae
470,Ärmel::N,rukáv,varrukas
471,Hose::N,kalhoty,püksid
472,Gürtel::N,pás,vöö
473,Gürtel::N,opasek,vöö
474,Mütze::N,čepice,müts
475,Schuh::N,bota,king
476,Stiefel::N,holínka,saabas
477,Ring::N,prsten,sõrmus
478,Band::N,pásek,lint
479,Kamm::N,hřeben,kamm
480,Spiegel::N,zrcadlo,peegel
481,Riemen::N,řemen,rihm
482,Schnur::N,šňůra,nöör
483,Leine::N,vodítko,jalutusrihm
484,Decke::N,pokrývka,tekk
485,Decke::N,přikrývka,tekk
486,Kissen::N,polštář,padi
487,Tuch::N,šátek,kalev
488,Handtuch::N,ručník,käterätik
489,Kraft::N,síla,jõud
490,Stärke::N,síla,tugevus
491,Gesundheit::N,zdraví,tervis
492,Krankheit::N,nemoc,haigus
493,Krankheit::N,choroba,haigus
494,Schmerz::N,bolest,valu
495,Wunde::N,rána,haav
496,Fieber::N,horečka,palavik
497,Arznei::N,lék,ravim
498,Brücke::N,most,sild
499,Brunnen::N,studna,kaev
500,Weide::N,pastva,karjamaa
501,Weide::N,pastvina,karjamaa
502,Pfad::N,pěšina,rada
503,Weg::N,cesta,tee
504,Straße::N,silnice,tee
505,Dorf::N,vesnice,küla
506,Stadt::N,město,linn
507,Brief::N,dopis,kiri
508,Buch::N,kniha,raamat
509,Buchstabe::N,písmeno,täht
510,Zeitung::N,noviny,ajaleht
511,Leben::N,život,elu
512,Tod::N,smrt,surm
513,Grab::N,hrob,haud
514,Kirche::N,kostel,kirik
515,Sünde::N,hřích,patt
516,Gott::N,bůh,jumal
517,Arbeiter::N,dělník,tööline
518,Arbeiter::N,pracovník,tööline
519,Chef::N,šéf,ülemus
520,Chef::N,šéf,juhataja
521,Chef::N,vedoucí,ülemus
522,Chef::N,vedoucí,juhataja
523,Meister::N,mistr,meister
524,Arzt::N,lékař,arst
525,Lehrer::N,učitel,õpetaja
526,Geld::N,peníze,raha
527,Geschäft::N,obchod,äri
528,Laden::N,krám,pood
529,Laden::N,krám,kauplus
530,Preis::N,cena,hind
531,Ware::N,zboží,kaup
532,Nutzen::N,užitek,tulu
533,Nutzen::N,užitek,kasulikkus
534,Reichtum::N,bohatství,rikkus
535,Welt::N,svět,maailm
536,Land::N,země,maa
537,Staat::N,stát,riik
538,König::N,král,kuningas
539,Macht::N,moc,võim
540,Macht::N,mocnost,võim
541,Grenze::N,hranice,piir
542,Krieg::N,válka,sõda
543,Feind::N,nepřítel,vaenlane
544,Gewalt::N,násilí,väevõim
545,Kampf::N,boj,võitlus
546,Bogen[Waffe]::N,luk,vibu
547,Pfeil::N,šíp,nool
548,Gewehr::N,puška,püss
549,Gewehr::N,ručnice,püss
550,Fehler::N,chyba,viga
551,Lüge::N,lež,vale
552,Schaden::N,škoda,kahju
553,Unglück::N,neštěstí,häda
554,Unglück::N,neštěstí,õnnetus
555,Schuld::N,vina,süü
556,Alter::N,věk,iga
557,Schluss::N,konec,lõpp
558,Zeit::N,čas,aeg
559,Tag::N,den,päev
560,Morgen::N,ráno,hommik
561,Morgen::N,jitro,hommik
562,Mittag::N,poledne,lõuna
563,Mittag::N,poledne,keskpäev
564,Abend::N,večer,õhtu
565,Nacht::N,noc,öö
566,Woche::N,týden,nädal
567,Monat::N,měsíc,kuu
568,Jahr::N,rok,aasta
569,Frühling::N,jaro,kevad
570,Sommer::N,léto,suvi
571,Herbst::N,podzim,sügis
572,Winter::N,zima,talv
573,Januar::N,leden,jaanuar
574,Februar::N,únor,veebruar
575,März::N,březen,märts
576,April::N,duben,aprill
577,Mai::N,květen,mai
578,Juni::N,červen,juuni
579,Juli::N,červenec,juuli
580,August::N,srpen,august
581,September::N,září,september
582,Oktober::N,říjen,oktoober
583,November::N,listopad,november
584,Dezember::N,prosinec,detsember
585,Montag::N,pondělí,esmaspäev
586,Montag::N,pondělek,esmaspäev
587,Dienstag::N,úterý,teisipäev
588,Mittwoch::N,středa,kesknädal
589,Donnerstag::N,čtvrtek,neljapäev
590,Freitag::N,pátek,reede
591,Samstag::N,sobota,laupäev
592,Sonntag::N,neděle,pühapäev
593,groß::A,velký,suur
594,klein::A,malý,väike
595,klein::A,malý,pisike
596,lang::A,dlouhý,pikk
597,kurz::A,krátký,lühike
598,breit::A,široký,lai
599,schmal::A,úzký,kitsas
600,dicht::A,hustý,tihe
601,dick[Gegenstand]::A,tlustý,jäme
602,dünn::A,tenký,õhuke
603,dünn::A,tenký,peenike
604,fein::A,jemný,peen
605,fein::A,jemný,õhuke
606,fest::A,pevný,püsiv
607,fest::A,pevný,kindel
608,flach::A,plochý,lame
609,flach::A,plochý,tasane
610,flach::A,placatý,lame
611,flach::A,placatý,tasane
612,glatt::A,hladký,sile
613,hart::A,tvrdý,kõva
614,weich::A,měkký,pehme
615,rund::A,kulatý,ümar
616,rund::A,okrouhlý,ümar
617,spitz::A,špičatý,torkav
618,scharf::A,ostrý,terav
619,stumpf::A,tupý,nüri
620,schwer::A,těžký,raske
621,schön::A,pěkný,kena
622,schön::A,krásný,kena
623,heiß::A,horký,kuum
624,heiß::A,horký,palav
625,warm::A,teplý,soe
626,kalt::A,studený,külm
627,kühl::A,chladný,jahe
628,frisch::A,svěží,värske
629,feucht::A,vlhký,niiske
630,nass::A,mokrý,märg
631,trocken::A,suchý,kuiv
632,voll::A,plný,täis
633,leer::A,prázdný,tühi
634,offen::A,otevřený,avatud
635,offen::A,otevřený,lahtine
636,geschlossen::A,zavřený,suletud
637,sauber::A,čistý,puhas
638,schmutzig::A,špinavý,räpane
639,schmutzig::A,špinavý,määrdunud
640,roh::A,syrový,toores
641,reif::A,zralý,küps
642,lecker::A,chutný,hõrk
643,lecker::A,chutný,maitsev
644,süß::A,sladký,magus
645,bitter::A,hořký,mõru
646,sauer::A,kyselý,hapu
647,hell::A,světlý,hele
648,dunkel::A,temný,pime
649,schwarz::A,černý,must
650,weiß::A,bílý,valge
651,rot::A,rudý,punane
652,rot::A,červený,punane
653,gelb::A,žlutý,kollane
654,blau::A,modrý,sinine
655,grün::A,zelený,roheline
656,grau::A,šedý,hall
657,grau::A,šedivý,hall
658,bunt::A,pestrý,kirju
659,bunt::A,pestrý,värviline
660,billig::A,levný,odav
661,billig::A,laciný,odav
662,teuer::A,drahý,kallis
663,wertvoll::A,cenný,väärtuslik
664,blind::A,slepý,pime
665,taub::A,hluchý,kurt
666,kräftig::A,silný,jõuline
667,stark::A,silný,tugev
668,schwach::A,slabý,nõrk
669,schwach::A,slabý,jõuetu
670,fett::A,tučný,rasvane
671,fett::A,tlustý,rasvane
672,schlank::A,štíhlý,sale
673,hübsch::A,hezký,kena
674,böse::A,zlý,tige
675,dumm::A,hloupý,juhm
676,dumm::A,hloupý,rumal
677,faul::A,líný,laisk
678,fleißig::A,pilný,virk
679,fleißig::A,pilný,hoolas
680,geizig::A,lakomý,ihne
681,klug::A,chytrý,tark
682,klug::A,chytrý,arukas
683,klug::A,chytrý,mõistlik
684,geschickt::A,šikovný,osav
685,lieb::A,milý,armas
686,lustig::A,veselý,lõbus
687,sanft::A,mírný,õrn
688,hungrig::A,hladový,näljane
689,krank::A,nemocný,haige
690,nackt::A,nahý,alasti
691,traurig::A,smutný,kurb
692,traurig::A,truchlivý,kurb
693,lebendig::A,živý,elus
694,gut::A,dobrý,hea
695,schlecht::A,špatný,halb
696,richtig::A,pravý,õige
697,richtig::A,správný,õige
698,schlimm::A,zlý,paha
699,wahr::A,pravdivý,tõene
700,alt::A,starý,vana
701,neu::A,nový,uus
702,ehemalig::A,bývalý,endine
703,alt[Lebewesen]::A,starý,vana
704,jung::A,mladý,noor
705,arm::A,chudý,vaene
706,reich::A,bohatý,rikas
707,bekannt::A,známý,teada
708,bekannt::A,známý,tuttav
709,berühmt::A,slavný,tuntud
710,fremd::A,cizí,võõras
711,verschieden::A,různý,erinev
712,verschieden::A,rozličný,erinev
713,nah::A,blízký,lähedane
714,fern::A,daleký,kauge
715,linker::A,levý,vasak
716,rechter::A,pravý,parem
717,anderer::A,jiný,muu
718,anderer::A,jiný,teine
719,erster::A,první,esimene
720,zweiter::A,druhý,teine
721,dritter::A,třetí,kolmas
722,letzter::A,poslední,viimane
723,allein::ADV,sám,üksi
724,auf einmal::ADV,najednou,korraga
725,auf einmal::ADV,najednou,ühekorraga
726,zusammen::ADV,spolu,koos
727,zusammen::ADV,spolu,üheskoos
728,zusammen::ADV,dohromady,koos
729,zusammen::ADV,dohromady,üheskoos
730,lange::ADV,dlouho,kaua
731,plötzlich::ADV,vtom,äkki
732,plötzlich::ADV,vtom,järsku
733,plötzlich::ADV,náhle,äkki
734,plötzlich::ADV,náhle,järsku
735,sofort::ADV,hned,kohe
736,sofort::ADV,ihned,kohe
737,später::ADV,později,hiljem
738,jetzt::ADV,teď,nüüd
739,jetzt::ADV,nyní,nüüd
740,heute::ADV,dnes,täna
741,heute::ADV,dneska,täna
742,morgen::ADV,zítra,homme
743,bald::ADV,brzo,pea
744,bald::ADV,brzo,varsti
745,dann::ADV,pak,siis
746,dann::ADV,potom,siis
747,gestern::ADV,včera,eile
748,einst::ADV,kdysi,vanasti
749,damals::ADV,tehdy,tookord
750,damals::ADV,tenkrát,tookord
751,danach::ADV,podle toho,seejärel
752,vorher::ADV,dříve,enne
753,vorher::ADV,napřed,enne
754,zuerst::ADV,nejprve,enne
755,zuerst::ADV,nejprve,esmalt
756,zuerst::ADV,nejdříve,enne
757,zuerst::ADV,nejdříve,esmalt
758,einmal::ADV,jednou,kord
759,einmal::ADV,jednou,üks kord
760,manchmal::ADV,někdy,mõnikord
761,oft::ADV,často,tihti
762,oft::ADV,často,sageli
763,immer::ADV,vždy,ikka
764,immer::ADV,vždy,alati
765,immer::ADV,stále,ikka
766,immer::ADV,stále,alati
767,niemals::ADV,nikdy,mitte kunagi
768,hier::ADV,zde,siin
769,hier::ADV,tady,siin
770,hierhin::ADV,sem,siia
771,von hier::ADV,odtud,siit
772,dort::ADV,tam,seal
773,dorthin::ADV,tam,sinna
774,geradeaus::ADV,rovně,otse edasi
775,vorwärts::ADV,kupředu,edasi
776,rückwärts::ADV,zpět,tagurpidi
777,zurück::ADV,zpět,tagasi
778,zurück::ADV,nazpět,tagasi
779,unten::ADV,dole,all
780,unten::ADV,dole,allpool
781,hinab::ADV,dolů,alla
782,oben::ADV,nahoře,ülal
783,oben::ADV,navrchu,ülal
784,hinauf::ADV,nahoru,üles
785,überall::ADV,všude,kõikjal
786,nicht::ADV,ne,ei
787,nicht::ADV,ne,mitte
788,ein wenig::ADV,trochu,veidi
789,ein wenig::ADV,trochu,natuke
790,kaum::ADV,sotva,vaevalt
791,sehr::ADV,velmi,väga
792,sehr::ADV,velice,väga
793,so::ADV,tak,nii
794,so::ADV,takto,nii
795,noch::ADV,ještě,veel
796,nur::ADV,jen,ainult
797,nur::ADV,jenom,ainult
798,schon::ADV,už,juba
799,schon::ADV,již,juba
800,wieder::ADV,zase,jälle
801,vergebens::ADV,marně,asjata
802,vor::PRP,před,ees
803,hinter::PRP,za,taha
804,unter::PRP,pod,all
805,durch::PRP,skrz,läbi
806,durch::PRP,skrz,kaudu
807,neben::PRP,vedle,kõrval
808,zwischen::PRP,mezi,vahel
809,wegen::PRP,pro,tõttu
810,wegen::PRP,pro,pärast
811,dies::PRN,toto,see
812,dies::PRN,tohle,see
813,das::PRN,to,see
814,alles::PRN,všechno,kõik
815,ich::PRN,já,mina
816,du::PRN,ty,sina
817,er::PRN,on,tema
818,wir::PRN,my,me
819,ihr::PRN,vy,te
820,sie::PRN,oni,nad
821,was::FPRN,co,mis
822,wer::FPRN,kdo,kes
823,wo::FADV,kde,kus
824,wohin::FADV,kam,kuhu
825,wie::FADV,jak,kuidas
826,warum::FADV,proč,miks
827,wieviel::FNUM,kolik,mitu
828,wieviel::FNUM,kolik,kui palju
829,eins::NUM,jeden,üks
830,zwei::NUM,dva,kaks
831,drei::NUM,tři,kolm
832,vier::NUM,čtyři,neli
833,fünf::NUM,pět,viis
834,sechs::NUM,šest,kuus
835,sieben::NUM,sedm,seitse
836,acht::NUM,osm,kaheksa
837,neun::NUM,devět,üheksa
838,zehn::NUM,deset,kümme
839,elf::NUM,jedenáct,üksteist
840,zwölf::NUM,dvanáct,kaksteist
841,zwanzig::NUM,dvacet,kakskümmend
842,dreißig::NUM,třicet,kolmkümmend
