,Concept_ID,kn,fa
55,Leber::N,ಯಕೃತ್ತು,کبد
56,Atem::N,ಉಸಿರು,نفس
57,Hunger::N,ಹಸಿವು,گرسنگی
58,Träne::N,ಕಣ್ಣೀರು,اشک
59,Geschmack::N,ರುಚಿ,مزه
60,Geruch::N,ವಾಸನೆ,بو
61,Schlaf::N,ನಿದ್ರೆ,خواب
62,Traum::N,ಕನಸು,رؤیا
63,Himmel::N,ಬಾನು,فلک
64,Himmel::N,ಬಾನು,آسمان
65,Sonne::N,ಸೂರ್ಯ,آفتاب
66,Sonne::N,ಸೂರ್ಯ,خورشید
67,Mond::N,ಚಂದ್ರ,ماه
68,Stern::N,ಚುಕ್ಕಿ,ستاره
69,Luft::N,ವಾಯು,هوا
70,Wind::N,ಗಾಳಿ,باد
71,Welle::N,ಅಲೆ,موج
72,Wasser::N,ನೀರು,آب
73,Stein::N,ಕಲ್ಲು,سنگ
74,Boden::N,ನೆಲ,زمین
75,Erde::N,ಭೂಮಿ,خاک
76,Erde::N,ಭೂಮಿ,زمین
77,Staub::N,ದೂಳು,گرد
78,Staub::N,ದೂಳು,غبار
79,Rauch::N,ಹೊಗೆ,دود
80,Funke::N,ಕಿಡಿ,جرقه
81,Feuer::N,ಬೆಂಕಿ,آتش
82,Licht::N,ಬೆಳಕು,نور
83,Licht::N,ಬೆಳಕು,روشنی
84,Schatten::N,ನೆರಳು,سایه
85,Wetter::N,ಹವ,هوا
86,Nebel::N,ಮಂಜು,مه
87,Wolke::N,ಮೋಡ,ابر
88,Regen::N,ಮಳೆ,باران
89,Schnee::N,ಹಿಮ,برف
90,Eis::N,ಮಂಜುಗಡ್ಡೆ,یخ
91,Frost::N,ಮಂಜು,یخبندان
92,Kälte::N,ಹಿಮ,سرما
93,Hitze::N,ಉಷ್ಣ,گرما
94,Hitze::N,ಉಷ್ಣ,حرارت
95,Raureif::N,ಇಬ್ಬನಿ,برف ریزه
96,Regenbogen::N,ಇಂದ್ರಚಾಪ,رنگین‌کمان
97,Donner::N,ಗುಡುಗು,رعد
98,Strömung::N,ಪ್ರವಾಹ,جریان
99,Tropfen::N,ತೊಟ್ಟು,قطره
100,Schaum::N,ನೊರೆ,کف
101,Schmutz::N,ಕಸ,گل
102,Schmutz::N,ಕಸ,کثافت
103,See::N,ಸರೋವರ,دریاچه
104,Sumpf::N,ಜೌಗುಸ್ಥಳ,مرداب
105,Sumpf::N,ಜೌಗುಸ್ಥಳ,باتلاق
106,Moor::N,ಬಂಜರು ಭೂಮಿ,باتلاق
107,Wiese::N,ಹುಲ್ಲುಗಾವಲು,چمن
108,Wald::N,ಕಾಡು,جنگل
109,Hügel::N,ಗುಡ್ಡೆ,تل
110,Hügel::N,ಗುಡ್ಡೆ,تپه
111,Anhöhe::N,ದಿಬ್ಬ,بلندی
112,Berg::N,ಮಲೆ,کوه
113,Berg::N,ಪರ್ವತ,کوه
114,Gipfel::N,ಶೃಂಗ,قله
115,Höhle::N,ಗುಹೆ,غار
116,Abhang::N,ಇಳಿಜಾರು,سرازیری
117,Quelle::N,ಮೂಲ,چشمه
118,Bach::N,ತೊರೆ,نهر
119,Fluss::N,ನದಿ,رود
120,Ufer::N,ತೀರ,ساحل
121,Ufer::N,ತೀರ,کرانه
122,Küste::N,ದಂಡೆ,ساحل
123,Festland::N,ಭೂಮಿ,خشکی
124,Meer::N,ಕಡಲು,دریا
125,Bucht::N,ಖಾರಿ,خلیج
126,Insel::N,ದ್ವೀಪ,جزیره
127,Blume::N,ಸುಮ,گل
128,Gras::N,ಹುಲ್ಲು,علف
129,Wurzel::N,ಬೇರು,ریشه
130,Baum::N,ಮರ,درخت
131,Stamm::N,ಕಾಂಡ,تنه
132,Rinde::N,ತೂಗಟಿ,توژ
133,Rinde::N,ತೂಗಟಿ,پوست
134,Ast::N,ಶಾಖೆ,شاخه
135,Zweig::N,ರೆಂಬೆ,شاخه
136,Blatt::N,ಎಲೆ,برگ
137,Birke::N,ಬರ್ಚ್ ಮರ,غان
138,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,کاج
139,Weide[Baum]::N,ವಿಲೋಮರ,بید
140,Tanne::N,ಭದ್ರದಾರು,صنوبر
141,Horn::N,ಕೊಂಬು,شاخ
142,Feder::N,ಪುಕ್ಕ,پر
143,Fell::N,ರೋಮ,خز
144,Flügel::N,ರೆಕ್ಕೆ,پر
145,Flügel::N,ರೆಕ್ಕೆ,بال
146,Klaue::N,ಪಂಜ,چنگ
147,Klaue::N,ಪಂಜ,پنجه
148,Kralle::N,ಉಗುರು,پنجه
149,Schwanz::N,ಬಾಲ,دم
150,Ei::N,ಮೊಟ್ಟೆ,تخم
151,Nest::N,ಗೂಡು,لانه
152,Bau::N,ಅಡಗುದಾಣ,بنا
153,Bau::N,ಅಡಗುದಾಣ,ساختمان
154,Tier::N,ಪ್ರಾಣಿ,هیوان
155,Herde::N,ಗುಂಪು,رمه
156,Kuh::N,ಹಸು,گاو
157,Bulle::N,ಗೂಳಿ,گاو نر
158,Pferd::N,ಕುದುರೆ,اسب
159,Schaf::N,ಕುರಿ,گوسفند
160,Schwein::N,ಹಂದಿ,خوک
161,Hund::N,ನಾಯಿ,سگ
162,Katze::N,ಬೆಕ್ಕು,گربه
163,Bär::N,ಕರಡಿ,خرس
164,Eichhörnchen::N,ಉಡುತೆ,سنجاب
165,Elch::N,ಕಡವೆ,گوزن شمالی
166,Fuchs::N,ನರಿ,روباه
167,Hase::N,ಮೊಲ,خرگوش
168,Maus::N,ಇಲಿ,موش
169,Wolf::N,ತೋಳ,گرگ
170,Vogel::N,ಪಕ್ಷಿ,پرنده
171,Schwarm::N,ಗುಂಪು,دسته
172,Huhn::N,ಚಿಕ್,مرغ
173,Hahn::N,ಹುಂಜ,خروس
174,Gans::N,ವರಟೆ,غاز
175,Adler::N,ಗರುಡ,عقاب
176,Ente::N,ಬಾತು,اردک
177,Ente::N,ಬಾತು,مرغابی
178,Eule::N,ಗೂಬೆ,جغد
179,Kranich::N,ಕೊಕ್ಕರ,درنا
180,Krähe::N,ಕಾಗೆ,زاغ
181,Krähe::N,ಕಾಗೆ,کلاغ
182,Kuckuck::N,ಕೋಗಿಲೆ,فاخته
183,Schwan::N,ಹಂಸಪಕ್ಷಿ,قو
184,Fisch::N,ಮೀನು,ماهی
185,Barsch::N,ಪರ್ಚ್ ಮೀನು,ماهی خاردار
186,Hecht::N,ಪೈಕ್ ಮೀನು,اردک ماهی
187,Schlange[Tier]::N,ಹಾವು,مار
188,Wurm::N,ಹುಳು,کرم
189,Spinne::N,ಊರ್ಣನಾಭ,عنکبوت
190,Ameise::N,ಇರುವೆ,مورچه
191,Laus::N,ಹೇನು,شپش
192,Mücke::N,ಸೊಳ್ಳೆ,پشه
193,Fliege::N,ನೊಣ,مگس
194,Schmetterling::N,ಪತಂಗ,پروانه
195,Beere::N,ನಯವಣ್ಣು,گیله
196,Apfel::N,ಸೇಬು,سیب
197,Pilz::N,ಅಣಬೆ,قارچ
198,Zwiebel::N,ನೀರುಳ್ಳಿ,پیاز
199,Saat::N,ಬಿತ್ತ,بذر
200,Korn::N,ಬೀಜ,تخم
201,Korn::N,ಬೀಜ,دانه
202,Heu::N,ಕರಡ,علف خشک
203,Schale::N,ಹೊಟ್ಟು,پوست
204,Grube::N,ಗುಂಡಿ,گودال
205,Falle::N,ಬೋನು,دام
206,Schlinge::N,ಉರುಲು,حلقه
207,Spur::N,ಜಾಡು,رد
208,Asche::N,ಬೂದಿ,خاکستر
209,Dreck::N,ಹೊಲಸು,کثافت
210,Eisen::N,ಕಬ್ಬಿಣ,آهن
211,Gold::N,ಚಿನ್ನ,زر
212,Gold::N,ಚಿನ್ನ,طلا
213,Silber::N,ಬೆಳ್ಳಿ,نقره
214,Kohle::N,ಕಲ್ಲಿದ್ದಲು,زغال
215,Glas::N,ಗಾಜು,شیشه
216,Lehm::N,ಜೇಡಿಮಣ್ಣು,گل
217,Sand::N,ಮರಳು,شن
218,Sand::N,ಮರಳು,ماسه
219,Mensch::N,ಪುರುಷ,آدم
220,Mensch::N,ಪುರುಷ,انسان
221,Mann::N,ಆಳು,مرد
222,Frau::N,ಹೆಣ್ಣು,زن
223,Kind::N,ಮಗು,بچه
224,Kind::N,ಮಗು,کودک
225,Junge::N,ಹುಡುಗ,پسر
226,Mädchen::N,ಹುಡುಗಿ,دختر
227,Familie::N,ಕುಟುಂಬ,فامیل
228,Familie::N,ಕುಟುಂಬ,خانواده
229,Großvater::N,ಅಜ್ಜ,پدربزرگ
230,Großmutter::N,ಅಮ್ಮ,مادر‌بزرگ
231,Eltern::N,ಹೆತ್ತವರು,والدین
232,Eltern::N,ಹೆತ್ತವರು,پدر‌و‌مادر
233,Vater::N,ತಂದೆ,پدر
234,Mutter::N,ಅಮ್ಮ,مادر
235,Sohn::N,ಮಗ ,پسر
236,Tochter::N,ಮಗಳು,دختر
237,Bruder::N,ತಮ್ಮ,برادر
238,Schwester::N,ತಂಗಿ,خواهر
239,Onkel::N,ಸೋದರಮಾವ,عمو
240,Onkel::N,ಸೋದರಮಾವ,دایی
241,Onkel::N,ದೊಡ್ಡಪ್ಪ,عمو
242,Onkel::N,ದೊಡ್ಡಪ್ಪ,دایی
243,Tante::N,ಚಿಕ್ಕಮ್ಮ,عمه
244,Tante::N,ಚಿಕ್ಕಮ್ಮ,خاله
245,Ehemann::N,ಗಂಡ,همسر
246,Ehefrau::N,ಹೆಂಡತಿ,همسر
247,Freude::N,ನಲಿವು,شادی
248,Gelächter::N,ನಗೆ,خنده
249,Gelächter::N,ನಗೆ,قاه‌قاه
250,Glück::N,ಆನಂದ,اقبال
251,Kummer::N,ದುಃಖ,غم
252,Kummer::N,ದುಃಖ,غصه
253,Wunsch::N,ಬಯಕೆ,آرزو
254,Lust::N,ಇಷ್ಟ,هوس
255,Geist::N,ಆತ್ಮ,روح
256,Gedanke::N,ಯೋಚನೆ,فکر
257,Gedächtnis::N,ಸ್ಮರಣೆ,حافظه
258,Verstand::N,ಮನಸ್ಸು,هوش
259,Sinn::N,ಅರ್ಥ,معنا
260,Sinn::N,ಅರ್ಥ,مفهوم
261,Grund::N,ಕಾರಣ,سبب
262,Grund::N,ಕಾರಣ,دلیل
263,Wahrheit::N,ಸತ್ಯ,حقیقت
264,Gespräch::N,ಸಂಭಾಷಣೆ,صحبت
265,Gespräch::N,ಸಂಭಾಷಣೆ,گفتگو
266,Märchen::N,ಸುಳ್ಳು ಕಥೆ,قصه
267,Märchen::N,ಸುಳ್ಳು ಕಥೆ,افسانه
268,Erzählung::N,ಕಥೆ,داستان
269,Nachricht::N,ಸಂದೇಶ,خبر
270,Neuigkeit::N,ಸುದ್ದಿ,خبر تازه
271,Name::N,ಹೆಸರು,اسم
272,Rätsel::N,ಒಗಟು,معما
273,Rede::N,ಮಾತು,سخن
274,Sprache::N,ಭಾಷೆ,زبان
275,Stimme::N,ಧ್ವನಿ,صدا
276,Wort::N,ಮಾತು,کلمه
277,Zeichen::N,ಗುರುತು,نشان
278,Zeichen::N,ಗುರುತು,علامت
279,Ruf::N,ಕೂಗು,صدا
280,Lärm::N,ಸದ್ದು,هیاهو
281,Laut::N,ಶಬ್ದ,صدا
282,Ton::N,ನಾದ,آهنگ
283,Lied::N,ಗಾನ,آواز
284,Lied::N,ಗಾನ,ترانه
285,Ruhe::N,ಶಾಂತಿ,آرامش
286,Leute::N,ಮಂದಿ,مردم
287,Volk::N,ಜನಾಂಗ,خلق
288,Arbeit::N,ಕೆಲಸ,کار
289,Gast::N,ಅತಿಥಿ,مهمان
290,Geschenk::N,ಕಾಣಿಕೆ,هدیه
291,Spiel::N,ಆಟ,بازی
292,Gesellschaft::N,ಸಂಗ,جمعیت
293,Hilfe::N,ಸಹಾಯ,کمک
294,Freund::N,ಸ್ನೇಹಿತ,دوست
295,Kamerad::N,ಜೊತೆಗಾರ,رفیق
296,Angelegenheit::N,ವಿಚಾರ,امر
297,Angelegenheit::N,ವಿಚಾರ,قضیه
298,Anzahl::N,ಎಣಿಕೆ,عده
299,Anzahl::N,ಎಣಿಕೆ,شمار
300,Art::N,ತರ,نوع
301,Stück::N,ತುಂಡು,تکه
302,Stück::N,ತುಂಡು,قطعه
303,Teil::N,ಭಾಗ,بخش
304,Teil::N,ಭಾಗ,قسمت
305,Hälfte::N,ಅರ್ಧ,نیم
306,Kreis::N,ವೃತ್ತ,حلقه
307,Kreis::N,ವೃತ್ತ,دایره
308,Kreuz::N,ಶಿಲುಬೆ,صلیب
309,Linie::N,ರೀಖೆ,خط
310,Linie::N,ರೀಖೆ,سطر
311,Strich::N,ಗೀಟು,خط
312,Abstand::N,ಅಂತರ,فاصله
313,Entfernung::N,ದೂರ,مسافت
314,Gegend::N,ವಿಸ್ತೀರ್ಣ,منطقه
315,Platz::N,ಅಂತರ,گنجایش
316,Ort::N,ಸ್ಥಳ,جا
317,Ort::N,ಸ್ಥಳ,محل
318,Ort::N,ಸ್ಥಳ,مکان
319,Seite::N,ಪಕ್ಷ,طرف
320,Mitte::N,ನಡು,وسط
321,Mitte::N,ನಡು,میان
322,Gegenstand::N,ವಸ್ತು,چیز
323,Sache::N,ವಸ್ತು,چیز
324,Rand::N,ಅಂಚು,کنار
325,Rand::N,ಅಂಚು,حاشیه
326,Kante::N,ಅಂಚು,لبه
327,Ecke::N,ಮೂಲೆ,گوشه
328,Spitze::N,ತುದಿ,سر
329,Spitze::N,ತುದಿ,نوک
330,Ende::N,ಕೊನೆ,ته
331,Ende::N,ಕೊನೆ,آخر
332,Loch::N,ತೂತು,سوراخ
333,Winkel::N,ಕೋನ,کنج
334,Muster::N,ನಮೂನೆ,نقش
335,Größe::N,ಪ್ರಮಾಣ,قد
336,Größe::N,ಪ್ರಮಾಣ,بزرگی
337,Länge::N,ಉದ್ದ,طول
338,Höhe::N,ಎತ್ತರ,بلندی
339,Gewicht::N,ತೂಕ,وزن
340,Menge::N,ಮೊತ್ತ,مقدار
341,Menge::N,ಮೊತ್ತ,اندازه
342,Haufen::N,ರಾಶಿ,توده
343,Reihe::N,ಸಾಲು,ردیف
344,Boot::N,ದೋಣಿ,قایق
345,Ruder::N,ಹುಟ್ಟು,پارو
346,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,سورتمه
347,Ski::N,ಜಾರುಪಟ್ಟಿ,اسکی
348,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,آتش
349,Last::N,ಹೊರೆ,بار
350,Last::N,ಹೊರೆ,سنگینی
351,Gang::N,ತಿರುಗಾಟ,راه رفتن
352,Schritt::N,ಹೆಜ್ಜೆ,قدم
353,Norden::N,ಉತ್ತರ,شمال
354,Süden::N,ದಕ್ಷಿಣ,جنوب
355,Westen::N,ಪಶ್ಚಿಮ,غرب
356,Osten::N,ಮೂಡಲು,شرق
357,Holz::N,ಚೌಬೀನೆ,چوب
358,Brett::N,ಹಲಗೆ,تخته
359,Platte::N,ಹಲಗೆ,صفحه
360,Stütze::N,ಆಸರೆ,تکیه
361,Stange::N,ಕಂಬ,میله
362,Stock::N,ಕೋಲು,چوب
363,Stab::N,ದೊಣ್ಣೆ,عصا
364,Rohr::N,ನಳಿಕೆ,لوله
365,Haus::N,ಮನೆ,منزل
366,Heim::N,ಗೃಹ,خانه
367,Heim::N,ಗೃಹ,کاشانه
368,Ofen::N,ಒಲೆ,بخاری
369,Fußboden::N,ನೆಲ,کف اتاق
370,Tisch::N,ಮೇಜು,میز
371,Stuhl::N,ಕುರ್ಚಿ,صندلی
372,Wiege::N,ತೊಟ್ಟಿಲು,گهواره
373,Bett::N,ಹಾಸಿಗೆ,تختخواب
374,Regal::N,ಬೀರು,قفسه
375,Kiste::N,ಪಟ್ಟಿಗೆ,صندوق
376,Fenster::N,ಕಿಟಕಿ,پنجره
377,Tür::N,ಬಾಗಿಲು,در
378,Tür::N,ಬಾಗಿಲು,درب
379,Tor::N,ಹೆಬ್ಬಾಗಿಲು,دروازه
380,Zaun::N,ಬೇಲಿ,حصار
381,Dach::N,ಮಾಳಿಗೆ,بام
382,Leiter::N,ಏಣಿ,نردبان
383,Besen::N,ಪೊರಕೆ,جارو
384,Spaten::N,ಗುದ್ದಲಿ,بیل
385,Schaufel::N,ಸನಿಕೆ,بیل
386,Schaufel::N,ಸನಿಕೆ,پارو
387,Gabel::N,ಕವಲು,چنگال
388,Löffel::N,ಚಮಚ,قاشق
389,Messer::N,ಚಾಕು,کارد
390,Nagel::N,ಆಣಿ,میخ
391,Netz::N,ಬಲೆ,تور
392,Netz::N,ಬಲೆ,شبکه
393,Haken::N,ಕೊಂಡಿ,قلاب
394,Griff::N,ಹಿಡಿ,دسته
395,Schloss::N,ವೀಗ,قفل
396,Bild::N,ಚಿತ್ರ,عکس
397,Bild::N,ಚಿತ್ರ,تصویر
398,Figur::N,ಆಕಾರ,تندیس
399,Puppe::N,ಗೊಂಬೆ,عروسک
400,Beutel::N,ಸಂಚಿ,کیسه
401,Bündel::N,ಕಟ್ಟು,بسته
402,Tasche::N,ಚೀಲ,کیف
403,Eimer::N,ಬಾನೆ,سطل
404,Deckel::N,ಮುಚ್ಚಳ,در
405,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,ظرف
406,Sack::N,ಮೂಟೆ,گونی
407,Tasse::N,ಬಟ್ಟಲು,فنجان
408,Topf::N,ಮಡಕೆ,دیگ
409,Topf::N,ಮಡಕೆ,قابلمه
410,Kessel::N,ಕೆಟಲ್,دیگ
411,Essen::N,ಊಟ,خوراک
412,Nahrung::N,ಆಹಾರ,غذا
413,Speise::N,ಊಟ,خوراک
414,Fleisch::N,ಮಾಂಸ,گوشت
415,Getreide::N,ಧಾನ್ಯ,غله
416,Brei::N,ಗಂಜಿ,فرنی
417,Brei::N,ಗಂಜಿ,حریره
418,Brot::N,ರೊಟ್ಟಿ,نان
419,Scheibe::N,ಹೋಳು,قاچ
420,Scheibe::N,ಹೋಳು,لزگه
421,Fett::N,ಕೊಬ್ಬು,چربی
422,Butter::N,ಬೆಣ್ಣೆ,کره
423,Öl::N,ಎಣ್ಣೆ,روغن
424,Salz::N,ಉಪ್ಪು,نمک
425,Suppe::N,ಎಸರು,آش
426,Suppe::N,ಎಸರು,سوپ
427,Honig::N,ಮಧು,عسل
428,Milch::N,ಹಾಲು,شیر
429,Tee::N,ಚಹ,چای
430,Leder::N,ಚಕ್ಕಳ,چرم
431,Wolle::N,ಉಣ್ಣೆ,پشم
432,Stoff::N,ಬಟ್ಟೆ,پارچه
433,Nadel::N,ಸೂಜಿ,سوزن
434,Faden::N,ದಾರ,نخ
435,Knopf::N,ಗುಂಡು,دکمه
436,Knoten::N,ಗಂಟು,گره
437,Farbe::N,ಬಣ್ಣ,رنگ
438,Kleidung::N,ಅರಿವೆ,لباس
439,Kleidung::N,ಅರಿವೆ,پوشاک
440,Hemd::N,ಅಂಗಿ,پیراهن
441,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,یقه
442,Ärmel::N,ತೋಳು,آستین
443,Hose::N,ಇಜಾರ,شلوار
444,Gürtel::N,ಬೆಲ್ಟು,کمر‌بند
445,Mütze::N,ಟೋಪಿ,کلاه
446,Schuh::N,ಪಾದರಕ್ಷೆ,کفش
447,Stiefel::N,ಬೂಟು,چکمه
448,Ring::N,ಉಂಗುರ,حلقه
449,Ring::N,ಉಂಗುರ,انگشتر
450,Band::N,ರಿಬ್ಬನ್,نوار
451,Band::N,ರಿಬ್ಬನ್,روبان
452,Kamm::N,ಹಣಿಗೆ,شانه
453,Spiegel::N,ಕನ್ನಡಿ,آینه
454,Riemen::N,ಬಾರು,تسمه
455,Schnur::N,ಹುರಿ,ریسمان
456,Leine::N,ಹಗ್ಗ,قلاده
457,Decke::N,ಕಂಬಳಿ,پتو
458,Kissen::N,ದಿಂಬು,بالش
459,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,شال
460,Handtuch::N,ಚೌಕ,حوله
461,Kraft::N,ಬಲ,نیرو
462,Stärke::N,ಶಕ್ತಿ,زور
463,Gesundheit::N,ಆರೋಗ್ಯ,سلامتی
464,Gesundheit::N,ಆರೋಗ್ಯ,تندرستی
465,Krankheit::N,ರೋಗ,بیماری
466,Schmerz::N,ನೋವು,درد
467,Wunde::N,ಗಾಯ,زخم
468,Fieber::N,ಜ್ವರ,تب
469,Arznei::N,ಔಷಧ,دارو
470,Brücke::N,ಸೇತುವೆ,پل
471,Brunnen::N,ಬಾವಿ,چاه
472,Weide::N,ಗೋಮಾಳ,چراگاه
473,Pfad::N,ದಾರಿ,راه
474,Weg::N,ಹಾದಿ,راه
475,Weg::N,ಹಾದಿ,طریق
476,Straße::N,ರಸ್ತೆ,راه
477,Straße::N,ರಸ್ತೆ,جاده
478,Dorf::N,ಹಳ್ಳಿ,ده
479,Dorf::N,ಹಳ್ಳಿ,روستا
480,Stadt::N,ಪಟ್ಟಣ,شهر
481,Brief::N,ಕಾಗದ,نامه
482,Buch::N,ಪುಸ್ತಕ,کتاب
483,Buchstabe::N,ಅಕ್ಷರ,حرف
484,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,روزنامه
485,Leben::N,ಜೀವನ,عمر
486,Leben::N,ಜೀವನ,زندگی
487,Tod::N,ಮರಣ,مرگ
488,Grab::N,ಗೋರಿ,گور
489,Grab::N,ಗೋರಿ,مزار
490,Kirche::N,ಚರ್ಚು,کلیسا
491,Sünde::N,ಪಾಪ,بزه
492,Sünde::N,ಪಾಪ,گناه
493,Gott::N,ದೇವರು,خدا
494,Arbeiter::N,ಕೆಲಸಗಾರ,کارگر
495,Chef::N,ದಣಿ,رئیس
496,Meister::N,ಶಿಕ್ಷಕ,استاد
497,Arzt::N,ವೈದ್ಯ,پزشک
498,Lehrer::N,ಉಪಾಧ್ಯಾಯ,معلم
499,Lehrer::N,ಉಪಾಧ್ಯಾಯ,آموزگار
500,Geld::N,ಹಣ,پول
501,Geschäft::N,ವಾಣಿಜ್ಯ,کار
502,Geschäft::N,ವಾಣಿಜ್ಯ,بیزنس
503,Laden::N,ಅಂಗಡಿ,دکان
504,Laden::N,ಅಂಗಡಿ,مغازه
505,Preis::N,ಬೆಲೆ,بها
506,Preis::N,ಬೆಲೆ,قیمت
507,Ware::N,ಸರಕು,جنس
508,Ware::N,ಸರಕು,کالا
509,Nutzen::N,ಲಾಭ,مزیت
510,Nutzen::N,ಲಾಭ,امتیاز
511,Reichtum::N,ಸಂಪತ್ತು,مال
512,Reichtum::N,ಸಂಪತ್ತು,ثروت
513,Welt::N,ಭೂಲೋಕ,دنیا
514,Land::N,ದೇಶ,کشور
515,Land::N,ದೇಶ,مملکت
516,Staat::N,ರಾಜ್ಯ,دولت
517,König::N,ರಾಜ,شاه
518,König::N,ರಾಜ,پادشاه
519,Macht::N,ಅಧಿಕಾರ,قدرت
520,Macht::N,ಅಧಿಕಾರ,اختیار
521,Grenze::N,ಗಡಿ,مرز
522,Krieg::N,ಯುದ್ಧ,جنگ
523,Feind::N,ಶತ್ರು,دشمن
524,Gewalt::N,ಹಿಂಸೆ,زور
525,Gewalt::N,ಹಿಂಸೆ,خشونت
526,Kampf::N,ಹೋರಾಟ,نبرد
527,Kampf::N,ಹೋರಾಟ,مبارزه
528,Bogen[Waffe]::N,ಬಿಲ್ಲು,کمان
529,Pfeil::N,ಅಂಬು,تیر
530,Gewehr::N,ಬಂದೂಕು,تفنگ
531,Fehler::N,ತಪ್ಪು,غلط
532,Fehler::N,ತಪ್ಪು,اشتباه
533,Lüge::N,ಸುಳ್ಳು,دروغ
534,Schaden::N,ಹಾನಿ,آسیب
535,Schaden::N,ಹಾನಿ,خسارت
536,Unglück::N,ಅಪಾಯ,بلا
537,Schuld::N,ದೋಷ,گناه
538,Schuld::N,ದೋಷ,تقصیر
539,Alter::N,ಮುಪ್ಪು,سن
540,Alter::N,ಮುಪ್ಪು,عمر
541,Schluss::N,ಮುಕ್ತಾಯ,انتها
542,Zeit::N,ಕಾಲ,وقت
543,Zeit::N,ಕಾಲ,زمان
544,Tag::N,ದಿನ,روز
545,Morgen::N,ಮುಂಜಾನೆ,صبح
546,Mittag::N,ನಡುಹಗಲು,ظهر
547,Abend::N,ಸಂಜೆ,شب
548,Abend::N,ಸಂಜೆ,عصر
549,Nacht::N,ರಾತ್ರಿ,شب
550,Woche::N,ವಾರ,هفته
551,Monat::N,ತಿಂಗಳು,ماه
552,Jahr::N,ಸಂವತ್ಸರ,سال
553,Frühling::N,ವಸಂತ,بهار
554,Sommer::N,ಬಿಸಿಲುಕಾಲ,تابستان
555,Herbst::N,ಶರತ್ಕಾಲ,پاییز
556,Winter::N,ಚಳಿಗಾಲ,زمستان
557,Januar::N,ನಾಲ್ಚಳಿ,ژانویه
558,Februar::N,ಅಯ್ಚಳಿ,فوریه
559,März::N,ಮೊಬ್ಬೇಸಿಗೆ,مارس
560,April::N,ಇಬ್ಬೇಸಿಗೆ,آوریل
561,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,مه
562,Juni::N,ಮೊಮ್ಮಳೆ,ژوئن
563,Juli::N,ಇಮ್ಮಳೆ,ژویه
