,Concept_ID,udm,eu
341,Laut::N,куара,hots
342,Ton::N,куара,tonu
343,Ton::N,куара,soinu
344,Lied::N,кырӟан,abesti
345,Ruhe::N,чалмыт улон,nasaitasun
346,Leute::N,адямиос,jende
347,Volk::N,калык,herri
348,Volk::N,калык,populu
349,Arbeit::N,уж,lan
350,Gast::N,куно,arrotz
351,Gast::N,куно,apopilo
352,Geschenk::N,салам,opari
353,Geschenk::N,кузьым,opari
354,Spiel::N,шудон,jolas
355,Gesellschaft::N,калык,gizarte
356,Hilfe::N,юрттон,helpide
357,Hilfe::N,юрттон,laguntza
358,Freund::N,эш,lagun
359,Freund::N,юлтош,lagun
360,Kamerad::N,тодмо,adiskide
361,Kamerad::N,тодмо,lagunkide
362,Angelegenheit::N,уж,afera
363,Anzahl::N,лыд,kopuru
364,Art::N,тус,mota
365,Stück::N,юдэс,puska
366,Teil::N,люкет,atal
367,Hälfte::N,ӝыны,erdi
368,Kreis::N,котырес,biribilki
369,Kreuz::N,крест,gurutze
370,Linie::N,гож,linea
371,Strich::N,гож,marra
372,Abstand::N,вис,tarte
373,Abstand::N,кусып,tarte
374,Entfernung::N,кусып,urrunera
375,Gegend::N,инты,alderdi
376,Gegend::N,инты,eskualde
377,Platz::N,инты,leku
378,Ort::N,инты,toki
379,Ort::N,места,toki
380,Seite::N,пал,albo
381,Mitte::N,шор,erdi
382,Gegenstand::N,арбери,gauzaki
383,Sache::N,котыр,gauza
384,Rand::N,дур,ertz
385,Rand::N,шаер,ertz
386,Kante::N,дур,ertz
387,Ecke::N,сэрег,kantoi
388,Spitze::N,йыл,punta
389,Ende::N,пум,buru
390,Ende::N,пум,mutur
391,Loch::N,пась,zulo
392,Winkel::N,сэрег,zoko
393,Winkel::N,сэрег,bazter
394,Muster::N,пужы,eredu
395,Muster::N,пужы,marrazki
396,Größe::N,быдӟала,kaizu
397,Größe::N,быдӟала,tamaina
398,Länge::N,кузьдала,luzera
399,Höhe::N,ӝуждала,goiera
400,Höhe::N,ӝуждала,garaiera
401,Gewicht::N,сектала,hazta
402,Gewicht::N,секытлык,hazta
403,Menge::N,лыд,kopuru
404,Menge::N,лыдпус,kopuru
405,Haufen::N,люк,pila
406,Haufen::N,люк,mendoi
407,Reihe::N,чур,ilara
408,Reihe::N,чур,errenkada
409,Boot::N,пыж,potin
410,Boot::N,пыж,txalupa
411,Boot::N,лодка,potin
412,Boot::N,лодка,txalupa
413,Ruder::N,полыс,arraun
414,Schlitten::N,додьы,lera
415,Schlitten::N,додьы,narra
416,Ski::N,куас,eski
417,Lagerfeuer::N,тылскем,su
418,Last::N,секыт,zama
419,Last::N,секыт,karga
420,Gang::N,ветлон,ibilera
421,Schritt::N,вамыш,pauso
422,Schritt::N,вамыш,urrats
423,Norden::N,уйпал,ipar
424,Norden::N,уйпал,iparralde
425,Süden::N,лымшор,hego
426,Süden::N,лымшор,hegoalde
427,Westen::N,шунды пуксён,sartalde
428,Westen::N,шунды пуксён,mendebalde
429,Osten::N,шунды ӝужан,ekialde
430,Osten::N,шунды ӝужан,sortalde
431,Holz::N,пу,zur
432,Brett::N,пул,ohol
433,Platte::N,плита,lauza
434,Stütze::N,пыкет,irozgarri
435,Stütze::N,пыкет,bermagailu
436,Stange::N,пуӵ,haga
437,Stock::N,боды,makila
438,Stab::N,пуӵ,makila
439,Stab::N,боды,makila
440,Rohr::N,труба,hodi
441,Haus::N,юрт,etxe
442,Heim::N,корка,etxe
443,Heim::N,корка,etxaleku
444,Ofen::N,гур,berogailu
445,Fußboden::N,выж,zoru
446,Tisch::N,ӝӧк,mahai
447,Stuhl::N,пукон,aulki
448,Wiege::N,кӧкы,kuma
449,Wiege::N,кӧкы,sehaska
450,Wiege::N,зыбка,kuma
451,Wiege::N,зыбка,sehaska
452,Bett::N,валес,ohe
453,Bett::N,валес,ohatze
454,Regal::N,ӝажы,apalategi
455,Kiste::N,ящик,kutxa
456,Fenster::N,укно,leiho
457,Fenster::N,косяк,leiho
458,Tür::N,ӧс,ate
459,Tor::N,ӟезьы,atari
460,Zaun::N,забор,hesi
461,Dach::N,липет,teilatu
462,Leiter::N,падӟа,zurubi
463,Besen::N,ӵужон,erratz
464,Besen::N,исьнер,erratz
465,Spaten::N,лопатка,burdinpala
466,Schaufel::N,ютырон,pala
467,Gabel::N,тэчы,sardexka
468,Gabel::N,вилка,sardexka
469,Löffel::N,пуньы,koilara
470,Messer::N,пурт,aizto
471,Nagel::N,кортӵог,iltze
472,Netz::N,сеть,sare
473,Haken::N,курик,mako
