,Concept_ID,ja,ps
94,Regenbogen::N,虹,بوډۍ ټال
95,Regenbogen::N,虹,سره زرغونه
96,Donner::N,雷,تالنده
97,Strömung::N,流れ,بهېدنه
98,Tropfen::N,滴,قطره
99,Tropfen::N,滴,څاڅکی
100,Schaum::N,泡,ځګ
101,Schmutz::N,汚れ,ناپاکي
102,See::N,湖,جهیل
103,Sumpf::N,沼,جبه
104,Moor::N,湿原,جبه
105,Wiese::N,草原,چمن
106,Wiese::N,草原,شنېلی
107,Wald::N,森,ځنګل
108,Hügel::N,丘,تپه
109,Anhöhe::N,高み,غونډۍ
110,Berg::N,山,غ‍‍‍‍‍ر
111,Gipfel::N,頂上,څوکه
112,Höhle::N,洞窟,کاز
113,Abhang::N,斜面,لمن
114,Quelle::N,泉,چینه
115,Bach::N,小川,واله
116,Fluss::N,川,سیند
117,Ufer::N,岸,غاړه
118,Küste::N,海岸,ساحل
119,Festland::N,陸,وچه
120,Meer::N,海,بحر
121,Meer::N,海,سمندر
122,Bucht::N,湾,کارۍ
123,Insel::N,島,ټاپو
124,Insel::N,島,جزيره
125,Blume::N,花,ګل
126,Gras::N,草,واښه
127,Wurzel::N,根,ریښه
128,Baum::N,木,ونه
129,Stamm::N,幹,ډډ
130,Rinde::N,皮層,پوستکی
131,Ast::N,枝,ښاخ
132,Zweig::N,小枝,څانګه
133,Blatt::N,葉,پاڼه
134,Birke::N,樺,توس
135,Kiefer[Baum]::N,松,نښتر
136,Weide[Baum]::N,柳,وله
137,Tanne::N,樅,ناجو
138,Horn::N,角,ښکر
139,Feder::N,羽根,بڼکه
140,Fell::N,毛皮,پوستکی
141,Flügel::N,羽,وزر
142,Klaue::N,鉤爪,پنجه
143,Klaue::N,鉤爪,منګول
144,Kralle::N,爪,پنجه
145,Kralle::N,爪,منګول
146,Schwanz::N,尻尾,لکۍ
147,Ei::N,卵,وۍ
148,Ei::N,卵,هګۍ
149,Nest::N,巣,جاله
150,Bau::N,穴,کاز
151,Tier::N,動物,ژوی
152,Tier::N,動物,حیوان
153,Herde::N,群れ,رمه
154,Herde::N,群れ,غېله
155,Kuh::N,牛,غوا
156,Bulle::N,雄牛,غوئی
157,Pferd::N,馬,آس
158,Schaf::N,羊,پسه
159,Schwein::N,豚,سرکوزی
160,Hund::N,犬,سپی
161,Katze::N,猫,پشه
162,Bär::N,熊,خرس
163,Eichhörnchen::N,栗鼠,خړ لمی
164,Elch::N,ヘラジカ,ګوزن
165,Fuchs::N,狐,سپلم
166,Hase::N,兎,سوی
167,Maus::N,鼠,مږک
168,Wolf::N,狼,لېوه
169,Vogel::N,鳥,مرغه
170,Schwarm::N,群れ,سېل
171,Huhn::N,鶏,چرګه
172,Hahn::N,雄鶏,چرګ
173,Gans::N,ガチョウ,بته
174,Adler::N,鷲,عقاب
175,Ente::N,鴨,ایلۍ
176,Eule::N,フクロウ,ګونګی
177,Kranich::N,鶴,کلنګ
178,Krähe::N,烏,کارغه
179,Kuckuck::N,郭公,فاخته
180,Schwan::N,白鳥,قو
181,Fisch::N,魚,کب
182,Fisch::N,魚,ماهی
183,Barsch::N,鱸,
184,Hecht::N,川魳,
185,Schlange[Tier]::N,蛇,مار
186,Wurm::N,虫,چینجی
187,Spinne::N,蜘蛛,غڼه
188,Spinne::N,蜘蛛,تارکښ
189,Ameise::N,蟻,مېږی
190,Laus::N,虱,سپږه
191,Mücke::N,蚊,ماشی
192,Fliege::N,蝿,مچ
193,Schmetterling::N,蝶,پتنګ
194,Beere::N,漿果,مېوۍ
195,Apfel::N,林檎,مڼه
196,Pilz::N,茸,خرېړی
197,Zwiebel::N,玉葱,پیاز
198,Saat::N,種,تخم
199,Korn::N,粒,تخم
200,Korn::N,粒,دانه
201,Heu::N,干し草,بوس
202,Heu::N,干し草,پروړه
203,Schale::N,皮,پوستکی
204,Grube::N,穴,کنده
205,Falle::N,わな,دام
206,Falle::N,わな,لومه
207,Schlinge::N,輪,کړۍ
208,Spur::N,跡,نښه
209,Asche::N,灰,آس
210,Asche::N,灰,ایره
211,Dreck::N,泥,ناپاکي
212,Eisen::N,鉄,اوسپنه
213,Gold::N,金,سره زر
214,Silber::N,銀,نقره
215,Silber::N,銀,سپین زر
216,Kohle::N,炭,سکور
217,Kohle::N,炭,سکاره
218,Glas::N,ガラス,ښيښه
219,Lehm::N,ローム,خټه
220,Sand::N,砂,شګه
221,Mensch::N,人,انسان
222,Mann::N,男,سړی
223,Mann::N,男,نارینه
224,Mann::N,男性,سړی
225,Mann::N,男性,نارینه
226,Frau::N,女,ښځه
227,Frau::N,女性,ښځه
228,Kind::N,子,بچی
229,Kind::N,子,ماشوم
230,Kind::N,子供,بچی
231,Kind::N,子供,ماشوم
232,Junge::N,男の子,هلک
233,Mädchen::N,女の子,نجلۍ
234,Familie::N,家族,کورنۍ
235,Großvater::N,祖父,بابا
236,Großvater::N,おじいさん,بابا
237,Großmutter::N,祖母,انا
238,Großmutter::N,おばあさん,انا
239,Eltern::N,親,مور او پلار
240,Eltern::N,両親,مور او پلار
241,Vater::N,父,پلار
242,Vater::N,お父さん,پلار
243,Mutter::N,母,مور
244,Mutter::N,お母さん,مور
245,Sohn::N,息子,زوی
246,Sohn::N,息子さん,زوی
247,Tochter::N,娘,لور
248,Tochter::N,お嬢さん,لور
249,Bruder::N,弟,ورور
250,Schwester::N,妹,خور
251,Onkel::N,伯父,تره
252,Onkel::N,伯父,ماما
253,Onkel::N,伯父さん,تره
254,Onkel::N,伯父さん,ماما
255,Tante::N,叔母,خاله
256,Tante::N,叔母さん,خاله
257,Ehemann::N,夫,مېړه
258,Ehemann::N,主人,مېړه
259,Ehefrau::N,妻,مېرمن
260,Ehefrau::N,奥さん,مېرمن
261,Freude::N,喜び,خوشحالي
262,Gelächter::N,笑い,خندا
263,Glück::N,幸せ,بخت
264,Kummer::N,悩み,غم
265,Wunsch::N,希望,هيله
266,Wunsch::N,希望,غوښتنه
267,Lust::N,気,شوق
268,Lust::N,気,مینه
269,Geist::N,精神,روح
270,Gedanke::N,考え,فکر
271,Gedächtnis::N,記憶,یاد
272,Gedächtnis::N,記憶,حافظه
273,Verstand::N,理解力,عقل
274,Verstand::N,理解力,شعور
275,Sinn::N,意味,معنی
276,Grund::N,理由,علت
277,Grund::N,理由,اساس
278,Wahrheit::N,真実,حقیقت
279,Gespräch::N,会話,مرکه
280,Gespräch::N,会話,خبرې اترې
281,Märchen::N,童話,افسانه
282,Erzählung::N,物語,قصه
283,Erzählung::N,物語,کیسه
284,Nachricht::N,報告,خبر
285,Neuigkeit::N,ニュース,نوی خبر
286,Name::N,名前,نوم
287,Rätsel::N,謎,کیسۍ
288,Rätsel::N,謎,چیستان
289,Rede::N,演説,وینا
290,Sprache::N,言語,ژبه
291,Stimme::N,声,غږ
292,Stimme::N,声,اواز
293,Wort::N,言葉,لغت
294,Wort::N,言葉,کلمه
295,Zeichen::N,記号,نښه
296,Zeichen::N,記号,اشاره
297,Ruf::N,呼び声,ږغ
298,Ruf::N,呼び声,بلنه
299,Lärm::N,騒音,غالمغال
300,Laut::N,音,ږغ
301,Ton::N,音,اواز
302,Lied::N,歌,غزله
303,Lied::N,歌,سندره
304,Ruhe::N,静けさ,ارامي
305,Leute::N,人々,خلک
306,Volk::N,民族,ولس
307,Arbeit::N,仕事,کار
308,Gast::N,客,مېلمه
309,Geschenk::N,贈り物,تحفه
310,Geschenk::N,贈り物,سوغات
311,Spiel::N,遊び,لوبه
312,Gesellschaft::N,社会,ډله
313,Hilfe::N,援助,کومک
314,Hilfe::N,援助,مرسته
315,Freund::N,友達,ملګری
316,Kamerad::N,同志,انډيوال
317,Angelegenheit::N,件,موضوع
318,Anzahl::N,数,شمېر
319,Anzahl::N,数,تعداد
320,Art::N,種類,ډول
321,Stück::N,部分,ټوټه
322,Teil::N,部分,برخه
323,Hälfte::N,半分,نیم
324,Kreis::N,円,دایره
325,Kreuz::N,十字,صلیب
326,Linie::N,線,خط
327,Linie::N,線,لیکه
328,Strich::N,線,کرښه
329,Abstand::N,距離,فاصله
330,Entfernung::N,距離,واټن
331,Gegend::N,辺,سیمه
332,Gegend::N,辺,منطقه
333,Gegend::N,地域,سیمه
334,Gegend::N,地域,منطقه
335,Platz::N,ゆとり,ځای
336,Ort::N,所,ځای
337,Ort::N,場所,ځای
338,Seite::N,横,مخ
339,Seite::N,横,اړخ
340,Mitte::N,真ん中,وسط
341,Mitte::N,真ん中,مینځ
342,Gegenstand::N,物件,شی
343,Sache::N,物,شی
344,Sache::N,物,څيز
345,Rand::N,端,څنډه
346,Rand::N,端,کناره
347,Kante::N,縁,اړخ
348,Ecke::N,角,ګوټ
349,Spitze::N,先頭,څوکه
350,Ende::N,端,څوکه
351,Loch::N,穴,سوری
352,Winkel::N,片隅,کنج
353,Winkel::N,片隅,کوتی
354,Muster::N,模様,نمونه
355,Größe::N,大きさ,قد
356,Größe::N,大きさ,لويوالی
357,Länge::N,長さ,طول
358,Länge::N,長さ,اوږد والی
359,Höhe::N,高さ,جګوالی
360,Gewicht::N,重さ,وزن
361,Menge::N,量,اندازه
362,Haufen::N,堆積,کوټه
363,Reihe::N,並び,صف
364,Reihe::N,並び,کتار
365,Boot::N,ボート,قايق
366,Ruder::N,オール,چپه
367,Schlitten::N,そり,ښویېدونی
368,Ski::N,スキー,سکي
369,Lagerfeuer::N,篝火,اور
370,Last::N,荷物,بار
371,Last::N,荷物,پېټی
372,Gang::N,歩み,تګ
373,Schritt::N,歩,ګام
374,Norden::N,北,شمال
375,Süden::N,南,سوېل
376,Westen::N,西,لوېدېځ
377,Osten::N,東,شرق
378,Osten::N,東,ختیځ
379,Holz::N,木,لرګی
380,Holz::N,木材,لرګی
381,Brett::N,板,تخته
382,Platte::N,盤,تخته
383,Stütze::N,支柱,تکیوان
384,Stange::N,棒,ډاګه
385,Stock::N,杖,لرګی
386,Stab::N,棒,چيخله
387,Rohr::N,管,نل
388,Haus::N,家,کور
389,Heim::N,家,کور
390,Ofen::N,ストーブ,تودنۍ
391,Fußboden::N,床,غولی
392,Tisch::N,机,مېز
393,Stuhl::N,椅子,چوکۍ
394,Wiege::N,揺籃,زانګو
395,Bett::N,ベッド,کټ
396,Bett::N,ベッド,چپرکټ
397,Regal::N,棚,تاخچۍ
398,Kiste::N,箱,صندوق
399,Fenster::N,窓,کړکۍ
400,Tür::N,戸,دروازه
401,Tür::N,ドア,دروازه
402,Tor::N,門,دروازه
403,Zaun::N,垣根,کټاره
404,Dach::N,屋根,بام
405,Leiter::N,梯子,زينه
406,Besen::N,ほうき,جارو
407,Spaten::N,スコップ,یوم
408,Schaufel::N,シャベル,بېلچه
409,Gabel::N,フォーク,پنجه
410,Löffel::N,スプーン,کاشوغه
411,Messer::N,ナイフ,چاقو
412,Nagel::N,釘,ميخ
413,Netz::N,網,جال
414,Haken::N,鉤,څنګک
415,Haken::N,フック,څنګک
416,Griff::N,取っ手,لاستی
417,Schloss::N,錠,کلپ
418,Bild::N,絵,رسم
419,Figur::N,像,قدوقامت
420,Puppe::N,人形,ګوډۍ
421,Beutel::N,袋,کڅوړه
422,Bündel::N,束,دسته
423,Bündel::N,包み,دسته
424,Tasche::N,かばん,بکس
425,Tasche::N,かばん,توبره
426,Eimer::N,バケツ,سطل
427,Deckel::N,蓋,سرپوښ
428,Geschirr::N,食器,لوښی
429,Sack::N,袋,جوال
430,Tasse::N,カップ,پیاله
431,Topf::N,鍋,دېګی
432,Kessel::N,釜,دېګ
433,Essen::N,食事,خوراک
434,Nahrung::N,食物,خوراک
435,Speise::N,料理,خواړه
436,Fleisch::N,肉,غوښه
437,Getreide::N,麦,غله
438,Getreide::N,穀物,غله
439,Brei::N,粥,اوګره
440,Brot::N,パン,ډوډۍ
441,Scheibe::N,枚,مړۍ
442,Scheibe::N,切れ,مړۍ
443,Fett::N,脂肪,غوړي
444,Butter::N,バター,کوچ
445,Öl::N,油,تېل
446,Salz::N,塩,مالګه
447,Suppe::N,スープ,شوربا
448,Honig::N,蜂蜜,شات
449,Milch::N,牛乳,شوده
450,Tee::N,茶,چای
451,Tee::N,お茶,چای
452,Leder::N,革,څرمن
453,Wolle::N,毛糸,پشم
454,Stoff::N,布,ټوټه
455,Nadel::N,針,ستن
456,Faden::N,糸,تار
457,Knopf::N,ボタン,تڼۍ
458,Knopf::N,ボタン,تکمه
459,Knoten::N,結び目,غوټه
460,Farbe::N,ペンキ,رنګ
461,Kleidung::N,衣服,کالي
462,Hemd::N,シャツ,کميس
463,Kragen::N,襟,غاړه
464,Ärmel::N,袖,لستوڼی
465,Hose::N,ズボン,پطلون
466,Gürtel::N,帯,کمربند
467,Gürtel::N,ベルト,کمربند
468,Mütze::N,帽子,خولۍ
469,Schuh::N,靴,بوټ
470,Stiefel::N,ブーツ,موزه
471,Ring::N,輪,ګوته
472,Band::N,リボン,فيته
473,Kamm::N,櫛,ګمنځ
474,Spiegel::N,鏡,ایینه
475,Spiegel::N,鏡,هنداره
476,Riemen::N,緒,تسمه
477,Schnur::N,紐,مزی
478,Leine::N,綱,رسۍ
479,Decke::N,掛け布団,بړستن
480,Kissen::N,枕,بالښت
481,Tuch::N,スカーフ,ټیکری
482,Handtuch::N,タオル,دسمال
483,Kraft::N,力,زور
484,Kraft::N,力,توان
485,Stärke::N,強さ,قوت
486,Gesundheit::N,健康,صحت
487,Gesundheit::N,健康,روغتیا
488,Krankheit::N,病気,مرض
489,Krankheit::N,病気,ناروغي
490,Schmerz::N,痛み,درد
491,Wunde::N,傷,ټپ
492,Wunde::N,傷,زخم
493,Fieber::N,熱,تبه
494,Arznei::N,薬,دوا
495,Arznei::N,薬,دارو
496,Brücke::N,橋,پول
497,Brunnen::N,井戸,څاه
498,Brunnen::N,井戸,کوهی
499,Weide::N,牧場,وله
500,Pfad::N,小路,تړه
501,Weg::N,道,لیار
502,Straße::N,街道,سړک
503,Dorf::N,村,کلی
504,Stadt::N,町,ښار
505,Stadt::N,都市,ښار
506,Brief::N,手紙,لیک
507,Brief::N,手紙,مکتوب
508,Buch::N,本,کتاب
509,Buchstabe::N,文字,حرف
510,Buchstabe::N,文字,توری
511,Zeitung::N,新聞,اخبار
512,Leben::N,生活,ژوند
513,Tod::N,死,مرګ
514,Tod::N,死,مړینه
515,Grab::N,墓,قبر
516,Grab::N,墓,ډورۍ
517,Kirche::N,教会,کلیسا
518,Sünde::N,罪,ګناه
519,Gott::N,神,خدای
520,Arbeiter::N,労働者,کاریګر
521,Chef::N,上司,آمر
522,Meister::N,達人,استاد
523,Meister::N,マイスター,استاد
524,Arzt::N,医者,طبیب
525,Arzt::N,医者,ډاکټر
526,Lehrer::N,先生,معلم
527,Lehrer::N,先生,ښوونکی
528,Geld::N,金,پیسې
529,Geschäft::N,取り引き,سوداګري
530,Laden::N,店,دکان
531,Laden::N,店,مغازه
532,Preis::N,値段,بیه
533,Ware::N,商品,مال
534,Nutzen::N,利益,ګټه
535,Reichtum::N,豊かさ,شتمني
536,Welt::N,世界,نړۍ
537,Welt::N,世界,دنیا
538,Land::N,国,هېواد
539,Staat::N,国家,دولت
540,König::N,国王,باچا
541,König::N,国王,پادشاه
542,Macht::N,権力,قدرت
543,Grenze::N,国境,حد
544,Grenze::N,国境,سرحد
545,Krieg::N,戦争,جګړه
546,Feind::N,敵,دښمن
547,Gewalt::N,暴力,زور
548,Gewalt::N,暴力,تشدد
549,Kampf::N,戦い,جنګ
550,Kampf::N,戦い,مبارزه
551,Bogen[Waffe]::N,弓,لیندۍ
552,Pfeil::N,矢,غشی
553,Gewehr::N,銃,ټوپک
554,Fehler::N,間違い,خطا
555,Fehler::N,間違い,غلطي
556,Lüge::N,嘘,دروغ
557,Schaden::N,損害,زیان
558,Schaden::N,損害,تاوان
559,Unglück::N,不幸,بدبختي
560,Schuld::N,罪,ګناه
561,Alter::N,年,منګ
562,Alter::N,年齢,منګ
563,Schluss::N,終わり,اخر
564,Zeit::N,時,وخت
565,Zeit::N,時間,وخت
566,Tag::N,日,ورځ
567,Morgen::N,朝,سبا
568,Morgen::N,朝,سهار
569,Mittag::N,昼,غرمه
570,Abend::N,晩,ماښام
571,Abend::N,夕方,ماښام
572,Nacht::N,夜,شپه
573,Woche::N,週,اونۍ
574,Monat::N,月,مياشت
575,Jahr::N,年,کال
576,Frühling::N,春,پسرلی
577,Sommer::N,夏,دوبی
578,Herbst::N,秋,منی
579,Herbst::N,秋,خزان
580,Winter::N,冬,ژمی
581,Januar::N,一月,جنوري
582,Februar::N,二月,فبروري
583,März::N,三月,مارچ
584,April::N,四月,اپریل
585,Mai::N,五月,مې
586,Juni::N,六月,جون
587,Juli::N,七月,جولای
588,August::N,八月,اګست
589,September::N,九月,سپټامبر
590,Oktober::N,十月,اکتوبر
591,November::N,十一月,نومبر
592,Dezember::N,十二月,دسمبر
593,Montag::N,月曜日,دوشنبه
594,Dienstag::N,火曜日,سه شنبه
595,Mittwoch::N,水曜日,چارشنبه
596,Donnerstag::N,木曜日,پنجشنبه
597,Freitag::N,金曜日,جمعه
598,Samstag::N,土曜日,خالي
599,Sonntag::N,日曜日,یکشنبه
600,groß::A,大きい,لوی
601,klein::A,小さい,وړوکی
602,lang::A,長い,اوړد
603,kurz::A,短い,لنډ
604,breit::A,広い,پراخه
605,schmal::A,狭い,تنګ
606,dicht::A,密な,ګڼ
607,dick[Gegenstand]::A,厚い,پنډ
608,dünn::A,薄い,نری
609,fein::A,細い,نازک
610,fest::A,硬い,کلک
611,fest::A,硬い,ټینګ
612,flach::A,平らな,هوار
613,glatt::A,滑らかな,ښوی
614,hart::A,堅い,کلک
615,weich::A,柔らかい,نرم
616,weich::A,柔らかい,پوست
617,rund::A,丸い,ګرد
618,spitz::A,尖った,تېره
619,scharf::A,鋭い,تېز
620,scharf::A,鋭い,تېره
621,stumpf::A,鈍い,پڅ
622,schwer::A,重い,دروند
623,schön::A,綺麗な,ښکلی
624,heiß::A,熱い,تود
625,warm::A,温かい,تود
626,kalt::A,寒い,ېخ
627,kalt::A,寒い,سوړ
628,kalt::A,冷たい,ېخ
629,kalt::A,冷たい,سوړ
630,kühl::A,涼しい,ېخ
631,kühl::A,涼しい,سوړ
632,frisch::A,ひんやりした,تازه
633,feucht::A,湿った,مرطوب
634,nass::A,濡れた,لوند
635,trocken::A,乾いた,وچ
636,voll::A,いっぱいの,ډک
637,leer::A,空の,خالی
638,offen::A,開いた,خلاص
639,offen::A,開いた,پرانیستی
640,geschlossen::A,閉まった,تړلی
641,sauber::A,清潔な,پاک
642,schmutzig::A,汚い,چټل
643,roh::A,生の,خام
644,reif::A,熟した,پوخ
645,reif::A,熟した,رسېدلی
646,lecker::A,美味しい,خوندور
647,lecker::A,美味しい,مزه دار
648,süß::A,甘い,خوږ
649,süß::A,甘い,شیرین
650,bitter::A,苦い,تریخ
651,sauer::A,酸っぱい,ټاک
652,sauer::A,酸っぱい,تريو
653,hell::A,明るい,روڼ
654,hell::A,明るい,روښان
655,dunkel::A,暗い,تیاره
656,schwarz::A,黒い,تور
657,weiß::A,白い,سپين
658,rot::A,赤い,سور
659,gelb::A,黄色い,زېړ
660,blau::A,青い,شین
661,blau::A,青い,اسماني رنګه
662,grün::A,緑の,زرغون
663,grau::A,灰色の,خړ
664,bunt::A,色取り取りの,رنګارنګ
665,billig::A,安い,ارزان
666,teuer::A,高い,ګران
667,wertvoll::A,貴重な,قیمتي
668,blind::A,盲目の,ړوند
669,taub::A,耳が聞こえない,کوڼ
670,kräftig::A,強力な,قوی
671,stark::A,強い,قوی
672,stark::A,強い,تکړه
673,schwach::A,弱い,ضعیف
674,schwach::A,弱い,کمزوری
675,fett::A,太った,چاغ
676,schlank::A,ほっそりした,خوش اندام
677,hübsch::A,素敵な,ښکلی
678,hübsch::A,素敵な,ښایسته
679,böse::A,悪い,شریر
680,böse::A,悪い,قهرناک
681,dumm::A,馬鹿な,احمق
682,faul::A,怠惰な,لټ
683,faul::A,怠惰な,تنبل
684,fleißig::A,勤勉な,زحمت کښ
685,geizig::A,けちな,بخیل
686,klug::A,賢い,عاقل
687,klug::A,賢い,هوښیار
688,klug::A,頭のいい,عاقل
689,klug::A,頭のいい,هوښیار
690,geschickt::A,器用な,ماهر
691,lieb::A,愛らしい,عزیز
692,lieb::A,愛らしい,محبوب
693,lustig::A,楽しい,خوشحال
694,sanft::A,温和な,پوست
695,sanft::A,温和な,ملایم
696,hungrig::A,空腹の,وږی
697,krank::A,病気の,مريض
698,krank::A,病気の,ناروغ
699,nackt::A,裸の,لوڅ
700,traurig::A,悲しい,غمجن
701,lebendig::A,生きた,ژوندی
702,gut::A,良い,ښه
703,schlecht::A,悪い,بد
704,schlecht::A,悪い,خراب
705,schlecht::A,駄目な,بد
706,schlecht::A,駄目な,خراب
707,richtig::A,正しい,سم
708,richtig::A,正しい,صحیح
709,schlimm::A,ひどい,بد
710,schlimm::A,ひどい,مخوف
711,wahr::A,本当の,واقعي
712,alt::A,古い,زوړ
713,neu::A,新しい,نوی
714,ehemalig::A,以前の,پخوانی
715,alt[Lebewesen]::A,年を取った,زوړ
716,jung::A,若い,ځوان
717,arm::A,貧乏な,غریب
718,arm::A,貧乏な,بې وزله
719,reich::A,裕福な,شتمن
720,reich::A,裕福な,دولتمند
721,bekannt::A,有名な,اشنا
722,berühmt::A,有名な,مشهور
723,fremd::A,見知らぬ,پردی
724,fremd::A,見知らぬ,بېګانه
725,verschieden::A,色々な,مختلف
726,nah::A,近い,نژدې
727,fern::A,遠い,لیری
728,linker::A,左の,چپ
729,linker::A,左の,کیڼ
730,rechter::A,右の,ښی
731,anderer::A,別の,بل
732,erster::A,一番目,لومړی
733,zweiter::A,二番目,دوهم
734,dritter::A,三番目,درېم
735,letzter::A,最後の,آخرنی
736,letzter::A,最後の,وروستی
737,allein::ADV,一人で,یوازې
738,auf einmal::ADV,同時に,په یوه وخت کی
739,zusammen::ADV,一緒に,یو ځای
740,lange::ADV,長い間,ډېر وخت
741,lange::ADV,長い間,ډېره موده
742,plötzlich::ADV,急に,ناببره
743,plötzlich::ADV,急に,یوناڅاپه
744,sofort::ADV,すぐに,فوراً
745,sofort::ADV,すぐに,سمدلاسه
746,später::ADV,後で,وروسته
747,jetzt::ADV,今,اوس
748,heute::ADV,今日,نن
749,morgen::ADV,明日,سبا
750,bald::ADV,間もなく,ژر
751,dann::ADV,それから,پس
752,dann::ADV,それから,وروسته
753,gestern::ADV,昨日,پرون
754,einst::ADV,過去に,پخوا
755,damals::ADV,あの時,هغه وخت
756,danach::ADV,その後で,بیا
757,vorher::ADV,以前に,دمخه
758,zuerst::ADV,まず,لومړی
759,zuerst::ADV,最初に,لومړی
760,einmal::ADV,一回,یو ځل
761,manchmal::ADV,時々,ګاهی ګاهی
762,oft::ADV,よく,ډېر ځله
763,immer::ADV,いつも,تل
764,immer::ADV,いつも,همېشه
765,niemals::ADV,一度も...ない,هیڅکله نه
766,hier::ADV,こちら,دلته
767,hierhin::ADV,ここへ,دلته
768,hierhin::ADV,ここへ,دې ځای ته
769,hierhin::ADV,こちらへ,دلته
770,hierhin::ADV,こちらへ,دې ځای ته
771,von hier::ADV,ここから,د دې ځای نه
772,dort::ADV,そちら,هلته
773,dorthin::ADV,そこへ,هلته
774,dorthin::ADV,そこへ,هغه ځای ته
775,dorthin::ADV,そちらへ,هلته
776,dorthin::ADV,そちらへ,هغه ځای ته
777,geradeaus::ADV,真っ直ぐに,مخامخ
778,vorwärts::ADV,前へ,مخ پهٔ وړاندې
779,rückwärts::ADV,後ろへ,بېرته
780,zurück::ADV,後ろへ,بېرته
781,unten::ADV,下に,لاندي
782,hinab::ADV,下へ,ښکته
783,oben::ADV,上に,پورته
784,hinauf::ADV,上へ,پاس
785,überall::ADV,どこでも,هره خوا
786,nicht::ADV,ない,نه
787,ein wenig::ADV,少し,یو څه
788,ein wenig::ADV,ちょっと,یو څه
789,kaum::ADV,ほとんど～ない,ایله
790,sehr::ADV,とても,ډېر
791,sehr::ADV,とても,زيات
792,so::ADV,こう,داسې
793,so::ADV,こう,دومره
794,noch::ADV,まだ,نور
795,nur::ADV,～だけ,تش
796,nur::ADV,～だけ,صرف
797,schon::ADV,もう,دمخه
798,wieder::ADV,再び,بیا
799,vergebens::ADV,無駄に,عبث
800,vor::PRP,前に,دمخه
801,hinter::PRP,後ろに,شاته
802,unter::PRP,下に,لاندي
803,durch::PRP,通して,د مینځ نه
804,neben::PRP,横に,نژدې
805,zwischen::PRP,間に,ترمینځ
806,wegen::PRP,為に,د ... له لاسه
807,wegen::PRP,せいで,د ... له لاسه
808,dies::PRN,これ,دا
809,das::PRN,それ,دا
810,alles::PRN,全部,هرڅهٔ
811,ich::PRN,私,زه
