,Concept_ID,kl,cv
52,Atem::N,anerneq,сывлав
53,Hunger::N,kaanneq,выҫлӑх
54,Träne::N,qia,куҫҫуль
55,Träne::N,qiak,куҫҫуль
56,Geschmack::N,qilanaartuut,техӗм
57,Geruch::N,tipi,шӑршӑ
58,Geruch::N,tipik,шӑршӑ
59,Traum::N,sinnattoq,тӗлӗк
60,Traum::N,sinnattugaq,тӗлӗк
61,Himmel::N,qilak,пӗлӗт
62,Sonne::N,seqineq,хӗвел
63,Mond::N,qaammat,уйӑх
64,Stern::N,ulloriaq,ҫӑлтӑр
65,Luft::N,silaannaq,сывлӑш
66,Wind::N,anori,ҫил
67,Wind::N,anorsarik,ҫил
68,Welle::N,aalappaa,хум
69,Wasser::N,imeq,шыв
70,Wasser::N,imeq,шыв-шур
71,Stein::N,ujarak,чул
72,Boden::N,nateq,тӑпра
73,Erde::N,issoq,ҫӗр
74,Staub::N,pujualanerit,тусан
75,Staub::N,pujoralanerit,тусан
76,Rauch::N,iseq,тӗтӗм
77,Rauch::N,pujoq,тӗтӗм
78,Funke::N,illoorneq,хӗм
79,Feuer::N,inneq,вут
80,Feuer::N,inneq,ҫулӑм
81,Licht::N,qaamaneq,ҫутӑ
82,Schatten::N,tarraq,сулхӑн
83,Wetter::N,sila,ҫанталӑк
84,Nebel::N,pujoq,тӗтре
85,Wolke::N,nuia,пӗлӗт
86,Regen::N,sialuk,ҫумӑр
87,Schnee::N,aput,юр
88,Eis::N,siku,пӑр
89,Frost::N,issi,сивӗ
90,Frost::N,issik,сивӗ
91,Kälte::N,issi,сивӗ
92,Hitze::N,kianneq,вӗри
93,Hitze::N,kianneq,шӑрӑх
94,Hitze::N,kiassuseq,вӗри
95,Hitze::N,kiassuseq,шӑрӑх
96,Raureif::N,kaneq,пас
97,Regenbogen::N,neriusaaq,асамат кӗперӗ
98,Donner::N,kalleq,аслати
99,Tropfen::N,kuseriarneq,тумлам
100,Schaum::N,qapuk,кӑпӑк
101,Schmutz::N,minguk,пылчӑк
102,See::N,taseq,кӳлӗ
103,Sumpf::N,maqulluk,шур
104,Sumpf::N,maqulluk,шурлӑх
105,Wiese::N,masarsuk,улӑх
106,Wiese::N,masarsuk,ҫаран
107,Hügel::N,qattuneq,сӑрт
108,Hügel::N,qattuneq,тӗмеске
109,Hügel::N,majuariaq,сӑрт
110,Hügel::N,majuariaq,тӗмеске
111,Hügel::N,majorajaaq,сӑрт
112,Hügel::N,majorajaaq,тӗмеске
113,Hügel::N,qaqqannguaq,сӑрт
114,Hügel::N,qaqqannguaq,тӗмеске
115,Berg::N,qaqqaq,ту
116,Höhle::N,qaarusuk,ҫӗр хӑвӑлӗ
117,Abhang::N,ippik,тӑвайкки
118,Abhang::N,sivinganeq,тӑвайкки
119,Abhang::N,sivingajaaq,тӑвайкки
120,Abhang::N,kussangajaaq,тӑвайкки
121,Bach::N,kuunnguaq,пӗчӗк шыв
122,Fluss::N,kuuk,юхан шыв
123,Ufer::N,sissap sinaa,ҫыран
124,Küste::N,sineriak,тинӗс ҫыранӗ
125,Meer::N,imaq,тинӗс
126,Bucht::N,ikeq,тинӗс кукӑрӗ
127,Bucht::N,kangerluk,тинӗс кукӑрӗ
128,Bucht::N,kangerliumaneq,тинӗс кукӑрӗ
129,Insel::N,qeqertaq,утрав
130,Blume::N,naasoq,чечек
131,Gras::N,ivigaq,курӑк
132,Wurzel::N,niulutaq,тымар
133,Baum::N,orpik,йывӑҫ
134,Stamm::N,kanaartaq,вулӑ
135,Rinde::N,ameraq,хуйӑр
136,Ast::N,avalequt,турат
137,Zweig::N,avalequt,турат
138,Blatt::N,pilutaq,ҫулҫӑ
139,Birke::N,patitsit,хурӑн
140,Weide[Baum]::N,palleq,хӑва
141,Tanne::N,orsuerneq,чӑрӑш
142,Horn::N,nassuk,мӑйрака
143,Feder::N,suluk,тӗк
144,Fell::N,ameq,ҫӑм
145,Flügel::N,suluk,ҫунат
146,Flügel::N,isaroq,ҫунат
147,Klaue::N,kukik,чӗрне
148,Kralle::N,kukik,ура
149,Schwanz::N,pamioq,хӳре
150,Schwanz::N,paperuusaq,хӳре
151,Ei::N,mannik,ҫӑмарта
152,Nest::N,ullut,йӑва
153,Bau::N,ini,йӗнӗ
154,Tier::N,uumasoq,выльӑх
155,Herde::N,unguukkat,кӗтӳ
156,Kuh::N,ussik,ӗне
157,Bulle::N,angukulak,вӑкӑр
158,Bulle::N,anguteralak,вӑкӑр
159,Bulle::N,angutikulooq,вӑкӑр
160,Schaf::N,sava,сурӑх
161,Schwein::N,puuluki,сысна
162,Hund::N,qimmeq,йытӑ
163,Katze::N,puisaaq,кушак
164,Bär::N,allaq,упа
165,Eichhörnchen::N,sissinnguaq,пакша
166,Fuchs::N,terianniaq,тилӗ
167,Hase::N,ukaleq,куян
168,Hase::N,ukaleq,мулкач
169,Maus::N,teriannguaq,шӑши
170,Wolf::N,amaroq,кашкӑр
171,Vogel::N,timmiaq,кайӑк
172,Vogel::N,timmiaq,вӗҫен кайӑк
173,Huhn::N,kukkukooq,чӑх
174,Huhn::N,kukkukooq,чӑхӑ
175,Huhn::N,marloraaqaaq,чӑх
176,Huhn::N,marloraaqaaq,чӑхӑ
177,Hahn::N,kiasiusaq,автан
178,Gans::N,nerleq,хур
179,Adler::N,nattoralik,ӑмӑрт кайӑк
180,Eule::N,uppik,тӑмана
181,Kranich::N,qorlorfik,тӑрна
182,Krähe::N,tuluatsiaq,ула курак
183,Kuckuck::N,kukkooq,куккук
184,Schwan::N,qussuk,акӑш
185,Fisch::N,aalisagaq,пулӑ
186,Schlange[Tier]::N,pulateriarsuk,ҫӗлен
187,Schlange[Tier]::N,pulateriaarsuk,ҫӗлен
188,Spinne::N,aasiaq,эрешмен
189,Spinne::N,nissavaarsuk,эрешмен
190,Ameise::N,uniaaluk,кӑткӑ
191,Laus::N,kumak,пыйтӑ
192,Mücke::N,ippernaq,вӑрӑм туна
193,Fliege::N,ippernaq,шӑна
194,Schmetterling::N,paluaq,лӗпӗш
195,Schmetterling::N,pakkaluaq,лӗпӗш
196,Schmetterling::N,utsuppaluaq,лӗпӗш
197,Schmetterling::N,taqaleqisaaq,лӗпӗш
198,Beere::N,paarmaq,ҫырла
199,Beere::N,paarngaq,ҫырла
200,Apfel::N,iipili,улма
201,Apfel::N,iipili,пан улми
202,Pilz::N,anngiusaq,кӑмпа
203,Zwiebel::N,uanitsoq,сухан
204,Saat::N,naatsiiassaq,вӑрӑ
205,Korn::N,maannineq,тӗшӗ
206,Korn::N,maannineq,пӗрчӗ
207,Schale::N,niutsivik,хупӑ
208,Schale::N,ilulissaq qaartussaq,хупӑ
209,Grube::N,itersaq,шӑтӑк
210,Falle::N,pualavoq,тапӑ
211,Falle::N,pualavoq,капкӑн
212,Schlinge::N,orseq,йӑлӑ
213,Schlinge::N,norloq,йӑлӑ
214,Spur::N,tumaa,йӗр
215,Asche::N,arsat,кӗл
216,Dreck::N,minguk,пылчӑк
217,Eisen::N,savimineq,тимӗр
218,Eisen::N,saffiugassaq,тимӗр
219,Gold::N,kuulti,ылтӑн
220,Silber::N,siilviuvoq,кӗмӗл
221,Kohle::N,aamarsuit aamaruutissat,кӑмрӑк
222,Glas::N,igalaaq,кӗленче
223,Glas::N,imertarfik,кӗленче
224,Glas::N,igalaamineq,кӗленче
225,Lehm::N,marraq,тӑм
226,Sand::N,sioqqat,хӑйӑр
227,Mensch::N,inuk,ҫын
228,Mensch::N,inuk,этем
229,Mensch::N,silamiu,ҫын
230,Mensch::N,silamiu,этем
231,Mann::N,angut,ар
232,Frau::N,arnaq,хӗрарӑм
233,Kind::N,meeraq,ача
234,Junge::N,nukappiaraq,ача
235,Junge::N,nukappiaraq,ар ҫын ача
236,Mädchen::N,arnannguaq,хӗр ача
237,Familie::N,ilaqutakka,ҫемье
238,Familie::N,ilaqutakka,кил-йыш
239,Familie::N,ilaqutariit,ҫемье
240,Familie::N,ilaqutariit,кил-йыш
241,Großvater::N,aatak,кукаҫи
242,Großmutter::N,aanaq,кукамай
243,Eltern::N,angajoqqaat,аҫа-ама
244,Vater::N,ataata,атте
245,Vater::N,ataataq,атте
246,Mutter::N,anaana,анне
247,Sohn::N,erneq,ывӑл
248,Tochter::N,panik,хӗр
249,Bruder::N,ani,ар тӑван
250,Bruder::N,aqqaluk,ар тӑван
251,Bruder::N,qatanngut,ар тӑван
252,Schwester::N,naja,аппа
253,Schwester::N,naja,йӑмӑк
254,Schwester::N,aleqa,аппа
255,Schwester::N,aleqa,йӑмӑк
256,Schwester::N,qatanngut,аппа
257,Schwester::N,qatanngut,йӑмӑк
258,Onkel::N,akkak,мучи
259,Onkel::N,akkak,пичче
260,Tante::N,aja,аппа
261,Tante::N,ajak,аппа
262,Tante::N,atsak,аппа
263,Ehemann::N,ui,упӑшка
264,Ehefrau::N,nuliaq,арӑм
265,Freude::N,tipaatsussuseq,савӑнӑҫ
266,Freude::N,tipaatsussuseq,хаваслӑх
267,Gelächter::N,illaq,кулӑ
268,Glück::N,usornaat,телей
269,Glück::N,usornaat,ӑраскал
270,Glück::N,usornarsuseq,телей
271,Glück::N,usornarsuseq,ӑраскал
272,Wunsch::N,kissaat,ӗмӗт
273,Wunsch::N,kissaat,кӑмӑл
274,Lust::N,illigussuseq,кӑмӑл
275,Lust::N,piummaseq,кӑмӑл
276,Geist::N,anerneq,чун-чӗм
277,Geist::N,anerneq,ыр-усал
278,Geist::N,anerneq,чун хавалӗ
279,Geist::N,toornaq,чун-чӗм
280,Geist::N,toornaq,ыр-усал
281,Geist::N,toornaq,чун хавалӗ
282,Gedanke::N,isumassaq,шухӑш
283,Gedächtnis::N,eqqaamannissuseq,ас
284,Verstand::N,isuma,ӑс
285,Verstand::N,isuma,ӑс-тӑн
286,Verstand::N,isuma,ӑс-хакӑл
287,Verstand::N,sianissut,ӑс
288,Verstand::N,sianissut,ӑс-тӑн
289,Verstand::N,sianissut,ӑс-хакӑл
290,Verstand::N,misigissut,ӑс
291,Verstand::N,misigissut,ӑс-тӑн
292,Verstand::N,misigissut,ӑс-хакӑл
293,Verstand::N,sianissuseq,ӑс
294,Verstand::N,sianissuseq,ӑс-тӑн
295,Verstand::N,sianissuseq,ӑс-хакӑл
296,Verstand::N,silaqassuseq,ӑс
297,Verstand::N,silaqassuseq,ӑс-тӑн
298,Verstand::N,silaqassuseq,ӑс-хакӑл
299,Sinn::N,isuma,тупсӑм
300,Sinn::N,isuma,пӗлтерӗш
301,Grund::N,patsit,сӑлтав
302,Wahrheit::N,sallusuissut,чӑнлӑх
303,Märchen::N,oqalualaarut,юмах
304,Märchen::N,oqaluasaaq,юмах
305,Erzählung::N,oqaluttuaq,акалав
306,Erzählung::N,oqaluttuaq,каласа пани
307,Nachricht::N,oqaassut,хыпар
308,Nachricht::N,oqqersuut,хыпар
309,Neuigkeit::N,tusarnartaq,ҫӗнӗ хыпар
310,Name::N,ateq,ят
311,Rätsel::N,nalorsitsaarut,сутмалли юмах
312,Rede::N,oqaluuseq,сӑмах
313,Sprache::N,oqaatsit,чӗлхе
314,Stimme::N,erinaq,сасӑ
315,Stimme::N,qarluuseq,сасӑ
316,Wort::N,oqaasii,сӑмах
317,Zeichen::N,nalunaaqqut,паллӑ
318,Ruf::N,qaaqqussut,йыхрав
319,Ruf::N,qaaqqussut,чӗнӳ
320,Lärm::N,perpaluk,шав
321,Laut::N,torsukattak,сасӑ
322,Ton::N,erinaq,сасӑ
323,Lied::N,taalliaq,юрӑ
324,Lied::N,erinarsuut,юрӑ
325,Ruhe::N,qatsunganeq,канӑҫлӑх
326,Ruhe::N,qatsunganeq,лӑпкӑлӑх
327,Leute::N,inuiak,ҫамрӑксем
328,Leute::N,inuiak,ҫамрӑк ҫынсем
329,Leute::N,inuiaqatigiit,ҫамрӑксем
330,Leute::N,inuiaqatigiit,ҫамрӑк ҫынсем
331,Volk::N,inuiaat,халӑх
332,Arbeit::N,suliaq,ӗҫхӗл
333,Arbeit::N,suliaq,ӗҫлев
334,Gast::N,qaaqqusaq,хӑна
335,Geschenk::N,pajugut,парне
336,Geschenk::N,pajugut,кучченеҫ
337,Hilfe::N,annertoqqut,пулӑшу
338,Freund::N,tiliaq,тус
339,Freund::N,ikinngut,тус
340,Kamerad::N,tiliaq,юлташ
341,Kamerad::N,tiliaq,тус
342,Kamerad::N,ikinngut,юлташ
343,Kamerad::N,ikinngut,тус
344,Art::N,ileqquuseq,тӗс
345,Stück::N,nakkaalaniku,татӑк
346,Teil::N,tassiaasat,пай
347,Hälfte::N,affaq,ҫурӑ
348,Kreis::N,kaajaluinneq or kaajaluitsoq,ункӑ
349,Kreis::N,kaajaluinneq or kaajaluitsoq,ҫавракӑш
350,Kreuz::N,sanningasulik,хӗрес
351,Linie::N,tittaq,йӗр
352,Linie::N,titarneq,йӗр
353,Abstand::N,aku,хушӑ
354,Abstand::N,ikiaq,хушӑ
355,Entfernung::N,asi,хушӑ
356,Gegend::N,nuna,вырӑн
357,Platz::N,ini,хутлӑх
358,Platz::N,inissaq,хутлӑх
359,Ort::N,sumiiffik,вырӑн
360,Seite::N,saneraq,ен
361,Seite::N,saneraq,аяк
362,Seite::N,saneraq,айӑк
363,Mitte::N,qiteq,варӑ
364,Sache::N,pigisaq,япала
365,Rand::N,sini,вӗҫ
366,Rand::N,sini,хӗрӗ
367,Rand::N,sini,хӗрри
368,Rand::N,akerfineq,вӗҫ
369,Rand::N,akerfineq,хӗрӗ
370,Rand::N,akerfineq,хӗрри
371,Kante::N,akerfineq,хайкача
372,Kante::N,akerfineq,хысак
373,Ecke::N,teqeqqoq,кӗтес
374,Ecke::N,tikeqqoq,кӗтес
375,Spitze::N,inngik,вӗҫ
376,Ende::N,isu,вӗҫ
377,Loch::N,putu,шӑтӑк
378,Winkel::N,teqeqqorissaat,кӗтес
379,Muster::N,ilisserut,эреш
380,Größe::N,angissuseq,пысӑкӑш
381,Länge::N,takissuseq,вӑрӑмӑш
382,Gewicht::N,oqimaalutaq,виҫе
383,Gewicht::N,oqimaalutaq,йывӑрӑш
384,Menge::N,amerlassuseq,йыш
385,Haufen::N,eqimattat,купа
386,Reihe::N,allunaasaq,рет
387,Boot::N,qajaq,кимӗ
388,Boot::N,angallat,кимӗ
389,Boot::N,umiatsiaq,кимӗ
390,Ruder::N,iput,кӗсмен
391,Schlitten::N,qamutit,ҫуна
392,Schlitten::N,qimusseq,ҫуна
393,Ski::N,ataarut,йӗлтӗр
394,Last::N,nammagaq,сулмаклӑх
395,Last::N,nammagaq,йывӑр япала
396,Schritt::N,allorneq,утӑм
397,Schritt::N,allorneq,пусӑм
398,Norden::N,avannaq,ҫурҫӗр
399,Süden::N,qava,кӑнтӑр
400,Süden::N,kujat,кӑнтӑр
401,Süden::N,kujataa,кӑнтӑр
402,Westen::N,kitaa,анӑҫ
403,Westen::N,kitaa,хӗвел анӑҫ
404,Osten::N,kangi,хӗвел тухӑҫ
405,Holz::N,qisuk,йывӑҫ
406,Brett::N,salliligaq,хӑма
407,Platte::N,qaateq,плита
408,Stütze::N,ajagutaq,ура
409,Stütze::N,ajaagutaq,ура
410,Stange::N,kaaviffik,шерте
411,Stock::N,ajaappissat,патак
412,Stab::N,ajaappissat,шӑчӑ
413,Rohr::N,sullulik,пӑрӑх
414,Haus::N,illu,ҫурт
415,Ofen::N,kissarsuut,кӑмака
416,Fußboden::N,nateq,урай
417,Tisch::N,allattarfik,сӗтел
418,Stuhl::N,issiavik,пукан
419,Stuhl::N,issiaffik,пукан
420,Wiege::N,uaasoq,сӑпка
421,Bett::N,nallavik,кравать
422,Regal::N,ilisivik,ҫӳлӗк
423,Regal::N,ilisivik,сентре
424,Kiste::N,sakissat,ещӗк
425,Kiste::N,sakissat,сунтӑх
426,Kiste::N,illerfiusaq,ещӗк
427,Kiste::N,illerfiusaq,сунтӑх
428,Fenster::N,aki,чӳрече
429,Fenster::N,igalaaq,чӳрече
430,Tür::N,matu,алӑк
431,Tor::N,isaaffik,хапха
432,Zaun::N,saputit,хӳме
433,Dach::N,qaliaq,тӑрӑ
434,Leiter::N,tummeqqat,пусма
435,Leiter::N,majuartarfiit,пусма
436,Besen::N,saligutit,шӑпӑр
437,Spaten::N,nivaataq,кӗреҫе
438,Schaufel::N,nivaataq,кӗреҫе
439,Gabel::N,qilluaq,вилка
440,Gabel::N,ajassaatit,вилка
441,Löffel::N,alussaat,кашӑк
442,Messer::N,savik,ҫӗҫӗ
443,Nagel::N,kukik,пӑта
444,Netz::N,anguffaseq,тетел
445,Haken::N,nissik,йӑрхах
446,Haken::N,nissik,ҫекӗл
447,Haken::N,qarsorsaq,йӑрхах
448,Haken::N,qarsorsaq,ҫекӗл
449,Haken::N,qarsorsartoq,йӑрхах
450,Haken::N,qarsorsartoq,ҫекӗл
451,Griff::N,ipi,хӑлӑп
452,Schloss::N,illussaarsuaq,ҫӑра
453,Bild::N,assiliaq,сӑн
454,Bild::N,assiliaq,сӑнлӑх
455,Bild::N,assiliaq,картина
456,Figur::N,kisitsit,кӗлетке
457,Puppe::N,inuusaq,пукане
458,Bündel::N,qilertaq,ҫыхӑ
459,Bündel::N,qilertaq,тӗрке
460,Tasche::N,pooqattaq,сумка
461,Deckel::N,matu,хупӑ
462,Geschirr::N,anut,савӑт-сапа
463,Tasse::N,tiitorfik,курка
464,Tasse::N,tiitorfiup ilorlia,курка
465,Topf::N,qoqqoq,кастрюль
466,Kessel::N,uunnaavik,хуран
467,Essen::N,igaaq,апат
468,Nahrung::N,neqissaq,апат-ҫимӗс
469,Speise::N,nerisassat,апат
470,Speise::N,nerisassat,ҫимӗҫ
471,Fleisch::N,neqi,аш
472,Fleisch::N,neqi,какай
473,Getreide::N,maannineq,тырӑ
474,Brot::N,iffit,ҫӑкӑр
475,Brot::N,iffiaq,ҫӑкӑр
476,Scheibe::N,igalaassiaq,чӗлӗ
477,Scheibe::N,igalaassiaq,касӑк
478,Fett::N,tarnutissaq,ҫу
479,Fett::N,tarnutissiaq,ҫу
480,Butter::N,punneq,ҫу
481,Öl::N,uulia,ҫу
482,Salz::N,taratsut,тӑвар
483,Suppe::N,qajoq,яшка
484,Honig::N,tungusunnitsuut,пыл
485,Milch::N,immuk,сӗт
486,Tee::N,tii,чей
487,Tee::N,teeq,чей
488,Wolle::N,nuersagassiaq,ҫӑм
489,Stoff::N,milliaq,тӗртӗм
490,Stoff::N,qarlissiaq,тӗртӗм
491,Nadel::N,meqqut,йӗп
492,Faden::N,ujalussiaq,ҫип
493,Knopf::N,attat,тӳме
494,Knoten::N,akeroq,йӑлӑ
495,Knoten::N,qilerneq,йӑлӑ
496,Farbe::N,qalipaat,сӑрӑ
497,Kleidung::N,atisat,тум
498,Kleidung::N,atisat,ҫипуҫ
499,Kleidung::N,atisat,тум-тир
500,Kleidung::N,annoraaq,тум
501,Kleidung::N,annoraaq,ҫипуҫ
502,Kleidung::N,annoraaq,тум-тир
503,Hemd::N,ilupaaq,кӗпе
504,Kragen::N,qungasiinnaq,ҫуха
505,Ärmel::N,aaq,ҫанӑ
506,Hose::N,qarliit,шӑлавар
507,Gürtel::N,qiterut,пиҫиххи
508,Gürtel::N,unngersaq,пиҫиххи
509,Mütze::N,nasaq,ҫӗлӗк
510,Schuh::N,skuu,пушмак
511,Schuh::N,skuu,ботинок
512,Schuh::N,ikernuk,пушмак
513,Schuh::N,ikernuk,ботинок
514,Schuh::N,ateraasaq,пушмак
515,Schuh::N,ateraasaq,ботинок
516,Stiefel::N,kamik,атӑ
517,Ring::N,assammiu,ҫӗрӗ
518,Band::N,qilerutissiaq,хаю
519,Band::N,qilerutissiaq,йӗсме
520,Kamm::N,illaagutit,тура
521,Kamm::N,illaajaatit pl.,тура
522,Spiegel::N,tarrarsuut,тӗкӗр
523,Spiegel::N,tarrarsuut,куҫ кӗски
524,Riemen::N,allunaaq,чӗн
525,Schnur::N,kujaaq,кантра
526,Schnur::N,allunaasaq,кантра
527,Leine::N,aleq,касмӑк
528,Decke::N,qipik,утиял
529,Kissen::N,akit,ҫытар
530,Kissen::N,akit,минтер
531,Tuch::N,qarlissiaq,тутӑр
532,Handtuch::N,allarut,ал шӑлли
533,Handtuch::N,allarterut,ал шӑлли
534,Kraft::N,pissak,вӑй
535,Kraft::N,pissak,хӑват
536,Stärke::N,qerattarsaat,хал
537,Stärke::N,qerattarsaat,хӑват
538,Gesundheit::N,peqqisusseq,хал
539,Gesundheit::N,peqqisusseq,сывлӑх
540,Krankheit::N,nappaat,чир
541,Schmerz::N,anniaat,ырату
542,Wunde::N,iki,суран
543,Fieber::N,nappaat qanimanartoq,сив чир
544,Arznei::N,imigassaq,эмел
545,Brücke::N,ikaartarfik,кӗпер
546,Brunnen::N,tissaluttuliaq,ҫӑл
547,Brunnen::N,tissaluttuliaq,пусӑ
548,Weide::N,masarsuk,ҫаран
549,Pfad::N,aqqut,йӗр
550,Pfad::N,aqqut,сукмак
551,Weg::N,aggerfik,ҫул
552,Weg::N,aggerfik,ҫул-йӗр
553,Straße::N,aqqusineq,ҫӳрев
554,Straße::N,aqqusineq,ҫул ҫӳрени
555,Dorf::N,nunaqarfik,ял
556,Stadt::N,illorpaat,хула
557,Stadt::N,illorpalik,хула
558,Brief::N,allagarsiaq,ҫыру
559,Buch::N,atuakkat,кӗнеке
560,Buch::N,mappersagaq,кӗнеке
561,Buchstabe::N,naqinneq,сас палли
562,Zeitung::N,aviisi,хаҫат
563,Leben::N,inuussuseq,пурнӑҫ
564,Tod::N,toqu,вилӗм
565,Tod::N,toquneq,вилӗм
566,Grab::N,iliveq,масар шӑтӑкӗ
567,Grab::N,illissat,масар шӑтӑкӗ
568,Kirche::N,oqaluffik,чиркӳ
569,Sünde::N,ajorti,ҫылӑх
570,Arbeiter::N,sulisoq,рабочи
571,Chef::N,ittoqut,пуҫлӑх
572,Meister::N,naalagaq,ӑста
573,Meister::N,naalagaq,мастер
574,Arzt::N,katsorsaasoq,врач
575,Arzt::N,katsorsaasoq,тухтӑр
576,Lehrer::N,ilinniartitsisoq,учитель
577,Lehrer::N,ilinniartitsisoq,вӗрентекен
578,Geld::N,aningaasat,укҫа
579,Geschäft::N,niuertarfik,бизнес
580,Laden::N,niuertarfik,магазин
581,Preis::N,aki,хак
582,Ware::N,qaliata pii,тавар
583,Ware::N,nioqqutissaq,тавар
584,Nutzen::N,iluaqut,пайта
585,Welt::N,nunarsuaq,тӗнче
586,Land::N,nuna,ҫӗр-шыв
587,König::N,kunngi,король
588,Macht::N,pissaassuseq,власть
589,Grenze::N,killik,чикӗ
590,Krieg::N,sorsunneq,вӑрҫӑ
591,Feind::N,akeraq,тӑшман
592,Feind::N,akerartorti,тӑшман
593,Feind::N,qinngarsuisoq,тӑшман
594,Kampf::N,sorsunneq,кӗрешӳ
595,Pfeil::N,qalugiusaq,ҫӗмрен
596,Pfeil::N,qalugiusaq,ухӑ йӗппи
597,Gewehr::N,aallaat,пӑшал
598,Fehler::N,kukkuneq,йӑнӑш
599,Fehler::N,paarlaappaa,йӑнӑш
600,Unglück::N,perluut,шар
601,Unglück::N,perluut,инкек
602,Schuld::N,akiitsugaq,айӑп
603,Schuld::N,akiligassaq,айӑп
604,Alter::N,utoqqaq,ҫул шучӗ
605,Schluss::N,isu,пӗтни
606,Schluss::N,isu,пӗтмӗш
607,Zeit::N,ulloq,вӑхӑт
608,Zeit::N,akuttoqatigiinneq,вӑхӑт
609,Tag::N,ulloq,кун
610,Morgen::N,ullaaq,ир
611,Mittag::N,ulloqeqqa,кӑнтӑрла
612,Abend::N,unnuk,каҫ
613,Nacht::N,unnuaq,каҫ
614,Woche::N,sapaatip akunnera,эрне
615,Monat::N,qaammat,уйӑх
616,Jahr::N,ukioq,ҫулталӑк
617,Frühling::N,upernaaq,ҫур
618,Frühling::N,upernaaq,ҫуркунне
619,Sommer::N,aasaq,ҫу
620,Sommer::N,aasaq,ҫулла
621,Herbst::N,ukiaq,кӗр
622,Herbst::N,ukiaq,кӗркунне
623,Winter::N,ukioq,хӗл
624,Winter::N,ukioq,хӗлле
625,Januar::N,siulleeq,январь
626,Januar::N,qaammaliaq,январь
627,Februar::N,aarlaat,февраль
628,Februar::N,aarlaat,кӗҫӗн кӑрлач
629,März::N,marsi,март
630,März::N,marsi,пуш уйӑхӗ
631,März::N,martsi,март
632,März::N,martsi,пуш уйӑхӗ
633,Mai::N,maaji,май
634,Juni::N,juuni,июнь
635,Juli::N,juuli,июль
636,August::N,aggusti,август
637,September::N,septembari,сентябрь
638,September::N,septembari,авӑн уйӑхӗ
639,Oktober::N,oktobari,октябрь
640,November::N,novembari,ноябрь
641,Dezember::N,detsembari,раштав
642,Dezember::N,detsembari,декабрь
643,Montag::N,ataasinngortoq,тунти кун
644,Dienstag::N,marlunngorneq,ытлари кун
645,Mittwoch::N,pingasunngorneq,юн кун
646,Donnerstag::N,sisamanngorneq,кӗҫнерни кун
647,Freitag::N,tallimanngorneq,эрне кун
648,Samstag::N,arfininngorneq,шӑмат кун
649,Sonntag::N,sapaat,вырсарни кун
650,Sonntag::N,sapaati,вырсарни кун
651,groß::A,angivoq,пысӑк
652,klein::A,mikivoq,пӗчӗк
653,lang::A,takisooq,вӑрӑм
654,kurz::A,naatsoq,кӗске
655,breit::A,silippoq,сарлака
656,schmal::A,amitsoq,ансӑр
657,dicht::A,torsusooq,йӑвӑ
658,dick[Gegenstand]::A,issuvoq,хулӑн
659,dick[Gegenstand]::A,issusooq,хулӑн
660,dünn::A,amitsoq,ҫинҫе
661,dünn::A,amitsoq,ҫӳхе
662,fein::A,mamarpoq,тарай
663,fein::A,mamarpoq,вӗлтӗрти
664,fest::A,tangeqarpoq,тӗреклӗ
