,Concept_ID,nl,ml
131,Birke::N,berk,പൂവരശ്
132,Kiefer[Baum]::N,den,പൈൻമരം
133,Weide[Baum]::N,wilg,വില്ലോ
134,Tanne::N,spar,ദേവദാരു
135,Horn::N,hoorn,മൃഗത്തിൻറെ കൊമ്പ്
136,Feder::N,veer,തൂവൽ
137,Feder::N,pluim,തൂവൽ
138,Fell::N,vel,മൃദുരോമം
139,Flügel::N,vleugel,ചിറക്
140,Klaue::N,klauw,നഖം
141,Kralle::N,klauw,നഖം
142,Schwanz::N,staart,വാൽ
143,Ei::N,ei,മുട്ട
144,Nest::N,nest,കൂട്
145,Bau::N,hol,മാളം
146,Tier::N,dier,മൃഗം
147,Herde::N,kudde,കൂട്ടം
148,Kuh::N,koe,പശു
149,Bulle::N,stier,കാള
150,Pferd::N,paard,കുതിര
151,Schaf::N,schaap,ആട്
152,Schwein::N,varken,പന്നി
153,Hund::N,hond,നായ്
154,Katze::N,kat,പൂച്ച
155,Bär::N,beer,കരടി
156,Eichhörnchen::N,eekhoorntje,അണ്ണാൻ
157,Elch::N,eland,കടമാന്
158,Fuchs::N,vos,കുറുക്കൻ
159,Hase::N,haas,മുയൽ
160,Maus::N,muis,ചുണ്ടലി
161,Wolf::N,wolf,ചെന്നായ
162,Vogel::N,vogel,പക്ഷി
163,Schwarm::N,zwerm,കൂട്ടം
164,Huhn::N,kip,കോഴി
165,Huhn::N,hoen,കോഴി
166,Hahn::N,haan,പൂവൻകോഴി
167,Gans::N,gans,അരയന്നം
168,Adler::N,arend,കഴുകൻ
169,Ente::N,eend,താറാവ്
170,Eule::N,uil,മൂങ്ങ
171,Kranich::N,kraanvogel,കൊക്ക്
172,Krähe::N,kraai,കാക്ക
173,Kuckuck::N,koekoek,കുയിൽ
174,Schwan::N,zwaan,അരയന്നം
175,Fisch::N,vis,മത്സ്യം
176,Barsch::N,baars,ഒരിനം മത്സ്യം
177,Hecht::N,snoek,ഒരു മത്സ്യം
178,Schlange[Tier]::N,slang,പാമ്പ്
179,Wurm::N,worm,വിര
180,Spinne::N,spin,ചിലന്തി
181,Ameise::N,mier,ഉറുമ്പ്
182,Laus::N,luis,പേന്
183,Mücke::N,mug,മശകം
184,Fliege::N,vlieg,ഈച്ച
185,Schmetterling::N,vlinder,ചിത്രശലഭം
186,Beere::N,bes,ബെറി
187,Apfel::N,appel,ആപ്പിൾ
188,Pilz::N,paddestoel,കൂൺ
189,Zwiebel::N,ui,സവാള
190,Saat::N,zaad,വിത്ത്
191,Korn::N,graan,ധാന്യം
192,Korn::N,korrel,ധാന്യം
193,Heu::N,hooi,വയ്ക്കോൽ
194,Schale::N,schil,തൊലി
195,Grube::N,kuil,കുഴി
196,Falle::N,val,കെണി
197,Schlinge::N,strop,കുടുക്ക്
198,Spur::N,spoor,ചുവട്
199,Asche::N,as,ചാരം
200,Dreck::N,drek,അഴുക്ക്
201,Eisen::N,ijzer,ഇരുമ്പ്
202,Gold::N,goud,സ്വർണ്ണം
203,Silber::N,zilver,വെള്ളി
204,Kohle::N,kool,കൽക്കരി
205,Glas::N,glas,ഗ്ലാസ്
206,Lehm::N,klei,കളിമണ്ണ്
207,Sand::N,zand,മണൽ
208,Mensch::N,mens,മനുഷ്യർ
209,Mann::N,man,പുരുഷൻ
210,Frau::N,vrouw,സ്ത്രീ
211,Kind::N,kind,കുഞ്ഞ്
212,Junge::N,jongen,ആൺകുട്ടി
213,Mädchen::N,meisje,പെൺകുട്ടി
214,Familie::N,gezin,കുടുംബം
215,Familie::N,familie,കുടുംബം
216,Großvater::N,grootvader,അപ്പൂപ്പൻ
217,Großmutter::N,grootmoeder,അമ്മുമ്മ
218,Eltern::N,ouders,മാതാപിതാക്കള്
219,Vater::N,vader,അച്ഛൻ
220,Mutter::N,moeder,അമ്മ
221,Sohn::N,zoon,മകൻ
222,Tochter::N,dochter,മകൾ
223,Bruder::N,broer,ചേട്ടൻ
224,Bruder::N,broer,അനിയൻ
225,Bruder::N,broeder,ചേട്ടൻ
226,Bruder::N,broeder,അനിയൻ
227,Schwester::N,zus,ചേച്ചി
228,Schwester::N,zus,അനിയത്തി
229,Schwester::N,zuster,ചേച്ചി
230,Schwester::N,zuster,അനിയത്തി
231,Onkel::N,oom,അമ്മാവൻ
232,Tante::N,tante,മാമി
233,Ehemann::N,echtgenoot,ഭർത്താവ്
234,Ehefrau::N,echtgenote,ഭാര്യ
235,Freude::N,vreugde,ആഹ്ലാദം
236,Gelächter::N,gelach,ചിരിയുടെ ശബ്ദം
237,Glück::N,geluk,സന്തോഷം
238,Glück::N,geluk,സന്തുഷ്ടി
239,Kummer::N,verdriet,ശോകം
240,Wunsch::N,wens,ആഗ്രഹം
241,Wunsch::N,verlangen,ആഗ്രഹം
242,Lust::N,zin,ആഗ്രഹം
243,Lust::N,lust,ആഗ്രഹം
244,Geist::N,geest,ചുറുചുറുക്ക്
245,Gedanke::N,gedachte,ചിന്ത
246,Gedächtnis::N,geheugen,ഓർമ്മശക്തി
247,Verstand::N,verstand,മനസ്സ്
248,Sinn::N,betekenis,അർത്ഥം
249,Grund::N,reden,കാരണം
250,Wahrheit::N,waarheid,സത്യം
251,Gespräch::N,gesprek,സല്ലാപം
252,Märchen::N,sprookje,യക്ഷിക്കഥ
253,Erzählung::N,verhaal,കഥ
254,Nachricht::N,tijding,സന്ദേശം
255,Neuigkeit::N,nieuws,വാർത്ത
256,Neuigkeit::N,nieuwtje,വാർത്ത
257,Name::N,naam,പേര്
258,Rätsel::N,raadsel,പ്രഹേളിക
259,Rede::N,rede,സംസാരം
260,Sprache::N,taal,ഭാഷ
261,Stimme::N,stem,സ്വരം
262,Wort::N,woord,വാക്ക്
263,Zeichen::N,teken,സംജ്ഞ
264,Ruf::N,roep,വിളി
265,Lärm::N,lawaai,ആരവം
266,Laut::N,klank,ശബ്ദം
267,Laut::N,geluid,ശബ്ദം
268,Ton::N,toon,സ്വരഭേദം
269,Ton::N,klank,സ്വരഭേദം
270,Lied::N,lied,പാട്ട്
271,Ruhe::N,rust,നിശ്ചലത
272,Ruhe::N,stilte,നിശ്ചലത
273,Leute::N,lui,ജനങ്ങൾ
274,Leute::N,mensen,ജനങ്ങൾ
275,Volk::N,volk,രാഷ്ടം
276,Arbeit::N,werk,ജോലി
277,Arbeit::N,arbeid,ജോലി
278,Gast::N,gast,അതിലി
279,Geschenk::N,cadeau,സമ്മാനം
280,Geschenk::N,geschenk,സമ്മാനം
281,Spiel::N,spel,കളി
282,Gesellschaft::N,gezelschap,കൂട്ടായ്മ
283,Hilfe::N,hulp,സഹായം
284,Freund::N,vriend,സുഹൃത്ത്
285,Kamerad::N,maat,കൂട്ടാളി
286,Kamerad::N,metgezel,കൂട്ടാളി
287,Angelegenheit::N,zaak,കാര്യം
288,Angelegenheit::N,aangelegenheid,കാര്യം
289,Anzahl::N,tal,എണ്ണം
290,Anzahl::N,aantal,എണ്ണം
291,Art::N,slag,തരം
292,Art::N,soort,തരം
293,Stück::N,stuk,കഷണം
294,Teil::N,deel,ഭാഗം
295,Hälfte::N,helft,പകുതി
296,Kreis::N,kring,വൃത്തം
297,Kreis::N,cirkel,വൃത്തം
298,Kreuz::N,kruis,കുരിശടയാളം
299,Linie::N,lijn,വര
300,Linie::N,lijn,രേഖ
301,Strich::N,haal,പക്ഷാഘാതം
302,Strich::N,streep,പക്ഷാഘാതം
303,Abstand::N,afstand,വിടവ്
304,Entfernung::N,afstand,അകലം
305,Gegend::N,streek,പ്രദേശം
306,Platz::N,ruimte,ഇടം
307,Ort::N,oord,സ്ഥലം
308,Ort::N,plaats,സ്ഥലം
309,Seite::N,zij,വശം
310,Seite::N,kant,വശം
311,Seite::N,zijde,വശം
312,Mitte::N,midden,മധ്യസ്ഥാനം
313,Gegenstand::N,voorwerp,സാധനം
314,Sache::N,zaak,വസ്തു
315,Rand::N,rand,തൊങ്ങൽ
316,Rand::N,boord,തൊങ്ങൽ
317,Kante::N,kant,അറ്റം
318,Ecke::N,hoek,മൂല
319,Spitze::N,punt,അഗ്രം
320,Spitze::N,spits,അഗ്രം
321,Ende::N,einde,അവസാനം
322,Ende::N,uiteinde,അവസാനം
323,Loch::N,gat,ദ്വാരം
324,Winkel::N,hoek,കോൺ
325,Muster::N,dessin,ക്രമം
326,Muster::N,patroon,ക്രമം
327,Größe::N,grootte,വലുപ്പം
328,Länge::N,lengte,നീളം
329,Höhe::N,hoogte,ഉയരം
330,Gewicht::N,gewicht,കട്ടി
331,Menge::N,hoeveelheid,അളവ്
332,Haufen::N,hoop,കൂമ്പാരം
333,Reihe::N,rij,വരി
334,Reihe::N,reeks,വരി
335,Boot::N,boot,ബോട്ട്
336,Ruder::N,roeiriem,പങ്കായം
337,Schlitten::N,slee,ഉരുളില്ലാവണ്ടി
338,Schlitten::N,slede,ഉരുളില്ലാവണ്ടി
339,Ski::N,ski,ഹിമപാദുകം
340,Lagerfeuer::N,kampvuur,തീ
341,Last::N,last,ഭാരം
342,Last::N,vracht,ഭാരം
343,Gang::N,wandeling,നടത്തം
344,Schritt::N,stap,ചുവട്
345,Schritt::N,schrede,ചുവട്
346,Norden::N,noorden,വടക്ക്
347,Süden::N,zuiden,തെക്ക്
348,Westen::N,westen,പടിഞ്ഞാറ്
349,Osten::N,oosten,കിഴക്ക്
350,Holz::N,hout,തടി
351,Brett::N,plank,ബോർഡ്
352,Platte::N,plaat,തകിട്
353,Stütze::N,stut,താങ്ങ്
354,Stütze::N,steun,താങ്ങ്
355,Stange::N,stang,കമ്പ്
356,Stock::N,stok,വടി
357,Stab::N,staf,കുറുവടി
358,Rohr::N,pijp,കുഴൽ
359,Haus::N,huis,വീട്
360,Heim::N,tehuis,വീട്
361,Ofen::N,kachel,സ്റ്റൌ
362,Fußboden::N,vloer,തറ
363,Tisch::N,tafel,മേശ
364,Stuhl::N,stoel,കസേര
365,Wiege::N,wieg,തൊട്ടിൽ
366,Bett::N,bed,കിടക്ക
367,Regal::N,rek,ഷെൽഫ്
368,Kiste::N,kist,പെട്ടി
369,Fenster::N,raam,ജനൽ
370,Fenster::N,venster,ജനൽ
371,Tür::N,deur,വാതിൽ
372,Tor::N,poort,കവാടം
373,Zaun::N,omheining,വേലി
374,Dach::N,dak,മേൽക്കുര
375,Leiter::N,ladder,ഏണി
376,Besen::N,bezem,ചൂല്
377,Spaten::N,schop,തൂമ്പ
378,Schaufel::N,schep,തൂമ്പ
379,Gabel::N,vork,മുൾക്കത്തി
380,Löffel::N,lepel,സ്പൂൺ
381,Messer::N,mes,കത്തി
382,Nagel::N,spijker,ആണി
383,Netz::N,net,വല
384,Haken::N,haak,കൊളുത്ത്
385,Griff::N,handvat,കൈപ്പിടി
386,Schloss::N,slot,പൂട്ട്
387,Bild::N,beeld,ചിത്രം
388,Figur::N,figuur,കണക്ക്
389,Puppe::N,pop,പാവ
390,Beutel::N,zak,ബാഗ്
391,Beutel::N,buidel,ബാഗ്
392,Bündel::N,pak,കെട്ട്
393,Bündel::N,bundel,കെട്ട്
394,Tasche::N,tas,ബാഗ്
395,Eimer::N,emmer,ബക്കറ്റ്
396,Deckel::N,deksel,ഉറ
397,Geschirr::N,vaatwerk,പിഞ്ഞാണം
398,Sack::N,zak,ചാക്ക്
399,Tasse::N,kop,കപ്പ്
400,Topf::N,pan,പാത്രം
401,Kessel::N,ketel,കെറ്റ്ല്
402,Essen::N,eten,ആഹാരസമയം
403,Nahrung::N,voedsel,ഭക്ഷണം
404,Speise::N,spijs,ഡിഷ്
405,Fleisch::N,vlees,മാംസം
406,Getreide::N,graan,ചോളം
407,Brei::N,pap,കഞ്ഞി
408,Brei::N,brij,കഞ്ഞി
409,Brot::N,brood,റോട്ടി
410,Scheibe::N,plak,തുണ്ട്
411,Scheibe::N,snede,തുണ്ട്
412,Fett::N,vet,കൊഴുപ്പ്
413,Butter::N,boter,വെണ്ണ
414,Öl::N,olie,എണ്ണ
415,Salz::N,zout,ഉപ്പ്
416,Suppe::N,soep,സൂപ്പ്
417,Honig::N,honing,തേൻ
418,Milch::N,melk,പാൽ
419,Tee::N,thee,ചായ
420,Leder::N,leer,തുകൽ
421,Leder::N,leder,തുകൽ
422,Wolle::N,wol,കമ്പിളി
423,Stoff::N,stof,തുണി
424,Nadel::N,naald,സൂചി
425,Faden::N,draad,നൂല്
426,Knopf::N,knoop,ബട്ടൺ
427,Knoten::N,knoop,കുരുക്ക്
428,Farbe::N,verf,പെയിൻറ്
429,Kleidung::N,kledij,വസ്ത്രങ്ങൾ
430,Kleidung::N,kleding,വസ്ത്രങ്ങൾ
431,Hemd::N,hemd,ഷർട്ട്
432,Kragen::N,kraag,കുപ്പായക്കഴുത്ത്
433,Ärmel::N,mouw,കുപ്പായക്കൈ
434,Hose::N,broek,ട്രൌസർ
435,Hose::N,pantalon,ട്രൌസർ
436,Gürtel::N,riem,ബെൽറ്റ്
437,Gürtel::N,gordel,ബെൽറ്റ്
438,Mütze::N,muts,തൊപ്പി
439,Schuh::N,schoen,ഷൂ
440,Stiefel::N,laars,ബൂട്ട്
441,Ring::N,ring,മോതിരം
442,Band::N,lint,റിബൺ
443,Kamm::N,kam,ചീപ്പ്
444,Spiegel::N,spiegel,കണ്ണാടി
445,Riemen::N,riem,സ്ട്രാപ്പ്
446,Schnur::N,koord,ചരട്
447,Leine::N,lijn,കെട്ടാനുള്ള തോൽവാർ
448,Decke::N,deken,പുതപ്പ്
449,Kissen::N,kussen,തലയിണ
450,Tuch::N,doek,സ്കാർഫ്
451,Handtuch::N,handdoek,തോർത്ത്
452,Kraft::N,kracht,ശക്തി
453,Stärke::N,sterkte,ശക്തി
454,Gesundheit::N,gezondheid,ആരോഗ്യം
455,Krankheit::N,ziekte,അസുഖം
456,Schmerz::N,pijn,വേദന
457,Wunde::N,wond,മുറിവ്
458,Fieber::N,koorts,പനി
459,Arznei::N,medicament,മരുന്ന്
460,Arznei::N,geneesmiddel,മരുന്ന്
461,Brücke::N,brug,പാലം
462,Brunnen::N,put,കിണർ
463,Brunnen::N,bron,കിണർ
464,Weide::N,wei,മേച്ചൽ
465,Weide::N,weide,മേച്ചൽ
466,Pfad::N,pad,വഴി
467,Weg::N,weg,വഴി
468,Straße::N,baan,റോഡ്
469,Straße::N,straat,റോഡ്
470,Dorf::N,dorp,ഗ്രാമം
471,Stadt::N,stad,നഗരം
472,Brief::N,brief,കത്ത്
473,Buch::N,boek,പുസ്തകം
474,Buchstabe::N,letter,അക്ഷരം
475,Zeitung::N,krant,വർത്തമാനപത്രം
476,Zeitung::N,dagblad,വർത്തമാനപത്രം
477,Leben::N,leven,ജീവൻ
478,Tod::N,dood,മരണം
479,Grab::N,graf,ശവക്കുഴി
480,Kirche::N,kerk,പള്ളി
481,Sünde::N,zonde,പാപം
482,Gott::N,god,ദൈവം
483,Arbeiter::N,arbeider,ജോലിക്കാരൻ
484,Chef::N,chef,മേധാവി
485,Meister::N,meester,യജമാനൻ
486,Arzt::N,arts,ഡോക്ടർ
487,Arzt::N,dokter,ഡോക്ടർ
488,Lehrer::N,leraar,അധ്യാപകൻ
489,Lehrer::N,onderwijzer,അധ്യാപകൻ
490,Geld::N,geld,പണം
491,Geschäft::N,zaak,ബിസിനസ്
492,Laden::N,winkel,കട
493,Preis::N,prijs,വില
494,Ware::N,waar,ചരക്ക്
495,Nutzen::N,nut,ലാഭം
496,Nutzen::N,voordeel,ലാഭം
497,Reichtum::N,rijkdom,ധനം
498,Welt::N,wereld,ലോകം
499,Land::N,land,രാജ്യം
500,Staat::N,staat,രാജ്യം
501,König::N,koning,രാജാവ്
502,Macht::N,macht,അധികാരം
503,Grenze::N,grens,അതിർത്തി
504,Krieg::N,oorlog,യുദ്ധം
505,Feind::N,vijand,ശത്രു
506,Gewalt::N,geweld,അക്രമം
507,Kampf::N,strijd,പോരാട്ടം
508,Kampf::N,gevecht,പോരാട്ടം
509,Bogen[Waffe]::N,boog,വില്ല്
510,Pfeil::N,pijl,അമ്പ്
511,Gewehr::N,geweer,തോക്ക്
512,Fehler::N,fout,പിശക്
513,Lüge::N,leugen,കള്ളം
514,Schaden::N,schade,കേടുപാട്
515,Unglück::N,tegenspoed,ദൌർഭാഗ്യം
516,Schuld::N,schuld,തെറ്റ്
517,Alter::N,leeftijd,വയസ്സ്
518,Schluss::N,slot,നിഗമനം
519,Zeit::N,tijd,സമയം
520,Tag::N,dag,ദിവസം
521,Morgen::N,morgen,പ്രഭാതം
522,Morgen::N,ochtend,പ്രഭാതം
523,Mittag::N,middag,ഉച്ച
524,Abend::N,avond,സായാഹ്നം
525,Nacht::N,nacht,രാത്രി
526,Woche::N,week,ആഴ്ച
527,Monat::N,maand,മാസം
528,Jahr::N,jaar,വർഷം
529,Frühling::N,lente,വസന്തം
530,Frühling::N,voorjaar,വസന്തം
531,Sommer::N,zomer,വേനൽ
532,Herbst::N,herfst,ശരത്കാലം
533,Winter::N,winter,ശൈത്യം
534,Januar::N,januari,ജനുവരി
535,Februar::N,februari,ഫെബ്രുവരി
536,März::N,maart,മാർച്ച്
537,April::N,april,ഏപ്രിൾ മാസം
538,Mai::N,mei,മെയ് മാസം
539,Juni::N,juni,ജൂൺ
540,Juli::N,juli,ജൂലൈ
541,August::N,augustus,ആഗസ്റ്റ്
542,September::N,september,സെപ്തംബർ
543,Oktober::N,oktober,ഒക്ടോബർ
544,November::N,november,നവംബർ
545,Dezember::N,december,ഡിസംബർ
546,Montag::N,maandag,തിങ്കളാഴ്ച
547,Dienstag::N,dinsdag,ചൊവ്വ
548,Mittwoch::N,woensdag,ബുധനാഴ്ച
549,Donnerstag::N,donderdag,വ്യാഴാഴ്ച
550,Freitag::N,vrijdag,വെള്ളിയാഴ്ച
551,Samstag::N,zaterdag,ശനിയാഴ്ച
552,Sonntag::N,zondag,ഞായറാഴ്ച
553,groß::A,groot,വലിയ
554,klein::A,klein,ചെറിയ
555,lang::A,lang,നീണ്ട
556,kurz::A,kort,ഹ്രസ്വമായ
557,breit::A,breed,വിശാലമായ
558,schmal::A,smal,ഇടുങ്ങിയ
559,dicht::A,dicht,നിബിഡമായ
560,dick[Gegenstand]::A,dik,തടിച്ച
561,dünn::A,dun,മെലിഞ്ഞ
562,fein::A,fijn,നേർത്ത
563,fest::A,vast,ഉറപ്പുള്ള
564,flach::A,plat,പരന്ന
565,glatt::A,glad,മിനുസമുള്ള
566,hart::A,hard,കട്ടിയുള്ള
567,weich::A,week,മൃദുവായ
568,rund::A,rond,വട്ടത്തിലുള്ള
569,spitz::A,spits,മുനയുള്ള
570,spitz::A,puntig,മുനയുള്ള
571,scharf::A,scherp,മൂർച്ചയുള്ള
572,stumpf::A,stomp,തുറന്നടിക്കുന്ന
573,schwer::A,zwaar,ഭാരമുള്ള
574,schön::A,mooi,മനോഹരമായ
575,schön::A,fraai,മനോഹരമായ
576,heiß::A,heet,ചൂടുള്ള
577,warm::A,warm,ചൂടുള്ള
578,kalt::A,koud,തണുത്ത
579,kühl::A,koel,തണുപ്പുള്ള
580,frisch::A,fris,ശുദ്ധമായ
581,feucht::A,vochtig,ഈറനുള്ള
582,nass::A,nat,നനഞ്ഞ
583,trocken::A,droog,വരണ്ട
584,voll::A,vol,നിറയെ
585,leer::A,leeg,ഒഴിഞ്ഞ
586,offen::A,open,തുറന്ന
587,geschlossen::A,gesloten,അടച്ച
588,sauber::A,net,വൃത്തിയുള്ള
589,sauber::A,schoon,വൃത്തിയുള്ള
590,schmutzig::A,vuil,അഴുക്കുനിറഞ്ഞ
591,roh::A,rauw,അസംസ്കൃതമായ
592,reif::A,rijp,പഴുത്ത
593,lecker::A,lekker,രുചികരമായ
594,süß::A,zoet,മധുരമുള്ള
595,bitter::A,bitter,കടുത്ത
596,sauer::A,zuur,പുളിപ്പുള്ള
597,hell::A,licht,ജ്വലിക്കുന്ന
598,hell::A,helder,ജ്വലിക്കുന്ന
599,dunkel::A,donker,ഇരുണ്ട
600,schwarz::A,zwart,കറുത്ത
601,weiß::A,wit,വെളുത്ത
602,rot::A,rood,ചുവന്ന
603,gelb::A,geel,മഞ്ഞനിറമായ
604,blau::A,blauw,നീലനിറമുള്ള
605,grün::A,groen,പച്ചനിറമുള്ള
606,grau::A,grijs,ചാരനിറത്തിലുള്ള
607,bunt::A,bont,വർണ്ണശബളമായ
608,billig::A,goedkoop,വിലകുറഞ്ഞ
609,teuer::A,duur,ചെലവേറിയ
610,wertvoll::A,kostbaar,വിലപിടിപ്പുള്ള
611,wertvoll::A,waardevol,വിലപിടിപ്പുള്ള
612,blind::A,blind,അന്ധനായ
613,taub::A,doof,കേൾവിക്കുറവുള്ള
614,kräftig::A,krachtig,ശക്തിയുള്ള
615,stark::A,sterk,ബലമുള്ള
616,schwach::A,zwak,ക്ഷീണിച്ച
617,fett::A,vet,കൊഴുപ്പുള്ള
618,schlank::A,slank,മെലിഞ്ഞ
619,hübsch::A,leuk,മനോഹരമായ
620,böse::A,kwaad,പാപിയായ
621,dumm::A,dom,വിവരംകെട്ട
622,faul::A,lui,അലസനായ
623,fleißig::A,vlijtig,അദ്ധ്വാനശീലമുള്ള
624,geizig::A,gierig,പിശുക്കനായ
625,klug::A,slim,ബുദ്ധിസാമർഥ്യമുള്ള
626,klug::A,schrander,ബുദ്ധിസാമർഥ്യമുള്ള
627,klug::A,verstandig,ബുദ്ധിസാമർഥ്യമുള്ള
628,geschickt::A,handig,പ്രതിഭാശാലി
629,geschickt::A,vaardig,പ്രതിഭാശാലി
630,lieb::A,lief,പ്രിയപ്പെട്ട
631,lustig::A,vrolijk,ആനന്ദകരമായ
632,sanft::A,zacht,സൌമ്യമായ
633,hungrig::A,hongerig,വിശപ്പുള്ള
634,krank::A,ziek,അസുഖമുള്ള
635,nackt::A,naakt,നഡമായ
636,traurig::A,treurig,വിഷമമുള്ള
637,traurig::A,bedroefd,വിഷമമുള്ള
638,lebendig::A,levend,ഉപജീവനം
639,gut::A,goed,നല്ല
640,schlecht::A,slecht,മോശമായ
641,richtig::A,juist,ശരിയായ
642,schlimm::A,erg,വൃത്തികെട്ട
643,schlimm::A,kwaad,വൃത്തികെട്ട
644,wahr::A,waar,ശരിയായ
645,alt::A,oud,പഴയ
646,neu::A,nieuw,പുതിയ
647,ehemalig::A,voormalig,മുൻ
648,alt[Lebewesen]::A,oud,വയസ്സുള്ള
649,jung::A,jong,കൌമാരമായ
650,arm::A,arm,പാവപ്പെട്ട
