,Concept_ID,lez,ab
265,Sprache::N,чӏал,абызшəа
266,Stimme::N,ван,абжьы
267,Wort::N,гаф,ажәа
268,Zeichen::N,ишара,адырга
269,Ruf::N,эвер,аҿҭы
270,Lärm::N,ван-сес,ашьҭыбжь
271,Laut::N,ван,ашьҭыбжь
272,Laut::N,сес,ашьҭыбжь
273,Ton::N,ван-сес,атон
274,Lied::N,мани,ашəа
275,Ruhe::N,ласвал,аҭынчра
276,Ruhe::N,фаракъат,аҭынчра
277,Ruhe::N,асайиш,аҭынчра
278,Leute::N,инсанар,ауаа
279,Volk::N,халкь,ажəлар
280,Arbeit::N,кӏвалах,аусура
281,Gast::N,мугьман,асас
282,Geschenk::N,савкьат,аҳамҭа
283,Geschenk::N,савкьат,аҿанҵа
284,Spiel::N,къугъун,ахəмарра
285,Gesellschaft::N,жемят,агəыҧ
286,Gesellschaft::N,общество,агəыҧ
287,Hilfe::N,куьмек,ацхыраара
288,Freund::N,дуст,аҩыза
289,Kamerad::N,яр-дуст,Аҧхнагьла
290,Angelegenheit::N,кар,аус
291,Anzahl::N,сан,ахыҧхьаӡара
292,Anzahl::N,кьадар,ахыҧхьаӡара
293,Art::N,жуьре,ахкы
294,Stück::N,кӏус,аҽыҭ
295,Teil::N,пай,ахəҭа
296,Hälfte::N,зур,абжа
297,Hälfte::N,зур пай,абжа
298,Kreis::N,круг,агьагьа
299,Kreis::N,чкаяр,агьагьа
300,Kreis::N,элкъвей цӏар,агьагьа
301,Kreuz::N,хаш,аџьар
302,Linie::N,цӏар,аицтәар
303,Strich::N,цӏар,ацəаҳəа
304,Abstand::N,ара,абжьара
305,Entfernung::N,мензил,абжьара
306,Gegend::N,чка,аҭыҧ
307,Platz::N,ара,аҭыҧ
308,Ort::N,чка,аҭыҧ
309,Seite::N,пад,аган
310,Mitte::N,юкь,агəҭа
311,Gegenstand::N,затӏ,амаҭəар
312,Sache::N,шей,
313,Sache::N,затӏ,
314,Rand::N,къерех,аҵкар
315,Kante::N,син,авардым
316,Ecke::N,пӏипӏ,акəакь
317,Spitze::N,кӏвенкӏв,аҧынҵа
318,Ende::N,кьил,анаӡара
319,Loch::N,тӏеквен,акылҵəара
320,Winkel::N,пӏипӏ,агҿаҩра
321,Winkel::N,пӏипӏ,акəындхə
322,Winkel::N,пӏипӏ,акəакь
323,Muster::N,гишир,аҟҟа
324,Größe::N,кьадар,изаҟароу
325,Länge::N,яргъивал,аура
326,Höhe::N,кьакьанвал,агылара
327,Gewicht::N,заланвал,акапан
328,Menge::N,кьадар,
329,Haufen::N,хара,ачаҟəа
330,Reihe::N,жерге,ацəаҳəа
331,Boot::N,луьткве,анышь
332,Ruder::N,кьусу,ажəҩа
333,Schlitten::N,гъелерар,ашəаҩауардын
334,Lagerfeuer::N,цӏай,еиқуу амца
335,Last::N,заланвал,ахьанҭара
336,Gang::N,ериш,аныҟəара
337,Schritt::N,къадам,ашьаҿа
338,Norden::N,кефер,аҩада
339,Norden::N,кефер пад,аҩада
340,Süden::N,кьибле,алада
341,Westen::N,рагъакӏидай пад,амраҭашəара
342,Osten::N,рагъэкъечӏдай пад,амрагылара
343,Holz::N,кӏарас,амҿымаҭəахə
344,Brett::N,кьул,аӷəы
345,Brett::N,тахта,аӷəы
346,Stütze::N,даях,аҵаргəа
347,Stütze::N,даях,агəышьаҟа
348,Stange::N,юрк,акьат
349,Stock::N,лаш,алаба
350,Stab::N,юрк,акьат
351,Rohr::N,турба,абыкь
352,Haus::N,ужагъ,аҩны
353,Heim::N,кӏвал,аҭаацəа
354,Ofen::N,пич,аҳақə
355,Ofen::N,пич,ауаџьаҟ
356,Ofen::N,пич,афрына
357,Fußboden::N,кӏвалин ччил,адашьма
358,Tisch::N,стол,аишәа
359,Stuhl::N,стул,аҟəардə
360,Wiege::N,кьеб,агара
361,Bett::N,тахт,акаруаҭ
362,Regal::N,кьацӏ,акыӷəра
363,Kiste::N,ящик,аидчаҧала
364,Fenster::N,дакӏар,аҧенџьыр
365,Tür::N,рак,ашə
366,Tor::N,варар,агəашə
367,Zaun::N,пару,аанда
368,Dach::N,къав,ахыб
369,Leiter::N,гурар,амардуан
370,Besen::N,таран кул,аҧссага
371,Spaten::N,ппер,ажыга
372,Schaufel::N,хекендаз,аҭəарӷəы
373,Gabel::N,шиш,ачқьыҧ
