,Concept_ID,te,sq
121,Bucht::N,మరుగు,gji deti
122,Insel::N,దీవి,ishull
123,Insel::N,దీవి,ujdhesë
124,Blume::N,పుష్పము,lule
125,Gras::N,పచ్చగడ్డి,bar
126,Wurzel::N,వేరు,rrënjë
127,Baum::N,చెట్టు,pemë
128,Stamm::N,చెట్టుబోదె,trung
129,Rinde::N,చెట్టుపట్ట,lëvore
130,Ast::N,కొమ్మ,degë
131,Zweig::N,చివుకు,bisk
132,Blatt::N,ఆకు,fletë
133,Blatt::N,ఆకు,gjethe
134,Birke::N,తరహా చెట్టు,mështekën
135,Kiefer[Baum]::N,దేవదారు చెట్టు,pishë
136,Weide[Baum]::N,జాతిచెట్టు,shelg
137,Tanne::N,దేవదారుచెట్టు,bredh
138,Horn::N,కొమ్ము,bri
139,Feder::N,ఈక,pupël
140,Fell::N,తోలు,lëkurë
141,Flügel::N,ఱెక్క,krah
142,Flügel::N,ఱెక్క,fletë
143,Klaue::N,వంకరగోరు,kthetër
144,Kralle::N,వంకరగోరు,thua
145,Kralle::N,వంకరగోరు,kthetër
146,Schwanz::N,తోక,bisht
147,Ei::N,గ్రుడ్డు,vezë
148,Nest::N,పక్షిగూడు,fole
149,Bau::N,గుహ,strofkë
150,Tier::N,జంతువు,kafshë
151,Herde::N,మంద,kope
152,Herde::N,మంద,grigjë
153,Kuh::N,ఆవు,lopë
154,Bulle::N,గిత్త,dem
155,Pferd::N,గుఱ్ఱము,kalë
156,Schaf::N,గొఱ్ఱె,dele
157,Schwein::N,పంది,derr
158,Hund::N,కుక్క,qen
159,Katze::N,పిల్లి,mace
160,Bär::N,ఎలుగుబంటి,ari
161,Eichhörnchen::N,ఉడుత,ketër
162,Elch::N,కణంజు,dre brilopatë
163,Fuchs::N,గుంటనక్క,dhelpër
164,Hase::N,కుందేలు,lepur
165,Maus::N,చిట్టెలుక,mi
166,Wolf::N,తోడేలు,ujk
167,Vogel::N,పక్షి,zog
168,Vogel::N,పక్షి,shpend
169,Schwarm::N,గుంపు,luzmë
170,Huhn::N,కోడిపిల్ల,pulë
171,Hahn::N,కోడివుంజు,gjel
172,Hahn::N,కోడివుంజు,këndes
173,Gans::N,ఆడుబాతు,patë
174,Adler::N,గ్రద్ద,shqiponjë
175,Ente::N,పాట్టిబాతు,rosë
176,Eule::N,గ్రుడ్లగూబ,buf
177,Kranich::N,కొంగ,lejlek
178,Kranich::N,కొంగ,kurrillë
179,Krähe::N,కాకి,sorrë
180,Kuckuck::N,కోయల,qyqe
181,Schwan::N,హంస,mjellmë
182,Fisch::N,చేప,peshk
183,Barsch::N,ఒకచేఁప,purtekë
184,Hecht::N,గండుమీను,mlysh
185,Schlange[Tier]::N,పాము,gjarpër
186,Wurm::N,పురుగు,krimb
187,Spinne::N,సాలె పురుగు,marimangë
188,Ameise::N,చీమ,thnegël
189,Ameise::N,చీమ,milingonë
190,Laus::N,పేను,morr
191,Mücke::N,చీకటీగ,kunup
192,Mücke::N,చీకటీగ,mushkonjë
193,Fliege::N,ఈగ,mizë
194,Schmetterling::N,సీతాకోకచిలుక,flutur
195,Beere::N,కాయ,frutë
196,Beere::N,కాయ,manaferrë
197,Apfel::N,ఆపిల్ పండు,mollë
198,Pilz::N,కుక్కగొడుగు,kërpudhë
199,Zwiebel::N,నీరుల్లి,qepë
200,Saat::N,విత్తనము,farë
201,Korn::N,గింజ,grurë
202,Korn::N,గింజ,kokërr
203,Heu::N,ఎండుగడ్డి,sanë
204,Schale::N,పొట్టు,lëkurë
205,Grube::N,గొయ్యి,gropë
206,Falle::N,బోను,kurth
207,Falle::N,బోను,grackë
208,Schlinge::N,ఉరి,nyjë
209,Spur::N,జాడ,gjurmë
210,Asche::N,బూడిద,hi
211,Dreck::N,ముఱికి,baltë
212,Eisen::N,ఇనుము,hekur
213,Gold::N,బంగారము,ar
214,Gold::N,బంగారము,flori
215,Silber::N,వెండి,argjend
216,Kohle::N,నేలబొగ్గు,qymyr
217,Glas::N,గాజు,qelq
218,Lehm::N,బంకమన్ను,argjilë
219,Sand::N,ఇసుక,rërë
220,Mensch::N,నరుడు,njeri
221,Mann::N,పురుమడు,burrë
222,Mann::N,పురుమడు,mashkull
223,Frau::N,ఆడుది,grua
224,Frau::N,ఆడుది,femër
225,Kind::N,బిడ్డ,kalama
226,Junge::N,బాలుడు,djalë
227,Mädchen::N,బాలిక,gocë
228,Mädchen::N,బాలిక,vajzë
229,Familie::N,కుటుంబము,familje
230,Großvater::N,తాత,gjysh
231,Großmutter::N,అయ్యమ్మ,gjyshe
232,Eltern::N,తల్లితండ్రులు,prindër
233,Vater::N,తండ్రి,atë
234,Mutter::N,తల్లి,nënë
235,Sohn::N,కొడుకు,bir
236,Tochter::N,కూతురు,bijë
237,Bruder::N,పోదరుడు,vëlla
238,Schwester::N,సోదరి,motër
239,Onkel::N,మేనమామ,dajë
240,Onkel::N,మేనమామ,xhaxha
241,Tante::N,మేనత్త,teze
242,Tante::N,మేనత్త,hallë
243,Tante::N,పినతల్లి,teze
244,Tante::N,పినతల్లి,hallë
245,Ehemann::N,భర్త,burrë
246,Ehemann::N,భర్త,bashkëshort
247,Ehefrau::N,భార్య,grua
248,Ehefrau::N,భార్య,bashkëshorte
249,Freude::N,సంతోషము,gaz
250,Freude::N,సంతోషము,gëzim
251,Gelächter::N,నవ్వు,qeshje
252,Glück::N,సంతోషము,lumturi
253,Kummer::N,దుఃఖము,brengë
254,Kummer::N,దుఃఖము,pikëllim
255,Wunsch::N,కోరిక,dëshirë
256,Lust::N,కోరిక,epsh
257,Lust::N,కోరిక,dashuri
258,Geist::N,ఆత్మ,frymë
259,Geist::N,ఆత్మ,shpirt
260,Gedanke::N,ఆలోచన,ide
261,Gedanke::N,ఆలోచన,mendim
262,Gedächtnis::N,జ్ఞాపకము,kujtesë
263,Verstand::N,మనస్సు,mend
264,Sinn::N,అర్థము,kuptim
265,Grund::N,కారణము,arsye
266,Wahrheit::N,సత్యము,vërtetë
267,Gespräch::N,పంభాషణ,bisedim
268,Märchen::N,అద్భుతకథ,përrallë
269,Erzählung::N,కథ,tregim
270,Nachricht::N,వార్త,lajm
271,Neuigkeit::N,వార్త,risi
272,Name::N,పేరు,emër
273,Rätsel::N,చిక్కు,gjëzë
274,Rätsel::N,చిక్కు,gjëegjëzë
275,Rede::N,ఉపన్యాసము,fjalim
276,Sprache::N,భాష,gjuhë
277,Stimme::N,కంరథ్సని,zë
278,Wort::N,మాట,fjalë
279,Zeichen::N,గుర్తు,shenjë
280,Ruf::N,పిలువు,thirrmë
281,Lärm::N,సందడి,zhurmë
282,Laut::N,ధ్వని,tingull
283,Ton::N,స్వరము,ton
284,Lied::N,పాట,këngë
285,Ruhe::N,గాలిలేమి,qetësi
286,Leute::N,జనులు,botë
287,Leute::N,జనులు,njerëz
288,Volk::N,జాతి,popull
289,Arbeit::N,పని,punë
290,Gast::N,అతిధి,mik
291,Gast::N,అతిధి,mysafir
292,Geschenk::N,దానము,dhuratë
293,Geschenk::N,దానము,peshqesh
294,Spiel::N,ఆట,lojë
295,Gesellschaft::N,జట్టు,shoqëri
296,Hilfe::N,సాహాయ్యము,ndihmë
297,Freund::N,స్నేహితుడు,mik
298,Kamerad::N,చెలికాడు,shok
299,Angelegenheit::N,విషయము,punë
300,Anzahl::N,లెక్క,sasi
301,Art::N,జాతి,lloj
302,Stück::N,తునుక,copë
303,Teil::N,భాగము,pjesë
304,Hälfte::N,సగము,gjysmë
305,Kreis::N,వృత్తము,qark
306,Kreis::N,వృత్తము,rreth
307,Kreuz::N,సిలువ,kryq
308,Linie::N,గీత,vijë
309,Strich::N,గీత,vizë
310,Abstand::N,సందు,distancë
311,Entfernung::N,దూరము,largim
312,Gegend::N,విస్తీర్ణము,vise
313,Gegend::N,విస్తీర్ణము,krahinë
314,Platz::N,ఎడము,shesh
315,Ort::N,స్థలము,vend
316,Seite::N,ప్రక్క,anë
317,Mitte::N,నడిమి,mes
318,Gegenstand::N,పద్దు,send
319,Sache::N,వస్తువు,gjë
320,Sache::N,వస్తువు,send
321,Rand::N,అంచు,qoshe
322,Kante::N,అంచు,teh
323,Ecke::N,మూల,qoshe
324,Spitze::N,మొన,majë
325,Ende::N,కొన,skaj
326,Ende::N,కొన,bisht
327,Loch::N,రంధ్రము,vrimë
328,Winkel::N,కోణము,kënd
329,Muster::N,మాదిరి,mostër
330,Größe::N,పరిమాణము,madhësi
331,Länge::N,పొడుగు,gjatësi
332,Höhe::N,పొడుగు,lartësi
333,Gewicht::N,భారము,peshë
334,Menge::N,మొత్తము,sasi
335,Haufen::N,రాశి,grumbull
336,Reihe::N,వరుస,radhë
337,Reihe::N,వరుస,rresht
338,Boot::N,పడవ,barkë
339,Boot::N,పడవ,lundër
340,Ruder::N,అడక,rrem
341,Schlitten::N,సరవండ్లు,sajë
342,Ski::N,స్కీ,ski
343,Lagerfeuer::N,నెగడు,flakadan
344,Lagerfeuer::N,నెగడు,zjarr i madh
345,Last::N,బరువు,barrë
346,Gang::N,నడక,ecje
347,Schritt::N,అడుగు,hap
348,Norden::N,ఉత్తరదిక్కు,veri
349,Süden::N,దక్షిణము,jug
350,Westen::N,పడమర,perëndim
351,Osten::N,తూర్పు,lindje
352,Holz::N,కొయ్య,dru
353,Brett::N,పలక,dërrasë
354,Platte::N,పలక,pllakë
355,Stütze::N,వాల్సేడ్లు,shtyllë
356,Stütze::N,వాల్సేడ్లు,mbështetesë
357,Stange::N,స్తంభము,shufër
358,Stock::N,కఱ్ఱ,dajak
359,Stab::N,కఱ్ఱ,shkop
360,Rohr::N,గొట్టము,tub
361,Haus::N,ఇల్లు,shtëpi
362,Heim::N,స్వగృహము,konak
363,Heim::N,స్వగృహము,shtëpi
364,Ofen::N,పొయ్యి,sobë
365,Ofen::N,పొయ్యి,stufë
366,Fußboden::N,నేల,dysheme
367,Tisch::N,మేజా,tryezë
368,Stuhl::N,కుర్చీ,karrige
369,Wiege::N,ఉయ్యాల,djep
370,Bett::N,పడక,shtrat
371,Bett::N,మంచం,shtrat
372,Regal::N,అటక,raft
373,Kiste::N,వెట్టె,kuti
374,Fenster::N,కిటికి,dritare
375,Tür::N,ద్వారము,derë
376,Tor::N,ద్వారము,portë
377,Zaun::N,కంచె,gardh
378,Dach::N,ఇంటివైకప్పు,çati
379,Leiter::N,నిచ్చెన,shkallë
380,Besen::N,చీపురుకట్ట,fshesë
381,Spaten::N,పాఱ,lopatë
382,Schaufel::N,పాఱ,qyrek
383,Gabel::N,ముండ్లగరిటె,pirun
384,Löffel::N,గరిటె,lugë
385,Messer::N,కత్తి,thikë
386,Nagel::N,మేకు,gozhdë
387,Netz::N,వల,rrjetë
388,Haken::N,కొక్కెము,grep
389,Haken::N,కొక్కెము,grremç
390,Griff::N,పిడి,dorak
391,Griff::N,పిడి,dorezë
392,Schloss::N,తాళము,bravë
393,Bild::N,చిత్రము,tablo
394,Bild::N,చిత్రము,pikturë
395,Figur::N,రూపము,figurë
396,Puppe::N,బొమ్మ,kukull
397,Beutel::N,సంచి,qese
398,Beutel::N,సంచి,trastë
399,Bündel::N,మూట,deng
400,Tasche::N,సంచి,çantë
401,Eimer::N,చేద,kovë
402,Deckel::N,మూత,kapak
403,Deckel::N,మూత,mbulesë
404,Geschirr::N,వంటకాలు,enë
405,Sack::N,గోనెసంచి,thes
406,Sack::N,గోనెసంచి,torbë
407,Tasse::N,గిన్నె,filxhan
408,Topf::N,కుండ,kusi
409,Topf::N,కుండ,tenxhere
410,Kessel::N,నీరుకాచుపాత్ర,kazan
411,Essen::N,ఆహారము,ngrënie
412,Nahrung::N,ఆహారము,ushqim
413,Speise::N,ఆహారము,gatesë
414,Fleisch::N,మాంసము,mish
415,Getreide::N,ధాన్యము,drithë
416,Brei::N,గుజ్జు,qull
417,Brot::N,రొట్టె,bukë
418,Scheibe::N,బద్ద,fetë
419,Fett::N,క్రొవ్వు,lyrë
420,Fett::N,క్రొవ్వు,yndyrë
421,Butter::N,వెన్న,gjalpë
422,Öl::N,నూనె,vaj
423,Salz::N,ఉప్పు,kripë
424,Suppe::N,చారు,supë
425,Suppe::N,చారు,çorbë
426,Honig::N,తెనె,mjaltë
427,Milch::N,పాలు,qumësht
428,Tee::N,తేనీరు,çaj
429,Leder::N,బాగుచేసివతోలు,lëkurë
430,Wolle::N,ఉన్ని,lesh
431,Stoff::N,బట్ట,pëlhurë
432,Nadel::N,సూది,gjilpërë
433,Faden::N,దారము,pe
434,Faden::N,దారము,fije
435,Knopf::N,బొత్తాము,kopsë
436,Knoten::N,ముడి,komb
437,Farbe::N,రంగు,bojë
438,Kleidung::N,బట్టలు,veshje
439,Hemd::N,చొక్కాయ,këmishë
440,Kragen::N,మాల,jakë
441,Ärmel::N,చొక్కాయచెయ్యి,mëngë
442,Hose::N,ఇజారు,brekë
443,Gürtel::N,పటకా,rrip
444,Mütze::N,టోపి,kësulë
445,Schuh::N,పాదరక్ష,këpucë
446,Stiefel::N,బూటు,çizme
447,Ring::N,ఉంగరము,unazë
448,Band::N,నాడా,shirit
449,Kamm::N,దువ్వెన,krehër
450,Spiegel::N,అద్దము,pasqyrë
451,Riemen::N,వాడా,rrip
452,Schnur::N,దారము,litar
453,Schnur::N,దారము,cikomë
454,Leine::N,వారు,rrip
455,Decke::N,కంబళి,batanije
456,Kissen::N,తలగడ,jastëk
457,Tuch::N,బట్ట,shami
458,Handtuch::N,తువాలు,peshqir
459,Kraft::N,బలము,forcë
460,Stärke::N,శక్తి,koll
461,Gesundheit::N,ఆరోగ్యము,shëndet
462,Krankheit::N,రోగము,sëmundje
463,Schmerz::N,నొప్పి,dhimbje
464,Wunde::N,గాయము,plagë
465,Fieber::N,జ్వరము,ethe
466,Arznei::N,మందు,ilaç
467,Brücke::N,వంతెన,urë
468,Brunnen::N,బావి,pus
469,Brunnen::N,కూపము,pus
470,Brunnen::N,నుయ్యి,pus
471,Weide::N,పచ్చికబయలు,kullotë
472,Pfad::N,కాలిత్రోవ,ravë
473,Pfad::N,కాలిత్రోవ,shteg
474,Weg::N,మార్గము,udhë
475,Weg::N,మార్గము,shteg
476,Straße::N,బాట,rrugë
477,Dorf::N,గ్రామము,fshat
478,Dorf::N,గ్రామము,katund
479,Stadt::N,పట్టణము,qytet
480,Brief::N,జాబు,letër
481,Buch::N,పుస్తకము,libër
482,Buchstabe::N,అక్షరము,shkronjë
483,Zeitung::N,వార్తాపత్రిక,gazetë
484,Leben::N,ప్రాణము,jetë
485,Tod::N,మరణము,mortje
486,Grab::N,సమాధి,varr
487,Kirche::N,క్రెస్తవులగుడి,kishë
488,Sünde::N,పాపము,mëkat
489,Sünde::N,పాపము,gjynah
490,Gott::N,దేవుడు,hy
491,Gott::N,దేవుడు,zot
492,Arbeiter::N,పనిపాటుచేశేవాడు,punëtor
493,Chef::N,యజమానుడు,shef
494,Chef::N,యజమానుడు,drejtues
495,Meister::N,కళాకారుడు,mjeshtër
496,Arzt::N,వైద్యుడు,mjek
497,Arzt::N,వైద్యుడు,doktor
498,Lehrer::N,ఉపాధ్యాయుడు,mësues
499,Lehrer::N,ఉపాధ్యాయుడు,arsimtar
500,Geld::N,ద్రవ్యము,para
501,Geld::N,ద్రవ్యము,holla
502,Geschäft::N,వ్యాపారము,ujdi
503,Geschäft::N,వ్యాపారము,biznes
504,Laden::N,అంగడి,dyqan
505,Preis::N,వెల,çmim
506,Ware::N,సరకులు,mall
507,Nutzen::N,ప్రయోజనము,dobi
508,Nutzen::N,ప్రయోజనము,leverdi
509,Reichtum::N,ధనము,kamje
510,Reichtum::N,ధనము,pasuri
511,Welt::N,ప్రపంచము,botë
512,Land::N,దేశము,vend
513,Staat::N,రాజ్యము,shtet
514,König::N,రాజు,mbret
515,Macht::N,అధికారము,fuqi
516,Macht::N,అధికారము,pushtet
517,Grenze::N,సరిహద్దు,kufi
518,Krieg::N,యుద్ధము,luftë
519,Feind::N,శత్రువు,armik
520,Gewalt::N,దౌర్జన్యము,dhunë
521,Kampf::N,పోట్లాట,luftim
522,Bogen[Waffe]::N,విల్లు,hark
523,Pfeil::N,బాణము,shigjetë
524,Gewehr::N,తుపాకి,pushkë
525,Fehler::N,తప్ప,gafë
526,Fehler::N,తప్ప,gabim
527,Lüge::N,అసత్యము,gënjeshtër
528,Schaden::N,నష్టము,dëm
529,Schaden::N,నష్టము,zarar
530,Unglück::N,దురదృష్టము,fatkeqësi
531,Schuld::N,తప్పు,faj
532,Alter::N,వయస్సు,moshë
533,Schluss::N,ముగింపు,fund
534,Zeit::N,కాలము,kohë
535,Tag::N,దినము,ditë
536,Morgen::N,ఉదయము,mëngjes
537,Mittag::N,మధ్యాహ్నము,mesditë
538,Abend::N,సాయంకాలము,mbrëmje
539,Nacht::N,రత్రి,natë
540,Woche::N,వారము,javë
541,Monat::N,నెల,muaj
542,Jahr::N,సంవత్సరము,vit
543,Frühling::N,వసంతకాలము,pranverë
544,Sommer::N,వేసవికాము,verë
545,Herbst::N,ఆకురాలుకాలము,vjeshtë
546,Winter::N,శీతకాలము,dimër
547,Januar::N,జనవరి,janar
548,Februar::N,ఫిబ్రవరి,shkurt
549,März::N,మార్చి,mars
550,April::N,ఏప్రిలు,prill
551,Mai::N,మే,maj
552,Juni::N,జూన్,qershor
553,Juli::N,జూలై,korrik
554,August::N,ఆగస్టు,gusht
555,September::N,సెప్ఠెంబరు,shtator
556,Oktober::N,అక్టోబరు,tetor
557,November::N,నవంబరు,nëntor
558,Dezember::N,డిసెంబర్,dhjetor
559,Montag::N,సోమవారము,hënë
560,Dienstag::N,మంగళవారము,martë
561,Mittwoch::N,బుధవారము,mërkurë
562,Donnerstag::N,గురువారము,enjte
563,Freitag::N,శుక్రవారము,premte
564,Samstag::N,శనివారము,shtunë
565,Sonntag::N,ఆదివారము,diel
566,groß::A,గొప్పైన,madh
567,klein::A,చిన్న,vogël
568,lang::A,పొడుగాటి,gjatë
569,kurz::A,పొట్టి,shkurtër
570,breit::A,వెడల్పైన,gjerë
571,schmal::A,ఇఱుకైన,ngushtë
572,dicht::A,దట్టమైన,dendur
573,dick[Gegenstand]::A,దట్టమైన,trashë
574,dünn::A,పలుచని,hollë
575,fein::A,నాజాకైన,imët
576,fest::A,దృడమైవ,fortë
577,flach::A,చదువైన,sheshtë
578,glatt::A,నున్నని,rrafshët
579,hart::A,కఠినమైన,fortë
580,weich::A,మృదువైన,butë
581,rund::A,గుండ్రని,rrumbullakët
582,spitz::A,మొనగల,majëmprehtë
583,scharf::A,పదనైన,mprehtë
584,stumpf::A,వాడిలేని,topitur
585,schwer::A,బరువ్తెన,rëndë
586,schön::A,సుందరమైన,bukur
587,heiß::A,వేడియైన,nxehtë
588,warm::A,వెచ్చని,ngrohtë
589,kalt::A,చల్లని,ftohtë
590,kühl::A,చల్లని,freskët
591,frisch::A,తాజాయైన,pastër
592,feucht::A,చెమ్మగానున్న,lagësht
593,nass::A,తడిగామన్న,lagur
594,trocken::A,ఎండిన,thatë
595,voll::A,నిండు,plotë
596,leer::A,శూన్యమైన,bosh
597,leer::A,శూన్యమైన,zbrazët
598,offen::A,తెఱచియున్న,hapur
599,geschlossen::A,మూసిన,mbyllur
600,sauber::A,పరిశుద్ధమైన,dëlirë
601,schmutzig::A,ముఱికియైన,ndyrë
602,roh::A,పచ్చి,gjallë
603,reif::A,పండివ,arrirë
604,lecker::A,రుచి గల,shijshëm
605,süß::A,తియ్యని,ëmbël
606,bitter::A,చేదైన,hidhur
607,sauer::A,పుల్లని,thartë
608,hell::A,కాంతిగల,me dritë
609,dunkel::A,చీకటియైన,errët
610,schwarz::A,నల్లని,i zi
611,weiß::A,తెలుపు,bardhë
612,rot::A,ఎఱ్ఱని,kuq
613,gelb::A,పసుపు పచ్చ,verdhë
614,blau::A,నీలవర్ణము,blu
615,blau::A,నీలవర్ణము,kaltër
616,grün::A,ఆకుపచ్చని,blertë
617,grün::A,ఆకుపచ్చని,gjelbër
618,grau::A,నెరిసిన,hirtë
619,grau::A,నెరిసిన,bojë hiri
620,bunt::A,రంగేలీ,shumëngjyrëshëm
621,billig::A,చౌకయైన,lirë
622,teuer::A,వెలపొడుగైన,shtrenjtë
623,wertvoll::A,విలుప్తెన,çmuar
624,wertvoll::A,విలుప్తెన,vlershëm
625,blind::A,గ్రుడ్డి,qorr
626,blind::A,గ్రుడ్డి,verbër
627,taub::A,చెవిటి,shurdhër
628,kräftig::A,శక్తి గల,fuqishëm
629,stark::A,బలమైన,fortë
630,schwach::A,బలహీనమైన,dobët
631,fett::A,క్రొవ్విన,dhjamur
632,schlank::A,సన్నని,hollë
633,hübsch::A,సాగప్తెన,bukur
634,hübsch::A,సాగప్తెన,hijshëm
635,böse::A,చెడ్డ,keq
636,dumm::A,తెలివిలేని,teveqel
637,faul::A,సోమరియైన,dembel
638,fleißig::A,శ్రద్దగల,zellshëm
639,geizig::A,పిసినారియైన,kurnac
640,geizig::A,పిసినారియైన,dorështrënguar
641,klug::A,తెలివిగల,mençur
642,geschickt::A,నిపుణతగల,aftë
643,lieb::A,ప్రియమైన,dashur
644,lustig::A,ఉల్లాసము గల,gëzuar
645,sanft::A,సాధువైన,butë
646,hungrig::A,ఆకలిగొనిన,uritur
647,krank::A,వ్యాధిగల,sëmurë
648,nackt::A,దిగంబరమైన,lakuriq
649,nackt::A,దిగంబరమైన,zhveshur
650,traurig::A,విచారముగల,trishtuar
651,lebendig::A,ప్రాణముతో నున్న,gjallë
652,gut::A,మంచి,mirë
653,schlecht::A,చెడ్డ,keq
654,richtig::A,సరియైన,drejtë
655,schlimm::A,అసహ్యమైన,keq
656,wahr::A,నిజమైన,vërtetë
657,alt::A,ముసలి,vjetër
658,neu::A,క్రొత్త,i ri
659,ehemalig::A,పూర్వపు,dikurshëm
660,alt[Lebewesen]::A,ముసలి,plak
661,jung::A,పసి,i ri
662,arm::A,బీద,varfër
663,arm::A,బీద,vobektë
664,reich::A,ధనవంతుడైన,pasur
665,bekannt::A,తెలిసిన,njohur
666,berühmt::A,ప్రపిద్దికెక్కివ,famshëm
667,fremd::A,అన్యమైన,huaj
668,verschieden::A,భేదమైన,ndryshëm
669,nah::A,దగ్గఱనున్న,afërt
670,fern::A,దూరమందున్న,largët
671,linker::A,ఎడమప్రక్కగ,majtë
672,rechter::A,కుడి,djathtë
673,anderer::A,వేఱ్తెన,tjetër
674,erster::A,మొదటి,parë
675,zweiter::A,రెండన,dytë
676,dritter::A,మూడో,i tretë
677,letzter::A,కడపటి,fundit
678,allein::ADV,ఒంటిగా,vetëm
679,auf einmal::ADV,హరాత్తుగ,njëkohësisht
680,zusammen::ADV,కలిసి,bashkë
681,zusammen::ADV,కలిసి,së bashku
682,lange::ADV,బహుకాలము,për një kohë të gjatë
683,plötzlich::ADV,హరాత్తుగ,befas
684,sofort::ADV,తక్షణము,menjëherë
685,sofort::ADV,తక్షణము,aty për aty
686,später::ADV,ఇటీవలి,më vonë
687,jetzt::ADV,ఇప్పుడు,tash
688,heute::ADV,నేడు,sot
