,Concept_ID,el,sv
64,Geschmack::N,γεύση,smak
65,Geruch::N,οσμή,lukt
66,Geruch::N,μυρωδία,lukt
67,Schlaf::N,ύπνος,sömn
68,Traum::N,όνειρο,dröm
69,Himmel::N,ουρανός,himmel
70,Sonne::N,ήλιος,sol
71,Mond::N,σελήνη,måne
72,Mond::N,φεγγάρι,måne
73,Stern::N,άστρο,stjärna
74,Stern::N,αστέρι,stjärna
75,Luft::N,αέρας,luft
76,Wind::N,αέρας,vind
77,Wind::N,άνεμος,vind
78,Welle::N,κύμα,våg
79,Welle::N,κύμα,bölja
80,Wasser::N,νερό,vatten
81,Stein::N,πέτρα,sten
82,Boden::N,χώμα,mark
83,Erde::N,γη,jord
84,Staub::N,σκόνη,damm
85,Rauch::N,καπνός,rök
86,Funke::N,σπίθα,gnista
87,Funke::N,σπινθήρας,gnista
88,Feuer::N,φωτιά,eld
89,Licht::N,φως,ljus
90,Schatten::N,σκιά,skugga
91,Schatten::N,ίσκιος,skugga
92,Wetter::N,καιρός,väder
93,Nebel::N,ομίχλη,dimma
94,Nebel::N,ομίχλη,töcken
95,Wolke::N,σύννεφο,sky
96,Wolke::N,σύννεφο,moln
97,Regen::N,βροχή,regn
98,Schnee::N,χιόνι,snö
99,Eis::N,πάγος,is
100,Frost::N,παγωνία,frost
101,Kälte::N,κρύο,köld
102,Kälte::N,ψύχος,köld
103,Hitze::N,ζέστη,hetta
104,Raureif::N,πάχνη,rimfrost
105,Regenbogen::N,ουράνιο τόξο,regnbåge
106,Donner::N,βροντή,åska
107,Donner::N,βροντή,dunder
108,Strömung::N,ρεύμα,strömning
109,Tropfen::N,στάλα,dropper
110,Schaum::N,αφρός,skum
111,Schmutz::N,βρωμιά,lort
112,Schmutz::N,βρωμιά,smuts
113,See::N,λίμνη,sjö
114,Sumpf::N,βάλτος,träsk
115,Moor::N,έλος,myr
116,Moor::N,έλος,mosse
117,Wiese::N,λιβάδι,äng
118,Wald::N,δάσος,skog
119,Hügel::N,λόφος,höjd
120,Hügel::N,λόφος,kulle
121,Anhöhe::N,ύψωμα,höjd
122,Anhöhe::N,ύψωμα,backe
123,Berg::N,όρος,berg
124,Berg::N,όρος,fjäll
125,Berg::N,βουνό,berg
126,Berg::N,βουνό,fjäll
127,Gipfel::N,κορυφή,topp
128,Höhle::N,σπηλιά,håla
129,Höhle::N,σπηλιά,grotta
130,Abhang::N,πλαγιά,slänt
131,Abhang::N,πλαγιά,sluttning
132,Quelle::N,πηγή,källa
133,Quelle::N,βρύση,källa
134,Bach::N,ρυάκι,bäck
135,Fluss::N,ποτάμι,älv
136,Fluss::N,ποτάμι,flod
137,Fluss::N,ποταμός,älv
138,Fluss::N,ποταμός,flod
139,Ufer::N,όχθη,strand
140,Küste::N,ακτή,kust
141,Küste::N,ακρογιαλιά,kust
142,Festland::N,στεριά,fastland
143,Meer::N,θάλασσα,hav
144,Bucht::N,κόλπος,vik
145,Bucht::N,κόλπος,bukt
146,Insel::N,νησί,ö
147,Insel::N,νήσος,ö
148,Blume::N,άνθος,blomma
149,Blume::N,άνθος,blomster
150,Blume::N,λουλούδι,blomma
151,Blume::N,λουλούδι,blomster
152,Gras::N,χόρτο,gräs
153,Gras::N,χορτάρι,gräs
154,Wurzel::N,ρίζα,rot
155,Baum::N,δέντρο,träd
156,Stamm::N,κορμός,stam
157,Rinde::N,φλούδα,bark
158,Ast::N,κλαδί,gren
159,Zweig::N,κλαδί,kvist
160,Zweig::N,κλάδος,kvist
161,Blatt::N,φύλλο,löv
162,Blatt::N,φύλλο,blad
163,Birke::N,σημύδα,björk
164,Kiefer[Baum]::N,πεύκο,tall
165,Weide[Baum]::N,ιτιά,pil
166,Weide[Baum]::N,ιτιά,vide
167,Tanne::N,έλατο,gran
168,Horn::N,κέρας,horn
169,Horn::N,κέρατο,horn
170,Feder::N,φτερό,fjäder
171,Fell::N,δέρμα,fäll
172,Fell::N,δέρμα,skinn
173,Fell::N,τομάρι,fäll
174,Fell::N,τομάρι,skinn
175,Flügel::N,πτερύγιο,vinge
176,Klaue::N,κουλό,klöv
177,Kralle::N,νύχι,klo
178,Schwanz::N,ουρά,svans
179,Schwanz::N,ουρά,stjärt
180,Ei::N,αβγό,ägg
181,Nest::N,φωλιά,rede
182,Nest::N,φωλιά,näste
183,Bau::N,φωλιά,bo
184,Tier::N,ζώο,djur
185,Herde::N,κοπάδι,flock
186,Kuh::N,αγελάδα,ko
187,Bulle::N,ταύρος,tjur
188,Pferd::N,άλογο,häst
189,Schaf::N,πρόβατο,får
190,Schwein::N,γουρούνι,svin
191,Hund::N,σκυλί,hund
192,Hund::N,σκύλος,hund
193,Katze::N,γάτα,katt
194,Bär::N,άρκτος,björn
195,Bär::N,αρκούδα,björn
196,Eichhörnchen::N,βερβερίτσα,ekorre
197,Elch::N,άλκη,älg
198,Fuchs::N,αλεπού,räv
199,Hase::N,λαγός,hare
200,Maus::N,ποντικός,mus
201,Wolf::N,λύκος,varg
202,Vogel::N,πουλί,fågel
203,Schwarm::N,σμήνος,svärm
204,Huhn::N,κότα,höns
205,Huhn::N,όρνιθα,höns
206,Hahn::N,πετεινός,tupp
207,Gans::N,χήνα,gås
208,Adler::N,αετός,örn
209,Ente::N,πάπια,anka
210,Eule::N,κουκουβάγια,uggla
211,Kranich::N,γερανός,trana
212,Krähe::N,καρακάξα,kråka
213,Kuckuck::N,κούκος,gök
214,Schwan::N,κύκνος,svan
215,Fisch::N,ψάρι,fisk
216,Barsch::N,πέρκα,abborre
217,Hecht::N,λούτσος,gädda
218,Schlange[Tier]::N,φίδι,orm
219,Wurm::N,σκουλήκι,mask
220,Spinne::N,αράχνη,spindel
221,Ameise::N,μυρμήγκι,myra
222,Laus::N,ψείρα,lus
223,Mücke::N,κουνούπι,mygga
224,Fliege::N,μύγα,fluga
225,Schmetterling::N,πεταλούδα,fjäril
226,Beere::N,ρόγα,bär
227,Apfel::N,μήλο,äpple
228,Pilz::N,μανιτάρι,svamp
229,Zwiebel::N,κρεμμύδι,lök
230,Saat::N,σπόρος,sådd
231,Korn::N,σπυρί,korn
232,Heu::N,σανός,hö
233,Schale::N,τσόφλι,skal
234,Grube::N,λάκκος,grop
235,Falle::N,παγίδα,fälla
236,Schlinge::N,θηλειά,snara
237,Spur::N,ίχνος,spår
238,Asche::N,στάχτη,aska
239,Dreck::N,βρωμιά,lort
240,Eisen::N,σίδερο,järn
241,Gold::N,μάλαμα,guld
242,Gold::N,χρυσάφι,guld
243,Silber::N,ασήμι,silver
244,Silber::N,άργυρος,silver
245,Kohle::N,κάρβουνο,kol
246,Glas::N,γυαλί,glas
247,Lehm::N,πηλός,lera
248,Sand::N,άμμος,sand
249,Mensch::N,άνθρωπος,människa
250,Mann::N,άνδρας,man
251,Frau::N,γυναίκα,kvinna
252,Kind::N,παιδί,barn
253,Junge::N,αγόρι,pojke
254,Mädchen::N,κοπέλα,flicka
255,Mädchen::N,κορίτσι,flicka
256,Familie::N,οικογένεια,familj
257,Großvater::N,παππούς,morfar
258,Großmutter::N,γιαγιά,farmor
259,Eltern::N,γονείς,föräldrar
260,Vater::N,πατέρας,far
261,Mutter::N,μητέρα,mor
262,Sohn::N,γιος,son
263,Tochter::N,κόρη,dotter
264,Bruder::N,αδελφός,bror
265,Schwester::N,αδελφή,syster
266,Onkel::N,θείος,morbror
267,Tante::N,θεία,tant
268,Ehemann::N,σύζυγος,äkta man
269,Ehefrau::N,σύζυγος,hustru
270,Freude::N,χαρά,fröjd
271,Freude::N,χαρά,glädje
272,Gelächter::N,γέλια,åtlöje
273,Glück::N,ευτυχία,lycka
274,Kummer::N,έγνοια,sorg
275,Wunsch::N,επιθυμία,önskan
276,Lust::N,όρεξη,lust
277,Geist::N,πνέυμα,ande
278,Gedanke::N,σκέψη,tanke
279,Gedächtnis::N,μνήμη,minne
280,Verstand::N,νους,förstånd
281,Sinn::N,νόημα,mening
282,Sinn::N,νόημα,betydelse
283,Grund::N,λόγος,skäl
284,Grund::N,λόγος,grund
285,Wahrheit::N,αλήθεια,sanning
286,Gespräch::N,συνομιλία,samtal
287,Märchen::N,παραμύθι,saga
288,Erzählung::N,διήγημα,berättelse
289,Nachricht::N,είδηση,meddelande
290,Neuigkeit::N,νέο,nyhet
291,Name::N,όνομα,namn
292,Rätsel::N,αίνιγμα,gåta
293,Rede::N,λόγος,tal
294,Rede::N,ομιλία,tal
295,Sprache::N,γλώσσα,språk
296,Stimme::N,φωνή,stämma
297,Wort::N,λέξη,ord
298,Zeichen::N,σημείο,tecken
299,Ruf::N,κραυγή,rop
300,Lärm::N,θόρυβος,bråk
301,Lärm::N,θόρυβος,oväsen
302,Laut::N,ήχος,ljud
303,Ton::N,ήχος,ton
304,Ton::N,τόνος,ton
305,Lied::N,τραγούδι,sång
306,Ruhe::N,ησυχία,ro
307,Ruhe::N,ησυχία,lugn
308,Leute::N,κόσμος,folk
309,Leute::N,άνθρωποι,folk
310,Volk::N,λαός,folk
311,Arbeit::N,εργασία,arbete
312,Gast::N,επισκέπτης,gäst
313,Geschenk::N,δώρο,gåva
314,Geschenk::N,δώρο,present
315,Spiel::N,παιχνίδι,lek
316,Spiel::N,παιχνίδι,spel
317,Gesellschaft::N,κοινωνία,sällskap
318,Hilfe::N,βοήθεια,hjälp
319,Freund::N,φίλος,vän
320,Kamerad::N,σύντροφος,kamrat
321,Angelegenheit::N,υπόθεση,ärende
322,Angelegenheit::N,υπόθεση,angelägenhet
323,Anzahl::N,αριθμός,antal
324,Art::N,είδος,art
325,Art::N,είδος,slag
326,Stück::N,κομμάτι,stycke
327,Teil::N,μέρος,del
328,Hälfte::N,μισό,halva
329,Kreis::N,κύκλος,krets
330,Kreis::N,κύκλος,cirkel
331,Kreuz::N,σταυρός,kors
332,Kreuz::N,σταυρός,kryss
333,Linie::N,γραμμή,linje
334,Strich::N,γραμμή,streck
335,Abstand::N,απόσταση,avstånd
336,Entfernung::N,απόσταση,avstånd
337,Gegend::N,περιοχή,trakt
338,Gegend::N,τοποθεσία,trakt
339,Platz::N,χώρος,plats
340,Ort::N,τόπος,plats
341,Ort::N,τόπος,ställe
342,Seite::N,πλευρά,sida
343,Mitte::N,μέση,mitt
344,Gegenstand::N,αντικείμενο,föremål
345,Sache::N,πράγμα,sak
346,Rand::N,άκρη,rand
347,Rand::N,χείλος,rand
348,Kante::N,άκρη,kant
349,Ecke::N,γωνιά,vrå
350,Ecke::N,γωνιά,hörn
351,Spitze::N,μύτη,spets
352,Ende::N,άκρη,ända
353,Loch::N,τρύπα,hål
354,Winkel::N,γωνία,vinkel
355,Muster::N,σχέδιο,mönster
356,Größe::N,μέγεθος,storlek
357,Länge::N,μήκος,längd
358,Höhe::N,ύψος,höjd
359,Gewicht::N,βάρος,tyngd
360,Menge::N,ποσότητα,mängd
361,Haufen::N,σωρός,hög
362,Reihe::N,αράδα,rad
363,Boot::N,βάρκα,båt
364,Ruder::N,κουπί,åra
365,Schlitten::N,έλκηθρο,släde
366,Ski::N,σκι,skida
367,Lagerfeuer::N,φωτιά,lägereld
368,Last::N,φορτίο,last
369,Last::N,φορτίο,börda
370,Gang::N,δρόμος,gång
371,Schritt::N,βήμα,steg
372,Norden::N,βορράς,norr
373,Süden::N,νότος,söder
374,Westen::N,δύση,väster
375,Osten::N,ανατολή,öster
376,Holz::N,ξύλο,trä
377,Brett::N,σανίδι,bräda
378,Platte::N,πλάκα,platta
379,Stütze::N,στήριγμα,stöd
380,Stütze::N,στήριγμα,stötta
381,Stange::N,ραβδί,stång
382,Stange::N,κοντός,stång
383,Stock::N,ξύλο,käpp
384,Stock::N,ξύλο,pinne
385,Stock::N,μπαστούνι,käpp
386,Stock::N,μπαστούνι,pinne
387,Stab::N,ραβδί,stav
388,Rohr::N,σωλήνας,rör
389,Haus::N,σπίτι,hus
390,Heim::N,σπίτι,hem
391,Ofen::N,σόμπα,ugn
392,Ofen::N,θερμάστρα,ugn
393,Fußboden::N,πάτωμα,golv
394,Tisch::N,τραπέζι,bord
395,Stuhl::N,καρέκλα,stol
396,Wiege::N,κούνια,vagga
397,Bett::N,κρεβάτι,säng
398,Regal::N,ράφι,hylla
399,Kiste::N,κιβώτιο,låda
400,Fenster::N,παράθυρο,fönster
401,Tür::N,πόρτα,dörr
402,Tor::N,πύλη,port
403,Zaun::N,φράχτης,staket
404,Zaun::N,φράχτης,stängsel
405,Dach::N,στέγη,tak
406,Leiter::N,σκάλα,stege
407,Leiter::N,κλίμακα,stege
408,Besen::N,σκούπα,kvast
409,Spaten::N,φτυάρι,spade
410,Schaufel::N,φτυάρι,skovel
411,Schaufel::N,φτυάρι,skyffel
412,Gabel::N,πιρούνι,gaffel
413,Löffel::N,κουτάλι,sked
414,Messer::N,μαχαίρι,kniv
415,Nagel::N,καρφί,spik
416,Netz::N,δίχτυ,nät
417,Haken::N,γάντζος,krok
418,Haken::N,αγκίστρι,krok
419,Griff::N,λαβή,tag
420,Griff::N,λαβή,handtag
421,Schloss::N,κλειδαριά,las
422,Bild::N,εικόνα,bild
423,Figur::N,ανάστημα,figur
424,Puppe::N,κούκλα,docka
425,Beutel::N,πουγγί,påse
426,Bündel::N,δεμάτι,bunt
427,Bündel::N,δεμάτι,knippa
428,Tasche::N,τσάντα,väska
429,Eimer::N,κουβάς,hink
430,Eimer::N,κουβάς,ämbar
431,Deckel::N,καπάκι,lock
432,Geschirr::N,σκεύη,servis
433,Geschirr::N,σκεύη,porslin
434,Sack::N,σάκος,säck
435,Tasse::N,φλιτζάνι,kopp
436,Topf::N,χύτρα,gryta
437,Topf::N,χύτρα,kastrull
438,Kessel::N,καζάνι,kittel
439,Essen::N,φαγητό,mål
440,Nahrung::N,τροφή,näring
441,Speise::N,φαγητό,maträtt
442,Fleisch::N,κρέας,kött
443,Getreide::N,σιτάρι,säd
444,Getreide::N,σιτάρι,spannmål
445,Brei::N,χυλός,gröt
446,Brot::N,ψωμί,bröd
447,Brot::N,άρτος,bröd
448,Scheibe::N,φέτα,skiva
449,Fett::N,πάχος,fett
450,Butter::N,βούτυρο,smör
451,Öl::N,λάδι,olja
452,Salz::N,αλάτι,salt
453,Suppe::N,σούπα,soppa
454,Honig::N,μέλι,honung
455,Milch::N,γάλα,mjölk
456,Tee::N,τσάι,te
457,Leder::N,πετσί,läder
458,Wolle::N,μαλλί,ull
459,Wolle::N,μαλλί,ylle
460,Stoff::N,ύφασμα,tyg
461,Stoff::N,ύφασμα,stoff
462,Nadel::N,βελόνα,nål
463,Faden::N,κλωστή,tråd
464,Knopf::N,κουμπί,knapp
465,Knoten::N,κόμπος,knut
466,Farbe::N,μπογιά,färg
467,Kleidung::N,ρούχα,klädsel
468,Kleidung::N,ενδυμασία,klädsel
469,Hemd::N,πουκάμισο,skjorta
470,Kragen::N,κολάρο,krage
471,Ärmel::N,μανίκι,ärm
472,Hose::N,πανταλόνι,byxor
473,Gürtel::N,ζώνη,bälte
474,Mütze::N,σκούφος,mössa
475,Schuh::N,παπούτσι,sko
476,Stiefel::N,μπότα,stövel
477,Ring::N,δαχτυλίδι,ring
478,Band::N,κορδέλα,band
479,Kamm::N,χτένα,kam
480,Spiegel::N,καθρέφτης,spegel
481,Riemen::N,λουρί,rem
482,Schnur::N,κορδόνι,snöre
483,Leine::N,σχοινί,lina
484,Decke::N,κουβέρτα,täcke
485,Kissen::N,μαξιλάρι,dyna
486,Kissen::N,μαξιλάρι,kudde
487,Tuch::N,πανί,sjal
488,Tuch::N,μαντήλι,sjal
489,Handtuch::N,πετσέτα,handduk
490,Kraft::N,δύναμη,kraft
491,Stärke::N,ισχύς,styrka
492,Stärke::N,δύναμη,styrka
493,Gesundheit::N,υγεία,hälsa
494,Krankheit::N,αρρώστια,sjukdom
495,Schmerz::N,πόνος,smärta
496,Wunde::N,πληγή,sår
497,Fieber::N,πυρετός,feber
498,Arznei::N,φάρμακο,medicin
499,Arznei::N,φάρμακο,läkemedel
500,Brücke::N,γέφυρα,bro
501,Brunnen::N,πηγάδι,brunn
502,Weide::N,βοσκή,bete
503,Pfad::N,μονοπάτι,stig
504,Weg::N,δρόμος,väg
505,Straße::N,οδός,gata
506,Straße::N,δρόμος,gata
507,Dorf::N,χωριό,by
508,Stadt::N,πόλη,stad
509,Brief::N,γράμμα,brev
510,Brief::N,επιστολή,brev
511,Buch::N,βιβλίο,bok
512,Buchstabe::N,γράμμα,bokstav
513,Zeitung::N,εφημερίδα,tidning
514,Leben::N,ζωή,liv
515,Leben::N,βίος,liv
516,Tod::N,θάνατος,död
517,Grab::N,τάφος,grav
518,Kirche::N,εκκλησία,kyrka
519,Sünde::N,αμαρτία,synd
520,Gott::N,θεός,gud
521,Arbeiter::N,εργάτης,arbetare
522,Chef::N,προϊστάμενος,chef
523,Meister::N,μάστορας,mästare
524,Meister::N,αρχιτεχνίτης,mästare
525,Arzt::N,γιατρός,läkare
526,Lehrer::N,δάσκαλος,lärare
527,Geld::N,λεφτά,pengar
528,Geld::N,χρήματα,pengar
529,Geschäft::N,συναλλαγή,rörelse
530,Laden::N,μαγαζί,affär
531,Laden::N,κατάστημα,affär
532,Preis::N,τιμή,pris
533,Ware::N,εμπόρευμα,vara
534,Nutzen::N,όφελος,gagn
535,Nutzen::N,όφελος,nytta
536,Reichtum::N,πλούτος,rikedom
537,Welt::N,κόσμος,värld
538,Land::N,χώρα,land
539,Staat::N,κράτος,stat
540,Staat::N,πολιτεία,stat
541,König::N,βασιλιάς,kung
542,König::N,βασιλιάς,konung
543,Macht::N,εξουσία,makt
544,Grenze::N,σύνορα,gräns
545,Krieg::N,πόλεμος,krig
546,Feind::N,εχθρός,fiende
547,Gewalt::N,βία,våld
548,Kampf::N,αγώνας,kamp
549,Kampf::N,αγώνας,strid
550,Bogen[Waffe]::N,τόξο,båge
551,Pfeil::N,σαΐτα,pil
552,Gewehr::N,τουφέκι,gevär
553,Fehler::N,λάθος,fel
554,Fehler::N,σφάλμα,fel
555,Lüge::N,ψέμα,lögn
556,Lüge::N,ψεύδος,lögn
557,Schaden::N,ζημία,skada
558,Unglück::N,δυστυχία,otur
559,Unglück::N,δυστυχία,olycka
560,Schuld::N,ενοχή,skuld
561,Schuld::N,φταίξιμο,skuld
562,Alter::N,ηλικία,ålder
563,Schluss::N,τέλος,slut
564,Zeit::N,χρόνος,tid
565,Tag::N,μέρα,dag
566,Tag::N,ημέρα,dag
567,Morgen::N,πρωί,morgon
568,Mittag::N,μεσημέρι,middag
569,Abend::N,βράδυ,kväll
570,Nacht::N,νύχτα,natt
571,Woche::N,εβδομάδα,vecka
572,Monat::N,μήνας,månad
573,Jahr::N,έτος,år
574,Jahr::N,χρόνος,år
575,Frühling::N,άνοιξη,vår
576,Sommer::N,καλοκαίρι,sommar
577,Herbst::N,φθινόπωρο,höst
578,Winter::N,χειμώνας,vinter
579,Januar::N,Ιανουάριος,januari
580,Februar::N,Φεβρουάριος,februari
581,März::N,Μάρτιος,mars
582,April::N,Απρίλιος,april
583,Mai::N,Μάιος,maj
584,Juni::N,Ιούνιος,juni
585,Juli::N,Ιούλιος,juli
586,August::N,Αύγουστος,augusti
587,September::N,Σεπτέμβριος,september
588,Oktober::N,Οκτώβριος,oktober
589,November::N,Νοέμβριος,november
590,Dezember::N,Δεκέμβριος,december
591,Montag::N,Δευτέρα,måndag
592,Dienstag::N,Τρίτη,tisdag
593,Mittwoch::N,Τετάρτη,onsdag
594,Donnerstag::N,Πέμπτη,torsdag
595,Freitag::N,Παρασκευή,fredag
596,Samstag::N,Σάββατο,lördag
597,Sonntag::N,Κυριακή,söndag
598,groß::A,μεγάλος,stor
599,klein::A,μικρός,liten
600,lang::A,μακρύς,lång
601,kurz::A,κοντός,kort
602,breit::A,φαρδύς,bred
603,schmal::A,στενός,smal
604,dicht::A,πυκνός,tät
605,dick[Gegenstand]::A,παχύς,tjock
606,dick[Gegenstand]::A,χοντρός,tjock
607,dünn::A,ψιλός,tunn
608,dünn::A,λεπτός,tunn
609,fein::A,ψιλός,fin
610,fest::A,στερεός,fast
611,flach::A,επίπεδος,platt
612,glatt::A,λείος,glatt
613,glatt::A,ομαλός,glatt
614,hart::A,σκληρός,hård
615,weich::A,μαλακός,mjuk
616,rund::A,στρογγυλός,rund
617,spitz::A,μυτερός,toppig
618,spitz::A,μυτερός,spetsig
619,scharf::A,κοφτερός,vass
620,scharf::A,κοφτερός,skarp
621,stumpf::A,αμβλύς,slö
622,schwer::A,βαρύς,tung
623,schön::A,ωραίος,skön
624,schön::A,ωραίος,vacker
625,schön::A,όμορφος,skön
626,schön::A,όμορφος,vacker
627,heiß::A,ζεστός,het
628,warm::A,θερμός,varm
629,kalt::A,κρύος,kall
630,kalt::A,ψυχρός,kall
631,kühl::A,δροσερός,sval
632,kühl::A,δροσερός,kylig
633,frisch::A,νωπός,färsk
634,frisch::A,φρέσκος,färsk
635,feucht::A,υγρός,fuktig
636,nass::A,βρεγμένος,våt
637,trocken::A,ξηρός,torr
638,trocken::A,στεγνός,torr
639,voll::A,γεμάτος,full
640,leer::A,άδειος,tom
641,offen::A,ανοιχτός,öppen
642,geschlossen::A,κλειστός,stängd
643,sauber::A,καθαρός,ren
644,schmutzig::A,βρώμικος,snuskig
645,schmutzig::A,λερωμένος,snuskig
646,roh::A,ωμός,rå
647,reif::A,ώριμος,mogen
648,lecker::A,νόστιμος,läcker
649,süß::A,γλυκός,söt
650,bitter::A,πικρός,besk
651,bitter::A,πικρός,bitter
652,sauer::A,ξινός,sur
653,hell::A,φωτεινός,ljus
654,dunkel::A,σκοτεινός,mörk
655,schwarz::A,μαύρος,svart
656,schwarz::A,μελανός,svart
657,weiß::A,άσπρος,vit
658,rot::A,κόκκινος,röd
659,gelb::A,κίτρινος,gul
660,blau::A,μπλε,blå
661,blau::A,γαλανός,blå
662,grün::A,πράσινος,grön
663,grau::A,γκρίζος,grå
664,bunt::A,ποικιλόχρωπος,brokig
665,billig::A,φτηνός,billig
666,teuer::A,ακριβός,dyr
667,wertvoll::A,πολύτιμος,värdefull
668,blind::A,τυφλός,blind
669,taub::A,κουφός,döv
670,kräftig::A,δυνατός,kraftig
671,stark::A,γερός,stark
672,schwach::A,αδύνατος,svag
673,fett::A,παχύς,fet
674,schlank::A,λεπτός,slank
675,schlank::A,λυγερός,slank
676,hübsch::A,όμορφος,snygg
677,hübsch::A,όμορφος,vacker
678,hübsch::A,χαριτωμένος,snygg
679,hübsch::A,χαριτωμένος,vacker
680,böse::A,κακός,ond
681,böse::A,κακός,elak
682,dumm::A,κουτός,dum
683,dumm::A,ανόητος,dum
684,faul::A,τεμπέλης,lat
685,fleißig::A,εργατικός,flitig
686,geizig::A,τσιγγούνης,snål
687,geizig::A,τσιγγούνης,girig
688,klug::A,έξυπνος,klok
689,geschickt::A,επιδέξιος,händig
690,geschickt::A,επιδέξιος,skicklig
691,lieb::A,φίλος,kär
692,lieb::A,φίλος,snäll
693,lieb::A,αγαπητός,kär
694,lieb::A,αγαπητός,snäll
695,lustig::A,εύθυμος,rolig
696,lustig::A,εύθυμος,lustig
697,lustig::A,χαρούμενος,rolig
698,lustig::A,χαρούμενος,lustig
699,sanft::A,ήπιος,mild
700,hungrig::A,πεινασμένος,hungrig
701,krank::A,άρρωστος,sjuk
702,nackt::A,γυμνός,naken
703,traurig::A,λυπημένος,ledsen
704,traurig::A,λυπημένος,sorgsen
705,lebendig::A,ζωντανός,levande
706,gut::A,καλός,bra
707,schlecht::A,κακός,dålig
708,richtig::A,σωστός,riktig
709,schlimm::A,άσχημος,illa
710,wahr::A,αληθής,sann
711,wahr::A,αληθινός,sann
712,alt::A,παλιός,gammal
713,neu::A,νέος,ny
714,neu::A,καινούργιος,ny
715,ehemalig::A,παλιός,forn
716,ehemalig::A,παλιός,tidigare
717,alt[Lebewesen]::A,γέρος,gammal
718,jung::A,νέος,ung
719,arm::A,φτωχός,fattig
720,reich::A,πλούσιος,rik
721,bekannt::A,γνωστός,känd
722,berühmt::A,περίφημος,berömd
723,berühmt::A,ξακουσμένος,berömd
724,fremd::A,ξένος,främmande
725,verschieden::A,διαφορετικός,åtskillig
726,nah::A,κοντινός,nära
727,fern::A,μακριά,fjärran
728,linker::A,αριστερός,vänster
729,rechter::A,δεξιός,höger
730,anderer::A,άλλος,annan
731,erster::A,πρώτος,första
732,zweiter::A,δεύτερος,andra
733,dritter::A,τρίτος,tredje
734,letzter::A,τελευταίος,sist
735,allein::ADV,μόνος,allena
736,auf einmal::ADV,εφάπαξ,på en gång
737,zusammen::ADV,μαζί,tillsammans
738,lange::ADV,πολύν καιρό,länge
739,plötzlich::ADV,έξαφνα,plötsligt
740,sofort::ADV,αμέσως,strax
741,sofort::ADV,αμέσως,genast
742,später::ADV,αργότερα,senare
743,jetzt::ADV,τώρα,nu
744,heute::ADV,σήμερα,i dag
745,morgen::ADV,αύριο,i morgon
746,bald::ADV,σε λίγο,snart
747,bald::ADV,εντός ολίγου,snart
748,dann::ADV,ύστερα,då
749,gestern::ADV,χτες,i går
750,einst::ADV,ποτέ,en gång
751,einst::ADV,άλλοτε,en gång
752,damals::ADV,τότε,då
753,damals::ADV,τότε,den gången
754,danach::ADV,μετά,därefter
755,danach::ADV,ύστερα,därefter
756,vorher::ADV,πριν,före
757,vorher::ADV,πριν,förut
758,vorher::ADV,προηγουμένως,före
759,vorher::ADV,προηγουμένως,förut
