,Concept_ID,pl,mrj
260,Gedanke::N,myśl,шанымаш
261,Gedächtnis::N,pamięć,ӓш
262,Verstand::N,rozum,ыш
263,Sinn::N,zmysł,кын
264,Grund::N,powód,вир
265,Wahrheit::N,prawda,тöр
266,Gespräch::N,rozmowa,хытырымаш
267,Märchen::N,bajka,ямак
268,Erzählung::N,opowiadanie,шайыштмаш
269,Nachricht::N,wiadomość,увертӓрӹмӓш
270,Neuigkeit::N,nowina,увер
271,Name::N,imię,лӹм
272,Rätsel::N,zagadka,тышты
273,Rede::N,mowa,шая
274,Rede::N,mowa,шамак
275,Sprache::N,język,йӹлмӹ
276,Stimme::N,głos,юк
277,Wort::N,słowo,шамак
278,Zeichen::N,znak,палӹ
279,Ruf::N,wołanie,сӹгӹрӹмӓш
280,Lärm::N,hałas,юкланымащ
281,Lärm::N,zgiełk,юкланымащ
282,Laut::N,dźwięk,юк
283,Ton::N,ton,юк
284,Ton::N,dźwięk,юк
285,Lied::N,pieśń,мыры
286,Lied::N,piosenka,мыры
287,Ruhe::N,spokój,тыр
288,Leute::N,ludzie,эдемвлӓ
289,Volk::N,naród,халык
290,Arbeit::N,praca,пӓшӓ
291,Arbeit::N,robota,пӓшӓ
292,Gast::N,gość,хына
293,Geschenk::N,prezent,подарка
294,Geschenk::N,podarunek,подарка
295,Spiel::N,gra,мадыш
296,Spiel::N,zabawa,мадыш
297,Gesellschaft::N,towarzystwo,йӓл
298,Gesellschaft::N,towarzystwo,йӓлвлӓ
299,Hilfe::N,pomoc,палшык
300,Freund::N,przyjaciel,тӓнг
301,Kamerad::N,kolega,тос
302,Angelegenheit::N,sprawa,дела
303,Angelegenheit::N,sprawa,йела
304,Angelegenheit::N,sprawa,йыла
305,Angelegenheit::N,sprawa,пӓшӓ
306,Anzahl::N,ilość,шот
307,Art::N,rodzaj,цӹре
308,Stück::N,kawałek,лаштык
309,Teil::N,część,пай
310,Teil::N,część,часть
311,Hälfte::N,połowa,пел
312,Kreis::N,krąg,тӹртӹш
313,Kreuz::N,krzyż,крестӹ
314,Linie::N,linia,
315,Strich::N,kreska,
316,Abstand::N,odstęp,ло
317,Entfernung::N,odległość,ло
318,Gegend::N,okolica,вӓр
319,Platz::N,miejsce,вӓр
320,Ort::N,miejsce,вӓр
321,Seite::N,bok,öрдӹж
322,Seite::N,strona,öрдӹж
323,Mitte::N,środek,ло
324,Gegenstand::N,przedmiot,хӓдӹр
325,Sache::N,rzecz,хӓдӹр
326,Rand::N,skraj,шöр
327,Rand::N,krawędź,шöр
328,Kante::N,kant,шöр
329,Kante::N,krawędź,шöр
330,Ecke::N,róg,лык
331,Spitze::N,ostrze,вуй
332,Ende::N,koniec,вуй
333,Ende::N,koniec,мычаш
334,Loch::N,dziura,ыраж
335,Winkel::N,kąt,лык
336,Winkel::N,kącik,лык
337,Muster::N,wzór,тӹрлец
338,Größe::N,rozmiar,кӱкшӹц
339,Größe::N,wielkość,кӱкшӹц
340,Länge::N,długość,кыт
341,Höhe::N,wysokość,кӱкшӹц
342,Gewicht::N,ciężar,нелӹц
343,Menge::N,ilość,шот
344,Haufen::N,kupa,ара
345,Reihe::N,rząd,ряд
346,Reihe::N,szereg,ряд
347,Boot::N,łódź,пыш
348,Boot::N,łódka,пыш
349,Ruder::N,wiosło,вешлӓ
350,Schlitten::N,sanki,тир
351,Ski::N,narta,ечӹ
352,Lagerfeuer::N,ognisko,тыл
353,Last::N,ciężar,нелӹц
354,Last::N,brzemię,нелӹц
355,Gang::N,chód,ход
356,Schritt::N,krok,ашкыл
357,Norden::N,północ,йыдпелвел
358,Süden::N,południe,кечӹвӓлвел
359,Westen::N,zachód,кечӹ шӹцмӹ
360,Osten::N,wschód,ирвел
361,Osten::N,wschód,кечӹ лӱлтмӹ
362,Holz::N,drzewo,пушӓнгӹ
363,Brett::N,deska,ханга
364,Platte::N,płyta,плитӓ
365,Stütze::N,podpora,цӓрӓк
366,Stange::N,drąg,равы
367,Stange::N,drąg,намаш
368,Stange::N,żerdź,равы
369,Stange::N,żerdź,намаш
370,Stock::N,kij,панды
371,Stock::N,laska,панды
372,Stab::N,pręt,равы
373,Rohr::N,rura,пыч
374,Haus::N,dom,пöрт
375,Heim::N,dom,пöрт
376,Ofen::N,piec,камака
377,Fußboden::N,podłoga,седӹрӓ
378,Tisch::N,stół,стöл
379,Stuhl::N,krzesło,пöкен
380,Wiege::N,kołyska,шипкӓ
381,Bett::N,łóżko,койка
382,Bett::N,łóżko,кравать
383,Bett::N,pościel,койка
384,Bett::N,pościel,кравать
385,Regal::N,regał,полицӓ
386,Kiste::N,skrzynia,шӱ́ндӹк
387,Fenster::N,okno,окня
388,Tür::N,drzwi,амаса
389,Tor::N,brama,хапка
390,Zaun::N,płot,забор
391,Zaun::N,parkan,забор
392,Dach::N,dach,левӓш
393,Leiter::N,drabina,ташкалтыш
394,Besen::N,miotła,сало
395,Besen::N,miotła,салко
396,Spaten::N,rydel,кольмы
397,Schaufel::N,łopata,лоток
398,Gabel::N,widelec,ви́лка
399,Löffel::N,łyżka,савала
400,Messer::N,nóż,кӹзӹ
401,Nagel::N,gwóźdź,пыда
402,Netz::N,sieć,вӓпш
403,Haken::N,hak,крӱк
404,Haken::N,hak,кагак
405,Griff::N,chwyt,кычем
406,Schloss::N,zamek,замок
407,Schloss::N,zamek,сыравач
408,Bild::N,obraz,картин
409,Figur::N,figura,кӓн
410,Puppe::N,lalka,поханя
411,Beutel::N,torba,мешӓк
412,Bündel::N,wiązka,топ
413,Bündel::N,wiązka,пидӹш
414,Bündel::N,wiązka,кӹлдӹш
415,Tasche::N,torba,сумкы
416,Eimer::N,kubeł,ведӹрӓ
417,Eimer::N,wiadro,ведӹрӓ
418,Deckel::N,przykrywka,комдыш
419,Geschirr::N,statki,ӓтӹ
420,Geschirr::N,naczynia,ӓтӹ
421,Sack::N,worek,мешӓк
422,Tasse::N,filiżanka,цӓшкӓ
423,Topf::N,garnek,ми́ска
424,Kessel::N,kocioł,пад
425,Essen::N,jedzenie,качкыш
426,Essen::N,jedzenie,качкыш-йӱш
427,Nahrung::N,pokarm,качкыш
428,Nahrung::N,pokarm,качкыш-йӱш
429,Nahrung::N,pożywienie,качкыш
430,Nahrung::N,pożywienie,качкыш-йӱш
431,Speise::N,potrawa,няня
432,Speise::N,jedzenie,няня
433,Fleisch::N,mięso,пай
434,Getreide::N,zboże,киндӹ
435,Brei::N,kasza,шӹрӓш
436,Brot::N,chleb,сыкыр
437,Scheibe::N,kromka,ламыт
438,Scheibe::N,kromka,лаштык
439,Fett::N,tłuszcz,кая
440,Butter::N,masło,ӱ
441,Öl::N,olej,ӱ
442,Salz::N,sól,санзал
443,Suppe::N,zupa,лем
444,Honig::N,miód,мӱ
445,Milch::N,mleko,шӹшер
446,Tee::N,herbata,чӓй
447,Leder::N,skóra,шарга
448,Leder::N,skóra,кавашты
449,Wolle::N,wełna,миж
450,Stoff::N,tkanina,матер
451,Stoff::N,tkanina,матери
452,Stoff::N,materiał,матер
453,Stoff::N,materiał,матери
454,Nadel::N,igła,им
455,Faden::N,nić,шӹртӹ
456,Faden::N,nitka,шӹртӹ
457,Knopf::N,guzik,полдыш
458,Knoten::N,węzeł,пӱкшем
459,Farbe::N,farba,чиӓ
460,Farbe::N,farba,крӓскӓ
461,Kleidung::N,odzież,выргем
462,Hemd::N,koszula,тыгыр
463,Kragen::N,kołnierz,шӱ
464,Ärmel::N,rękaw,шокш
465,Hose::N,spodnie,ялаш
466,Gürtel::N,pasek,ӹштӹ
467,Mütze::N,czapka,упш
468,Schuh::N,but,ту́фльы
469,Schuh::N,bucik,ту́фльы
470,Stiefel::N,but,кем
471,Stiefel::N,kozak,кем
472,Ring::N,pierścień,шӓргӓш
473,Band::N,wstęga,лемтӓ
474,Kamm::N,grzebień,шерге
475,Spiegel::N,lustro,тӹгӹр
476,Riemen::N,rzemień,прӓжӓ
477,Schnur::N,sznur,кӓндӹра
478,Leine::N,smycz,керем
479,Decke::N,kołdra,одеял
