,Concept_ID,cv,hy
260,Geist::N,чун-чӗм,ոգի
261,Geist::N,ыр-усал,ոգի
262,Geist::N,чун хавалӗ,ոգի
263,Gedanke::N,шухӑш,միտք
264,Gedächtnis::N,ас,հիշողություն
265,Verstand::N,ӑс,խելք
266,Verstand::N,ӑс-тӑн,խելք
267,Verstand::N,ӑс-хакӑл,խելք
268,Sinn::N,тупсӑм,իմաստ
269,Sinn::N,пӗлтерӗш,իմաստ
270,Grund::N,сӑлтав,պատճառ
271,Wahrheit::N,чӑнлӑх,ճշմարտություն
272,Gespräch::N,калаҫу,զրույց
273,Märchen::N,юмах,պայիկի պատմություն
274,Erzählung::N,акалав,պատմվածք
275,Erzählung::N,акалав,պատմություն
276,Erzählung::N,каласа пани,պատմվածք
277,Erzählung::N,каласа пани,պատմություն
278,Nachricht::N,хыпар,հաղորդագրություն
279,Neuigkeit::N,ҫӗнӗ хыпар,լուր
280,Neuigkeit::N,ҫӗнӗ хыпар,նորություն
281,Name::N,ят,անուն
282,Rätsel::N,сутмалли юмах,բարդ խնդիր
283,Rede::N,сӑмах,ճառ
284,Rede::N,сӑмах,ելույթ
285,Sprache::N,чӗлхе,լեզու
286,Stimme::N,сасӑ,ձայն
287,Wort::N,сӑмах,բառ
288,Zeichen::N,паллӑ,նշան
289,Ruf::N,йыхрав,կոչ
290,Ruf::N,йыхрав,կանչ
291,Ruf::N,чӗнӳ,կոչ
292,Ruf::N,чӗнӳ,կանչ
293,Lärm::N,шав,աղմուկ
294,Laut::N,сасӑ,հնչյուն
295,Laut::N,сасӑ,ձայն
296,Ton::N,сасӑ,տոն
297,Lied::N,юрӑ,երգ
298,Ruhe::N,канӑҫлӑх,անդորրություն
299,Ruhe::N,лӑпкӑлӑх,անդորրություն
300,Leute::N,ҫамрӑксем,մարդիկ
301,Leute::N,ҫамрӑк ҫынсем,մարդիկ
302,Volk::N,халӑх,ազգ
303,Arbeit::N,ӗҫхӗл,գործ
304,Arbeit::N,ӗҫхӗл,աշխատանք
305,Arbeit::N,ӗҫлев,գործ
306,Arbeit::N,ӗҫлев,աշխատանք
307,Gast::N,хӑна,հյուր
308,Geschenk::N,парне,նվեր
309,Geschenk::N,кучченеҫ,նվեր
310,Spiel::N,вӑйӑ,խաղ
311,Gesellschaft::N,общество,ընկերություն
312,Hilfe::N,пулӑшу,օգնությթուն
313,Freund::N,тус,ընկեր
314,Freund::N,тус,բարեկամ
315,Kamerad::N,юлташ,ուղեկից
316,Kamerad::N,тус,ուղեկից
317,Angelegenheit::N,ӗҫ,բան
318,Angelegenheit::N,ӗҫ,գործ
319,Anzahl::N,йыш,քանակ
320,Anzahl::N,йыш,գումար
321,Anzahl::N,хисеп,քանակ
322,Anzahl::N,хисеп,գումար
323,Art::N,тӗс,տեսակ
324,Stück::N,татӑк,կտոր
325,Teil::N,пай,մաս
326,Hälfte::N,ҫурӑ,կես
327,Kreis::N,ункӑ,շիջանակ
328,Kreis::N,ҫавракӑш,շիջանակ
329,Kreuz::N,хӗрес,խաչ
330,Linie::N,йӗр,գիծ
331,Strich::N,йӗр,գիծ
332,Abstand::N,хушӑ,անջրպետ
333,Entfernung::N,хушӑ,հեռավորություն
334,Gegend::N,вырӑн,շրջան
335,Platz::N,хутлӑх,տարածություն
336,Ort::N,вырӑн,տեղ
337,Ort::N,вырӑн,վայր
338,Seite::N,ен,կողմ
339,Seite::N,аяк,կողմ
340,Seite::N,айӑк,կողմ
341,Mitte::N,варӑ,մեջտեղ
342,Gegenstand::N,япала,առարկա
343,Sache::N,япала,բան
344,Rand::N,вӗҫ,վերջք
345,Rand::N,хӗрӗ,վերջք
346,Rand::N,хӗрри,վերջք
347,Kante::N,хайкача,եզր
348,Kante::N,хысак,եզր
349,Ecke::N,кӗтес,անկյուն
350,Spitze::N,вӗҫ,ծայր
351,Ende::N,вӗҫ,ծայր
352,Loch::N,шӑтӑк,անցք
353,Winkel::N,кӗтес,անկյուն
354,Muster::N,эреш,օրինակ
355,Größe::N,пысӑкӑш,մեծություն
356,Länge::N,вӑрӑмӑш,երկարություն
357,Höhe::N,ҫӳллӗш,բարձրություն
358,Gewicht::N,виҫе,կշիռ
359,Gewicht::N,йывӑрӑш,կշիռ
360,Menge::N,йыш,քանակ
361,Haufen::N,купа,դեզ
362,Haufen::N,купа,կույտ
363,Reihe::N,рет,շարք
364,Reihe::N,рет,կարգ
365,Boot::N,кимӗ,նավակ
366,Ruder::N,кӗсмен,թի
367,Ruder::N,кӗсмен,թիակ
368,Schlitten::N,ҫуна,բալխիր
369,Ski::N,йӗлтӗр,դահուկ
370,Lagerfeuer::N,вут,բացօդեայ կրակ
371,Lagerfeuer::N,кӑвайт,բացօդեայ կրակ
372,Last::N,сулмаклӑх,բեռ
373,Last::N,йывӑр япала,բեռ
374,Gang::N,куҫӑм,զբոսանք
375,Schritt::N,утӑм,քայլ
376,Schritt::N,пусӑм,քայլ
377,Norden::N,ҫурҫӗр,հյուսիս
378,Süden::N,кӑнтӑр,հարավ
379,Westen::N,анӑҫ,արեւմուտք
380,Westen::N,хӗвел анӑҫ,արեւմուտք
381,Osten::N,хӗвел тухӑҫ,արեւելք
382,Holz::N,йывӑҫ,փայտ
383,Brett::N,хӑма,տախտակ
384,Platte::N,плита,թիթեղ
385,Stütze::N,ура,նեցուկ
386,Stange::N,шерте,ձող
387,Stock::N,патак,փայտ
388,Stab::N,шӑчӑ,ցուպ
389,Stab::N,шӑчӑ,գավազան
390,Rohr::N,пӑрӑх,խողովակ
391,Haus::N,ҫурт,տուն
392,Heim::N,кил,տուն
393,Ofen::N,кӑмака,վառարան
394,Fußboden::N,урай,հատակ
395,Tisch::N,сӗтел,սեղան
396,Stuhl::N,пукан,աթոռ
397,Wiege::N,сӑпка,օրորոց
398,Bett::N,кравать,անկողին
399,Regal::N,ҫӳлӗк,դարակ
400,Regal::N,сентре,դարակ
401,Kiste::N,ещӗк,տուփ
402,Kiste::N,сунтӑх,տուփ
403,Fenster::N,чӳрече,պատուհան
404,Tür::N,алӑк,դուռ
405,Tor::N,хапха,դարպաս
406,Zaun::N,хӳме,ցանկապատ
407,Dach::N,тӑрӑ,տանիք
408,Dach::N,тӑрӑ,կտուր
409,Leiter::N,пусма,սանդուղք
410,Besen::N,шӑпӑр,ավել
411,Spaten::N,кӗреҫе,բահ
412,Schaufel::N,кӗреҫе,թի
413,Gabel::N,вилка,պատառաքաղ
414,Löffel::N,кашӑк,գդալ
415,Messer::N,ҫӗҫӗ,դանակ
416,Nagel::N,пӑта,մեխ
417,Netz::N,тетел,ցանց
418,Haken::N,йӑрхах,կարթ
419,Haken::N,ҫекӗл,կարթ
420,Griff::N,хӑлӑп,կոթ
421,Griff::N,хӑлӑп,բռնակ
422,Schloss::N,ҫӑра,կողպեք
423,Bild::N,сӑн,նկար
424,Bild::N,сӑн,պատկեր
425,Bild::N,сӑнлӑх,նկար
426,Bild::N,сӑнлӑх,պատկեր
427,Bild::N,картина,նկար
428,Bild::N,картина,պատկեր
429,Figur::N,кӗлетке,քանդակ
430,Figur::N,кӗлетке,պատկեր
431,Puppe::N,пукане,տիկնիկ
432,Beutel::N,михӗ,տոպրակ
433,Bündel::N,ҫыхӑ,կապոց
434,Bündel::N,тӗрке,կապոց
435,Tasche::N,сумка,պայուսակ
436,Eimer::N,витре,դույլ
437,Deckel::N,хупӑ,կափարիչ
438,Geschirr::N,савӑт-сапа,ամանեղեն
439,Sack::N,михӗ,պարկ
440,Sack::N,михӗ,տոպրակ
441,Tasse::N,курка,թաս
442,Tasse::N,курка,գավաթ
443,Topf::N,кастрюль,անոթ
444,Kessel::N,хуран,կաթսա
445,Essen::N,апат,կերակուր
446,Nahrung::N,апат-ҫимӗс,ուտելիք
447,Speise::N,апат,խորտիկ
448,Speise::N,апат,կերակուր
449,Speise::N,ҫимӗҫ,խորտիկ
450,Speise::N,ҫимӗҫ,կերակուր
451,Fleisch::N,аш,միս
452,Fleisch::N,какай,միս
453,Getreide::N,тырӑ,հացահատիկ
454,Brei::N,пӑтӑ,լանդակ
455,Brot::N,ҫӑкӑр,հաց
456,Scheibe::N,чӗлӗ,կտոր
457,Scheibe::N,чӗлӗ,պատառ
458,Scheibe::N,касӑк,կտոր
459,Scheibe::N,касӑк,պատառ
460,Fett::N,ҫу,ճարպ
461,Butter::N,ҫу,կարագ
462,Öl::N,ҫу,ձեթ
463,Salz::N,тӑвар,աղ
464,Suppe::N,яшка,սուպ
465,Suppe::N,яшка,ապուր
466,Honig::N,пыл,մեղր
467,Milch::N,сӗт,կաթ
468,Tee::N,чей,թեյ
469,Leder::N,сӑран,կաշի
470,Wolle::N,ҫӑм,բուրդ
471,Stoff::N,тӗртӗм,գործվածք
472,Nadel::N,йӗп,ասեղ
473,Faden::N,ҫип,թել
474,Knopf::N,тӳме,կոճակ
475,Knoten::N,йӑлӑ,հանգույց
476,Farbe::N,сӑрӑ,ներկ
477,Kleidung::N,тум,հագուստ
478,Kleidung::N,ҫипуҫ,հագուստ
479,Kleidung::N,тум-тир,հագուստ
480,Hemd::N,кӗпе,վերնաշապիկ
481,Kragen::N,ҫуха,օձիք
482,Ärmel::N,ҫанӑ,թեւք
483,Hose::N,шӑлавар,շալվար
484,Gürtel::N,пиҫиххи,գոտի
485,Mütze::N,ҫӗлӗк,կեպի
486,Schuh::N,пушмак,կոշիկ
487,Schuh::N,ботинок,կոշիկ
488,Stiefel::N,атӑ,երկարաճիթ կոշիկ
489,Ring::N,ҫӗрӗ,զնգալ
490,Band::N,хаю,ժապավեն
491,Band::N,йӗсме,ժապավեն
492,Kamm::N,тура,սանր
493,Spiegel::N,тӗкӗр,հայելի
494,Spiegel::N,куҫ кӗски,հայելի
495,Riemen::N,чӗн,փոկ
496,Schnur::N,кантра,լար
497,Leine::N,касмӑк,փոկ
498,Decke::N,утиял,վերմակ
499,Kissen::N,ҫытар,բարձ
500,Kissen::N,минтер,բարձ
501,Tuch::N,тутӑр,թաշկինակ
502,Handtuch::N,ал шӑлли,սրբիչ
503,Kraft::N,вӑй,ուժ
504,Kraft::N,хӑват,ուժ
505,Stärke::N,хал,պնդություն
506,Stärke::N,хал,ամրություն
507,Stärke::N,хӑват,պնդություն
508,Stärke::N,хӑват,ամրություն
509,Gesundheit::N,хал,առողջություն
510,Gesundheit::N,сывлӑх,առողջություն
511,Krankheit::N,чир,ախտ
512,Krankheit::N,чир,հիվանդություն
513,Schmerz::N,ырату,ցավ
514,Schmerz::N,ырату,տանջանք
515,Wunde::N,суран,վերք
516,Fieber::N,сив чир,տենդ
517,Arznei::N,эмел,դեղ
518,Brücke::N,кӗпер,կամուրջ
519,Brunnen::N,ҫӑл,հոր
520,Brunnen::N,ҫӑл,ջրհոր
521,Brunnen::N,пусӑ,հոր
522,Brunnen::N,пусӑ,ջրհոր
523,Weide::N,ҫаран,արոտավայր
524,Pfad::N,йӗр,արահետ
525,Pfad::N,сукмак,արահետ
526,Weg::N,ҫул,ուղի
527,Weg::N,ҫул-йӗр,ուղի
528,Straße::N,ҫӳрев,ճանապարհ
529,Straße::N,ҫул ҫӳрени,ճանապարհ
530,Dorf::N,ял,գյուղ
531,Stadt::N,хула,քաղաք
532,Brief::N,ҫыру,նամակ
533,Buch::N,кӗнеке,գիրք
534,Buchstabe::N,сас палли,տառ
535,Buchstabe::N,сас палли,գիր
536,Zeitung::N,хаҫат,լրագիր
537,Leben::N,пурнӑҫ,կյանք
538,Tod::N,вилӗм,մահ
539,Grab::N,масар шӑтӑкӗ,գերեզման
540,Kirche::N,чиркӳ,եկեղեցի
541,Sünde::N,ҫылӑх,մեղք
542,Gott::N,турӑ,աստված
543,Arbeiter::N,рабочи,բանվոր
544,Arbeiter::N,рабочи,աշխատող
545,Chef::N,пуҫлӑх,տեր
546,Meister::N,ӑста,վարպետ
547,Meister::N,мастер,վարպետ
548,Arzt::N,врач,բժիշկ
549,Arzt::N,тухтӑр,բժիշկ
550,Lehrer::N,учитель,ուսուցիչ
551,Lehrer::N,вӗрентекен,ուսուցիչ
552,Geld::N,укҫа,փող
553,Geschäft::N,бизнес,գործ
554,Geschäft::N,бизнес,աշխատանք
555,Laden::N,магазин,կրպակ
556,Laden::N,магазин,խանութ
557,Preis::N,хак,գին
558,Ware::N,тавар,ապրանք
559,Nutzen::N,пайта,օգուտ
560,Reichtum::N,мул,հարստություն
561,Welt::N,тӗнче,աշխարհ
562,Land::N,ҫӗр-шыв,երկիր
563,Staat::N,патшàлӑх,պետություն
564,König::N,король,արքա
565,König::N,король,թագավոր
566,Macht::N,власть,իշխանություն
567,Grenze::N,чикӗ,սահման
568,Krieg::N,вӑрҫӑ,պատերազմ
569,Feind::N,тӑшман,թշնամի
570,Gewalt::N,ирӗксӗрлӳ,բռնություն
571,Gewalt::N,ирӗксӗрлӳ,սաստկություն
572,Kampf::N,кӗрешӳ,մարտ
573,Bogen[Waffe]::N,ухӑ,աղեղ
574,Pfeil::N,ҫӗмрен,նետ
575,Pfeil::N,ухӑ йӗппи,նետ
576,Gewehr::N,пӑшал,հրացան
577,Fehler::N,йӑнӑш,սխալ
578,Lüge::N,суя,սուտ
579,Lüge::N,ултав,սուտ
580,Schaden::N,сиен,վնաս
581,Unglück::N,шар,դժբախտություն
582,Unglück::N,инкек,դժբախտություն
583,Schuld::N,айӑп,պակասություն
584,Alter::N,ҫул шучӗ,հասակ
585,Schluss::N,пӗтни,վերջ
586,Schluss::N,пӗтни,վախճան
587,Schluss::N,пӗтмӗш,վերջ
588,Schluss::N,пӗтмӗш,վախճան
589,Zeit::N,вӑхӑт,ժամանակ
590,Tag::N,кун,օր
591,Morgen::N,ир,առավոտ
592,Mittag::N,кӑнтӑрла,կեսօր
593,Abend::N,каҫ,երեկո
594,Nacht::N,каҫ,գիշեր
595,Woche::N,эрне,շաբաթ
596,Monat::N,уйӑх,ամիս
597,Jahr::N,ҫулталӑк,տարի
598,Frühling::N,ҫур,գարուն
599,Frühling::N,ҫуркунне,գարուն
600,Sommer::N,ҫу,ամառ
601,Sommer::N,ҫулла,ամառ
602,Herbst::N,кӗр,աշուն
603,Herbst::N,кӗркунне,աշուն
604,Winter::N,хӗл,ձմեռ
605,Winter::N,хӗлле,ձմեռ
606,Januar::N,январь,հունվար
607,Februar::N,февраль,փետրվար
608,Februar::N,кӗҫӗн кӑрлач,փետրվար
609,März::N,март,մարտ
610,März::N,пуш уйӑхӗ,մարտ
611,April::N,апрель,ապրիլ
612,Mai::N,май,մայիս
613,Juni::N,июнь,հունիս
614,Juli::N,июль,հուլիս
615,August::N,август,օգոստոս
616,September::N,сентябрь,սեպտեմբեր
617,September::N,авӑн уйӑхӗ,սեպտեմբեր
618,Oktober::N,октябрь,հոկտեմբեր
619,November::N,ноябрь,նոյեմբեր
620,Dezember::N,раштав,դեկտեմբեր
621,Dezember::N,декабрь,դեկտեմբեր
622,Montag::N,тунти кун,երկուշաբթի
623,Dienstag::N,ытлари кун,երեքշաբթի
624,Mittwoch::N,юн кун,չորեքշաբթի
625,Donnerstag::N,кӗҫнерни кун,հինգշաբթի
626,Freitag::N,эрне кун,ուրբաթ
627,Samstag::N,шӑмат кун,շաբաթ
628,Sonntag::N,вырсарни кун,կիրակի
629,groß::A,пысӑк,մեծ
630,groß::A,пысӑк,խոշոր
631,klein::A,пӗчӗк,պստիկ
632,klein::A,пӗчӗк,փոքրիկ
633,lang::A,вӑрӑм,երկար
634,kurz::A,кӗске,կարճ
635,breit::A,сарлака,լայն
636,schmal::A,ансӑр,նեղ
637,dicht::A,йӑвӑ,խիտ
638,dick[Gegenstand]::A,хулӑн,հաստ
639,dünn::A,ҫинҫе,բարակ
640,dünn::A,ҫӳхе,բարակ
641,fein::A,тарай,նուրբ
642,fein::A,вӗлтӗрти,նուրբ
643,fest::A,тӗреклӗ,ամուր
644,fest::A,тӗреклӗ,պինդ
645,flach::A,лаптак,տափակ
646,glatt::A,такӑр,հարթ
647,hart::A,хытӑ,կարծր
648,weich::A,ҫемҫе,մեղմ
649,weich::A,ҫемҫе,փափուկ
650,rund::A,ҫавра,կլոր
651,spitz::A,шӗвӗр,սրածայր
652,scharf::A,ҫивӗч,սուր
653,stumpf::A,мӑка,գուլ
654,stumpf::A,пуклак,գուլ
655,stumpf::A,тӗрӗнчӗк,գուլ
656,stumpf::A,ӑнкарусӑр,գուլ
657,schwer::A,йывӑр,ծանր
658,schön::A,илемлӗ,սիրուն
659,schön::A,илемлӗ,գեղեցիկ
660,heiß::A,вӗри,թեժ
661,warm::A,ӑшӑ,տաք
662,warm::A,ӑшӑ,ջերմ
663,kalt::A,сивӗ,ցուրտ
664,kühl::A,уҫӑ,զով
665,frisch::A,уҫӑ,թարմ
666,feucht::A,йӗпе,ղոնավ
667,nass::A,нӳрӗ,թաց
668,trocken::A,типӗ,ցամաք
669,voll::A,тулли,լի
670,voll::A,тулли,լիքը
671,leer::A,пушӑ,դատարկ
672,offen::A,уҫӑ,բաց
673,geschlossen::A,хупӑ,գոց
674,sauber::A,таса,մաքուր
