,Concept_ID,la,av
286,Lärm::N,strepitus,хъуди
287,Laut::N,sonus,гьаракь
288,Laut::N,sonus,сас
289,Ton::N,sonus,
290,Lied::N,carmen,кечӏ
291,Ruhe::N,quies,рахӏат
292,Leute::N,homines,гӏадамал
293,Volk::N,populus,халкъ
294,Arbeit::N,labor,хӏалтӏи
295,Gast::N,hospes,гьобол
296,Gast::N,conviva,гьобол
297,Geschenk::N,munus,сайигъат
298,Spiel::N,ludus,хӏай
299,Spiel::N,ludus,расанди
300,Gesellschaft::N,societas,жамагӏат
301,Hilfe::N,auxilium,кумек
302,Hilfe::N,subsidium,кумек
303,Freund::N,amicus,гьудул
304,Kamerad::N,socius,гьалмагъ
305,Angelegenheit::N,res,къваригӏел
306,Anzahl::N,numerus,рикӏкӏен
307,Art::N,genus,жинс
308,Stück::N,frustum,кесек
309,Stück::N,fragmentum,кесек
310,Teil::N,pars,пай
311,Hälfte::N,dimidium,бащдаб
312,Kreis::N,orbis,гор
313,Kreis::N,circus,гор
314,Kreuz::N,crux,хъанч
315,Linie::N,linea,мухъ
316,Strich::N,lineamentum,хӏучч
317,Abstand::N,intervallum,манзил
318,Entfernung::N,spatium,манзил
319,Gegend::N,loca,рахъ
320,Gegend::N,regio,рахъ
321,Platz::N,locus,бакӏ
322,Ort::N,locus,бакӏ
323,Seite::N,latus,рахъ
324,Mitte::N,medium,бакьулъбакӏ
325,Gegenstand::N,res,жо
326,Sache::N,res,жо
327,Rand::N,margo,мицӏир
328,Kante::N,angulus,рагӏал
329,Kante::N,angulus,рагӏа-ракьан
330,Ecke::N,angulus,цили
331,Spitze::N,cacumen,тӏогь
332,Ende::N,caput,кӏал
333,Loch::N,foramen,каратӏ
334,Winkel::N,angulus,
335,Muster::N,exemplum,накъиш
336,Größe::N,magnitudo,кӏодо́лъи
337,Länge::N,longitudo,халалъи
338,Höhe::N,altitudo,борхалъи
339,Gewicht::N,pondus,бакӏлъи
340,Menge::N,copia,
341,Haufen::N,acervus,гъуни
342,Reihe::N,ordo,ирга́
343,Boot::N,navicula,раса
344,Ruder::N,remus,раххан
345,Schlitten::N,sclodia,чанагъ
346,Ski::N,narta,лыжаби
347,Lagerfeuer::N,ignis,цӏа
348,Last::N,onus,бакӏлъи
349,Gang::N,cursus,хьвади
350,Gang::N,cursus,хьвада-чӏвади
351,Schritt::N,gradus,гали
352,Norden::N,septentriones,шимал
353,Süden::N,meridies,юг
354,Süden::N,meridies,къибла
355,Westen::N,occidens,гъарб
356,Westen::N,occidens,магъриб
357,Osten::N,oriens,шаркъ
358,Osten::N,oriens,машрикъ
359,Holz::N,lignum,цӏул
360,Brett::N,tabula,хъарщи
361,Platte::N,lamina,къоно
362,Stütze::N,adminiculum,
363,Stange::N,pertica,гӏер
364,Stock::N,baculum,тӏил
365,Stab::N,scipio,гӏер
366,Rohr::N,tubus,турба
367,Haus::N,aedes,ригь
368,Haus::N,aedes,рукъзал
369,Heim::N,domicilium,рукъ
370,Ofen::N,fornax,печь
371,Fußboden::N,solum,чӏабар
372,Tisch::N,mensa,стол
373,Stuhl::N,sella,бакӏу
374,Wiege::N,cunae,кини
375,Bett::N,lectus,кровать
376,Regal::N,foruli,хъарщи
377,Kiste::N,cista,ящик
378,Kiste::N,cista,тӏалагъуд
379,Fenster::N,fenestra,гордо
380,Tür::N,ianua,нуцӏа
381,Tor::N,porta,каву
382,Zaun::N,saepes,раци
383,Dach::N,tectum,тӏох
384,Leiter::N,scalae,мали
385,Besen::N,scopae,жул
386,Spaten::N,pala,бел
387,Schaufel::N,pala,раххан
388,Gabel::N,fuscinula,гӏучӏ
389,Löffel::N,coclear,гъуд
390,Messer::N,culter,нус
391,Nagel::N,clavus,магӏ
392,Netz::N,rete,гьин
393,Haken::N,hamus,гъанцӏа
394,Griff::N,manubrium,гӏоркь
395,Schloss::N,claustra,кӏулал
396,Bild::N,tabula,сурат
397,Bild::N,pictura,сурат
398,Figur::N,statunculum,
399,Puppe::N,pupa,нани
400,Beutel::N,sacculus,таргьа
401,Bündel::N,fascis,къай
402,Tasche::N,sacculus,сумка
403,Tasche::N,sacculus,къвачӏа
404,Eimer::N,situla,ведро
405,Deckel::N,operculum,тӏалъел
406,Deckel::N,operculum,дадитӏалъел
407,Geschirr::N,vasa,цӏарагӏ
408,Sack::N,saccus,хъап
409,Sack::N,saccus,къандалъо
410,Tasse::N,pocillum,чашка
411,Topf::N,olla,хьаг
412,Kessel::N,aenum,хьаг
413,Kessel::N,aenum,гереги
414,Essen::N,cena,тӏагӏам
415,Nahrung::N,cibus,квен
416,Nahrung::N,alimenta,квен
417,Speise::N,cibus,квен
418,Fleisch::N,caro,гьан
419,Getreide::N,frumentum,бугӏа-ролъ
420,Getreide::N,frumentum,могьолабл_культураби
421,Brei::N,puls,карщ
422,Brot::N,panis,чед
423,Scheibe::N,frustum,мочӏу
424,Fett::N,pingue,беэнлъи
425,Butter::N,butȳrum,нах
426,Öl::N,oleum,нах
427,Salz::N,sal,цӏам
428,Suppe::N,ius,чурпа
429,Honig::N,mel,гьоцӏо
430,Milch::N,lac,рахь
431,Tee::N,thea,чай
432,Leder::N,corium,тӏом
433,Wolle::N,lana,квас
434,Stoff::N,textum,ххам
435,Nadel::N,acus,рокӏкӏен
436,Faden::N,filum,кун
437,Knopf::N,bulla,маргъал
438,Knoten::N,nodus,гарацӏ
439,Farbe::N,pigmentum,релъен
440,Kleidung::N,vestimenta,ретӏел
441,Hemd::N,tunica,гурде
442,Kragen::N,collare,габур
443,Ärmel::N,manica,къвал
444,Hose::N,bracae,тӏажу
445,Gürtel::N,cingulum,рачел
446,Mütze::N,pilleus,тӏагъур
447,Schuh::N,calceus,
448,Stiefel::N,pero,этек
449,Stiefel::N,pero,чакма
450,Stiefel::N,caliga,этек
451,Stiefel::N,caliga,чакма
452,Ring::N,anulus,баргъич
453,Band::N,redimiculum,лента
454,Kamm::N,pecten,гьоркьо
455,Spiegel::N,speculum,матӏу
456,Riemen::N,lorum,рижу
457,Schnur::N,linum,
458,Leine::N,retinaculum,
459,Decke::N,lodix,одея́ло
460,Kissen::N,pulvinus,къандалъо
461,Tuch::N,velum,квархьи
462,Handtuch::N,mantele,беркӏалрацӏцӏ
463,Kraft::N,vis,гуч
464,Kraft::N,vis,къуват
465,Stärke::N,robur,хӏалкӏвей
466,Gesundheit::N,valetudo,сахлъи́
467,Krankheit::N,morbus,унти
468,Krankheit::N,morbus,щокълъи
469,Schmerz::N,dolor,унти
470,Wunde::N,vulnus,ругъун
471,Fieber::N,febris,цӏа-кан
472,Arznei::N,remedium,дару
473,Brücke::N,pons,кьо
474,Brunnen::N,puteus,гъуй
475,Weide::N,pascua,рицӏцӏ
476,Weide::N,pascua,лъичӏирма
477,Weide::N,pascua,гӏурдаллъи
478,Weide::N,pascua,ри́цӏигъветӏ
479,Weide::N,pascua,рицӏцӏигъветӏ
480,Pfad::N,semita,сухъмахъ
481,Weg::N,iter,нух
482,Straße::N,via,нух
483,Dorf::N,vicus,росу
484,Stadt::N,urbs,шагьар
485,Stadt::N,oppidum,шагьар
486,Brief::N,epistula,кагъат
487,Brief::N,epistula,рисалат
488,Buch::N,liber,тӏехь
489,Buchstabe::N,littera,хӏарп
490,Zeitung::N,diurnum,газет
491,Leben::N,vita,яшав
492,Tod::N,mors,хвел
493,Grab::N,sepulcrum,хоб
494,Kirche::N,ecclesia,килиса
495,Sünde::N,peccatum,хӏакъ
496,Sünde::N,peccatum,мунагь
497,Gott::N,deus,бичас
498,Gott::N,deus,аллагь
499,Arbeiter::N,operarius,хӏалтӏухъан
500,Chef::N,praefectus,хӏаким
501,Chef::N,praefectus,начальник
502,Meister::N,magister,устар
503,Meister::N,magister,мастер
504,Meister::N,magister,махщалилав
505,Arzt::N,medicus,жайрахӏ
506,Lehrer::N,magister,мугӏалим
507,Geld::N,aes,гӏарац
508,Geld::N,pecunia,гӏарац
509,Geschäft::N,negotium,
510,Laden::N,taberna,тукен
511,Preis::N,pretium,багьа
512,Ware::N,merx,къайи
513,Nutzen::N,utilitas,мунпагӏат
514,Reichtum::N,opes,бечелъи
515,Reichtum::N,divitiae,бечелъи
516,Welt::N,mundus,дуниял
517,Land::N,terra,улка
518,Land::N,terra,икълим
519,Staat::N,res publica,пачалихъ
520,König::N,rex,пача
521,König::N,rex,малик
522,König::N,rex,къирал
523,König::N,rex,падишагь
524,Macht::N,potestas,кверщел
525,Grenze::N,limes,гӏорхъи
526,Krieg::N,bellum,рагъ
527,Feind::N,inimicus,тушман
528,Gewalt::N,vis,зулму
529,Kampf::N,pugna,къеркьей
530,Bogen[Waffe]::N,arcus,газаргъо
531,Pfeil::N,sagitta,чӏор
532,Gewehr::N,sclopetum,туманкӏ
533,Fehler::N,error,гъалатӏ
534,Lüge::N,mendacium,гьереси
535,Schaden::N,damnum,зиян
536,Schaden::N,damnum,зарал
537,Schaden::N,detrimentum,зиян
538,Schaden::N,detrimentum,зарал
539,Unglück::N,miseria,балагь
540,Unglück::N,calamitas,балагь
541,Schuld::N,culpa,гӏайиб
542,Alter::N,aetas,гӏумру
543,Schluss::N,finis,ахир
544,Zeit::N,tempus,заман
545,Tag::N,dies,къо
546,Morgen::N,mane,радалмех
547,Mittag::N,meridies,къадемех
548,Abend::N,vesper,релъедамех
