,Concept_ID,de,be
861,riechen::V,riechen,нюхаць
862,fühlen::V,fühlen,адчуваць
863,scheinen::V,scheinen,здавацца
864,zu sehen sein::V,zu sehen sein,віднецца
865,vernehmen::V,vernehmen,пачуць
866,frieren::V,frieren,мёрзнуць
867,tun::V,tun,рабіць
868,können::V,können,умець
869,wollen::V,wollen,хацець
870,anfangen::V,anfangen,пачаць
871,beenden::V,beenden,закончыць
872,aufhören::V,aufhören,перастаць
873,gelingen::V,gelingen,удацца
874,geraten::V,geraten,аказацца
875,öffnen::V,öffnen,адчыніць
876,schließen::V,schließen,зачыніць
877,stellen::V,stellen,паставіць
878,setzen::V,setzen,пасадзіць
879,legen::V,legen,класці
880,berühren::V,berühren,чапаць
881,verbinden::V,verbinden,звязаць
882,bedecken::V,bedecken,накрыць
883,aufhängen::V,aufhängen,павесіць
884,anzünden::V,anzünden,запаліць
885,aufheben::V,aufheben,падняць
886,zurücklassen::V,zurücklassen,пакінуць
887,verlieren::V,verlieren,згубіць
888,fallen lassen::V,fallen lassen,упусціць
889,machen::V,machen,зрабіць
890,herstellen::V,herstellen,вырабіць
891,bauen::V,bauen,будаваць
892,reparieren::V,reparieren,правіць
893,verbessern::V,verbessern,палепшыць
894,ändern::V,ändern,змяніць
895,graben::V,graben,капаць
896,beugen::V,beugen,сагнуць
897,biegen::V,biegen,пагнуць
898,drehen::V,drehen,вярцець
899,wenden::V,wenden,павярнуць
900,umdrehen::V,umdrehen,перавярнуць
901,heben::V,heben,падымаць
902,hochheben::V,hochheben,падняць
903,ergreifen::V,ergreifen,схапіць
904,ergreifen::V,ergreifen,схваціць
905,halten::V,halten,трымаць
906,drücken::V,drücken,націскаць
907,schieben::V,schieben,пхаць
908,schieben::V,schieben,штурхаць
909,kratzen::V,kratzen,скрэбці
910,lecken::V,lecken,лізаць
911,beißen::V,beißen,кусаць
912,abreißen::V,abreißen,адарваць
913,abschneiden::V,abschneiden,адрэзаць
914,binden::V,binden,вязаць
915,stecken::V,stecken,уваткнуць
916,brechen::V,brechen,зламаць
917,klopfen::V,klopfen,стукаць
918,hauen::V,hauen,біць
919,kleben::V,kleben,клеіць
920,reiben::V,reiben,церці
921,streichen::V,streichen,намазаць
922,schleifen::V,schleifen,тачыць
923,schneiden::V,schneiden,рэзаць
924,rütteln::V,rütteln,хістаць
925,schütteln::V,schütteln,трэсці
926,schwenken::V,schwenken,махаць
927,schütten::V,schütten,наліць
928,füllen::V,füllen,напоўніць
